ED Code,Electoral district,Bloc Québécois/Bloc Québécois,Canadian Action/Action canadienne,"Christian Heritage Party/Parti de l'Héritage 
 Chrétien",Communist/Communiste,Conservative/conservateur,Green Party/Parti Vert,Liberal/Libéral,Libertarian/Libertarien,Marijuana Party/Parti Marijuana,Marxist-Leninist/Marxiste-Léniniste,N.D.P./N.P.D.,PC Party/Parti PC,Independent/Indépendant,No Affiliation/Aucune appartenance,Rejected ballots
35047,"Mississauga—Brampton South/
Mississauga—Brampton-Sud",,,,,3,6,19,,,0,7,,,,4
35049,Mississauga—Erindale  ,,,,,17,2,30,,,0,8,,,,3
35055,"Niagara West—Glanbrook/
Niagara-Ouest—Glanbrook ",,0,0,,30,2,28,,,,18,,,,7
35057,Nipissing—Timiskaming ,,0,,,35,5,43,,,,13,,,,3
35058,Northumberland—Quinte West  ,,,,,30,7,24,,,,15,,,,7
35059,Oak Ridges—Markham  ,,,0,,19,6,32,,,,9,0,,,5
35066,"Ottawa West—Nepean/
Ottawa-Ouest—Nepean  ",,0,,,48,5,66,,3,0,29,,,,4
35070,Perth—Wellington  ,,,0,,13,4,18,,,,9,,,,0
35082,Scarborough—Guildwood ,,0,,,7,5,16,,,,5,,,,0
35083,Scarborough—Rouge River,,,,,7,1,17,,,,6,,5,,3
35087,Stormont—Dundas—South Glengarry ,,,,,17,4,31,,,,7,,,,2
35088,Sudbury ,,,,,10,10,27,,,0,19,,,,3
35092,"Timmins—James Bay/
Timmins—Baie James",,,,,7,0,30,,,,18,,,,1
35094,Toronto—Danforth     ,,,,,4,3,27,,0,0,55,,,,1
35095,Trinity—Spadina ,,0,,,7,6,47,,,0,82,1,,1,2
35101,Windsor—Tecumseh    ,,,,,16,2,20,,,0,27,,,,2
35102,Windsor West/Windsor-Ouest,,,,,6,1,17,,,0,19,,,,0
35103,York Centre/York-Centre,,,,,9,1,29,,,,8,,0,,5
48020,Macleod,,,,,82,11,16,,,,7,,,,12
59021,Port Moody—Westwood—Port Coquitlam,,3,,0,33,5,16,0,,,21,,,,2
59025,Skeena—Bulkley Valley,,,3,,56,10,38,,,0,45,,,,3
