District,Poll Number,Poll Name,Marie Martine Bédard,Nicolas Du Cap,Érick Gauthier,Gilles-A. Perron,Yolaine Savignac,Rejected Ballots,Total Vote,Electors
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,132,Deux-Montagnes,9,15,8,147,43,2,224,398
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,133,Deux-Montagnes,7,12,19,173,52,7,270,477
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,134,Deux-Montagnes,12,11,13,73,62,4,175,306
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,135,Deux-Montagnes,35,17,16,163,115,7,353,562
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,136,Deux-Montagnes,14,13,15,109,74,5,230,423
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,137,Deux-Montagnes,15,8,14,113,81,3,234,505
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,138,Deux-Montagnes,22,11,22,142,88,2,287,474
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,139,Deux-Montagnes,26,8,16,85,71,1,207,385
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,140,Deux-Montagnes,17,14,26,138,87,2,284,473
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,141,Deux-Montagnes,4,5,20,114,42,6,191,483
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,142A,Deux-Montagnes,4,9,10,121,55,4,203,339
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,142B,Deux-Montagnes,6,11,16,102,48,2,185,320
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,143,Deux-Montagnes,8,22,13,155,109,5,312,524
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,144,Deux-Montagnes,8,11,15,105,58,7,204,389
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,145,Deux-Montagnes,7,2,15,70,103,4,201,401
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,146,Sainte-Marthe-sur-le-Lac,19,16,28,220,57,6,346,542
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,147,Sainte-Marthe-sur-le-Lac,22,13,19,276,67,15,412,628
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,148,Sainte-Marthe-sur-le-Lac,2,4,14,151,61,6,238,416
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,149A,Sainte-Marthe-sur-le-Lac,Merged with No. 150A,,,,,,,72
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,149B,Sainte-Marthe-sur-le-Lac,Merged with No. 150B,,,,,,,66
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,150A,Sainte-Marthe-sur-le-Lac,8,8,7,83,39,8,153,242
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,150B,Sainte-Marthe-sur-le-Lac,5,4,10,116,33,4,172,261
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,151A,Sainte-Marthe-sur-le-Lac,5,6,6,104,45,4,170,311
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,151B,Sainte-Marthe-sur-le-Lac,4,10,16,88,32,5,155,308
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,152,Sainte-Marthe-sur-le-Lac,8,5,11,127,40,3,194,362
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,153,Sainte-Marthe-sur-le-Lac,2,3,9,111,48,3,176,331
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,154,Sainte-Marthe-sur-le-Lac,4,3,14,93,43,10,167,362
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,155,Sainte-Marthe-sur-le-Lac,12,9,29,175,50,3,278,475
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,156,Sainte-Marthe-sur-le-Lac,9,10,24,179,48,12,282,532
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,157,Sainte-Marthe-sur-le-Lac,10,4,12,144,42,6,218,381
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,158,Sainte-Marthe-sur-le-Lac,6,2,7,180,35,2,232,411
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,159,Sainte-Marthe-sur-le-Lac,11,10,18,181,46,10,276,506
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,160,Sainte-Marthe-sur-le-Lac,15,10,19,148,45,8,245,419
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,161,Sainte-Marthe-sur-le-Lac,12,2,9,154,51,3,231,464
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,162,Sainte-Marthe-sur-le-Lac,7,9,10,128,42,9,205,404
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,600,Boisbriand,14,6,38,230,109,5,402,
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,601,Boisbriand,23,17,35,309,125,7,516,
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,602,Saint-Eustache,18,19,56,348,150,12,603,
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,603,Saint-Eustache,15,12,49,288,130,9,503,
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,604,Saint-Eustache,10,15,58,260,151,9,503,
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,605,Deux-Montagnes,62,31,117,448,464,17,1139,
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,606,Sainte-Marthe-sur-le-Lac,7,7,34,247,119,11,425,
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,,Group 1/Groupe 1,5,2,18,25,11,1,62,123
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,,Group 2/Groupe 2,21,24,79,535,270,27,956,
