District,Poll Number,Poll Name,Benjamin Kasapoglu,Jean-Marie Laliberté,Richard Marceau,Marilou Moisan-Domm,Bertrand Proulx,François Villeneuve,Rejected Ballots,Total Vote,Electors
Charlesbourg/Charlesbourg,104,Charlesbourg,1,40,103,5,31,7,0,187,343
Charlesbourg/Charlesbourg,105,Charlesbourg,2,49,122,6,32,7,5,223,439
Charlesbourg/Charlesbourg,106,Charlesbourg,2,68,129,6,38,12,7,262,413
Charlesbourg/Charlesbourg,107,Charlesbourg,3,51,149,2,23,10,3,241,363
Charlesbourg/Charlesbourg,108,Charlesbourg,3,68,143,8,34,8,0,264,399
Charlesbourg/Charlesbourg,109,Charlesbourg,3,72,132,8,32,11,0,258,442
Charlesbourg/Charlesbourg,110,Charlesbourg,1,82,87,5,24,4,1,204,379
Charlesbourg/Charlesbourg,111,Charlesbourg,0,50,99,11,18,4,5,187,331
Charlesbourg/Charlesbourg,112,Charlesbourg,0,70,96,3,23,6,3,201,409
Charlesbourg/Charlesbourg,113,Charlesbourg,2,62,146,5,29,10,0,254,331
Charlesbourg/Charlesbourg,114,Charlesbourg,4,63,108,1,30,7,3,216,330
Charlesbourg/Charlesbourg,115,Charlesbourg,1,49,76,5,24,4,6,165,317
Charlesbourg/Charlesbourg,116,Charlesbourg,2,43,85,5,36,6,9,186,339
Charlesbourg/Charlesbourg,117,Charlesbourg,2,46,120,12,35,8,5,228,373
Charlesbourg/Charlesbourg,118,Charlesbourg,2,41,72,8,23,4,2,152,297
Charlesbourg/Charlesbourg,119,Charlesbourg,3,42,126,12,25,8,5,221,409
Charlesbourg/Charlesbourg,120A,Charlesbourg,2,30,81,5,15,2,3,138,326
Charlesbourg/Charlesbourg,120B,Charlesbourg,0,61,34,1,8,1,0,105,147
Charlesbourg/Charlesbourg,121,Charlesbourg,1,72,77,8,22,7,4,191,352
Charlesbourg/Charlesbourg,122,Charlesbourg,3,54,91,2,27,12,1,190,325
Charlesbourg/Charlesbourg,123,Charlesbourg,2,61,95,4,21,9,1,193,355
Charlesbourg/Charlesbourg,124,Charlesbourg,1,40,94,5,18,12,7,177,317
Charlesbourg/Charlesbourg,125,Charlesbourg,0,99,159,9,45,10,4,326,519
Charlesbourg/Charlesbourg,126,Charlesbourg,2,53,114,8,12,7,3,199,341
Charlesbourg/Charlesbourg,127,Charlesbourg,0,97,135,4,39,7,6,288,484
Charlesbourg/Charlesbourg,128,Charlesbourg,2,111,102,8,40,8,6,277,412
Charlesbourg/Charlesbourg,129,Charlesbourg,2,79,103,5,26,12,2,229,326
Charlesbourg/Charlesbourg,130,Charlesbourg,0,83,79,3,27,9,5,206,320
Charlesbourg/Charlesbourg,131,Charlesbourg,2,36,93,5,33,6,2,177,391
Charlesbourg/Charlesbourg,132,Charlesbourg,1,56,94,4,28,12,3,198,300
Charlesbourg/Charlesbourg,133,Charlesbourg,3,43,104,12,25,5,5,197,371
Charlesbourg/Charlesbourg,134,Charlesbourg,1,71,128,6,23,8,2,239,357
Charlesbourg/Charlesbourg,135,Charlesbourg,1,79,93,3,30,5,3,214,364
Charlesbourg/Charlesbourg,136,Charlesbourg,1,58,96,8,14,6,5,188,313
Charlesbourg/Charlesbourg,137,Charlesbourg,5,19,59,1,27,7,0,118,395
Charlesbourg/Charlesbourg,138,Charlesbourg,0,58,111,4,27,9,0,209,309
Charlesbourg/Charlesbourg,139,Charlesbourg,0,57,100,6,29,3,2,197,309
Charlesbourg/Charlesbourg,140,Charlesbourg,0,79,129,11,19,11,4,253,367
Charlesbourg/Charlesbourg,141,Charlesbourg,0,69,99,8,37,0,6,219,350
Charlesbourg/Charlesbourg,142,Charlesbourg,2,71,113,10,43,10,5,254,412
Charlesbourg/Charlesbourg,143,Charlesbourg,1,42,119,7,28,12,3,212,419
Charlesbourg/Charlesbourg,144,Charlesbourg,4,46,86,5,21,5,1,168,381
Charlesbourg/Charlesbourg,145,Charlesbourg,3,61,132,4,54,9,8,271,623
Charlesbourg/Charlesbourg,146,Charlesbourg,3,52,82,9,26,4,5,181,410
Charlesbourg/Charlesbourg,147,Charlesbourg,2,44,87,5,22,6,2,168,351
Charlesbourg/Charlesbourg,148,Charlesbourg,1,88,98,8,26,6,2,229,392
Charlesbourg/Charlesbourg,149,Charlesbourg,1,56,109,2,26,11,0,205,321
Charlesbourg/Charlesbourg,150,Charlesbourg,0,77,95,9,23,8,2,214,316
Charlesbourg/Charlesbourg,151,Charlesbourg,1,63,116,7,20,6,3,216,339
Charlesbourg/Charlesbourg,152,Charlesbourg,3,53,133,6,26,8,3,232,388
Charlesbourg/Charlesbourg,153,Charlesbourg,1,63,96,6,28,9,1,204,333
Charlesbourg/Charlesbourg,154,Charlesbourg,2,52,106,5,20,12,6,203,371
Charlesbourg/Charlesbourg,155,Charlesbourg,0,81,91,5,39,10,4,230,347
Charlesbourg/Charlesbourg,156,Charlesbourg,0,60,118,6,23,4,1,212,354
Charlesbourg/Charlesbourg,157,Charlesbourg,0,59,103,4,20,10,3,199,359
Charlesbourg/Charlesbourg,158,Charlesbourg,0,38,91,7,25,5,2,168,356
Charlesbourg/Charlesbourg,159,Charlesbourg,0,51,54,3,29,3,4,144,269
Charlesbourg/Charlesbourg,160,Charlesbourg,Void,,,,,,,,
Charlesbourg/Charlesbourg,161A,Charlesbourg,1,98,121,5,23,11,3,262,510
Charlesbourg/Charlesbourg,161B,Charlesbourg,2,105,105,4,33,11,8,268,497
Charlesbourg/Charlesbourg,162,Charlesbourg,2,39,96,7,21,6,2,173,317
Charlesbourg/Charlesbourg,163,Charlesbourg,2,51,87,8,19,5,4,176,324
Charlesbourg/Charlesbourg,164,Charlesbourg,0,27,57,2,22,2,2,112,281
Charlesbourg/Charlesbourg,165,Charlesbourg,1,78,91,6,30,7,1,214,500
Charlesbourg/Charlesbourg,166,Charlesbourg,0,82,112,6,30,4,1,235,515
Charlesbourg/Charlesbourg,167,Charlesbourg,3,62,90,2,39,8,8,212,360
Charlesbourg/Charlesbourg,168,Charlesbourg,2,40,94,6,22,5,2,171,375
Charlesbourg/Charlesbourg,169,Charlesbourg,2,49,87,7,21,20,6,192,382
Charlesbourg/Charlesbourg,170,Charlesbourg,2,41,78,6,30,5,8,170,326
Charlesbourg/Charlesbourg,171,Charlesbourg,0,54,87,6,29,3,0,179,305
Charlesbourg/Charlesbourg,172,Charlesbourg,0,57,68,5,18,5,5,158,327
Charlesbourg/Charlesbourg,173,Charlesbourg,3,51,71,5,23,9,7,169,390
Charlesbourg/Charlesbourg,174,Charlesbourg,2,50,91,6,26,5,0,180,394
Charlesbourg/Charlesbourg,175,Charlesbourg,0,43,68,5,19,3,3,141,386
Charlesbourg/Charlesbourg,176,Charlesbourg,0,37,78,5,40,6,6,172,438
Charlesbourg/Charlesbourg,177,Charlesbourg,3,35,95,4,43,1,4,185,401
Charlesbourg/Charlesbourg,178,Charlesbourg,2,41,85,4,30,6,9,177,414
Charlesbourg/Charlesbourg,179,Charlesbourg,3,60,96,5,41,11,3,219,381
Charlesbourg/Charlesbourg,180,Charlesbourg,1,163,69,3,32,5,5,278,401
Charlesbourg/Charlesbourg,181,Charlesbourg,3,180,127,8,47,7,9,381,624
Charlesbourg/Charlesbourg,182,Charlesbourg,1,51,93,3,36,3,1,188,439
Charlesbourg/Charlesbourg,183,Charlesbourg,0,63,54,2,10,7,6,142,348
Charlesbourg/Charlesbourg,184,Charlesbourg,6,25,103,2,39,8,3,186,434
Charlesbourg/Charlesbourg,185,Charlesbourg,1,33,81,5,35,4,5,164,427
Charlesbourg/Charlesbourg,186,Charlesbourg,5,26,75,5,23,8,5,147,446
Charlesbourg/Charlesbourg,500,Mobile poll/Bureau itinérant,1,29,26,1,6,3,2,68,103
Charlesbourg/Charlesbourg,501,Mobile poll/Bureau itinérant,1,41,18,1,11,3,1,76,129
Charlesbourg/Charlesbourg,502,Mobile poll/Bureau itinérant,2,44,20,1,6,2,2,77,127
Charlesbourg/Charlesbourg,600,Québec,4,112,246,3,80,17,15,477,
Charlesbourg/Charlesbourg,601,Québec,1,44,87,3,28,3,3,169,
Charlesbourg/Charlesbourg,602,Québec,2,91,272,5,125,9,8,512,
Charlesbourg/Charlesbourg,603,Québec,1,191,310,9,94,16,10,631,
Charlesbourg/Charlesbourg,604,Québec,2,193,329,4,72,16,4,620,
Charlesbourg/Charlesbourg,605,Québec,1,173,349,10,103,14,10,660,
Charlesbourg/Charlesbourg,606,Québec,5,258,311,5,106,24,4,713,
Charlesbourg/Charlesbourg,607,Québec,3,254,360,13,111,24,5,770,
Charlesbourg/Charlesbourg,608,Québec,1,210,286,5,96,16,5,619,
Charlesbourg/Charlesbourg,,Group 1/Groupe 1,6,53,92,7,114,3,9,284,610
Charlesbourg/Charlesbourg,,Group 2/Groupe 2,5,396,773,14,114,38,14,1354,
