District,Poll Number,Poll Name,David Fullerton,Greg Moors,Dale Stevens,Peter Stoffer,Steve Streatch,Rejected Ballots,Total Vote,Electors
Sackville--Eastern Shore/Sackville--Eastern Shore,20,Middle Sackville,7,5,58,78,43,0,191,351
Sackville--Eastern Shore/Sackville--Eastern Shore,21,Halifax,7,6,64,68,49,0,194,320
Sackville--Eastern Shore/Sackville--Eastern Shore,22,Halifax,3,8,93,76,53,1,234,454
Sackville--Eastern Shore/Sackville--Eastern Shore,23,Halifax,7,2,112,107,60,0,288,500
Sackville--Eastern Shore/Sackville--Eastern Shore,24,Halifax,2,1,88,73,62,1,227,420
Sackville--Eastern Shore/Sackville--Eastern Shore,25,Halifax,3,3,75,72,52,1,206,347
Sackville--Eastern Shore/Sackville--Eastern Shore,26,Halifax,5,5,83,119,57,0,269,458
Sackville--Eastern Shore/Sackville--Eastern Shore,27,Halifax,3,3,92,94,61,0,253,494
Sackville--Eastern Shore/Sackville--Eastern Shore,28,Halifax,4,3,53,92,27,1,180,421
Sackville--Eastern Shore/Sackville--Eastern Shore,29,Halifax,5,2,41,42,29,0,119,247
Sackville--Eastern Shore/Sackville--Eastern Shore,30,Halifax,0,0,48,53,26,1,128,246
Sackville--Eastern Shore/Sackville--Eastern Shore,31,Halifax,0,1,85,68,26,0,180,270
Sackville--Eastern Shore/Sackville--Eastern Shore,32,Halifax,0,5,46,80,23,1,155,314
Sackville--Eastern Shore/Sackville--Eastern Shore,33,Halifax,6,4,77,87,44,1,219,398
Sackville--Eastern Shore/Sackville--Eastern Shore,34,Halifax,1,1,31,77,17,0,127,347
Sackville--Eastern Shore/Sackville--Eastern Shore,35,Halifax,6,1,24,76,11,2,120,286
Sackville--Eastern Shore/Sackville--Eastern Shore,36,Halifax,7,6,63,94,64,1,235,384
Sackville--Eastern Shore/Sackville--Eastern Shore,37,Halifax,4,6,53,76,39,0,178,362
Sackville--Eastern Shore/Sackville--Eastern Shore,38,Halifax,4,2,64,50,38,1,159,356
Sackville--Eastern Shore/Sackville--Eastern Shore,39A,Halifax,3,4,54,90,53,0,204,345
Sackville--Eastern Shore/Sackville--Eastern Shore,39B,Halifax,6,2,70,87,48,0,213,360
Sackville--Eastern Shore/Sackville--Eastern Shore,40,Halifax,6,2,45,126,28,2,209,349
Sackville--Eastern Shore/Sackville--Eastern Shore,41,Halifax,2,1,47,132,34,0,216,387
Sackville--Eastern Shore/Sackville--Eastern Shore,42,Halifax,3,2,44,97,39,0,185,310
Sackville--Eastern Shore/Sackville--Eastern Shore,43,Halifax,6,2,49,115,38,0,210,354
Sackville--Eastern Shore/Sackville--Eastern Shore,44,Halifax,6,4,56,88,49,0,203,309
Sackville--Eastern Shore/Sackville--Eastern Shore,45,Halifax,3,2,54,64,41,1,165,251
Sackville--Eastern Shore/Sackville--Eastern Shore,46,Halifax,5,0,47,83,38,0,173,350
Sackville--Eastern Shore/Sackville--Eastern Shore,47,Halifax,6,2,37,84,31,1,161,269
Sackville--Eastern Shore/Sackville--Eastern Shore,48,Halifax,4,4,63,107,38,0,216,388
Sackville--Eastern Shore/Sackville--Eastern Shore,49,Halifax,7,3,57,111,27,0,205,377
Sackville--Eastern Shore/Sackville--Eastern Shore,50,Halifax,4,1,39,111,46,0,201,320
Sackville--Eastern Shore/Sackville--Eastern Shore,51,Halifax,1,3,53,106,34,1,198,363
Sackville--Eastern Shore/Sackville--Eastern Shore,52,Halifax,7,5,41,86,22,0,161,281
Sackville--Eastern Shore/Sackville--Eastern Shore,53,Halifax,1,0,36,63,20,0,120,227
Sackville--Eastern Shore/Sackville--Eastern Shore,54,Halifax,5,3,61,131,25,0,225,386
Sackville--Eastern Shore/Sackville--Eastern Shore,55,Halifax,3,7,53,82,41,1,187,314
Sackville--Eastern Shore/Sackville--Eastern Shore,56,Halifax,9,1,47,83,28,0,168,329
Sackville--Eastern Shore/Sackville--Eastern Shore,57,Halifax,4,2,54,93,26,1,180,301
Sackville--Eastern Shore/Sackville--Eastern Shore,58,Halifax,3,4,40,106,38,3,194,333
Sackville--Eastern Shore/Sackville--Eastern Shore,59,Halifax,3,1,55,71,16,0,146,282
Sackville--Eastern Shore/Sackville--Eastern Shore,60,Halifax,0,4,52,74,19,0,149,235
Sackville--Eastern Shore/Sackville--Eastern Shore,61,Halifax,4,3,49,69,57,2,184,341
Sackville--Eastern Shore/Sackville--Eastern Shore,62,Halifax,5,0,29,64,17,1,116,327
Sackville--Eastern Shore/Sackville--Eastern Shore,63,Halifax,3,5,53,89,30,1,181,355
Sackville--Eastern Shore/Sackville--Eastern Shore,64,Halifax,3,1,45,61,27,1,138,299
Sackville--Eastern Shore/Sackville--Eastern Shore,65,Halifax,0,2,10,29,20,0,61,242
Sackville--Eastern Shore/Sackville--Eastern Shore,66,Halifax,4,2,26,44,25,0,101,340
Sackville--Eastern Shore/Sackville--Eastern Shore,67,Halifax,2,1,24,85,15,0,127,334
Sackville--Eastern Shore/Sackville--Eastern Shore,68,Halifax,9,3,52,92,36,1,193,387
Sackville--Eastern Shore/Sackville--Eastern Shore,69,Halifax,2,1,44,77,20,0,144,223
Sackville--Eastern Shore/Sackville--Eastern Shore,70,Halifax,2,3,93,84,75,0,257,416
Sackville--Eastern Shore/Sackville--Eastern Shore,71,Halifax,3,2,34,96,21,0,156,311
Sackville--Eastern Shore/Sackville--Eastern Shore,72,Halifax,13,2,56,133,50,1,255,439
Sackville--Eastern Shore/Sackville--Eastern Shore,73,Halifax,5,1,47,81,32,1,167,292
Sackville--Eastern Shore/Sackville--Eastern Shore,74,Halifax,5,2,56,117,46,0,226,355
Sackville--Eastern Shore/Sackville--Eastern Shore,75,Halifax,2,2,59,113,31,0,207,358
Sackville--Eastern Shore/Sackville--Eastern Shore,76,Halifax,8,3,58,124,40,0,233,391
Sackville--Eastern Shore/Sackville--Eastern Shore,77,Halifax,4,2,52,122,37,0,217,401
Sackville--Eastern Shore/Sackville--Eastern Shore,78,Halifax,5,0,55,84,17,0,161,270
Sackville--Eastern Shore/Sackville--Eastern Shore,79A,Halifax,4,5,47,72,23,1,152,300
Sackville--Eastern Shore/Sackville--Eastern Shore,79B,Halifax,5,4,40,91,33,1,174,329
Sackville--Eastern Shore/Sackville--Eastern Shore,80,Halifax,6,3,49,59,55,1,173,317
Sackville--Eastern Shore/Sackville--Eastern Shore,81,Halifax,4,6,50,103,34,0,197,330
Sackville--Eastern Shore/Sackville--Eastern Shore,82,Grand Lake Station,15,3,64,102,43,0,227,359
Sackville--Eastern Shore/Sackville--Eastern Shore,83,Grand Lake Station,12,2,90,105,71,3,283,410
Sackville--Eastern Shore/Sackville--Eastern Shore,84,Fletchers Lake,6,1,48,90,27,0,172,306
Sackville--Eastern Shore/Sackville--Eastern Shore,85,Fletchers Lake,7,5,52,101,26,0,191,348
Sackville--Eastern Shore/Sackville--Eastern Shore,86,Wellington,5,1,63,119,61,2,251,356
Sackville--Eastern Shore/Sackville--Eastern Shore,87,Wellington,12,2,67,135,51,3,270,414
Sackville--Eastern Shore/Sackville--Eastern Shore,88A,Fall River,6,1,53,87,44,0,191,316
Sackville--Eastern Shore/Sackville--Eastern Shore,88B,Fall River,4,3,66,58,52,1,184,314
Sackville--Eastern Shore/Sackville--Eastern Shore,89,Fletchers Lake,7,5,68,66,63,0,209,378
Sackville--Eastern Shore/Sackville--Eastern Shore,90,Fall River,8,3,113,108,84,1,317,469
Sackville--Eastern Shore/Sackville--Eastern Shore,91,Fall River,3,3,30,78,31,2,147,280
Sackville--Eastern Shore/Sackville--Eastern Shore,92,Fall River,1,1,41,65,37,0,145,241
Sackville--Eastern Shore/Sackville--Eastern Shore,93,Fall River,5,5,72,131,67,1,281,406
Sackville--Eastern Shore/Sackville--Eastern Shore,94,Fall River,4,2,27,55,30,1,119,201
Sackville--Eastern Shore/Sackville--Eastern Shore,95,Fall River,3,2,49,84,37,0,175,274
Sackville--Eastern Shore/Sackville--Eastern Shore,96,Windsor Junction,6,3,56,101,45,0,211,334
Sackville--Eastern Shore/Sackville--Eastern Shore,97,Windsor Junction,2,0,30,67,24,0,123,185
Sackville--Eastern Shore/Sackville--Eastern Shore,98,Windsor Junction,8,2,41,94,63,0,208,368
Sackville--Eastern Shore/Sackville--Eastern Shore,99,Windsor Junction,6,5,80,98,68,0,257,394
Sackville--Eastern Shore/Sackville--Eastern Shore,100,Fall River,3,2,62,114,45,0,226,350
Sackville--Eastern Shore/Sackville--Eastern Shore,101,Fall River,5,3,52,137,60,0,257,410
Sackville--Eastern Shore/Sackville--Eastern Shore,102,Waverley,8,2,53,75,53,0,191,322
Sackville--Eastern Shore/Sackville--Eastern Shore,103,Lakeview,6,4,55,115,49,2,231,344
Sackville--Eastern Shore/Sackville--Eastern Shore,104,Waverley,1,0,40,53,41,0,135,206
Sackville--Eastern Shore/Sackville--Eastern Shore,105,Waverley,12,4,91,121,67,0,295,472
Sackville--Eastern Shore/Sackville--Eastern Shore,106,Waverley,4,1,52,58,28,0,143,205
Sackville--Eastern Shore/Sackville--Eastern Shore,107,Goffs,1,5,85,15,13,7,126,285
Sackville--Eastern Shore/Sackville--Eastern Shore,108,Halifax,12,2,67,39,39,3,162,276
Sackville--Eastern Shore/Sackville--Eastern Shore,109A,Halifax,5,4,97,46,70,2,224,331
Sackville--Eastern Shore/Sackville--Eastern Shore,109B,Halifax,5,3,114,58,48,4,232,386
Sackville--Eastern Shore/Sackville--Eastern Shore,110,Cherry Brook--Lake Major,2,8,43,54,14,3,124,237
Sackville--Eastern Shore/Sackville--Eastern Shore,111,New Road,1,3,90,36,13,4,147,346
Sackville--Eastern Shore/Sackville--Eastern Shore,112,Montague Mines,5,3,56,40,19,0,123,199
Sackville--Eastern Shore/Sackville--Eastern Shore,113,Loon Lake,6,4,88,88,46,2,234,379
Sackville--Eastern Shore/Sackville--Eastern Shore,114,Humber Park,4,3,81,59,42,0,189,295
Sackville--Eastern Shore/Sackville--Eastern Shore,115,Lake Major,0,2,35,43,25,0,105,264
Sackville--Eastern Shore/Sackville--Eastern Shore,116,Lake Major,2,6,26,53,38,0,125,249
Sackville--Eastern Shore/Sackville--Eastern Shore,117,Lake Major,0,1,34,42,23,0,100,243
Sackville--Eastern Shore/Sackville--Eastern Shore,118A,Lake Major,0,4,57,44,6,1,112,276
Sackville--Eastern Shore/Sackville--Eastern Shore,118B,Lake Major,0,1,54,32,15,2,104,278
Sackville--Eastern Shore/Sackville--Eastern Shore,119,Lake Echo,7,3,105,98,81,1,295,505
Sackville--Eastern Shore/Sackville--Eastern Shore,120,Lake Echo,8,5,48,66,35,0,162,330
Sackville--Eastern Shore/Sackville--Eastern Shore,121,Lake Echo,10,4,64,82,46,0,206,378
Sackville--Eastern Shore/Sackville--Eastern Shore,122,Halifax,3,8,21,13,27,0,72,238
Sackville--Eastern Shore/Sackville--Eastern Shore,123A,Halifax,4,2,15,22,31,1,75,315
Sackville--Eastern Shore/Sackville--Eastern Shore,123B,Halifax,1,7,25,21,23,0,77,317
Sackville--Eastern Shore/Sackville--Eastern Shore,124,Halifax,8,2,56,135,26,0,227,335
Sackville--Eastern Shore/Sackville--Eastern Shore,125,Halifax,6,0,19,86,11,1,123,291
Sackville--Eastern Shore/Sackville--Eastern Shore,126,Halifax,7,7,54,151,33,4,256,476
Sackville--Eastern Shore/Sackville--Eastern Shore,127,Halifax,5,1,24,126,21,0,177,362
Sackville--Eastern Shore/Sackville--Eastern Shore,128,Halifax,3,3,19,73,11,1,110,210
Sackville--Eastern Shore/Sackville--Eastern Shore,129,Halifax,3,6,32,117,28,0,186,363
Sackville--Eastern Shore/Sackville--Eastern Shore,130,Halifax,5,4,30,118,15,0,172,339
Sackville--Eastern Shore/Sackville--Eastern Shore,131,Halifax,2,2,39,115,28,1,187,341
Sackville--Eastern Shore/Sackville--Eastern Shore,132,Halifax,2,0,38,99,23,5,167,282
Sackville--Eastern Shore/Sackville--Eastern Shore,133,Halifax,6,2,23,78,22,0,131,267
Sackville--Eastern Shore/Sackville--Eastern Shore,134,Halifax,2,1,36,88,15,1,143,268
Sackville--Eastern Shore/Sackville--Eastern Shore,135A,Halifax,6,3,36,71,27,0,143,295
Sackville--Eastern Shore/Sackville--Eastern Shore,135B,Halifax,3,1,43,95,16,0,158,307
Sackville--Eastern Shore/Sackville--Eastern Shore,136,Halifax,5,3,28,88,27,0,151,350
Sackville--Eastern Shore/Sackville--Eastern Shore,136-1,Halifax,3,2,36,16,17,2,76,138
Sackville--Eastern Shore/Sackville--Eastern Shore,137,Halifax,12,9,63,136,52,3,275,560
Sackville--Eastern Shore/Sackville--Eastern Shore,137-1,Halifax,2,0,32,65,23,0,122,280
Sackville--Eastern Shore/Sackville--Eastern Shore,138,Halifax,4,3,44,160,38,1,250,438
Sackville--Eastern Shore/Sackville--Eastern Shore,139,Halifax,6,5,59,133,44,0,247,481
Sackville--Eastern Shore/Sackville--Eastern Shore,140,Halifax,8,6,30,114,18,3,179,311
Sackville--Eastern Shore/Sackville--Eastern Shore,141,Halifax,10,3,30,82,23,0,148,254
Sackville--Eastern Shore/Sackville--Eastern Shore,141-1,Halifax,9,1,35,106,31,0,182,301
Sackville--Eastern Shore/Sackville--Eastern Shore,142,Little Salmon River,4,6,69,110,53,2,244,383
Sackville--Eastern Shore/Sackville--Eastern Shore,143,Little Salmon River,4,2,28,33,28,0,95,169
Sackville--Eastern Shore/Sackville--Eastern Shore,144,Cole Harbour,3,5,47,51,48,1,155,222
Sackville--Eastern Shore/Sackville--Eastern Shore,145A,Upper Lawrencetown,1,3,35,66,21,3,129,252
Sackville--Eastern Shore/Sackville--Eastern Shore,145B,Upper Lawrencetown,0,2,35,47,31,4,119,274
Sackville--Eastern Shore/Sackville--Eastern Shore,146,Upper Lawrencetown,4,1,69,67,26,0,167,340
Sackville--Eastern Shore/Sackville--Eastern Shore,147,Lawrencetown,6,4,69,86,46,1,212,349
Sackville--Eastern Shore/Sackville--Eastern Shore,148,Upper Lawrencetown,5,1,35,60,31,1,133,240
Sackville--Eastern Shore/Sackville--Eastern Shore,149,Minesville,5,2,72,35,30,0,144,236
Sackville--Eastern Shore/Sackville--Eastern Shore,150,Lake Echo,5,3,66,68,32,1,175,279
Sackville--Eastern Shore/Sackville--Eastern Shore,151,West Lawrencetown--Minesville,4,4,52,77,40,0,177,382
Sackville--Eastern Shore/Sackville--Eastern Shore,152,Conrad's Beach,9,3,59,99,55,2,227,415
Sackville--Eastern Shore/Sackville--Eastern Shore,153,Conrad's Beach,8,0,41,78,32,0,159,239
Sackville--Eastern Shore/Sackville--Eastern Shore,154,Lawrencetown Beach,7,5,65,94,46,2,219,427
Sackville--Eastern Shore/Sackville--Eastern Shore,155,Lake Echo,2,0,33,106,20,2,163,399
Sackville--Eastern Shore/Sackville--Eastern Shore,156,Lake Echo,1,1,18,70,16,0,106,241
Sackville--Eastern Shore/Sackville--Eastern Shore,157,Lake Echo,10,1,73,111,44,2,241,400
Sackville--Eastern Shore/Sackville--Eastern Shore,158,Porters Lake,5,6,87,79,55,0,232,450
Sackville--Eastern Shore/Sackville--Eastern Shore,159,Porters Lake,5,5,94,98,84,2,288,489
Sackville--Eastern Shore/Sackville--Eastern Shore,160,Porters Lake,8,5,63,92,61,4,233,437
Sackville--Eastern Shore/Sackville--Eastern Shore,161,Head of Chezzetcook,7,6,56,92,55,0,216,350
Sackville--Eastern Shore/Sackville--Eastern Shore,162,Porters Lake,4,2,68,117,63,1,255,450
Sackville--Eastern Shore/Sackville--Eastern Shore,163,West Chezzetcook,5,4,53,109,81,2,254,471
Sackville--Eastern Shore/Sackville--Eastern Shore,164A,Porters Lake--West Chezzetcook,3,3,37,62,38,0,143,264
Sackville--Eastern Shore/Sackville--Eastern Shore,164B,Porters Lake--West Chezzetcook,2,1,38,69,39,0,149,243
Sackville--Eastern Shore/Sackville--Eastern Shore,165,Gaetz Brook,3,5,39,69,38,0,154,247
Sackville--Eastern Shore/Sackville--Eastern Shore,166,Gaetz Brook,2,2,36,87,29,0,156,233
Sackville--Eastern Shore/Sackville--Eastern Shore,167,East Chezzetcook,3,2,28,44,27,1,105,169
Sackville--Eastern Shore/Sackville--Eastern Shore,168,Porters Lake,7,5,81,100,69,0,262,453
Sackville--Eastern Shore/Sackville--Eastern Shore,169,Grand Desert,11,2,45,101,15,0,174,289
Sackville--Eastern Shore/Sackville--Eastern Shore,170,Seaforth,14,2,57,124,47,2,246,423
Sackville--Eastern Shore/Sackville--Eastern Shore,171,Lower East Chezzetcook,3,4,63,123,48,1,242,376
Sackville--Eastern Shore/Sackville--Eastern Shore,172,Meaghers Grant,4,2,45,77,63,1,192,272
Sackville--Eastern Shore/Sackville--Eastern Shore,173,West Petpeswick,4,1,62,92,78,1,238,423
Sackville--Eastern Shore/Sackville--Eastern Shore,174,Musquodoboit Harbour,4,2,97,113,79,1,296,463
Sackville--Eastern Shore/Sackville--Eastern Shore,175,Head of Jeddore,4,5,73,81,72,3,238,396
Sackville--Eastern Shore/Sackville--Eastern Shore,176,Head of Jeddore,0,3,41,69,59,0,172,285
Sackville--Eastern Shore/Sackville--Eastern Shore,177,East Petpeswick,2,1,52,123,43,1,222,330
Sackville--Eastern Shore/Sackville--Eastern Shore,178,West Jeddore,0,1,27,43,32,1,104,212
Sackville--Eastern Shore/Sackville--Eastern Shore,400,Halifax,No poll held,,,,,,,66
Sackville--Eastern Shore/Sackville--Eastern Shore,600,Beaverbank--Sackville,0,1,51,72,36,0,160,
Sackville--Eastern Shore/Sackville--Eastern Shore,601,Upper-Middle Sackville,1,0,36,38,14,0,89,
Sackville--Eastern Shore/Sackville--Eastern Shore,602,Upper-Middle Sackville,4,7,104,99,95,0,309,
Sackville--Eastern Shore/Sackville--Eastern Shore,603,Lower Sackville,6,5,71,150,78,0,310,
Sackville--Eastern Shore/Sackville--Eastern Shore,604,Lower Sackville,6,5,107,225,84,2,429,
Sackville--Eastern Shore/Sackville--Eastern Shore,605,Wellington--Waverly,17,5,144,229,135,1,531,
Sackville--Eastern Shore/Sackville--Eastern Shore,606,Preston,10,4,82,50,49,2,197,
Sackville--Eastern Shore/Sackville--Eastern Shore,607,Eastern Passage,7,9,114,271,70,1,472,
Sackville--Eastern Shore/Sackville--Eastern Shore,608,Lawrencetown,11,0,46,82,50,0,189,
Sackville--Eastern Shore/Sackville--Eastern Shore,609,Porters Lake,7,7,67,138,70,0,289,
Sackville--Eastern Shore/Sackville--Eastern Shore,610,Musquodoboit Harbour,0,2,47,66,37,1,153,
Sackville--Eastern Shore/Sackville--Eastern Shore,611,Lake Echo,4,1,42,63,45,1,156,
Sackville--Eastern Shore/Sackville--Eastern Shore,,Group 1/Groupe 1,17,37,82,63,137,4,340,1147
Sackville--Eastern Shore/Sackville--Eastern Shore,,Group 2/Groupe 2,10,3,122,212,153,14,514,
