District,Poll Number,Poll Name,Barb Fisher,Dave Joslin,Grant Robertson,Glen Smith,Paul Steckle,Dave Vasey,Rejected Ballots,Total Vote,Electors
Huron--Bruce/Huron--Bruce,181C,Hay,63,3,20,2,103,9,1,201,338
Huron--Bruce/Huron--Bruce,181D,Mobile poll/Bureau itinérant,Merged with No. 504A,,,,,,,,94
Huron--Bruce/Huron--Bruce,182,Zurich,64,1,14,6,168,6,4,263,362
Huron--Bruce/Huron--Bruce,183,Zurich,59,0,25,6,175,4,0,269,377
Huron--Bruce/Huron--Bruce,184,Hay,76,1,14,4,96,2,1,194,303
Huron--Bruce/Huron--Bruce,185,Hensall,113,4,36,6,100,9,0,268,468
Huron--Bruce/Huron--Bruce,186,Hensall,73,3,42,3,75,7,0,203,372
Huron--Bruce/Huron--Bruce,187,Stephen,88,2,31,2,120,10,0,253,396
Huron--Bruce/Huron--Bruce,188,Stephen,139,3,45,1,137,6,0,331,432
Huron--Bruce/Huron--Bruce,189,Stephen,98,1,31,4,139,5,2,280,427
Huron--Bruce/Huron--Bruce,190,Stephen,44,2,11,0,106,4,1,168,253
Huron--Bruce/Huron--Bruce,191,Stephen,89,1,23,6,95,3,1,218,357
Huron--Bruce/Huron--Bruce,192,Stephen,45,2,10,0,32,3,1,93,241
Huron--Bruce/Huron--Bruce,193,Exeter,39,5,18,1,54,8,0,125,271
Huron--Bruce/Huron--Bruce,194,Exeter,104,7,17,3,121,6,0,258,374
Huron--Bruce/Huron--Bruce,195,Exeter,72,0,22,7,99,11,0,211,384
Huron--Bruce/Huron--Bruce,196,Exeter,101,4,30,0,111,6,0,252,394
Huron--Bruce/Huron--Bruce,197,Exeter,87,0,14,5,136,5,1,248,412
Huron--Bruce/Huron--Bruce,198,Exeter,77,4,16,0,112,6,0,215,324
Huron--Bruce/Huron--Bruce,199,Exeter,101,2,35,4,110,5,2,259,473
Huron--Bruce/Huron--Bruce,200,Exeter,63,3,28,2,76,3,0,175,311
Huron--Bruce/Huron--Bruce,201,Exeter,123,1,16,1,166,8,0,315,492
Huron--Bruce/Huron--Bruce,202,Usborne,68,1,13,2,90,6,0,180,298
Huron--Bruce/Huron--Bruce,203,Usborne,67,1,16,0,71,6,0,161,317
Huron--Bruce/Huron--Bruce,204,Usborne,87,1,32,2,92,7,1,222,374
Huron--Bruce/Huron--Bruce,205,Stephen,36,5,38,2,31,3,0,115,270
Huron--Bruce/Huron--Bruce,206,Stephen,28,2,38,3,40,6,1,118,268
Huron--Bruce/Huron--Bruce,207,Stephen,47,3,35,3,72,4,1,165,304
Huron--Bruce/Huron--Bruce,500,Mobile poll/Bureau itinérant,19,1,4,3,44,1,1,73,105
Huron--Bruce/Huron--Bruce,501,Mobile poll/Bureau itinérant,25,0,8,0,51,0,2,86,113
Huron--Bruce/Huron--Bruce,502A,Mobile poll/Bureau itinérant,21,1,4,0,42,0,0,68,174
Huron--Bruce/Huron--Bruce,502B,Mobile poll/Bureau itinérant,Merged with No. 501,,,,,,,,13
Huron--Bruce/Huron--Bruce,503,Mobile poll/Bureau itinérant,35,2,4,2,52,0,0,95,178
Huron--Bruce/Huron--Bruce,504A,Mobile poll/Bureau itinérant,27,1,3,3,61,0,0,95,140
Huron--Bruce/Huron--Bruce,504B,Mobile poll/Bureau itinérant,6,0,3,0,45,1,2,57,123
Huron--Bruce/Huron--Bruce,505,Mobile poll/Bureau itinérant,35,1,8,3,64,0,5,116,210
Huron--Bruce/Huron--Bruce,506,Mobile poll/Bureau itinérant,45,2,8,0,41,1,1,98,141
Huron--Bruce/Huron--Bruce,600,Port Elgin,303,7,108,4,504,19,0,945,
Huron--Bruce/Huron--Bruce,601,Kincardine,333,7,119,15,586,35,4,1099,
Huron--Bruce/Huron--Bruce,602,Walkerton,206,8,64,2,241,17,1,539,
Huron--Bruce/Huron--Bruce,603,Lucknow,98,4,39,0,127,4,2,274,
Huron--Bruce/Huron--Bruce,604,Wingham,212,10,61,4,270,16,0,573,
Huron--Bruce/Huron--Bruce,605,Goderich,309,9,156,2,502,22,8,1008,
Huron--Bruce/Huron--Bruce,606,Clinton,208,13,54,2,259,9,2,547,
Huron--Bruce/Huron--Bruce,607,Seaforth,116,3,44,1,124,6,0,294,
Huron--Bruce/Huron--Bruce,608,Exeter,299,7,59,2,239,17,0,623,
Huron--Bruce/Huron--Bruce,,Group 1/Groupe 1,43,1,7,2,31,7,0,91,201
Huron--Bruce/Huron--Bruce,,Group 2/Groupe 2,122,7,56,1,195,10,13,404,
