District,Poll Number,Poll Name,Dave Fluri,Ross MacLean,Al McDonald,Anthony Rota,Les Wilcox,Rejected Ballots,Total Vote,Electors
Nipissing--Timiskaming/Nipissing--Timiskaming,87,North Bay,36,0,48,54,10,0,148,318
Nipissing--Timiskaming/Nipissing--Timiskaming,88,North Bay,27,1,52,46,5,1,132,274
Nipissing--Timiskaming/Nipissing--Timiskaming,89,North Bay,22,1,44,92,2,0,161,360
Nipissing--Timiskaming/Nipissing--Timiskaming,90,North Bay,30,2,47,86,14,0,179,344
Nipissing--Timiskaming/Nipissing--Timiskaming,91,North Bay,37,1,38,61,8,3,148,356
Nipissing--Timiskaming/Nipissing--Timiskaming,92,North Bay,21,2,42,71,9,1,146,336
Nipissing--Timiskaming/Nipissing--Timiskaming,93,North Bay,36,0,103,122,7,2,270,445
Nipissing--Timiskaming/Nipissing--Timiskaming,94,North Bay,47,1,86,106,2,2,244,375
Nipissing--Timiskaming/Nipissing--Timiskaming,95,North Bay,13,1,64,59,6,0,143,269
Nipissing--Timiskaming/Nipissing--Timiskaming,96,North Bay,24,0,73,97,4,1,199,266
Nipissing--Timiskaming/Nipissing--Timiskaming,97,North Bay,26,1,86,93,6,2,214,329
Nipissing--Timiskaming/Nipissing--Timiskaming,98,North Bay,29,0,83,84,3,0,199,397
Nipissing--Timiskaming/Nipissing--Timiskaming,99,North Bay,36,1,76,67,5,0,185,363
Nipissing--Timiskaming/Nipissing--Timiskaming,100,North Bay,22,0,33,39,3,0,97,199
Nipissing--Timiskaming/Nipissing--Timiskaming,101,North Bay,38,0,109,153,8,1,309,535
Nipissing--Timiskaming/Nipissing--Timiskaming,102,North Bay,37,0,81,86,4,1,209,474
Nipissing--Timiskaming/Nipissing--Timiskaming,103,North Bay,23,0,80,68,6,2,179,311
Nipissing--Timiskaming/Nipissing--Timiskaming,104,North Bay,40,1,52,64,4,0,161,390
Nipissing--Timiskaming/Nipissing--Timiskaming,105,North Bay,29,0,38,63,4,1,135,253
Nipissing--Timiskaming/Nipissing--Timiskaming,106,North Bay,24,0,58,64,3,0,149,263
Nipissing--Timiskaming/Nipissing--Timiskaming,107,North Bay,50,0,29,56,8,0,143,293
Nipissing--Timiskaming/Nipissing--Timiskaming,108,North Bay,31,4,86,108,11,1,241,408
Nipissing--Timiskaming/Nipissing--Timiskaming,109,North Bay,26,0,114,117,6,0,263,417
Nipissing--Timiskaming/Nipissing--Timiskaming,110,North Bay,36,0,110,129,4,1,280,431
Nipissing--Timiskaming/Nipissing--Timiskaming,111,North Bay,31,0,82,96,7,0,216,397
Nipissing--Timiskaming/Nipissing--Timiskaming,112,North Bay,42,1,86,84,6,0,219,394
Nipissing--Timiskaming/Nipissing--Timiskaming,113,North Bay,45,2,69,96,9,2,223,390
Nipissing--Timiskaming/Nipissing--Timiskaming,114,North Bay,24,0,67,78,8,0,177,275
Nipissing--Timiskaming/Nipissing--Timiskaming,115,North Bay,36,1,63,89,6,1,196,338
Nipissing--Timiskaming/Nipissing--Timiskaming,116,North Bay,22,2,51,75,2,1,153,252
Nipissing--Timiskaming/Nipissing--Timiskaming,117,North Bay,35,0,49,78,4,1,167,247
Nipissing--Timiskaming/Nipissing--Timiskaming,118,North Bay,30,0,76,100,3,1,210,323
Nipissing--Timiskaming/Nipissing--Timiskaming,119,North Bay,24,0,87,93,8,1,213,340
Nipissing--Timiskaming/Nipissing--Timiskaming,120,North Bay,29,0,72,82,9,0,192,366
Nipissing--Timiskaming/Nipissing--Timiskaming,121,North Bay,34,0,134,169,2,0,339,571
Nipissing--Timiskaming/Nipissing--Timiskaming,122,North Bay,31,0,79,67,2,0,179,320
Nipissing--Timiskaming/Nipissing--Timiskaming,123,North Bay,43,3,96,105,6,1,254,402
Nipissing--Timiskaming/Nipissing--Timiskaming,124,North Bay,34,1,87,119,7,1,249,427
Nipissing--Timiskaming/Nipissing--Timiskaming,125,North Bay,23,0,89,84,3,1,200,342
Nipissing--Timiskaming/Nipissing--Timiskaming,126,North Bay,35,1,63,60,9,0,168,321
Nipissing--Timiskaming/Nipissing--Timiskaming,127,North Bay,40,0,103,90,8,0,241,388
Nipissing--Timiskaming/Nipissing--Timiskaming,128,North Bay,20,0,59,88,3,1,171,349
Nipissing--Timiskaming/Nipissing--Timiskaming,129,North Bay,41,1,96,87,4,0,229,373
Nipissing--Timiskaming/Nipissing--Timiskaming,130,North Bay,43,0,79,110,3,0,235,442
Nipissing--Timiskaming/Nipissing--Timiskaming,131,North Bay,43,0,98,81,6,1,229,429
Nipissing--Timiskaming/Nipissing--Timiskaming,132,North Bay,17,2,40,63,3,0,125,316
Nipissing--Timiskaming/Nipissing--Timiskaming,133,North Bay,13,1,62,85,2,0,163,354
Nipissing--Timiskaming/Nipissing--Timiskaming,134,North Bay,41,2,65,61,4,0,173,356
Nipissing--Timiskaming/Nipissing--Timiskaming,135,North Bay,31,2,114,121,5,0,273,414
Nipissing--Timiskaming/Nipissing--Timiskaming,136,North Bay,43,0,57,74,15,1,190,402
Nipissing--Timiskaming/Nipissing--Timiskaming,137,North Bay,35,2,60,90,5,0,192,375
Nipissing--Timiskaming/Nipissing--Timiskaming,138,North Bay,24,0,38,78,6,2,148,273
Nipissing--Timiskaming/Nipissing--Timiskaming,139,North Bay,22,0,53,87,6,1,169,335
Nipissing--Timiskaming/Nipissing--Timiskaming,140,North Bay,38,3,50,94,5,0,190,322
Nipissing--Timiskaming/Nipissing--Timiskaming,141,North Bay,41,1,47,57,3,0,149,292
Nipissing--Timiskaming/Nipissing--Timiskaming,142,North Bay,36,1,41,97,7,3,185,361
Nipissing--Timiskaming/Nipissing--Timiskaming,143,North Bay ,27,2,38,56,9,1,133,268
Nipissing--Timiskaming/Nipissing--Timiskaming,144,North Bay,40,0,50,68,10,0,168,333
Nipissing--Timiskaming/Nipissing--Timiskaming,145,North Bay,27,2,56,73,7,1,166,339
Nipissing--Timiskaming/Nipissing--Timiskaming,146,North Bay,58,1,55,77,7,2,200,413
Nipissing--Timiskaming/Nipissing--Timiskaming,147,North Bay,31,1,62,51,3,3,151,343
Nipissing--Timiskaming/Nipissing--Timiskaming,148,North Bay,40,0,40,59,10,0,149,271
Nipissing--Timiskaming/Nipissing--Timiskaming,149,North Bay,68,1,80,109,9,2,269,572
Nipissing--Timiskaming/Nipissing--Timiskaming,150,North Bay ,7,0,33,66,0,2,108,214
Nipissing--Timiskaming/Nipissing--Timiskaming,151,North Bay,32,0,21,47,1,1,102,237
Nipissing--Timiskaming/Nipissing--Timiskaming,152,North Bay,30,0,114,69,6,0,219,368
Nipissing--Timiskaming/Nipissing--Timiskaming,153,East Ferris,40,2,90,100,19,1,252,417
Nipissing--Timiskaming/Nipissing--Timiskaming,154,East Ferris,25,1,101,86,6,1,220,345
Nipissing--Timiskaming/Nipissing--Timiskaming,155,Bonfield,40,5,89,88,4,0,226,408
Nipissing--Timiskaming/Nipissing--Timiskaming,156,Bonfield,59,1,96,96,4,1,257,445
Nipissing--Timiskaming/Nipissing--Timiskaming,157,Bonfield,17,0,62,61,0,2,142,265
Nipissing--Timiskaming/Nipissing--Timiskaming,158,Bonfield,42,1,88,128,6,3,268,483
Nipissing--Timiskaming/Nipissing--Timiskaming,159,Nosbosing,35,1,82,97,6,1,222,402
Nipissing--Timiskaming/Nipissing--Timiskaming,160,Corbeil,37,1,63,93,9,2,205,319
Nipissing--Timiskaming/Nipissing--Timiskaming,161,Derland,47,1,74,61,3,0,186,304
Nipissing--Timiskaming/Nipissing--Timiskaming,162,Derland,14,0,51,43,3,1,112,216
Nipissing--Timiskaming/Nipissing--Timiskaming,163,Callander,39,1,141,120,12,3,316,531
Nipissing--Timiskaming/Nipissing--Timiskaming,164,Callander,37,1,110,99,7,0,254,387
Nipissing--Timiskaming/Nipissing--Timiskaming,165,Callander,33,1,80,72,3,0,189,326
Nipissing--Timiskaming/Nipissing--Timiskaming,166,North Himsworth,24,1,121,84,3,1,234,398
Nipissing--Timiskaming/Nipissing--Timiskaming,167,North Himsworth,39,7,134,72,10,1,263,446
Nipissing--Timiskaming/Nipissing--Timiskaming,168,Astorville,19,0,80,106,3,1,209,341
Nipissing--Timiskaming/Nipissing--Timiskaming,169,Astorville,52,1,107,123,12,1,296,446
Nipissing--Timiskaming/Nipissing--Timiskaming,170,Astorville,36,0,72,96,5,0,209,399
Nipissing--Timiskaming/Nipissing--Timiskaming,171,Nipissing ,27,1,73,37,3,0,141,263
Nipissing--Timiskaming/Nipissing--Timiskaming,172,Nipissing,31,0,116,72,6,0,225,360
Nipissing--Timiskaming/Nipissing--Timiskaming,173,North Himsworth,29,0,63,46,8,0,146,236
Nipissing--Timiskaming/Nipissing--Timiskaming,174,North Himsworth,16,0,70,58,1,0,145,253
Nipissing--Timiskaming/Nipissing--Timiskaming,175,North Himsworth,20,1,68,43,1,0,133,247
Nipissing--Timiskaming/Nipissing--Timiskaming,176,South Himsworth,32,3,111,43,10,1,200,351
Nipissing--Timiskaming/Nipissing--Timiskaming,177,Nipissing ,50,0,135,68,6,0,259,362
Nipissing--Timiskaming/Nipissing--Timiskaming,178,Nipissing,22,0,68,33,8,0,131,219
Nipissing--Timiskaming/Nipissing--Timiskaming,179,South Himsworth,20,0,77,35,4,0,136,235
Nipissing--Timiskaming/Nipissing--Timiskaming,180,South Himsworth,43,0,149,84,7,0,283,492
Nipissing--Timiskaming/Nipissing--Timiskaming,181,Powassan,27,3,125,78,3,5,241,398
Nipissing--Timiskaming/Nipissing--Timiskaming,182,Powassan,13,2,65,27,2,1,110,230
Nipissing--Timiskaming/Nipissing--Timiskaming,183,South Himsworth,6,0,67,50,9,1,133,185
Nipissing--Timiskaming/Nipissing--Timiskaming,184,Trout Creek ,25,1,132,65,9,0,232,391
Nipissing--Timiskaming/Nipissing--Timiskaming,185,South Himsworth,39,4,162,100,13,2,320,497
Nipissing--Timiskaming/Nipissing--Timiskaming,186,Alderdale,55,0,124,91,9,0,279,447
Nipissing--Timiskaming/Nipissing--Timiskaming,187,Chiswick,31,0,55,59,7,1,153,280
Nipissing--Timiskaming/Nipissing--Timiskaming,188,Mattawa,27,1,71,73,5,1,178,364
Nipissing--Timiskaming/Nipissing--Timiskaming,189,Calvin ,50,2,109,70,14,1,246,423
Nipissing--Timiskaming/Nipissing--Timiskaming,190,Mattawa,16,0,23,32,4,0,75,143
Nipissing--Timiskaming/Nipissing--Timiskaming,191,Papineau,37,0,65,51,9,3,165,393
Nipissing--Timiskaming/Nipissing--Timiskaming,192,Mattawa,30,3,42,69,0,1,145,368
Nipissing--Timiskaming/Nipissing--Timiskaming,193,Mattawa,28,1,85,74,2,1,191,375
Nipissing--Timiskaming/Nipissing--Timiskaming,194,Mattawa,45,0,62,77,4,1,189,316
Nipissing--Timiskaming/Nipissing--Timiskaming,195,Mattawa,47,1,105,96,10,3,262,553
Nipissing--Timiskaming/Nipissing--Timiskaming,196,Trout Creek Community Centre,Merged with No. 184,,,,,,,4
Nipissing--Timiskaming/Nipissing--Timiskaming,500,Mobile poll/Bureau itinérant,17,1,16,19,1,1,55,143
Nipissing--Timiskaming/Nipissing--Timiskaming,501,Mobile poll/Bureau itinérant,16,11,59,68,7,10,171,351
Nipissing--Timiskaming/Nipissing--Timiskaming,502,Mobile poll/Bureau itinérant,1,0,9,50,0,0,60,87
Nipissing--Timiskaming/Nipissing--Timiskaming,503,Mobile poll/Bureau itinérant,6,2,21,31,0,1,61,243
Nipissing--Timiskaming/Nipissing--Timiskaming,600,Temiskaming Shores,64,1,112,209,9,2,397,
Nipissing--Timiskaming/Nipissing--Timiskaming,601,Temiskaming Shores,93,1,119,165,13,0,391,
Nipissing--Timiskaming/Nipissing--Timiskaming,602,Temagami,20,0,54,54,8,0,136,
Nipissing--Timiskaming/Nipissing--Timiskaming,603,North Bay,87,1,327,363,16,1,795,
Nipissing--Timiskaming/Nipissing--Timiskaming,604,North Bay,31,1,218,227,7,0,484,
Nipissing--Timiskaming/Nipissing--Timiskaming,605,North Bay,87,3,265,287,16,7,665,
Nipissing--Timiskaming/Nipissing--Timiskaming,606,North Bay,65,2,256,231,13,1,568,
Nipissing--Timiskaming/Nipissing--Timiskaming,607,North Bay,17,0,64,97,2,0,180,
Nipissing--Timiskaming/Nipissing--Timiskaming,608,North Bay,60,2,208,187,23,2,482,
Nipissing--Timiskaming/Nipissing--Timiskaming,609,Corbeil,20,1,87,66,6,1,181,
Nipissing--Timiskaming/Nipissing--Timiskaming,610,Powassan,26,0,95,45,7,1,174,
Nipissing--Timiskaming/Nipissing--Timiskaming,611,Mattawa,24,0,112,82,7,1,226,
Nipissing--Timiskaming/Nipissing--Timiskaming,,Group 1/Groupe 1,22,2,95,93,13,3,228,597
Nipissing--Timiskaming/Nipissing--Timiskaming,,Group 2/Groupe 2,107,6,423,347,33,10,926,
