District,Poll Number,Poll Name,Shel Goldstein,Corrinne Prévost,Max Silverman,Bernie Tanz,Joseph Volpe,Rejected Ballots,Total Vote,Electors
Eglinton--Lawrence/Eglinton--Lawrence,24,North York,12,2,23,71,137,0,245,393
Eglinton--Lawrence/Eglinton--Lawrence,25,Toronto,16,0,9,67,160,0,252,408
Eglinton--Lawrence/Eglinton--Lawrence,26,Toronto,10,0,23,57,179,1,270,430
Eglinton--Lawrence/Eglinton--Lawrence,27,Toronto,10,0,28,79,195,0,312,475
Eglinton--Lawrence/Eglinton--Lawrence,28,Toronto,12,0,17,91,175,0,295,446
Eglinton--Lawrence/Eglinton--Lawrence,29,Toronto,13,0,11,55,164,1,244,352
Eglinton--Lawrence/Eglinton--Lawrence,30,North York,9,0,16,69,125,0,219,437
Eglinton--Lawrence/Eglinton--Lawrence,31,North York,7,0,14,59,136,3,219,404
Eglinton--Lawrence/Eglinton--Lawrence,32,Toronto,6,1,15,67,153,0,242,361
Eglinton--Lawrence/Eglinton--Lawrence,33,Toronto,12,0,15,65,172,1,265,363
Eglinton--Lawrence/Eglinton--Lawrence,34,Toronto,13,1,36,71,168,0,289,443
Eglinton--Lawrence/Eglinton--Lawrence,35,Toronto,17,1,32,45,183,0,278,421
Eglinton--Lawrence/Eglinton--Lawrence,36,Toronto,12,0,36,53,140,0,241,357
Eglinton--Lawrence/Eglinton--Lawrence,37,Toronto,12,0,22,58,191,1,284,416
Eglinton--Lawrence/Eglinton--Lawrence,38,Toronto,20,0,32,76,158,2,288,457
Eglinton--Lawrence/Eglinton--Lawrence,39,North York,12,0,24,57,145,1,239,447
Eglinton--Lawrence/Eglinton--Lawrence,40,North York,8,0,4,56,91,0,159,278
Eglinton--Lawrence/Eglinton--Lawrence,41,North York,7,0,11,75,125,0,218,402
Eglinton--Lawrence/Eglinton--Lawrence,42,North York,15,2,17,91,158,1,284,485
Eglinton--Lawrence/Eglinton--Lawrence,43,North York,9,3,29,57,136,1,235,453
Eglinton--Lawrence/Eglinton--Lawrence,44,Toronto,4,0,15,82,161,0,262,395
Eglinton--Lawrence/Eglinton--Lawrence,45,Toronto,18,1,29,52,172,1,273,442
Eglinton--Lawrence/Eglinton--Lawrence,46,Toronto,10,0,28,49,141,1,229,354
Eglinton--Lawrence/Eglinton--Lawrence,47,North York,11,0,24,22,182,0,239,432
Eglinton--Lawrence/Eglinton--Lawrence,48,North York,8,1,29,34,180,4,256,440
Eglinton--Lawrence/Eglinton--Lawrence,49,North York,6,4,10,33,107,0,160,235
Eglinton--Lawrence/Eglinton--Lawrence,50,North York,5,1,24,68,109,5,212,340
Eglinton--Lawrence/Eglinton--Lawrence,51,North York,5,0,39,62,143,2,251,517
Eglinton--Lawrence/Eglinton--Lawrence,52,North York,8,1,48,50,96,0,203,415
Eglinton--Lawrence/Eglinton--Lawrence,53,North York,8,0,16,39,90,0,153,318
Eglinton--Lawrence/Eglinton--Lawrence,54,North York,7,0,38,43,75,0,163,369
Eglinton--Lawrence/Eglinton--Lawrence,55,North York,12,1,22,66,97,0,198,344
Eglinton--Lawrence/Eglinton--Lawrence,56,North York,6,0,20,70,125,0,221,422
Eglinton--Lawrence/Eglinton--Lawrence,57,North York,4,1,10,35,98,1,149,312
Eglinton--Lawrence/Eglinton--Lawrence,58,North York,5,1,25,43,126,0,200,414
Eglinton--Lawrence/Eglinton--Lawrence,59,North York,10,0,23,21,80,0,134,244
Eglinton--Lawrence/Eglinton--Lawrence,60,North York,Void,,,,,,,
Eglinton--Lawrence/Eglinton--Lawrence,61,North York,1,0,22,26,56,0,105,198
Eglinton--Lawrence/Eglinton--Lawrence,62,North York,11,0,26,64,146,1,248,441
Eglinton--Lawrence/Eglinton--Lawrence,63,North York,14,3,22,54,156,0,249,448
Eglinton--Lawrence/Eglinton--Lawrence,64,North York,12,0,38,50,118,1,219,418
Eglinton--Lawrence/Eglinton--Lawrence,65,North York,1,0,27,19,107,0,154,354
Eglinton--Lawrence/Eglinton--Lawrence,66,North York,5,0,35,16,129,4,189,459
Eglinton--Lawrence/Eglinton--Lawrence,67,North York,4,1,59,32,150,0,246,577
Eglinton--Lawrence/Eglinton--Lawrence,68,North York,2,0,37,9,107,2,157,369
Eglinton--Lawrence/Eglinton--Lawrence,69,North York,3,0,31,23,170,2,229,409
Eglinton--Lawrence/Eglinton--Lawrence,70,North York,19,0,73,59,303,7,461,864
Eglinton--Lawrence/Eglinton--Lawrence,71,North York,Void,,,,,,,
Eglinton--Lawrence/Eglinton--Lawrence,72,North York,5,6,31,26,151,1,220,375
Eglinton--Lawrence/Eglinton--Lawrence,73,North York,3,2,26,32,137,3,203,337
Eglinton--Lawrence/Eglinton--Lawrence,74A,North York,3,0,3,4,62,0,72,370
Eglinton--Lawrence/Eglinton--Lawrence,74B,North York,4,5,18,19,199,4,249,256
Eglinton--Lawrence/Eglinton--Lawrence,75,North York,11,0,33,38,162,0,244,387
Eglinton--Lawrence/Eglinton--Lawrence,76,North York,8,1,26,42,149,4,230,397
Eglinton--Lawrence/Eglinton--Lawrence,77,North York,7,0,20,42,124,1,194,411
Eglinton--Lawrence/Eglinton--Lawrence,78,North York,7,0,16,101,90,4,218,567
Eglinton--Lawrence/Eglinton--Lawrence,79,North York,6,1,23,43,72,0,145,278
Eglinton--Lawrence/Eglinton--Lawrence,80,North York,8,0,29,76,156,3,272,466
Eglinton--Lawrence/Eglinton--Lawrence,81,North York,6,1,21,36,149,0,213,369
Eglinton--Lawrence/Eglinton--Lawrence,82,North York,4,1,31,28,207,4,275,419
Eglinton--Lawrence/Eglinton--Lawrence,83,North York,6,2,45,29,144,3,229,507
Eglinton--Lawrence/Eglinton--Lawrence,84,North York,10,2,38,38,119,0,207,577
Eglinton--Lawrence/Eglinton--Lawrence,85,North York,7,0,24,21,161,3,216,409
Eglinton--Lawrence/Eglinton--Lawrence,86,North York,6,0,25,46,168,2,247,476
Eglinton--Lawrence/Eglinton--Lawrence,87,North York,12,1,22,33,129,3,200,324
Eglinton--Lawrence/Eglinton--Lawrence,88,North York,9,2,13,14,147,0,185,319
Eglinton--Lawrence/Eglinton--Lawrence,89,North York,3,0,34,11,109,2,159,333
Eglinton--Lawrence/Eglinton--Lawrence,90,North York,4,3,27,102,133,3,272,490
Eglinton--Lawrence/Eglinton--Lawrence,91,North York,6,2,34,102,158,1,303,566
Eglinton--Lawrence/Eglinton--Lawrence,92,North York,11,1,19,55,129,1,216,425
Eglinton--Lawrence/Eglinton--Lawrence,93,North York,12,0,17,67,87,2,185,330
Eglinton--Lawrence/Eglinton--Lawrence,94,Toronto,13,1,9,53,113,0,189,288
Eglinton--Lawrence/Eglinton--Lawrence,95,Toronto,18,0,16,81,155,0,270,409
Eglinton--Lawrence/Eglinton--Lawrence,96,Toronto,15,0,40,33,119,1,208,407
Eglinton--Lawrence/Eglinton--Lawrence,97,Toronto,11,0,20,48,158,0,237,380
Eglinton--Lawrence/Eglinton--Lawrence,98,Toronto,12,0,19,69,161,0,261,411
Eglinton--Lawrence/Eglinton--Lawrence,99,Toronto,11,0,9,76,144,2,242,432
Eglinton--Lawrence/Eglinton--Lawrence,100,North York,9,0,9,101,88,5,212,438
Eglinton--Lawrence/Eglinton--Lawrence,101,North York,4,0,15,106,126,1,252,469
Eglinton--Lawrence/Eglinton--Lawrence,102,North York,3,2,14,85,85,0,189,456
Eglinton--Lawrence/Eglinton--Lawrence,103,North York,8,0,17,90,89,0,204,377
Eglinton--Lawrence/Eglinton--Lawrence,104,North York,4,0,10,70,97,0,181,362
Eglinton--Lawrence/Eglinton--Lawrence,105,North York,10,0,6,87,92,1,196,366
Eglinton--Lawrence/Eglinton--Lawrence,106,North York,2,0,9,113,146,0,270,419
Eglinton--Lawrence/Eglinton--Lawrence,107,Toronto,12,0,15,98,162,0,287,438
Eglinton--Lawrence/Eglinton--Lawrence,108,Toronto,12,0,9,58,179,1,259,393
Eglinton--Lawrence/Eglinton--Lawrence,109,Toronto,10,0,17,83,174,0,284,434
Eglinton--Lawrence/Eglinton--Lawrence,110,Toronto,10,0,3,70,143,0,226,361
Eglinton--Lawrence/Eglinton--Lawrence,111,Toronto,14,0,16,58,177,1,266,458
Eglinton--Lawrence/Eglinton--Lawrence,112,Toronto,21,1,21,43,188,0,274,429
Eglinton--Lawrence/Eglinton--Lawrence,113,Toronto,27,0,29,83,165,0,304,475
Eglinton--Lawrence/Eglinton--Lawrence,114,Toronto,12,0,11,72,129,0,224,369
Eglinton--Lawrence/Eglinton--Lawrence,115,Toronto,7,0,12,69,129,0,217,393
Eglinton--Lawrence/Eglinton--Lawrence,116,York,3,1,34,32,137,3,210,484
Eglinton--Lawrence/Eglinton--Lawrence,117,York,6,1,24,41,142,2,216,473
Eglinton--Lawrence/Eglinton--Lawrence,118,York,4,0,37,32,139,4,216,499
Eglinton--Lawrence/Eglinton--Lawrence,119,York,11,1,34,56,196,5,303,588
Eglinton--Lawrence/Eglinton--Lawrence,120,York,Void,,,,,,,
Eglinton--Lawrence/Eglinton--Lawrence,121,York,5,0,41,29,93,3,171,503
Eglinton--Lawrence/Eglinton--Lawrence,122,York,8,0,26,31,124,2,191,448
Eglinton--Lawrence/Eglinton--Lawrence,123,York,15,1,24,34,124,1,199,400
Eglinton--Lawrence/Eglinton--Lawrence,124,York,14,0,29,30,130,2,205,418
Eglinton--Lawrence/Eglinton--Lawrence,125,York,12,0,32,43,173,4,264,517
Eglinton--Lawrence/Eglinton--Lawrence,126,York,14,2,29,23,73,2,143,367
Eglinton--Lawrence/Eglinton--Lawrence,127,York,8,0,32,43,127,3,213,501
Eglinton--Lawrence/Eglinton--Lawrence,128,York,4,2,35,25,143,2,211,415
Eglinton--Lawrence/Eglinton--Lawrence,129,York,4,0,13,16,82,1,116,232
Eglinton--Lawrence/Eglinton--Lawrence,130,York,3,0,21,12,63,1,100,188
Eglinton--Lawrence/Eglinton--Lawrence,131,York,8,0,16,21,67,1,113,266
Eglinton--Lawrence/Eglinton--Lawrence,132,North York,8,0,29,38,201,2,278,485
Eglinton--Lawrence/Eglinton--Lawrence,133,North York,8,0,21,15,117,2,163,313
Eglinton--Lawrence/Eglinton--Lawrence,134,North York,12,3,5,119,123,1,263,486
Eglinton--Lawrence/Eglinton--Lawrence,135,Toronto,8,1,39,22,74,1,145,324
Eglinton--Lawrence/Eglinton--Lawrence,136,Toronto,7,0,42,28,58,1,136,275
Eglinton--Lawrence/Eglinton--Lawrence,137,Toronto,10,1,17,37,128,1,194,336
Eglinton--Lawrence/Eglinton--Lawrence,138,Toronto,3,0,8,42,52,2,107,169
Eglinton--Lawrence/Eglinton--Lawrence,139,Toronto,9,0,20,68,125,1,223,330
Eglinton--Lawrence/Eglinton--Lawrence,140,Toronto,13,0,12,116,174,0,315,439
Eglinton--Lawrence/Eglinton--Lawrence,141,Toronto,4,0,8,50,75,0,137,222
Eglinton--Lawrence/Eglinton--Lawrence,142,Toronto,9,0,15,108,109,1,242,381
Eglinton--Lawrence/Eglinton--Lawrence,143,Toronto,8,0,8,98,118,0,232,379
Eglinton--Lawrence/Eglinton--Lawrence,144,Toronto,4,3,36,60,121,1,225,385
Eglinton--Lawrence/Eglinton--Lawrence,145,Toronto,12,2,30,54,112,1,211,454
Eglinton--Lawrence/Eglinton--Lawrence,146,Toronto,10,0,28,27,97,1,163,237
Eglinton--Lawrence/Eglinton--Lawrence,147,Toronto,6,0,28,32,94,0,160,339
Eglinton--Lawrence/Eglinton--Lawrence,148,Toronto,11,0,36,47,99,2,195,403
Eglinton--Lawrence/Eglinton--Lawrence,149,Toronto,9,0,25,29,114,0,177,323
Eglinton--Lawrence/Eglinton--Lawrence,150,Toronto,8,0,22,83,175,2,290,510
Eglinton--Lawrence/Eglinton--Lawrence,151,Toronto,6,0,41,23,148,3,221,373
Eglinton--Lawrence/Eglinton--Lawrence,152,Toronto,6,0,45,61,188,1,301,554
Eglinton--Lawrence/Eglinton--Lawrence,153,Toronto,5,0,21,55,104,0,185,329
Eglinton--Lawrence/Eglinton--Lawrence,154,Toronto,3,1,9,93,139,1,246,363
Eglinton--Lawrence/Eglinton--Lawrence,155,Toronto,14,1,32,38,102,3,190,428
Eglinton--Lawrence/Eglinton--Lawrence,156,Toronto,11,1,23,84,221,0,340,508
Eglinton--Lawrence/Eglinton--Lawrence,157,Toronto,14,0,21,56,178,0,269,391
Eglinton--Lawrence/Eglinton--Lawrence,158,Toronto,14,0,22,63,190,1,290,411
Eglinton--Lawrence/Eglinton--Lawrence,159,Toronto,6,0,21,49,117,0,193,292
Eglinton--Lawrence/Eglinton--Lawrence,160,Toronto,11,0,29,37,139,0,216,328
Eglinton--Lawrence/Eglinton--Lawrence,161,Toronto,12,1,13,56,172,0,254,390
Eglinton--Lawrence/Eglinton--Lawrence,162,Toronto,15,0,19,50,125,2,211,384
Eglinton--Lawrence/Eglinton--Lawrence,163,Toronto,15,0,28,50,149,0,242,398
Eglinton--Lawrence/Eglinton--Lawrence,164,Toronto,13,1,32,91,196,0,333,494
Eglinton--Lawrence/Eglinton--Lawrence,165,Toronto,8,0,16,55,174,0,253,392
Eglinton--Lawrence/Eglinton--Lawrence,166,Toronto,18,0,23,41,170,0,252,413
Eglinton--Lawrence/Eglinton--Lawrence,167,Toronto,15,0,17,19,79,0,130,250
Eglinton--Lawrence/Eglinton--Lawrence,168,Toronto,12,1,41,45,128,0,227,432
Eglinton--Lawrence/Eglinton--Lawrence,169,Toronto,9,1,33,55,167,3,268,470
Eglinton--Lawrence/Eglinton--Lawrence,170,Toronto,28,0,82,66,218,1,395,633
Eglinton--Lawrence/Eglinton--Lawrence,171,Toronto,20,2,36,50,177,0,285,517
Eglinton--Lawrence/Eglinton--Lawrence,172,Toronto,6,0,25,37,89,3,160,306
Eglinton--Lawrence/Eglinton--Lawrence,400,North York,2,0,2,73,81,0,158,219
Eglinton--Lawrence/Eglinton--Lawrence,401,North York,2,0,12,29,78,2,123,155
Eglinton--Lawrence/Eglinton--Lawrence,402,North York,4,1,23,24,52,4,108,832
Eglinton--Lawrence/Eglinton--Lawrence,403,North York,4,0,25,43,90,0,162,195
Eglinton--Lawrence/Eglinton--Lawrence,404,North York,3,1,14,19,73,6,116,192
Eglinton--Lawrence/Eglinton--Lawrence,405,North York,9,1,15,9,96,3,133,174
Eglinton--Lawrence/Eglinton--Lawrence,406,North York,21,2,71,45,178,5,322,470
Eglinton--Lawrence/Eglinton--Lawrence,407,North York,1,1,17,18,112,3,152,228
Eglinton--Lawrence/Eglinton--Lawrence,408,North York,7,2,27,39,112,8,195,323
Eglinton--Lawrence/Eglinton--Lawrence,409,York,15,3,45,60,170,3,296,472
Eglinton--Lawrence/Eglinton--Lawrence,410,York,6,2,29,39,86,1,163,278
Eglinton--Lawrence/Eglinton--Lawrence,411,York,5,0,37,20,80,2,144,311
Eglinton--Lawrence/Eglinton--Lawrence,412,York,10,2,54,72,161,0,299,477
Eglinton--Lawrence/Eglinton--Lawrence,413,North York,4,1,32,21,73,5,136,285
Eglinton--Lawrence/Eglinton--Lawrence,414,York,1,0,17,10,66,5,99,247
Eglinton--Lawrence/Eglinton--Lawrence,415,York,7,1,36,35,115,0,194,370
Eglinton--Lawrence/Eglinton--Lawrence,416,North York,6,1,20,83,141,2,253,362
Eglinton--Lawrence/Eglinton--Lawrence,600,Toronto,25,1,56,306,477,4,869,
Eglinton--Lawrence/Eglinton--Lawrence,601,Toronto,49,2,70,277,609,2,1009,
Eglinton--Lawrence/Eglinton--Lawrence,602,Toronto,7,1,47,66,159,2,282,
Eglinton--Lawrence/Eglinton--Lawrence,603,Toronto,11,0,44,66,153,1,275,
Eglinton--Lawrence/Eglinton--Lawrence,604,Toronto,37,0,37,310,522,1,907,
Eglinton--Lawrence/Eglinton--Lawrence,605,Toronto,15,2,55,90,228,3,393,
Eglinton--Lawrence/Eglinton--Lawrence,606,Toronto,25,0,45,117,228,1,416,
Eglinton--Lawrence/Eglinton--Lawrence,607,Toronto,35,0,85,177,463,0,760,
Eglinton--Lawrence/Eglinton--Lawrence,,Group 1/Groupe 1,3,2,11,15,45,2,78,135
Eglinton--Lawrence/Eglinton--Lawrence,,Group 2/Groupe 2,28,0,65,257,560,28,938,
