District,Poll Number,Poll Name,Russ Christianson,Doug Galt,Steven Haylestrom,Paul Macklin,Rejected Ballots,Total Vote,Electors
Northumberland--Quinte West/Northumberland--Quinte West,21B,Mobile poll/Bureau itinérant,Merged with No. 14B,,,,,,24
Northumberland--Quinte West/Northumberland--Quinte West,22,Port Hope,44,58,17,116,0,235,417
Northumberland--Quinte West/Northumberland--Quinte West,23,Port Hope,55,48,14,99,1,217,371
Northumberland--Quinte West/Northumberland--Quinte West,24,Port Hope,55,124,6,123,0,308,524
Northumberland--Quinte West/Northumberland--Quinte West,25,Port Hope,44,74,21,137,3,279,469
Northumberland--Quinte West/Northumberland--Quinte West,26,Port Hope,44,23,73,92,0,232,411
Northumberland--Quinte West/Northumberland--Quinte West,27,Port Hope,48,40,24,102,1,215,398
Northumberland--Quinte West/Northumberland--Quinte West,28,Port Hope,53,53,28,59,3,196,429
Northumberland--Quinte West/Northumberland--Quinte West,29,Port Hope,40,56,14,57,1,168,360
Northumberland--Quinte West/Northumberland--Quinte West,30,Bewdley,38,90,14,83,0,225,327
Northumberland--Quinte West/Northumberland--Quinte West,31,Hamilton,38,69,11,43,1,162,288
Northumberland--Quinte West/Northumberland--Quinte West,32,Hamilton,43,66,18,36,1,164,263
Northumberland--Quinte West/Northumberland--Quinte West,33,Hamilton,17,42,10,91,0,160,326
Northumberland--Quinte West/Northumberland--Quinte West,34,Hamilton,29,88,16,107,0,240,377
Northumberland--Quinte West/Northumberland--Quinte West,35,Hamilton,56,145,20,110,0,331,565
Northumberland--Quinte West/Northumberland--Quinte West,36,Hamilton,54,131,25,121,2,333,481
Northumberland--Quinte West/Northumberland--Quinte West,37,Hamilton,42,146,17,117,0,322,528
Northumberland--Quinte West/Northumberland--Quinte West,38,Hamilton,35,142,18,129,0,324,521
Northumberland--Quinte West/Northumberland--Quinte West,39,Hamilton,31,96,9,95,2,233,387
Northumberland--Quinte West/Northumberland--Quinte West,40,Hamilton,39,103,9,96,1,248,430
Northumberland--Quinte West/Northumberland--Quinte West,41,Hamilton,51,135,26,159,1,372,584
Northumberland--Quinte West/Northumberland--Quinte West,42,Hamilton,55,156,19,152,2,384,633
Northumberland--Quinte West/Northumberland--Quinte West,43,Hamilton,40,173,25,160,1,399,687
Northumberland--Quinte West/Northumberland--Quinte West,44,Hamilton,47,128,11,154,2,342,578
Northumberland--Quinte West/Northumberland--Quinte West,45,Hamilton,17,54,4,52,1,128,214
Northumberland--Quinte West/Northumberland--Quinte West,46,Hamilton,17,84,17,90,1,209,338
Northumberland--Quinte West/Northumberland--Quinte West,47A,Hamilton,40,103,7,101,0,251,479
Northumberland--Quinte West/Northumberland--Quinte West,47B,Mobile poll/Bureau itinérant,Merged with No. 506,,,,,,64
Northumberland--Quinte West/Northumberland--Quinte West,48,Hamilton,22,37,7,82,1,149,325
Northumberland--Quinte West/Northumberland--Quinte West,49,Cobourg,21,90,12,81,1,205,362
Northumberland--Quinte West/Northumberland--Quinte West,50,Cobourg,28,116,20,197,1,362,539
Northumberland--Quinte West/Northumberland--Quinte West,51,Cobourg,58,156,9,169,3,395,618
Northumberland--Quinte West/Northumberland--Quinte West,52,Cobourg,115,71,12,53,4,255,546
Northumberland--Quinte West/Northumberland--Quinte West,53,Cobourg,41,64,17,95,2,219,365
Northumberland--Quinte West/Northumberland--Quinte West,54,Cobourg,53,72,9,122,3,259,452
Northumberland--Quinte West/Northumberland--Quinte West,55,Cobourg,25,90,12,103,0,230,388
Northumberland--Quinte West/Northumberland--Quinte West,56,Cobourg,44,94,13,138,1,290,467
Northumberland--Quinte West/Northumberland--Quinte West,57,Cobourg,32,51,12,72,2,169,334
Northumberland--Quinte West/Northumberland--Quinte West,58,Cobourg,51,73,17,98,2,241,465
Northumberland--Quinte West/Northumberland--Quinte West,59,Cobourg,54,67,10,112,3,246,409
Northumberland--Quinte West/Northumberland--Quinte West,60,Cobourg,31,51,12,78,3,175,388
Northumberland--Quinte West/Northumberland--Quinte West,61,Cobourg,57,147,19,108,2,333,582
Northumberland--Quinte West/Northumberland--Quinte West,62,Cobourg,51,86,9,85,0,231,376
Northumberland--Quinte West/Northumberland--Quinte West,63,Cobourg,30,58,9,51,0,148,287
Northumberland--Quinte West/Northumberland--Quinte West,64,Cobourg,39,102,11,113,0,265,427
Northumberland--Quinte West/Northumberland--Quinte West,65,Cobourg,26,65,6,75,0,172,277
Northumberland--Quinte West/Northumberland--Quinte West,66,Cobourg,39,87,8,129,2,265,399
Northumberland--Quinte West/Northumberland--Quinte West,67,Cobourg,27,63,6,69,1,166,251
Northumberland--Quinte West/Northumberland--Quinte West,68,Cobourg,30,89,15,87,3,224,359
Northumberland--Quinte West/Northumberland--Quinte West,69,Cobourg,56,87,15,113,0,271,510
Northumberland--Quinte West/Northumberland--Quinte West,70,Cobourg,46,124,13,138,0,321,511
Northumberland--Quinte West/Northumberland--Quinte West,71,Cobourg,22,80,5,135,3,245,398
Northumberland--Quinte West/Northumberland--Quinte West,72,Hamilton,22,54,9,69,0,154,275
Northumberland--Quinte West/Northumberland--Quinte West,73,Hamilton,34,110,15,127,0,286,480
Northumberland--Quinte West/Northumberland--Quinte West,74,Hamilton,67,110,23,196,2,398,625
Northumberland--Quinte West/Northumberland--Quinte West,75,Hamilton,37,56,14,112,3,222,427
Northumberland--Quinte West/Northumberland--Quinte West,76,Hamilton,62,112,22,174,3,373,575
Northumberland--Quinte West/Northumberland--Quinte West,77,Hamilton,42,60,17,149,0,268,408
Northumberland--Quinte West/Northumberland--Quinte West,78,Hamilton,35,106,13,130,1,285,403
Northumberland--Quinte West/Northumberland--Quinte West,79,Hamilton,32,72,10,135,0,249,387
Northumberland--Quinte West/Northumberland--Quinte West,80,Alnwick/Haldimand,53,126,17,160,1,357,604
Northumberland--Quinte West/Northumberland--Quinte West,81,Alnwick/Haldimand,40,117,15,102,1,275,471
Northumberland--Quinte West/Northumberland--Quinte West,82,Alnwick/Haldimand,50,136,20,142,0,348,542
Northumberland--Quinte West/Northumberland--Quinte West,83,Alnwick/Haldimand,36,144,14,123,3,320,492
Northumberland--Quinte West/Northumberland--Quinte West,84,Alnwick/Haldimand,59,135,32,123,1,350,636
Northumberland--Quinte West/Northumberland--Quinte West,85,Alnwick/Haldimand,40,140,16,126,0,322,532
Northumberland--Quinte West/Northumberland--Quinte West,86,Alnwick/Haldimand,46,127,17,130,1,321,514
Northumberland--Quinte West/Northumberland--Quinte West,87,Alnwick/Haldimand,42,113,9,80,5,249,397
Northumberland--Quinte West/Northumberland--Quinte West,88,Alnwick/Haldimand,35,101,8,85,0,229,334
Northumberland--Quinte West/Northumberland--Quinte West,89,Cramahe,22,113,15,87,1,238,370
Northumberland--Quinte West/Northumberland--Quinte West,90,Cramahe,50,148,31,117,0,346,574
Northumberland--Quinte West/Northumberland--Quinte West,91,Cramahe,70,199,24,118,2,413,608
Northumberland--Quinte West/Northumberland--Quinte West,92,Colborne,35,81,16,61,2,195,360
Northumberland--Quinte West/Northumberland--Quinte West,93,Cramahe,63,175,29,122,3,392,553
Northumberland--Quinte West/Northumberland--Quinte West,94,Colborne,42,116,14,101,1,274,453
Northumberland--Quinte West/Northumberland--Quinte West,95,Colborne,38,93,14,89,0,234,366
Northumberland--Quinte West/Northumberland--Quinte West,96,Colborne,19,92,17,80,2,210,312
Northumberland--Quinte West/Northumberland--Quinte West,97,Cramahe,26,81,17,68,2,194,287
Northumberland--Quinte West/Northumberland--Quinte West,98,Alderville 37,25,16,4,35,1,81,106
Northumberland--Quinte West/Northumberland--Quinte West,99,Hastings,20,49,6,58,1,134,244
Northumberland--Quinte West/Northumberland--Quinte West,100,Hastings,32,57,8,35,1,133,248
Northumberland--Quinte West/Northumberland--Quinte West,101,Hastings,30,98,5,81,0,214,402
Northumberland--Quinte West/Northumberland--Quinte West,102,Trent Hills,52,137,17,69,4,279,496
Northumberland--Quinte West/Northumberland--Quinte West,103,Trent Hills,38,125,23,92,0,278,430
Northumberland--Quinte West/Northumberland--Quinte West,104,Trent Hills,63,130,29,124,2,348,589
Northumberland--Quinte West/Northumberland--Quinte West,105,Trent Hills,68,110,22,87,1,288,473
Northumberland--Quinte West/Northumberland--Quinte West,106,Trent Hills,41,65,11,59,1,177,263
Northumberland--Quinte West/Northumberland--Quinte West,107,Trent Hills,35,99,7,68,0,209,321
Northumberland--Quinte West/Northumberland--Quinte West,108,Trent Hills,34,144,12,96,0,286,510
Northumberland--Quinte West/Northumberland--Quinte West,109,Trent Hills,69,81,7,56,1,214,369
Northumberland--Quinte West/Northumberland--Quinte West,110,Trent Hills,48,127,23,69,0,267,558
Northumberland--Quinte West/Northumberland--Quinte West,111,Trent Hills,45,109,11,74,0,239,397
Northumberland--Quinte West/Northumberland--Quinte West,112,Trent Hills,60,104,8,83,0,255,441
Northumberland--Quinte West/Northumberland--Quinte West,113A,Campbellford,54,98,10,63,2,227,418
Northumberland--Quinte West/Northumberland--Quinte West,113B,Mobile poll/Bureau itinérant,Merged with No. 500,,,,,,56
Northumberland--Quinte West/Northumberland--Quinte West,114A,Campbellford,43,81,11,69,1,205,470
Northumberland--Quinte West/Northumberland--Quinte West,114B,Mobile poll/Bureau itinérant,Merged with No. 500,,,,,,5
Northumberland--Quinte West/Northumberland--Quinte West,115,Campbellford,39,52,6,43,1,141,315
Northumberland--Quinte West/Northumberland--Quinte West,116,Campbellford,56,79,6,52,0,193,391
Northumberland--Quinte West/Northumberland--Quinte West,117,Campbellford,51,90,15,62,0,218,358
Northumberland--Quinte West/Northumberland--Quinte West,118,Campbellford,21,43,7,45,1,117,228
Northumberland--Quinte West/Northumberland--Quinte West,119,Campbellford,50,104,16,83,4,257,486
Northumberland--Quinte West/Northumberland--Quinte West,120,Trent Hills,46,94,20,73,0,233,415
Northumberland--Quinte West/Northumberland--Quinte West,121,Trent Hills,36,95,17,47,1,196,440
Northumberland--Quinte West/Northumberland--Quinte West,122,Trent Hills,30,110,6,59,0,205,412
Northumberland--Quinte West/Northumberland--Quinte West,123,Brighton,36,82,67,84,0,269,338
Northumberland--Quinte West/Northumberland--Quinte West,124,Brighton,56,129,21,107,0,313,504
Northumberland--Quinte West/Northumberland--Quinte West,125,Brighton,62,158,22,140,3,385,691
Northumberland--Quinte West/Northumberland--Quinte West,126,Brighton,52,128,18,137,2,337,596
Northumberland--Quinte West/Northumberland--Quinte West,127,Brighton,46,120,17,107,0,290,558
Northumberland--Quinte West/Northumberland--Quinte West,128,Brighton,39,101,12,147,0,299,482
Northumberland--Quinte West/Northumberland--Quinte West,129,Brighton,36,78,2,98,1,215,322
Northumberland--Quinte West/Northumberland--Quinte West,130,Brighton,39,80,26,97,1,243,354
Northumberland--Quinte West/Northumberland--Quinte West,131,Brighton,27,41,6,59,1,134,296
Northumberland--Quinte West/Northumberland--Quinte West,132,Brighton,29,59,7,66,0,161,335
Northumberland--Quinte West/Northumberland--Quinte West,133,Brighton,29,103,15,125,4,276,480
Northumberland--Quinte West/Northumberland--Quinte West,134,Brighton,16,46,5,44,1,112,197
Northumberland--Quinte West/Northumberland--Quinte West,135,Brighton,45,88,15,90,2,240,403
Northumberland--Quinte West/Northumberland--Quinte West,136,Brighton,35,172,26,210,3,446,655
Northumberland--Quinte West/Northumberland--Quinte West,137,Brighton,36,127,8,130,1,302,454
Northumberland--Quinte West/Northumberland--Quinte West,138,Brighton,28,108,10,67,1,214,349
Northumberland--Quinte West/Northumberland--Quinte West,139,Quinte West,66,208,20,104,0,398,648
Northumberland--Quinte West/Northumberland--Quinte West,140,Quinte West,43,114,5,56,1,219,334
Northumberland--Quinte West/Northumberland--Quinte West,141,Quinte West,35,69,13,41,0,158,257
Northumberland--Quinte West/Northumberland--Quinte West,142,Quinte West,38,144,19,152,0,353,603
Northumberland--Quinte West/Northumberland--Quinte West,143,Quinte West,40,133,15,106,0,294,523
Northumberland--Quinte West/Northumberland--Quinte West,144,Quinte West,60,184,15,147,2,408,715
Northumberland--Quinte West/Northumberland--Quinte West,145,Quinte West,36,114,7,111,0,268,437
Northumberland--Quinte West/Northumberland--Quinte West,146,Quinte West,16,81,6,78,1,182,357
Northumberland--Quinte West/Northumberland--Quinte West,147,Quinte West,30,100,22,109,1,262,485
Northumberland--Quinte West/Northumberland--Quinte West,148,Quinte West,36,114,13,139,2,304,460
Northumberland--Quinte West/Northumberland--Quinte West,149,Quinte West,44,140,15,131,2,332,647
Northumberland--Quinte West/Northumberland--Quinte West,150,Quinte West,37,85,8,80,1,211,371
Northumberland--Quinte West/Northumberland--Quinte West,151,Quinte West,48,62,4,78,0,192,436
Northumberland--Quinte West/Northumberland--Quinte West,152,Quinte West,26,52,3,69,0,150,382
Northumberland--Quinte West/Northumberland--Quinte West,153,Quinte West,40,65,4,66,0,175,522
Northumberland--Quinte West/Northumberland--Quinte West,154,Quinte West,26,64,6,61,1,158,322
Northumberland--Quinte West/Northumberland--Quinte West,155,Quinte West,18,36,2,49,0,105,237
Northumberland--Quinte West/Northumberland--Quinte West,156,Quinte West,25,121,14,118,3,281,539
Northumberland--Quinte West/Northumberland--Quinte West,157,Quinte West,21,87,8,148,2,266,444
Northumberland--Quinte West/Northumberland--Quinte West,158,Quinte West,33,31,8,66,0,138,308
Northumberland--Quinte West/Northumberland--Quinte West,159,Quinte West,40,53,16,116,1,226,477
Northumberland--Quinte West/Northumberland--Quinte West,160,Quinte West,32,75,7,82,1,197,402
Northumberland--Quinte West/Northumberland--Quinte West,161,Quinte West,30,42,1,61,1,135,287
Northumberland--Quinte West/Northumberland--Quinte West,162,Quinte West,36,55,2,67,0,160,393
Northumberland--Quinte West/Northumberland--Quinte West,163,Quinte West,40,78,5,64,0,187,519
Northumberland--Quinte West/Northumberland--Quinte West,164,Quinte West,20,34,7,53,1,115,378
Northumberland--Quinte West/Northumberland--Quinte West,165,Quinte West,45,107,22,119,0,293,532
Northumberland--Quinte West/Northumberland--Quinte West,166,Quinte West,34,144,9,180,3,370,646
Northumberland--Quinte West/Northumberland--Quinte West,167,Quinte West,32,71,11,132,0,246,455
Northumberland--Quinte West/Northumberland--Quinte West,168,Quinte West,28,75,13,90,1,207,455
Northumberland--Quinte West/Northumberland--Quinte West,169,Quinte West,26,28,7,37,0,98,296
Northumberland--Quinte West/Northumberland--Quinte West,170,Quinte West,20,26,6,40,0,92,259
Northumberland--Quinte West/Northumberland--Quinte West,171,Quinte West,41,78,13,69,1,202,438
Northumberland--Quinte West/Northumberland--Quinte West,172,Quinte West,41,52,6,68,2,169,361
Northumberland--Quinte West/Northumberland--Quinte West,173,Quinte West,39,84,6,88,2,219,506
Northumberland--Quinte West/Northumberland--Quinte West,174,Quinte West,29,47,10,61,0,147,305
Northumberland--Quinte West/Northumberland--Quinte West,175,Quinte West,26,53,3,65,0,147,374
Northumberland--Quinte West/Northumberland--Quinte West,176,Quinte West,26,51,2,69,0,148,360
Northumberland--Quinte West/Northumberland--Quinte West,177,Quinte West,22,71,8,79,2,182,408
Northumberland--Quinte West/Northumberland--Quinte West,178,Quinte West,33,78,3,88,0,202,385
Northumberland--Quinte West/Northumberland--Quinte West,179,Quinte West,35,56,8,98,1,198,358
Northumberland--Quinte West/Northumberland--Quinte West,180,Quinte West,17,105,4,139,2,267,467
Northumberland--Quinte West/Northumberland--Quinte West,181,Quinte West,16,75,2,126,0,219,364
Northumberland--Quinte West/Northumberland--Quinte West,182,Quinte West,38,74,8,76,1,197,497
Northumberland--Quinte West/Northumberland--Quinte West,183,Quinte West,25,107,13,106,2,253,466
Northumberland--Quinte West/Northumberland--Quinte West,184,Quinte West,35,109,19,90,0,253,410
Northumberland--Quinte West/Northumberland--Quinte West,185,Quinte West,45,113,13,84,2,257,373
Northumberland--Quinte West/Northumberland--Quinte West,186,Quinte West,33,143,19,109,2,306,519
Northumberland--Quinte West/Northumberland--Quinte West,187,Quinte West,52,154,13,79,0,298,547
Northumberland--Quinte West/Northumberland--Quinte West,188,Quinte West,26,87,4,46,0,163,327
Northumberland--Quinte West/Northumberland--Quinte West,189,Quinte West,40,94,7,69,0,210,382
Northumberland--Quinte West/Northumberland--Quinte West,190,Quinte West,38,98,13,65,0,214,453
Northumberland--Quinte West/Northumberland--Quinte West,191,Quinte West,44,125,8,115,1,293,461
Northumberland--Quinte West/Northumberland--Quinte West,192,Quinte West,35,136,10,104,1,286,467
Northumberland--Quinte West/Northumberland--Quinte West,193,Quinte West,27,75,9,45,0,156,288
Northumberland--Quinte West/Northumberland--Quinte West,194,Quinte West,30,65,8,65,0,168,336
Northumberland--Quinte West/Northumberland--Quinte West,195,Quinte West,38,156,11,78,0,283,472
Northumberland--Quinte West/Northumberland--Quinte West,196,Quinte West,24,123,13,117,1,278,458
Northumberland--Quinte West/Northumberland--Quinte West,197,Quinte West,38,105,14,113,1,271,501
Northumberland--Quinte West/Northumberland--Quinte West,198,Quinte West,15,38,6,48,0,107,208
Northumberland--Quinte West/Northumberland--Quinte West,199,Quinte West,43,74,10,137,0,264,509
Northumberland--Quinte West/Northumberland--Quinte West,200,Quinte West,35,92,3,121,1,252,454
Northumberland--Quinte West/Northumberland--Quinte West,201,Quinte West,32,110,16,87,1,246,403
Northumberland--Quinte West/Northumberland--Quinte West,202,Quinte West,22,54,6,89,0,171,431
Northumberland--Quinte West/Northumberland--Quinte West,203,Quinte West,37,82,10,78,1,208,441
Northumberland--Quinte West/Northumberland--Quinte West,204,Quinte West,42,74,11,101,1,229,409
Northumberland--Quinte West/Northumberland--Quinte West,205,Quinte West,40,71,5,97,0,213,331
Northumberland--Quinte West/Northumberland--Quinte West,206,Quinte West,54,89,15,130,2,290,652
Northumberland--Quinte West/Northumberland--Quinte West,207,Quinte West,42,81,10,96,2,231,710
Northumberland--Quinte West/Northumberland--Quinte West,208,Quinte West,22,47,5,38,0,112,389
Northumberland--Quinte West/Northumberland--Quinte West,209,Quinte West,15,64,4,31,2,116,382
Northumberland--Quinte West/Northumberland--Quinte West,500,Mobile poll/Bureau itinérant,16,34,1,21,2,74,56
Northumberland--Quinte West/Northumberland--Quinte West,501,Mobile poll/Bureau itinérant,2,27,1,15,1,46,79
Northumberland--Quinte West/Northumberland--Quinte West,502,Mobile poll/Bureau itinérant,13,57,5,53,1,129,257
Northumberland--Quinte West/Northumberland--Quinte West,503,Mobile poll/Bureau itinérant,6,11,0,29,0,46,93
Northumberland--Quinte West/Northumberland--Quinte West,504,Mobile poll/Bureau itinérant,7,19,3,39,2,70,163
Northumberland--Quinte West/Northumberland--Quinte West,505,Mobile poll/Bureau itinérant,7,39,4,38,0,88,212
Northumberland--Quinte West/Northumberland--Quinte West,506,Mobile poll/Bureau itinérant,17,38,5,64,2,126,187
Northumberland--Quinte West/Northumberland--Quinte West,600,Port Hope,104,368,40,423,1,936,
Northumberland--Quinte West/Northumberland--Quinte West,601,Hamilton,60,265,26,225,3,579,
Northumberland--Quinte West/Northumberland--Quinte West,602,Cobourg,88,429,21,373,5,916,
Northumberland--Quinte West/Northumberland--Quinte West,603,Alnwick/Haldimand,39,214,21,110,0,384,
Northumberland--Quinte West/Northumberland--Quinte West,604,Alderville First Nation,No poll held,,,,,,
Northumberland--Quinte West/Northumberland--Quinte West,605,Trent Hills,125,529,36,264,3,957,
Northumberland--Quinte West/Northumberland--Quinte West,606,Brighton,81,413,35,378,0,907,
Northumberland--Quinte West/Northumberland--Quinte West,607,Quinte West,112,442,29,352,7,942,
Northumberland--Quinte West/Northumberland--Quinte West,608,Quinte West,89,362,26,311,14,802,
Northumberland--Quinte West/Northumberland--Quinte West,,Group 1/Groupe 1,21,151,7,85,7,271,940
Northumberland--Quinte West/Northumberland--Quinte West,,Group 2/Groupe 2,69,253,22,252,4,600,
