District,Poll Number,Poll Name,Leslie Bartley,James Bender,Murray Coulter,Alex Kreider,Zoé Dorcas Kunschner,Dave Mackenzie,Kaye Sargent,Irene Tietz,Rejected Ballots,Total Vote,Electors
Oxford/Oxford,57,Woodstock,4,5,61,1,20,64,2,11,2,170,341
Oxford/Oxford,58,Woodstock,6,3,70,0,32,65,1,4,3,184,336
Oxford/Oxford,59,Woodstock,8,2,75,0,41,119,3,7,0,255,417
Oxford/Oxford,60,Woodstock,13,4,68,1,47,149,4,13,1,300,451
Oxford/Oxford,61,Woodstock,4,3,58,1,37,83,0,6,0,192,488
Oxford/Oxford,62,Woodstock,12,6,86,1,50,99,2,9,0,265,582
Oxford/Oxford,63,Woodstock,8,2,142,0,27,154,2,8,2,345,556
Oxford/Oxford,64,Woodstock,17,4,136,0,40,172,1,13,1,384,633
Oxford/Oxford,65,Woodstock,5,2,52,1,20,63,1,7,1,152,252
Oxford/Oxford,66,Woodstock,11,2,113,1,45,141,4,13,0,330,535
Oxford/Oxford,67,Woodstock,11,9,33,4,36,67,1,4,1,166,411
Oxford/Oxford,68,Woodstock,7,2,81,0,43,90,1,6,1,231,354
Oxford/Oxford,69,Woodstock,11,1,83,0,29,119,2,12,0,257,432
Oxford/Oxford,70,Woodstock,2,2,40,0,42,50,0,3,0,139,356
Oxford/Oxford,71,Woodstock,7,11,60,1,49,65,1,10,1,205,460
Oxford/Oxford,72,Woodstock,8,6,56,1,35,77,5,11,0,199,383
Oxford/Oxford,73,Woodstock,2,7,25,0,34,45,0,11,1,125,287
Oxford/Oxford,74,Woodstock,6,8,17,1,35,45,1,3,0,116,289
Oxford/Oxford,75,Woodstock,8,10,88,1,27,62,0,13,0,209,497
Oxford/Oxford,76,Woodstock,8,0,86,0,27,80,3,8,0,212,394
Oxford/Oxford,77,Woodstock,9,4,99,2,24,89,0,11,0,238,418
Oxford/Oxford,78,Woodstock,9,3,66,1,48,87,1,12,0,227,412
Oxford/Oxford,79,Woodstock,8,1,50,1,20,56,4,6,0,146,407
Oxford/Oxford,80,Woodstock,12,12,34,0,42,76,3,4,0,183,499
Oxford/Oxford,81,Woodstock,8,2,63,1,40,72,1,8,1,196,355
Oxford/Oxford,82,Woodstock,11,3,67,1,31,82,0,5,1,201,354
Oxford/Oxford,83,Woodstock,5,5,65,0,34,108,7,6,0,230,402
Oxford/Oxford,84,Woodstock,7,5,90,0,44,105,0,9,0,260,410
Oxford/Oxford,85,Woodstock,9,4,60,0,38,89,3,7,0,210,419
Oxford/Oxford,86,Woodstock,8,4,86,0,25,91,1,8,0,223,368
Oxford/Oxford,87,Woodstock,11,4,76,3,36,86,3,5,1,225,416
Oxford/Oxford,88,Woodstock,6,0,105,0,16,80,0,2,0,209,355
Oxford/Oxford,89,Woodstock,10,6,56,0,49,89,1,5,0,216,399
Oxford/Oxford,90,Woodstock,3,1,31,0,40,53,0,6,0,134,289
Oxford/Oxford,91,Woodstock,2,9,48,0,29,75,0,5,0,168,304
Oxford/Oxford,92,Woodstock,4,5,34,0,48,63,0,6,0,160,321
Oxford/Oxford,93,Woodstock,2,6,76,2,38,83,0,5,2,214,343
Oxford/Oxford,94,Woodstock,10,5,66,1,60,123,3,14,0,282,514
Oxford/Oxford,95,Woodstock,12,10,124,0,64,186,4,15,3,418,741
Oxford/Oxford,96,Woodstock,12,6,104,3,36,127,2,4,1,295,525
Oxford/Oxford,97,Woodstock,7,6,49,1,31,59,4,10,3,170,382
Oxford/Oxford,98,Woodstock,11,8,36,0,54,60,0,9,2,180,377
Oxford/Oxford,99,Woodstock,3,6,39,2,30,66,0,2,1,149,362
Oxford/Oxford,100,Woodstock,12,4,41,1,55,58,0,5,1,177,376
Oxford/Oxford,101,Woodstock,11,6,43,0,44,86,2,6,1,199,372
Oxford/Oxford,102,Woodstock,6,0,45,0,30,47,0,4,1,133,259
Oxford/Oxford,103,Woodstock,5,1,23,0,20,37,0,6,0,92,162
Oxford/Oxford,104,Woodstock,2,3,19,0,17,39,1,3,0,84,458
Oxford/Oxford,105,Woodstock,11,5,42,1,48,84,2,3,1,197,401
Oxford/Oxford,106,Woodstock,15,6,46,4,49,91,5,3,0,219,444
Oxford/Oxford,107,Woodstock,12,14,57,0,55,66,1,4,0,209,506
Oxford/Oxford,108,Woodstock,4,4,69,1,46,101,1,3,5,234,436
Oxford/Oxford,109,Woodstock,12,2,36,4,39,63,0,7,0,163,378
Oxford/Oxford,110,Woodstock,6,12,71,0,51,91,0,9,0,240,422
Oxford/Oxford,111,Woodstock,12,5,81,1,67,108,2,11,5,292,488
Oxford/Oxford,112,Ingersoll,3,8,81,0,59,95,1,28,2,277,585
Oxford/Oxford,113,Ingersoll,10,8,128,0,65,109,2,25,0,347,572
Oxford/Oxford,114,Ingersoll,0,6,43,1,49,54,1,8,2,164,376
Oxford/Oxford,115,Ingersoll,4,8,31,1,43,51,0,25,1,164,359
Oxford/Oxford,116,Ingersoll,4,5,51,1,56,81,2,15,3,218,424
Oxford/Oxford,117,Ingersoll,1,1,71,0,39,80,2,10,2,206,435
Oxford/Oxford,118,Ingersoll,2,4,34,0,43,52,2,9,0,146,327
Oxford/Oxford,119,Ingersoll,2,5,78,1,41,94,0,6,0,227,380
Oxford/Oxford,120,Ingersoll,3,3,77,1,60,103,1,20,1,269,481
Oxford/Oxford,121,Ingersoll,6,5,52,0,32,51,0,12,1,159,389
Oxford/Oxford,122,Ingersoll,5,3,61,2,62,90,0,15,3,241,450
Oxford/Oxford,123,Ingersoll,4,3,49,0,45,46,0,14,1,162,389
Oxford/Oxford,124,Ingersoll,8,5,106,0,45,156,1,20,0,341,533
Oxford/Oxford,125,Ingersoll,5,9,97,0,26,71,0,16,0,224,439
Oxford/Oxford,126,Ingersoll,3,4,46,0,47,65,0,17,0,182,376
Oxford/Oxford,127,Ingersoll,5,6,67,0,54,80,1,12,1,226,392
Oxford/Oxford,128,Ingersoll,2,2,64,1,34,101,0,17,1,222,385
Oxford/Oxford,129,Ingersoll,3,4,69,0,60,108,2,15,0,261,456
Oxford/Oxford,130,Dorland,8,10,51,0,29,103,1,6,0,208,372
Oxford/Oxford,131,Beachville,5,6,43,1,37,75,0,6,1,174,322
Oxford/Oxford,132,Beachville,12,13,54,0,59,87,0,7,3,235,436
Oxford/Oxford,133,Centreville,21,3,40,0,26,94,2,9,1,196,329
Oxford/Oxford,134,Foldens,10,0,33,1,21,81,0,11,0,157,246
Oxford/Oxford,135,Sweaburg,9,4,98,2,26,137,1,17,2,296,411
Oxford/Oxford,136,Sweaburg,4,8,51,1,35,100,1,3,0,203,315
Oxford/Oxford,137,Salford,12,5,43,0,20,77,0,8,1,166,329
Oxford/Oxford,138,South-West Oxford,8,0,56,0,21,81,1,10,0,177,324
Oxford/Oxford,139,Ingersoll,8,4,78,0,42,93,0,20,0,245,375
Oxford/Oxford,140,Verschoyle,6,1,29,0,23,82,0,7,0,148,260
Oxford/Oxford,141,Verschoyle,17,8,23,0,24,71,0,3,0,146,262
Oxford/Oxford,142,Mount Elgin,10,5,33,0,32,104,0,12,0,196,333
Oxford/Oxford,143,Ostrander,8,5,38,0,17,99,0,12,2,181,293
Oxford/Oxford,144,Delmer,4,5,30,0,21,115,3,3,0,181,263
Oxford/Oxford,145,Brownsville Station,13,2,29,0,28,84,2,10,0,168,341
Oxford/Oxford,146,Brownsville,16,0,21,0,17,68,0,4,1,127,236
Oxford/Oxford,147,Tillsonburg,0,2,93,0,37,165,1,18,0,316,554
Oxford/Oxford,148,Tillsonburg,6,3,111,1,45,103,1,9,2,281,564
Oxford/Oxford,149,Tillsonburg,7,5,84,0,19,122,1,8,2,248,454
Oxford/Oxford,150,Tillsonburg,1,1,22,2,7,43,0,5,0,81,211
Oxford/Oxford,151,Tillsonburg,1,5,73,0,48,95,2,10,5,239,454
Oxford/Oxford,152,Tillsonburg,5,3,51,0,30,70,1,3,0,163,335
Oxford/Oxford,153,Tillsonburg,2,2,46,1,31,66,1,6,1,156,401
Oxford/Oxford,154,Tillsonburg,5,9,59,1,31,60,0,12,4,181,475
Oxford/Oxford,155,Tillsonburg,3,1,28,0,17,63,0,3,1,116,298
Oxford/Oxford,156,Tillsonburg,4,3,53,0,31,81,2,9,1,184,425
Oxford/Oxford,157,Tillsonburg,6,3,152,1,40,164,5,16,1,388,631
Oxford/Oxford,158,Tillsonburg,5,1,91,0,22,113,0,8,1,241,440
Oxford/Oxford,159,Tillsonburg,5,1,46,0,31,91,0,7,0,181,415
Oxford/Oxford,160,Tillsonburg,4,3,78,1,40,130,1,10,4,271,560
Oxford/Oxford,161,Tillsonburg,6,4,68,0,16,123,0,4,0,221,400
Oxford/Oxford,162,Tillsonburg,1,3,104,0,26,94,1,4,0,233,467
Oxford/Oxford,163,Tillsonburg,2,3,45,1,20,62,0,8,2,143,356
Oxford/Oxford,164,Tillsonburg,3,7,60,0,19,65,0,16,1,171,370
Oxford/Oxford,165,Tillsonburg,5,6,66,0,25,63,0,7,1,173,376
Oxford/Oxford,166,Tillsonburg,1,0,99,0,9,101,0,6,1,217,322
Oxford/Oxford,167,Tillsonburg,2,2,87,0,9,108,0,3,4,215,330
Oxford/Oxford,168,Tillsonburg,3,0,75,0,22,102,1,11,3,217,338
Oxford/Oxford,169,Tillsonburg,2,0,132,0,8,100,0,4,1,247,340
Oxford/Oxford,170,Tillsonburg,5,1,130,0,22,142,1,10,2,313,494
Oxford/Oxford,171,Tillsonburg,3,7,33,0,30,51,0,8,1,133,370
Oxford/Oxford,172,Tillsonburg,7,5,49,1,31,83,0,5,3,184,428
Oxford/Oxford,173,Tillsonburg,5,8,75,1,36,93,0,11,4,233,466
Oxford/Oxford,174,Oxford Centre,10,1,71,1,27,158,1,3,2,274,349
Oxford/Oxford,175,Curries,12,1,56,0,28,140,1,15,1,254,424
Oxford/Oxford,176,Vandecar,11,1,23,0,29,99,0,0,0,163,270
Oxford/Oxford,177,Holbrook,28,4,30,1,9,108,4,7,0,191,297
Oxford/Oxford,178,Burgessville,50,8,49,0,24,178,0,10,0,319,514
Oxford/Oxford,179,Norwich,17,1,32,2,15,108,0,1,0,176,267
Oxford/Oxford,180,Norwich,32,3,71,0,10,129,0,4,0,249,365
Oxford/Oxford,181,Norwich,11,5,31,1,35,129,2,5,1,220,403
Oxford/Oxford,182,Norwich,16,2,35,0,28,126,1,3,2,213,354
Oxford/Oxford,183,Norwich,8,2,33,0,25,85,0,4,0,157,302
Oxford/Oxford,184,Norwich,20,3,44,1,24,71,0,7,1,171,290
Oxford/Oxford,185,Norwich,4,5,53,0,25,133,2,3,0,225,394
Oxford/Oxford,186,Norwich,23,1,34,0,4,66,1,4,0,133,230
Oxford/Oxford,187,Springford,10,7,39,0,39,127,0,13,0,235,358
Oxford/Oxford,188,Norwich,5,0,46,1,28,160,0,11,0,251,397
Oxford/Oxford,189,Otterville,7,4,70,0,32,150,3,7,2,275,447
Oxford/Oxford,190,Hawtrey,3,2,28,0,22,88,0,4,2,149,205
Oxford/Oxford,191,Otterville,7,5,38,0,27,95,1,3,0,176,264
Oxford/Oxford,192,Hawtrey,7,3,60,1,12,79,1,2,0,165,290
Oxford/Oxford,500,Mobile poll/Bureau itinérant,1,1,32,1,5,34,1,3,5,83,142
Oxford/Oxford,501,Mobile poll/Bureau itinérant,0,2,20,3,4,33,3,0,2,67,94
Oxford/Oxford,502,Mobile poll/Bureau itinérant,2,3,22,0,4,26,2,1,0,60,115
Oxford/Oxford,503,Mobile poll/Bureau itinérant,6,0,10,0,4,12,0,0,3,35,90
Oxford/Oxford,504,Mobile poll/Bureau itinérant,3,1,14,0,4,12,2,0,0,36,110
Oxford/Oxford,600,Zorra,2,1,66,1,23,102,0,12,0,207,
Oxford/Oxford,601,East Zorra-Tavistock,6,0,71,0,23,109,1,5,0,215,
Oxford/Oxford,602,Blandford-Blenheim,2,4,71,1,28,139,2,22,0,269,
Oxford/Oxford,603,Woodstock,18,7,210,0,67,302,0,25,4,633,
Oxford/Oxford,604,Woodstock,9,4,166,0,64,197,6,13,1,460,
Oxford/Oxford,605,Woodstock,15,6,135,1,70,192,3,13,0,435,
Oxford/Oxford,606,Ingersoll,7,2,164,0,79,255,0,22,0,529,
Oxford/Oxford,607,South-West Oxford,7,2,71,0,34,208,1,24,3,350,
Oxford/Oxford,608,Tillsonburg,12,10,310,3,62,410,7,20,6,840,
Oxford/Oxford,609,Norwich,25,2,82,0,29,214,2,11,1,366,
Oxford/Oxford,,Group 1/Groupe 1,0,6,24,0,13,40,0,1,1,85,164
Oxford/Oxford,,Group 2/Groupe 2,38,6,298,2,110,585,6,33,7,1085,
