District,Poll Number,Poll Name,Stuart Langstaff,Gordon O'Connor,Rick Prashaw,Dan Wicklum,Rejected Ballots,Total Vote,Electors
Carleton--Lanark/Carleton--Lanark,68,Kanata,24,108,34,93,0,259,379
Carleton--Lanark/Carleton--Lanark,69,Kanata,19,93,37,108,0,257,380
Carleton--Lanark/Carleton--Lanark,70,Kanata,17,96,43,72,0,228,327
Carleton--Lanark/Carleton--Lanark,71,Kanata,12,95,38,116,2,263,459
Carleton--Lanark/Carleton--Lanark,72A,Kanata,5,60,18,66,0,149,254
Carleton--Lanark/Carleton--Lanark,72B,Kanata,0,29,2,13,1,45,61
Carleton--Lanark/Carleton--Lanark,73,Kanata,24,141,39,117,6,327,498
Carleton--Lanark/Carleton--Lanark,74,Kanata,12,121,28,96,3,260,396
Carleton--Lanark/Carleton--Lanark,75,Kanata,13,77,21,109,0,220,305
Carleton--Lanark/Carleton--Lanark,76,Kanata,17,122,32,134,1,306,440
Carleton--Lanark/Carleton--Lanark,77,Kanata,9,100,17,92,2,220,374
Carleton--Lanark/Carleton--Lanark,78,Kanata,17,155,57,145,0,374,536
Carleton--Lanark/Carleton--Lanark,79,Kanata,13,121,27,86,0,247,360
Carleton--Lanark/Carleton--Lanark,80,Kanata,11,104,28,76,0,219,309
Carleton--Lanark/Carleton--Lanark,81,Kanata,13,83,35,53,1,185,331
Carleton--Lanark/Carleton--Lanark,82,Kanata,23,145,41,127,2,338,452
Carleton--Lanark/Carleton--Lanark,83,Kanata,12,110,41,115,2,280,383
Carleton--Lanark/Carleton--Lanark,84,Kanata,16,111,64,104,2,297,458
Carleton--Lanark/Carleton--Lanark,85,Kanata,19,105,41,89,0,254,413
Carleton--Lanark/Carleton--Lanark,86,Kanata,12,89,28,102,0,231,363
Carleton--Lanark/Carleton--Lanark,87,Kanata,14,92,31,126,1,264,391
Carleton--Lanark/Carleton--Lanark,88,Kanata,9,66,14,47,1,137,201
Carleton--Lanark/Carleton--Lanark,89,Kanata,7,102,47,70,4,230,428
Carleton--Lanark/Carleton--Lanark,90,Kanata,15,86,36,63,0,200,370
Carleton--Lanark/Carleton--Lanark,91,Kanata,10,113,56,100,0,279,433
Carleton--Lanark/Carleton--Lanark,92,Kanata,12,71,39,62,0,184,297
Carleton--Lanark/Carleton--Lanark,93,Kanata,8,87,24,90,1,210,351
Carleton--Lanark/Carleton--Lanark,94,Kanata,9,115,29,109,1,263,446
Carleton--Lanark/Carleton--Lanark,95,Kanata,14,106,31,73,1,225,305
Carleton--Lanark/Carleton--Lanark,96,Kanata,22,145,44,70,1,282,417
Carleton--Lanark/Carleton--Lanark,97,Kanata,11,80,34,52,0,177,287
Carleton--Lanark/Carleton--Lanark,98,Kanata,15,117,34,89,0,255,429
Carleton--Lanark/Carleton--Lanark,99,Kanata,8,95,34,67,0,204,341
Carleton--Lanark/Carleton--Lanark,100,Kanata,24,162,48,99,0,333,556
Carleton--Lanark/Carleton--Lanark,101,Kanata,12,89,37,52,4,194,334
Carleton--Lanark/Carleton--Lanark,102,Kanata,13,115,51,69,5,253,390
Carleton--Lanark/Carleton--Lanark,103,Kanata,8,105,20,61,0,194,296
Carleton--Lanark/Carleton--Lanark,104,Kanata,10,80,58,62,0,210,392
Carleton--Lanark/Carleton--Lanark,105,Kanata,27,166,56,106,0,355,577
Carleton--Lanark/Carleton--Lanark,106,Kanata,13,84,20,80,1,198,339
Carleton--Lanark/Carleton--Lanark,107,Kanata,10,115,33,68,1,227,361
Carleton--Lanark/Carleton--Lanark,108,Kanata,6,88,29,109,0,232,393
Carleton--Lanark/Carleton--Lanark,109,Kanata,16,107,18,94,1,236,340
Carleton--Lanark/Carleton--Lanark,110,Kanata,8,91,20,116,0,235,364
Carleton--Lanark/Carleton--Lanark,111,Kanata,14,101,26,106,1,248,388
Carleton--Lanark/Carleton--Lanark,112,Kanata,16,140,36,97,0,289,454
Carleton--Lanark/Carleton--Lanark,113,Kanata,9,91,7,74,1,182,270
Carleton--Lanark/Carleton--Lanark,114,Kanata,10,56,21,70,0,157,261
Carleton--Lanark/Carleton--Lanark,115,Kanata,7,71,23,81,0,182,311
Carleton--Lanark/Carleton--Lanark,116,Kanata,7,84,16,69,0,176,265
Carleton--Lanark/Carleton--Lanark,117,Kanata,14,100,49,117,0,280,472
Carleton--Lanark/Carleton--Lanark,118,Kanata,8,80,16,86,0,190,283
Carleton--Lanark/Carleton--Lanark,119,Kanata,13,100,41,87,0,241,410
Carleton--Lanark/Carleton--Lanark,120,Kanata,4,23,8,32,0,67,167
Carleton--Lanark/Carleton--Lanark,121,Kanata,15,97,45,87,0,244,348
Carleton--Lanark/Carleton--Lanark,122,Kanata,12,126,15,102,1,256,423
Carleton--Lanark/Carleton--Lanark,123,Kanata,9,126,14,103,4,256,431
Carleton--Lanark/Carleton--Lanark,124,Kanata,9,143,35,127,3,317,477
Carleton--Lanark/Carleton--Lanark,125,Kanata,6,90,33,110,0,239,360
Carleton--Lanark/Carleton--Lanark,126,Kanata,16,165,28,146,4,359,517
Carleton--Lanark/Carleton--Lanark,127,Kanata,23,184,37,166,0,410,615
Carleton--Lanark/Carleton--Lanark,128,Kanata,6,71,7,114,1,199,335
Carleton--Lanark/Carleton--Lanark,129,Kanata,8,64,11,55,1,139,236
Carleton--Lanark/Carleton--Lanark,130,Kanata,3,55,27,50,2,137,299
Carleton--Lanark/Carleton--Lanark,131,Kanata,16,153,44,149,3,365,531
Carleton--Lanark/Carleton--Lanark,132,Kanata,16,109,37,136,1,299,468
Carleton--Lanark/Carleton--Lanark,133,Kanata,17,147,39,173,2,378,526
Carleton--Lanark/Carleton--Lanark,134,Kanata,10,53,13,70,0,146,255
Carleton--Lanark/Carleton--Lanark,135,Kanata,1,48,23,74,0,146,320
Carleton--Lanark/Carleton--Lanark,136,Kanata,9,91,32,88,0,220,369
Carleton--Lanark/Carleton--Lanark,137,Kanata,10,82,21,105,1,219,315
Carleton--Lanark/Carleton--Lanark,138,Kanata,11,108,20,86,0,225,352
Carleton--Lanark/Carleton--Lanark,139,Kanata,17,119,33,112,1,282,466
Carleton--Lanark/Carleton--Lanark,140,Goulbourn,13,147,40,49,2,251,396
Carleton--Lanark/Carleton--Lanark,141,Goulbourn,15,175,21,94,1,306,458
Carleton--Lanark/Carleton--Lanark,142A,Goulbourn,11,176,26,103,0,316,458
Carleton--Lanark/Carleton--Lanark,142B,Goulbourn,6,193,16,88,0,303,440
Carleton--Lanark/Carleton--Lanark,142C,Goulbourn,12,139,21,103,2,277,419
Carleton--Lanark/Carleton--Lanark,143,Goulbourn,20,221,32,70,2,345,499
Carleton--Lanark/Carleton--Lanark,144A,Goulbourn,17,180,22,117,2,338,480
Carleton--Lanark/Carleton--Lanark,144B,Goulbourn,14,172,16,96,2,300,461
Carleton--Lanark/Carleton--Lanark,145,Goulbourn,11,143,26,29,0,209,323
Carleton--Lanark/Carleton--Lanark,146,Goulbourn,20,203,37,66,0,326,408
Carleton--Lanark/Carleton--Lanark,147,Goulbourn,26,171,35,75,0,307,418
Carleton--Lanark/Carleton--Lanark,148,Goulbourn,15,100,32,69,0,216,269
Carleton--Lanark/Carleton--Lanark,149,Goulbourn,16,185,24,63,1,289,427
Carleton--Lanark/Carleton--Lanark,150,Goulbourn,13,130,17,38,0,198,329
Carleton--Lanark/Carleton--Lanark,151,Goulbourn,26,199,43,122,1,391,615
Carleton--Lanark/Carleton--Lanark,152,Goulbourn,13,106,14,42,0,175,314
Carleton--Lanark/Carleton--Lanark,153,Goulbourn,19,101,26,48,0,194,296
Carleton--Lanark/Carleton--Lanark,154,Goulbourn,17,108,20,61,1,207,283
Carleton--Lanark/Carleton--Lanark,155,Goulbourn,8,116,23,67,0,214,334
Carleton--Lanark/Carleton--Lanark,156,Goulbourn,17,101,27,76,0,221,356
Carleton--Lanark/Carleton--Lanark,157,Goulbourn,8,183,21,79,0,291,389
Carleton--Lanark/Carleton--Lanark,158,Goulbourn,11,128,34,43,1,217,392
Carleton--Lanark/Carleton--Lanark,159A,Goulbourn,9,187,23,114,1,334,487
Carleton--Lanark/Carleton--Lanark,159B,Goulbourn,6,145,17,95,0,263,366
Carleton--Lanark/Carleton--Lanark,160,Goulbourn,14,134,27,68,1,244,382
Carleton--Lanark/Carleton--Lanark,161,Goulbourn,2,66,5,64,1,138,239
Carleton--Lanark/Carleton--Lanark,162,Goulbourn,10,98,7,81,1,197,401
Carleton--Lanark/Carleton--Lanark,163,Goulbourn,15,183,28,147,0,373,573
Carleton--Lanark/Carleton--Lanark,164,Goulbourn,19,184,36,127,0,366,554
Carleton--Lanark/Carleton--Lanark,165,Goulbourn,12,117,16,97,1,243,377
Carleton--Lanark/Carleton--Lanark,166,Goulbourn,21,190,41,127,0,379,547
Carleton--Lanark/Carleton--Lanark,167A,Goulbourn,6,122,12,77,1,218,336
Carleton--Lanark/Carleton--Lanark,167B,Goulbourn,13,91,11,67,0,182,297
Carleton--Lanark/Carleton--Lanark,168,Goulbourn,14,126,20,75,1,236,391
Carleton--Lanark/Carleton--Lanark,169,Goulbourn,11,127,9,99,0,246,400
Carleton--Lanark/Carleton--Lanark,170A,Goulbourn,6,118,19,96,0,239,394
Carleton--Lanark/Carleton--Lanark,170B,Goulbourn,8,70,15,70,0,163,284
Carleton--Lanark/Carleton--Lanark,171,Goulbourn,8,147,21,92,0,268,384
Carleton--Lanark/Carleton--Lanark,172,Goulbourn,10,124,21,101,0,256,400
Carleton--Lanark/Carleton--Lanark,173,Goulbourn,9,163,29,107,1,309,472
Carleton--Lanark/Carleton--Lanark,174,Goulbourn,7,66,6,45,1,125,181
Carleton--Lanark/Carleton--Lanark,175,Goulbourn,7,163,28,88,1,287,462
Carleton--Lanark/Carleton--Lanark,176,Goulbourn,30,162,24,57,2,275,438
Carleton--Lanark/Carleton--Lanark,177,Goulbourn,15,106,16,77,2,216,324
Carleton--Lanark/Carleton--Lanark,178,Goulbourn,12,148,20,92,1,273,416
Carleton--Lanark/Carleton--Lanark,179,Goulbourn,13,111,14,73,0,211,325
Carleton--Lanark/Carleton--Lanark,180,Goulbourn,10,111,17,72,0,210,318
Carleton--Lanark/Carleton--Lanark,181,Mississippi Mills,32,231,24,69,2,358,538
Carleton--Lanark/Carleton--Lanark,182,Mississippi Mills,15,136,19,87,3,260,347
Carleton--Lanark/Carleton--Lanark,183A,Mississippi Mills,31,141,23,68,1,264,347
Carleton--Lanark/Carleton--Lanark,183B,Mississippi Mills,16,134,22,55,0,227,336
Carleton--Lanark/Carleton--Lanark,184,Mississippi Mills,18,108,21,41,1,189,288
Carleton--Lanark/Carleton--Lanark,185,Mississippi Mills,27,190,34,84,1,336,520
Carleton--Lanark/Carleton--Lanark,186,Mississippi Mills,24,166,22,105,0,317,501
Carleton--Lanark/Carleton--Lanark,187,Mississippi Mills,17,108,34,88,0,247,367
Carleton--Lanark/Carleton--Lanark,188,Mississippi Mills,30,100,33,97,0,260,356
Carleton--Lanark/Carleton--Lanark,189,Mississippi Mills,19,90,37,82,1,229,372
Carleton--Lanark/Carleton--Lanark,190,Mississippi Mills,19,128,51,57,0,255,428
Carleton--Lanark/Carleton--Lanark,191A,Mississippi Mills,10,115,23,72,0,220,329
Carleton--Lanark/Carleton--Lanark,191B,Mississippi Mills,15,80,20,63,0,178,304
Carleton--Lanark/Carleton--Lanark,192,Mississippi Mills,15,101,23,42,1,182,301
Carleton--Lanark/Carleton--Lanark,193,Mississippi Mills,25,139,28,108,0,300,495
Carleton--Lanark/Carleton--Lanark,194,Mississippi Mills,12,141,16,84,0,253,366
Carleton--Lanark/Carleton--Lanark,195,Mississippi Mills,15,131,29,85,2,262,373
Carleton--Lanark/Carleton--Lanark,196,Mississippi Mills,23,150,28,75,1,277,405
Carleton--Lanark/Carleton--Lanark,197,Mississippi Mills,18,104,49,63,0,234,373
Carleton--Lanark/Carleton--Lanark,198,Mississippi Mills,12,111,18,45,0,186,274
Carleton--Lanark/Carleton--Lanark,199,Mississippi Mills,33,193,42,95,1,364,507
Carleton--Lanark/Carleton--Lanark,400,Kanata,0,23,1,15,0,39,50
Carleton--Lanark/Carleton--Lanark,401,Goulbourn,5,51,10,20,5,91,137
Carleton--Lanark/Carleton--Lanark,500,Mobile poll/Bureau itinérant,6,51,9,26,2,94,211
Carleton--Lanark/Carleton--Lanark,501,Mobile poll/Bureau itinérant,2,69,7,36,2,116,165
Carleton--Lanark/Carleton--Lanark,502,Mobile poll/Bureau itinérant,8,106,14,92,2,222,255
Carleton--Lanark/Carleton--Lanark,503,Mobile poll/Bureau itinérant,1,36,3,3,0,43,75
Carleton--Lanark/Carleton--Lanark,504,Mobile poll/Bureau itinérant,1,28,1,6,0,36,51
Carleton--Lanark/Carleton--Lanark,600,Constance Bay,35,564,49,120,3,771,
Carleton--Lanark/Carleton--Lanark,601,Constance Bay,39,587,61,202,1,890,
Carleton--Lanark/Carleton--Lanark,602,West Carleton,59,809,91,537,5,1501,
Carleton--Lanark/Carleton--Lanark,603,Kanata,25,354,57,206,0,642,
Carleton--Lanark/Carleton--Lanark,604,Kanata,22,464,67,150,4,707,
Carleton--Lanark/Carleton--Lanark,605,Glen Cairn,34,765,103,440,3,1345,
Carleton--Lanark/Carleton--Lanark,606,Glen Cairn,32,538,45,149,0,764,
Carleton--Lanark/Carleton--Lanark,607,Kanata,53,933,71,336,6,1399,
Carleton--Lanark/Carleton--Lanark,608,Almonte,55,494,61,246,1,857,
Carleton--Lanark/Carleton--Lanark,,Group 1/Groupe 1,9,101,13,58,2,183,383
Carleton--Lanark/Carleton--Lanark,,Group 2/Groupe 2,52,431,104,296,7,890,
