District,Poll Number,Poll Name,Walter Aolari,Octavia Beckles,Maurizio Bevilacqua,Paolo Fabrizio,Russell Korus,Joe Spina,Rejected Ballots,Total Vote,Electors
Vaughan/Vaughan,31,Vaughan,2,32,96,1,6,64,1,202,403
Vaughan/Vaughan,32,Vaughan,0,11,90,3,2,33,1,140,306
Vaughan/Vaughan,33A,Vaughan,1,20,104,1,6,29,0,161,339
Vaughan/Vaughan,33B,Vaughan,0,18,85,4,4,34,2,147,323
Vaughan/Vaughan,34A,Vaughan,0,11,95,3,1,43,0,153,309
Vaughan/Vaughan,34B,Vaughan,1,23,111,0,2,26,0,163,320
Vaughan/Vaughan,35,Vaughan,1,34,101,2,8,52,3,201,477
Vaughan/Vaughan,36,Vaughan,0,28,115,0,6,64,4,217,445
Vaughan/Vaughan,37,Vaughan,3,23,175,3,12,46,2,264,522
Vaughan/Vaughan,38,Vaughan,1,18,164,2,14,50,8,257,461
Vaughan/Vaughan,39,Vaughan,1,11,162,2,6,40,1,223,395
Vaughan/Vaughan,40,Vaughan,0,17,108,0,12,47,4,188,397
Vaughan/Vaughan,41,Vaughan,1,23,143,1,29,90,0,287,534
Vaughan/Vaughan,42,Vaughan,1,15,164,4,6,49,5,244,427
Vaughan/Vaughan,43,Vaughan,1,12,158,2,7,38,4,222,374
Vaughan/Vaughan,44A,Vaughan,0,18,113,4,5,59,4,203,471
Vaughan/Vaughan,44B,Vaughan,1,27,115,1,4,53,4,205,454
Vaughan/Vaughan,45,Vaughan,1,17,187,1,4,42,2,254,431
Vaughan/Vaughan,46,Vaughan,0,34,198,6,11,57,3,309,505
Vaughan/Vaughan,47,Vaughan,0,27,119,1,6,54,2,209,330
Vaughan/Vaughan,48,Vaughan,1,31,157,5,11,46,0,251,499
Vaughan/Vaughan,49,Vaughan,1,20,183,4,11,52,4,275,515
Vaughan/Vaughan,50,Vaughan,2,27,202,3,11,41,1,287,481
Vaughan/Vaughan,51,Vaughan,0,20,182,1,9,65,0,277,482
Vaughan/Vaughan,52,Vaughan,2,14,143,2,3,48,2,214,369
Vaughan/Vaughan,53,Vaughan,1,20,195,5,19,53,0,293,532
Vaughan/Vaughan,54,Vaughan,0,23,211,2,11,47,2,296,452
Vaughan/Vaughan,55,Vaughan,1,11,137,1,7,41,3,201,318
Vaughan/Vaughan,56,Vaughan,0,22,102,2,6,48,3,183,354
Vaughan/Vaughan,57,Vaughan,0,26,128,2,3,27,3,189,322
Vaughan/Vaughan,58,Vaughan,0,25,192,2,14,46,5,284,468
Vaughan/Vaughan,59,Vaughan,0,16,153,0,14,55,1,239,462
Vaughan/Vaughan,60,Vaughan,3,22,196,3,11,42,0,277,498
Vaughan/Vaughan,61,Vaughan,2,15,149,1,10,62,2,241,480
Vaughan/Vaughan,61-1,Vaughan,4,18,272,10,0,43,0,347,479
Vaughan/Vaughan,62,Vaughan,2,28,156,0,5,41,3,235,461
Vaughan/Vaughan,63,Vaughan,1,38,126,0,12,54,2,233,493
Vaughan/Vaughan,64,Vaughan,Void,,,,,,,,
Vaughan/Vaughan,65A,Vaughan,2,24,99,1,6,56,1,189,443
Vaughan/Vaughan,65B,Vaughan,4,28,92,2,8,62,0,196,456
Vaughan/Vaughan,66A,Vaughan,1,24,167,1,14,59,1,267,503
Vaughan/Vaughan,66B,Vaughan,0,24,132,2,1,55,3,217,463
Vaughan/Vaughan,66C,Vaughan,0,20,169,3,8,51,0,251,504
Vaughan/Vaughan,67,Vaughan,1,11,87,1,1,30,0,131,254
Vaughan/Vaughan,68,Vaughan,0,10,74,1,3,27,2,117,262
Vaughan/Vaughan,69,Vaughan,3,24,141,4,4,51,6,233,412
Vaughan/Vaughan,70A,Vaughan,0,34,95,3,4,48,1,185,454
Vaughan/Vaughan,70B,Vaughan,1,31,118,3,5,61,3,222,508
Vaughan/Vaughan,71,Vaughan,4,12,121,1,7,59,6,210,443
Vaughan/Vaughan,72,Vaughan,2,20,114,1,4,62,6,209,411
Vaughan/Vaughan,73,Vaughan,2,17,140,3,6,68,3,239,479
Vaughan/Vaughan,74,Vaughan,0,29,134,4,12,60,1,240,503
Vaughan/Vaughan,75,Vaughan,3,22,123,1,9,35,1,194,379
Vaughan/Vaughan,76,Vaughan,1,30,143,1,6,58,5,244,474
Vaughan/Vaughan,76-1A,Vaughan,2,24,63,3,3,45,7,147,332
Vaughan/Vaughan,76-1B,Vaughan,0,20,89,1,5,41,3,159,339
Vaughan/Vaughan,77,Vaughan,6,39,163,5,12,80,2,307,605
Vaughan/Vaughan,78,Vaughan,0,19,132,5,6,51,6,219,465
Vaughan/Vaughan,79,Vaughan,0,26,130,0,7,53,1,217,394
Vaughan/Vaughan,80,Vaughan,1,21,128,0,13,63,0,226,456
Vaughan/Vaughan,81,Vaughan,0,22,114,1,6,58,3,204,364
Vaughan/Vaughan,82,Vaughan,0,28,124,1,8,67,2,230,460
Vaughan/Vaughan,83,Vaughan,1,21,174,0,6,63,2,267,520
Vaughan/Vaughan,84A,Vaughan,0,19,93,0,1,39,2,154,300
Vaughan/Vaughan,84B,Vaughan,0,10,86,0,6,37,4,143,288
Vaughan/Vaughan,85,Vaughan,0,24,141,1,6,61,2,235,459
Vaughan/Vaughan,86,Vaughan,1,21,151,1,8,69,2,253,550
Vaughan/Vaughan,87,Vaughan,1,34,116,2,8,60,7,228,432
Vaughan/Vaughan,88,Vaughan,0,20,147,2,9,45,7,230,504
Vaughan/Vaughan,89,Vaughan,2,21,190,2,4,76,4,299,523
Vaughan/Vaughan,90,Vaughan,1,30,95,2,1,74,2,205,395
Vaughan/Vaughan,91,Vaughan,1,17,138,2,11,54,3,226,389
Vaughan/Vaughan,92,Vaughan,2,29,120,1,8,70,1,231,490
Vaughan/Vaughan,93,Vaughan,1,25,94,2,4,44,2,172,399
Vaughan/Vaughan,94,Vaughan,0,5,136,1,4,46,0,192,401
Vaughan/Vaughan,95,Vaughan,0,13,135,4,8,54,0,214,443
Vaughan/Vaughan,96,Vaughan,0,23,125,5,5,68,3,229,417
Vaughan/Vaughan,97,Vaughan,0,17,145,1,8,57,3,231,412
Vaughan/Vaughan,98,Vaughan,0,10,56,2,4,35,0,107,188
Vaughan/Vaughan,99,Vaughan,0,18,118,2,2,47,1,188,344
Vaughan/Vaughan,100,Vaughan,0,17,106,1,5,28,4,161,302
Vaughan/Vaughan,101,Vaughan,3,29,113,1,9,46,3,204,429
Vaughan/Vaughan,102,Vaughan,0,11,129,0,12,62,1,215,401
Vaughan/Vaughan,103,Vaughan,3,15,139,1,9,40,7,214,375
Vaughan/Vaughan,104,Vaughan,0,19,128,0,7,19,0,173,327
Vaughan/Vaughan,105,Vaughan,1,24,158,3,1,31,2,220,408
Vaughan/Vaughan,106,Vaughan,1,14,181,3,8,48,7,262,497
Vaughan/Vaughan,107,Vaughan,1,21,112,0,5,30,1,170,346
Vaughan/Vaughan,108,Vaughan,1,19,130,2,6,32,5,195,343
Vaughan/Vaughan,109,Vaughan,1,13,162,2,6,35,6,225,407
Vaughan/Vaughan,110,Vaughan,1,40,171,3,6,35,3,259,490
Vaughan/Vaughan,111,Vaughan,0,19,183,1,4,49,0,256,502
Vaughan/Vaughan,112,Vaughan,0,13,111,4,6,34,1,169,324
Vaughan/Vaughan,113,Vaughan,1,14,143,0,6,12,6,182,276
Vaughan/Vaughan,114,Vaughan,0,28,104,2,5,26,4,169,314
Vaughan/Vaughan,115,Vaughan,1,10,124,1,0,38,1,175,360
Vaughan/Vaughan,116,Vaughan,2,22,148,2,4,39,4,221,372
Vaughan/Vaughan,117,Vaughan,2,21,127,2,11,32,1,196,415
Vaughan/Vaughan,118,Vaughan,1,14,148,3,3,29,1,199,391
Vaughan/Vaughan,119,Vaughan,2,15,158,1,12,36,4,228,475
Vaughan/Vaughan,120,Vaughan,1,12,115,2,2,34,2,168,363
Vaughan/Vaughan,121,Vaughan,1,31,161,0,14,70,3,280,522
Vaughan/Vaughan,122,Vaughan,1,23,195,0,3,56,1,279,501
Vaughan/Vaughan,123,Vaughan,0,13,199,2,3,63,7,287,437
Vaughan/Vaughan,124,Vaughan,0,10,181,2,3,57,1,254,480
Vaughan/Vaughan,125,Vaughan,0,8,141,1,5,52,0,207,386
Vaughan/Vaughan,126,Vaughan,0,19,163,0,16,54,1,253,507
Vaughan/Vaughan,127,Vaughan,1,6,155,1,10,70,2,245,434
Vaughan/Vaughan,128,Vaughan,0,12,150,1,20,82,2,267,485
Vaughan/Vaughan,129A,Vaughan,0,11,124,1,2,58,0,196,331
Vaughan/Vaughan,129B,Vaughan,1,1,104,0,2,40,2,150,303
Vaughan/Vaughan,130,Vaughan,0,20,120,0,7,73,1,221,521
Vaughan/Vaughan,131,Vaughan,3,15,107,2,5,57,3,192,374
Vaughan/Vaughan,132,Vaughan,2,14,133,1,10,42,7,209,341
Vaughan/Vaughan,133,Vaughan,0,21,152,6,6,72,3,260,462
Vaughan/Vaughan,134,Vaughan,2,23,120,0,5,39,3,192,407
Vaughan/Vaughan,135,Vaughan,1,8,119,0,10,49,0,187,348
Vaughan/Vaughan,136,Vaughan,1,16,146,1,4,47,0,215,367
Vaughan/Vaughan,137,Vaughan,2,7,150,1,8,89,0,257,445
Vaughan/Vaughan,138,Vaughan,1,20,176,0,2,77,0,276,460
Vaughan/Vaughan,139,Vaughan,0,13,108,1,17,55,2,196,386
Vaughan/Vaughan,140,Vaughan,3,15,163,0,9,52,1,243,451
Vaughan/Vaughan,141,Vaughan,0,14,83,1,8,60,1,167,302
Vaughan/Vaughan,142,Vaughan,0,10,85,1,10,40,1,147,291
Vaughan/Vaughan,143,Vaughan,0,23,101,1,11,47,0,183,415
Vaughan/Vaughan,144,Vaughan,0,14,76,0,13,37,2,142,334
Vaughan/Vaughan,145,Vaughan,0,18,109,3,12,52,2,196,402
Vaughan/Vaughan,146,Vaughan,0,11,152,0,10,65,1,239,474
Vaughan/Vaughan,147,Vaughan,1,10,163,1,2,33,5,215,353
Vaughan/Vaughan,148,Vaughan,1,7,202,2,3,46,2,263,408
Vaughan/Vaughan,149,Vaughan,0,10,119,0,1,41,3,174,312
Vaughan/Vaughan,150,Vaughan,1,13,183,1,3,53,1,255,436
Vaughan/Vaughan,151,Vaughan,1,7,120,3,4,42,5,182,353
Vaughan/Vaughan,152,Vaughan,0,19,152,2,4,50,2,229,464
Vaughan/Vaughan,153A,Vaughan,1,16,124,2,7,61,5,216,388
Vaughan/Vaughan,153B,Vaughan,1,9,143,1,5,46,1,206,402
Vaughan/Vaughan,154,Vaughan,0,7,221,4,12,59,0,303,563
Vaughan/Vaughan,155,Vaughan,3,14,167,2,6,58,1,251,483
Vaughan/Vaughan,156,Vaughan,0,12,199,1,12,75,2,301,543
Vaughan/Vaughan,157,Vaughan,0,7,144,1,3,71,1,227,445
Vaughan/Vaughan,158,Vaughan,1,6,189,2,11,45,2,256,484
Vaughan/Vaughan,159,Vaughan,0,19,166,1,3,38,2,229,384
Vaughan/Vaughan,160,Vaughan,0,21,147,4,6,38,1,217,389
Vaughan/Vaughan,161,Vaughan,0,14,134,1,7,44,0,200,340
Vaughan/Vaughan,162,Vaughan,0,5,176,1,8,52,2,244,377
Vaughan/Vaughan,163,Vaughan,1,25,172,0,7,52,6,263,513
Vaughan/Vaughan,164,Vaughan,1,25,200,0,7,31,11,275,456
Vaughan/Vaughan,165,Vaughan,1,17,103,0,7,16,5,149,253
Vaughan/Vaughan,166,Vaughan,1,32,156,3,18,30,4,244,464
Vaughan/Vaughan,167,Vaughan,1,25,142,4,7,68,8,255,386
Vaughan/Vaughan,168,Vaughan,0,22,119,1,14,50,4,210,438
Vaughan/Vaughan,169,Vaughan,0,23,158,3,4,29,6,223,370
Vaughan/Vaughan,170,Vaughan,1,7,116,0,10,43,1,178,334
Vaughan/Vaughan,171,Vaughan,0,44,189,5,7,34,5,284,465
Vaughan/Vaughan,172,Vaughan,0,29,159,1,12,51,2,254,493
Vaughan/Vaughan,173,Vaughan,2,26,194,0,9,32,4,267,469
Vaughan/Vaughan,174,Vaughan,0,20,132,3,7,41,3,206,378
Vaughan/Vaughan,175,Vaughan,Void,,,,,,,,
Vaughan/Vaughan,176A,Vaughan,1,21,96,2,0,21,0,141,277
Vaughan/Vaughan,176B,Vaughan,0,22,95,1,7,25,0,150,299
Vaughan/Vaughan,177,Vaughan,0,21,161,2,10,19,0,213,384
Vaughan/Vaughan,178,Vaughan,0,16,138,1,4,23,2,184,335
Vaughan/Vaughan,179,Vaughan,0,13,148,1,5,39,4,210,370
Vaughan/Vaughan,180,Vaughan,0,27,170,1,5,45,2,250,441
Vaughan/Vaughan,181A,Vaughan,1,11,99,2,12,45,4,174,387
Vaughan/Vaughan,181B,Vaughan,0,18,90,0,11,35,2,156,331
Vaughan/Vaughan,182A,Vaughan,0,14,96,0,10,29,1,150,314
Vaughan/Vaughan,182B,Vaughan,0,16,80,3,9,43,2,153,336
Vaughan/Vaughan,183,Vaughan,1,14,178,6,6,49,0,254,449
Vaughan/Vaughan,184,Vaughan,4,25,162,1,10,48,7,257,457
Vaughan/Vaughan,185,Vaughan,1,21,201,2,7,57,4,293,503
Vaughan/Vaughan,186,Vaughan,2,12,172,0,10,40,5,241,437
Vaughan/Vaughan,187,Vaughan,0,12,111,0,4,27,3,157,276
Vaughan/Vaughan,188,Vaughan,0,18,153,3,6,48,4,232,418
Vaughan/Vaughan,189,Vaughan,1,19,92,9,7,51,0,179,414
Vaughan/Vaughan,190,Vaughan,1,31,187,5,6,62,4,296,538
Vaughan/Vaughan,191,Vaughan,2,10,134,4,9,49,2,210,383
Vaughan/Vaughan,192A,Vaughan,0,20,118,3,2,42,1,186,353
Vaughan/Vaughan,192B,Vaughan,1,22,111,2,0,32,3,171,316
Vaughan/Vaughan,193,Vaughan,1,25,157,2,5,33,2,225,463
Vaughan/Vaughan,194,Vaughan,3,12,180,1,7,51,7,261,512
Vaughan/Vaughan,195,Vaughan,0,6,118,0,4,36,0,164,288
Vaughan/Vaughan,196A,Vaughan,0,11,83,0,3,26,1,124,272
Vaughan/Vaughan,196B,Vaughan,0,14,89,0,10,35,2,150,291
Vaughan/Vaughan,197,Vaughan,1,10,80,1,2,15,1,110,228
Vaughan/Vaughan,198,Vaughan,0,10,101,0,4,39,0,154,288
Vaughan/Vaughan,199,Vaughan,2,15,115,1,2,14,6,155,258
Vaughan/Vaughan,500,Mobile poll/Bureau itinérant,1,3,28,2,1,14,1,50,130
Vaughan/Vaughan,501,Mobile poll/Bureau itinérant,2,4,25,2,3,19,0,55,97
Vaughan/Vaughan,600,Vaughan,1,22,142,1,15,126,2,309,
Vaughan/Vaughan,601,Vaughan,3,34,253,4,22,176,3,495,
Vaughan/Vaughan,602,Vaughan,1,43,236,4,21,119,4,428,
Vaughan/Vaughan,603,Vaughan,2,16,67,0,7,52,1,145,
Vaughan/Vaughan,604,Vaughan,1,26,183,2,11,69,6,298,
Vaughan/Vaughan,605,Vaughan,0,17,255,2,14,183,5,476,
Vaughan/Vaughan,606,Vaughan,2,29,181,0,13,85,5,315,
Vaughan/Vaughan,607,Vaughan,1,25,123,1,11,77,1,239,
Vaughan/Vaughan,,Group 1/Groupe 1,0,6,11,0,1,2,1,21,33
Vaughan/Vaughan,,Group 2/Groupe 2,1,31,152,1,7,66,4,262,
