District,Poll Number,Poll Name,Dominique Boyer,Johanne Deschamps,Guillaume Desjardins,Jacques Léger,Brendan Naef,Rejected Ballots,Total Vote,Electors
Laurentides--Labelle/Laurentides--Labelle,32A,Mont-Laurier,34,62,4,4,1,2,107,211
Laurentides--Labelle/Laurentides--Labelle,32B,Mont-Laurier,32,62,6,2,3,4,109,236
Laurentides--Labelle/Laurentides--Labelle,33A,Mont-Laurier,20,47,3,0,2,5,77,210
Laurentides--Labelle/Laurentides--Labelle,33B,Mont-Laurier,28,60,1,3,3,2,97,229
Laurentides--Labelle/Laurentides--Labelle,34,Mont-Laurier,42,98,15,4,0,3,162,366
Laurentides--Labelle/Laurentides--Labelle,35,Mont-Laurier,23,127,7,3,4,2,166,380
Laurentides--Labelle/Laurentides--Labelle,36,Mont-Laurier,43,126,6,8,4,5,192,348
Laurentides--Labelle/Laurentides--Labelle,37,Mont-Laurier,51,169,9,4,2,8,243,412
Laurentides--Labelle/Laurentides--Labelle,38,Mont-Laurier,43,145,14,3,1,3,209,380
Laurentides--Labelle/Laurentides--Labelle,39,Mont-Laurier,9,100,4,4,1,1,119,226
Laurentides--Labelle/Laurentides--Labelle,40A,Beaux-Rivages,10,86,7,1,5,0,109,223
Laurentides--Labelle/Laurentides--Labelle,40B,Beaux-Rivages,23,87,15,2,1,5,133,274
Laurentides--Labelle/Laurentides--Labelle,41A,Lac-des-Écorces,16,76,6,0,2,3,103,232
Laurentides--Labelle/Laurentides--Labelle,41B,Lac-des-Écorces,19,89,3,3,2,3,119,237
Laurentides--Labelle/Laurentides--Labelle,42,Lac-des-Écorces,36,79,8,1,2,3,129,239
Laurentides--Labelle/Laurentides--Labelle,43,Beaux-Rivages,54,186,7,8,6,3,264,457
Laurentides--Labelle/Laurentides--Labelle,44A,Val-Barrette,32,110,6,6,3,5,162,247
Laurentides--Labelle/Laurentides--Labelle,44B,Val-Barrette,40,103,11,3,5,2,164,258
Laurentides--Labelle/Laurentides--Labelle,45A,Kiamika,45,107,9,2,4,3,170,290
Laurentides--Labelle/Laurentides--Labelle,45B,Kiamika,46,85,9,2,3,3,148,249
Laurentides--Labelle/Laurentides--Labelle,46,Saint-Aimé-du-Lac-des-Îles,28,67,8,4,6,1,114,206
Laurentides--Labelle/Laurentides--Labelle,47,Saint-Aimé-du-Lac-des-Îles,49,143,13,5,4,6,220,418
Laurentides--Labelle/Laurentides--Labelle,48A,Notre-Dame-de-Pontmain,50,93,20,3,2,3,171,327
Laurentides--Labelle/Laurentides--Labelle,48B,Notre-Dame-de-Pontmain,27,59,8,2,4,3,103,257
Laurentides--Labelle/Laurentides--Labelle,49,Lac-du-Cerf,59,139,11,2,7,6,224,372
Laurentides--Labelle/Laurentides--Labelle,50,Notre-Dame-du-Laus,90,126,13,4,7,6,246,464
Laurentides--Labelle/Laurentides--Labelle,51,Notre-Dame-du-Laus,77,125,21,7,7,2,239,444
Laurentides--Labelle/Laurentides--Labelle,52,Notre-Dame-du-Laus,41,91,12,4,4,2,154,306
Laurentides--Labelle/Laurentides--Labelle,53,L'Ascension,37,129,13,6,9,7,201,374
Laurentides--Labelle/Laurentides--Labelle,54,L'Ascension,56,83,6,4,2,2,153,282
Laurentides--Labelle/Laurentides--Labelle,55,La Macaza,61,75,19,5,10,1,171,279
Laurentides--Labelle/Laurentides--Labelle,56,La Macaza,65,105,12,16,3,7,208,496
Laurentides--Labelle/Laurentides--Labelle,57,Marchand,54,173,11,1,5,3,247,430
Laurentides--Labelle/Laurentides--Labelle,58,Marchand,28,78,4,4,4,5,123,210
Laurentides--Labelle/Laurentides--Labelle,59,Sainte-Véronique,43,112,10,10,4,2,181,325
Laurentides--Labelle/Laurentides--Labelle,60,Sainte-Véronique,42,112,20,5,9,5,193,363
Laurentides--Labelle/Laurentides--Labelle,61,Sainte-Véronique,28,61,10,1,4,1,105,218
Laurentides--Labelle/Laurentides--Labelle,62,Lac-Saguay,51,121,9,4,4,1,190,318
Laurentides--Labelle/Laurentides--Labelle,63,Lac-Nominingue,50,116,15,6,4,3,194,400
Laurentides--Labelle/Laurentides--Labelle,64,Lac-Nominingue,46,160,10,9,8,11,244,431
Laurentides--Labelle/Laurentides--Labelle,65,Marchand,41,129,16,3,3,4,196,382
Laurentides--Labelle/Laurentides--Labelle,66A,L'Annonciation,30,70,8,4,2,4,118,254
Laurentides--Labelle/Laurentides--Labelle,66B,Mobile poll/Bureau itinérant,20,13,7,1,2,5,48,61
Laurentides--Labelle/Laurentides--Labelle,67,L'Annonciation,26,88,5,4,2,6,131,308
Laurentides--Labelle/Laurentides--Labelle,68A,L'Annonciation,40,63,2,3,2,5,115,284
Laurentides--Labelle/Laurentides--Labelle,68B,Mobile poll/Bureau itinérant,Merged with No. 66B,,,,,,,32
Laurentides--Labelle/Laurentides--Labelle,69,L'Annonciation,18,58,3,1,2,0,82,174
Laurentides--Labelle/Laurentides--Labelle,70,L'Annonciation,39,160,10,7,6,4,226,403
Laurentides--Labelle/Laurentides--Labelle,71,Lac-Nominingue,48,162,21,3,1,3,238,418
Laurentides--Labelle/Laurentides--Labelle,72A,Lac-Nominingue,30,99,8,5,8,1,151,276
Laurentides--Labelle/Laurentides--Labelle,72B,Lac-Nominingue,42,99,9,4,5,2,161,267
Laurentides--Labelle/Laurentides--Labelle,73,La Minerve,94,167,26,16,8,6,317,461
Laurentides--Labelle/Laurentides--Labelle,74A,Labelle,12,25,0,4,1,2,44,114
Laurentides--Labelle/Laurentides--Labelle,74B,Labelle,27,101,9,3,1,4,145,276
Laurentides--Labelle/Laurentides--Labelle,75A,Labelle,22,69,3,14,1,5,114,243
Laurentides--Labelle/Laurentides--Labelle,75B,Labelle,47,77,5,3,1,0,133,250
Laurentides--Labelle/Laurentides--Labelle,76,Labelle,56,85,8,8,8,6,171,385
Laurentides--Labelle/Laurentides--Labelle,77,Labelle,50,81,8,1,4,2,146,349
Laurentides--Labelle/Laurentides--Labelle,78,Labelle,40,118,7,4,5,5,179,357
Laurentides--Labelle/Laurentides--Labelle,79A,La Minerve,49,90,4,5,2,4,154,269
Laurentides--Labelle/Laurentides--Labelle,79B,La Minerve,54,78,7,5,1,4,149,277
Laurentides--Labelle/Laurentides--Labelle,80,Labelle,20,78,0,0,1,1,100,193
Laurentides--Labelle/Laurentides--Labelle,81A,La Conception,34,76,10,12,4,2,138,247
Laurentides--Labelle/Laurentides--Labelle,81B,La Conception,32,86,6,9,3,4,140,263
Laurentides--Labelle/Laurentides--Labelle,82,La Conception,57,137,13,9,6,2,224,425
Laurentides--Labelle/Laurentides--Labelle,83,Saint-Jovite,38,156,12,7,12,2,227,453
Laurentides--Labelle/Laurentides--Labelle,84A,Mont-Tremblant,78,34,13,11,7,1,144,251
Laurentides--Labelle/Laurentides--Labelle,84B,Mont-Tremblant,56,31,19,7,6,3,122,280
Laurentides--Labelle/Laurentides--Labelle,85,Lac-Tremblant-Nord,111,46,14,13,6,4,194,345
Laurentides--Labelle/Laurentides--Labelle,86,Mont-Tremblant,83,32,10,9,5,2,141,259
Laurentides--Labelle/Laurentides--Labelle,87A,Saint-Jovite,48,103,7,10,8,2,178,297
Laurentides--Labelle/Laurentides--Labelle,87B,Saint-Jovite,40,101,4,7,3,2,157,278
Laurentides--Labelle/Laurentides--Labelle,88,Saint-Jovite,91,130,16,2,11,0,250,428
Laurentides--Labelle/Laurentides--Labelle,89A,Saint-Jovite,36,62,10,5,10,1,124,261
Laurentides--Labelle/Laurentides--Labelle,89B,Saint-Jovite,33,66,5,6,5,1,116,264
Laurentides--Labelle/Laurentides--Labelle,90,Saint-Jovite,43,118,9,2,4,7,183,396
Laurentides--Labelle/Laurentides--Labelle,91,Saint-Jovite,57,97,8,5,4,1,172,374
Laurentides--Labelle/Laurentides--Labelle,92,Saint-Jovite,37,130,15,9,3,8,202,346
Laurentides--Labelle/Laurentides--Labelle,93A,Saint-Jovite,37,47,10,7,5,2,108,239
Laurentides--Labelle/Laurentides--Labelle,93B,Saint-Jovite,37,79,9,5,3,3,136,266
Laurentides--Labelle/Laurentides--Labelle,94,Saint-Jovite,43,95,7,4,5,2,156,345
Laurentides--Labelle/Laurentides--Labelle,95,Saint-Jovite,43,103,12,7,7,3,175,375
Laurentides--Labelle/Laurentides--Labelle,96A,Saint-Jovite,42,108,11,6,4,1,172,409
Laurentides--Labelle/Laurentides--Labelle,96B,Saint-Jovite,56,133,5,5,6,2,207,463
Laurentides--Labelle/Laurentides--Labelle,97A,Saint-Jovite,23,93,13,8,7,1,145,282
Laurentides--Labelle/Laurentides--Labelle,97B,Saint-Jovite,47,120,10,5,5,0,187,395
Laurentides--Labelle/Laurentides--Labelle,98,Brébeuf,17,100,4,6,6,11,144,229
Laurentides--Labelle/Laurentides--Labelle,99,Brébeuf,61,185,8,12,9,9,284,451
Laurentides--Labelle/Laurentides--Labelle,100,Saint-Rémi-d'Amherst (Vendée),72,166,19,6,5,6,274,445
Laurentides--Labelle/Laurentides--Labelle,101A,Saint-Rémi-d'Amherst,32,108,13,3,4,7,167,326
Laurentides--Labelle/Laurentides--Labelle,101B,Saint-Rémi-d'Amherst,40,128,10,6,3,5,192,382
Laurentides--Labelle/Laurentides--Labelle,102,Boileau,Void,,,,,,,
Laurentides--Labelle/Laurentides--Labelle,103,Huberdeau,27,62,7,4,1,5,106,220
Laurentides--Labelle/Laurentides--Labelle,104A,Huberdeau (Gray Valley),26,48,5,3,0,1,83,203
Laurentides--Labelle/Laurentides--Labelle,104B,Huberdeau (Gray Valley),47,87,8,3,2,8,155,292
Laurentides--Labelle/Laurentides--Labelle,105A,Arundel,100,45,12,7,10,1,175,263
Laurentides--Labelle/Laurentides--Labelle,105B,Arundel,80,43,9,5,10,2,149,255
Laurentides--Labelle/Laurentides--Labelle,106,Weir,118,105,14,8,8,4,257,421
Laurentides--Labelle/Laurentides--Labelle,107,Lac-Supérieur,54,148,9,11,7,3,232,441
Laurentides--Labelle/Laurentides--Labelle,108,Lac-Supérieur,55,150,15,18,11,3,252,445
Laurentides--Labelle/Laurentides--Labelle,109,Lac-Supérieur,29,107,6,9,10,3,164,391
Laurentides--Labelle/Laurentides--Labelle,110,Saint-Faustin,45,124,12,13,10,6,210,425
Laurentides--Labelle/Laurentides--Labelle,111,Lac-Carré,41,97,9,5,6,3,161,297
Laurentides--Labelle/Laurentides--Labelle,112,Lac-Carré,34,135,21,4,7,4,205,419
Laurentides--Labelle/Laurentides--Labelle,113,Saint-Faustin,50,112,14,5,2,4,187,441
Laurentides--Labelle/Laurentides--Labelle,114,Saint-Faustin,47,119,13,6,5,4,194,438
Laurentides--Labelle/Laurentides--Labelle,115,Saint-Faustin,32,74,8,7,5,3,129,255
Laurentides--Labelle/Laurentides--Labelle,116A,Val-des-Lacs,46,101,15,3,4,1,170,330
Laurentides--Labelle/Laurentides--Labelle,116B,Val-des-Lacs,35,96,8,7,4,3,153,306
Laurentides--Labelle/Laurentides--Labelle,117,Saint-Donat,Void,,,,,,,
Laurentides--Labelle/Laurentides--Labelle,118A,Lantier,49,100,9,8,9,3,178,340
Laurentides--Labelle/Laurentides--Labelle,118B,Lantier,33,118,10,5,6,5,177,344
Laurentides--Labelle/Laurentides--Labelle,119,Sainte-Lucie-des-Laurentides,52,155,9,16,3,6,241,384
Laurentides--Labelle/Laurentides--Labelle,120,Sainte-Lucie-des-Laurentides,66,152,15,22,4,3,262,443
Laurentides--Labelle/Laurentides--Labelle,121,Sainte-Agathe-Nord,19,71,4,2,3,1,100,247
Laurentides--Labelle/Laurentides--Labelle,122,Sainte-Agathe-Nord,24,45,6,2,2,0,79,176
Laurentides--Labelle/Laurentides--Labelle,123A,Sainte-Agathe-Nord,32,96,6,4,3,1,142,294
Laurentides--Labelle/Laurentides--Labelle,123B,Sainte-Agathe-Nord,45,120,1,6,7,2,181,351
Laurentides--Labelle/Laurentides--Labelle,124,Ivry,46,75,7,1,5,0,134,245
Laurentides--Labelle/Laurentides--Labelle,125,Sainte-Agathe-Nord,17,50,3,4,1,2,77,155
Laurentides--Labelle/Laurentides--Labelle,126,Sainte-Agathe-Sud,37,122,12,8,3,2,184,416
Laurentides--Labelle/Laurentides--Labelle,127A,Sainte-Agathe-des-Monts,27,64,10,3,3,4,111,251
Laurentides--Labelle/Laurentides--Labelle,127B,Sainte-Agathe-des-Monts,37,59,9,2,1,4,112,247
Laurentides--Labelle/Laurentides--Labelle,128A,Sainte-Agathe-des-Monts,49,78,11,6,2,0,146,266
Laurentides--Labelle/Laurentides--Labelle,128B,Sainte-Agathe-des-Monts,35,61,7,4,4,4,115,259
Laurentides--Labelle/Laurentides--Labelle,129A,Sainte-Agathe-des-Monts,23,50,4,0,2,4,83,234
Laurentides--Labelle/Laurentides--Labelle,129B,Sainte-Agathe-des-Monts,17,65,10,5,4,1,102,250
Laurentides--Labelle/Laurentides--Labelle,130,Sainte-Agathe-des-Monts,21,30,1,4,3,1,60,161
Laurentides--Labelle/Laurentides--Labelle,131,Sainte-Agathe-des-Monts,46,85,7,6,1,3,148,353
Laurentides--Labelle/Laurentides--Labelle,132,Sainte-Agathe-des-Monts,52,92,12,1,3,0,160,388
Laurentides--Labelle/Laurentides--Labelle,133,Sainte-Agathe-des-Monts,42,130,17,3,1,6,199,418
Laurentides--Labelle/Laurentides--Labelle,134,Sainte-Agathe-des-Monts,50,73,6,3,2,1,135,350
Laurentides--Labelle/Laurentides--Labelle,135,Sainte-Agathe-des-Monts,53,83,8,1,2,4,151,294
Laurentides--Labelle/Laurentides--Labelle,136,Sainte-Agathe-des-Monts,42,80,5,4,0,2,133,336
Laurentides--Labelle/Laurentides--Labelle,137A,Sainte-Agathe-des-Monts,39,62,6,4,2,1,114,223
Laurentides--Labelle/Laurentides--Labelle,137B,Sainte-Agathe-des-Monts,46,64,3,5,2,2,122,241
Laurentides--Labelle/Laurentides--Labelle,138,Sainte-Agathe-des-Monts,37,102,5,3,2,2,151,343
Laurentides--Labelle/Laurentides--Labelle,139A,Sainte-Agathe-Sud,15,73,5,4,3,2,102,215
Laurentides--Labelle/Laurentides--Labelle,139B,Sainte-Agathe-Sud,15,82,7,2,3,1,110,254
Laurentides--Labelle/Laurentides--Labelle,140,Sainte-Agathe-Sud,25,49,3,2,3,1,83,196
Laurentides--Labelle/Laurentides--Labelle,141A,Sainte-Agathe-Sud,46,96,7,3,6,6,164,332
Laurentides--Labelle/Laurentides--Labelle,141B,Sainte-Agathe-Sud,39,85,6,3,3,4,140,345
Laurentides--Labelle/Laurentides--Labelle,142,Sainte-Agathe-des-Monts,59,67,12,14,3,1,156,307
Laurentides--Labelle/Laurentides--Labelle,143A,Val-David,28,109,12,4,6,4,163,278
Laurentides--Labelle/Laurentides--Labelle,143B,Val-David,28,91,5,13,4,1,142,248
Laurentides--Labelle/Laurentides--Labelle,144,Val-David,41,123,2,10,6,6,188,345
Laurentides--Labelle/Laurentides--Labelle,145,Val-David,59,134,6,12,3,4,218,382
Laurentides--Labelle/Laurentides--Labelle,146,Val-David,43,115,7,20,6,5,196,383
Laurentides--Labelle/Laurentides--Labelle,147A,Val-David,49,96,2,8,1,1,157,288
Laurentides--Labelle/Laurentides--Labelle,147B,Val-David,34,75,9,10,4,0,132,288
Laurentides--Labelle/Laurentides--Labelle,148A,Val-David,44,69,5,14,6,1,139,321
Laurentides--Labelle/Laurentides--Labelle,148B,Val-David,42,86,8,9,3,6,154,295
Laurentides--Labelle/Laurentides--Labelle,149A,Val-David,29,83,6,18,5,3,144,258
Laurentides--Labelle/Laurentides--Labelle,149B,Val-David,33,69,4,5,3,2,116,241
Laurentides--Labelle/Laurentides--Labelle,150,Val-Morin,43,114,8,13,5,3,186,325
Laurentides--Labelle/Laurentides--Labelle,151,Val-Morin,35,112,3,8,4,4,166,321
Laurentides--Labelle/Laurentides--Labelle,152A,Val-Morin,32,94,7,4,0,1,138,228
Laurentides--Labelle/Laurentides--Labelle,152B,Val-Morin,35,86,10,5,3,1,140,258
Laurentides--Labelle/Laurentides--Labelle,153,Val-Morin,59,129,10,18,4,0,220,353
Laurentides--Labelle/Laurentides--Labelle,154,Val-Morin,71,134,15,8,15,6,249,446
Laurentides--Labelle/Laurentides--Labelle,155,Sainte-Marguerite-du-Lac-Masson,43,86,6,5,5,1,146,288
Laurentides--Labelle/Laurentides--Labelle,156A,Sainte-Marguerite-du-Lac-Masson,37,110,14,6,5,1,173,347
Laurentides--Labelle/Laurentides--Labelle,156B,Sainte-Marguerite-du-Lac-Masson,46,125,8,7,4,2,192,362
Laurentides--Labelle/Laurentides--Labelle,157,Sainte-Marguerite-du-Lac-Masson,33,83,5,6,4,6,137,226
Laurentides--Labelle/Laurentides--Labelle,158A,Sainte-Marguerite-du-Lac-Masson,34,94,5,1,1,4,139,256
Laurentides--Labelle/Laurentides--Labelle,158B,Sainte-Marguerite-du-Lac-Masson,29,73,8,7,1,4,122,242
Laurentides--Labelle/Laurentides--Labelle,159,Sainte-Marguerite-du-Lac-Masson,92,93,11,7,9,4,216,436
Laurentides--Labelle/Laurentides--Labelle,160A,Sainte-Adèle,40,70,3,9,8,4,134,254
Laurentides--Labelle/Laurentides--Labelle,160B,Sainte-Adèle,32,87,4,13,17,3,156,280
Laurentides--Labelle/Laurentides--Labelle,161A,Sainte-Adèle,19,94,14,6,5,6,144,255
Laurentides--Labelle/Laurentides--Labelle,161B,Sainte-Adèle,32,99,10,9,6,7,163,284
Laurentides--Labelle/Laurentides--Labelle,162,Sainte-Adèle,49,182,16,13,4,2,266,429
Laurentides--Labelle/Laurentides--Labelle,163,Sainte-Adèle,75,140,13,7,7,6,248,471
Laurentides--Labelle/Laurentides--Labelle,164A,Sainte-Adèle,38,84,9,7,5,6,149,261
Laurentides--Labelle/Laurentides--Labelle,164B,Sainte-Adèle,52,71,6,6,6,2,143,279
Laurentides--Labelle/Laurentides--Labelle,165A,Sainte-Adèle,69,69,11,4,2,3,158,310
Laurentides--Labelle/Laurentides--Labelle,165B,Sainte-Adèle,58,82,8,7,5,1,161,322
Laurentides--Labelle/Laurentides--Labelle,166A,Sainte-Adèle,36,69,10,6,5,1,127,265
Laurentides--Labelle/Laurentides--Labelle,166B,Sainte-Adèle,39,76,10,8,7,1,141,282
Laurentides--Labelle/Laurentides--Labelle,167,Sainte-Adèle,33,105,6,3,7,6,160,366
Laurentides--Labelle/Laurentides--Labelle,168,Sainte-Adèle,57,99,10,14,6,1,187,346
Laurentides--Labelle/Laurentides--Labelle,169,Sainte-Adèle,52,83,16,7,8,8,174,284
Laurentides--Labelle/Laurentides--Labelle,170A,Sainte-Adèle,28,59,7,4,3,2,103,228
Laurentides--Labelle/Laurentides--Labelle,170B,Sainte-Adèle,26,63,6,1,2,3,101,249
Laurentides--Labelle/Laurentides--Labelle,171,Sainte-Adèle,47,105,15,6,5,1,179,434
Laurentides--Labelle/Laurentides--Labelle,172A,Sainte-Adèle,66,87,9,10,6,3,181,330
Laurentides--Labelle/Laurentides--Labelle,172B,Sainte-Adèle,60,67,8,10,4,1,150,296
Laurentides--Labelle/Laurentides--Labelle,173,Sainte-Adèle,54,110,14,13,6,4,201,382
Laurentides--Labelle/Laurentides--Labelle,174,Sainte-Adèle,58,90,11,12,5,1,177,381
Laurentides--Labelle/Laurentides--Labelle,175A,Sainte-Adèle,50,73,13,9,5,3,153,279
Laurentides--Labelle/Laurentides--Labelle,175B,Sainte-Adèle,50,80,10,10,9,1,160,307
Laurentides--Labelle/Laurentides--Labelle,176,Sainte-Adèle,63,130,13,8,11,5,230,400
Laurentides--Labelle/Laurentides--Labelle,177A,Sainte-Adèle,43,85,3,8,10,1,150,271
Laurentides--Labelle/Laurentides--Labelle,177B,Sainte-Adèle,39,78,8,11,7,2,145,274
Laurentides--Labelle/Laurentides--Labelle,178,Saint-Sauveur,93,91,15,6,7,1,213,353
Laurentides--Labelle/Laurentides--Labelle,179A,Saint-Sauveur-des-Monts,50,83,7,8,3,2,153,279
Laurentides--Labelle/Laurentides--Labelle,179B,Saint-Sauveur-des-Monts,39,76,8,7,3,1,134,265
Laurentides--Labelle/Laurentides--Labelle,180A,Saint-Sauveur-des-Monts,53,69,4,5,1,1,133,247
Laurentides--Labelle/Laurentides--Labelle,180B,Saint-Sauveur-des-Monts,61,47,6,3,2,1,120,241
Laurentides--Labelle/Laurentides--Labelle,181,Saint-Sauveur-des-Monts,86,75,5,8,4,4,182,444
Laurentides--Labelle/Laurentides--Labelle,182,Saint-Sauveur,106,104,12,8,3,3,236,452
Laurentides--Labelle/Laurentides--Labelle,183A,Saint-Sauveur-des-Monts,43,77,9,4,6,2,141,262
Laurentides--Labelle/Laurentides--Labelle,183B,Saint-Sauveur-des-Monts,51,75,8,9,4,2,149,262
Laurentides--Labelle/Laurentides--Labelle,184A,Saint-Sauveur-des-Monts,67,81,10,3,1,1,163,335
Laurentides--Labelle/Laurentides--Labelle,184B,Saint-Sauveur-des-Monts,66,67,9,7,3,2,154,302
Laurentides--Labelle/Laurentides--Labelle,185,Saint-Sauveur,55,71,9,6,2,2,145,241
Laurentides--Labelle/Laurentides--Labelle,186,Saint-Sauveur,76,82,6,13,2,2,181,341
Laurentides--Labelle/Laurentides--Labelle,187,Saint-Sauveur,66,99,26,10,7,2,210,344
Laurentides--Labelle/Laurentides--Labelle,188,Saint-Sauveur-des-Monts,53,85,9,3,3,0,153,308
Laurentides--Labelle/Laurentides--Labelle,189,Saint-Sauveur-des-Monts,58,84,7,9,5,1,164,325
Laurentides--Labelle/Laurentides--Labelle,190,Saint-Sauveur,79,59,8,4,4,1,155,300
Laurentides--Labelle/Laurentides--Labelle,191,Saint-Sauveur,75,104,14,5,2,10,210,455
Laurentides--Labelle/Laurentides--Labelle,192A,Saint-Sauveur,48,85,4,7,2,1,147,271
Laurentides--Labelle/Laurentides--Labelle,192B,Saint-Sauveur,43,75,11,3,6,2,140,260
Laurentides--Labelle/Laurentides--Labelle,193,Saint-Sauveur,57,120,10,4,6,1,198,383
Laurentides--Labelle/Laurentides--Labelle,194,Saint-Sauveur,102,96,8,15,9,13,243,467
Laurentides--Labelle/Laurentides--Labelle,195A,Saint-Sauveur,40,65,8,6,4,1,124,232
Laurentides--Labelle/Laurentides--Labelle,195B,Saint-Sauveur,44,63,6,3,6,3,125,236
Laurentides--Labelle/Laurentides--Labelle,196A,Piedmont,73,95,13,12,4,2,199,350
Laurentides--Labelle/Laurentides--Labelle,196B,Piedmont,45,93,21,9,3,0,171,307
Laurentides--Labelle/Laurentides--Labelle,197,Piedmont,89,98,7,11,6,4,215,389
Laurentides--Labelle/Laurentides--Labelle,198,Piedmont,57,83,9,11,4,0,164,328
Laurentides--Labelle/Laurentides--Labelle,199A,Piedmont,79,87,10,7,1,3,187,326
Laurentides--Labelle/Laurentides--Labelle,199B,Piedmont,61,80,11,7,2,2,163,316
Laurentides--Labelle/Laurentides--Labelle,200A,Sainte-Anne-des-Lacs,53,64,6,7,6,1,137,223
Laurentides--Labelle/Laurentides--Labelle,200B,Sainte-Anne-des-Lacs,54,81,3,4,7,1,150,245
Laurentides--Labelle/Laurentides--Labelle,201,Sainte-Anne-des-Lacs,56,96,7,6,3,2,170,267
Laurentides--Labelle/Laurentides--Labelle,202,Sainte-Anne-des-Lacs,64,113,4,8,5,1,195,300
Laurentides--Labelle/Laurentides--Labelle,203,Sainte-Anne-des-Lacs,101,139,23,16,9,4,292,479
Laurentides--Labelle/Laurentides--Labelle,204,Sainte-Anne-des-Lacs,79,88,8,12,7,1,195,303
