District,Poll Number,Poll Name,David C. Andres,Lindy Clubb,Don Dewar,Walter Kolisnyk,Inky Mark,Rejected Ballots,Total Vote,Electors
Dauphin--Swan River/Dauphin--Swan River,123,Beulah,2,3,27,19,48,0,99,286
Dauphin--Swan River/Dauphin--Swan River,124,Miniota,0,13,38,51,254,0,356,630
Dauphin--Swan River/Dauphin--Swan River,125,Oakburn,0,9,26,29,98,0,162,228
Dauphin--Swan River/Dauphin--Swan River,126,Shoal Lake,0,3,32,21,109,0,165,315
Dauphin--Swan River/Dauphin--Swan River,127,Shoal Lake,2,6,25,23,119,0,175,264
Dauphin--Swan River/Dauphin--Swan River,128,Strathclair,2,9,17,25,108,2,163,254
Dauphin--Swan River/Dauphin--Swan River,129,Strathclair,4,7,39,21,102,0,173,290
Dauphin--Swan River/Dauphin--Swan River,130,Oakner,1,1,34,14,137,1,188,310
Dauphin--Swan River/Dauphin--Swan River,131,Hamiota,2,4,39,23,148,0,216,362
Dauphin--Swan River/Dauphin--Swan River,132,Hamiota,2,3,29,26,121,1,182,265
Dauphin--Swan River/Dauphin--Swan River,133,Cardale,1,2,31,10,35,0,79,131
Dauphin--Swan River/Dauphin--Swan River,134,Oak River,1,5,34,23,122,0,185,321
Dauphin--Swan River/Dauphin--Swan River,135,Moline,1,4,30,23,90,2,150,231
Dauphin--Swan River/Dauphin--Swan River,136,Rapid City,3,5,28,54,121,2,213,375
Dauphin--Swan River/Dauphin--Swan River,137,Rolling River 67,0,0,73,15,1,2,91,187
Dauphin--Swan River/Dauphin--Swan River,138,Erickson,2,13,33,39,111,2,200,280
Dauphin--Swan River/Dauphin--Swan River,139,Erickson,2,3,55,52,151,0,263,541
Dauphin--Swan River/Dauphin--Swan River,140,Newdale,0,5,74,42,95,2,218,353
Dauphin--Swan River/Dauphin--Swan River,141,Clanwilliam,1,5,35,28,144,2,215,339
Dauphin--Swan River/Dauphin--Swan River,142,Minnedosa,2,3,19,29,76,0,129,271
Dauphin--Swan River/Dauphin--Swan River,143,Minnedosa,2,3,36,22,106,2,171,297
Dauphin--Swan River/Dauphin--Swan River,144,Minnedosa,2,1,17,16,77,1,114,201
Dauphin--Swan River/Dauphin--Swan River,145,Minnedosa,2,0,35,31,88,0,156,266
Dauphin--Swan River/Dauphin--Swan River,146,Minnedosa,3,4,60,57,103,0,227,508
Dauphin--Swan River/Dauphin--Swan River,147,Minnedosa,2,6,32,31,88,0,159,272
Dauphin--Swan River/Dauphin--Swan River,148,Minnedosa,8,3,36,39,83,0,169,260
Dauphin--Swan River/Dauphin--Swan River,149,Moore Park,1,5,42,19,123,2,192,349
Dauphin--Swan River/Dauphin--Swan River,150,Riding Mountain,1,4,13,10,94,0,122,286
Dauphin--Swan River/Dauphin--Swan River,151,Kelwood,3,6,17,27,69,0,122,226
Dauphin--Swan River/Dauphin--Swan River,152,Glenella,7,6,29,23,130,0,195,355
Dauphin--Swan River/Dauphin--Swan River,153,Franklin,4,2,20,16,104,0,146,334
Dauphin--Swan River/Dauphin--Swan River,154,Birnie,2,1,10,18,83,0,114,242
Dauphin--Swan River/Dauphin--Swan River,155,Eden,1,1,17,30,67,0,116,179
Dauphin--Swan River/Dauphin--Swan River,156,Howden,1,0,31,18,138,0,188,315
Dauphin--Swan River/Dauphin--Swan River,157,Arden,1,4,11,19,92,1,128,304
Dauphin--Swan River/Dauphin--Swan River,158,Neepawa,4,3,28,35,98,1,169,310
Dauphin--Swan River/Dauphin--Swan River,159,Neepawa,2,3,33,16,94,0,148,225
Dauphin--Swan River/Dauphin--Swan River,160,Neepawa,2,4,21,26,82,3,138,234
Dauphin--Swan River/Dauphin--Swan River,161,Neepawa,4,4,60,25,129,1,223,427
Dauphin--Swan River/Dauphin--Swan River,162,Neepawa,3,4,42,18,108,3,178,310
Dauphin--Swan River/Dauphin--Swan River,163,Neepawa,1,2,37,30,52,1,123,332
Dauphin--Swan River/Dauphin--Swan River,164,Neepawa,0,1,10,7,27,0,45,190
Dauphin--Swan River/Dauphin--Swan River,165,Neepawa,2,4,31,24,97,0,158,283
Dauphin--Swan River/Dauphin--Swan River,166,Neepawa,3,2,59,19,123,1,207,344
Dauphin--Swan River/Dauphin--Swan River,167,Neepawa,Void,,,,,,,
Dauphin--Swan River/Dauphin--Swan River,168,Mentmore,2,0,48,14,72,1,137,223
Dauphin--Swan River/Dauphin--Swan River,169,Mekiwin,5,3,17,10,79,0,114,185
Dauphin--Swan River/Dauphin--Swan River,170,Plumas,3,3,23,16,177,0,222,371
Dauphin--Swan River/Dauphin--Swan River,171,Ogilvie--Mayfield,6,5,29,17,195,0,252,422
Dauphin--Swan River/Dauphin--Swan River,172,Langruth,4,5,29,27,118,0,183,300
Dauphin--Swan River/Dauphin--Swan River,173,Mayfield,Void,,,,,,,
Dauphin--Swan River/Dauphin--Swan River,174,Gladstone,0,4,40,24,107,0,175,289
Dauphin--Swan River/Dauphin--Swan River,175,Gladstone,0,3,39,18,117,0,177,433
Dauphin--Swan River/Dauphin--Swan River,176,Muir,1,1,4,9,108,1,124,238
Dauphin--Swan River/Dauphin--Swan River,177,Westbourne,4,0,11,5,87,1,108,228
Dauphin--Swan River/Dauphin--Swan River,500,Mobile poll/Bureau itinérant,1,1,2,9,12,0,25,48
Dauphin--Swan River/Dauphin--Swan River,501,Mobile poll/Bureau itinérant,4,1,12,14,23,0,54,90
Dauphin--Swan River/Dauphin--Swan River,502,Mobile poll/Bureau itinérant,1,0,9,3,15,1,29,94
Dauphin--Swan River/Dauphin--Swan River,503,Mobile poll/Bureau itinérant,1,0,13,16,21,1,52,163
Dauphin--Swan River/Dauphin--Swan River,504,Mobile poll/Bureau itinérant,2,0,9,2,11,2,26,48
Dauphin--Swan River/Dauphin--Swan River,505,Mobile poll/Bureau itinérant,1,1,17,12,25,0,56,147
Dauphin--Swan River/Dauphin--Swan River,506,Mobile poll/Bureau itinérant,3,0,10,9,32,0,54,115
Dauphin--Swan River/Dauphin--Swan River,507,Mobile poll/Bureau itinérant,2,1,15,9,26,4,57,152
Dauphin--Swan River/Dauphin--Swan River,600,Birch River,0,0,3,8,19,0,30,
Dauphin--Swan River/Dauphin--Swan River,601,Swan River,0,5,27,72,142,1,247,
Dauphin--Swan River/Dauphin--Swan River,602,Winnipegosis,1,1,8,18,16,1,45,
Dauphin--Swan River/Dauphin--Swan River,603,Roblin,2,2,27,26,100,0,157,
Dauphin--Swan River/Dauphin--Swan River,604,Gilbert Plains,0,2,27,42,42,0,113,
Dauphin--Swan River/Dauphin--Swan River,605,Dauphin Rural,1,3,33,21,85,0,143,
Dauphin--Swan River/Dauphin--Swan River,606,Dauphin,5,13,184,141,291,5,639,
Dauphin--Swan River/Dauphin--Swan River,607,Ste. Rose du Lac,0,1,40,22,52,0,115,
Dauphin--Swan River/Dauphin--Swan River,608,Russell,2,1,24,10,61,0,98,
Dauphin--Swan River/Dauphin--Swan River,609,Rossburn,0,0,6,10,56,1,73,
Dauphin--Swan River/Dauphin--Swan River,610,McCreary,0,0,15,8,40,0,63,
Dauphin--Swan River/Dauphin--Swan River,611,Birtle,1,3,13,15,34,0,66,
Dauphin--Swan River/Dauphin--Swan River,612,Shoal Lake,0,0,17,6,55,0,78,
Dauphin--Swan River/Dauphin--Swan River,613,Minnedosa,0,3,41,29,73,0,146,
Dauphin--Swan River/Dauphin--Swan River,614,Neepawa,4,4,63,20,113,0,204,
Dauphin--Swan River/Dauphin--Swan River,615,Lakeview--Westbourne,1,1,22,7,41,0,72,
Dauphin--Swan River/Dauphin--Swan River,,Group 1/Groupe 1,1,3,20,8,22,1,55,104
Dauphin--Swan River/Dauphin--Swan River,,Group 2/Groupe 2,6,5,103,98,281,14,507,
