District,Poll Number,Poll Name,David Carter Laird,Angela Reid,Paddy Torsney,Mike Wallace,John Herman Wubs,Rejected Ballots,Total Vote,Electors
Burlington/Burlington,46B,Burlington,14,10,57,44,5,0,130,270
Burlington/Burlington,47,Burlington,22,12,112,76,2,1,225,344
Burlington/Burlington,48,Burlington,14,10,130,69,1,1,225,349
Burlington/Burlington,49,Burlington,26,10,86,96,0,2,220,328
Burlington/Burlington,50,Burlington,17,14,91,94,0,0,216,307
Burlington/Burlington,51,Burlington,10,9,138,97,0,0,254,345
Burlington/Burlington,52,Burlington,9,15,87,93,0,0,204,339
Burlington/Burlington,53,Burlington,6,8,98,99,0,2,213,327
Burlington/Burlington,54,Burlington,22,9,128,127,2,2,290,430
Burlington/Burlington,55,Burlington,10,10,133,87,0,0,240,363
Burlington/Burlington,56,Burlington,16,11,114,95,1,1,238,368
Burlington/Burlington,57,Burlington,6,10,118,102,0,0,236,360
Burlington/Burlington,58,Burlington,3,9,100,82,2,0,196,297
Burlington/Burlington,59A,Burlington,27,14,97,82,0,0,220,375
Burlington/Burlington,59B,Burlington,27,7,75,68,0,1,178,344
Burlington/Burlington,60,Burlington,32,20,182,107,2,0,343,491
Burlington/Burlington,61,Burlington,36,18,92,64,3,1,214,336
Burlington/Burlington,62,Burlington,39,23,119,88,2,0,271,382
Burlington/Burlington,63,Burlington,19,6,64,55,1,2,147,244
Burlington/Burlington,64,Burlington,38,8,61,62,3,0,172,328
Burlington/Burlington,65,Burlington,23,14,74,72,2,1,186,318
Burlington/Burlington,66,Burlington,28,15,111,120,2,2,278,429
Burlington/Burlington,67,Burlington,22,7,78,51,1,1,160,243
Burlington/Burlington,68,Burlington,26,8,77,52,2,1,166,244
Burlington/Burlington,69,Burlington,22,6,93,91,4,0,216,383
Burlington/Burlington,70,Burlington,23,4,69,56,0,0,152,311
Burlington/Burlington,71,Burlington,24,15,123,94,1,1,258,400
Burlington/Burlington,72,Burlington,23,8,95,106,1,0,233,340
Burlington/Burlington,73,Burlington,11,7,71,64,0,0,153,267
Burlington/Burlington,74,Burlington,24,9,104,61,2,0,200,284
Burlington/Burlington,75,Burlington,17,11,93,58,2,1,182,287
Burlington/Burlington,76,Burlington,7,5,89,65,0,0,166,248
Burlington/Burlington,77,Burlington,21,19,174,107,4,0,325,453
Burlington/Burlington,78,Burlington,32,11,147,106,2,1,299,453
Burlington/Burlington,79,Burlington,31,8,28,30,0,0,97,281
Burlington/Burlington,80,Burlington,23,11,88,82,1,1,206,349
Burlington/Burlington,81,Burlington,41,17,119,129,1,0,307,455
Burlington/Burlington,82,Burlington,20,8,122,98,1,1,250,352
Burlington/Burlington,83,Burlington,29,15,117,92,3,2,258,363
Burlington/Burlington,84,Burlington,35,14,93,77,1,0,220,341
Burlington/Burlington,85,Burlington,28,5,92,66,1,0,192,290
Burlington/Burlington,86,Burlington,28,7,95,87,3,2,222,408
Burlington/Burlington,87,Burlington,18,12,142,123,3,1,299,428
Burlington/Burlington,88,Burlington,6,6,80,78,1,1,172,275
Burlington/Burlington,89,Burlington,16,11,148,84,2,0,261,379
Burlington/Burlington,90,Burlington,17,13,95,110,0,0,235,354
Burlington/Burlington,91,Burlington,10,7,124,115,1,0,257,409
Burlington/Burlington,92,Burlington,20,10,92,114,2,1,239,385
Burlington/Burlington,93,Burlington,21,12,136,131,0,1,301,446
Burlington/Burlington,94,Burlington,10,12,127,109,0,1,259,420
Burlington/Burlington,95,Burlington,36,12,117,123,3,2,293,500
Burlington/Burlington,96,Burlington,35,9,145,138,1,1,329,499
Burlington/Burlington,97,Burlington,36,18,118,72,9,0,253,447
Burlington/Burlington,98,Burlington,21,15,122,104,4,1,267,404
Burlington/Burlington,99,Burlington,28,10,152,90,4,3,287,447
Burlington/Burlington,100,Burlington,23,21,121,105,1,0,271,450
Burlington/Burlington,101,Burlington,25,13,115,107,2,1,263,418
Burlington/Burlington,102,Burlington,24,6,69,71,4,0,174,273
Burlington/Burlington,103,Burlington,25,13,71,47,3,5,164,266
Burlington/Burlington,104,Burlington,42,18,114,85,3,4,266,413
Burlington/Burlington,105,Burlington,42,20,113,98,2,5,280,462
Burlington/Burlington,106,Burlington,22,13,105,118,2,1,261,430
Burlington/Burlington,107,Burlington,4,3,48,40,1,0,96,176
Burlington/Burlington,108,Burlington,22,31,124,68,0,1,246,403
Burlington/Burlington,109,Burlington,19,13,94,87,4,0,217,377
Burlington/Burlington,110,Burlington,27,15,148,86,3,0,279,458
Burlington/Burlington,111,Burlington,24,17,100,78,0,1,220,345
Burlington/Burlington,112,Burlington,17,6,90,33,0,0,146,220
Burlington/Burlington,113,Burlington,26,9,78,72,0,1,186,320
Burlington/Burlington,114,Burlington,30,12,124,80,3,2,251,444
Burlington/Burlington,115,Burlington,26,7,52,64,3,0,152,267
Burlington/Burlington,116,Burlington,16,10,99,67,2,2,196,345
Burlington/Burlington,117,Burlington,34,17,114,80,0,1,246,381
Burlington/Burlington,118,Burlington,41,13,85,63,1,0,203,404
Burlington/Burlington,119,Burlington,29,18,60,39,1,1,148,300
Burlington/Burlington,120,Burlington,30,23,58,66,2,2,181,340
Burlington/Burlington,121,Burlington,33,16,65,110,1,0,225,314
Burlington/Burlington,122,Burlington,27,8,80,95,8,1,219,382
Burlington/Burlington,123,Burlington,36,20,117,71,3,0,247,369
Burlington/Burlington,124,Burlington,27,11,71,57,1,1,168,280
Burlington/Burlington,125,Burlington,26,14,71,95,2,1,209,335
Burlington/Burlington,126,Burlington,21,10,98,80,3,1,213,325
Burlington/Burlington,127,Burlington,24,9,70,67,2,3,175,279
Burlington/Burlington,128,Burlington,32,29,72,41,4,2,180,358
Burlington/Burlington,129,Burlington,24,15,76,66,0,2,183,302
Burlington/Burlington,130,Burlington,27,10,134,80,1,3,255,437
Burlington/Burlington,131,Burlington,15,4,85,67,0,0,171,334
Burlington/Burlington,132,Burlington,39,10,66,49,1,0,165,391
Burlington/Burlington,133,Burlington,16,9,60,74,6,1,166,256
Burlington/Burlington,134,Burlington,38,15,89,83,4,3,232,351
Burlington/Burlington,135,Burlington,18,9,82,77,0,1,187,310
Burlington/Burlington,136,Burlington,35,17,85,117,3,3,260,459
Burlington/Burlington,137,Burlington,37,17,80,90,2,0,226,479
Burlington/Burlington,138,Burlington,24,6,41,73,1,1,146,230
Burlington/Burlington,139,Burlington,16,11,42,36,0,0,105,217
Burlington/Burlington,140,Burlington,32,19,90,68,3,0,212,351
Burlington/Burlington,141,Burlington,29,12,97,78,0,1,217,318
Burlington/Burlington,142A,Burlington,26,16,53,55,1,1,152,278
Burlington/Burlington,142B,Burlington,19,11,61,51,2,0,144,280
Burlington/Burlington,143A,Burlington,15,10,66,60,1,0,152,258
Burlington/Burlington,143B,Burlington,15,8,79,64,0,1,167,281
Burlington/Burlington,144,Burlington,18,7,120,94,0,0,239,386
Burlington/Burlington,145,Burlington,18,11,93,51,2,3,178,302
Burlington/Burlington,146,Burlington,28,12,94,71,3,0,208,335
Burlington/Burlington,147,Burlington,19,9,85,71,5,0,189,375
Burlington/Burlington,148,Burlington,17,10,72,63,4,0,166,306
Burlington/Burlington,149,Burlington,14,16,103,65,2,1,201,301
Burlington/Burlington,150,Burlington,13,8,106,43,0,0,170,262
Burlington/Burlington,151,Burlington,24,20,113,92,2,0,251,357
Burlington/Burlington,152,Burlington,25,16,104,76,0,1,222,339
Burlington/Burlington,153,Burlington,9,18,74,55,1,0,157,266
Burlington/Burlington,154,Burlington,18,8,82,41,0,0,149,220
Burlington/Burlington,155,Burlington,25,14,116,91,0,2,248,419
Burlington/Burlington,156,Burlington,25,19,72,50,0,0,166,367
Burlington/Burlington,157,Burlington,17,1,34,46,4,2,104,257
Burlington/Burlington,158,Burlington,23,18,90,54,2,2,189,305
Burlington/Burlington,159,Burlington,21,12,127,74,0,1,235,352
Burlington/Burlington,160,Burlington,7,6,64,58,0,0,135,238
Burlington/Burlington,161,Burlington,44,22,101,73,2,1,243,385
Burlington/Burlington,162,Burlington,15,7,104,59,0,0,185,337
Burlington/Burlington,163,Burlington,36,23,108,79,0,1,247,374
Burlington/Burlington,164,Burlington,17,10,73,43,1,0,144,226
Burlington/Burlington,165,Burlington,21,15,111,75,0,1,223,405
Burlington/Burlington,166,Burlington,16,9,109,147,1,1,283,477
Burlington/Burlington,167,Burlington,7,13,143,113,1,1,278,411
Burlington/Burlington,168,Burlington,28,10,133,83,1,2,257,445
Burlington/Burlington,169,Burlington,13,7,116,64,3,0,203,309
Burlington/Burlington,170,Burlington,18,8,84,68,1,0,179,274
Burlington/Burlington,171,Burlington,31,9,57,46,1,2,146,353
Burlington/Burlington,172,Burlington,15,8,57,90,1,0,171,288
Burlington/Burlington,173,Burlington,23,20,79,85,1,0,208,387
Burlington/Burlington,174,Burlington,9,7,139,110,3,0,268,440
Burlington/Burlington,175,Burlington,15,8,124,88,5,0,240,366
Burlington/Burlington,176A,Burlington,7,10,109,68,0,1,195,282
Burlington/Burlington,176B,Burlington,14,7,94,64,2,0,181,266
Burlington/Burlington,177,Burlington,9,9,73,90,1,1,183,285
Burlington/Burlington,178,Burlington,10,0,77,93,2,0,182,259
Burlington/Burlington,179,Burlington,9,11,72,72,3,1,168,255
Burlington/Burlington,180,Burlington,33,16,57,53,2,1,162,306
Burlington/Burlington,181,Burlington,38,10,81,90,4,0,223,439
Burlington/Burlington,182,Burlington,11,9,75,68,1,4,168,278
Burlington/Burlington,183,Burlington,12,5,61,55,0,1,134,222
Burlington/Burlington,184,Burlington,24,6,37,40,0,0,107,277
Burlington/Burlington,185,Burlington,34,17,52,63,1,0,167,319
Burlington/Burlington,186,Burlington,31,4,69,59,2,3,168,286
Burlington/Burlington,187,Burlington,24,18,130,96,1,1,270,395
Burlington/Burlington,188,Burlington,24,14,114,57,1,1,211,381
Burlington/Burlington,189,Burlington,39,14,127,68,2,1,251,409
Burlington/Burlington,190,Burlington,21,10,88,60,1,0,180,284
Burlington/Burlington,191,Burlington,49,11,61,40,3,0,164,333
Burlington/Burlington,192,Burlington,35,10,94,92,2,0,233,396
Burlington/Burlington,193,Burlington,32,16,58,37,1,0,144,296
Burlington/Burlington,194,Burlington,27,21,134,95,1,4,282,464
Burlington/Burlington,195A,Burlington,15,12,87,71,1,4,190,310
Burlington/Burlington,195B,Burlington,20,5,75,60,2,0,162,273
Burlington/Burlington,196,Burlington,18,7,94,78,1,1,199,322
Burlington/Burlington,197,Burlington,25,13,73,51,0,1,163,369
Burlington/Burlington,198,Burlington,17,10,136,95,0,1,259,389
Burlington/Burlington,199,Burlington,18,8,54,37,2,0,119,300
Burlington/Burlington,200,Burlington,31,10,132,123,0,0,296,439
Burlington/Burlington,201,Burlington,5,9,78,50,0,0,142,205
Burlington/Burlington,202,Burlington,13,7,115,78,2,1,216,375
Burlington/Burlington,203,Burlington,10,9,77,76,1,0,173,182
Burlington/Burlington,204,Burlington,Merged with No. 203,,,,,,,119
Burlington/Burlington,205,Burlington,29,10,91,64,2,1,197,351
Burlington/Burlington,206,Burlington,24,10,74,83,0,1,192,314
Burlington/Burlington,207,Burlington,18,18,82,66,1,4,189,346
Burlington/Burlington,208,Burlington,40,11,88,62,1,2,204,350
Burlington/Burlington,209,Burlington,29,12,99,72,1,1,214,347
Burlington/Burlington,210,Burlington,28,14,82,107,5,0,236,454
Burlington/Burlington,211,Burlington,25,19,97,67,0,1,209,301
Burlington/Burlington,212,Burlington,29,20,157,100,2,0,308,440
Burlington/Burlington,213,Burlington,34,12,65,71,0,1,183,451
Burlington/Burlington,214A,Burlington,30,7,48,27,1,1,114,275
Burlington/Burlington,214B,Burlington,29,7,40,44,2,0,122,292
Burlington/Burlington,215,Burlington,37,16,63,51,1,2,170,444
Burlington/Burlington,216,Burlington,37,14,111,102,0,0,264,396
Burlington/Burlington,217,Burlington,8,9,110,118,0,1,246,371
Burlington/Burlington,218,Burlington,15,6,129,100,0,0,250,389
Burlington/Burlington,219,Burlington,22,6,74,96,5,2,205,333
Burlington/Burlington,220,Burlington,18,11,116,111,3,1,260,425
Burlington/Burlington,221,Burlington,10,12,92,122,0,0,236,347
Burlington/Burlington,222,Burlington,23,9,129,112,0,0,273,417
Burlington/Burlington,223,Burlington,27,16,105,74,1,0,223,373
Burlington/Burlington,224,Burlington,29,15,110,89,1,0,244,391
Burlington/Burlington,225,Burlington,20,17,92,76,1,0,206,381
Burlington/Burlington,226,Burlington,19,17,97,95,1,0,229,426
Burlington/Burlington,227,Burlington,64,10,86,107,3,0,270,470
Burlington/Burlington,228,Burlington,21,3,78,56,0,3,161,270
Burlington/Burlington,229,Burlington,14,13,99,111,0,1,238,399
Burlington/Burlington,230,Burlington,30,9,91,92,1,1,224,416
Burlington/Burlington,231A,Burlington,16,4,121,85,0,0,226,338
Burlington/Burlington,231B,Burlington,27,11,79,71,1,0,189,333
Burlington/Burlington,232A,Burlington,17,14,77,83,2,1,194,304
Burlington/Burlington,232B,Burlington,27,8,69,55,1,1,161,282
Burlington/Burlington,400,Burlington,12,2,80,61,0,0,155,220
Burlington/Burlington,401,Burlington,19,11,107,72,4,1,214,297
Burlington/Burlington,402,Burlington,23,15,131,105,2,0,276,379
Burlington/Burlington,403,Burlington,16,7,106,78,1,3,211,291
Burlington/Burlington,404,Burlington,19,6,95,53,4,0,177,262
Burlington/Burlington,405,Burlington,25,6,94,59,0,0,184,258
Burlington/Burlington,406,Burlington,35,8,97,68,1,0,209,301
Burlington/Burlington,407,Burlington,30,9,74,57,0,1,171,257
Burlington/Burlington,408,Burlington,12,0,81,58,0,0,151,178
Burlington/Burlington,409,Burlington,13,11,108,67,1,0,200,265
Burlington/Burlington,410,Burlington,6,3,107,68,1,1,186,215
Burlington/Burlington,411,Burlington,16,7,65,53,0,0,141,210
Burlington/Burlington,412,Burlington,32,5,73,44,0,1,155,219
Burlington/Burlington,413,Burlington,21,9,49,59,0,0,138,215
Burlington/Burlington,500,Mobile poll/Bureau itinérant,8,0,47,8,6,3,72,119
Burlington/Burlington,501,Mobile poll/Bureau itinérant,10,1,34,26,1,1,73,143
Burlington/Burlington,502,Mobile poll/Bureau itinérant,21,7,56,48,2,1,135,180
Burlington/Burlington,503,Mobile poll/Bureau itinérant,5,2,40,24,2,5,78,223
Burlington/Burlington,504,Mobile poll/Bureau itinérant,17,4,46,45,2,4,118,149
Burlington/Burlington,505,Mobile poll/Bureau itinérant,28,4,79,49,0,0,160,208
Burlington/Burlington,506,Mobile poll/Bureau itinérant,7,2,49,38,2,0,98,126
Burlington/Burlington,507,Mobile poll/Bureau itinérant,7,1,59,43,0,1,111,204
Burlington/Burlington,508,Mobile poll/Bureau itinérant,22,5,72,45,1,4,149,181
Burlington/Burlington,509,Mobile poll/Bureau itinérant,12,3,36,26,0,2,79,157
Burlington/Burlington,600,Burlington,52,44,335,374,2,0,807,
Burlington/Burlington,601,Burlington,29,20,266,299,2,1,617,
Burlington/Burlington,602,Burlington,30,6,88,90,1,1,216,
Burlington/Burlington,603,Burlington,63,36,340,308,5,1,753,
Burlington/Burlington,604,Burlington,41,22,205,195,1,0,464,
Burlington/Burlington,605,Burlington,46,27,215,186,4,1,479,
Burlington/Burlington,606,Burlington,78,29,312,283,5,1,708,
Burlington/Burlington,607,Burlington,24,10,174,193,3,0,404,
Burlington/Burlington,608,Burlington,69,32,256,278,4,2,641,
Burlington/Burlington,609,Burlington,26,16,165,208,1,1,417,
Burlington/Burlington,610,Burlington,51,23,220,241,2,2,539,
Burlington/Burlington,,Group 1/Groupe 1,8,0,49,51,0,4,112,207
Burlington/Burlington,,Group 2/Groupe 2,55,33,324,397,5,0,814,
