District,Poll Number,Poll Name,Roger Colin Benham,Andy Burton,Nathan Cullen,Frank Martin,Miles Richardson,Rod Taylor,Rejected Ballots,Total Vote,Electors
Skeena--Bulkley Valley/Skeena--Bulkley Valley,27A,Gitwangak 1,6,38,84,0,16,3,0,147,291
Skeena--Bulkley Valley/Skeena--Bulkley Valley,27B,Gitwangak 1,4,20,83,0,28,2,0,137,293
Skeena--Bulkley Valley/Skeena--Bulkley Valley,28,Gitsegukla 1,6,15,115,1,56,4,3,200,246
Skeena--Bulkley Valley/Skeena--Bulkley Valley,29A,South Hazelton,5,26,47,0,10,5,0,93,240
Skeena--Bulkley Valley/Skeena--Bulkley Valley,29B,South Hazelton,1,46,35,0,15,2,1,100,254
Skeena--Bulkley Valley/Skeena--Bulkley Valley,30,Moricetown 1,2,11,95,2,11,34,0,155,243
Skeena--Bulkley Valley/Skeena--Bulkley Valley,31,Kitwanga,1,9,4,0,2,0,0,16,26
Skeena--Bulkley Valley/Skeena--Bulkley Valley,32A,Masset 1,5,10,42,0,33,0,0,90,240
Skeena--Bulkley Valley/Skeena--Bulkley Valley,32B,Masset 1,4,5,27,0,43,0,0,79,267
Skeena--Bulkley Valley/Skeena--Bulkley Valley,33,Masset,16,68,71,0,72,0,2,229,421
Skeena--Bulkley Valley/Skeena--Bulkley Valley,34,Delkatla,18,35,38,0,35,1,2,129,208
Skeena--Bulkley Valley/Skeena--Bulkley Valley,35,Port Clements,21,90,55,2,51,8,1,228,343
Skeena--Bulkley Valley/Skeena--Bulkley Valley,36,Sewell Inlet,Merged with No. 35,,,,,,,,7
Skeena--Bulkley Valley/Skeena--Bulkley Valley,37,Skidegate 1,19,19,64,0,189,0,0,291,447
Skeena--Bulkley Valley/Skeena--Bulkley Valley,38A,Queen Charlotte City,14,31,38,0,67,1,0,151,289
Skeena--Bulkley Valley/Skeena--Bulkley Valley,38B,Queen Charlotte City,14,24,42,2,82,1,0,165,257
Skeena--Bulkley Valley/Skeena--Bulkley Valley,39,Queen Charlotte City,3,18,35,0,46,2,0,104,225
Skeena--Bulkley Valley/Skeena--Bulkley Valley,40,Sandspit,13,68,34,2,63,0,0,180,303
Skeena--Bulkley Valley/Skeena--Bulkley Valley,41,Tlell,9,15,52,0,40,0,1,117,185
Skeena--Bulkley Valley/Skeena--Bulkley Valley,42,Lighthouses,Void,,,,,,,,
Skeena--Bulkley Valley/Skeena--Bulkley Valley,43,Lax Kw'alaams,8,5,136,1,34,4,0,188,416
Skeena--Bulkley Valley/Skeena--Bulkley Valley,44,Metlakatla,0,1,18,0,13,1,0,33,71
Skeena--Bulkley Valley/Skeena--Bulkley Valley,45,Dodge Cove,2,2,20,0,3,0,0,27,35
Skeena--Bulkley Valley/Skeena--Bulkley Valley,46,Oona River,0,5,3,1,2,0,0,11,24
Skeena--Bulkley Valley/Skeena--Bulkley Valley,47,Port Edward,11,62,92,1,37,2,0,205,367
Skeena--Bulkley Valley/Skeena--Bulkley Valley,48,Kitkatla,1,9,28,1,59,2,0,100,253
Skeena--Bulkley Valley/Skeena--Bulkley Valley,49,Hartley Bay,0,0,10,1,41,0,0,52,99
Skeena--Bulkley Valley/Skeena--Bulkley Valley,50,Klemtu,4,3,26,0,42,0,0,75,177
Skeena--Bulkley Valley/Skeena--Bulkley Valley,51,Prince Rupert,1,42,51,0,62,2,1,159,294
Skeena--Bulkley Valley/Skeena--Bulkley Valley,52,Prince Rupert,3,17,95,0,20,2,1,138,318
Skeena--Bulkley Valley/Skeena--Bulkley Valley,53,Prince Rupert,7,26,66,0,42,0,1,142,367
Skeena--Bulkley Valley/Skeena--Bulkley Valley,54,Prince Rupert,8,25,78,0,55,1,1,168,307
Skeena--Bulkley Valley/Skeena--Bulkley Valley,55,Prince Rupert,3,19,97,0,28,1,0,148,311
Skeena--Bulkley Valley/Skeena--Bulkley Valley,56,Prince Rupert,7,34,100,0,29,3,2,175,302
Skeena--Bulkley Valley/Skeena--Bulkley Valley,57,Prince Rupert,1,29,86,0,31,1,0,148,277
Skeena--Bulkley Valley/Skeena--Bulkley Valley,58,Prince Rupert,4,52,84,0,51,0,1,192,331
Skeena--Bulkley Valley/Skeena--Bulkley Valley,59,Prince Rupert,4,20,78,0,26,0,2,130,296
Skeena--Bulkley Valley/Skeena--Bulkley Valley,60,Prince Rupert,0,41,51,2,37,0,1,132,245
Skeena--Bulkley Valley/Skeena--Bulkley Valley,61,Prince Rupert,6,46,71,0,45,0,4,172,273
Skeena--Bulkley Valley/Skeena--Bulkley Valley,62,Prince Rupert,0,31,111,0,30,4,0,176,362
Skeena--Bulkley Valley/Skeena--Bulkley Valley,63,Prince Rupert,4,68,67,0,54,5,1,199,388
Skeena--Bulkley Valley/Skeena--Bulkley Valley,64,Prince Rupert,5,15,68,0,24,1,0,113,270
Skeena--Bulkley Valley/Skeena--Bulkley Valley,65,Prince Rupert,3,39,115,0,23,0,1,181,379
Skeena--Bulkley Valley/Skeena--Bulkley Valley,66,Prince Rupert,3,47,84,0,46,2,1,183,301
Skeena--Bulkley Valley/Skeena--Bulkley Valley,67,Prince Rupert,3,33,113,1,27,5,3,185,346
Skeena--Bulkley Valley/Skeena--Bulkley Valley,68,Prince Rupert,5,53,82,0,32,3,0,175,316
Skeena--Bulkley Valley/Skeena--Bulkley Valley,69,Prince Rupert,1,48,92,0,31,3,0,175,316
Skeena--Bulkley Valley/Skeena--Bulkley Valley,70,Prince Rupert,2,19,72,2,17,6,0,118,240
Skeena--Bulkley Valley/Skeena--Bulkley Valley,71,Prince Rupert,4,51,116,0,41,2,1,215,412
Skeena--Bulkley Valley/Skeena--Bulkley Valley,72,Prince Rupert,5,64,110,0,46,1,0,226,422
Skeena--Bulkley Valley/Skeena--Bulkley Valley,73,Prince Rupert,1,28,64,1,20,2,0,116,266
Skeena--Bulkley Valley/Skeena--Bulkley Valley,74,Prince Rupert,2,12,114,0,25,3,0,156,336
Skeena--Bulkley Valley/Skeena--Bulkley Valley,75,Prince Rupert,5,30,57,0,53,3,0,148,278
Skeena--Bulkley Valley/Skeena--Bulkley Valley,76,Prince Rupert,2,41,79,2,35,1,0,160,285
Skeena--Bulkley Valley/Skeena--Bulkley Valley,77,Prince Rupert,2,71,63,0,46,1,2,185,348
Skeena--Bulkley Valley/Skeena--Bulkley Valley,78,Prince Rupert,4,41,60,0,34,3,0,142,292
Skeena--Bulkley Valley/Skeena--Bulkley Valley,79,Rosswood,5,31,18,0,9,2,1,66,113
Skeena--Bulkley Valley/Skeena--Bulkley Valley,80A,Terrace,5,69,46,0,20,6,1,147,290
Skeena--Bulkley Valley/Skeena--Bulkley Valley,80B,Terrace,7,64,47,0,20,7,0,145,280
Skeena--Bulkley Valley/Skeena--Bulkley Valley,81,Kitsumkaylum 1,9,12,81,0,31,5,1,139,164
Skeena--Bulkley Valley/Skeena--Bulkley Valley,82A,Terrace,0,67,49,0,41,6,0,163,265
Skeena--Bulkley Valley/Skeena--Bulkley Valley,82B,Terrace,2,76,43,0,29,5,0,155,253
Skeena--Bulkley Valley/Skeena--Bulkley Valley,83,Terrace,5,94,86,0,49,5,1,240,396
Skeena--Bulkley Valley/Skeena--Bulkley Valley,84,Terrace,7,82,55,0,52,3,0,199,324
Skeena--Bulkley Valley/Skeena--Bulkley Valley,85,Terrace,2,103,58,0,49,3,1,216,358
Skeena--Bulkley Valley/Skeena--Bulkley Valley,86,Terrace,5,119,42,3,49,2,1,221,363
Skeena--Bulkley Valley/Skeena--Bulkley Valley,87,Terrace,6,94,83,0,67,10,0,260,449
Skeena--Bulkley Valley/Skeena--Bulkley Valley,88,Terrace,5,31,71,1,20,3,0,131,331
Skeena--Bulkley Valley/Skeena--Bulkley Valley,89,Terrace,5,134,91,2,61,4,3,300,439
Skeena--Bulkley Valley/Skeena--Bulkley Valley,90,Terrace,0,101,54,0,50,11,0,216,371
Skeena--Bulkley Valley/Skeena--Bulkley Valley,91,Terrace,4,59,75,2,41,8,0,189,352
Skeena--Bulkley Valley/Skeena--Bulkley Valley,92,Terrace,2,32,59,0,27,8,0,128,237
Skeena--Bulkley Valley/Skeena--Bulkley Valley,93,Terrace,3,67,88,0,55,2,0,215,425
Skeena--Bulkley Valley/Skeena--Bulkley Valley,94,Terrace,2,47,46,1,28,5,2,131,266
Skeena--Bulkley Valley/Skeena--Bulkley Valley,95,Terrace,1,68,43,1,34,0,0,147,256
Skeena--Bulkley Valley/Skeena--Bulkley Valley,96,Terrace,7,52,56,1,37,3,1,157,327
Skeena--Bulkley Valley/Skeena--Bulkley Valley,97,Terrace,4,56,47,2,19,6,0,134,258
Skeena--Bulkley Valley/Skeena--Bulkley Valley,98,Terrace,3,52,103,3,39,3,2,205,410
Skeena--Bulkley Valley/Skeena--Bulkley Valley,99A,Terrace,2,56,57,0,27,4,1,147,246
Skeena--Bulkley Valley/Skeena--Bulkley Valley,99B,Terrace,5,46,45,1,23,6,1,127,251
Skeena--Bulkley Valley/Skeena--Bulkley Valley,100,Terrace,3,76,77,0,32,11,0,199,358
Skeena--Bulkley Valley/Skeena--Bulkley Valley,101,Terrace,5,30,68,0,19,2,0,124,320
Skeena--Bulkley Valley/Skeena--Bulkley Valley,102,Terrace,4,83,109,1,39,6,0,242,385
Skeena--Bulkley Valley/Skeena--Bulkley Valley,103,Kitimat,11,75,128,4,26,19,2,265,457
Skeena--Bulkley Valley/Skeena--Bulkley Valley,104,Kitimat,9,74,84,1,24,3,3,198,366
Skeena--Bulkley Valley/Skeena--Bulkley Valley,105,Kitimat,8,67,130,0,36,9,2,252,394
Skeena--Bulkley Valley/Skeena--Bulkley Valley,106,Kitimat,6,25,86,0,24,2,1,144,262
Skeena--Bulkley Valley/Skeena--Bulkley Valley,107,Kitimat,7,74,97,0,31,6,1,216,388
Skeena--Bulkley Valley/Skeena--Bulkley Valley,108,Kitimat,4,79,100,1,33,10,0,227,390
Skeena--Bulkley Valley/Skeena--Bulkley Valley,109,Kitimat,6,70,93,4,53,5,0,231,369
Skeena--Bulkley Valley/Skeena--Bulkley Valley,110,Kitimat,13,54,108,1,30,4,2,212,371
Skeena--Bulkley Valley/Skeena--Bulkley Valley,111,Kitimat,9,54,106,2,29,2,2,204,361
Skeena--Bulkley Valley/Skeena--Bulkley Valley,112,Kitimat,1,50,99,2,32,5,0,189,336
Skeena--Bulkley Valley/Skeena--Bulkley Valley,113,Kitimat,7,40,77,1,14,2,4,145,327
Skeena--Bulkley Valley/Skeena--Bulkley Valley,114A,Kitimat,6,32,74,0,22,1,1,136,233
Skeena--Bulkley Valley/Skeena--Bulkley Valley,114B,Kitimat,3,24,76,5,23,3,1,135,229
Skeena--Bulkley Valley/Skeena--Bulkley Valley,115,Kitimat,6,53,63,1,18,10,0,151,298
Skeena--Bulkley Valley/Skeena--Bulkley Valley,116,Kitimat,10,47,106,3,23,4,3,196,321
Skeena--Bulkley Valley/Skeena--Bulkley Valley,117,Kitimat,9,49,78,1,32,4,2,175,311
Skeena--Bulkley Valley/Skeena--Bulkley Valley,118,Kitimat,6,53,90,1,30,11,0,191,341
Skeena--Bulkley Valley/Skeena--Bulkley Valley,119,Kitimat,8,45,91,0,24,6,0,174,354
Skeena--Bulkley Valley/Skeena--Bulkley Valley,120,Kitimat,3,30,49,0,15,2,1,100,219
Skeena--Bulkley Valley/Skeena--Bulkley Valley,121,Kitamaat 2,3,11,128,0,48,4,1,195,373
Skeena--Bulkley Valley/Skeena--Bulkley Valley,122,Usk,4,70,73,0,34,6,2,189,317
Skeena--Bulkley Valley/Skeena--Bulkley Valley,123,Thornhill,6,63,78,0,28,6,0,181,370
Skeena--Bulkley Valley/Skeena--Bulkley Valley,124,Thornhill,1,45,37,0,13,1,0,97,150
Skeena--Bulkley Valley/Skeena--Bulkley Valley,125,Thornhill,12,76,79,1,30,6,0,204,469
Skeena--Bulkley Valley/Skeena--Bulkley Valley,126,Thornhill,9,114,61,3,52,3,0,242,433
Skeena--Bulkley Valley/Skeena--Bulkley Valley,127,Thornhill,6,86,56,1,40,7,0,196,367
Skeena--Bulkley Valley/Skeena--Bulkley Valley,128,Thornhill,8,53,42,0,35,3,1,142,281
Skeena--Bulkley Valley/Skeena--Bulkley Valley,129,Thornhill,2,46,26,1,26,2,0,103,178
Skeena--Bulkley Valley/Skeena--Bulkley Valley,130,Thornhill,1,45,43,0,22,3,0,114,262
Skeena--Bulkley Valley/Skeena--Bulkley Valley,131A,Thornhill,4,75,36,0,36,4,0,155,236
Skeena--Bulkley Valley/Skeena--Bulkley Valley,131B,Thornhill,3,67,48,1,29,3,0,151,239
Skeena--Bulkley Valley/Skeena--Bulkley Valley,132,Thornhill,5,129,90,1,54,7,0,286,482
Skeena--Bulkley Valley/Skeena--Bulkley Valley,133,Lakelse Lake,6,80,48,0,28,2,0,164,306
Skeena--Bulkley Valley/Skeena--Bulkley Valley,134,Evelyn,10,73,58,0,28,18,0,187,365
Skeena--Bulkley Valley/Skeena--Bulkley Valley,135,Smithers,2,49,52,1,25,15,0,144,193
Skeena--Bulkley Valley/Skeena--Bulkley Valley,136,Smithers,4,114,51,0,20,29,0,218,365
Skeena--Bulkley Valley/Skeena--Bulkley Valley,137A,Smithers,0,86,34,0,17,17,1,155,260
Skeena--Bulkley Valley/Skeena--Bulkley Valley,137B,Smithers,2,53,37,0,26,18,0,136,256
Skeena--Bulkley Valley/Skeena--Bulkley Valley,138A,Smithers,3,60,43,1,25,13,1,146,296
Skeena--Bulkley Valley/Skeena--Bulkley Valley,138B,Smithers,2,50,42,0,28,8,1,131,291
Skeena--Bulkley Valley/Skeena--Bulkley Valley,138C,Smithers,6,55,36,0,23,11,1,132,291
Skeena--Bulkley Valley/Skeena--Bulkley Valley,139,Smithers,3,75,76,0,42,25,1,222,392
Skeena--Bulkley Valley/Skeena--Bulkley Valley,140,Smithers,9,73,68,0,36,26,0,212,360
Skeena--Bulkley Valley/Skeena--Bulkley Valley,141,Smithers,1,71,79,1,36,11,0,199,358
Skeena--Bulkley Valley/Skeena--Bulkley Valley,142,Smithers,6,42,67,0,28,14,0,157,299
Skeena--Bulkley Valley/Skeena--Bulkley Valley,143,Smithers,7,76,64,3,28,24,2,204,292
Skeena--Bulkley Valley/Skeena--Bulkley Valley,144,Smithers,3,52,54,0,26,7,0,142,316
Skeena--Bulkley Valley/Skeena--Bulkley Valley,145,Smithers,11,107,88,1,36,21,2,266,475
Skeena--Bulkley Valley/Skeena--Bulkley Valley,146,Smithers,5,84,72,1,27,14,1,204,356
Skeena--Bulkley Valley/Skeena--Bulkley Valley,147,Smithers,5,67,41,0,26,48,1,188,303
Skeena--Bulkley Valley/Skeena--Bulkley Valley,148,Smithers,5,57,62,0,17,18,0,159,248
Skeena--Bulkley Valley/Skeena--Bulkley Valley,149,Telkwa,4,62,71,0,49,35,1,222,414
Skeena--Bulkley Valley/Skeena--Bulkley Valley,150,Smithers,11,75,65,0,18,29,1,199,279
Skeena--Bulkley Valley/Skeena--Bulkley Valley,151A,Telkwa,6,80,45,4,24,8,1,168,251
Skeena--Bulkley Valley/Skeena--Bulkley Valley,151B,Telkwa,3,71,59,1,21,17,0,172,267
Skeena--Bulkley Valley/Skeena--Bulkley Valley,152,Telkwa,7,124,75,1,26,26,0,259,437
Skeena--Bulkley Valley/Skeena--Bulkley Valley,153,Telkwa,7,138,75,0,34,58,0,312,466
Skeena--Bulkley Valley/Skeena--Bulkley Valley,154,Barrett,3,61,15,0,11,13,0,103,194
Skeena--Bulkley Valley/Skeena--Bulkley Valley,155,Houston,8,107,41,0,54,22,0,232,407
Skeena--Bulkley Valley/Skeena--Bulkley Valley,156,Houston,5,36,18,0,25,3,1,88,166
Skeena--Bulkley Valley/Skeena--Bulkley Valley,157,Houston,3,62,29,0,31,11,0,136,320
Skeena--Bulkley Valley/Skeena--Bulkley Valley,158,Houston,7,84,46,0,52,22,4,215,452
Skeena--Bulkley Valley/Skeena--Bulkley Valley,159,Houston,2,39,19,0,17,2,0,79,165
Skeena--Bulkley Valley/Skeena--Bulkley Valley,160,Houston,3,100,34,0,53,16,1,207,432
Skeena--Bulkley Valley/Skeena--Bulkley Valley,161,Houston,5,80,22,0,14,12,0,133,255
Skeena--Bulkley Valley/Skeena--Bulkley Valley,162,Knockholt,6,57,22,0,12,12,0,109,186
Skeena--Bulkley Valley/Skeena--Bulkley Valley,163,Granisle,7,95,42,0,38,10,0,192,347
Skeena--Bulkley Valley/Skeena--Bulkley Valley,164,Topley Landing,0,21,13,0,12,1,0,47,78
Skeena--Bulkley Valley/Skeena--Bulkley Valley,165,Pendleton Bay,8,101,40,2,34,3,0,188,314
Skeena--Bulkley Valley/Skeena--Bulkley Valley,166,Topley,7,81,39,1,26,11,0,165,336
Skeena--Bulkley Valley/Skeena--Bulkley Valley,167,Decker Lake,5,82,38,0,41,10,0,176,285
Skeena--Bulkley Valley/Skeena--Bulkley Valley,168,Burns Lake,8,50,81,1,84,4,2,230,476
Skeena--Bulkley Valley/Skeena--Bulkley Valley,169,Burns Lake,6,126,66,0,37,8,2,245,407
Skeena--Bulkley Valley/Skeena--Bulkley Valley,170A,Burns Lake,7,43,33,2,19,3,0,107,298
Skeena--Bulkley Valley/Skeena--Bulkley Valley,170B,Burns Lake,9,43,56,1,30,5,0,144,346
Skeena--Bulkley Valley/Skeena--Bulkley Valley,171,Burns Lake,2,20,19,0,21,1,0,63,127
Skeena--Bulkley Valley/Skeena--Bulkley Valley,172,Burns Lake,4,46,12,0,11,2,1,76,145
Skeena--Bulkley Valley/Skeena--Bulkley Valley,173,Poison Creek 17A,3,64,20,0,26,3,0,116,199
Skeena--Bulkley Valley/Skeena--Bulkley Valley,174,Tintagel,9,74,24,1,19,1,0,128,232
Skeena--Bulkley Valley/Skeena--Bulkley Valley,175,François Lake,7,20,7,0,11,1,0,46,94
Skeena--Bulkley Valley/Skeena--Bulkley Valley,176,François Lake,20,121,72,0,32,8,1,254,405
Skeena--Bulkley Valley/Skeena--Bulkley Valley,177,Takysie Lake,1,15,4,0,4,0,0,24,30
Skeena--Bulkley Valley/Skeena--Bulkley Valley,178,Southbank,4,50,47,0,16,3,0,120,257
Skeena--Bulkley Valley/Skeena--Bulkley Valley,179,Takysie Lake,4,55,17,1,35,4,0,116,209
Skeena--Bulkley Valley/Skeena--Bulkley Valley,180,Tachie,2,8,14,4,73,0,0,101,246
Skeena--Bulkley Valley/Skeena--Bulkley Valley,181,Chuz Ghun 8,3,41,14,0,11,5,0,74,113
Skeena--Bulkley Valley/Skeena--Bulkley Valley,182,Sowchea 3A,12,109,44,0,57,4,1,227,417
Skeena--Bulkley Valley/Skeena--Bulkley Valley,183,Fort St. James,9,91,53,0,58,1,1,213,403
Skeena--Bulkley Valley/Skeena--Bulkley Valley,184,Fort St. James,13,73,47,3,68,0,0,204,392
Skeena--Bulkley Valley/Skeena--Bulkley Valley,185A,Fort St. James,9,36,44,1,25,3,0,118,312
Skeena--Bulkley Valley/Skeena--Bulkley Valley,185B,Fort St. James,5,31,19,0,26,0,0,81,307
Skeena--Bulkley Valley/Skeena--Bulkley Valley,185C,Fort St. James,5,28,29,1,29,1,0,93,274
Skeena--Bulkley Valley/Skeena--Bulkley Valley,186,Necoslie (Fort St. James) 1,5,7,25,4,36,0,2,79,281
Skeena--Bulkley Valley/Skeena--Bulkley Valley,187,Six Mile Meadow 6,6,24,11,0,12,3,0,56,95
Skeena--Bulkley Valley/Skeena--Bulkley Valley,188,Tatsadah Lake 14,3,29,11,0,20,2,0,65,135
Skeena--Bulkley Valley/Skeena--Bulkley Valley,189,Endako,6,42,24,1,17,2,1,93,152
Skeena--Bulkley Valley/Skeena--Bulkley Valley,190,Lejac,4,65,46,1,33,1,0,150,263
Skeena--Bulkley Valley/Skeena--Bulkley Valley,191A,Fraser Lake,6,65,26,0,46,2,0,145,296
Skeena--Bulkley Valley/Skeena--Bulkley Valley,191B,Fraser Lake,1,55,25,1,26,0,0,108,271
Skeena--Bulkley Valley/Skeena--Bulkley Valley,192,Fraser Lake,5,118,59,4,45,6,0,237,429
Skeena--Bulkley Valley/Skeena--Bulkley Valley,193,Glenannan,2,51,24,1,17,1,0,96,149
Skeena--Bulkley Valley/Skeena--Bulkley Valley,194,Fort Fraser,9,98,51,3,16,4,0,181,337
Skeena--Bulkley Valley/Skeena--Bulkley Valley,195,Fort Fraser,4,51,11,0,11,3,0,80,111
Skeena--Bulkley Valley/Skeena--Bulkley Valley,196,Fort Fraser,3,28,32,1,18,2,0,84,140
Skeena--Bulkley Valley/Skeena--Bulkley Valley,197,Ocean Falls,3,15,5,0,4,0,0,27,45
Skeena--Bulkley Valley/Skeena--Bulkley Valley,198,Bella Bella,14,11,64,0,122,1,1,213,484
Skeena--Bulkley Valley/Skeena--Bulkley Valley,199,Bella Bella,Merged with No. 198,,,,,,,,248
Skeena--Bulkley Valley/Skeena--Bulkley Valley,200,Shearwater,4,11,4,1,15,0,0,35,53
Skeena--Bulkley Valley/Skeena--Bulkley Valley,201,Bella Coola 1,6,10,154,5,8,8,0,191,509
Skeena--Bulkley Valley/Skeena--Bulkley Valley,202,Oweekeno,Void,,,,,,,,
Skeena--Bulkley Valley/Skeena--Bulkley Valley,203,Bella Coola,6,11,29,4,10,2,0,62,211
Skeena--Bulkley Valley/Skeena--Bulkley Valley,204,Bella Coola,5,55,62,0,30,2,1,155,192
Skeena--Bulkley Valley/Skeena--Bulkley Valley,500,Mobile poll/Bureau itinérant,0,5,17,1,7,1,1,32,66
Skeena--Bulkley Valley/Skeena--Bulkley Valley,501,Mobile poll/Bureau itinérant,3,17,27,2,19,6,3,77,94
Skeena--Bulkley Valley/Skeena--Bulkley Valley,502,Mobile poll/Bureau itinérant,1,13,6,3,6,6,0,35,40
Skeena--Bulkley Valley/Skeena--Bulkley Valley,600,Dease Lake,4,8,8,0,9,1,0,30,
Skeena--Bulkley Valley/Skeena--Bulkley Valley,601,Houston--Stewart,1,27,8,0,11,0,0,47,
Skeena--Bulkley Valley/Skeena--Bulkley Valley,602,Aiyansh,1,1,19,0,8,1,0,30,
Skeena--Bulkley Valley/Skeena--Bulkley Valley,603,Hazelton,1,40,39,1,20,3,0,104,
Skeena--Bulkley Valley/Skeena--Bulkley Valley,604,Masset,2,34,14,0,17,0,1,68,
Skeena--Bulkley Valley/Skeena--Bulkley Valley,605,Prince Rupert--Queen Charlotte City,6,16,18,1,48,4,0,93,
Skeena--Bulkley Valley/Skeena--Bulkley Valley,606,Prince Rupert,1,7,17,0,3,0,0,28,
Skeena--Bulkley Valley/Skeena--Bulkley Valley,607,Prince Rupert,15,182,257,1,158,11,5,629,
Skeena--Bulkley Valley/Skeena--Bulkley Valley,608,Terrace,11,207,132,0,98,7,0,455,
Skeena--Bulkley Valley/Skeena--Bulkley Valley,609,Kitimat,9,147,146,2,56,17,1,378,
Skeena--Bulkley Valley/Skeena--Bulkley Valley,610,Terrace,6,69,57,0,32,6,1,171,
Skeena--Bulkley Valley/Skeena--Bulkley Valley,611,Smithers,10,228,158,2,75,46,1,520,
Skeena--Bulkley Valley/Skeena--Bulkley Valley,612,Tachie,5,100,36,0,29,17,0,187,
Skeena--Bulkley Valley/Skeena--Bulkley Valley,613,Houston,13,146,63,0,63,12,0,297,
Skeena--Bulkley Valley/Skeena--Bulkley Valley,614,Burns Lake,4,65,21,2,36,3,0,131,
Skeena--Bulkley Valley/Skeena--Bulkley Valley,615,Fort St. James,11,63,29,0,23,3,0,129,
Skeena--Bulkley Valley/Skeena--Bulkley Valley,616,Shearwater,3,0,2,1,18,0,0,24,
Skeena--Bulkley Valley/Skeena--Bulkley Valley,617,Bella Coola 1--Central Coast,3,14,3,0,6,1,0,27,
Skeena--Bulkley Valley/Skeena--Bulkley Valley,,Group 1/Groupe 1,5,30,17,0,14,3,0,69,162
Skeena--Bulkley Valley/Skeena--Bulkley Valley,,Group 2/Groupe 2,26,291,237,4,126,17,10,711,
