District,Poll Number,Poll Name,Ligy Alakkattussery,Dominique Bellemare,Alain Boire,Félix Malboeuf,Serge Marcil,Rémi Pelletier,Rejected Ballots,Total Vote,Electors
Beauharnois--Salaberry/Beauharnois--Salaberry,92,Salaberry-de-Valleyfield,4,14,133,0,69,9,7,236,398
Beauharnois--Salaberry/Beauharnois--Salaberry,93,Salaberry-de-Valleyfield,6,16,161,2,52,4,5,246,397
Beauharnois--Salaberry/Beauharnois--Salaberry,94,Salaberry-de-Valleyfield,0,23,137,5,77,4,2,248,480
Beauharnois--Salaberry/Beauharnois--Salaberry,95,Salaberry-de-Valleyfield,4,14,119,2,64,1,3,207,401
Beauharnois--Salaberry/Beauharnois--Salaberry,96,Saint-Timothée,2,15,110,1,77,4,5,214,328
Beauharnois--Salaberry/Beauharnois--Salaberry,97,Saint-Timothée,3,20,148,5,95,6,8,285,479
Beauharnois--Salaberry/Beauharnois--Salaberry,98,Saint-Timothée,9,14,140,4,52,10,1,230,421
Beauharnois--Salaberry/Beauharnois--Salaberry,99,Saint-Timothée,6,25,193,4,82,11,9,330,531
Beauharnois--Salaberry/Beauharnois--Salaberry,100,Saint-Timothée,2,9,91,1,44,3,1,151,331
Beauharnois--Salaberry/Beauharnois--Salaberry,101,Saint-Timothée,7,18,124,0,47,7,3,206,388
Beauharnois--Salaberry/Beauharnois--Salaberry,102,Saint-Timothée,2,15,132,5,64,5,5,228,397
Beauharnois--Salaberry/Beauharnois--Salaberry,103,Saint-Timothée,3,28,160,3,58,7,7,266,481
Beauharnois--Salaberry/Beauharnois--Salaberry,104,Saint-Timothée,3,13,76,3,64,6,8,173,321
Beauharnois--Salaberry/Beauharnois--Salaberry,105,Saint-Timothée,1,33,136,2,81,10,4,267,377
Beauharnois--Salaberry/Beauharnois--Salaberry,106,Saint-Timothée,5,30,214,1,79,9,5,343,512
Beauharnois--Salaberry/Beauharnois--Salaberry,107,Saint-Timothée,7,15,140,4,101,4,7,278,428
Beauharnois--Salaberry/Beauharnois--Salaberry,108,Saint-Timothée,1,9,103,2,54,4,1,174,340
Beauharnois--Salaberry/Beauharnois--Salaberry,109,Saint-Timothée,3,16,155,2,48,4,5,233,407
Beauharnois--Salaberry/Beauharnois--Salaberry,110,Saint-Timothée,5,22,125,3,60,8,3,226,394
Beauharnois--Salaberry/Beauharnois--Salaberry,111,Saint-Timothée,0,21,125,1,50,8,5,210,386
Beauharnois--Salaberry/Beauharnois--Salaberry,112,Melocheville,5,12,163,4,35,4,7,230,381
Beauharnois--Salaberry/Beauharnois--Salaberry,113,Melocheville,0,14,168,3,24,7,4,220,366
Beauharnois--Salaberry/Beauharnois--Salaberry,114,Melocheville,7,15,127,1,65,6,3,224,358
Beauharnois--Salaberry/Beauharnois--Salaberry,115,Melocheville,6,20,150,2,91,6,8,283,443
Beauharnois--Salaberry/Beauharnois--Salaberry,116,Melocheville,6,23,177,3,71,10,8,298,452
Beauharnois--Salaberry/Beauharnois--Salaberry,117A,Beauharnois,3,15,91,2,53,7,6,177,343
Beauharnois--Salaberry/Beauharnois--Salaberry,117B,Mobile poll/Bureau itinérant,Merged with No. 503,,,,,,,,22
Beauharnois--Salaberry/Beauharnois--Salaberry,118,Maple Grove,4,25,151,2,56,13,5,256,384
Beauharnois--Salaberry/Beauharnois--Salaberry,119,Maple Grove,4,26,156,0,50,13,5,254,419
Beauharnois--Salaberry/Beauharnois--Salaberry,120,Maple Grove,6,30,189,0,86,8,6,325,494
Beauharnois--Salaberry/Beauharnois--Salaberry,121,Maple Grove,4,16,146,1,66,20,8,261,407
Beauharnois--Salaberry/Beauharnois--Salaberry,122,Maple Grove,4,30,190,3,59,22,7,315,508
Beauharnois--Salaberry/Beauharnois--Salaberry,123,Beauharnois,3,21,151,3,42,8,3,231,371
Beauharnois--Salaberry/Beauharnois--Salaberry,124,Beauharnois,2,11,148,1,46,6,11,225,384
Beauharnois--Salaberry/Beauharnois--Salaberry,125,Beauharnois,4,18,100,2,56,1,4,185,385
Beauharnois--Salaberry/Beauharnois--Salaberry,126,Beauharnois,5,12,110,1,37,3,4,172,350
Beauharnois--Salaberry/Beauharnois--Salaberry,127,Beauharnois,6,25,122,5,43,3,9,213,385
Beauharnois--Salaberry/Beauharnois--Salaberry,128,Beauharnois,2,12,115,1,38,5,5,178,305
Beauharnois--Salaberry/Beauharnois--Salaberry,129,Beauharnois,3,11,95,2,31,12,8,162,296
Beauharnois--Salaberry/Beauharnois--Salaberry,130,Beauharnois,0,13,124,2,35,14,10,198,355
Beauharnois--Salaberry/Beauharnois--Salaberry,131,Beauharnois,4,13,145,2,43,4,5,216,334
Beauharnois--Salaberry/Beauharnois--Salaberry,132,Beauharnois,3,18,169,2,48,9,7,256,405
Beauharnois--Salaberry/Beauharnois--Salaberry,133,Beauharnois,3,11,148,0,32,5,3,202,314
Beauharnois--Salaberry/Beauharnois--Salaberry,134,Beauharnois,4,25,180,0,43,9,7,268,393
Beauharnois--Salaberry/Beauharnois--Salaberry,135,Beauharnois,7,23,194,1,48,12,7,292,461
Beauharnois--Salaberry/Beauharnois--Salaberry,136,Saint-Paul-de-Châteauguay,8,11,136,4,45,11,7,222,323
Beauharnois--Salaberry/Beauharnois--Salaberry,137,Sainte-Martine,5,12,125,0,70,9,4,225,344
Beauharnois--Salaberry/Beauharnois--Salaberry,138,Sainte-Martine,5,31,253,8,89,10,8,404,599
Beauharnois--Salaberry/Beauharnois--Salaberry,139,Sainte-Martine,4,14,205,2,73,5,18,321,520
Beauharnois--Salaberry/Beauharnois--Salaberry,140,Sainte-Martine,6,24,130,3,101,8,7,279,418
Beauharnois--Salaberry/Beauharnois--Salaberry,141,Saint-Paul-de-Châteauguay,5,19,155,2,60,7,4,252,406
Beauharnois--Salaberry/Beauharnois--Salaberry,142,Saint-Paul-de-Châteauguay,8,17,112,2,61,2,3,205,357
Beauharnois--Salaberry/Beauharnois--Salaberry,143A,Saint-Urbain-Premier,4,31,152,3,61,9,6,266,393
Beauharnois--Salaberry/Beauharnois--Salaberry,143B,Saint-Urbain-Premier,8,26,191,4,92,17,4,342,357
Beauharnois--Salaberry/Beauharnois--Salaberry,144,Saint-Urbain-Premier,Merged with No. 143B,,,,,,,,153
Beauharnois--Salaberry/Beauharnois--Salaberry,145,Très-Saint-Sacrement,3,24,65,1,77,3,2,175,269
Beauharnois--Salaberry/Beauharnois--Salaberry,146,Howick,8,25,89,5,135,7,11,280,425
Beauharnois--Salaberry/Beauharnois--Salaberry,147,Très-Saint-Sacrement,9,33,67,5,157,8,3,282,398
Beauharnois--Salaberry/Beauharnois--Salaberry,148,Saint-Paul-de-Châteauguay,4,41,44,2,134,8,0,233,340
Beauharnois--Salaberry/Beauharnois--Salaberry,149,Saint-Jean-Chrysostome,6,16,100,3,68,10,6,209,417
Beauharnois--Salaberry/Beauharnois--Salaberry,150,Saint-Chrysostome,2,30,81,1,45,1,5,165,321
Beauharnois--Salaberry/Beauharnois--Salaberry,151,Saint-Jean-Chrysostome,0,17,107,0,43,2,4,173,273
Beauharnois--Salaberry/Beauharnois--Salaberry,152A,Saint-Jean-Chrysostome,6,44,167,1,92,8,11,329,605
Beauharnois--Salaberry/Beauharnois--Salaberry,152B,Saint-Jean-Chrysostome,Merged with No. 153,,,,,,,,74
Beauharnois--Salaberry/Beauharnois--Salaberry,153,Saint-Jean-Chrysostome,4,25,81,0,67,6,4,187,270
Beauharnois--Salaberry/Beauharnois--Salaberry,154,Saint-Malachie-d'Ormstown,8,25,32,2,136,11,5,219,398
Beauharnois--Salaberry/Beauharnois--Salaberry,155,Ormstown,3,8,76,0,119,5,7,218,411
Beauharnois--Salaberry/Beauharnois--Salaberry,156,Ormstown,7,14,29,1,87,6,3,147,409
Beauharnois--Salaberry/Beauharnois--Salaberry,157,Ormstown,4,17,64,1,93,5,1,185,323
Beauharnois--Salaberry/Beauharnois--Salaberry,158,Saint-Malachie-d'Ormstown,3,14,63,1,68,4,5,158,256
Beauharnois--Salaberry/Beauharnois--Salaberry,159,Saint-Malachie-d'Ormstown,12,36,131,6,100,6,4,295,595
Beauharnois--Salaberry/Beauharnois--Salaberry,160,Ormstown,4,38,108,0,111,9,4,274,536
Beauharnois--Salaberry/Beauharnois--Salaberry,161,Saint-Antoine-Abbé,7,36,157,5,96,7,11,319,579
Beauharnois--Salaberry/Beauharnois--Salaberry,162,Saint-Antoine-Abbé,6,22,80,1,60,7,1,177,326
Beauharnois--Salaberry/Beauharnois--Salaberry,163,Saint-Antoine-Abbé,12,32,46,0,101,10,1,202,374
Beauharnois--Salaberry/Beauharnois--Salaberry,164,Sainte-Clotilde-de-Châteauguay,5,30,82,2,40,2,6,167,286
Beauharnois--Salaberry/Beauharnois--Salaberry,165,Sainte-Clotilde-de-Châteauguay,12,37,157,6,76,2,6,296,521
Beauharnois--Salaberry/Beauharnois--Salaberry,166,Sainte-Clotilde-de-Châteauguay,4,24,124,1,51,3,4,211,409
Beauharnois--Salaberry/Beauharnois--Salaberry,167,Hemmingford,15,30,61,3,114,9,3,235,442
Beauharnois--Salaberry/Beauharnois--Salaberry,168,Hemmingford,1,25,33,2,116,13,1,191,330
Beauharnois--Salaberry/Beauharnois--Salaberry,169,Hemmingford,2,15,14,2,86,3,0,122,222
Beauharnois--Salaberry/Beauharnois--Salaberry,170,Hemmingford,7,31,20,2,97,6,1,164,345
Beauharnois--Salaberry/Beauharnois--Salaberry,171,Hemmingford,15,38,50,5,181,14,3,306,559
Beauharnois--Salaberry/Beauharnois--Salaberry,172,Havelock,5,31,83,0,74,12,5,210,301
Beauharnois--Salaberry/Beauharnois--Salaberry,173,Havelock,6,35,76,0,108,14,1,240,398
Beauharnois--Salaberry/Beauharnois--Salaberry,174,Saint-Rémi,6,14,151,2,63,7,5,248,394
Beauharnois--Salaberry/Beauharnois--Salaberry,175,Saint-Rémi,9,28,201,5,62,8,10,323,545
Beauharnois--Salaberry/Beauharnois--Salaberry,176,Saint-Rémi,2,14,115,0,50,5,2,188,382
Beauharnois--Salaberry/Beauharnois--Salaberry,177,Saint-Rémi,4,25,204,2,71,4,9,319,534
Beauharnois--Salaberry/Beauharnois--Salaberry,178,Saint-Rémi,3,17,116,1,59,5,9,210,313
Beauharnois--Salaberry/Beauharnois--Salaberry,179,Saint-Rémi,0,4,88,0,37,2,5,136,283
Beauharnois--Salaberry/Beauharnois--Salaberry,180,Saint-Rémi,2,19,108,3,63,6,5,206,412
Beauharnois--Salaberry/Beauharnois--Salaberry,181,Saint-Rémi,6,19,182,3,58,2,5,275,446
Beauharnois--Salaberry/Beauharnois--Salaberry,182,Saint-Rémi,4,23,129,3,66,4,7,236,392
Beauharnois--Salaberry/Beauharnois--Salaberry,183,Saint-Rémi,9,30,148,3,51,9,10,260,406
Beauharnois--Salaberry/Beauharnois--Salaberry,184,Saint-Rémi,2,22,134,1,41,5,1,206,412
Beauharnois--Salaberry/Beauharnois--Salaberry,185,Saint-Michel,8,10,132,2,63,4,2,221,379
Beauharnois--Salaberry/Beauharnois--Salaberry,186,Saint-Édouard,1,17,76,0,50,8,3,155,294
Beauharnois--Salaberry/Beauharnois--Salaberry,187,Saint-Jacques-le-Mineur,21,14,204,6,45,5,7,302,478
Beauharnois--Salaberry/Beauharnois--Salaberry,188,Saint-Jacques-le-Mineur,13,26,114,7,35,5,7,207,354
Beauharnois--Salaberry/Beauharnois--Salaberry,189,Saint-Jacques-le-Mineur,1,16,142,1,82,9,6,257,369
Beauharnois--Salaberry/Beauharnois--Salaberry,190,Saint-Édouard,3,16,113,6,55,3,4,200,350
Beauharnois--Salaberry/Beauharnois--Salaberry,191,Saint-Édouard,2,19,80,5,62,7,5,180,307
Beauharnois--Salaberry/Beauharnois--Salaberry,192,Saint-Michel,0,22,87,1,74,6,4,194,342
Beauharnois--Salaberry/Beauharnois--Salaberry,193,Saint-Michel,8,16,184,2,81,2,9,302,482
Beauharnois--Salaberry/Beauharnois--Salaberry,194,Saint-Michel,2,7,158,1,53,4,4,229,384
Beauharnois--Salaberry/Beauharnois--Salaberry,195,Saint-Michel,3,19,102,1,70,4,1,200,335
Beauharnois--Salaberry/Beauharnois--Salaberry,196,Saint-Cyprien-de-Napierville,6,29,114,2,57,5,8,221,358
Beauharnois--Salaberry/Beauharnois--Salaberry,197,Napierville,3,12,86,0,37,4,6,148,249
Beauharnois--Salaberry/Beauharnois--Salaberry,198,Napierville,4,33,123,1,69,7,0,237,401
Beauharnois--Salaberry/Beauharnois--Salaberry,199,Napierville,3,29,126,5,56,1,9,229,463
Beauharnois--Salaberry/Beauharnois--Salaberry,200,Napierville,3,31,158,4,81,9,11,297,470
Beauharnois--Salaberry/Beauharnois--Salaberry,201,Napierville,3,11,79,0,39,5,3,140,266
Beauharnois--Salaberry/Beauharnois--Salaberry,202,Napierville,1,14,75,0,70,4,2,166,303
Beauharnois--Salaberry/Beauharnois--Salaberry,203,Napierville,0,10,74,0,29,3,4,120,258
Beauharnois--Salaberry/Beauharnois--Salaberry,204,Saint-Cyprien-de-Napierville,3,9,74,2,43,2,8,141,213
Beauharnois--Salaberry/Beauharnois--Salaberry,205,Sherrington,8,22,98,1,85,14,7,235,438
Beauharnois--Salaberry/Beauharnois--Salaberry,206,Sherrington,3,13,124,3,45,4,3,195,366
Beauharnois--Salaberry/Beauharnois--Salaberry,207,Sherrington,1,15,77,0,49,4,5,151,253
Beauharnois--Salaberry/Beauharnois--Salaberry,208,Sherrington,9,18,131,4,68,8,2,240,407
Beauharnois--Salaberry/Beauharnois--Salaberry,209,Sherrington,14,36,107,1,77,6,5,246,417
Beauharnois--Salaberry/Beauharnois--Salaberry,210,Saint-Bernard-de-Lacolle,4,12,63,0,44,4,2,129,275
Beauharnois--Salaberry/Beauharnois--Salaberry,211,Saint-Bernard-de-Lacolle,2,39,152,3,77,8,4,285,450
Beauharnois--Salaberry/Beauharnois--Salaberry,212,Saint-Bernard-de-Lacolle,8,24,106,3,120,12,5,278,454
Beauharnois--Salaberry/Beauharnois--Salaberry,500,Mobile poll/Bureau itinérant,0,7,14,1,23,1,1,47,126
Beauharnois--Salaberry/Beauharnois--Salaberry,501,Mobile poll/Bureau itinérant,0,13,16,0,50,2,4,85,174
Beauharnois--Salaberry/Beauharnois--Salaberry,502,Mobile poll/Bureau itinérant,1,3,9,1,37,2,1,54,98
Beauharnois--Salaberry/Beauharnois--Salaberry,503,Mobile poll/Bureau itinérant,1,5,7,0,53,2,4,72,94
Beauharnois--Salaberry/Beauharnois--Salaberry,600,Huntingdon,10,101,108,7,418,12,7,663,
Beauharnois--Salaberry/Beauharnois--Salaberry,601,Saint-Stanislas-de-Kostka,2,14,42,0,51,1,2,112,
Beauharnois--Salaberry/Beauharnois--Salaberry,602,Salaberry-de-Valleyfield,2,55,250,1,174,10,10,502,
Beauharnois--Salaberry/Beauharnois--Salaberry,603,Salaberry-de-Valleyfield,8,53,373,2,293,6,22,757,
Beauharnois--Salaberry/Beauharnois--Salaberry,604,Salaberry-de-Valleyfield,9,56,234,3,220,8,14,544,
Beauharnois--Salaberry/Beauharnois--Salaberry,605,Saint-Timothée,5,59,253,1,167,9,5,499,
Beauharnois--Salaberry/Beauharnois--Salaberry,606,Beauharnois,11,65,258,3,187,12,13,549,
Beauharnois--Salaberry/Beauharnois--Salaberry,607,Saint-Jean-Chrysostome,5,27,105,0,96,3,0,236,
Beauharnois--Salaberry/Beauharnois--Salaberry,608,Saint-Malachie-d'Ormstown,6,45,75,1,176,6,5,314,
Beauharnois--Salaberry/Beauharnois--Salaberry,609,Hemmingford,6,20,47,1,123,11,2,210,
Beauharnois--Salaberry/Beauharnois--Salaberry,610,Saint-Rémi,1,23,95,1,112,1,4,237,
Beauharnois--Salaberry/Beauharnois--Salaberry,611,Saint-Édouard,1,14,67,1,52,0,5,140,
Beauharnois--Salaberry/Beauharnois--Salaberry,612,Napierville,8,28,162,0,76,10,3,287,
Beauharnois--Salaberry/Beauharnois--Salaberry,,Group 1/Groupe 1,0,23,30,8,26,3,6,96,189
Beauharnois--Salaberry/Beauharnois--Salaberry,,Group 2/Groupe 2,13,94,521,2,935,19,29,1613,
