District,Poll Number,Poll Name,Serge Bellemare,Daniel Brazeau,Roger Gaudet,Michel Paulette,François Rivest,Rejected Ballots,Total Vote,Electors
Montcalm/Montcalm,47-1,Saint-Lin,2,12,112,3,3,7,139,400
Montcalm/Montcalm,48,Saint-Lin,11,24,137,3,7,7,189,419
Montcalm/Montcalm,49,Saint-Lin,7,53,166,12,1,8,247,530
Montcalm/Montcalm,50,Saint-Lin,6,46,150,14,7,0,223,492
Montcalm/Montcalm,51,Saint-Lin,7,27,123,16,6,7,186,439
Montcalm/Montcalm,52,Laurentides,9,56,165,11,11,6,258,497
Montcalm/Montcalm,53,Laurentides,6,50,215,13,5,12,301,548
Montcalm/Montcalm,54,Laurentides,4,67,110,9,5,5,200,474
Montcalm/Montcalm,55,Laurentides,2,27,104,19,3,5,160,450
Montcalm/Montcalm,56,Laurentides,2,26,95,3,8,1,135,309
Montcalm/Montcalm,57,Saint-Lin,10,26,131,11,6,15,199,423
Montcalm/Montcalm,58,Saint-Lin,6,23,149,15,5,7,205,475
Montcalm/Montcalm,59A,Saint-Lin,10,13,166,4,7,5,205,392
Montcalm/Montcalm,59B,Saint-Lin,6,22,130,6,2,5,171,403
Montcalm/Montcalm,60,Saint-Lin,2,24,105,3,3,4,141,352
Montcalm/Montcalm,61,Saint-Lin,4,16,134,12,5,2,173,391
Montcalm/Montcalm,61-1,Saint-Lin,9,23,180,17,7,4,240,560
Montcalm/Montcalm,62,Saint-Lin,7,22,130,8,5,5,177,497
Montcalm/Montcalm,63,Saint-Lin,6,14,112,6,7,7,152,346
Montcalm/Montcalm,64,Saint-Roch-Ouest,3,42,122,20,13,6,206,363
Montcalm/Montcalm,65,Saint-Roch-de-l'Achigan,7,31,182,14,8,7,249,470
Montcalm/Montcalm,66,Saint-Roch-de-l'Achigan,4,24,163,13,9,3,216,471
Montcalm/Montcalm,67,Saint-Roch-de-l'Achigan,5,40,161,9,9,10,234,424
Montcalm/Montcalm,68,Saint-Roch-de-l'Achigan,6,35,113,9,3,1,167,373
Montcalm/Montcalm,69,Saint-Roch-de-l'Achigan,4,47,144,5,6,10,216,379
Montcalm/Montcalm,70,Saint-Roch-de-l'Achigan,4,12,122,6,8,6,158,323
Montcalm/Montcalm,71,Saint-Roch-de-l'Achigan,4,61,111,19,9,4,208,401
Montcalm/Montcalm,72,Saint-Roch-de-l'Achigan,4,18,148,13,4,4,191,324
Montcalm/Montcalm,73,Mascouche,6,33,165,6,8,5,223,450
Montcalm/Montcalm,74,Mascouche,7,44,189,16,7,7,270,441
Montcalm/Montcalm,75,La Plaine,9,44,159,25,6,10,253,494
Montcalm/Montcalm,76,La Plaine,4,22,113,11,7,4,161,329
Montcalm/Montcalm,77,La Plaine,10,21,136,15,9,8,199,370
Montcalm/Montcalm,78,La Plaine,7,29,129,7,6,11,189,413
Montcalm/Montcalm,79,La Plaine,6,29,176,10,8,9,238,439
Montcalm/Montcalm,80,La Plaine,9,24,242,18,6,6,305,607
Montcalm/Montcalm,81,La Plaine,8,26,217,9,8,12,280,499
Montcalm/Montcalm,82,La Plaine,6,31,224,13,11,8,293,508
Montcalm/Montcalm,83,La Plaine,15,30,170,7,9,9,240,431
Montcalm/Montcalm,84,La Plaine,9,18,186,13,4,5,235,449
Montcalm/Montcalm,85,La Plaine,8,37,200,15,6,6,272,496
Montcalm/Montcalm,86,La Plaine,3,15,97,8,5,4,132,262
Montcalm/Montcalm,87,La Plaine,3,22,196,9,5,10,245,461
Montcalm/Montcalm,88,La Plaine,16,46,252,22,12,15,363,723
Montcalm/Montcalm,89,La Plaine,7,22,209,20,7,9,274,557
Montcalm/Montcalm,90,La Plaine,6,20,169,7,3,12,217,462
Montcalm/Montcalm,91,La Plaine,10,33,184,8,4,12,251,536
Montcalm/Montcalm,92,La Plaine,4,18,124,19,2,12,179,371
Montcalm/Montcalm,92-1,La Plaine,1,15,74,9,3,11,113,216
Montcalm/Montcalm,93,La Plaine,5,41,146,13,11,8,224,484
Montcalm/Montcalm,94,La Plaine,7,34,149,10,10,10,220,508
Montcalm/Montcalm,95,La Plaine,2,16,163,12,3,3,199,436
Montcalm/Montcalm,96,La Plaine,4,17,172,14,8,11,226,429
Montcalm/Montcalm,97,La Plaine,7,22,153,6,9,7,204,453
Montcalm/Montcalm,98,La Plaine,8,37,141,23,6,9,224,505
Montcalm/Montcalm,99,La Plaine,2,18,156,8,6,9,199,419
Montcalm/Montcalm,100,Mascouche,9,28,142,14,8,4,205,399
Montcalm/Montcalm,101,Mascouche,3,17,135,9,3,3,170,325
Montcalm/Montcalm,102,Mascouche,9,25,113,8,5,4,164,367
Montcalm/Montcalm,103,Mascouche,8,35,142,11,4,10,210,445
Montcalm/Montcalm,104,Mascouche,10,39,172,9,12,9,251,443
Montcalm/Montcalm,105,Mascouche,7,55,233,25,8,6,334,634
Montcalm/Montcalm,106,Mascouche,6,38,149,27,12,10,242,448
Montcalm/Montcalm,107,Mascouche,7,16,141,16,3,6,189,428
Montcalm/Montcalm,108,Mascouche,16,32,180,11,5,9,253,448
Montcalm/Montcalm,109,Mascouche,4,31,204,14,6,13,272,493
Montcalm/Montcalm,110,Mascouche,11,35,147,20,10,8,231,444
Montcalm/Montcalm,111,Mascouche,6,32,146,22,12,9,227,405
Montcalm/Montcalm,112,Mascouche,16,62,139,26,11,3,257,445
Montcalm/Montcalm,113,Mascouche,9,15,172,11,7,11,225,365
Montcalm/Montcalm,114,Mascouche,11,38,169,10,7,10,245,434
Montcalm/Montcalm,115,Mascouche,9,35,201,17,8,7,277,498
Montcalm/Montcalm,116,Mascouche,8,31,174,14,5,11,243,427
Montcalm/Montcalm,117,Mascouche,14,59,188,9,7,7,284,488
Montcalm/Montcalm,118,Mascouche,26,57,165,19,10,6,283,472
Montcalm/Montcalm,119,Mascouche,9,27,192,11,18,11,268,474
Montcalm/Montcalm,120,Mascouche,8,57,294,30,14,9,412,546
Montcalm/Montcalm,121,Mascouche,6,48,202,13,7,5,281,529
Montcalm/Montcalm,122,Mascouche,3,32,121,23,8,7,194,414
Montcalm/Montcalm,123,Mascouche,12,41,141,18,1,5,218,375
Montcalm/Montcalm,124,Mascouche,7,41,214,15,12,16,305,561
Montcalm/Montcalm,125,Mascouche,6,42,189,19,3,5,264,468
Montcalm/Montcalm,126,Mascouche,11,36,199,12,16,4,278,444
Montcalm/Montcalm,127,Mascouche,11,37,140,31,9,12,240,388
Montcalm/Montcalm,128,Mascouche,6,36,219,21,7,10,299,485
Montcalm/Montcalm,129,Mascouche,7,44,173,12,5,15,256,400
Montcalm/Montcalm,130,Mascouche,7,39,178,12,10,9,255,456
Montcalm/Montcalm,131,Mascouche,6,36,223,11,6,12,294,460
Montcalm/Montcalm,132,Mascouche,10,42,210,18,4,11,295,489
Montcalm/Montcalm,133A,Mascouche,9,40,194,19,8,3,273,429
Montcalm/Montcalm,133B,Mascouche,10,24,153,9,6,2,204,390
Montcalm/Montcalm,134,Mascouche,4,54,173,18,10,9,268,485
Montcalm/Montcalm,135,Mascouche,5,44,225,17,10,11,312,561
Montcalm/Montcalm,136,Mascouche,4,44,137,17,2,8,212,453
Montcalm/Montcalm,137,Mascouche,10,56,130,10,5,9,220,399
Montcalm/Montcalm,138,Mascouche,8,40,198,11,8,7,272,443
Montcalm/Montcalm,139,Mascouche,7,49,199,11,15,15,296,468
Montcalm/Montcalm,140,Mascouche,6,37,207,16,4,0,270,445
Montcalm/Montcalm,141,Mascouche,10,36,236,1,15,7,305,478
Montcalm/Montcalm,142,Mascouche,5,46,187,17,6,6,267,421
Montcalm/Montcalm,143,Mascouche,13,36,140,3,6,10,208,364
Montcalm/Montcalm,144,Lachenaie,7,30,154,9,18,9,227,420
Montcalm/Montcalm,145,Lachenaie,5,21,181,5,3,8,223,388
Montcalm/Montcalm,146,Lachenaie,8,13,147,11,4,10,193,405
Montcalm/Montcalm,147,Lachenaie,14,103,178,14,14,5,328,506
Montcalm/Montcalm,148,Lachenaie,5,48,111,5,5,5,179,319
Montcalm/Montcalm,148-1,Lachenaie,3,65,116,11,14,7,216,353
Montcalm/Montcalm,149,Lachenaie,12,79,161,21,8,7,288,447
Montcalm/Montcalm,150,Lachenaie,19,99,194,18,12,8,350,554
Montcalm/Montcalm,151,Lachenaie,10,43,165,10,2,13,243,369
Montcalm/Montcalm,152,Lachenaie,7,39,120,14,7,14,201,366
Montcalm/Montcalm,153,Lachenaie,10,43,192,9,7,9,270,459
Montcalm/Montcalm,153-1,Lachenaie,3,30,84,2,1,8,128,270
Montcalm/Montcalm,154,Lachenaie,9,44,203,10,11,15,292,491
Montcalm/Montcalm,155,Lachenaie,7,64,185,11,9,8,284,497
Montcalm/Montcalm,156,Lachenaie,6,25,148,14,13,5,211,373
Montcalm/Montcalm,157,Lachenaie,9,36,165,8,6,13,237,420
Montcalm/Montcalm,158,Lachenaie,7,40,191,8,9,8,263,439
Montcalm/Montcalm,159,Lachenaie,4,28,180,10,7,13,242,419
Montcalm/Montcalm,160,Lachenaie,10,42,208,19,12,14,305,485
Montcalm/Montcalm,161,Lachenaie,8,35,183,14,5,22,267,431
Montcalm/Montcalm,162,Lachenaie,14,39,161,8,4,9,235,469
Montcalm/Montcalm,163,Lachenaie,4,33,176,15,10,5,243,452
Montcalm/Montcalm,163-1,Lachenaie,12,30,192,26,7,10,277,448
Montcalm/Montcalm,164,Lachenaie,11,46,235,11,7,6,316,524
Montcalm/Montcalm,165,Lachenaie,8,40,195,12,9,10,274,467
Montcalm/Montcalm,165-1,Lachenaie,10,41,213,19,3,6,292,458
Montcalm/Montcalm,166,Lachenaie,11,38,197,9,13,7,275,481
Montcalm/Montcalm,167,Lachenaie,9,37,226,11,10,10,303,495
Montcalm/Montcalm,168,Mascouche,7,32,134,17,9,9,208,417
Montcalm/Montcalm,169,Mascouche,13,28,187,11,6,12,257,391
Montcalm/Montcalm,170,Mascouche,9,17,155,16,4,9,210,371
Montcalm/Montcalm,171,Mascouche,6,40,169,6,4,4,229,372
Montcalm/Montcalm,172,Mascouche,14,35,183,10,7,8,257,450
Montcalm/Montcalm,173,Lachenaie,13,35,207,18,16,8,297,509
Montcalm/Montcalm,174,Lachenaie,4,24,87,11,7,7,140,257
Montcalm/Montcalm,174-1,Lachenaie,6,56,196,24,16,7,305,561
Montcalm/Montcalm,175,Lachenaie,8,23,160,9,1,4,205,344
Montcalm/Montcalm,176,Lachenaie,6,39,173,13,12,4,247,452
Montcalm/Montcalm,176-1,Lachenaie,9,77,187,14,19,11,317,529
Montcalm/Montcalm,177,Lachenaie,14,53,196,22,7,6,298,471
Montcalm/Montcalm,178,Lachenaie,8,38,232,20,2,8,308,460
Montcalm/Montcalm,179,Lachenaie,9,64,181,24,13,19,310,478
Montcalm/Montcalm,180,Lachenaie,7,27,166,8,2,6,216,343
Montcalm/Montcalm,181,Lachenaie,7,37,195,11,13,7,270,411
Montcalm/Montcalm,182,Lachenaie,11,34,218,18,7,18,306,452
Montcalm/Montcalm,183,Lachenaie,5,51,156,21,4,8,245,395
Montcalm/Montcalm,500,Mobile poll/Bureau itinérant,3,9,37,2,1,0,52,204
Montcalm/Montcalm,501,Mobile poll/Bureau itinérant,4,37,36,10,3,9,99,176
Montcalm/Montcalm,600,Saint-Calixte,14,44,219,24,5,8,314,
Montcalm/Montcalm,601,Sainte-Julienne,9,101,323,32,14,16,495,
Montcalm/Montcalm,602,Saint-Jacques,8,77,178,17,7,3,290,
Montcalm/Montcalm,603,Saint-Roch--Saint-Esprit,6,55,114,7,4,3,189,
Montcalm/Montcalm,604,Saint-Lin--Laurentides,12,117,309,67,12,16,533,
Montcalm/Montcalm,605,La Plaine,9,58,280,22,11,5,385,
Montcalm/Montcalm,606,Mascouche-Ouest,12,98,262,37,17,16,442,
Montcalm/Montcalm,607,Mascouche,10,87,465,53,27,11,653,
Montcalm/Montcalm,608,Lachenaie-Ouest,10,72,236,40,17,12,387,
Montcalm/Montcalm,609,Lachenaie,15,57,244,45,9,9,379,
Montcalm/Montcalm,,Group 1/Groupe 1,2,18,31,8,2,3,64,114
Montcalm/Montcalm,,Group 2/Groupe 2,12,139,249,33,6,9,448,
