District,Poll Number,Poll Name,Greg Agar,Marcel Beaubien,Dave Core,Anthony Cramer,Gary De Boer,John Elliott,Roger Gallaway,Rejected Ballots,Total Vote,Electors
Sarnia--Lambton/Sarnia--Lambton,134A,Sarnia,48,96,11,8,8,0,104,0,275,451
Sarnia--Lambton/Sarnia--Lambton,134B,Sarnia,Merged with No. 135,,,,,,,,,59
Sarnia--Lambton/Sarnia--Lambton,135,Sarnia,37,92,3,20,7,3,112,0,274,408
Sarnia--Lambton/Sarnia--Lambton,136A,Sarnia,24,68,6,2,5,0,123,0,228,347
Sarnia--Lambton/Sarnia--Lambton,136B,Sarnia,18,52,2,8,20,0,67,3,170,282
Sarnia--Lambton/Sarnia--Lambton,137,Sarnia,14,60,10,5,12,1,51,1,154,249
Sarnia--Lambton/Sarnia--Lambton,138,Sarnia,34,90,7,6,18,1,85,1,242,421
Sarnia--Lambton/Sarnia--Lambton,139,Plympton,9,64,3,7,16,1,92,1,193,281
Sarnia--Lambton/Sarnia--Lambton,140,Plympton,33,75,4,6,12,2,86,0,218,233
Sarnia--Lambton/Sarnia--Lambton,141,Plympton,26,91,4,13,6,0,139,4,283,426
Sarnia--Lambton/Sarnia--Lambton,142,Plympton,33,65,3,11,11,7,103,0,233,355
Sarnia--Lambton/Sarnia--Lambton,143A,Plympton,40,92,4,16,10,1,132,5,300,513
Sarnia--Lambton/Sarnia--Lambton,143B,Plympton,Merged with No. 140,,,,,,,,,95
Sarnia--Lambton/Sarnia--Lambton,144,Plympton,45,114,5,17,28,2,88,4,303,512
Sarnia--Lambton/Sarnia--Lambton,145,Plympton,28,96,13,10,21,2,64,3,237,329
Sarnia--Lambton/Sarnia--Lambton,146,Plympton,18,68,10,0,24,1,35,3,159,279
Sarnia--Lambton/Sarnia--Lambton,147,Plympton,27,69,23,6,26,2,35,1,189,263
Sarnia--Lambton/Sarnia--Lambton,148,Wyoming,17,94,10,8,38,1,78,2,248,415
Sarnia--Lambton/Sarnia--Lambton,149,Wyoming,30,72,7,2,35,0,46,2,194,356
Sarnia--Lambton/Sarnia--Lambton,150,Wyoming,18,95,6,5,33,0,77,0,234,435
Sarnia--Lambton/Sarnia--Lambton,151,Wyoming,42,84,16,7,21,1,66,5,242,451
Sarnia--Lambton/Sarnia--Lambton,152,Plympton,23,85,21,6,45,0,70,0,250,424
Sarnia--Lambton/Sarnia--Lambton,153,Enniskillen,22,70,9,10,20,0,43,1,175,299
Sarnia--Lambton/Sarnia--Lambton,154,Petrolia,45,79,3,7,10,2,55,0,201,379
Sarnia--Lambton/Sarnia--Lambton,155,Petrolia,43,118,3,8,12,1,89,0,274,456
Sarnia--Lambton/Sarnia--Lambton,156A,Enniskillen,22,86,11,3,9,1,61,1,194,334
Sarnia--Lambton/Sarnia--Lambton,156B,Enniskillen,29,82,13,13,13,1,51,0,202,331
Sarnia--Lambton/Sarnia--Lambton,156C,Mobile poll/Bureau itinérant,4,45,1,0,4,2,35,0,91,91
Sarnia--Lambton/Sarnia--Lambton,157,Petrolia,28,113,6,23,16,0,71,3,260,418
Sarnia--Lambton/Sarnia--Lambton,158,Petrolia,Void,,,,,,,,,
Sarnia--Lambton/Sarnia--Lambton,159,Petrolia,36,103,5,10,5,0,74,5,238,410
Sarnia--Lambton/Sarnia--Lambton,160,Petrolia,33,83,8,12,15,1,41,0,193,383
Sarnia--Lambton/Sarnia--Lambton,161A,Petrolia,29,77,13,5,7,0,58,3,192,390
Sarnia--Lambton/Sarnia--Lambton,161B,Mobile poll/Bureau itinérant,Merged with No. 156C,,,,,,,,,28
Sarnia--Lambton/Sarnia--Lambton,162,Petrolia,30,101,9,13,12,0,75,3,243,445
Sarnia--Lambton/Sarnia--Lambton,163,Petrolia,Void,,,,,,,,,
Sarnia--Lambton/Sarnia--Lambton,164,Petrolia,51,113,5,15,12,3,64,3,266,473
Sarnia--Lambton/Sarnia--Lambton,165,Petrolia,Void,,,,,,,,,
Sarnia--Lambton/Sarnia--Lambton,166,Enniskillen,Void,,,,,,,,,
Sarnia--Lambton/Sarnia--Lambton,167,Enniskillen,33,128,27,11,17,0,90,4,310,517
Sarnia--Lambton/Sarnia--Lambton,168,Enniskillen,34,89,11,6,5,2,51,1,199,319
Sarnia--Lambton/Sarnia--Lambton,169,Enniskillen,58,115,13,8,14,0,74,4,286,489
Sarnia--Lambton/Sarnia--Lambton,170,Oil Springs,43,98,4,3,3,1,23,0,175,291
Sarnia--Lambton/Sarnia--Lambton,171,Oil Springs,29,81,4,7,9,1,31,3,165,264
Sarnia--Lambton/Sarnia--Lambton,172,Enniskillen,Void,,,,,,,,,
Sarnia--Lambton/Sarnia--Lambton,173,Moore,42,69,1,8,5,1,111,2,239,432
Sarnia--Lambton/Sarnia--Lambton,174,Moore,44,77,3,8,2,3,87,1,225,442
Sarnia--Lambton/Sarnia--Lambton,175,Moore,46,65,3,5,5,2,77,1,204,389
Sarnia--Lambton/Sarnia--Lambton,176,Moore,10,33,2,5,0,1,58,0,109,209
Sarnia--Lambton/Sarnia--Lambton,177,Moore,49,63,0,4,4,2,77,0,199,383
Sarnia--Lambton/Sarnia--Lambton,178,Moore,63,66,1,8,3,1,83,1,226,428
Sarnia--Lambton/Sarnia--Lambton,179,Moore,69,84,1,4,3,1,109,3,274,564
Sarnia--Lambton/Sarnia--Lambton,180,Moore,81,75,3,15,5,5,91,1,276,478
Sarnia--Lambton/Sarnia--Lambton,181,Moore,76,100,3,21,7,0,120,0,327,574
Sarnia--Lambton/Sarnia--Lambton,182,Corunna,51,126,5,12,8,2,152,0,356,609
Sarnia--Lambton/Sarnia--Lambton,183,Mooretown,42,68,0,8,1,0,63,0,182,312
Sarnia--Lambton/Sarnia--Lambton,184,Courtright,55,60,7,5,5,4,59,0,195,354
Sarnia--Lambton/Sarnia--Lambton,185,Courtright,57,55,1,11,4,0,69,0,197,411
Sarnia--Lambton/Sarnia--Lambton,186,Corunna,42,81,4,10,4,1,99,2,243,423
Sarnia--Lambton/Sarnia--Lambton,187,Moore,35,102,13,10,21,0,90,3,274,458
Sarnia--Lambton/Sarnia--Lambton,188,Courtright,27,67,6,3,5,1,48,0,157,268
Sarnia--Lambton/Sarnia--Lambton,189,Brigden,43,97,0,6,7,4,85,2,244,414
Sarnia--Lambton/Sarnia--Lambton,190,Brigden,40,92,7,11,5,3,92,5,255,420
Sarnia--Lambton/Sarnia--Lambton,191,Sombra,47,78,3,11,9,1,59,3,211,340
Sarnia--Lambton/Sarnia--Lambton,192,Sombra,54,95,6,10,7,0,65,2,239,388
Sarnia--Lambton/Sarnia--Lambton,193,Sombra,45,92,1,10,7,0,111,1,267,437
Sarnia--Lambton/Sarnia--Lambton,194,Sombra,43,33,1,5,3,1,36,0,122,211
Sarnia--Lambton/Sarnia--Lambton,195,Sombra,40,91,1,7,5,1,98,2,245,383
Sarnia--Lambton/Sarnia--Lambton,196,Sombra,60,111,1,7,4,1,78,2,264,395
Sarnia--Lambton/Sarnia--Lambton,197,Sombra,65,138,3,16,4,1,98,0,325,504
Sarnia--Lambton/Sarnia--Lambton,198,Sombra,44,100,1,7,3,0,66,3,224,284
Sarnia--Lambton/Sarnia--Lambton,500,Mobile poll/Bureau itinérant,10,44,2,1,8,1,76,2,144,323
Sarnia--Lambton/Sarnia--Lambton,501,Mobile poll/Bureau itinérant,7,23,2,3,4,1,44,3,87,164
Sarnia--Lambton/Sarnia--Lambton,502,Mobile poll/Bureau itinérant,9,29,4,2,3,0,46,0,93,267
Sarnia--Lambton/Sarnia--Lambton,503,Mobile poll/Bureau itinérant,0,32,2,2,1,1,21,1,60,236
Sarnia--Lambton/Sarnia--Lambton,600,Sarnia,111,445,11,73,24,5,579,6,1254,
Sarnia--Lambton/Sarnia--Lambton,601,Sarnia,73,160,4,40,22,2,220,1,522,
Sarnia--Lambton/Sarnia--Lambton,602,Sarnia,73,146,8,24,14,0,253,7,525,
Sarnia--Lambton/Sarnia--Lambton,603,Sarnia,37,207,2,27,17,2,271,1,564,
Sarnia--Lambton/Sarnia--Lambton,604,Plympton,30,169,18,16,22,3,125,1,384,
Sarnia--Lambton/Sarnia--Lambton,605,Petrolia,48,282,10,14,15,1,147,3,520,
Sarnia--Lambton/Sarnia--Lambton,606,St. Clair,61,220,5,10,13,1,160,1,471,
Sarnia--Lambton/Sarnia--Lambton,,Group 1/Groupe 1,9,45,1,7,0,0,61,1,124,256
Sarnia--Lambton/Sarnia--Lambton,,Group 2/Groupe 2,84,351,8,38,26,1,310,9,827,
