District,Poll Number,Poll Name,Dean Kenneth Christie,Jason Corey Devine,James Maxim,Deepak Obhrai,Elizabeth Thomas,Rejected Ballots,Total Vote,Electors
Calgary East/Calgary-Est,47,Calgary,19,2,40,96,27,1,185,365
Calgary East/Calgary-Est,48,Calgary,10,0,45,125,25,0,205,446
Calgary East/Calgary-Est,49,Calgary,22,1,49,127,20,0,219,490
Calgary East/Calgary-Est,50,Calgary,7,1,36,84,15,2,145,320
Calgary East/Calgary-Est,51,Calgary,9,3,41,110,19,1,183,406
Calgary East/Calgary-Est,52,Calgary,7,1,52,100,18,0,178,453
Calgary East/Calgary-Est,53,Calgary,11,0,31,54,16,0,112,311
Calgary East/Calgary-Est,54,Calgary,15,1,40,62,14,0,132,359
Calgary East/Calgary-Est,55,Calgary,11,1,53,90,12,1,168,445
Calgary East/Calgary-Est,56,Calgary,7,1,33,76,9,0,126,321
Calgary East/Calgary-Est,57,Calgary,4,0,26,74,8,4,116,277
Calgary East/Calgary-Est,58,Calgary,11,1,50,78,13,1,154,377
Calgary East/Calgary-Est,59,Calgary,10,1,45,68,8,4,136,335
Calgary East/Calgary-Est,60,Calgary,12,3,35,111,14,0,175,421
Calgary East/Calgary-Est,61,Calgary,9,0,40,109,15,2,175,423
Calgary East/Calgary-Est,62,Calgary,10,1,41,79,5,2,138,414
Calgary East/Calgary-Est,63,Calgary,10,0,41,60,4,1,116,356
Calgary East/Calgary-Est,64,Calgary,6,1,29,42,9,0,87,272
Calgary East/Calgary-Est,65,Calgary,3,0,22,21,7,0,53,254
Calgary East/Calgary-Est,66,Calgary,15,0,44,96,22,0,177,442
Calgary East/Calgary-Est,67,Calgary,9,1,45,120,26,4,205,505
Calgary East/Calgary-Est,68A,Calgary,8,0,29,81,23,1,142,453
Calgary East/Calgary-Est,68B,Calgary,7,1,28,89,20,2,147,430
Calgary East/Calgary-Est,69,Calgary,12,2,14,91,16,0,135,323
Calgary East/Calgary-Est,70,Calgary,14,2,36,117,19,2,190,405
Calgary East/Calgary-Est,71,Calgary,14,0,56,98,18,1,187,382
Calgary East/Calgary-Est,72,Calgary,15,1,42,128,13,0,199,457
Calgary East/Calgary-Est,73,Calgary,6,3,38,95,18,0,160,339
Calgary East/Calgary-Est,74,Calgary,6,0,32,85,9,1,133,305
Calgary East/Calgary-Est,75,Calgary,10,4,34,111,20,0,179,402
Calgary East/Calgary-Est,76,Calgary,11,1,38,97,17,0,164,426
Calgary East/Calgary-Est,77,Calgary,13,2,59,96,21,0,191,455
Calgary East/Calgary-Est,78,Calgary,13,0,31,89,13,0,146,374
Calgary East/Calgary-Est,79,Calgary,12,0,29,147,14,2,204,468
Calgary East/Calgary-Est,80,Calgary,8,0,42,69,7,0,126,280
Calgary East/Calgary-Est,81,Calgary,2,1,56,95,10,1,165,478
Calgary East/Calgary-Est,82,Calgary,7,0,44,76,8,2,137,343
Calgary East/Calgary-Est,83A,Calgary,7,1,33,80,7,0,128,365
Calgary East/Calgary-Est,83B,Calgary,5,0,29,75,8,0,117,327
Calgary East/Calgary-Est,84,Calgary,2,1,69,91,14,4,181,475
Calgary East/Calgary-Est,85,Calgary,10,1,46,102,10,0,169,312
Calgary East/Calgary-Est,86,Calgary,11,4,21,47,4,0,87,264
Calgary East/Calgary-Est,87A,Calgary,5,2,40,78,12,0,137,314
Calgary East/Calgary-Est,87B,Calgary,12,2,39,8,79,1,141,367
Calgary East/Calgary-Est,88,Calgary,6,0,36,66,16,0,124,442
Calgary East/Calgary-Est,89,Calgary,12,1,43,75,18,3,152,452
Calgary East/Calgary-Est,90,Calgary,9,1,37,112,20,0,179,386
Calgary East/Calgary-Est,91,Calgary,4,3,49,128,15,3,202,373
Calgary East/Calgary-Est,92,Calgary,6,2,35,48,4,2,97,242
Calgary East/Calgary-Est,93,Calgary,8,1,20,88,10,1,128,278
Calgary East/Calgary-Est,94,Calgary,4,0,40,110,12,0,166,312
Calgary East/Calgary-Est,95,Calgary,8,0,24,58,6,2,98,432
Calgary East/Calgary-Est,96,Calgary,7,0,19,52,14,0,92,251
Calgary East/Calgary-Est,97,Calgary,2,0,30,30,8,1,71,231
Calgary East/Calgary-Est,98,Calgary,11,1,25,58,17,1,113,316
Calgary East/Calgary-Est,99,Calgary,4,1,41,56,7,3,112,311
Calgary East/Calgary-Est,100,Calgary,6,0,30,58,19,0,113,321
Calgary East/Calgary-Est,101,Calgary,7,2,31,84,12,0,136,314
Calgary East/Calgary-Est,102,Calgary,6,1,15,30,13,0,65,254
Calgary East/Calgary-Est,103,Calgary,4,2,11,31,13,0,61,311
Calgary East/Calgary-Est,104,Calgary,6,2,36,49,11,3,107,340
Calgary East/Calgary-Est,105,Calgary,7,4,26,84,12,1,134,435
Calgary East/Calgary-Est,106,Calgary,8,1,22,73,9,0,113,429
Calgary East/Calgary-Est,107,Calgary,35,2,53,75,30,0,195,372
Calgary East/Calgary-Est,108,Calgary,63,1,74,130,45,2,315,515
Calgary East/Calgary-Est,109A,Calgary,42,0,55,94,26,0,217,378
Calgary East/Calgary-Est,109B,Calgary,33,3,56,97,27,0,216,362
Calgary East/Calgary-Est,110,Calgary,67,2,36,113,30,0,248,472
Calgary East/Calgary-Est,111,Calgary,50,3,61,118,39,0,271,468
Calgary East/Calgary-Est,112,Calgary,14,1,27,98,18,0,158,362
Calgary East/Calgary-Est,113,Calgary,21,0,29,144,13,1,208,453
Calgary East/Calgary-Est,114,Calgary,13,1,28,66,15,0,123,348
Calgary East/Calgary-Est,115,Calgary,10,3,38,142,20,1,214,385
Calgary East/Calgary-Est,116,Calgary,9,1,40,83,18,0,151,409
Calgary East/Calgary-Est,117,Calgary,4,1,19,60,3,0,87,323
Calgary East/Calgary-Est,118,Calgary,5,0,21,54,17,0,97,316
Calgary East/Calgary-Est,119,Calgary,8,1,13,92,22,0,136,434
Calgary East/Calgary-Est,120,Calgary,8,0,33,77,9,0,127,337
Calgary East/Calgary-Est,121,Calgary,5,1,27,89,16,0,138,305
Calgary East/Calgary-Est,122,Calgary,5,2,32,81,14,1,135,344
Calgary East/Calgary-Est,123,Calgary,1,2,27,59,10,0,99,352
Calgary East/Calgary-Est,124,Calgary,11,0,32,142,22,0,207,504
Calgary East/Calgary-Est,125,Calgary,20,3,33,88,27,2,173,394
Calgary East/Calgary-Est,126,Calgary,14,2,17,84,22,0,139,376
Calgary East/Calgary-Est,127,Calgary,3,0,22,81,20,0,126,435
Calgary East/Calgary-Est,128,Calgary,14,1,30,88,20,0,153,423
Calgary East/Calgary-Est,129,Calgary,5,0,8,31,12,0,56,210
Calgary East/Calgary-Est,130,Calgary,8,0,19,29,15,0,71,239
Calgary East/Calgary-Est,131,Calgary,7,1,26,43,10,3,90,305
Calgary East/Calgary-Est,132,Calgary,10,2,24,84,17,0,137,386
Calgary East/Calgary-Est,133,Calgary,8,1,21,113,14,0,157,314
Calgary East/Calgary-Est,134,Calgary,12,2,25,110,31,0,180,436
Calgary East/Calgary-Est,135,Calgary,13,2,33,139,24,0,211,455
Calgary East/Calgary-Est,136,Calgary,12,0,29,80,13,2,136,271
Calgary East/Calgary-Est,137,Calgary,10,1,31,111,14,1,168,311
Calgary East/Calgary-Est,138,Calgary,15,1,22,128,19,2,187,407
Calgary East/Calgary-Est,139,Calgary,14,0,20,87,2,0,123,310
Calgary East/Calgary-Est,140,Calgary,10,0,24,109,13,3,159,354
Calgary East/Calgary-Est,141,Calgary,16,0,28,91,18,0,153,383
Calgary East/Calgary-Est,142,Calgary,4,0,18,77,26,0,125,270
Calgary East/Calgary-Est,143A,Calgary,7,2,32,95,14,0,150,337
Calgary East/Calgary-Est,143B,Calgary,5,2,46,94,10,0,157,369
Calgary East/Calgary-Est,144,Calgary,4,1,11,73,12,0,101,220
Calgary East/Calgary-Est,145,Calgary,12,1,34,98,8,2,155,425
Calgary East/Calgary-Est,146,Calgary,13,0,30,83,15,2,143,391
Calgary East/Calgary-Est,147,Calgary,13,0,39,148,26,2,228,436
Calgary East/Calgary-Est,148,Calgary,11,1,20,125,14,3,174,325
Calgary East/Calgary-Est,149,Calgary,12,3,17,75,9,1,117,231
Calgary East/Calgary-Est,150,Calgary,8,2,19,96,12,2,139,332
Calgary East/Calgary-Est,151,Calgary,14,5,27,91,12,1,150,353
Calgary East/Calgary-Est,152A,Calgary,6,0,39,97,10,0,152,354
Calgary East/Calgary-Est,152B,Calgary,5,0,23,93,11,2,134,351
Calgary East/Calgary-Est,152C,Calgary,5,0,26,104,18,0,153,363
Calgary East/Calgary-Est,153,Calgary,18,1,36,93,22,0,170,448
Calgary East/Calgary-Est,154,Calgary,28,0,16,90,16,0,150,280
Calgary East/Calgary-Est,155,Calgary,9,1,16,58,11,0,95,277
Calgary East/Calgary-Est,156,Calgary,22,1,37,140,23,3,226,405
Calgary East/Calgary-Est,157,Calgary,15,0,15,116,15,0,161,315
Calgary East/Calgary-Est,158,Calgary,15,1,26,123,22,1,188,330
Calgary East/Calgary-Est,159,Calgary,11,0,18,91,18,0,138,314
Calgary East/Calgary-Est,160,Calgary,15,3,32,140,12,0,202,330
Calgary East/Calgary-Est,161,Calgary,22,1,30,180,24,1,258,434
Calgary East/Calgary-Est,162,Calgary,10,1,40,135,27,0,213,388
Calgary East/Calgary-Est,163,Calgary,22,3,38,179,32,1,275,477
Calgary East/Calgary-Est,164,Calgary,18,3,33,136,16,0,206,413
Calgary East/Calgary-Est,165,Calgary,12,3,14,84,11,1,125,325
Calgary East/Calgary-Est,166,Calgary,11,5,20,93,18,0,147,348
Calgary East/Calgary-Est,167,Calgary,23,0,26,107,19,0,175,351
Calgary East/Calgary-Est,168,Calgary,17,1,26,109,15,0,168,332
Calgary East/Calgary-Est,169,Calgary,16,1,23,153,17,0,210,445
Calgary East/Calgary-Est,170,Calgary,14,5,27,77,12,1,136,408
Calgary East/Calgary-Est,171,Calgary,16,1,26,116,16,1,176,332
Calgary East/Calgary-Est,172,Calgary,15,0,39,146,17,0,217,338
Calgary East/Calgary-Est,173,Calgary,Void,,,,,,,
Calgary East/Calgary-Est,174,Calgary,17,2,42,157,21,0,239,364
Calgary East/Calgary-Est,175,Calgary,18,2,46,174,18,0,258,455
Calgary East/Calgary-Est,176,Calgary,17,0,29,125,16,1,188,390
Calgary East/Calgary-Est,177,Calgary,11,3,49,129,17,1,210,381
Calgary East/Calgary-Est,178,Calgary,23,0,53,182,9,1,268,419
Calgary East/Calgary-Est,179,Calgary,18,1,35,177,11,0,242,385
Calgary East/Calgary-Est,180,Calgary,14,0,57,94,11,1,177,310
Calgary East/Calgary-Est,181,Calgary,6,1,31,97,18,0,153,329
Calgary East/Calgary-Est,182,Calgary,11,0,34,134,10,0,189,359
Calgary East/Calgary-Est,183,Calgary,8,0,50,115,21,0,194,342
Calgary East/Calgary-Est,184,Calgary,8,1,36,102,16,0,163,259
Calgary East/Calgary-Est,185,Calgary,5,0,29,163,20,0,217,371
Calgary East/Calgary-Est,186,Calgary,14,0,55,160,19,0,248,401
Calgary East/Calgary-Est,187,Calgary,7,1,34,138,19,0,199,327
Calgary East/Calgary-Est,188,Calgary,20,0,38,125,12,0,195,321
Calgary East/Calgary-Est,189,Calgary,27,1,26,124,14,1,193,311
Calgary East/Calgary-Est,190,Calgary,8,0,34,148,20,5,215,431
Calgary East/Calgary-Est,191,Calgary,17,0,54,194,24,2,291,452
Calgary East/Calgary-Est,192,Calgary,11,0,27,185,7,1,231,482
Calgary East/Calgary-Est,193,Calgary,8,0,53,154,13,2,230,439
Calgary East/Calgary-Est,194,Calgary,11,3,39,174,19,0,246,498
Calgary East/Calgary-Est,195,Calgary,11,3,40,174,19,0,247,508
Calgary East/Calgary-Est,500,Mobile poll/Bureau itinérant,11,5,28,82,17,6,149,151
Calgary East/Calgary-Est,600,Calgary,10,3,58,213,26,2,312,
Calgary East/Calgary-Est,601,Calgary,4,0,59,194,19,1,277,
Calgary East/Calgary-Est,602,Calgary,19,0,119,198,29,3,368,
Calgary East/Calgary-Est,603,Calgary,5,1,43,102,13,0,164,
Calgary East/Calgary-Est,604,Calgary,16,0,21,46,14,0,97,
Calgary East/Calgary-Est,605,Calgary,26,4,86,332,42,2,492,
Calgary East/Calgary-Est,606,Calgary,9,0,18,84,7,0,118,
Calgary East/Calgary-Est,607,Calgary,11,1,31,142,12,0,197,
Calgary East/Calgary-Est,,Group 1/Groupe 1,11,3,30,48,9,4,105,191
Calgary East/Calgary-Est,,Group 2/Groupe 2,16,1,68,243,27,42,397,
