District,Poll Number,Poll Name,Nadia Alexan,Cécile Bissonnette,Yves Le Seigle,Marcel Lussier,Robert Nicolas,Jacques Saada,Rejected Ballots,Total Vote,Electors
Brossard--La Prairie/Brossard--La Prairie,45A,Brossard,4,3,0,78,11,103,1,200,283
Brossard--La Prairie/Brossard--La Prairie,45B,Brossard,6,3,0,54,13,85,4,165,292
Brossard--La Prairie/Brossard--La Prairie,46,Brossard,2,2,1,60,6,35,0,106,313
Brossard--La Prairie/Brossard--La Prairie,47,Brossard,7,4,0,59,7,158,3,238,484
Brossard--La Prairie/Brossard--La Prairie,48,Brossard,15,7,0,47,10,166,1,246,454
Brossard--La Prairie/Brossard--La Prairie,49,Brossard,15,6,0,107,17,139,2,286,467
Brossard--La Prairie/Brossard--La Prairie,50,Brossard,10,5,0,69,17,121,3,225,435
Brossard--La Prairie/Brossard--La Prairie,51,Brossard,14,2,2,66,13,120,1,218,413
Brossard--La Prairie/Brossard--La Prairie,52,Brossard,15,4,1,92,13,163,8,296,509
Brossard--La Prairie/Brossard--La Prairie,53,Brossard,9,4,1,63,10,85,0,172,413
Brossard--La Prairie/Brossard--La Prairie,54,Brossard,6,2,0,68,10,91,3,180,370
Brossard--La Prairie/Brossard--La Prairie,55,Brossard,14,9,1,93,17,141,4,279,464
Brossard--La Prairie/Brossard--La Prairie,56,Brossard,16,9,0,48,8,120,7,208,355
Brossard--La Prairie/Brossard--La Prairie,57,Brossard,18,10,0,63,8,105,7,211,435
Brossard--La Prairie/Brossard--La Prairie,58,Brossard,14,5,0,76,15,153,3,266,457
Brossard--La Prairie/Brossard--La Prairie,59,Brossard,7,1,0,47,7,59,0,121,297
Brossard--La Prairie/Brossard--La Prairie,60,Brossard,6,6,1,82,3,87,4,189,350
Brossard--La Prairie/Brossard--La Prairie,61,Brossard,7,9,0,96,11,177,1,301,486
Brossard--La Prairie/Brossard--La Prairie,62,Brossard,6,7,0,57,14,136,2,222,413
Brossard--La Prairie/Brossard--La Prairie,63,Brossard,15,4,2,63,10,106,1,201,334
Brossard--La Prairie/Brossard--La Prairie,64,Brossard,16,12,1,49,22,156,3,259,432
Brossard--La Prairie/Brossard--La Prairie,65,Brossard,6,7,0,81,14,149,5,262,426
Brossard--La Prairie/Brossard--La Prairie,66A,Brossard,13,4,0,26,4,88,2,137,274
Brossard--La Prairie/Brossard--La Prairie,66B,Brossard,4,5,2,34,7,91,0,143,267
Brossard--La Prairie/Brossard--La Prairie,67,Brossard,13,7,0,84,18,148,0,270,469
Brossard--La Prairie/Brossard--La Prairie,68,Brossard,17,3,2,66,7,117,0,212,360
Brossard--La Prairie/Brossard--La Prairie,69,Brossard,10,7,0,89,7,67,0,180,310
Brossard--La Prairie/Brossard--La Prairie,70A,Brossard,8,4,0,25,6,86,0,129,274
Brossard--La Prairie/Brossard--La Prairie,70B,Brossard,7,8,0,27,8,89,2,141,268
Brossard--La Prairie/Brossard--La Prairie,71,Brossard,3,2,0,34,4,69,1,113,253
Brossard--La Prairie/Brossard--La Prairie,72,Brossard,8,1,1,66,12,105,0,193,323
Brossard--La Prairie/Brossard--La Prairie,73,Brossard,1,5,0,38,12,104,3,163,256
Brossard--La Prairie/Brossard--La Prairie,74,Brossard,8,4,0,84,21,141,2,260,503
Brossard--La Prairie/Brossard--La Prairie,75,Brossard,9,1,0,108,17,92,3,230,496
Brossard--La Prairie/Brossard--La Prairie,76,Brossard,14,4,0,85,9,108,3,223,343
Brossard--La Prairie/Brossard--La Prairie,77,Brossard,10,3,0,77,10,95,0,195,364
Brossard--La Prairie/Brossard--La Prairie,78,Brossard,9,6,0,72,6,69,3,165,276
Brossard--La Prairie/Brossard--La Prairie,79,Brossard,26,15,0,88,9,137,5,280,450
Brossard--La Prairie/Brossard--La Prairie,80,Brossard,17,5,2,82,23,139,3,271,417
Brossard--La Prairie/Brossard--La Prairie,81,Brossard,10,5,0,101,3,119,2,240,360
Brossard--La Prairie/Brossard--La Prairie,82,Brossard,17,10,0,86,11,142,6,272,441
Brossard--La Prairie/Brossard--La Prairie,83,Brossard,9,8,0,98,15,87,4,221,409
Brossard--La Prairie/Brossard--La Prairie,84,Brossard,10,12,0,85,12,145,2,266,442
Brossard--La Prairie/Brossard--La Prairie,85,Brossard,11,5,1,48,10,118,1,194,297
Brossard--La Prairie/Brossard--La Prairie,86,Brossard,8,8,0,78,20,107,3,224,412
Brossard--La Prairie/Brossard--La Prairie,87A,Brossard,5,7,1,58,16,108,0,195,356
Brossard--La Prairie/Brossard--La Prairie,87B,Brossard,9,6,1,69,16,92,3,196,385
Brossard--La Prairie/Brossard--La Prairie,88,Brossard,8,1,1,60,7,89,1,167,310
Brossard--La Prairie/Brossard--La Prairie,89,Brossard,16,2,0,53,14,164,3,252,477
Brossard--La Prairie/Brossard--La Prairie,90,Brossard,13,8,2,81,15,142,5,266,422
Brossard--La Prairie/Brossard--La Prairie,91,Brossard,18,5,0,52,20,140,1,236,388
Brossard--La Prairie/Brossard--La Prairie,92,Brossard,15,9,0,49,8,108,5,194,373
Brossard--La Prairie/Brossard--La Prairie,93,Brossard,4,5,0,56,4,59,2,130,292
Brossard--La Prairie/Brossard--La Prairie,94,Brossard,14,7,0,103,14,122,3,263,385
Brossard--La Prairie/Brossard--La Prairie,95,Brossard,10,10,0,91,14,125,4,254,412
Brossard--La Prairie/Brossard--La Prairie,96,Brossard,14,2,0,86,12,142,4,260,481
Brossard--La Prairie/Brossard--La Prairie,97,Brossard,11,7,3,125,17,148,2,313,550
Brossard--La Prairie/Brossard--La Prairie,98A,Brossard,6,3,0,69,9,42,1,130,266
Brossard--La Prairie/Brossard--La Prairie,98B,Brossard,3,1,0,55,4,41,1,105,263
Brossard--La Prairie/Brossard--La Prairie,99,Brossard,18,7,0,57,12,142,3,239,444
Brossard--La Prairie/Brossard--La Prairie,100,Brossard,10,5,1,60,4,38,1,119,228
Brossard--La Prairie/Brossard--La Prairie,101,Brossard,18,5,0,101,17,83,0,224,461
Brossard--La Prairie/Brossard--La Prairie,102,Brossard,8,6,0,40,10,66,0,130,235
Brossard--La Prairie/Brossard--La Prairie,103,Brossard,15,9,0,69,12,122,3,230,345
Brossard--La Prairie/Brossard--La Prairie,104,Brossard,14,9,0,96,18,101,1,239,416
Brossard--La Prairie/Brossard--La Prairie,105,Brossard,7,6,0,74,12,77,3,179,304
Brossard--La Prairie/Brossard--La Prairie,106,Brossard,22,10,0,118,17,97,1,265,394
Brossard--La Prairie/Brossard--La Prairie,107,Brossard,9,7,1,103,19,112,0,251,439
Brossard--La Prairie/Brossard--La Prairie,108,Brossard,13,5,0,92,19,100,3,232,378
Brossard--La Prairie/Brossard--La Prairie,109,Brossard,11,9,2,112,23,164,3,324,551
Brossard--La Prairie/Brossard--La Prairie,110,Brossard,12,9,0,137,13,168,0,339,528
Brossard--La Prairie/Brossard--La Prairie,111A,Brossard,21,3,0,53,13,130,2,222,382
Brossard--La Prairie/Brossard--La Prairie,111B,Brossard,5,3,0,96,20,89,2,215,372
Brossard--La Prairie/Brossard--La Prairie,112A,Brossard,7,1,0,16,9,91,9,133,282
Brossard--La Prairie/Brossard--La Prairie,112B,Brossard,5,2,0,17,9,102,1,136,286
Brossard--La Prairie/Brossard--La Prairie,113,Brossard,14,8,0,78,25,177,2,304,491
Brossard--La Prairie/Brossard--La Prairie,114A,Brossard,3,1,0,39,9,103,0,155,332
Brossard--La Prairie/Brossard--La Prairie,114B,Brossard,5,3,0,40,7,73,0,128,288
Brossard--La Prairie/Brossard--La Prairie,115A,Brossard,12,7,0,47,19,87,2,174,293
Brossard--La Prairie/Brossard--La Prairie,115B,Brossard,2,4,0,15,16,78,0,115,296
Brossard--La Prairie/Brossard--La Prairie,116A,Brossard,6,2,0,26,6,116,1,157,318
Brossard--La Prairie/Brossard--La Prairie,116B,Brossard,5,3,0,25,12,105,1,151,316
Brossard--La Prairie/Brossard--La Prairie,117,Brossard,11,0,0,27,15,117,1,171,350
Brossard--La Prairie/Brossard--La Prairie,118,Brossard,8,3,0,54,8,115,2,190,386
Brossard--La Prairie/Brossard--La Prairie,119,Brossard,17,7,0,30,25,176,3,258,503
Brossard--La Prairie/Brossard--La Prairie,120,Brossard,10,4,2,49,9,101,2,177,366
Brossard--La Prairie/Brossard--La Prairie,121A,Brossard,6,0,0,27,7,96,0,136,327
Brossard--La Prairie/Brossard--La Prairie,121B,Brossard,5,5,0,47,5,92,4,158,335
Brossard--La Prairie/Brossard--La Prairie,122A,Brossard,8,2,0,66,12,120,3,211,417
Brossard--La Prairie/Brossard--La Prairie,122B,Brossard,12,9,3,102,12,100,1,239,453
Brossard--La Prairie/Brossard--La Prairie,123,Brossard,5,5,0,71,18,182,2,283,530
Brossard--La Prairie/Brossard--La Prairie,124A,Brossard,14,2,0,73,17,118,1,225,431
Brossard--La Prairie/Brossard--La Prairie,124B,Brossard,12,7,0,54,21,147,2,243,445
Brossard--La Prairie/Brossard--La Prairie,125A,Brossard,4,7,0,60,5,71,1,148,279
Brossard--La Prairie/Brossard--La Prairie,125B,Brossard,8,3,0,78,10,59,1,159,278
Brossard--La Prairie/Brossard--La Prairie,126,La Prairie,11,4,2,194,15,110,6,342,536
Brossard--La Prairie/Brossard--La Prairie,127,La Prairie,0,6,0,93,8,70,10,187,422
Brossard--La Prairie/Brossard--La Prairie,128,La Prairie,18,9,2,94,10,58,0,191,341
Brossard--La Prairie/Brossard--La Prairie,129,La Prairie,8,5,1,89,10,40,8,161,339
Brossard--La Prairie/Brossard--La Prairie,130,La Prairie,3,6,0,84,8,45,1,147,223
Brossard--La Prairie/Brossard--La Prairie,131,La Prairie,11,9,0,135,11,108,2,276,450
Brossard--La Prairie/Brossard--La Prairie,132,La Prairie,12,4,0,130,16,113,5,280,493
Brossard--La Prairie/Brossard--La Prairie,133A,La Prairie,9,2,2,71,8,82,5,179,288
Brossard--La Prairie/Brossard--La Prairie,133B,La Prairie,7,2,0,86,15,57,3,170,294
Brossard--La Prairie/Brossard--La Prairie,134,La Prairie,12,9,1,139,10,70,3,244,354
Brossard--La Prairie/Brossard--La Prairie,135,La Prairie,12,15,0,199,12,98,4,340,507
Brossard--La Prairie/Brossard--La Prairie,136,La Prairie,17,9,0,196,14,84,6,326,471
Brossard--La Prairie/Brossard--La Prairie,137,La Prairie,10,5,0,130,6,54,5,210,336
Brossard--La Prairie/Brossard--La Prairie,138,La Prairie,16,9,0,209,13,100,7,354,515
Brossard--La Prairie/Brossard--La Prairie,139,La Prairie,11,3,1,177,8,80,3,283,452
Brossard--La Prairie/Brossard--La Prairie,140,La Prairie,11,8,0,153,15,71,4,262,414
Brossard--La Prairie/Brossard--La Prairie,141A,La Prairie,9,8,0,97,7,51,4,176,282
Brossard--La Prairie/Brossard--La Prairie,141B,La Prairie,8,4,0,110,6,56,1,185,279
Brossard--La Prairie/Brossard--La Prairie,142,La Prairie,3,7,0,175,21,112,2,320,496
Brossard--La Prairie/Brossard--La Prairie,143,La Prairie,3,10,0,82,7,83,6,191,338
Brossard--La Prairie/Brossard--La Prairie,144,La Prairie,6,2,0,117,9,46,3,183,372
Brossard--La Prairie/Brossard--La Prairie,145,La Prairie,9,5,1,162,17,69,4,267,519
Brossard--La Prairie/Brossard--La Prairie,146,La Prairie,10,3,0,128,7,26,4,178,333
Brossard--La Prairie/Brossard--La Prairie,147,La Prairie,12,5,0,130,11,63,0,221,415
Brossard--La Prairie/Brossard--La Prairie,148,La Prairie,6,6,1,115,13,97,4,242,401
Brossard--La Prairie/Brossard--La Prairie,149A,La Prairie,7,4,0,70,6,59,0,146,285
Brossard--La Prairie/Brossard--La Prairie,149B,La Prairie,1,1,1,104,7,49,1,164,274
Brossard--La Prairie/Brossard--La Prairie,150,La Prairie,3,3,3,110,10,61,1,191,377
Brossard--La Prairie/Brossard--La Prairie,151,La Prairie,6,2,1,150,25,57,4,245,440
Brossard--La Prairie/Brossard--La Prairie,152A,La Prairie,3,1,0,61,6,30,0,101,294
Brossard--La Prairie/Brossard--La Prairie,152B,La Prairie,5,1,0,80,11,39,3,139,289
Brossard--La Prairie/Brossard--La Prairie,153,La Prairie,2,3,0,87,4,37,0,133,280
Brossard--La Prairie/Brossard--La Prairie,154,La Prairie,8,4,1,121,3,29,0,166,385
Brossard--La Prairie/Brossard--La Prairie,155,La Prairie,4,8,0,127,6,55,4,204,447
Brossard--La Prairie/Brossard--La Prairie,156A,La Prairie,12,6,0,99,12,58,0,187,303
Brossard--La Prairie/Brossard--La Prairie,156B,La Prairie,5,4,0,96,7,70,0,182,285
Brossard--La Prairie/Brossard--La Prairie,157,La Prairie,24,6,0,194,14,76,0,314,493
Brossard--La Prairie/Brossard--La Prairie,158A,La Prairie,12,10,0,150,12,89,3,276,449
Brossard--La Prairie/Brossard--La Prairie,158B,La Prairie,9,3,0,172,6,87,0,277,477
Brossard--La Prairie/Brossard--La Prairie,159,La Prairie,7,6,0,185,22,60,2,282,469
Brossard--La Prairie/Brossard--La Prairie,160,Candiac,10,6,1,177,12,70,5,281,536
Brossard--La Prairie/Brossard--La Prairie,161,Candiac,13,9,1,160,8,69,7,267,486
Brossard--La Prairie/Brossard--La Prairie,162,Candiac,7,5,1,88,14,124,0,239,372
Brossard--La Prairie/Brossard--La Prairie,163,Candiac,11,8,0,117,9,119,1,265,400
Brossard--La Prairie/Brossard--La Prairie,164,Candiac,4,3,0,109,16,108,8,248,369
Brossard--La Prairie/Brossard--La Prairie,165,Candiac,12,7,1,127,27,135,5,314,450
Brossard--La Prairie/Brossard--La Prairie,165-1A,Candiac,3,8,0,125,21,88,1,246,404
Brossard--La Prairie/Brossard--La Prairie,165-1B,Candiac,8,10,0,93,14,105,3,233,421
Brossard--La Prairie/Brossard--La Prairie,166,Candiac,15,6,1,107,27,149,1,306,461
Brossard--La Prairie/Brossard--La Prairie,167,Candiac,13,8,2,96,24,151,1,295,436
Brossard--La Prairie/Brossard--La Prairie,168,Candiac,6,18,0,103,23,126,6,282,424
Brossard--La Prairie/Brossard--La Prairie,169,Candiac,8,14,0,135,16,134,2,309,491
Brossard--La Prairie/Brossard--La Prairie,170,Candiac,9,9,1,113,11,101,3,247,396
Brossard--La Prairie/Brossard--La Prairie,171,Candiac,15,16,1,136,13,98,4,283,406
Brossard--La Prairie/Brossard--La Prairie,172,Candiac,8,7,0,147,23,83,8,276,431
Brossard--La Prairie/Brossard--La Prairie,173,Candiac,8,12,0,166,14,102,0,302,441
Brossard--La Prairie/Brossard--La Prairie,174,Candiac,11,10,0,167,18,72,6,284,411
Brossard--La Prairie/Brossard--La Prairie,175,Candiac,7,5,0,95,7,47,5,166,381
Brossard--La Prairie/Brossard--La Prairie,176,Candiac,3,4,0,103,11,45,3,169,271
Brossard--La Prairie/Brossard--La Prairie,177,Candiac,15,1,0,141,18,79,4,258,402
Brossard--La Prairie/Brossard--La Prairie,178,Candiac,6,11,0,94,16,129,1,257,390
Brossard--La Prairie/Brossard--La Prairie,179,Candiac,9,6,0,169,7,62,3,256,371
Brossard--La Prairie/Brossard--La Prairie,180,Candiac,16,6,1,128,21,128,4,304,413
Brossard--La Prairie/Brossard--La Prairie,181,Candiac,6,9,0,123,16,89,4,247,447
Brossard--La Prairie/Brossard--La Prairie,182,Candiac,13,10,0,140,12,115,4,294,467
Brossard--La Prairie/Brossard--La Prairie,183,Saint-Philippe,10,8,3,184,17,47,9,278,457
Brossard--La Prairie/Brossard--La Prairie,184,Saint-Philippe,10,7,1,189,12,67,11,297,500
Brossard--La Prairie/Brossard--La Prairie,185,Saint-Philippe,5,8,1,183,17,39,7,260,479
Brossard--La Prairie/Brossard--La Prairie,186,Saint-Philippe,4,8,0,217,12,65,11,317,540
Brossard--La Prairie/Brossard--La Prairie,187,Saint-Philippe,2,9,0,141,18,56,8,234,405
Brossard--La Prairie/Brossard--La Prairie,188,Saint-Philippe,6,2,0,121,13,78,4,224,378
Brossard--La Prairie/Brossard--La Prairie,189A,Saint-Philippe,6,4,0,117,15,53,9,204,350
Brossard--La Prairie/Brossard--La Prairie,189B,Saint-Philippe,5,5,0,116,10,51,7,194,307
Brossard--La Prairie/Brossard--La Prairie,500,Mobile poll/Bureau itinérant,2,2,0,9,8,28,3,52,234
Brossard--La Prairie/Brossard--La Prairie,501,Mobile poll/Bureau itinérant,3,3,0,55,7,117,7,192,254
Brossard--La Prairie/Brossard--La Prairie,502,Mobile poll/Bureau itinérant,2,0,1,11,3,38,3,58,131
Brossard--La Prairie/Brossard--La Prairie,503,Mobile poll/Bureau itinérant,1,4,1,37,11,52,6,112,225
Brossard--La Prairie/Brossard--La Prairie,600,Brossard,44,19,3,250,80,477,6,879,
Brossard--La Prairie/Brossard--La Prairie,601,Brossard,6,2,1,137,18,114,5,283,
Brossard--La Prairie/Brossard--La Prairie,602,Brossard,17,10,1,124,47,268,9,476,
Brossard--La Prairie/Brossard--La Prairie,603,Brossard,14,17,1,171,44,334,7,588,
Brossard--La Prairie/Brossard--La Prairie,604,Brossard,14,16,3,164,55,323,5,580,
Brossard--La Prairie/Brossard--La Prairie,605,Brossard,15,7,1,141,61,373,3,601,
Brossard--La Prairie/Brossard--La Prairie,606,Brossard,19,2,2,107,46,274,2,452,
Brossard--La Prairie/Brossard--La Prairie,607,La Prairie,28,10,0,313,39,233,0,623,
Brossard--La Prairie/Brossard--La Prairie,608,La Prairie,14,6,0,204,36,190,5,455,
Brossard--La Prairie/Brossard--La Prairie,609,Candiac,27,9,1,280,50,340,8,715,
Brossard--La Prairie/Brossard--La Prairie,610,Saint-Philippe,3,4,0,105,12,78,4,206,
Brossard--La Prairie/Brossard--La Prairie,,Group 1/Groupe 1,7,6,2,18,25,49,1,108,192
Brossard--La Prairie/Brossard--La Prairie,,Group 2/Groupe 2,38,10,2,375,63,624,13,1125,
