District,Poll Number,Poll Name,Dorian Baxter,Ed Chudak,Martha Hall Findlay,Belinda Stronach,Daryl Wyatt,Rejected Ballots,Total Vote,Electors
Newmarket--Aurora/Newmarket--Aurora,97,Newmarket,9,38,78,79,15,1,220,449
Newmarket--Aurora/Newmarket--Aurora,98,Newmarket,4,16,88,124,10,0,242,394
Newmarket--Aurora/Newmarket--Aurora,99,Newmarket,6,24,138,103,10,2,283,409
Newmarket--Aurora/Newmarket--Aurora,100,Newmarket,18,50,77,89,13,5,252,480
Newmarket--Aurora/Newmarket--Aurora,101,Newmarket,4,16,97,93,4,0,214,351
Newmarket--Aurora/Newmarket--Aurora,102,Newmarket,8,21,96,104,6,1,236,412
Newmarket--Aurora/Newmarket--Aurora,103,Newmarket,12,21,118,93,8,0,252,371
Newmarket--Aurora/Newmarket--Aurora,104,Newmarket,5,26,87,110,5,0,233,373
Newmarket--Aurora/Newmarket--Aurora,105,Newmarket,8,16,98,77,10,1,210,344
Newmarket--Aurora/Newmarket--Aurora,106,Newmarket,4,28,75,91,11,1,210,359
Newmarket--Aurora/Newmarket--Aurora,107,Newmarket,1,30,102,107,4,1,245,504
Newmarket--Aurora/Newmarket--Aurora,108,Newmarket,6,14,62,97,8,0,187,351
Newmarket--Aurora/Newmarket--Aurora,109,Newmarket,10,21,64,81,13,1,190,382
Newmarket--Aurora/Newmarket--Aurora,110,Newmarket,9,19,148,154,17,0,347,500
Newmarket--Aurora/Newmarket--Aurora,111,Newmarket,0,6,118,146,8,0,278,486
Newmarket--Aurora/Newmarket--Aurora,112,Newmarket,4,10,83,114,7,1,219,363
Newmarket--Aurora/Newmarket--Aurora,113A,Newmarket,3,29,73,71,6,5,187,331
Newmarket--Aurora/Newmarket--Aurora,113B,Newmarket,6,28,83,77,7,1,202,338
Newmarket--Aurora/Newmarket--Aurora,114,Newmarket,5,19,89,106,4,1,224,342
Newmarket--Aurora/Newmarket--Aurora,115,Newmarket,0,4,93,118,5,0,220,357
Newmarket--Aurora/Newmarket--Aurora,116A,Newmarket,2,5,110,73,1,0,191,334
Newmarket--Aurora/Newmarket--Aurora,116B,Newmarket,1,8,91,108,1,0,209,341
Newmarket--Aurora/Newmarket--Aurora,117,Newmarket,2,7,158,119,4,0,290,429
Newmarket--Aurora/Newmarket--Aurora,118,Newmarket,0,10,107,104,5,1,227,344
Newmarket--Aurora/Newmarket--Aurora,119,Newmarket,4,12,145,131,9,1,302,471
Newmarket--Aurora/Newmarket--Aurora,120,Aurora,2,8,105,134,9,0,258,458
Newmarket--Aurora/Newmarket--Aurora,121,Aurora,1,12,116,86,7,1,223,342
Newmarket--Aurora/Newmarket--Aurora,122,Aurora,0,4,108,61,13,1,187,300
Newmarket--Aurora/Newmarket--Aurora,123,Aurora,1,13,112,108,7,3,244,368
Newmarket--Aurora/Newmarket--Aurora,124,Aurora,4,27,125,115,9,2,282,405
Newmarket--Aurora/Newmarket--Aurora,125,Aurora,5,22,113,85,16,1,242,398
Newmarket--Aurora/Newmarket--Aurora,126,Aurora,7,22,76,63,1,1,170,339
Newmarket--Aurora/Newmarket--Aurora,127,Aurora,2,28,119,133,16,2,300,438
Newmarket--Aurora/Newmarket--Aurora,128,Aurora,4,21,109,115,12,0,261,379
Newmarket--Aurora/Newmarket--Aurora,129,Aurora,7,17,165,136,16,0,341,506
Newmarket--Aurora/Newmarket--Aurora,130,Aurora,4,29,124,114,9,0,280,434
Newmarket--Aurora/Newmarket--Aurora,131,Aurora,8,29,63,60,20,3,183,290
Newmarket--Aurora/Newmarket--Aurora,132,Aurora,1,17,93,90,5,0,206,306
Newmarket--Aurora/Newmarket--Aurora,133,Aurora,8,24,48,79,18,1,178,324
Newmarket--Aurora/Newmarket--Aurora,134,Aurora,5,23,103,78,14,0,223,389
Newmarket--Aurora/Newmarket--Aurora,135,Aurora,3,49,83,99,14,0,248,476
Newmarket--Aurora/Newmarket--Aurora,136,Aurora,5,27,150,119,21,0,322,483
Newmarket--Aurora/Newmarket--Aurora,137,Aurora,4,27,151,136,15,3,336,498
Newmarket--Aurora/Newmarket--Aurora,138,Aurora,2,17,71,76,14,0,180,432
Newmarket--Aurora/Newmarket--Aurora,139,Aurora,2,13,40,35,7,0,97,215
Newmarket--Aurora/Newmarket--Aurora,140,Aurora,8,23,102,100,18,3,254,430
Newmarket--Aurora/Newmarket--Aurora,141,Aurora,1,14,193,109,11,1,329,553
Newmarket--Aurora/Newmarket--Aurora,142,Aurora,4,7,127,122,13,1,274,463
Newmarket--Aurora/Newmarket--Aurora,143,Aurora,1,13,110,89,21,0,234,347
Newmarket--Aurora/Newmarket--Aurora,144,Aurora,7,12,128,122,15,2,286,409
Newmarket--Aurora/Newmarket--Aurora,145,Aurora,3,24,111,108,11,0,257,386
Newmarket--Aurora/Newmarket--Aurora,146,Aurora,1,10,112,140,13,0,276,439
Newmarket--Aurora/Newmarket--Aurora,147,Aurora,3,8,95,112,6,0,224,324
Newmarket--Aurora/Newmarket--Aurora,148A,Aurora,0,15,80,94,3,1,193,304
Newmarket--Aurora/Newmarket--Aurora,148B,Aurora,1,4,92,69,9,1,176,298
Newmarket--Aurora/Newmarket--Aurora,149,Aurora,6,30,145,104,12,1,298,439
Newmarket--Aurora/Newmarket--Aurora,150,Aurora,5,34,75,85,11,2,212,423
Newmarket--Aurora/Newmarket--Aurora,151,Aurora,2,35,108,94,19,1,259,491
Newmarket--Aurora/Newmarket--Aurora,152,Aurora,2,35,83,89,20,1,230,489
Newmarket--Aurora/Newmarket--Aurora,153,Aurora,3,27,66,72,14,1,183,346
Newmarket--Aurora/Newmarket--Aurora,154,Aurora,5,34,78,129,4,1,251,404
Newmarket--Aurora/Newmarket--Aurora,155,Aurora,2,12,81,73,10,1,179,270
Newmarket--Aurora/Newmarket--Aurora,156,Aurora,3,24,137,127,8,1,300,489
Newmarket--Aurora/Newmarket--Aurora,157,Aurora,1,32,98,91,6,2,230,363
Newmarket--Aurora/Newmarket--Aurora,158,Aurora,2,27,120,144,16,3,312,457
Newmarket--Aurora/Newmarket--Aurora,159A,Aurora,2,8,98,68,11,1,188,276
Newmarket--Aurora/Newmarket--Aurora,159B,Aurora,1,9,78,95,10,0,193,284
Newmarket--Aurora/Newmarket--Aurora,160,Aurora,4,14,124,124,16,1,283,434
Newmarket--Aurora/Newmarket--Aurora,161,Aurora,4,17,84,87,17,0,209,351
Newmarket--Aurora/Newmarket--Aurora,162,Aurora,4,22,118,106,11,0,261,429
Newmarket--Aurora/Newmarket--Aurora,163,Aurora,1,4,65,66,6,0,142,258
Newmarket--Aurora/Newmarket--Aurora,164,Aurora,5,31,130,145,21,2,334,516
Newmarket--Aurora/Newmarket--Aurora,165,Aurora,3,13,122,74,9,1,222,380
Newmarket--Aurora/Newmarket--Aurora,166,Aurora,1,15,74,103,8,0,201,366
Newmarket--Aurora/Newmarket--Aurora,167,Aurora,5,17,93,78,5,1,199,297
Newmarket--Aurora/Newmarket--Aurora,168,Aurora,1,29,95,109,12,0,246,415
Newmarket--Aurora/Newmarket--Aurora,169,Aurora,6,26,123,147,29,0,331,524
Newmarket--Aurora/Newmarket--Aurora,170,Aurora,2,15,106,104,13,0,240,355
Newmarket--Aurora/Newmarket--Aurora,171,Aurora,2,22,98,84,23,0,229,388
Newmarket--Aurora/Newmarket--Aurora,172,Aurora,2,13,135,132,10,3,295,493
Newmarket--Aurora/Newmarket--Aurora,173,Aurora,6,30,161,158,14,5,374,570
Newmarket--Aurora/Newmarket--Aurora,174,Aurora,2,13,95,74,10,0,194,349
Newmarket--Aurora/Newmarket--Aurora,175,Aurora,4,37,137,122,12,0,312,514
Newmarket--Aurora/Newmarket--Aurora,176,Aurora,3,28,123,124,23,0,301,508
Newmarket--Aurora/Newmarket--Aurora,177,Aurora,2,23,108,93,14,3,243,444
Newmarket--Aurora/Newmarket--Aurora,178,Aurora,4,21,101,80,17,0,223,381
Newmarket--Aurora/Newmarket--Aurora,179,Aurora,Merged with No. 180,,,,,,,61
Newmarket--Aurora/Newmarket--Aurora,180,Aurora,1,14,42,56,2,2,117,127
Newmarket--Aurora/Newmarket--Aurora,181,Aurora,1,13,64,72,12,2,164,318
Newmarket--Aurora/Newmarket--Aurora,182,Aurora,4,22,70,98,14,2,210,396
Newmarket--Aurora/Newmarket--Aurora,183,Aurora,8,19,131,137,10,1,306,530
Newmarket--Aurora/Newmarket--Aurora,184,Aurora,5,26,142,112,8,0,293,469
Newmarket--Aurora/Newmarket--Aurora,185,Aurora,4,25,76,80,19,1,205,379
Newmarket--Aurora/Newmarket--Aurora,186,Aurora,4,30,117,106,25,5,287,445
Newmarket--Aurora/Newmarket--Aurora,187,Aurora,6,30,100,83,17,1,237,386
Newmarket--Aurora/Newmarket--Aurora,188,Aurora,4,32,108,99,14,2,259,387
Newmarket--Aurora/Newmarket--Aurora,189,Aurora,1,11,73,69,4,1,159,276
Newmarket--Aurora/Newmarket--Aurora,190,Aurora,0,9,85,135,8,0,237,428
Newmarket--Aurora/Newmarket--Aurora,191,Aurora,2,9,113,129,8,0,261,471
