District,Poll Number,Poll Name,Roy Cullen,Anna Di Carlo,Mir Kamal,Cesar Martello,Rupinder Nannar,George Szebik,William Ubbens,Rejected Ballots,Total Vote,Electors
Etobicoke North/Etobicoke-Nord,80,Etobicoke,100,0,2,36,40,3,7,2,190,343
Etobicoke North/Etobicoke-Nord,81,Etobicoke,160,2,5,31,46,0,5,2,251,400
Etobicoke North/Etobicoke-Nord,82,Etobicoke,125,2,7,51,38,2,4,1,230,378
Etobicoke North/Etobicoke-Nord,83,Etobicoke,117,1,6,16,34,1,2,2,179,309
Etobicoke North/Etobicoke-Nord,84,Etobicoke,116,1,3,23,24,1,7,0,175,329
Etobicoke North/Etobicoke-Nord,85,Etobicoke,61,0,2,12,29,2,5,0,111,269
Etobicoke North/Etobicoke-Nord,86,Etobicoke,110,0,2,19,13,3,3,2,152,371
Etobicoke North/Etobicoke-Nord,87,Etobicoke,49,1,0,12,24,2,1,1,90,299
Etobicoke North/Etobicoke-Nord,88,Etobicoke,132,2,9,35,14,3,3,3,201,401
Etobicoke North/Etobicoke-Nord,89,Etobicoke,139,2,6,17,60,2,4,1,231,371
Etobicoke North/Etobicoke-Nord,90,Etobicoke,100,1,8,30,51,1,7,2,200,385
Etobicoke North/Etobicoke-Nord,91,Etobicoke,155,2,9,27,52,4,6,2,257,411
Etobicoke North/Etobicoke-Nord,92A,Etobicoke,108,0,7,45,31,4,3,1,199,394
Etobicoke North/Etobicoke-Nord,92B,Etobicoke,29,0,1,7,7,0,0,0,44,181
Etobicoke North/Etobicoke-Nord,92C,Etobicoke,5,0,2,2,3,1,1,0,14,47
Etobicoke North/Etobicoke-Nord,93,Etobicoke,104,1,3,28,50,3,4,0,193,339
Etobicoke North/Etobicoke-Nord,94,Etobicoke,140,1,3,31,50,0,12,0,237,461
Etobicoke North/Etobicoke-Nord,95,Etobicoke,156,1,1,24,52,0,3,1,238,439
Etobicoke North/Etobicoke-Nord,96,Etobicoke,85,1,7,24,46,2,5,0,170,337
Etobicoke North/Etobicoke-Nord,97,Etobicoke,97,1,4,33,56,1,11,2,205,385
Etobicoke North/Etobicoke-Nord,98,Etobicoke,129,1,8,33,36,2,12,0,221,405
Etobicoke North/Etobicoke-Nord,99,Etobicoke,89,2,2,27,30,2,4,1,157,322
Etobicoke North/Etobicoke-Nord,100,Etobicoke,80,1,1,38,30,2,7,0,159,435
Etobicoke North/Etobicoke-Nord,101,Etobicoke,88,1,5,8,22,2,6,0,132,247
Etobicoke North/Etobicoke-Nord,102,Etobicoke,158,1,8,30,60,1,7,0,265,486
Etobicoke North/Etobicoke-Nord,103,Etobicoke,109,0,1,20,33,2,13,1,179,350
Etobicoke North/Etobicoke-Nord,104,Etobicoke,104,3,2,26,44,0,10,0,189,280
Etobicoke North/Etobicoke-Nord,105,Etobicoke,37,1,2,25,17,2,1,0,85,287
Etobicoke North/Etobicoke-Nord,106,Etobicoke,113,2,5,37,49,3,2,0,211,342
Etobicoke North/Etobicoke-Nord,107,Etobicoke,96,1,7,16,34,0,6,2,162,330
Etobicoke North/Etobicoke-Nord,108,Etobicoke,107,0,4,11,21,3,10,2,158,255
Etobicoke North/Etobicoke-Nord,109,Etobicoke,112,2,10,37,41,2,4,4,212,386
Etobicoke North/Etobicoke-Nord,110,Etobicoke,118,1,4,37,56,2,9,1,228,413
Etobicoke North/Etobicoke-Nord,111,Etobicoke,60,1,5,29,24,1,8,0,128,323
Etobicoke North/Etobicoke-Nord,112,Etobicoke,166,1,2,42,17,2,8,5,243,632
Etobicoke North/Etobicoke-Nord,113,Etobicoke,70,1,2,20,9,0,1,0,103,274
Etobicoke North/Etobicoke-Nord,114,Etobicoke,163,0,3,26,33,1,7,2,235,650
Etobicoke North/Etobicoke-Nord,115,Etobicoke,91,2,3,17,12,0,3,0,128,339
Etobicoke North/Etobicoke-Nord,116,Etobicoke,114,0,3,34,35,1,9,0,196,435
Etobicoke North/Etobicoke-Nord,117,Etobicoke,157,1,0,16,24,0,1,0,199,427
Etobicoke North/Etobicoke-Nord,118,Etobicoke,117,1,6,43,26,5,2,2,202,528
Etobicoke North/Etobicoke-Nord,119,Etobicoke,91,2,5,25,26,1,1,2,153,336
Etobicoke North/Etobicoke-Nord,120,Etobicoke,Merged with No. 119,,,,,,,,,87
