District,Poll Number,Poll Name,Marc Bélanger,Jean-Guy Côté,Nicolas Deville,Vahid Fortin-Vidah,Jean-Yves Roy,Rejected Ballots,Total Vote,Electors
Matapédia--Matane/Matapédia--Matane,92,Cap-Chat,42,4,2,2,57,2,109,287
Matapédia--Matane/Matapédia--Matane,93,Cap-Chat,45,3,5,5,69,3,130,323
Matapédia--Matane/Matapédia--Matane,94,Cap-Chat,43,5,1,4,69,1,123,278
Matapédia--Matane/Matapédia--Matane,95,Cap-Chat,57,5,2,9,62,4,139,327
Matapédia--Matane/Matapédia--Matane,96,Cap-Chat,89,8,3,10,130,1,241,507
Matapédia--Matane/Matapédia--Matane,97,Sainte-Anne-des-Monts,61,9,4,9,74,1,158,413
Matapédia--Matane/Matapédia--Matane,98,Sainte-Anne-des-Monts,50,7,3,8,96,0,164,375
Matapédia--Matane/Matapédia--Matane,99,Sainte-Anne-des-Monts,79,3,3,12,52,0,149,486
Matapédia--Matane/Matapédia--Matane,100,Sainte-Anne-des-Monts,54,2,8,9,69,0,142,348
Matapédia--Matane/Matapédia--Matane,101,Sainte-Anne-des-Monts,66,4,5,11,76,5,167,405
Matapédia--Matane/Matapédia--Matane,102,Sainte-Anne-des-Monts,41,10,1,18,84,0,154,443
Matapédia--Matane/Matapédia--Matane,103,Sainte-Anne-des-Monts,52,13,7,20,123,2,217,552
Matapédia--Matane/Matapédia--Matane,104,Sainte-Anne-des-Monts,44,5,4,6,63,1,123,274
Matapédia--Matane/Matapédia--Matane,105,Sainte-Anne-des-Monts,37,4,4,9,95,6,155,363
Matapédia--Matane/Matapédia--Matane,106,Sainte-Anne-des-Monts,37,5,1,5,67,2,117,325
Matapédia--Matane/Matapédia--Matane,107,Sainte-Anne-des-Monts,38,7,4,10,72,5,136,319
Matapédia--Matane/Matapédia--Matane,108,Cap-Seize,40,3,0,0,37,1,81,148
Matapédia--Matane/Matapédia--Matane,109,Tourelle,42,5,0,4,70,2,123,416
Matapédia--Matane/Matapédia--Matane,110,Tourelle,47,4,2,4,57,1,115,315
Matapédia--Matane/Matapédia--Matane,111,Tourelle,59,1,3,13,88,2,166,474
Matapédia--Matane/Matapédia--Matane,112,Cap-au-Renard,23,5,3,1,40,0,72,208
Matapédia--Matane/Matapédia--Matane,113,Marsoui,44,13,0,4,72,0,133,296
Matapédia--Matane/Matapédia--Matane,114,Rivière-à-Claude,61,2,1,2,43,4,113,144
Matapédia--Matane/Matapédia--Matane,115,Mont-Saint-Pierre,51,6,1,5,74,2,139,192
Matapédia--Matane/Matapédia--Matane,116,Saint-Maxime-du-Mont-Louis,62,4,2,22,117,2,209,409
Matapédia--Matane/Matapédia--Matane,117,Saint-Maxime-du-Mont-Louis,46,6,1,9,71,2,135,254
Matapédia--Matane/Matapédia--Matane,118,Manche-d'Épée,69,7,5,17,90,6,194,351
Matapédia--Matane/Matapédia--Matane,119,Saint-Maxime-du-Mont-Louis,55,3,2,7,67,2,136,342
Matapédia--Matane/Matapédia--Matane,120,Saint-Edmond,18,7,3,3,47,0,78,144
Matapédia--Matane/Matapédia--Matane,121,Lac-au-Saumon,10,3,1,5,75,3,97,193
Matapédia--Matane/Matapédia--Matane,122,Lac-au-Saumon,33,7,2,8,80,2,132,244
Matapédia--Matane/Matapédia--Matane,123,Lac-au-Saumon,44,8,2,16,134,5,209,380
Matapédia--Matane/Matapédia--Matane,124,Saint-Alexandre-des-Lacs,46,6,4,14,80,10,160,243
Matapédia--Matane/Matapédia--Matane,125,Saint-Jacques-le-Majeur-de-Causapscal,42,3,3,9,80,3,140,356
Matapédia--Matane/Matapédia--Matane,126,Sainte-Marguerite-Marie,28,3,1,3,69,7,111,189
Matapédia--Matane/Matapédia--Matane,127,Causapscal,34,11,1,13,78,4,141,294
Matapédia--Matane/Matapédia--Matane,128,Causapscal,39,7,2,7,91,2,148,344
Matapédia--Matane/Matapédia--Matane,129,Causapscal,39,7,1,6,76,4,133,310
Matapédia--Matane/Matapédia--Matane,130,Causapscal,31,7,2,3,91,0,134,311
Matapédia--Matane/Matapédia--Matane,131,Causapscal,37,4,3,4,67,5,120,296
Matapédia--Matane/Matapédia--Matane,132,Saint-Jacques-le-Majeur-de-Causapscal,20,5,4,10,46,1,86,158
Matapédia--Matane/Matapédia--Matane,133,Albertville,38,8,0,6,84,2,138,246
Matapédia--Matane/Matapédia--Matane,134,Sainte-Florence,14,2,1,1,42,3,63,148
Matapédia--Matane/Matapédia--Matane,135,Sainte-Florence,19,9,2,6,84,2,122,252
Matapédia--Matane/Matapédia--Matane,136,Saint-Moïse,39,4,0,9,77,1,130,204
Matapédia--Matane/Matapédia--Matane,137,Saint-Moïse,50,5,2,6,93,2,158,283
Matapédia--Matane/Matapédia--Matane,138,Saint-Noël,57,4,3,7,97,7,175,360
Matapédia--Matane/Matapédia--Matane,139,Saint-Damase,60,13,4,12,94,4,187,319
Matapédia--Matane/Matapédia--Matane,140,Sayabec,35,4,3,10,95,1,148,358
Matapédia--Matane/Matapédia--Matane,141,Sayabec,35,7,3,15,94,2,156,379
Matapédia--Matane/Matapédia--Matane,142,Sayabec,46,5,2,18,105,2,178,427
Matapédia--Matane/Matapédia--Matane,143,Sayabec,48,7,2,12,80,1,150,326
Matapédia--Matane/Matapédia--Matane,144,Saint-Cléophas,22,6,1,12,72,0,113,258
Matapédia--Matane/Matapédia--Matane,145,Sainte-Irène,34,5,2,4,75,3,123,254
Matapédia--Matane/Matapédia--Matane,146,Val-Brillant,47,4,5,24,110,2,192,334
Matapédia--Matane/Matapédia--Matane,147,Val-Brillant,27,2,4,11,77,4,125,202
Matapédia--Matane/Matapédia--Matane,148,Val-Brillant,24,4,2,8,75,4,117,217
Matapédia--Matane/Matapédia--Matane,149,Saint-Vianney,48,6,5,32,143,4,238,406
Matapédia--Matane/Matapédia--Matane,150,Saint-Tharcisius,49,5,2,17,127,10,210,358
Matapédia--Matane/Matapédia--Matane,151,Saint-Gabriel,61,11,7,18,149,5,251,452
Matapédia--Matane/Matapédia--Matane,152,Saint-Gabriel,26,3,1,3,61,3,97,183
Matapédia--Matane/Matapédia--Matane,153,Saint-Gabriel,45,7,4,4,82,6,148,253
Matapédia--Matane/Matapédia--Matane,154,Saint-François-Xavier-des-Hauteurs,37,16,4,15,112,5,189,328
Matapédia--Matane/Matapédia--Matane,155,Saint-François-Xavier-des-Hauteurs,11,1,1,7,40,1,61,121
Matapédia--Matane/Matapédia--Matane,156,Saint-Charles-Garnier,18,2,2,6,83,0,111,249
Matapédia--Matane/Matapédia--Matane,157,Sainte-Angèle-de-Mérici,35,19,5,7,126,2,194,375
Matapédia--Matane/Matapédia--Matane,158,Sainte-Angèle-de-Mérici,27,11,3,6,91,0,138,245
Matapédia--Matane/Matapédia--Matane,159,Sainte-Angèle-de-Mérici,24,2,2,7,59,3,97,194
Matapédia--Matane/Matapédia--Matane,160,Sainte-Jeanne-d'Arc,21,11,1,11,84,1,129,248
Matapédia--Matane/Matapédia--Matane,161,La Rédemption,51,6,4,17,103,5,186,391
Matapédia--Matane/Matapédia--Matane,162,Amqui,39,14,2,15,113,3,186,375
Matapédia--Matane/Matapédia--Matane,163,Amqui,29,14,6,6,158,0,213,426
Matapédia--Matane/Matapédia--Matane,164,Amqui,17,1,0,2,66,2,88,285
Matapédia--Matane/Matapédia--Matane,165,Amqui,29,5,3,5,87,4,133,293
Matapédia--Matane/Matapédia--Matane,166,Amqui,19,4,4,7,100,2,136,314
Matapédia--Matane/Matapédia--Matane,167,Amqui,38,7,1,6,58,2,112,290
Matapédia--Matane/Matapédia--Matane,168,Amqui,28,8,2,9,108,3,158,359
Matapédia--Matane/Matapédia--Matane,169,Amqui,41,4,0,8,59,4,116,330
Matapédia--Matane/Matapédia--Matane,170,Amqui,33,10,2,11,111,7,174,331
Matapédia--Matane/Matapédia--Matane,171,Amqui,42,5,6,8,106,3,170,366
Matapédia--Matane/Matapédia--Matane,172,Amqui,51,1,1,9,143,5,210,442
Matapédia--Matane/Matapédia--Matane,173,Amqui,46,10,4,13,75,0,148,302
Matapédia--Matane/Matapédia--Matane,174,Amqui,38,4,3,15,91,3,154,332
Matapédia--Matane/Matapédia--Matane,175,Amqui,39,11,1,18,92,4,165,347
Matapédia--Matane/Matapédia--Matane,176,Amqui,22,7,3,15,103,5,155,338
Matapédia--Matane/Matapédia--Matane,177,Saint-Léon-le-Grand,33,0,2,9,45,2,91,203
Matapédia--Matane/Matapédia--Matane,178,Saint-Léon-le-Grand,26,4,3,10,50,0,93,224
Matapédia--Matane/Matapédia--Matane,179,Saint-Zénon-du-Lac-Humqui,71,13,2,17,76,3,182,318
Matapédia--Matane/Matapédia--Matane,180,Saint-Léon-le-Grand,54,10,9,16,96,2,187,406
Matapédia--Matane/Matapédia--Matane,500,Mobile poll/Bureau itinérant,48,1,3,5,11,2,70,83
Matapédia--Matane/Matapédia--Matane,501,Mobile poll/Bureau itinérant,16,0,1,5,11,2,35,87
Matapédia--Matane/Matapédia--Matane,502,Mobile poll/Bureau itinérant,23,2,0,4,14,3,46,131
Matapédia--Matane/Matapédia--Matane,503,Mobile poll/Bureau itinérant,10,1,1,0,12,1,25,75
Matapédia--Matane/Matapédia--Matane,504,Mobile poll/Bureau itinérant,62,1,2,3,8,4,80,221
Matapédia--Matane/Matapédia--Matane,505,Mobile poll/Bureau itinérant,35,5,6,5,21,0,72,259
Matapédia--Matane/Matapédia--Matane,506,Mobile poll/Bureau itinérant,52,1,1,2,19,4,79,113
Matapédia--Matane/Matapédia--Matane,600,Sainte-Luce,40,9,7,8,105,3,172,
Matapédia--Matane/Matapédia--Matane,601,Mont-Joli,152,29,2,25,201,7,416,
Matapédia--Matane/Matapédia--Matane,602,Price,58,8,1,6,92,5,170,
Matapédia--Matane/Matapédia--Matane,603,Saint-Ulric,20,3,1,6,58,0,88,
Matapédia--Matane/Matapédia--Matane,604,Matane,256,23,7,18,328,3,635,
Matapédia--Matane/Matapédia--Matane,605,Matane,31,6,6,7,87,0,137,
Matapédia--Matane/Matapédia--Matane,606,Les Méchins,20,4,1,5,42,1,73,
Matapédia--Matane/Matapédia--Matane,607,Cap-Chat,61,5,1,12,74,4,157,
Matapédia--Matane/Matapédia--Matane,608,Sainte-Anne-des-Monts,92,4,3,9,90,2,200,
Matapédia--Matane/Matapédia--Matane,609,Sainte-Anne-des-Monts,65,5,1,10,111,2,194,
Matapédia--Matane/Matapédia--Matane,610,Saint-Maxime-du-Mont-Louis,18,0,0,4,14,1,37,
Matapédia--Matane/Matapédia--Matane,611,Causapscal,107,10,1,13,121,0,252,
Matapédia--Matane/Matapédia--Matane,612,Sayabec,60,5,0,21,115,0,201,
Matapédia--Matane/Matapédia--Matane,613,Amqui--Sainte-Angélique-de-Mérici,154,17,3,39,221,6,440,
Matapédia--Matane/Matapédia--Matane,,Group 1/Groupe 1,26,7,3,23,55,4,118,275
Matapédia--Matane/Matapédia--Matane,,Group 2/Groupe 2,127,13,4,16,181,10,351,
