District,Poll Number,Poll Name,Kevin Blake,Allan James,Allan McKeown,Bev Shipley,Rose-Marie Ur,Rejected Ballots,Total Vote,Electors
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,38,Lucan,17,1,5,52,39,0,114,178
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,39,Lucan,23,2,4,74,50,1,154,255
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,40,Lucan,56,5,13,149,84,1,308,554
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,41,Clandeboye,26,4,15,116,73,3,237,410
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,42,McGillivray,19,2,12,96,84,1,214,337
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,43,Ailsa Craig,22,3,7,88,81,1,202,381
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,44,Ailsa Craig,37,3,13,155,98,1,307,500
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,45,East Williams,39,7,3,108,87,1,245,388
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,46,Granton,8,0,1,45,37,0,91,152
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,47,East Williams,20,5,5,75,76,0,181,300
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,48,Denfield,21,1,17,146,104,2,291,456
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,49,Bryanston,31,3,8,146,75,0,263,417
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,50,Bryanston,38,4,12,151,114,1,320,483
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,51,Arva,35,1,15,167,96,3,317,504
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,52,Birr,17,4,8,156,105,0,290,441
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,53,Ilderton,22,0,13,150,141,3,329,517
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,54,Ilderton,31,5,12,139,129,2,318,451
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,55,Telfer,36,2,19,189,125,0,371,532
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,56,Evelyn,13,0,7,98,94,1,213,326
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,57,Evelyn,16,5,7,68,76,2,174,329
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,58,Lobo,12,2,8,152,94,0,268,391
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,59,Lobo,42,14,10,142,151,1,360,524
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,60,Lobo,18,1,5,73,93,0,190,299
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,61,Lobo,22,11,13,154,77,0,277,417
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,62,Lobo,21,2,5,78,72,0,178,300
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,63,Lobo,32,0,14,107,106,2,261,429
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,64,Lobo,21,0,11,109,91,2,234,373
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,65,Komoka,8,0,15,133,107,0,263,433
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,66,Lobo,32,4,13,155,146,0,350,576
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,67A,Komoka,17,0,8,53,68,1,147,219
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,67B,Mobile poll/Bureau itinérant,6,4,2,25,30,4,71,129
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,68,Komoka,37,4,14,91,80,1,227,321
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,69,Komoka,36,2,6,45,70,0,159,252
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,70A,Delaware,32,1,9,111,77,0,230,386
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,70B,Mobile poll/Bureau itinérant,9,2,3,20,39,1,74,99
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,71,Delaware,48,2,15,140,117,2,324,472
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,72,Delaware,36,3,9,79,111,2,240,348
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,73A,Delaware,26,1,12,82,64,0,185,300
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,73B,Mobile poll/Bureau itinérant,Merged with No. 70B,,,,,,,80
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,74,Delaware,15,9,8,70,55,0,157,249
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,75,Strathroy,16,9,6,77,62,1,171,318
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,76,Strathroy,22,0,2,51,51,0,126,250
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,77,Strathroy,9,3,7,48,54,0,121,190
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,78,Strathroy,14,10,1,53,56,2,136,238
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,79,Strathroy,31,10,20,105,120,2,288,576
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,80,Strathroy,27,12,7,60,74,0,180,393
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,81,Strathroy,38,4,6,73,88,1,210,380
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,82,Strathroy,32,21,3,116,115,4,291,445
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,83,Strathroy,17,7,8,67,119,3,221,382
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,84,Strathroy,28,13,4,36,71,2,154,389
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,85,Strathroy,36,10,9,69,128,1,253,524
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,86,Strathroy,38,12,11,39,79,0,179,417
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,87,Strathroy,27,12,6,110,122,5,282,513
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,88,Strathroy,15,8,10,68,87,1,189,332
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,89,Strathroy,28,0,10,73,105,0,216,455
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,90,Strathroy,32,7,8,74,81,2,204,356
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,91,Strathroy,33,5,4,70,93,1,206,442
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,92,Strathroy,29,10,13,68,62,0,182,412
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,93,Strathroy,35,6,7,88,77,2,215,394
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,94,Strathroy,21,5,7,62,85,0,180,401
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,95,Strathroy,36,14,10,83,115,0,258,496
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,96,Strathroy,40,6,3,74,118,0,241,456
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,97,Strathroy,22,5,16,76,92,3,214,390
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,98,Strathroy,22,12,3,81,101,1,220,452
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,99,Warwick,30,6,9,70,79,0,194,307
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,100,Warwick,11,5,5,54,51,1,127,186
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,101,Warwick,8,14,7,51,89,0,169,269
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,102,Adelaide,20,11,6,89,101,2,229,378
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,103,Adelaide,10,8,9,76,77,1,181,310
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,104,Adelaide,7,13,6,49,100,2,177,395
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,105,Adelaide,27,16,4,83,85,0,215,347
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,106,Warwick,31,28,6,109,125,1,300,495
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,107A,Watford,18,10,11,62,115,0,216,402
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,107B,Mobile poll/Bureau itinérant,2,4,1,11,23,3,44,81
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,108,Watford,23,11,10,68,83,1,196,323
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,109,Watford,39,3,9,70,81,1,203,418
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,110,Warwick,24,10,6,93,85,1,219,429
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,111,Caradoc,17,7,7,68,81,0,180,312
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,112,Caradoc,8,6,2,29,35,0,80,141
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,113,Caradoc,19,5,7,79,74,4,188,265
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,114,Caradoc,26,9,10,79,122,2,248,371
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,115,Caradoc,43,8,13,83,123,3,273,482
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,116,Caradoc,36,2,12,99,124,2,275,453
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,117,Caradoc,42,8,12,110,121,1,294,494
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,118,Caradoc,28,10,7,76,65,1,187,314
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,119,Caradoc,26,4,12,89,86,2,219,408
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,120,Caradoc,34,1,4,90,98,2,229,351
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,121,Caradoc,26,6,8,98,61,0,199,352
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,122,Caradoc,35,6,11,105,124,1,282,425
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,123,Caradoc,29,3,6,76,86,0,200,406
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,124,Chippewas of the Thames First Nation 42,61,2,1,6,68,0,138,449
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,125,Muncee-Delaware Nation 1,2,0,2,1,22,0,27,61
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,126,Oneida 41,16,1,0,2,38,0,57,102
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,127,Brooke,18,4,3,43,74,0,142,231
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,128,Brooke,50,10,15,92,146,3,316,530
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,129,Brooke,38,2,7,48,61,0,156,261
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,130,Alvinston,48,2,13,107,90,2,262,486
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,131,Brooke,19,13,8,98,89,0,227,374
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,132,Metcalfe,18,1,7,61,110,1,198,317
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,133,Metcalfe,13,3,4,70,101,0,191,310
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,134,Ekfrid,45,9,7,111,96,2,270,431
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,135,Ekfrid,29,3,4,98,126,1,261,352
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,136,Glencoe,39,2,6,62,116,2,227,414
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,137,Glencoe,38,3,15,67,77,0,200,379
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,138,Glencoe,33,1,6,68,128,0,236,403
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,139,Glencoe,34,1,13,65,101,1,215,381
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,140,Mosa,23,0,3,48,53,1,128,243
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,141,Newbury,40,7,5,81,57,0,190,387
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,142,Mosa,16,6,10,68,62,0,162,265
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,143A,Wardsville,21,12,5,56,90,1,185,290
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,143B,Mobile poll/Bureau itinérant,Merged with No. 107B,,,,,,,43
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,144,Mosa,27,6,6,80,82,0,201,316
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,145,Ekfrid,26,3,11,67,76,0,183,342
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,146,Ekfrid,31,1,13,113,76,0,234,444
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,147,Dawn,25,4,5,64,40,0,138,210
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,148,Dawn,39,6,3,95,82,1,226,371
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,149,Dawn,24,1,3,61,43,1,133,226
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,150,Euphemia,27,2,4,84,70,0,187,282
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,151,Euphemia,27,6,6,78,86,1,204,352
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,152,Chatham-Kent,36,4,7,108,53,0,208,323
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,153,Chatham-Kent,58,0,10,96,52,5,221,395
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,154,Chatham-Kent,34,1,15,83,85,0,218,371
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,155,Chatham-Kent,36,3,6,91,71,0,207,369
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,156,Chatham-Kent,23,1,4,61,54,1,144,250
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,157,Chatham-Kent,21,1,6,77,51,1,157,309
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,158,Chatham-Kent,37,2,11,93,58,2,203,390
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,159,Chatham-Kent,23,1,8,101,73,0,206,404
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,160,Chatham-Kent,25,3,6,83,75,0,192,331
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,161,Chatham-Kent,37,2,8,91,114,2,254,433
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,162,Chatham-Kent,26,3,11,86,64,0,190,321
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,163,Chatham-Kent,57,3,14,112,108,3,297,589
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,164,Chatham-Kent,91,2,7,94,188,0,382,546
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,165,Chatham-Kent,25,3,8,65,41,3,145,282
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,166,Chatham-Kent,54,2,9,45,61,1,172,331
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,167,Chatham-Kent,53,13,9,65,57,0,197,349
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,168,Chatham-Kent,18,1,3,67,35,1,125,233
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,169,Chatham-Kent,34,4,7,59,48,0,152,267
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,170,Chatham-Kent,24,4,11,70,83,1,193,341
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,171,Chatham-Kent,25,0,6,69,90,0,190,321
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,172,Chatham-Kent,38,5,5,60,54,2,164,311
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,173,Chatham-Kent,47,4,4,66,48,1,170,320
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,174,Chatham-Kent,37,3,6,69,54,0,169,301
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,175,Chatham-Kent,65,6,16,97,80,0,264,516
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,176,Chatham-Kent,39,4,8,102,83,1,237,389
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,177,Chatham-Kent,33,4,10,62,77,1,187,331
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,178,Chatham-Kent,25,3,6,76,71,1,182,341
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,179,Chatham-Kent,21,6,7,71,43,0,148,245
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,180,Chatham-Kent,92,3,7,58,57,0,217,409
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,181,Chatham-Kent,79,5,4,50,75,0,213,383
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,182,Chatham-Kent,64,0,5,36,46,2,153,357
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,183,Chatham-Kent,77,4,8,47,41,0,177,368
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,184,Chatham-Kent,51,10,6,63,113,1,244,426
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,185,Chatham-Kent,90,5,9,59,49,1,213,375
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,186,Chatham-Kent,62,2,5,43,34,1,147,339
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,187,Chatham-Kent,36,0,7,59,38,0,140,265
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,188,Chatham-Kent,79,7,8,58,64,1,217,405
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,189,Chatham-Kent,57,2,6,69,94,1,229,402
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,190,Chatham-Kent,60,8,5,67,64,1,205,387
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,191,Chatham-Kent,46,6,5,60,74,4,195,356
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,192,Chatham-Kent,59,6,5,32,49,2,153,458
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,193,Chatham-Kent,113,7,11,60,62,4,257,607
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,194,Chatham-Kent,72,6,6,39,46,0,169,359
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,195,Chatham-Kent,84,2,4,35,45,0,170,323
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,196,Chatham-Kent,80,1,7,38,60,0,186,365
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,197,Chatham-Kent,71,3,5,30,25,0,134,305
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,198,Chatham-Kent,70,7,8,44,27,1,157,421
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,199,Chatham-Kent,54,0,4,42,51,0,151,295
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,200,Chatham-Kent,66,7,3,62,101,0,239,401
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,201,Walpole Island 46,35,1,2,5,86,0,129,385
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,202,Walpole Island 46,35,3,6,7,69,0,120,370
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,203,Chatham-Kent,20,7,6,50,49,0,132,263
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,204,Chatham-Kent,27,1,10,81,70,1,190,310
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,205,Chatham-Kent,29,1,1,76,76,2,185,333
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,206,Chatham-Kent,22,1,7,53,71,0,154,279
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,207,Chatham-Kent,16,1,4,88,79,1,189,284
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,208,Chatham-Kent,14,0,7,75,70,0,166,269
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,209,Chatham-Kent,22,1,10,58,106,0,197,317
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,210,Chatham-Kent,14,2,5,71,91,3,186,333
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,211,Chatham-Kent,28,0,5,64,99,1,197,311
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,500,Mobile poll/Bureau itinérant,6,2,2,25,42,3,80,158
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,600,Lambton Shores,32,3,10,207,138,0,390,
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,601,Forest (Lambton Shores),26,2,6,212,163,2,411,
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,602,North Middlesex,24,4,8,128,107,1,272,
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,603,Lucan,25,2,2,135,78,0,242,
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,604,Ilderton,54,1,10,231,148,2,446,
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,605,Caradoc (Mount Brydges),60,3,24,216,204,0,507,
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,606,Strathroy Caradoc,77,24,21,349,308,1,780,
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,607,Glencoe,27,2,3,148,133,0,313,
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,608,Watford,13,12,10,72,84,0,191,
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,609,Dresden,33,6,20,155,122,1,337,
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,610,Wallaceburg,123,10,13,148,165,2,461,
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,611,Thamesville,17,3,4,78,73,0,175,
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,612,Paincourt,12,0,0,70,87,0,169,
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,,Group 1/Groupe 1,6,1,7,30,20,2,66,150
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,,Group 2/Groupe 2,47,11,10,160,140,8,376,
