District,Poll Number,Poll Name,Greg Bonser,John Cannis,Greg Gogan,John Mihtis,Dorothy Sauras,Rejected Ballots,Total Vote,Electors
Scarborough Centre/Scarborough-Centre,18B,Scarborough,1,81,24,22,2,2,132,325
Scarborough Centre/Scarborough-Centre,19,Scarborough,1,34,8,13,0,0,56,101
Scarborough Centre/Scarborough-Centre,20A,Scarborough,5,91,22,38,0,3,159,308
Scarborough Centre/Scarborough-Centre,20B,Scarborough,2,73,17,24,0,2,118,231
Scarborough Centre/Scarborough-Centre,21,Scarborough,7,73,24,24,0,2,130,260
Scarborough Centre/Scarborough-Centre,22A,Scarborough,4,86,17,25,0,1,133,267
Scarborough Centre/Scarborough-Centre,22B,Scarborough,0,124,24,30,1,0,179,387
Scarborough Centre/Scarborough-Centre,23,Scarborough,5,124,29,61,0,0,219,351
Scarborough Centre/Scarborough-Centre,24A,Scarborough,7,98,14,34,0,0,153,247
Scarborough Centre/Scarborough-Centre,24B,Scarborough,4,63,18,28,0,0,113,194
Scarborough Centre/Scarborough-Centre,25,Scarborough,6,124,34,61,0,0,225,364
Scarborough Centre/Scarborough-Centre,26,Scarborough,4,118,28,48,2,2,202,359
Scarborough Centre/Scarborough-Centre,27,Scarborough,10,109,27,85,2,1,234,396
Scarborough Centre/Scarborough-Centre,28A,Scarborough,9,129,33,51,0,2,224,407
Scarborough Centre/Scarborough-Centre,28B,Scarborough,1,35,9,25,0,1,71,118
Scarborough Centre/Scarborough-Centre,29,Scarborough,3,115,24,54,0,1,197,331
Scarborough Centre/Scarborough-Centre,30,Scarborough,4,107,30,68,1,0,210,386
Scarborough Centre/Scarborough-Centre,31,Scarborough,8,131,35,38,1,4,217,343
Scarborough Centre/Scarborough-Centre,32,Scarborough,5,113,41,58,0,0,217,369
Scarborough Centre/Scarborough-Centre,33,Scarborough,2,110,26,60,1,0,199,321
Scarborough Centre/Scarborough-Centre,34,Scarborough,6,132,34,50,0,4,226,351
Scarborough Centre/Scarborough-Centre,35,Scarborough,6,125,35,45,0,0,211,350
Scarborough Centre/Scarborough-Centre,36A,Scarborough,5,70,13,25,0,0,113,208
Scarborough Centre/Scarborough-Centre,36B,Scarborough,1,101,13,26,1,2,144,239
Scarborough Centre/Scarborough-Centre,37,Scarborough,10,109,39,48,2,0,208,383
Scarborough Centre/Scarborough-Centre,38A,Scarborough,1,122,19,18,0,0,160,244
Scarborough Centre/Scarborough-Centre,38B,Scarborough,6,74,29,25,1,2,137,239
Scarborough Centre/Scarborough-Centre,39A,Scarborough,3,67,22,27,0,0,119,275
Scarborough Centre/Scarborough-Centre,39B,Scarborough,7,72,24,35,1,1,140,295
Scarborough Centre/Scarborough-Centre,40,Scarborough,9,92,34,63,1,0,199,337
Scarborough Centre/Scarborough-Centre,41,Scarborough,8,101,34,55,1,0,199,399
Scarborough Centre/Scarborough-Centre,42,Scarborough,9,132,34,58,0,0,233,432
Scarborough Centre/Scarborough-Centre,43,Scarborough,6,138,39,45,2,0,230,414
Scarborough Centre/Scarborough-Centre,44,Scarborough,2,93,27,33,1,0,156,287
Scarborough Centre/Scarborough-Centre,45,Scarborough,Merged with No. 44,,,,,,,2
Scarborough Centre/Scarborough-Centre,46,Scarborough,8,112,22,36,2,0,180,447
Scarborough Centre/Scarborough-Centre,47,Scarborough,6,56,23,22,0,0,107,280
Scarborough Centre/Scarborough-Centre,48,Scarborough,9,109,27,95,1,1,242,361
Scarborough Centre/Scarborough-Centre,49,Scarborough,4,144,38,64,2,1,253,406
Scarborough Centre/Scarborough-Centre,50,Scarborough,5,69,37,35,0,2,148,323
Scarborough Centre/Scarborough-Centre,51,Scarborough,14,109,41,76,2,1,243,372
Scarborough Centre/Scarborough-Centre,52,Scarborough,8,116,26,50,0,1,201,333
Scarborough Centre/Scarborough-Centre,53,Scarborough,6,92,49,56,0,1,204,423
Scarborough Centre/Scarborough-Centre,54,Scarborough,5,116,58,46,0,0,225,387
Scarborough Centre/Scarborough-Centre,55,Scarborough,2,117,42,64,0,1,226,393
Scarborough Centre/Scarborough-Centre,56A,Scarborough,5,73,57,10,0,0,145,349
Scarborough Centre/Scarborough-Centre,56B,Scarborough,1,47,27,9,0,0,84,274
Scarborough Centre/Scarborough-Centre,57,Scarborough,10,112,37,62,0,1,222,398
Scarborough Centre/Scarborough-Centre,58,Scarborough,5,77,37,60,2,0,181,288
Scarborough Centre/Scarborough-Centre,59,Scarborough,10,135,37,31,1,1,215,392
Scarborough Centre/Scarborough-Centre,60A,Scarborough,4,81,12,24,0,2,123,198
Scarborough Centre/Scarborough-Centre,60B,Scarborough,0,88,18,38,0,0,144,279
Scarborough Centre/Scarborough-Centre,61,Scarborough,2,78,24,33,1,1,139,285
Scarborough Centre/Scarborough-Centre,62,Scarborough,4,102,17,36,1,0,160,313
Scarborough Centre/Scarborough-Centre,63,Scarborough,10,145,37,51,2,1,246,413
Scarborough Centre/Scarborough-Centre,64A,Scarborough,4,78,34,38,0,0,154,225
Scarborough Centre/Scarborough-Centre,64B,Scarborough,4,73,33,25,1,0,136,216
Scarborough Centre/Scarborough-Centre,65,Scarborough,11,104,33,47,1,0,196,354
Scarborough Centre/Scarborough-Centre,66A,Scarborough,3,47,30,31,1,0,112,215
Scarborough Centre/Scarborough-Centre,66B,Scarborough,5,52,24,42,1,0,124,229
Scarborough Centre/Scarborough-Centre,67,Scarborough,3,47,38,43,0,0,131,344
Scarborough Centre/Scarborough-Centre,68,Scarborough,2,76,26,25,0,0,129,312
Scarborough Centre/Scarborough-Centre,69,Scarborough,6,103,34,39,0,1,183,311
Scarborough Centre/Scarborough-Centre,70,Scarborough,13,112,31,53,1,1,211,399
Scarborough Centre/Scarborough-Centre,71,Scarborough,8,121,45,65,2,2,243,397
Scarborough Centre/Scarborough-Centre,72,Scarborough,9,117,32,32,1,2,193,320
Scarborough Centre/Scarborough-Centre,73,Scarborough,5,89,31,26,0,0,151,434
Scarborough Centre/Scarborough-Centre,74,Scarborough,7,77,44,43,0,0,171,263
Scarborough Centre/Scarborough-Centre,75,Scarborough,2,156,37,66,2,3,266,415
Scarborough Centre/Scarborough-Centre,76,Scarborough,2,138,24,28,1,2,195,419
Scarborough Centre/Scarborough-Centre,77,Scarborough,9,129,37,41,0,0,216,379
Scarborough Centre/Scarborough-Centre,78,Scarborough,2,71,31,49,0,3,156,306
Scarborough Centre/Scarborough-Centre,79,Scarborough,2,51,23,34,0,0,110,284
Scarborough Centre/Scarborough-Centre,80,Scarborough,9,105,28,50,1,4,197,364
Scarborough Centre/Scarborough-Centre,81,Scarborough,10,124,42,53,0,1,230,371
Scarborough Centre/Scarborough-Centre,82A,Scarborough,1,76,14,26,1,0,118,222
Scarborough Centre/Scarborough-Centre,82B,Scarborough,0,57,15,18,1,0,91,220
Scarborough Centre/Scarborough-Centre,83A,Scarborough,5,93,28,34,1,0,161,240
Scarborough Centre/Scarborough-Centre,83B,Scarborough,2,99,20,31,0,0,152,229
Scarborough Centre/Scarborough-Centre,84,Scarborough,2,59,22,15,1,1,100,269
Scarborough Centre/Scarborough-Centre,85,Scarborough,3,83,25,38,0,1,150,332
Scarborough Centre/Scarborough-Centre,86A,Scarborough,3,55,17,14,0,0,89,322
Scarborough Centre/Scarborough-Centre,86B,Scarborough,1,62,23,20,0,0,106,349
Scarborough Centre/Scarborough-Centre,87A,Scarborough,4,59,13,12,0,1,89,236
Scarborough Centre/Scarborough-Centre,87B,Scarborough,3,72,21,18,0,1,115,255
Scarborough Centre/Scarborough-Centre,88,Scarborough,4,75,48,26,0,0,153,372
Scarborough Centre/Scarborough-Centre,89,Scarborough,7,80,26,62,0,2,177,313
Scarborough Centre/Scarborough-Centre,90A,Scarborough,2,77,13,23,2,2,119,205
Scarborough Centre/Scarborough-Centre,90B,Scarborough,4,104,23,25,2,3,161,263
Scarborough Centre/Scarborough-Centre,91,Scarborough,8,91,30,56,0,3,188,358
Scarborough Centre/Scarborough-Centre,92,Scarborough,5,112,39,78,1,1,236,350
Scarborough Centre/Scarborough-Centre,93,Scarborough,8,132,29,52,1,2,224,386
Scarborough Centre/Scarborough-Centre,94,Scarborough,5,73,36,24,0,0,138,349
Scarborough Centre/Scarborough-Centre,95,Scarborough,4,85,34,46,0,0,169,315
Scarborough Centre/Scarborough-Centre,96,Scarborough,5,114,34,41,2,0,196,375
Scarborough Centre/Scarborough-Centre,97,Scarborough,4,109,33,35,0,1,182,332
Scarborough Centre/Scarborough-Centre,98,Scarborough,10,103,29,40,1,1,184,288
Scarborough Centre/Scarborough-Centre,99,Scarborough,4,125,27,62,0,1,219,372
Scarborough Centre/Scarborough-Centre,100,Scarborough,5,119,42,54,0,0,220,394
Scarborough Centre/Scarborough-Centre,101,Scarborough,4,148,33,62,0,0,247,385
Scarborough Centre/Scarborough-Centre,102,Scarborough,6,117,36,44,1,2,206,387
Scarborough Centre/Scarborough-Centre,103,Scarborough,5,79,24,37,1,1,147,230
Scarborough Centre/Scarborough-Centre,104A,Scarborough,3,44,30,40,1,0,118,216
Scarborough Centre/Scarborough-Centre,104B,Scarborough,3,63,31,28,2,0,127,244
Scarborough Centre/Scarborough-Centre,105,Scarborough,5,145,27,58,2,0,237,401
Scarborough Centre/Scarborough-Centre,106,Scarborough,1,65,41,38,0,0,145,333
Scarborough Centre/Scarborough-Centre,107,Scarborough,2,93,41,39,2,2,179,347
Scarborough Centre/Scarborough-Centre,108,Scarborough,10,81,33,34,2,0,160,335
Scarborough Centre/Scarborough-Centre,109,Scarborough,1,80,23,29,1,1,135,199
Scarborough Centre/Scarborough-Centre,110,Scarborough,Void,,,,,,,
Scarborough Centre/Scarborough-Centre,111,Scarborough,1,114,21,15,1,0,152,316
Scarborough Centre/Scarborough-Centre,112,Scarborough,5,125,47,19,0,0,196,378
Scarborough Centre/Scarborough-Centre,113,Scarborough,5,108,26,41,2,2,184,303
Scarborough Centre/Scarborough-Centre,114,Scarborough,4,145,37,41,0,0,227,389
Scarborough Centre/Scarborough-Centre,115,Scarborough,5,102,35,57,3,0,202,383
Scarborough Centre/Scarborough-Centre,116,Scarborough,7,128,24,52,4,0,215,372
Scarborough Centre/Scarborough-Centre,117,Scarborough,7,95,39,16,0,2,159,422
Scarborough Centre/Scarborough-Centre,118,Scarborough,5,138,38,35,0,1,217,360
Scarborough Centre/Scarborough-Centre,119,Scarborough,2,75,23,26,1,0,127,338
Scarborough Centre/Scarborough-Centre,120,Scarborough,5,129,19,64,0,2,219,435
Scarborough Centre/Scarborough-Centre,121,Scarborough,4,112,22,41,1,1,181,417
Scarborough Centre/Scarborough-Centre,122,Scarborough,4,124,31,52,1,2,214,351
Scarborough Centre/Scarborough-Centre,123A,Scarborough,3,91,23,27,0,0,144,301
Scarborough Centre/Scarborough-Centre,123B,Scarborough,5,72,26,22,1,0,126,264
Scarborough Centre/Scarborough-Centre,124A,Scarborough,2,75,21,18,1,1,118,285
Scarborough Centre/Scarborough-Centre,124B,Scarborough,0,80,21,25,0,0,126,299
Scarborough Centre/Scarborough-Centre,125A,Scarborough,3,65,25,12,2,0,107,270
Scarborough Centre/Scarborough-Centre,125B,Scarborough,0,71,11,19,1,0,102,237
Scarborough Centre/Scarborough-Centre,126,Scarborough,4,122,33,55,0,5,219,387
Scarborough Centre/Scarborough-Centre,127,Scarborough,7,90,23,41,1,3,165,310
Scarborough Centre/Scarborough-Centre,128,Scarborough,3,91,15,49,1,0,159,297
Scarborough Centre/Scarborough-Centre,129,Scarborough,11,100,48,72,0,2,233,388
Scarborough Centre/Scarborough-Centre,130,Scarborough,7,107,48,67,0,1,230,411
Scarborough Centre/Scarborough-Centre,131,Scarborough,7,89,35,31,2,0,164,389
Scarborough Centre/Scarborough-Centre,132,Scarborough,5,81,26,36,0,0,148,364
Scarborough Centre/Scarborough-Centre,133,Scarborough,7,78,30,44,1,1,161,351
Scarborough Centre/Scarborough-Centre,134,Scarborough,7,97,22,47,0,0,173,347
Scarborough Centre/Scarborough-Centre,135,Scarborough,2,115,23,55,1,0,196,408
Scarborough Centre/Scarborough-Centre,136,Scarborough,7,118,36,37,1,1,200,385
Scarborough Centre/Scarborough-Centre,137,Scarborough,2,50,23,28,0,0,103,215
Scarborough Centre/Scarborough-Centre,138,Scarborough,9,128,26,47,0,0,210,371
Scarborough Centre/Scarborough-Centre,139,Scarborough,7,98,37,38,0,0,180,313
Scarborough Centre/Scarborough-Centre,140A,Scarborough,1,34,24,19,0,0,78,232
Scarborough Centre/Scarborough-Centre,140B,Scarborough,2,44,16,14,0,0,76,230
Scarborough Centre/Scarborough-Centre,141,Scarborough,1,80,26,49,0,0,156,284
Scarborough Centre/Scarborough-Centre,142,Scarborough,2,44,12,12,0,1,71,191
Scarborough Centre/Scarborough-Centre,143,Scarborough,6,98,23,56,0,0,183,328
Scarborough Centre/Scarborough-Centre,144,Scarborough,9,108,24,47,0,0,188,358
Scarborough Centre/Scarborough-Centre,145,Scarborough,2,76,19,31,1,0,129,340
Scarborough Centre/Scarborough-Centre,146A,Scarborough,1,49,12,31,2,1,96,212
Scarborough Centre/Scarborough-Centre,146B,Scarborough,1,59,20,33,1,0,114,255
Scarborough Centre/Scarborough-Centre,147A,Scarborough,6,29,25,23,2,2,87,279
Scarborough Centre/Scarborough-Centre,147B,Scarborough,1,43,15,31,0,0,90,250
Scarborough Centre/Scarborough-Centre,148,Scarborough,5,92,16,18,1,1,133,301
Scarborough Centre/Scarborough-Centre,149,Scarborough,1,53,21,3,1,0,79,243
Scarborough Centre/Scarborough-Centre,150,Scarborough,1,47,27,16,0,1,92,254
Scarborough Centre/Scarborough-Centre,151,Scarborough,5,105,29,39,2,2,182,337
Scarborough Centre/Scarborough-Centre,152,Scarborough,0,102,43,25,0,3,173,410
Scarborough Centre/Scarborough-Centre,153,Scarborough,2,160,29,26,0,4,221,426
Scarborough Centre/Scarborough-Centre,154,Scarborough,12,105,48,58,0,0,223,395
Scarborough Centre/Scarborough-Centre,155,Scarborough,5,154,32,65,2,0,258,415
Scarborough Centre/Scarborough-Centre,156,Scarborough,4,108,22,27,1,2,164,281
Scarborough Centre/Scarborough-Centre,157A,Scarborough,0,97,30,14,1,0,142,251
Scarborough Centre/Scarborough-Centre,157B,Scarborough,3,104,18,15,1,0,141,265
Scarborough Centre/Scarborough-Centre,158,Scarborough,4,76,32,36,0,0,148,314
Scarborough Centre/Scarborough-Centre,159A,Scarborough,2,70,19,17,0,1,109,236
Scarborough Centre/Scarborough-Centre,159B,Scarborough,0,79,27,12,1,0,119,258
Scarborough Centre/Scarborough-Centre,400,Scarborough,1,110,28,24,0,1,164,187
Scarborough Centre/Scarborough-Centre,401,Scarborough,Void,,,,,,,
Scarborough Centre/Scarborough-Centre,402,Scarborough,3,61,17,33,0,0,114,183
Scarborough Centre/Scarborough-Centre,403,Scarborough,0,17,6,5,1,2,31,141
Scarborough Centre/Scarborough-Centre,404,Scarborough,0,41,11,9,1,1,63,103
Scarborough Centre/Scarborough-Centre,405,Scarborough,6,104,50,29,1,4,194,355
Scarborough Centre/Scarborough-Centre,406,Scarborough,3,136,24,36,0,1,200,382
Scarborough Centre/Scarborough-Centre,407A,Scarborough,3,86,11,44,1,0,145,320
Scarborough Centre/Scarborough-Centre,407B,Scarborough,3,90,12,66,0,0,171,383
Scarborough Centre/Scarborough-Centre,408,Scarborough,6,105,17,37,1,0,166,374
Scarborough Centre/Scarborough-Centre,409A,Scarborough,2,33,12,17,1,1,66,191
Scarborough Centre/Scarborough-Centre,409B,Scarborough,1,61,9,15,0,0,86,248
Scarborough Centre/Scarborough-Centre,410,Scarborough,5,50,22,29,1,5,112,182
Scarborough Centre/Scarborough-Centre,411A,Scarborough,0,67,18,20,0,1,106,236
Scarborough Centre/Scarborough-Centre,411B,Scarborough,2,90,22,18,1,0,133,274
Scarborough Centre/Scarborough-Centre,412,Scarborough,Void,,,,,,,
Scarborough Centre/Scarborough-Centre,413,Scarborough,Void,,,,,,,
Scarborough Centre/Scarborough-Centre,414,Scarborough,Void,,,,,,,
Scarborough Centre/Scarborough-Centre,415,Scarborough,4,73,24,24,2,1,128,303
Scarborough Centre/Scarborough-Centre,416,Scarborough,2,70,27,30,0,1,130,285
Scarborough Centre/Scarborough-Centre,417,Scarborough,Void,,,,,,,
Scarborough Centre/Scarborough-Centre,418,Scarborough,3,23,11,12,2,0,51,168
Scarborough Centre/Scarborough-Centre,419,Scarborough,2,56,24,12,0,0,94,266
Scarborough Centre/Scarborough-Centre,420,Scarborough,4,50,22,10,2,0,88,213
Scarborough Centre/Scarborough-Centre,421,Scarborough,6,85,41,24,2,2,160,343
Scarborough Centre/Scarborough-Centre,500,Mobile poll/Bureau itinérant,2,14,6,6,0,2,30,52
Scarborough Centre/Scarborough-Centre,600,Toronto,7,131,25,70,0,1,234,
Scarborough Centre/Scarborough-Centre,601,Toronto,12,193,51,101,1,2,360,
Scarborough Centre/Scarborough-Centre,602,Toronto,7,156,53,101,0,1,318,
Scarborough Centre/Scarborough-Centre,603,Toronto,3,108,41,70,1,1,224,
Scarborough Centre/Scarborough-Centre,604,Toronto,3,56,17,35,0,0,111,
Scarborough Centre/Scarborough-Centre,605,Toronto,2,42,7,62,1,1,115,
Scarborough Centre/Scarborough-Centre,606,Toronto,9,147,30,120,0,1,307,
Scarborough Centre/Scarborough-Centre,607,Toronto,6,111,16,89,2,0,224,
Scarborough Centre/Scarborough-Centre,608,Toronto,8,158,65,89,1,0,321,
Scarborough Centre/Scarborough-Centre,,Group 1/Groupe 1,2,20,4,20,2,4,52,93
Scarborough Centre/Scarborough-Centre,,Group 2/Groupe 2,12,214,50,102,2,5,385,
