District,Poll Number,Poll Name,Len Carter,Frank Luellau,Lynn Myers,Kris Stapleton,Rejected Ballots,Total Vote,Electors
Kitchener--Conestoga/Kitchener--Conestoga,23,Woolwich,31,63,86,11,0,191,382
Kitchener--Conestoga/Kitchener--Conestoga,24,Woolwich,25,63,90,16,0,194,337
Kitchener--Conestoga/Kitchener--Conestoga,25,Woolwich,35,32,78,21,0,166,291
Kitchener--Conestoga/Kitchener--Conestoga,26,Woolwich,20,95,82,15,0,212,385
Kitchener--Conestoga/Kitchener--Conestoga,27,Woolwich,27,91,115,11,3,247,419
Kitchener--Conestoga/Kitchener--Conestoga,28,Woolwich,17,93,98,8,3,219,331
Kitchener--Conestoga/Kitchener--Conestoga,29,Woolwich,9,77,92,7,2,187,304
Kitchener--Conestoga/Kitchener--Conestoga,30,Woolwich,13,71,93,6,0,183,311
Kitchener--Conestoga/Kitchener--Conestoga,31,Woolwich,22,80,89,14,0,205,349
Kitchener--Conestoga/Kitchener--Conestoga,32,Woolwich,31,90,75,13,0,209,343
Kitchener--Conestoga/Kitchener--Conestoga,33,Woolwich,24,62,76,8,1,171,321
Kitchener--Conestoga/Kitchener--Conestoga,34,Woolwich,38,66,91,15,0,210,392
Kitchener--Conestoga/Kitchener--Conestoga,35,Woolwich,21,105,94,11,1,232,377
Kitchener--Conestoga/Kitchener--Conestoga,36,Woolwich,22,92,74,16,1,205,377
Kitchener--Conestoga/Kitchener--Conestoga,37,Wellesley,6,70,38,4,0,118,358
Kitchener--Conestoga/Kitchener--Conestoga,38,Wellesley,5,6,11,1,0,23,357
Kitchener--Conestoga/Kitchener--Conestoga,39,Wellesley,8,43,60,6,1,118,339
Kitchener--Conestoga/Kitchener--Conestoga,40,Wellesley,34,59,104,16,2,215,533
Kitchener--Conestoga/Kitchener--Conestoga,41,Wellesley,3,18,18,3,0,42,234
Kitchener--Conestoga/Kitchener--Conestoga,42,Wellesley,8,54,31,7,0,100,289
Kitchener--Conestoga/Kitchener--Conestoga,43,Wellesley,46,152,127,23,1,349,582
Kitchener--Conestoga/Kitchener--Conestoga,44,Wellesley,33,111,86,24,2,256,394
Kitchener--Conestoga/Kitchener--Conestoga,45,Wellesley,31,101,108,22,1,263,419
Kitchener--Conestoga/Kitchener--Conestoga,46,Wellesley,12,55,51,7,0,125,356
Kitchener--Conestoga/Kitchener--Conestoga,47,Wellesley,39,108,157,15,1,320,616
Kitchener--Conestoga/Kitchener--Conestoga,48,St. Clements,23,75,93,12,3,206,332
Kitchener--Conestoga/Kitchener--Conestoga,49,St. Clements,31,133,92,5,3,264,496
Kitchener--Conestoga/Kitchener--Conestoga,50,Wellesley,28,89,100,19,0,236,455
Kitchener--Conestoga/Kitchener--Conestoga,51,Wilmot,16,85,80,19,0,200,349
Kitchener--Conestoga/Kitchener--Conestoga,52,Wilmot,12,67,75,13,2,169,322
Kitchener--Conestoga/Kitchener--Conestoga,53,Wilmot,17,84,65,17,3,186,291
Kitchener--Conestoga/Kitchener--Conestoga,54,Wilmot,9,111,164,16,0,300,397
Kitchener--Conestoga/Kitchener--Conestoga,55,Wilmot,30,93,132,21,3,279,437
Kitchener--Conestoga/Kitchener--Conestoga,56,Wilmot,19,86,93,15,0,213,322
Kitchener--Conestoga/Kitchener--Conestoga,57,Wilmot,27,76,106,15,2,226,376
Kitchener--Conestoga/Kitchener--Conestoga,58,Wilmot,7,102,146,17,3,275,415
Kitchener--Conestoga/Kitchener--Conestoga,59,Wilmot,16,82,77,9,1,185,347
Kitchener--Conestoga/Kitchener--Conestoga,60,Baden,45,107,130,37,3,322,512
Kitchener--Conestoga/Kitchener--Conestoga,61,Baden,54,138,141,23,0,356,620
Kitchener--Conestoga/Kitchener--Conestoga,62,Baden,47,74,88,27,0,236,380
Kitchener--Conestoga/Kitchener--Conestoga,63,Wilmot,28,117,128,13,1,287,506
Kitchener--Conestoga/Kitchener--Conestoga,64,Wilmot,17,99,81,13,0,210,326
Kitchener--Conestoga/Kitchener--Conestoga,65,New Dundee,33,154,103,28,3,321,478
Kitchener--Conestoga/Kitchener--Conestoga,66,New Dundee,20,39,51,18,0,128,189
Kitchener--Conestoga/Kitchener--Conestoga,67,New Dundee,38,226,196,39,0,499,723
Kitchener--Conestoga/Kitchener--Conestoga,68,New Hamburg,45,77,84,17,0,223,384
Kitchener--Conestoga/Kitchener--Conestoga,69,Wilmot Centre,55,118,131,28,0,332,603
Kitchener--Conestoga/Kitchener--Conestoga,70,Wilmot Centre,26,49,62,31,2,170,336
Kitchener--Conestoga/Kitchener--Conestoga,71,New Hamburg,44,114,126,29,2,315,564
Kitchener--Conestoga/Kitchener--Conestoga,72,New Hamburg,19,73,98,25,0,215,345
Kitchener--Conestoga/Kitchener--Conestoga,73,New Hamburg,17,18,26,1,0,62,129
Kitchener--Conestoga/Kitchener--Conestoga,74,New Hamburg,14,63,77,12,0,166,343
Kitchener--Conestoga/Kitchener--Conestoga,75,New Hamburg,39,74,64,11,0,188,318
Kitchener--Conestoga/Kitchener--Conestoga,76,New Hamburg,42,66,89,25,0,222,406
Kitchener--Conestoga/Kitchener--Conestoga,77,New Hamburg,19,35,39,14,0,107,191
Kitchener--Conestoga/Kitchener--Conestoga,78,New Hamburg,46,118,119,29,0,312,561
Kitchener--Conestoga/Kitchener--Conestoga,79,New Hamburg,32,92,140,17,0,281,383
Kitchener--Conestoga/Kitchener--Conestoga,80,New Hamburg,9,62,88,8,2,169,242
Kitchener--Conestoga/Kitchener--Conestoga,81,Kitchener,70,135,160,19,3,387,777
Kitchener--Conestoga/Kitchener--Conestoga,82,Kitchener,94,119,149,21,0,383,829
Kitchener--Conestoga/Kitchener--Conestoga,83A,Kitchener,3,15,28,3,0,49,114
Kitchener--Conestoga/Kitchener--Conestoga,83B,Kitchener,5,7,21,0,0,33,81
Kitchener--Conestoga/Kitchener--Conestoga,83C,Kitchener,39,49,76,20,2,186,361
Kitchener--Conestoga/Kitchener--Conestoga,84,Kitchener,40,59,76,10,1,186,312
Kitchener--Conestoga/Kitchener--Conestoga,84-1,Kitchener,65,121,129,14,1,330,627
Kitchener--Conestoga/Kitchener--Conestoga,85,Kitchener,49,103,113,13,1,279,518
Kitchener--Conestoga/Kitchener--Conestoga,86,Kitchener,41,59,117,17,2,236,443
Kitchener--Conestoga/Kitchener--Conestoga,87,Kitchener,58,49,124,21,0,252,465
Kitchener--Conestoga/Kitchener--Conestoga,88,Kitchener,56,86,93,11,4,250,429
Kitchener--Conestoga/Kitchener--Conestoga,89,Kitchener,20,60,85,12,4,181,354
Kitchener--Conestoga/Kitchener--Conestoga,90,Kitchener,19,45,67,12,0,143,312
Kitchener--Conestoga/Kitchener--Conestoga,90-1,Kitchener,13,39,75,3,2,132,211
Kitchener--Conestoga/Kitchener--Conestoga,91,Kitchener,38,65,64,17,0,184,384
Kitchener--Conestoga/Kitchener--Conestoga,92,Kitchener,25,61,71,11,0,168,377
Kitchener--Conestoga/Kitchener--Conestoga,92-1,Kitchener,28,52,45,8,2,135,344
Kitchener--Conestoga/Kitchener--Conestoga,93,Kitchener,29,66,82,11,0,188,486
Kitchener--Conestoga/Kitchener--Conestoga,94,Kitchener,23,18,28,5,0,74,211
Kitchener--Conestoga/Kitchener--Conestoga,95,Kitchener,48,39,37,3,0,127,202
Kitchener--Conestoga/Kitchener--Conestoga,96,Kitchener,39,42,65,13,1,160,473
Kitchener--Conestoga/Kitchener--Conestoga,97,Kitchener,41,80,105,18,1,245,459
Kitchener--Conestoga/Kitchener--Conestoga,98,Kitchener,29,90,89,18,3,229,411
Kitchener--Conestoga/Kitchener--Conestoga,99,Kitchener,46,74,65,19,0,204,452
Kitchener--Conestoga/Kitchener--Conestoga,100,Kitchener,39,84,88,10,0,221,453
Kitchener--Conestoga/Kitchener--Conestoga,101,Kitchener,34,55,86,4,1,180,274
Kitchener--Conestoga/Kitchener--Conestoga,102,Kitchener,24,32,51,5,0,112,262
Kitchener--Conestoga/Kitchener--Conestoga,103,Kitchener,36,64,130,10,1,241,436
Kitchener--Conestoga/Kitchener--Conestoga,104,Kitchener,50,80,111,8,0,249,483
Kitchener--Conestoga/Kitchener--Conestoga,105,Kitchener,45,48,67,19,2,181,427
Kitchener--Conestoga/Kitchener--Conestoga,106,Kitchener,47,111,125,16,2,301,557
Kitchener--Conestoga/Kitchener--Conestoga,107,Kitchener,58,93,99,17,2,269,437
Kitchener--Conestoga/Kitchener--Conestoga,108,Kitchener,63,105,101,12,0,281,425
Kitchener--Conestoga/Kitchener--Conestoga,109,Kitchener,33,54,56,19,0,162,463
Kitchener--Conestoga/Kitchener--Conestoga,110,Kitchener,62,33,80,9,2,186,456
Kitchener--Conestoga/Kitchener--Conestoga,111,Kitchener,20,20,34,7,0,81,312
Kitchener--Conestoga/Kitchener--Conestoga,112,Kitchener,53,51,93,24,1,222,494
Kitchener--Conestoga/Kitchener--Conestoga,113,Kitchener,49,81,101,15,1,247,427
Kitchener--Conestoga/Kitchener--Conestoga,114,Kitchener,52,63,72,10,1,198,371
Kitchener--Conestoga/Kitchener--Conestoga,115,Kitchener,58,101,145,17,0,321,558
Kitchener--Conestoga/Kitchener--Conestoga,116,Kitchener,56,54,62,21,3,196,540
Kitchener--Conestoga/Kitchener--Conestoga,117,Kitchener,19,61,52,8,1,141,185
Kitchener--Conestoga/Kitchener--Conestoga,118,Kitchener,34,36,55,6,0,131,315
Kitchener--Conestoga/Kitchener--Conestoga,119,Kitchener,49,41,95,19,0,204,448
Kitchener--Conestoga/Kitchener--Conestoga,120,Kitchener,60,67,93,17,5,242,542
Kitchener--Conestoga/Kitchener--Conestoga,121,Kitchener,39,80,105,19,0,243,405
Kitchener--Conestoga/Kitchener--Conestoga,122,Kitchener,51,30,76,16,4,177,382
Kitchener--Conestoga/Kitchener--Conestoga,123,Kitchener,30,49,63,11,1,154,400
Kitchener--Conestoga/Kitchener--Conestoga,124,Kitchener,58,62,85,14,2,221,406
Kitchener--Conestoga/Kitchener--Conestoga,125,Kitchener,33,41,70,9,0,153,332
Kitchener--Conestoga/Kitchener--Conestoga,126,Kitchener,38,38,82,8,3,169,418
Kitchener--Conestoga/Kitchener--Conestoga,127,Kitchener,56,56,90,18,0,220,418
Kitchener--Conestoga/Kitchener--Conestoga,128,Kitchener,32,26,46,16,2,122,373
Kitchener--Conestoga/Kitchener--Conestoga,129,Kitchener,31,38,58,10,2,139,346
Kitchener--Conestoga/Kitchener--Conestoga,130,Kitchener,36,56,80,9,3,184,541
Kitchener--Conestoga/Kitchener--Conestoga,131,Kitchener,18,16,28,2,0,64,270
Kitchener--Conestoga/Kitchener--Conestoga,132,Kitchener,63,67,85,15,2,232,407
Kitchener--Conestoga/Kitchener--Conestoga,133,Kitchener,50,46,68,8,3,175,399
Kitchener--Conestoga/Kitchener--Conestoga,134,Kitchener,53,42,82,9,1,187,442
Kitchener--Conestoga/Kitchener--Conestoga,135,Kitchener,42,63,120,6,2,233,403
Kitchener--Conestoga/Kitchener--Conestoga,136,Kitchener,75,60,124,21,2,282,584
Kitchener--Conestoga/Kitchener--Conestoga,137,Kitchener,54,64,88,17,1,224,439
Kitchener--Conestoga/Kitchener--Conestoga,138,Kitchener,66,57,98,12,1,234,434
Kitchener--Conestoga/Kitchener--Conestoga,139,Kitchener,Void,,,,,,
Kitchener--Conestoga/Kitchener--Conestoga,140,Kitchener,59,81,111,17,1,269,556
Kitchener--Conestoga/Kitchener--Conestoga,141,Kitchener,42,71,116,17,3,249,421
Kitchener--Conestoga/Kitchener--Conestoga,142,Kitchener,52,93,114,20,2,281,481
Kitchener--Conestoga/Kitchener--Conestoga,143,Kitchener,57,101,121,10,2,291,580
Kitchener--Conestoga/Kitchener--Conestoga,144,Kitchener,62,52,122,10,0,246,463
Kitchener--Conestoga/Kitchener--Conestoga,145,Kitchener,52,89,123,14,1,279,437
Kitchener--Conestoga/Kitchener--Conestoga,146,Kitchener,35,76,102,15,0,228,461
Kitchener--Conestoga/Kitchener--Conestoga,147A,Kitchener,53,75,122,18,2,270,553
Kitchener--Conestoga/Kitchener--Conestoga,147B,Kitchener,45,97,114,13,4,273,493
Kitchener--Conestoga/Kitchener--Conestoga,148,Kitchener,33,129,124,26,1,313,464
Kitchener--Conestoga/Kitchener--Conestoga,149,Kitchener,56,84,114,13,0,267,443
Kitchener--Conestoga/Kitchener--Conestoga,150,Kitchener,24,73,84,19,1,201,330
Kitchener--Conestoga/Kitchener--Conestoga,151,Kitchener,43,61,102,20,1,227,442
Kitchener--Conestoga/Kitchener--Conestoga,152,Kitchener,51,67,75,5,0,198,373
Kitchener--Conestoga/Kitchener--Conestoga,153,Kitchener,61,86,112,17,2,278,452
Kitchener--Conestoga/Kitchener--Conestoga,154,Kitchener,37,78,125,29,3,272,494
Kitchener--Conestoga/Kitchener--Conestoga,155,Kitchener,30,63,52,12,1,158,262
Kitchener--Conestoga/Kitchener--Conestoga,156,Kitchener,25,40,48,13,1,127,247
Kitchener--Conestoga/Kitchener--Conestoga,157,Kitchener,42,74,108,13,1,238,357
Kitchener--Conestoga/Kitchener--Conestoga,158,Kitchener,49,69,72,22,0,212,462
Kitchener--Conestoga/Kitchener--Conestoga,159,Kitchener,48,38,54,12,2,154,305
Kitchener--Conestoga/Kitchener--Conestoga,160,Kitchener,17,67,60,5,0,149,257
Kitchener--Conestoga/Kitchener--Conestoga,161,Kitchener,23,124,175,10,1,333,648
Kitchener--Conestoga/Kitchener--Conestoga,162,Kitchener,29,110,202,11,2,354,550
Kitchener--Conestoga/Kitchener--Conestoga,162-1,Kitchener,26,50,49,5,0,130,184
Kitchener--Conestoga/Kitchener--Conestoga,163,Kitchener,61,127,180,30,1,399,662
Kitchener--Conestoga/Kitchener--Conestoga,164,Kitchener,18,22,25,5,0,70,215
Kitchener--Conestoga/Kitchener--Conestoga,165,Kitchener,46,70,91,13,0,220,398
Kitchener--Conestoga/Kitchener--Conestoga,166,Kitchener,35,33,37,16,0,121,269
Kitchener--Conestoga/Kitchener--Conestoga,167,Kitchener,31,44,54,17,1,147,328
Kitchener--Conestoga/Kitchener--Conestoga,168,Kitchener,53,82,118,31,2,286,561
Kitchener--Conestoga/Kitchener--Conestoga,169,Kitchener,34,45,75,15,0,169,398
Kitchener--Conestoga/Kitchener--Conestoga,170,Kitchener,23,225,274,21,2,545,826
Kitchener--Conestoga/Kitchener--Conestoga,171,Kitchener,13,99,97,12,2,223,349
Kitchener--Conestoga/Kitchener--Conestoga,400,Kitchener,37,44,65,8,1,155,258
Kitchener--Conestoga/Kitchener--Conestoga,401,Kitchener,28,44,69,15,0,156,303
Kitchener--Conestoga/Kitchener--Conestoga,402,Kitchener,48,28,67,19,1,163,362
Kitchener--Conestoga/Kitchener--Conestoga,500,Mobile poll/Bureau itinérant,4,17,34,1,3,59,125
Kitchener--Conestoga/Kitchener--Conestoga,501,Mobile poll/Bureau itinérant,7,20,48,5,3,83,199
Kitchener--Conestoga/Kitchener--Conestoga,600,Woolwich--Conestoga,20,157,148,18,1,344,
Kitchener--Conestoga/Kitchener--Conestoga,601,Elmira,49,240,202,24,0,515,
Kitchener--Conestoga/Kitchener--Conestoga,602,St. Clements,17,115,91,12,1,236,
Kitchener--Conestoga/Kitchener--Conestoga,603,Wilmot,27,214,153,33,0,427,
Kitchener--Conestoga/Kitchener--Conestoga,604,Wilmot,44,162,132,23,0,361,
Kitchener--Conestoga/Kitchener--Conestoga,605,Kitchener,77,164,165,21,1,428,
Kitchener--Conestoga/Kitchener--Conestoga,606,Kitchener,37,140,101,30,1,309,
Kitchener--Conestoga/Kitchener--Conestoga,607,Kitchener,70,140,101,12,0,323,
Kitchener--Conestoga/Kitchener--Conestoga,608,Floradale,95,316,258,27,1,697,
Kitchener--Conestoga/Kitchener--Conestoga,,Group 1/Groupe 1,3,24,22,6,4,59,138
Kitchener--Conestoga/Kitchener--Conestoga,,Group 2/Groupe 2,52,157,133,11,3,356,
