District,Poll Number,Poll Name,Malcolm Azania,Debby Carlson,Dave Dowling,Kevan Hunter,Rahim Jaffer,Cameron Wakefield,Rejected Ballots,Total Vote,Electors
Edmonton--Strathcona/Edmonton--Strathcona,180,Edmonton,60,66,4,0,65,16,0,211,453
Edmonton--Strathcona/Edmonton--Strathcona,181,Edmonton,74,60,7,0,92,19,1,253,375
Edmonton--Strathcona/Edmonton--Strathcona,182,Edmonton,61,53,7,0,84,18,0,223,383
Edmonton--Strathcona/Edmonton--Strathcona,183,Edmonton,31,28,5,0,67,4,1,136,367
Edmonton--Strathcona/Edmonton--Strathcona,184,Edmonton,36,63,1,0,85,16,0,201,364
Edmonton--Strathcona/Edmonton--Strathcona,185,Edmonton,57,89,1,2,93,16,0,258,356
Edmonton--Strathcona/Edmonton--Strathcona,186,Edmonton,41,57,3,0,61,15,4,181,361
Edmonton--Strathcona/Edmonton--Strathcona,187,Edmonton,33,55,4,1,92,15,0,200,324
Edmonton--Strathcona/Edmonton--Strathcona,188,Edmonton,39,56,5,1,90,13,0,204,327
Edmonton--Strathcona/Edmonton--Strathcona,189,Edmonton,38,64,1,4,104,20,0,231,427
Edmonton--Strathcona/Edmonton--Strathcona,190,Edmonton,25,59,1,1,118,7,0,211,355
Edmonton--Strathcona/Edmonton--Strathcona,191,Edmonton,19,29,5,1,56,10,0,120,393
Edmonton--Strathcona/Edmonton--Strathcona,192,Edmonton,28,32,2,1,98,14,1,176,307
Edmonton--Strathcona/Edmonton--Strathcona,193,Edmonton,33,27,4,0,77,12,0,153,314
Edmonton--Strathcona/Edmonton--Strathcona,194,Edmonton,30,38,3,0,74,12,1,158,308
Edmonton--Strathcona/Edmonton--Strathcona,195,Edmonton,25,35,4,1,85,7,1,158,304
Edmonton--Strathcona/Edmonton--Strathcona,400,Edmonton,1,4,1,0,9,0,0,15,29
Edmonton--Strathcona/Edmonton--Strathcona,401,Edmonton,10,49,0,0,88,5,2,154,212
Edmonton--Strathcona/Edmonton--Strathcona,402,Edmonton,4,0,0,0,2,1,0,7,16
Edmonton--Strathcona/Edmonton--Strathcona,403,Edmonton,23,17,0,0,16,6,0,62,147
Edmonton--Strathcona/Edmonton--Strathcona,404,Edmonton,32,39,0,0,40,13,0,124,253
Edmonton--Strathcona/Edmonton--Strathcona,405,Edmonton,21,28,1,0,24,6,0,80,139
Edmonton--Strathcona/Edmonton--Strathcona,406,Edmonton,42,46,0,0,33,3,0,124,197
Edmonton--Strathcona/Edmonton--Strathcona,407,Edmonton,2,6,0,2,6,2,0,18,30
Edmonton--Strathcona/Edmonton--Strathcona,500,Mobile poll/Bureau itinérant,11,32,4,2,61,3,0,113,174
