District,Poll Number,Poll Name,Phil Brown,Pierre Poilievre,Brad Powers,David Pratt,Chris Walker,Rejected Ballots,Total Vote,Electors
Nepean--Carleton/Nepean--Carleton,50,Nepean,16,142,4,115,7,2,286,444
Nepean--Carleton/Nepean--Carleton,51,Nepean,34,58,4,36,11,0,143,344
Nepean--Carleton/Nepean--Carleton,52,Nepean,33,79,2,107,15,1,237,431
Nepean--Carleton/Nepean--Carleton,53,Nepean,44,90,4,92,16,0,246,412
Nepean--Carleton/Nepean--Carleton,54,Nepean,37,95,6,94,14,0,246,405
Nepean--Carleton/Nepean--Carleton,55,Nepean,33,97,3,113,12,4,262,461
Nepean--Carleton/Nepean--Carleton,56,Nepean,23,60,1,84,8,0,176,343
Nepean--Carleton/Nepean--Carleton,57,Nepean,34,50,2,82,13,0,181,309
Nepean--Carleton/Nepean--Carleton,58,Nepean,22,123,2,138,8,1,294,484
Nepean--Carleton/Nepean--Carleton,59,Nepean,35,93,1,87,16,0,232,356
Nepean--Carleton/Nepean--Carleton,60,Nepean,50,66,3,81,18,1,219,346
Nepean--Carleton/Nepean--Carleton,61,Nepean,31,80,1,86,7,0,205,325
Nepean--Carleton/Nepean--Carleton,62,Nepean,Merged with No. 63,,,,,,,158
Nepean--Carleton/Nepean--Carleton,63,Nepean,24,152,3,143,18,0,340,339
Nepean--Carleton/Nepean--Carleton,64,Nepean,28,116,5,120,12,0,281,408
Nepean--Carleton/Nepean--Carleton,65,Nepean,25,112,3,162,8,0,310,415
Nepean--Carleton/Nepean--Carleton,66,Nepean,20,124,3,130,13,1,291,422
Nepean--Carleton/Nepean--Carleton,67,Nepean,16,93,3,172,10,0,294,442
Nepean--Carleton/Nepean--Carleton,68,Nepean,24,109,5,91,12,0,241,445
Nepean--Carleton/Nepean--Carleton,69A,Nepean,25,119,1,172,8,0,325,559
Nepean--Carleton/Nepean--Carleton,69B,Nepean,31,126,0,152,10,2,321,527
Nepean--Carleton/Nepean--Carleton,70A,Nepean,36,110,0,188,11,1,346,459
Nepean--Carleton/Nepean--Carleton,70B,Nepean,16,142,4,177,16,0,355,476
Nepean--Carleton/Nepean--Carleton,71A,Nepean,Merged with No. 70A,,,,,,,98
Nepean--Carleton/Nepean--Carleton,71B,Nepean,Merged with No. 70B,,,,,,,90
Nepean--Carleton/Nepean--Carleton,72,Nepean,40,109,2,141,2,1,295,442
Nepean--Carleton/Nepean--Carleton,73,Nepean,14,130,2,122,19,1,288,430
Nepean--Carleton/Nepean--Carleton,74,Nepean,30,135,4,127,7,2,305,486
Nepean--Carleton/Nepean--Carleton,75,Nepean,36,72,4,77,7,1,197,328
Nepean--Carleton/Nepean--Carleton,76,Nepean,Void,,,,,,,
Nepean--Carleton/Nepean--Carleton,77,Nepean,30,133,2,98,14,0,277,477
Nepean--Carleton/Nepean--Carleton,78,Nepean,14,100,3,170,8,2,297,479
Nepean--Carleton/Nepean--Carleton,79,Nepean,26,123,0,132,14,0,295,444
Nepean--Carleton/Nepean--Carleton,80,Nepean,36,120,0,116,6,0,278,431
Nepean--Carleton/Nepean--Carleton,81,Nepean,27,90,2,150,13,4,286,433
Nepean--Carleton/Nepean--Carleton,82,Nepean,24,138,1,196,10,2,371,571
Nepean--Carleton/Nepean--Carleton,83,Nepean,33,127,2,111,15,0,288,441
Nepean--Carleton/Nepean--Carleton,84,Nepean,42,147,3,165,18,1,376,596
Nepean--Carleton/Nepean--Carleton,85A,Nepean,21,108,1,134,5,0,269,432
Nepean--Carleton/Nepean--Carleton,85B,Nepean,27,118,1,136,9,1,292,439
Nepean--Carleton/Nepean--Carleton,86,Nepean,27,151,0,187,12,0,377,567
Nepean--Carleton/Nepean--Carleton,87,Nepean,8,88,1,130,8,1,236,382
Nepean--Carleton/Nepean--Carleton,88A,Nepean,33,141,1,192,21,2,390,533
Nepean--Carleton/Nepean--Carleton,88B,Nepean,34,120,2,136,14,0,306,459
Nepean--Carleton/Nepean--Carleton,89,Nepean,45,144,3,170,10,1,373,547
Nepean--Carleton/Nepean--Carleton,90,Nepean,11,76,2,126,9,2,226,353
Nepean--Carleton/Nepean--Carleton,91,Nepean,32,155,3,225,15,1,431,666
Nepean--Carleton/Nepean--Carleton,92,Nepean,23,161,3,149,13,1,350,555
Nepean--Carleton/Nepean--Carleton,93A,Nepean,21,148,2,213,9,0,393,614
Nepean--Carleton/Nepean--Carleton,93B,Nepean,29,120,2,189,13,0,353,551
Nepean--Carleton/Nepean--Carleton,94,Nepean,31,119,1,155,15,1,322,499
Nepean--Carleton/Nepean--Carleton,95,Nepean,18,96,0,130,4,1,249,351
Nepean--Carleton/Nepean--Carleton,96,Nepean,37,126,1,159,4,0,327,582
Nepean--Carleton/Nepean--Carleton,97,Nepean,27,105,2,176,11,0,321,483
Nepean--Carleton/Nepean--Carleton,98,Nepean,33,126,4,162,17,1,343,548
Nepean--Carleton/Nepean--Carleton,99,Nepean,19,98,2,95,8,2,224,358
Nepean--Carleton/Nepean--Carleton,100,Nepean,17,81,0,93,9,0,200,322
Nepean--Carleton/Nepean--Carleton,101,Nepean,36,126,1,180,5,4,352,572
Nepean--Carleton/Nepean--Carleton,102,Nepean,30,115,1,170,10,0,326,458
Nepean--Carleton/Nepean--Carleton,103,Nepean,28,87,2,145,14,1,277,421
Nepean--Carleton/Nepean--Carleton,104,Nepean,9,100,0,120,4,0,233,394
Nepean--Carleton/Nepean--Carleton,105,Nepean,20,103,0,152,5,1,281,392
Nepean--Carleton/Nepean--Carleton,106,Nepean,24,106,4,143,19,0,296,458
Nepean--Carleton/Nepean--Carleton,107,Nepean,26,95,2,121,20,1,265,419
Nepean--Carleton/Nepean--Carleton,108,Nepean,15,112,3,136,17,1,284,413
Nepean--Carleton/Nepean--Carleton,109,Nepean,21,78,7,66,13,0,185,335
Nepean--Carleton/Nepean--Carleton,110,Nepean,35,73,1,103,12,0,224,418
Nepean--Carleton/Nepean--Carleton,111,Nepean,29,77,6,88,11,2,213,397
Nepean--Carleton/Nepean--Carleton,112,Nepean,34,87,2,88,16,1,228,440
Nepean--Carleton/Nepean--Carleton,113,Nepean,22,106,2,94,8,0,232,409
Nepean--Carleton/Nepean--Carleton,114,Nepean,36,132,5,140,17,2,332,503
Nepean--Carleton/Nepean--Carleton,115,Nepean,27,95,1,80,18,3,224,358
Nepean--Carleton/Nepean--Carleton,116,Nepean,34,135,4,106,15,1,295,438
Nepean--Carleton/Nepean--Carleton,117,Nepean,32,111,2,91,9,1,246,421
Nepean--Carleton/Nepean--Carleton,118,Nepean,28,114,8,117,17,1,285,479
Nepean--Carleton/Nepean--Carleton,119,Nepean,19,145,2,192,8,0,366,492
Nepean--Carleton/Nepean--Carleton,120,Nepean,25,76,0,126,8,0,235,317
Nepean--Carleton/Nepean--Carleton,121,Nepean,20,93,2,117,7,0,239,342
Nepean--Carleton/Nepean--Carleton,122,Nepean,31,127,4,134,12,1,309,450
Nepean--Carleton/Nepean--Carleton,123,Nepean,22,143,4,184,10,1,364,504
Nepean--Carleton/Nepean--Carleton,124,Nepean,17,57,3,78,14,0,169,253
Nepean--Carleton/Nepean--Carleton,125,Nepean,18,131,4,165,7,0,325,427
Nepean--Carleton/Nepean--Carleton,126,Nepean,12,98,2,148,9,6,275,384
Nepean--Carleton/Nepean--Carleton,127,Nepean,23,80,1,103,10,0,217,337
Nepean--Carleton/Nepean--Carleton,128,Nepean,12,114,2,153,13,0,294,443
Nepean--Carleton/Nepean--Carleton,129,Nepean,14,78,2,145,10,0,249,363
Nepean--Carleton/Nepean--Carleton,130,Nepean,33,86,1,80,15,0,215,402
Nepean--Carleton/Nepean--Carleton,131,Nepean,25,109,1,117,5,0,257,435
Nepean--Carleton/Nepean--Carleton,132,Nepean,30,38,3,61,9,0,141,225
Nepean--Carleton/Nepean--Carleton,133,Nepean,30,90,2,110,10,0,242,395
Nepean--Carleton/Nepean--Carleton,134,Nepean,15,141,3,45,5,0,209,345
Nepean--Carleton/Nepean--Carleton,135,Nepean,10,92,1,76,10,0,189,332
Nepean--Carleton/Nepean--Carleton,136,Nepean,13,115,0,104,11,0,243,430
Nepean--Carleton/Nepean--Carleton,137A,Nepean,21,169,1,153,13,3,360,504
Nepean--Carleton/Nepean--Carleton,137B,Nepean,17,136,0,142,7,1,303,412
Nepean--Carleton/Nepean--Carleton,138,Gloucester,17,105,1,90,10,2,225,193
Nepean--Carleton/Nepean--Carleton,139,Gloucester,Merged with No. 138,,,,,,,157
Nepean--Carleton/Nepean--Carleton,140,Gloucester,36,227,3,235,16,2,519,702
Nepean--Carleton/Nepean--Carleton,141,Gloucester,53,175,3,176,18,4,429,582
Nepean--Carleton/Nepean--Carleton,142,Gloucester,29,219,2,225,16,5,496,674
Nepean--Carleton/Nepean--Carleton,143,Gloucester,30,157,4,129,16,3,339,457
Nepean--Carleton/Nepean--Carleton,144A,Gloucester,16,125,3,160,15,1,320,420
Nepean--Carleton/Nepean--Carleton,144B,Gloucester,26,146,2,129,13,1,317,446
Nepean--Carleton/Nepean--Carleton,145,Gloucester,11,106,2,105,12,0,236,349
Nepean--Carleton/Nepean--Carleton,146,Gloucester,21,111,1,70,7,0,210,351
Nepean--Carleton/Nepean--Carleton,147,Osgoode,29,219,2,194,35,1,480,760
Nepean--Carleton/Nepean--Carleton,148,Osgoode,16,224,3,155,22,0,420,711
Nepean--Carleton/Nepean--Carleton,149,Osgoode,30,179,5,91,12,0,317,447
Nepean--Carleton/Nepean--Carleton,150,Osgoode,14,194,1,111,10,0,330,535
Nepean--Carleton/Nepean--Carleton,151,Osgoode,19,105,3,40,20,0,187,333
Nepean--Carleton/Nepean--Carleton,152,Gloucester,42,198,2,148,20,0,410,657
Nepean--Carleton/Nepean--Carleton,153,Osgoode,23,142,5,67,14,0,251,440
Nepean--Carleton/Nepean--Carleton,154,Gloucester,31,128,5,61,12,2,239,446
Nepean--Carleton/Nepean--Carleton,155,Gloucester,34,104,3,71,10,1,223,388
Nepean--Carleton/Nepean--Carleton,156,Gloucester,Merged with No. 155,,,,,,,29
Nepean--Carleton/Nepean--Carleton,157A,Gloucester,16,75,3,41,8,0,143,253
Nepean--Carleton/Nepean--Carleton,157B,Mobile poll/Bureau itinérant,Merged with No. 500,,,,,,,43
Nepean--Carleton/Nepean--Carleton,158,Gloucester,27,126,1,91,16,0,261,436
Nepean--Carleton/Nepean--Carleton,159,Gloucester,21,95,5,55,10,2,188,275
Nepean--Carleton/Nepean--Carleton,160,Osgoode,22,137,6,86,10,1,262,370
Nepean--Carleton/Nepean--Carleton,161,Osgoode,20,166,2,102,23,0,313,470
Nepean--Carleton/Nepean--Carleton,162A,Osgoode,31,190,5,83,7,0,316,524
Nepean--Carleton/Nepean--Carleton,162B,Mobile poll/Bureau itinérant,Merged with No. 1B,,,,,,,35
Nepean--Carleton/Nepean--Carleton,163,Osgoode,38,180,2,81,20,0,321,470
Nepean--Carleton/Nepean--Carleton,164,Osgoode,27,112,3,74,12,2,230,362
Nepean--Carleton/Nepean--Carleton,165,Osgoode,41,177,2,115,19,5,359,521
Nepean--Carleton/Nepean--Carleton,166,Osgoode,17,142,5,54,10,0,228,369
Nepean--Carleton/Nepean--Carleton,167,Osgoode,15,155,1,76,6,0,253,425
Nepean--Carleton/Nepean--Carleton,168,Osgoode,17,96,1,48,14,0,176,316
Nepean--Carleton/Nepean--Carleton,169,Osgoode,24,138,6,139,16,1,324,444
Nepean--Carleton/Nepean--Carleton,170,Osgoode,27,178,2,130,17,1,355,574
Nepean--Carleton/Nepean--Carleton,171,Osgoode,13,85,1,59,8,0,166,236
Nepean--Carleton/Nepean--Carleton,172,Osgoode,16,97,5,52,14,0,184,255
Nepean--Carleton/Nepean--Carleton,173,Osgoode,24,174,4,117,12,1,332,517
Nepean--Carleton/Nepean--Carleton,174,Osgoode,35,200,4,73,19,1,332,525
Nepean--Carleton/Nepean--Carleton,175,Osgoode,20,127,4,63,7,0,221,361
Nepean--Carleton/Nepean--Carleton,176,Osgoode,22,216,3,76,15,1,333,439
Nepean--Carleton/Nepean--Carleton,177,Osgoode,30,144,3,78,16,2,273,396
Nepean--Carleton/Nepean--Carleton,178A,Osgoode,46,224,2,111,12,0,395,587
Nepean--Carleton/Nepean--Carleton,178B,Mobile poll/Bureau itinérant,Merged with No. 1B,,,,,,,58
Nepean--Carleton/Nepean--Carleton,179,Osgoode,27,200,5,90,13,0,335,478
Nepean--Carleton/Nepean--Carleton,180,Osgoode,23,167,1,76,13,0,280,413
Nepean--Carleton/Nepean--Carleton,181,Osgoode,25,186,5,106,22,0,344,588
Nepean--Carleton/Nepean--Carleton,182,Osgoode,42,173,3,93,11,2,324,536
Nepean--Carleton/Nepean--Carleton,183,Osgoode,40,181,6,90,23,0,340,452
Nepean--Carleton/Nepean--Carleton,184,Rideau,28,140,1,123,11,1,304,509
Nepean--Carleton/Nepean--Carleton,185,Rideau,13,113,0,102,14,1,243,428
Nepean--Carleton/Nepean--Carleton,186,Rideau,26,119,3,117,19,2,286,468
Nepean--Carleton/Nepean--Carleton,187,Rideau,20,115,2,115,17,0,269,458
Nepean--Carleton/Nepean--Carleton,188,Rideau,26,129,0,83,9,1,248,373
Nepean--Carleton/Nepean--Carleton,189,Rideau,17,177,0,120,15,1,330,495
Nepean--Carleton/Nepean--Carleton,190,Rideau,21,209,3,206,25,1,465,713
Nepean--Carleton/Nepean--Carleton,191,Rideau,9,105,4,47,7,1,173,302
Nepean--Carleton/Nepean--Carleton,192,Rideau,16,118,1,75,9,1,220,365
Nepean--Carleton/Nepean--Carleton,193,Rideau,9,101,2,65,10,1,188,270
Nepean--Carleton/Nepean--Carleton,194,Rideau,16,128,2,113,13,1,273,398
Nepean--Carleton/Nepean--Carleton,195,Rideau,12,102,1,65,3,0,183,275
Nepean--Carleton/Nepean--Carleton,196,Rideau,43,133,7,125,13,1,322,440
Nepean--Carleton/Nepean--Carleton,197,Rideau,21,115,0,65,9,0,210,343
Nepean--Carleton/Nepean--Carleton,198,Rideau,14,156,4,48,18,0,240,350
Nepean--Carleton/Nepean--Carleton,199,Rideau,24,139,0,63,9,1,236,364
Nepean--Carleton/Nepean--Carleton,200,Rideau,36,165,3,85,8,1,298,439
Nepean--Carleton/Nepean--Carleton,201,Rideau,27,213,3,114,20,4,381,548
Nepean--Carleton/Nepean--Carleton,202,Rideau,31,182,0,91,25,0,329,443
Nepean--Carleton/Nepean--Carleton,203,Rideau,20,173,7,71,17,1,289,444
Nepean--Carleton/Nepean--Carleton,204,Rideau,40,242,3,101,18,0,404,552
Nepean--Carleton/Nepean--Carleton,205,Rideau,16,102,1,69,12,0,200,289
Nepean--Carleton/Nepean--Carleton,206,Rideau,20,130,2,55,5,0,212,300
Nepean--Carleton/Nepean--Carleton,500,Mobile poll/Bureau itinérant,24,55,2,48,6,3,138,199
Nepean--Carleton/Nepean--Carleton,600,Nepean--Bells Corners,55,483,5,285,43,3,874,
Nepean--Carleton/Nepean--Carleton,601,Nepean,84,588,1,389,32,1,1095,
Nepean--Carleton/Nepean--Carleton,602,Nepean,65,511,4,358,32,0,970,
Nepean--Carleton/Nepean--Carleton,603,Nepean--Chapman Mills,68,425,3,314,17,2,829,
Nepean--Carleton/Nepean--Carleton,604,Nepean--Barrhaven,81,635,3,460,30,5,1214,
Nepean--Carleton/Nepean--Carleton,605,Nepean--Barrhaven,36,424,2,295,20,1,778,
Nepean--Carleton/Nepean--Carleton,606,Nepean--Longfields,37,242,1,209,15,3,507,
Nepean--Carleton/Nepean--Carleton,607,Gloucester South,30,323,5,148,16,0,522,
Nepean--Carleton/Nepean--Carleton,608,Osgoode--Greely,44,577,7,192,19,1,840,
Nepean--Carleton/Nepean--Carleton,609,Osgoode--Metcalfe,31,320,0,119,25,1,496,
Nepean--Carleton/Nepean--Carleton,610,Osgoode--Rideau,66,588,3,329,35,5,1026,
Nepean--Carleton/Nepean--Carleton,611,Rideau--North Gower,28,304,2,53,19,1,407,
Nepean--Carleton/Nepean--Carleton,,Group 1/Groupe 1,15,108,5,99,6,5,238,499
Nepean--Carleton/Nepean--Carleton,,Group 2/Groupe 2,49,268,2,235,26,13,593,
