District,Poll Number,Poll Name,Peter Adams,James Jackson,Linda Slavin,Brent Wood,Rejected Ballots,Total Vote,Electors
Peterborough/Peterborough,134,Peterborough,124,79,51,9,1,264,434
Peterborough/Peterborough,135,Peterborough,145,125,48,20,0,338,570
Peterborough/Peterborough,136,Peterborough,151,71,27,5,0,254,406
Peterborough/Peterborough,137,Peterborough,96,91,41,19,2,249,461
Peterborough/Peterborough,138,Peterborough,102,69,50,26,2,249,419
Peterborough/Peterborough,139,Peterborough,93,70,26,5,2,196,365
Peterborough/Peterborough,140,Peterborough,78,67,50,15,1,211,394
Peterborough/Peterborough,141,Peterborough,140,81,33,11,0,265,369
Peterborough/Peterborough,142,Peterborough,144,73,34,18,0,269,397
Peterborough/Peterborough,143,Peterborough,65,62,40,8,0,175,434
Peterborough/Peterborough,144,Peterborough,85,45,41,6,0,177,280
Peterborough/Peterborough,145,Peterborough,93,39,98,3,2,235,405
Peterborough/Peterborough,146,Peterborough,83,64,46,8,3,204,380
Peterborough/Peterborough,147,Peterborough,111,59,53,13,0,236,389
Peterborough/Peterborough,148,Peterborough,61,63,40,5,1,170,356
Peterborough/Peterborough,149,Peterborough,86,47,41,11,1,186,364
Peterborough/Peterborough,150,Peterborough,69,45,25,12,0,151,322
Peterborough/Peterborough,151,Peterborough,91,52,36,6,1,186,365
Peterborough/Peterborough,152,Peterborough,53,52,38,6,0,149,237
Peterborough/Peterborough,153,Peterborough,104,60,50,11,0,225,433
Peterborough/Peterborough,154A,Peterborough,133,79,33,6,2,253,374
Peterborough/Peterborough,154B,Peterborough,96,102,27,13,0,238,490
Peterborough/Peterborough,155A,Peterborough,81,63,24,7,1,176,374
Peterborough/Peterborough,155B,Peterborough,84,49,21,11,0,165,301
Peterborough/Peterborough,156,Peterborough,46,52,25,11,0,134,257
Peterborough/Peterborough,157,Peterborough,107,69,40,16,0,232,391
Peterborough/Peterborough,158,Peterborough,48,54,39,11,3,155,415
Peterborough/Peterborough,159,Peterborough,81,58,51,12,2,204,357
Peterborough/Peterborough,160,Peterborough,80,61,38,6,1,186,360
Peterborough/Peterborough,161,Peterborough,100,62,27,7,0,196,319
Peterborough/Peterborough,162,Peterborough,72,38,75,20,1,206,436
Peterborough/Peterborough,163,Peterborough,43,34,58,9,2,146,371
Peterborough/Peterborough,164,Peterborough,74,54,50,13,1,192,470
Peterborough/Peterborough,165,Peterborough,53,44,65,17,1,180,367
Peterborough/Peterborough,166,Peterborough,74,61,56,15,0,206,398
Peterborough/Peterborough,167,Peterborough,73,33,58,16,0,180,394
Peterborough/Peterborough,168,Peterborough,46,25,39,15,0,125,242
Peterborough/Peterborough,169,Peterborough,86,40,39,10,1,176,352
Peterborough/Peterborough,170,Peterborough,91,33,34,16,0,174,365
Peterborough/Peterborough,171,Peterborough,69,44,52,8,0,173,386
Peterborough/Peterborough,172,Peterborough,98,74,34,14,0,220,418
Peterborough/Peterborough,173,Peterborough,55,61,29,9,0,154,274
Peterborough/Peterborough,174,Peterborough,134,96,56,10,1,297,494
Peterborough/Peterborough,175,Peterborough,98,64,25,12,2,201,341
Peterborough/Peterborough,176,Peterborough,82,50,20,7,0,159,265
Peterborough/Peterborough,177,Peterborough,58,38,22,8,0,126,232
Peterborough/Peterborough,178,Peterborough,108,83,70,20,0,281,600
Peterborough/Peterborough,179A,Peterborough,67,55,39,7,1,169,324
Peterborough/Peterborough,179B,Peterborough,42,46,26,5,0,119,285
Peterborough/Peterborough,180,Peterborough,113,77,31,22,0,243,397
Peterborough/Peterborough,181,Peterborough,117,71,49,9,0,246,423
Peterborough/Peterborough,182,Peterborough,90,61,31,8,1,191,354
Peterborough/Peterborough,183,Peterborough,121,50,63,15,2,251,440
Peterborough/Peterborough,184,Peterborough,124,74,49,13,0,260,455
Peterborough/Peterborough,185,Peterborough,89,55,41,15,0,200,418
Peterborough/Peterborough,186,Peterborough,99,78,51,26,0,254,458
Peterborough/Peterborough,187,Peterborough,87,82,58,15,3,245,406
Peterborough/Peterborough,188,Peterborough,96,66,56,13,1,232,399
Peterborough/Peterborough,189,Peterborough,120,93,49,7,0,269,474
Peterborough/Peterborough,190,Peterborough,130,72,90,17,3,312,499
Peterborough/Peterborough,191,Peterborough,62,45,36,12,2,157,372
Peterborough/Peterborough,192,Cottesloe,57,62,30,5,0,154,245
Peterborough/Peterborough,193,Centre Dummer,50,71,30,17,0,168,343
Peterborough/Peterborough,194,Asphodel,112,131,54,15,0,312,564
Peterborough/Peterborough,195,Norwood,67,75,32,11,0,185,335
Peterborough/Peterborough,196,Norwood,66,71,29,10,1,177,308
Peterborough/Peterborough,197,Norwood,61,47,32,5,1,146,239
Peterborough/Peterborough,198,Norwood,33,28,23,2,0,86,149
Peterborough/Peterborough,199,Norwood,48,38,17,5,0,108,188
Peterborough/Peterborough,200,Asphodel,99,52,19,7,1,178,291
Peterborough/Peterborough,201,Asphodel,77,82,31,14,2,206,425
Peterborough/Peterborough,202,Asphodel,76,89,42,15,0,222,393
Peterborough/Peterborough,203A,Otonabee,81,94,31,10,0,216,410
Peterborough/Peterborough,203B,Otonabee,93,55,36,3,1,188,379
Peterborough/Peterborough,204,Otonabee,115,88,32,19,0,254,462
Peterborough/Peterborough,205,Otonabee,79,74,35,11,0,199,294
Peterborough/Peterborough,206,Otonabee,85,75,32,12,0,204,251
Peterborough/Peterborough,207,Otonabee,142,141,52,32,0,367,568
Peterborough/Peterborough,208,Otonabee,60,96,23,7,0,186,308
Peterborough/Peterborough,209,Otonabee,63,71,16,4,1,155,242
Peterborough/Peterborough,210,Otonabee,101,110,21,15,1,248,364
Peterborough/Peterborough,211,Hiawatha First Nation 36,90,61,56,7,1,215,321
Peterborough/Peterborough,212A,South Monaghan,69,104,32,19,1,225,381
Peterborough/Peterborough,212B,South Monaghan,56,54,33,11,0,154,300
Peterborough/Peterborough,213,Otonabee,148,131,82,19,3,383,562
Peterborough/Peterborough,214,Otonabee,94,109,28,12,0,243,337
Peterborough/Peterborough,215,South Monaghan,86,111,46,18,1,262,455
Peterborough/Peterborough,400,Peterborough,63,45,19,3,0,130,196
Peterborough/Peterborough,401,Peterborough,58,27,37,7,1,130,185
Peterborough/Peterborough,402,Peterborough,60,23,8,2,5,98,163
Peterborough/Peterborough,403,Peterborough,19,18,8,0,0,45,161
Peterborough/Peterborough,500,Mobile poll/Bureau itinérant,39,52,6,2,3,102,221
Peterborough/Peterborough,501,Mobile poll/Bureau itinérant,79,40,17,3,1,140,209
Peterborough/Peterborough,502,Mobile poll/Bureau itinérant,68,16,15,5,4,108,232
Peterborough/Peterborough,503,Mobile poll/Bureau itinérant,47,22,31,2,0,102,177
Peterborough/Peterborough,504,Mobile poll/Bureau itinérant,103,32,17,2,1,155,247
Peterborough/Peterborough,505,Mobile poll/Bureau itinérant,54,36,33,2,0,125,230
Peterborough/Peterborough,506,Mobile poll/Bureau itinérant,73,39,21,4,0,137,187
Peterborough/Peterborough,507,Mobile poll/Bureau itinérant,70,43,38,8,3,162,229
Peterborough/Peterborough,600,Havelock,91,195,47,11,0,344,
Peterborough/Peterborough,601,Lakefield,280,264,97,21,0,662,
Peterborough/Peterborough,602,Ennismore--Bridgenorth,226,273,80,18,0,597,
Peterborough/Peterborough,603,Peterborough,198,133,34,23,0,388,
Peterborough/Peterborough,604,Peterborough,217,167,89,22,0,495,
Peterborough/Peterborough,605,Peterborough,544,357,158,30,1,1090,
Peterborough/Peterborough,606,Peterborough,172,77,133,24,1,407,
Peterborough/Peterborough,607,Peterborough,317,249,120,28,4,718,
Peterborough/Peterborough,608,Peterborough,274,249,128,30,0,681,
Peterborough/Peterborough,609,Asphodel--Norwood,80,141,61,6,0,288,
Peterborough/Peterborough,610,Ontonabee--South Monaghan,66,86,21,16,0,189,
Peterborough/Peterborough,,Group 1/Groupe 1,42,49,16,9,3,119,283
Peterborough/Peterborough,,Group 2/Groupe 2,362,305,145,22,8,842,
