District,Poll Number,Poll Name,Michael Garfinkle,David Kilgour,Naomi Rankin,Paul Reikie,Tim Uppal,Rejected Ballots,Total Vote,Electors
Edmonton--Beaumont/Edmonton--Beaumont,42,Edmonton,19,67,0,9,43,1,139,263
Edmonton--Beaumont/Edmonton--Beaumont,43,Edmonton,16,142,1,23,112,1,295,463
Edmonton--Beaumont/Edmonton--Beaumont,44,Edmonton,6,64,0,6,54,0,130,271
Edmonton--Beaumont/Edmonton--Beaumont,45A,Edmonton,6,52,3,7,84,0,152,324
Edmonton--Beaumont/Edmonton--Beaumont,45B,Edmonton,7,74,0,19,60,0,160,323
Edmonton--Beaumont/Edmonton--Beaumont,46A,Edmonton,6,91,2,14,101,1,215,359
Edmonton--Beaumont/Edmonton--Beaumont,46B,Edmonton,15,86,1,21,116,2,241,393
Edmonton--Beaumont/Edmonton--Beaumont,47,Edmonton,21,65,0,26,99,0,211,391
Edmonton--Beaumont/Edmonton--Beaumont,48,Edmonton,Void,,,,,,,
Edmonton--Beaumont/Edmonton--Beaumont,49,Edmonton,15,100,1,27,113,1,257,480
Edmonton--Beaumont/Edmonton--Beaumont,50,Edmonton,15,129,0,29,98,0,271,470
Edmonton--Beaumont/Edmonton--Beaumont,51,Edmonton,13,117,1,28,105,0,264,547
Edmonton--Beaumont/Edmonton--Beaumont,52,Edmonton,11,88,4,32,112,0,247,378
Edmonton--Beaumont/Edmonton--Beaumont,53,Edmonton,8,95,1,18,96,0,218,446
Edmonton--Beaumont/Edmonton--Beaumont,54,Edmonton,13,74,4,33,115,1,240,441
Edmonton--Beaumont/Edmonton--Beaumont,55,Edmonton,12,103,2,25,87,1,230,459
Edmonton--Beaumont/Edmonton--Beaumont,56,Edmonton,10,97,1,21,110,1,240,482
Edmonton--Beaumont/Edmonton--Beaumont,57,Edmonton,18,86,0,25,63,0,192,408
Edmonton--Beaumont/Edmonton--Beaumont,58,Edmonton,15,131,0,24,113,0,283,561
Edmonton--Beaumont/Edmonton--Beaumont,59,Edmonton,13,99,0,22,111,0,245,448
Edmonton--Beaumont/Edmonton--Beaumont,60,Edmonton,4,168,0,18,63,1,254,436
Edmonton--Beaumont/Edmonton--Beaumont,61,Edmonton,8,89,0,27,81,0,205,377
Edmonton--Beaumont/Edmonton--Beaumont,62,Edmonton,6,93,1,22,101,2,225,441
Edmonton--Beaumont/Edmonton--Beaumont,63,Edmonton,8,131,0,21,77,2,239,386
Edmonton--Beaumont/Edmonton--Beaumont,64,Edmonton,8,117,0,11,83,0,219,346
Edmonton--Beaumont/Edmonton--Beaumont,65,Edmonton,9,85,0,9,75,0,178,354
Edmonton--Beaumont/Edmonton--Beaumont,66,Edmonton,2,104,0,11,63,2,182,372
Edmonton--Beaumont/Edmonton--Beaumont,67,Edmonton,11,128,0,17,75,5,236,452
Edmonton--Beaumont/Edmonton--Beaumont,68,Edmonton,10,85,3,18,73,2,191,446
Edmonton--Beaumont/Edmonton--Beaumont,69,Edmonton,7,124,0,15,43,2,191,311
Edmonton--Beaumont/Edmonton--Beaumont,70,Edmonton,12,124,0,29,78,2,245,478
Edmonton--Beaumont/Edmonton--Beaumont,71,Edmonton,13,106,0,16,96,1,232,437
Edmonton--Beaumont/Edmonton--Beaumont,72,Edmonton,3,100,0,15,66,1,185,337
Edmonton--Beaumont/Edmonton--Beaumont,73,Edmonton,9,158,2,22,87,0,278,472
Edmonton--Beaumont/Edmonton--Beaumont,74,Edmonton,7,177,0,10,83,0,277,475
Edmonton--Beaumont/Edmonton--Beaumont,75,Edmonton,9,138,0,18,109,0,274,463
Edmonton--Beaumont/Edmonton--Beaumont,76,Edmonton,3,96,0,17,72,0,188,326
Edmonton--Beaumont/Edmonton--Beaumont,77,Edmonton,6,97,0,5,77,1,186,337
Edmonton--Beaumont/Edmonton--Beaumont,78,Edmonton,19,44,0,14,53,0,130,290
Edmonton--Beaumont/Edmonton--Beaumont,79,Edmonton,8,70,0,24,67,0,169,400
Edmonton--Beaumont/Edmonton--Beaumont,80,Edmonton,6,37,0,13,65,0,121,290
Edmonton--Beaumont/Edmonton--Beaumont,81,Edmonton,13,56,0,31,85,0,185,408
Edmonton--Beaumont/Edmonton--Beaumont,82,Edmonton,16,103,1,29,69,0,218,434
Edmonton--Beaumont/Edmonton--Beaumont,83,Edmonton,2,168,0,7,90,1,268,473
Edmonton--Beaumont/Edmonton--Beaumont,84,Edmonton,11,102,1,9,95,2,220,377
Edmonton--Beaumont/Edmonton--Beaumont,85,Edmonton,11,69,1,21,74,1,177,358
Edmonton--Beaumont/Edmonton--Beaumont,86,Edmonton,9,77,1,29,92,1,209,441
Edmonton--Beaumont/Edmonton--Beaumont,87,Edmonton,4,59,0,12,53,0,128,280
Edmonton--Beaumont/Edmonton--Beaumont,88,Edmonton,9,79,0,12,88,3,191,344
Edmonton--Beaumont/Edmonton--Beaumont,89,Edmonton,7,129,0,15,100,0,251,507
Edmonton--Beaumont/Edmonton--Beaumont,90,Edmonton,2,145,0,14,95,6,262,517
Edmonton--Beaumont/Edmonton--Beaumont,91,Edmonton,4,113,0,16,122,2,257,471
Edmonton--Beaumont/Edmonton--Beaumont,92,Edmonton,6,135,0,11,92,0,244,437
Edmonton--Beaumont/Edmonton--Beaumont,93,Edmonton,7,166,0,29,83,1,286,489
Edmonton--Beaumont/Edmonton--Beaumont,94,Edmonton,10,81,0,17,90,0,198,358
Edmonton--Beaumont/Edmonton--Beaumont,95,Edmonton,9,120,1,17,105,0,252,431
Edmonton--Beaumont/Edmonton--Beaumont,96,Edmonton,12,157,1,25,109,0,304,440
Edmonton--Beaumont/Edmonton--Beaumont,97,Edmonton,10,142,1,14,108,1,276,424
Edmonton--Beaumont/Edmonton--Beaumont,98,Edmonton,2,93,0,17,69,1,182,338
Edmonton--Beaumont/Edmonton--Beaumont,99,Edmonton,10,70,1,30,122,0,233,396
Edmonton--Beaumont/Edmonton--Beaumont,100A,Edmonton,9,88,0,14,77,0,188,362
Edmonton--Beaumont/Edmonton--Beaumont,100B,Edmonton,9,53,0,10,71,2,145,313
Edmonton--Beaumont/Edmonton--Beaumont,100C,Edmonton,10,60,2,12,84,1,169,346
Edmonton--Beaumont/Edmonton--Beaumont,100D,Edmonton,7,57,0,23,74,1,162,335
Edmonton--Beaumont/Edmonton--Beaumont,101A,Edmonton,5,81,1,12,67,1,167,293
Edmonton--Beaumont/Edmonton--Beaumont,101B,Edmonton,8,83,0,16,80,0,187,331
Edmonton--Beaumont/Edmonton--Beaumont,101C,Edmonton,7,92,0,18,79,2,198,363
Edmonton--Beaumont/Edmonton--Beaumont,102,Edmonton,16,114,0,26,106,3,265,498
Edmonton--Beaumont/Edmonton--Beaumont,103,Edmonton,8,105,1,26,106,0,246,409
Edmonton--Beaumont/Edmonton--Beaumont,104,Edmonton,11,108,2,20,89,0,230,430
Edmonton--Beaumont/Edmonton--Beaumont,105,Edmonton,9,73,0,21,82,0,185,410
Edmonton--Beaumont/Edmonton--Beaumont,106,Edmonton,9,82,1,26,47,1,166,354
Edmonton--Beaumont/Edmonton--Beaumont,107,Edmonton,9,111,0,23,133,1,277,531
Edmonton--Beaumont/Edmonton--Beaumont,108,Edmonton,10,70,1,16,60,2,159,326
Edmonton--Beaumont/Edmonton--Beaumont,109,Edmonton,8,83,0,20,62,0,173,344
Edmonton--Beaumont/Edmonton--Beaumont,110,Edmonton,3,105,1,20,77,0,206,377
Edmonton--Beaumont/Edmonton--Beaumont,111,Edmonton,8,76,0,15,78,0,177,358
Edmonton--Beaumont/Edmonton--Beaumont,112,Edmonton,5,64,0,15,53,2,139,368
Edmonton--Beaumont/Edmonton--Beaumont,113,Edmonton,17,113,1,22,86,2,241,440
Edmonton--Beaumont/Edmonton--Beaumont,114,Edmonton,6,116,0,16,102,2,242,463
Edmonton--Beaumont/Edmonton--Beaumont,115,Edmonton,10,115,2,30,97,0,254,474
Edmonton--Beaumont/Edmonton--Beaumont,116,Edmonton,12,87,0,17,66,2,184,397
Edmonton--Beaumont/Edmonton--Beaumont,117,Edmonton,12,116,0,43,82,0,253,463
Edmonton--Beaumont/Edmonton--Beaumont,118,Edmonton,11,107,0,30,79,0,227,455
Edmonton--Beaumont/Edmonton--Beaumont,119,Edmonton,4,104,2,7,60,3,180,376
Edmonton--Beaumont/Edmonton--Beaumont,120,Edmonton,15,69,0,25,100,0,209,388
Edmonton--Beaumont/Edmonton--Beaumont,121,Edmonton,10,97,3,29,91,1,231,463
Edmonton--Beaumont/Edmonton--Beaumont,122,Edmonton,18,77,0,23,102,0,220,428
Edmonton--Beaumont/Edmonton--Beaumont,123,Edmonton,10,63,0,15,56,0,144,313
Edmonton--Beaumont/Edmonton--Beaumont,124,Edmonton,4,73,0,10,46,1,134,293
Edmonton--Beaumont/Edmonton--Beaumont,125,Edmonton,8,29,0,16,30,2,85,223
Edmonton--Beaumont/Edmonton--Beaumont,126,Edmonton,22,95,1,32,120,3,273,477
Edmonton--Beaumont/Edmonton--Beaumont,127,Edmonton,9,127,0,15,72,1,224,386
Edmonton--Beaumont/Edmonton--Beaumont,128,Edmonton,11,62,1,20,94,1,189,362
Edmonton--Beaumont/Edmonton--Beaumont,129,Edmonton,10,98,1,29,90,0,228,443
Edmonton--Beaumont/Edmonton--Beaumont,130A,Edmonton,6,72,1,17,118,0,214,379
Edmonton--Beaumont/Edmonton--Beaumont,130B,Edmonton,12,68,1,23,109,2,215,398
Edmonton--Beaumont/Edmonton--Beaumont,130C,Edmonton,7,93,1,19,93,1,214,418
Edmonton--Beaumont/Edmonton--Beaumont,131,Edmonton,11,84,1,35,126,0,257,453
Edmonton--Beaumont/Edmonton--Beaumont,132,Edmonton,8,122,2,33,92,1,258,448
Edmonton--Beaumont/Edmonton--Beaumont,133,Edmonton,18,61,0,25,70,0,174,441
Edmonton--Beaumont/Edmonton--Beaumont,134,Edmonton,10,129,1,30,142,0,312,530
Edmonton--Beaumont/Edmonton--Beaumont,135,Edmonton,14,74,0,17,69,0,174,305
Edmonton--Beaumont/Edmonton--Beaumont,136,Edmonton,14,84,1,26,129,0,254,439
Edmonton--Beaumont/Edmonton--Beaumont,137,Edmonton,12,94,4,23,129,1,263,441
Edmonton--Beaumont/Edmonton--Beaumont,138,Edmonton,17,97,0,12,112,0,238,424
Edmonton--Beaumont/Edmonton--Beaumont,139,Edmonton,4,84,1,20,64,2,175,343
Edmonton--Beaumont/Edmonton--Beaumont,140,Edmonton,14,73,0,25,81,0,193,343
Edmonton--Beaumont/Edmonton--Beaumont,141,Edmonton,7,94,1,15,86,0,203,412
Edmonton--Beaumont/Edmonton--Beaumont,142,Edmonton,14,96,0,30,70,1,211,368
Edmonton--Beaumont/Edmonton--Beaumont,143,Edmonton,5,105,3,30,63,3,209,433
Edmonton--Beaumont/Edmonton--Beaumont,144,Edmonton,15,85,0,35,78,1,214,466
Edmonton--Beaumont/Edmonton--Beaumont,145,Edmonton,13,91,0,31,78,3,216,402
Edmonton--Beaumont/Edmonton--Beaumont,146,Edmonton,17,98,1,39,100,0,255,474
Edmonton--Beaumont/Edmonton--Beaumont,147,Edmonton,5,72,0,29,58,1,165,307
Edmonton--Beaumont/Edmonton--Beaumont,148,Edmonton,4,76,1,31,83,0,195,379
Edmonton--Beaumont/Edmonton--Beaumont,149,Edmonton,9,81,0,18,128,1,237,418
Edmonton--Beaumont/Edmonton--Beaumont,150,Edmonton,8,77,1,19,96,1,202,366
Edmonton--Beaumont/Edmonton--Beaumont,151,Edmonton,19,102,0,32,105,2,260,421
Edmonton--Beaumont/Edmonton--Beaumont,152,Edmonton,8,61,1,10,113,0,193,359
Edmonton--Beaumont/Edmonton--Beaumont,153,Nisku,5,32,0,9,107,2,155,220
Edmonton--Beaumont/Edmonton--Beaumont,154,Beaumont,8,33,0,8,65,0,114,164
Edmonton--Beaumont/Edmonton--Beaumont,155A,Beaumont,13,57,0,8,113,2,193,323
Edmonton--Beaumont/Edmonton--Beaumont,155B,Beaumont,12,54,0,12,115,0,193,329
Edmonton--Beaumont/Edmonton--Beaumont,155C,Beaumont,8,51,1,13,118,0,191,277
Edmonton--Beaumont/Edmonton--Beaumont,156,Beaumont,21,109,2,23,124,0,279,473
Edmonton--Beaumont/Edmonton--Beaumont,157,Beaumont,9,43,1,21,106,0,180,342
Edmonton--Beaumont/Edmonton--Beaumont,158,Beaumont,14,83,2,25,119,2,245,427
Edmonton--Beaumont/Edmonton--Beaumont,159,Beaumont,13,64,1,18,90,0,186,366
Edmonton--Beaumont/Edmonton--Beaumont,160A,Beaumont,11,36,0,14,85,1,147,271
Edmonton--Beaumont/Edmonton--Beaumont,160B,Beaumont,15,26,0,20,81,0,142,251
Edmonton--Beaumont/Edmonton--Beaumont,161,Beaumont,6,51,0,21,89,0,167,305
Edmonton--Beaumont/Edmonton--Beaumont,162A,Beaumont,7,51,0,21,80,0,159,295
Edmonton--Beaumont/Edmonton--Beaumont,162B,Beaumont,10,34,0,21,96,1,162,312
Edmonton--Beaumont/Edmonton--Beaumont,163,Beaumont,10,51,0,35,129,2,227,412
Edmonton--Beaumont/Edmonton--Beaumont,164,Beaumont,15,76,2,16,143,1,253,450
Edmonton--Beaumont/Edmonton--Beaumont,165,Beaumont,10,42,1,16,128,0,197,395
Edmonton--Beaumont/Edmonton--Beaumont,500,Mobile poll/Bureau itinérant,5,52,1,5,68,5,136,209
Edmonton--Beaumont/Edmonton--Beaumont,600,Edmonton,9,217,5,28,184,1,444,
Edmonton--Beaumont/Edmonton--Beaumont,601,Edmonton,10,105,1,22,153,3,294,
Edmonton--Beaumont/Edmonton--Beaumont,602,Edmonton,14,180,0,39,189,0,422,
Edmonton--Beaumont/Edmonton--Beaumont,603,Edmonton,13,373,0,33,418,13,850,
Edmonton--Beaumont/Edmonton--Beaumont,604,Edmonton,15,210,1,37,296,5,564,
Edmonton--Beaumont/Edmonton--Beaumont,605,Edmonton,12,192,1,41,241,1,488,
Edmonton--Beaumont/Edmonton--Beaumont,606,Beaumont--Leduc County,18,93,0,21,226,0,358,
Edmonton--Beaumont/Edmonton--Beaumont,,Group 1/Groupe 1,6,39,2,9,31,3,90,143
Edmonton--Beaumont/Edmonton--Beaumont,,Group 2/Groupe 2,40,333,3,94,446,2,918,
