District,Poll Number,Poll Name,Garry Breitkreuz,Don Olson,Ralph Pilchner,Ted Quewezance,David Sawkiw,Rejected Ballots,Total Vote,Electors
Yorkton--Melville/Yorkton--Melville,54,Foam Lake,142,33,0,19,3,0,197,302
Yorkton--Melville/Yorkton--Melville,55,Foam Lake,104,38,2,24,2,1,171,288
Yorkton--Melville/Yorkton--Melville,56,Foam Lake,67,35,0,20,2,2,126,231
Yorkton--Melville/Yorkton--Melville,57,Foam Lake,145,46,5,30,3,0,229,482
Yorkton--Melville/Yorkton--Melville,58,Foam Lake,58,15,2,12,3,0,90,168
Yorkton--Melville/Yorkton--Melville,59,Invermay,82,9,2,8,8,1,110,144
Yorkton--Melville/Yorkton--Melville,60,Invermay,95,11,1,24,3,0,134,225
Yorkton--Melville/Yorkton--Melville,61,Rama,113,15,2,11,1,0,142,211
Yorkton--Melville/Yorkton--Melville,62,Sheho,103,14,3,25,4,1,150,237
Yorkton--Melville/Yorkton--Melville,63,Sheho,55,4,4,22,5,1,91,132
Yorkton--Melville/Yorkton--Melville,64,Theodore,64,13,2,4,3,2,88,124
Yorkton--Melville/Yorkton--Melville,65,Theodore,137,39,5,21,1,1,204,342
Yorkton--Melville/Yorkton--Melville,66,Buchanan,72,22,8,12,4,1,119,219
Yorkton--Melville/Yorkton--Melville,67,Buchanan,66,22,3,19,2,0,112,213
Yorkton--Melville/Yorkton--Melville,68,Canora,123,35,2,13,1,0,174,278
Yorkton--Melville/Yorkton--Melville,69,Canora,94,29,4,14,2,0,143,269
Yorkton--Melville/Yorkton--Melville,70,Canora,78,32,2,18,7,2,139,220
Yorkton--Melville/Yorkton--Melville,71,Canora,105,37,4,25,3,0,174,280
Yorkton--Melville/Yorkton--Melville,72,Canora,154,35,4,13,6,1,213,376
Yorkton--Melville/Yorkton--Melville,73,Canora,136,64,6,26,7,2,241,620
Yorkton--Melville/Yorkton--Melville,74,Canora,128,22,2,10,5,0,167,261
Yorkton--Melville/Yorkton--Melville,75,Veregin,105,53,7,17,3,1,186,271
Yorkton--Melville/Yorkton--Melville,76,Rhein,156,34,3,17,1,1,212,351
Yorkton--Melville/Yorkton--Melville,77,Keeseekoose 66,7,8,0,123,0,0,138,233
Yorkton--Melville/Yorkton--Melville,78,Kamsack (Cote 64),4,2,0,139,0,1,146,467
Yorkton--Melville/Yorkton--Melville,79,Kamsack,151,41,8,23,1,1,225,340
Yorkton--Melville/Yorkton--Melville,80,Kamsack,74,30,5,25,1,1,136,267
Yorkton--Melville/Yorkton--Melville,81,Kamsack,60,23,1,25,1,0,110,181
Yorkton--Melville/Yorkton--Melville,82,Kamsack,117,69,1,37,4,0,228,614
Yorkton--Melville/Yorkton--Melville,83,Kamsack,49,38,1,9,3,0,100,196
Yorkton--Melville/Yorkton--Melville,84,Kamsack,89,54,3,25,1,1,173,350
Yorkton--Melville/Yorkton--Melville,85,Togo,94,22,3,25,1,0,145,240
Yorkton--Melville/Yorkton--Melville,86,Jedburgh,118,15,0,13,2,0,148,218
Yorkton--Melville/Yorkton--Melville,87,Springside,167,23,3,26,0,0,219,309
Yorkton--Melville/Yorkton--Melville,88,Springside,206,31,6,28,4,1,276,437
Yorkton--Melville/Yorkton--Melville,89,Willowbrook,79,9,1,8,2,0,99,176
Yorkton--Melville/Yorkton--Melville,90,Yorkton,93,5,6,11,2,0,117,227
Yorkton--Melville/Yorkton--Melville,91,Ebenezer,115,21,3,9,2,0,150,233
Yorkton--Melville/Yorkton--Melville,92,Yorkton,172,38,2,26,3,0,241,401
Yorkton--Melville/Yorkton--Melville,93,Yorkton,150,28,6,33,0,0,217,338
Yorkton--Melville/Yorkton--Melville,94,Otthon,122,4,1,20,0,0,147,216
Yorkton--Melville/Yorkton--Melville,95,Yorkton,88,14,3,18,2,1,126,283
Yorkton--Melville/Yorkton--Melville,96,Yorkton,102,38,3,34,1,1,179,381
Yorkton--Melville/Yorkton--Melville,97,Yorkton,108,30,3,30,7,1,179,394
Yorkton--Melville/Yorkton--Melville,98,Yorkton,88,37,5,19,2,1,152,364
Yorkton--Melville/Yorkton--Melville,99,Yorkton,71,33,3,19,4,2,132,351
Yorkton--Melville/Yorkton--Melville,100,Yorkton,57,27,0,18,1,1,104,289
Yorkton--Melville/Yorkton--Melville,101,Yorkton,148,36,4,29,5,1,223,441
Yorkton--Melville/Yorkton--Melville,102,Yorkton,113,51,2,37,1,0,204,425
Yorkton--Melville/Yorkton--Melville,103,Yorkton,65,17,6,28,2,0,118,319
Yorkton--Melville/Yorkton--Melville,104,Yorkton,92,44,8,47,2,1,194,390
Yorkton--Melville/Yorkton--Melville,105,Yorkton,134,36,8,48,3,3,232,396
Yorkton--Melville/Yorkton--Melville,106,Yorkton,170,65,6,50,3,3,297,582
Yorkton--Melville/Yorkton--Melville,107,Yorkton,168,42,3,49,2,2,266,503
Yorkton--Melville/Yorkton--Melville,108A,Yorkton,202,34,6,26,1,0,269,475
Yorkton--Melville/Yorkton--Melville,108B,Yorkton,212,62,4,39,0,1,318,496
Yorkton--Melville/Yorkton--Melville,109,Yorkton,142,57,5,28,0,1,233,424
Yorkton--Melville/Yorkton--Melville,110,Yorkton,140,34,2,33,2,0,211,378
Yorkton--Melville/Yorkton--Melville,111,Yorkton,101,21,2,41,3,0,168,307
Yorkton--Melville/Yorkton--Melville,112,Yorkton,135,41,5,43,3,0,227,376
Yorkton--Melville/Yorkton--Melville,113,Yorkton,152,39,6,47,0,0,244,373
Yorkton--Melville/Yorkton--Melville,114,Yorkton,67,24,5,31,0,0,127,345
Yorkton--Melville/Yorkton--Melville,115,Yorkton,90,34,4,32,3,0,163,324
Yorkton--Melville/Yorkton--Melville,116,Yorkton,66,26,1,28,2,0,123,288
Yorkton--Melville/Yorkton--Melville,117,Yorkton,38,13,2,24,1,0,78,330
Yorkton--Melville/Yorkton--Melville,118,Yorkton,150,23,3,31,1,0,208,400
Yorkton--Melville/Yorkton--Melville,119,Yorkton,139,54,8,34,1,0,236,482
Yorkton--Melville/Yorkton--Melville,120,Yorkton,82,20,4,25,9,0,140,341
Yorkton--Melville/Yorkton--Melville,121,Yorkton,112,52,5,38,2,1,210,449
Yorkton--Melville/Yorkton--Melville,122,Yorkton,83,33,8,38,0,3,165,443
Yorkton--Melville/Yorkton--Melville,123,Yorkton,90,35,7,42,5,2,181,337
Yorkton--Melville/Yorkton--Melville,124,Yorkton,93,29,3,27,2,0,154,377
Yorkton--Melville/Yorkton--Melville,125,Tonkin,148,21,3,15,4,0,191,265
Yorkton--Melville/Yorkton--Melville,126,Wroxton,127,24,1,10,4,0,166,245
Yorkton--Melville/Yorkton--Melville,127,Calder,91,33,2,13,1,0,140,233
Yorkton--Melville/Yorkton--Melville,128,Saltcoats,131,12,0,14,2,3,162,265
Yorkton--Melville/Yorkton--Melville,129,Saltcoats,152,27,3,26,2,2,212,408
Yorkton--Melville/Yorkton--Melville,130,Bredenbury,107,6,0,11,1,0,125,219
Yorkton--Melville/Yorkton--Melville,131,Bredenbury,137,6,1,16,2,0,162,287
Yorkton--Melville/Yorkton--Melville,132,Churchbridge,117,15,2,5,5,0,144,187
Yorkton--Melville/Yorkton--Melville,133,Churchbridge,84,32,4,20,2,1,143,209
Yorkton--Melville/Yorkton--Melville,134,Churchbridge,145,52,6,35,1,0,239,407
Yorkton--Melville/Yorkton--Melville,135,MacNutt,117,9,1,8,2,2,139,239
Yorkton--Melville/Yorkton--Melville,136,Goodeve,71,14,2,18,5,0,110,179
Yorkton--Melville/Yorkton--Melville,137,Fenwood,100,24,2,7,0,0,133,201
Yorkton--Melville/Yorkton--Melville,138,Duff,89,18,1,17,7,0,132,214
Yorkton--Melville/Yorkton--Melville,139,Melville,139,27,6,32,4,0,208,336
Yorkton--Melville/Yorkton--Melville,140,Lemberg,178,24,6,35,1,0,244,374
Yorkton--Melville/Yorkton--Melville,141,Neudorf,159,51,4,22,1,0,237,351
Yorkton--Melville/Yorkton--Melville,142,Melville,98,25,3,16,1,4,147,257
Yorkton--Melville/Yorkton--Melville,143,Melville,49,13,1,13,2,0,78,152
Yorkton--Melville/Yorkton--Melville,144,Melville,116,46,3,38,3,3,209,301
Yorkton--Melville/Yorkton--Melville,145,Melville,80,32,2,28,1,2,145,243
Yorkton--Melville/Yorkton--Melville,146,Melville,61,26,3,12,3,0,105,187
Yorkton--Melville/Yorkton--Melville,147,Melville,105,25,4,39,1,4,178,289
Yorkton--Melville/Yorkton--Melville,148,Melville,147,85,8,59,4,0,303,866
Yorkton--Melville/Yorkton--Melville,149,Melville,65,37,4,29,3,0,138,335
Yorkton--Melville/Yorkton--Melville,150,Melville,104,34,3,50,4,0,195,309
Yorkton--Melville/Yorkton--Melville,151,Melville,86,39,5,23,3,0,156,288
Yorkton--Melville/Yorkton--Melville,152,Melville,68,22,0,26,1,0,117,230
Yorkton--Melville/Yorkton--Melville,153,Killaly,93,34,2,29,5,0,163,217
Yorkton--Melville/Yorkton--Melville,154,Grayson,181,24,3,28,2,1,239,338
Yorkton--Melville/Yorkton--Melville,155,Waldron,77,20,1,12,3,0,113,172
Yorkton--Melville/Yorkton--Melville,156,Dubuc,70,13,2,19,2,0,106,152
Yorkton--Melville/Yorkton--Melville,157,Atwater,86,19,4,23,5,0,137,224
Yorkton--Melville/Yorkton--Melville,158,Stockholm,111,16,4,12,5,0,148,199
Yorkton--Melville/Yorkton--Melville,159,Stockholm,105,37,2,24,2,0,170,279
Yorkton--Melville/Yorkton--Melville,160,Esterhazy,121,17,2,13,1,0,154,222
Yorkton--Melville/Yorkton--Melville,161,Esterhazy,80,26,3,15,2,0,126,235
Yorkton--Melville/Yorkton--Melville,162,Esterhazy,56,31,0,35,0,1,123,183
Yorkton--Melville/Yorkton--Melville,163,Esterhazy,139,25,6,14,3,0,187,277
Yorkton--Melville/Yorkton--Melville,164,Esterhazy,77,34,4,35,0,1,151,274
Yorkton--Melville/Yorkton--Melville,165,Esterhazy,217,56,11,53,2,1,340,736
Yorkton--Melville/Yorkton--Melville,166,Esterhazy,74,37,1,16,4,1,133,253
Yorkton--Melville/Yorkton--Melville,167,Yarbo,93,19,0,18,2,0,132,184
Yorkton--Melville/Yorkton--Melville,168,Langenburg,113,22,3,22,1,1,162,221
Yorkton--Melville/Yorkton--Melville,169,Langenburg,76,21,2,16,4,1,120,295
Yorkton--Melville/Yorkton--Melville,170,Langenburg,119,28,2,33,6,0,188,295
Yorkton--Melville/Yorkton--Melville,171,Langenburg,125,31,2,33,6,1,198,304
Yorkton--Melville/Yorkton--Melville,172,Marchwell,88,5,0,11,3,1,108,161
Yorkton--Melville/Yorkton--Melville,173,Tantallon,120,23,4,23,2,0,172,318
Yorkton--Melville/Yorkton--Melville,174,Spy Hill,140,32,3,16,4,1,196,297
Yorkton--Melville/Yorkton--Melville,500,Mobile poll/Bureau itinérant,Void,,,,,,,
Yorkton--Melville/Yorkton--Melville,600,Porcupine Plain,91,22,0,10,2,0,125,
Yorkton--Melville/Yorkton--Melville,601,Hudson Bay,86,39,2,19,2,1,149,
Yorkton--Melville/Yorkton--Melville,602,Kelvington,91,34,2,20,3,0,150,
Yorkton--Melville/Yorkton--Melville,603,Preeceville--Sturgis,114,41,6,12,12,0,185,
Yorkton--Melville/Yorkton--Melville,604,Norquay,47,8,0,13,0,1,69,
Yorkton--Melville/Yorkton--Melville,605,Foam Lake,52,19,4,13,1,0,89,
Yorkton--Melville/Yorkton--Melville,606,Canora,99,37,9,18,3,0,166,
Yorkton--Melville/Yorkton--Melville,607,Kamsack,83,35,0,46,0,2,166,
Yorkton--Melville/Yorkton--Melville,608,Springside--Yorkton,104,23,2,5,2,0,136,
Yorkton--Melville/Yorkton--Melville,609,Yorkton,170,50,4,53,3,1,281,
Yorkton--Melville/Yorkton--Melville,610,Yorkton,199,78,7,64,2,0,350,
Yorkton--Melville/Yorkton--Melville,611,Langenburg,56,20,4,8,0,1,89,
Yorkton--Melville/Yorkton--Melville,612,Melville,40,13,0,7,0,0,60,
Yorkton--Melville/Yorkton--Melville,613,Melville,107,60,6,37,2,1,213,
Yorkton--Melville/Yorkton--Melville,614,Esterhazy,135,40,7,35,1,0,218,
Yorkton--Melville/Yorkton--Melville,615,Langenburg,48,7,0,18,0,0,73,
Yorkton--Melville/Yorkton--Melville,,Group 1/Groupe 1,32,16,2,34,0,0,84,156
Yorkton--Melville/Yorkton--Melville,,Group 2/Groupe 2,171,60,8,45,2,6,292,
