District,Poll Number,Poll Name,Sylvain Castonguay,Louise Foisy,Christian Jobin,Réal Lapierre,Christophe Vaillancourt,Gilles Vézina,Rejected Ballots,Total Vote,Electors
Lévis--Bellechasse/Lévis--Bellechasse,110,Saint-Romuald,4,14,74,123,2,29,7,253,432
Lévis--Bellechasse/Lévis--Bellechasse,111,Saint-Romuald,6,4,58,71,0,21,6,166,296
Lévis--Bellechasse/Lévis--Bellechasse,112,Saint-Romuald,14,6,51,122,0,42,5,240,475
Lévis--Bellechasse/Lévis--Bellechasse,113,Pintendre,7,7,53,96,1,45,5,214,394
Lévis--Bellechasse/Lévis--Bellechasse,114,Pintendre,9,16,44,99,0,35,2,205,347
Lévis--Bellechasse/Lévis--Bellechasse,115,Pintendre,11,5,41,142,0,47,3,249,488
Lévis--Bellechasse/Lévis--Bellechasse,116,Pintendre,12,11,57,124,0,58,5,267,499
Lévis--Bellechasse/Lévis--Bellechasse,117,Pintendre,13,12,40,79,1,53,5,203,341
Lévis--Bellechasse/Lévis--Bellechasse,118,Pintendre,4,10,34,125,1,53,8,235,517
Lévis--Bellechasse/Lévis--Bellechasse,119,Pintendre,15,10,28,67,1,78,10,209,480
Lévis--Bellechasse/Lévis--Bellechasse,120,Pintendre,24,13,53,148,3,66,8,315,623
Lévis--Bellechasse/Lévis--Bellechasse,121,Pintendre,16,3,36,77,0,75,3,210,393
Lévis--Bellechasse/Lévis--Bellechasse,122,Pintendre,12,4,38,68,0,32,0,154,322
Lévis--Bellechasse/Lévis--Bellechasse,123,Pintendre,14,14,45,80,0,35,0,188,324
Lévis--Bellechasse/Lévis--Bellechasse,124,Saint-Henri,3,9,43,71,0,32,3,161,305
Lévis--Bellechasse/Lévis--Bellechasse,125,Saint-Henri,14,7,43,83,2,45,5,199,385
Lévis--Bellechasse/Lévis--Bellechasse,126,Saint-Henri,14,5,68,101,0,44,6,238,422
Lévis--Bellechasse/Lévis--Bellechasse,127,Saint-Henri,11,6,39,66,1,44,0,167,372
Lévis--Bellechasse/Lévis--Bellechasse,128,Saint-Henri,10,9,98,133,0,74,6,330,536
Lévis--Bellechasse/Lévis--Bellechasse,129,Saint-Henri,5,4,57,75,0,44,1,186,411
Lévis--Bellechasse/Lévis--Bellechasse,130,Saint-Henri,16,9,42,89,0,44,4,204,369
Lévis--Bellechasse/Lévis--Bellechasse,131,Saint-Henri,2,10,35,65,0,29,2,143,293
Lévis--Bellechasse/Lévis--Bellechasse,132,Saint-Vallier,14,10,58,61,0,26,4,173,307
Lévis--Bellechasse/Lévis--Bellechasse,133,Saint-Vallier,14,5,65,129,0,46,5,264,506
Lévis--Bellechasse/Lévis--Bellechasse,134,La Durantaye,3,0,33,49,0,35,2,122,213
Lévis--Bellechasse/Lévis--Bellechasse,135,La Durantaye,7,10,42,81,2,42,2,186,371
Lévis--Bellechasse/Lévis--Bellechasse,136,Saint-Michel,16,12,48,57,0,34,5,172,294
Lévis--Bellechasse/Lévis--Bellechasse,137,Saint-Michel,20,6,57,58,1,40,6,188,266
Lévis--Bellechasse/Lévis--Bellechasse,138,Saint-Michel,18,11,65,102,0,55,3,254,402
Lévis--Bellechasse/Lévis--Bellechasse,139,Saint-Michel,9,4,31,81,2,22,5,154,327
Lévis--Bellechasse/Lévis--Bellechasse,140,Beaumont,45,9,48,79,0,40,8,229,346
Lévis--Bellechasse/Lévis--Bellechasse,141,Beaumont,20,9,55,96,0,43,7,230,328
Lévis--Bellechasse/Lévis--Bellechasse,142,Beaumont,31,8,38,113,1,33,5,229,344
Lévis--Bellechasse/Lévis--Bellechasse,143,Beaumont,99,10,58,88,0,52,8,315,441
Lévis--Bellechasse/Lévis--Bellechasse,144,Beaumont,24,7,38,58,2,47,5,181,336
Lévis--Bellechasse/Lévis--Bellechasse,145,Saint-Charles de Bellechasse,8,5,33,101,1,40,5,193,348
Lévis--Bellechasse/Lévis--Bellechasse,146,Saint-Charles de Bellechasse,10,4,47,109,1,22,0,193,313
Lévis--Bellechasse/Lévis--Bellechasse,147,Saint-Charles de Bellechasse,3,5,45,72,0,26,4,155,217
Lévis--Bellechasse/Lévis--Bellechasse,148,Saint-Charles de Bellechasse,11,5,59,169,0,52,5,301,434
Lévis--Bellechasse/Lévis--Bellechasse,149,Saint-Charles de Bellechasse,7,6,52,110,1,28,5,209,348
Lévis--Bellechasse/Lévis--Bellechasse,150,Saint-Raphaël,5,3,46,67,0,20,8,149,334
Lévis--Bellechasse/Lévis--Bellechasse,151,Saint-Raphaël,8,3,41,60,0,41,4,157,315
Lévis--Bellechasse/Lévis--Bellechasse,152,Saint-Raphaël,3,4,38,63,0,18,3,129,322
Lévis--Bellechasse/Lévis--Bellechasse,153,Saint-Raphaël,3,1,44,58,0,33,3,142,290
Lévis--Bellechasse/Lévis--Bellechasse,154,Saint-Raphaël,6,5,54,108,2,50,6,231,497
Lévis--Bellechasse/Lévis--Bellechasse,155,Saint-Gervais,5,3,29,80,1,25,3,146,299
Lévis--Bellechasse/Lévis--Bellechasse,156,Saint-Gervais,8,4,52,77,0,53,1,195,379
Lévis--Bellechasse/Lévis--Bellechasse,157,Saint-Gervais,7,6,66,68,0,39,3,189,421
Lévis--Bellechasse/Lévis--Bellechasse,158,Saint-Gervais,2,4,53,43,0,46,2,150,316
Lévis--Bellechasse/Lévis--Bellechasse,159,Saint-Nérée,4,14,18,48,3,30,3,120,276
Lévis--Bellechasse/Lévis--Bellechasse,160,Saint-Nérée,4,11,39,99,2,46,5,206,401
Lévis--Bellechasse/Lévis--Bellechasse,161,Armagh,5,3,23,59,0,32,2,124,247
Lévis--Bellechasse/Lévis--Bellechasse,162,Armagh,6,6,58,63,0,52,3,188,322
Lévis--Bellechasse/Lévis--Bellechasse,163,Armagh,10,5,61,85,1,28,4,194,340
Lévis--Bellechasse/Lévis--Bellechasse,164,Armagh,13,7,48,76,2,43,5,194,360
Lévis--Bellechasse/Lévis--Bellechasse,165,Saint-Anselme,8,6,61,65,0,50,2,192,325
Lévis--Bellechasse/Lévis--Bellechasse,166,Saint-Anselme,8,3,29,106,0,64,5,215,367
Lévis--Bellechasse/Lévis--Bellechasse,167,Saint-Anselme,7,9,40,78,0,42,6,182,343
Lévis--Bellechasse/Lévis--Bellechasse,168,Saint-Anselme,3,6,43,85,1,38,3,179,314
Lévis--Bellechasse/Lévis--Bellechasse,169,Saint-Anselme,11,4,74,118,0,58,7,272,416
Lévis--Bellechasse/Lévis--Bellechasse,170,Saint-Anselme,6,8,50,57,0,47,5,173,283
Lévis--Bellechasse/Lévis--Bellechasse,171,Saint-Anselme,13,13,57,89,1,67,5,245,450
Lévis--Bellechasse/Lévis--Bellechasse,172,Honfleur,6,3,60,93,0,37,5,204,347
Lévis--Bellechasse/Lévis--Bellechasse,173,Honfleur,5,5,74,53,0,38,2,177,283
Lévis--Bellechasse/Lévis--Bellechasse,174,Sainte-Claire,7,9,67,65,0,43,4,195,380
Lévis--Bellechasse/Lévis--Bellechasse,175,Sainte-Claire,5,6,70,89,1,74,7,252,399
Lévis--Bellechasse/Lévis--Bellechasse,176,Sainte-Claire,5,6,40,114,1,65,10,241,390
Lévis--Bellechasse/Lévis--Bellechasse,177,Sainte-Claire,7,2,30,51,0,30,2,122,240
Lévis--Bellechasse/Lévis--Bellechasse,178,Sainte-Claire,11,5,56,91,1,42,2,208,402
Lévis--Bellechasse/Lévis--Bellechasse,179,Sainte-Claire,4,1,30,64,0,44,5,148,267
Lévis--Bellechasse/Lévis--Bellechasse,180,Sainte-Claire,7,5,42,85,2,30,3,174,346
Lévis--Bellechasse/Lévis--Bellechasse,181,Saint-Lazare,13,9,51,60,3,41,1,178,282
Lévis--Bellechasse/Lévis--Bellechasse,182,Saint-Lazare,8,7,33,96,2,39,6,191,323
Lévis--Bellechasse/Lévis--Bellechasse,183,Saint-Lazare,11,7,44,94,0,54,3,213,334
Lévis--Bellechasse/Lévis--Bellechasse,184,Saint-Damien-de-Buckland,5,9,45,82,1,51,4,197,366
Lévis--Bellechasse/Lévis--Bellechasse,185,Saint-Damien-de-Buckland,3,8,112,53,0,25,6,207,469
Lévis--Bellechasse/Lévis--Bellechasse,186,Saint-Damien-de-Buckland,6,3,81,71,0,61,4,226,380
Lévis--Bellechasse/Lévis--Bellechasse,187,Saint-Damien-de-Buckland,4,5,57,68,0,26,1,161,295
Lévis--Bellechasse/Lévis--Bellechasse,188,Saint-Damien-de-Buckland,3,3,29,54,0,20,0,109,232
Lévis--Bellechasse/Lévis--Bellechasse,189,Buckland,2,10,54,65,0,36,1,168,274
Lévis--Bellechasse/Lévis--Bellechasse,190,Buckland,9,6,64,71,0,44,5,199,352
Lévis--Bellechasse/Lévis--Bellechasse,191,Saint-Philémon,3,4,66,92,1,37,9,212,367
Lévis--Bellechasse/Lévis--Bellechasse,192,Saint-Philémon,7,4,66,64,1,35,1,178,314
Lévis--Bellechasse/Lévis--Bellechasse,193,Saint-Magloire,8,3,26,56,1,21,5,120,189
Lévis--Bellechasse/Lévis--Bellechasse,194,Saint-Magloire,11,8,73,104,2,52,3,253,387
Lévis--Bellechasse/Lévis--Bellechasse,195,Sainte-Sabine,11,10,76,94,0,41,10,242,348
Lévis--Bellechasse/Lévis--Bellechasse,196,Saint-Luc,5,6,62,96,1,36,3,209,411
Lévis--Bellechasse/Lévis--Bellechasse,197,Saint-Nazaire-de-Dorchester,6,2,41,105,0,28,4,186,297
Lévis--Bellechasse/Lévis--Bellechasse,198,Saint-Malachie,5,10,38,77,0,41,7,178,331
Lévis--Bellechasse/Lévis--Bellechasse,199,Saint-Malachie,13,3,40,57,0,16,4,133,281
Lévis--Bellechasse/Lévis--Bellechasse,200,Saint-Malachie,18,11,55,102,0,61,5,252,475
Lévis--Bellechasse/Lévis--Bellechasse,201,Saint-Léon-de-Standon,4,2,35,58,2,34,6,141,243
Lévis--Bellechasse/Lévis--Bellechasse,202,Saint-Léon-de-Standon,10,8,52,73,1,47,3,194,375
Lévis--Bellechasse/Lévis--Bellechasse,203,Saint-Léon-de-Standon,6,5,31,67,1,42,2,154,316
Lévis--Bellechasse/Lévis--Bellechasse,204,Saint-Camille-de-Lellis,8,6,59,95,1,43,4,216,382
Lévis--Bellechasse/Lévis--Bellechasse,205,Saint-Camille-de-Lellis,2,5,45,97,0,38,4,191,341
Lévis--Bellechasse/Lévis--Bellechasse,206,Saint-Cyprien,2,6,75,98,3,49,8,241,489
Lévis--Bellechasse/Lévis--Bellechasse,207,Sainte-Justine,4,4,42,80,0,54,6,190,351
Lévis--Bellechasse/Lévis--Bellechasse,208,Sainte-Justine,9,5,59,64,0,33,8,178,324
Lévis--Bellechasse/Lévis--Bellechasse,209,Sainte-Justine,7,13,67,96,3,49,1,236,394
Lévis--Bellechasse/Lévis--Bellechasse,210,Sainte-Justine,2,7,77,86,0,65,9,246,383
Lévis--Bellechasse/Lévis--Bellechasse,211,Sainte-Germaine-du-Lac-Etchemin,6,1,23,41,0,23,4,98,245
Lévis--Bellechasse/Lévis--Bellechasse,212,Sainte-Germaine-du-Lac-Etchemin,3,5,37,97,1,70,4,217,476
Lévis--Bellechasse/Lévis--Bellechasse,213,Lac-Etchemin,12,1,59,98,1,95,11,277,468
Lévis--Bellechasse/Lévis--Bellechasse,214,Lac-Etchemin,3,4,36,74,1,35,5,158,280
Lévis--Bellechasse/Lévis--Bellechasse,215,Lac-Etchemin,3,3,38,62,1,46,2,155,300
Lévis--Bellechasse/Lévis--Bellechasse,216,Lac-Etchemin,5,3,66,71,0,35,5,185,334
Lévis--Bellechasse/Lévis--Bellechasse,217,Lac-Etchemin,3,6,41,55,1,59,9,174,344
Lévis--Bellechasse/Lévis--Bellechasse,218,Lac-Etchemin,5,11,48,80,0,64,3,211,352
Lévis--Bellechasse/Lévis--Bellechasse,219,Sainte-Germaine-du-Lac-Etchemin,13,6,42,78,0,52,14,205,394
Lévis--Bellechasse/Lévis--Bellechasse,220,Sainte-Rose-de-Watford,2,6,44,62,0,38,5,157,323
Lévis--Bellechasse/Lévis--Bellechasse,221,Sainte-Rose-de-Watford,3,6,33,69,0,36,7,154,276
Lévis--Bellechasse/Lévis--Bellechasse,222,Saint-Louis-de-Gonzague,7,2,52,54,0,50,4,169,331
Lévis--Bellechasse/Lévis--Bellechasse,400,Lévis,3,3,66,32,1,11,5,121,142
Lévis--Bellechasse/Lévis--Bellechasse,500,Mobile poll/Bureau itinérant,2,2,19,32,0,2,3,60,98
Lévis--Bellechasse/Lévis--Bellechasse,501,Mobile poll/Bureau itinérant,1,0,17,8,2,9,0,37,82
Lévis--Bellechasse/Lévis--Bellechasse,502,Mobile poll/Bureau itinérant,2,1,27,13,2,18,1,64,190
Lévis--Bellechasse/Lévis--Bellechasse,503,Mobile poll/Bureau itinérant,0,0,13,2,1,2,0,18,72
Lévis--Bellechasse/Lévis--Bellechasse,504,Mobile poll/Bureau itinérant,1,2,26,17,0,9,1,56,157
Lévis--Bellechasse/Lévis--Bellechasse,505,Mobile poll/Bureau itinérant,0,0,19,9,0,3,0,31,109
Lévis--Bellechasse/Lévis--Bellechasse,600,Lévis,25,31,167,250,1,114,17,605,
Lévis--Bellechasse/Lévis--Bellechasse,601,Lévis,8,25,147,196,1,102,9,488,
Lévis--Bellechasse/Lévis--Bellechasse,602,Lévis,16,39,236,245,1,73,13,623,
Lévis--Bellechasse/Lévis--Bellechasse,603,Lévis,12,17,194,289,0,102,10,624,
Lévis--Bellechasse/Lévis--Bellechasse,604,Saint-Romuald,17,23,217,275,0,98,6,636,
Lévis--Bellechasse/Lévis--Bellechasse,605,Pintendre--Saint-Henri,9,5,62,108,0,58,2,244,
Lévis--Bellechasse/Lévis--Bellechasse,606,Saint-Charles--Saint-Vallier,23,10,51,99,0,36,4,223,
Lévis--Bellechasse/Lévis--Bellechasse,607,Armagh--Saint-Gervais,6,2,30,55,1,17,1,112,
Lévis--Bellechasse/Lévis--Bellechasse,608,Saint-Anselme--Sainte-Claire,2,5,56,95,0,42,2,202,
Lévis--Bellechasse/Lévis--Bellechasse,609,Saint-Lazare--Saint-Nazaire,4,4,72,90,1,29,3,203,
Lévis--Bellechasse/Lévis--Bellechasse,610,Saint-Léon--Saint-Louis-Gonzague,11,3,77,100,0,76,2,269,
Lévis--Bellechasse/Lévis--Bellechasse,,Group 1/Groupe 1,9,7,44,41,2,44,3,150,262
Lévis--Bellechasse/Lévis--Bellechasse,,Group 2/Groupe 2,30,34,282,410,2,100,20,878,
