District,Poll Number,Poll Name,Beatriz Alas,Andrew Basham,Peter Carney,Steven John Fletcher,Glen Murray,Dan Zupansky,Rejected Ballots,Total Vote,Electors
Charleswood--St. James/Charleswood--St. James,77,Winnipeg,0,7,28,78,69,2,0,184,384
Charleswood--St. James/Charleswood--St. James,78,Winnipeg,0,8,20,110,101,2,2,243,364
Charleswood--St. James/Charleswood--St. James,79,Winnipeg,1,6,16,67,113,0,0,203,325
Charleswood--St. James/Charleswood--St. James,80,Winnipeg,0,7,28,81,93,2,0,211,363
Charleswood--St. James/Charleswood--St. James,81,Winnipeg,2,3,38,98,88,0,0,229,381
Charleswood--St. James/Charleswood--St. James,82,Winnipeg,1,4,33,68,71,1,0,178,308
Charleswood--St. James/Charleswood--St. James,83,Winnipeg,0,9,44,92,63,1,0,209,324
Charleswood--St. James/Charleswood--St. James,84,Winnipeg,0,5,33,55,63,0,0,156,244
Charleswood--St. James/Charleswood--St. James,85,Winnipeg,0,3,28,82,103,2,1,219,350
Charleswood--St. James/Charleswood--St. James,86,Winnipeg,0,6,31,92,120,2,0,251,434
Charleswood--St. James/Charleswood--St. James,87,Winnipeg,0,2,21,94,106,2,0,225,357
Charleswood--St. James/Charleswood--St. James,88,Winnipeg,0,12,35,100,80,1,0,228,382
Charleswood--St. James/Charleswood--St. James,89,Winnipeg,0,11,28,112,129,2,2,284,398
Charleswood--St. James/Charleswood--St. James,90,Winnipeg,1,5,32,73,77,1,0,189,332
Charleswood--St. James/Charleswood--St. James,91,Winnipeg,0,6,38,94,86,3,0,227,454
Charleswood--St. James/Charleswood--St. James,92,Winnipeg,0,12,31,92,101,0,1,237,398
Charleswood--St. James/Charleswood--St. James,93,Winnipeg,1,5,28,81,112,5,0,232,520
Charleswood--St. James/Charleswood--St. James,94,Winnipeg,1,3,22,69,76,2,0,173,339
Charleswood--St. James/Charleswood--St. James,95,Winnipeg,0,7,24,89,101,1,0,222,403
Charleswood--St. James/Charleswood--St. James,96,Winnipeg,1,4,24,56,72,0,0,157,343
Charleswood--St. James/Charleswood--St. James,97,Winnipeg,1,5,24,153,125,3,0,311,509
Charleswood--St. James/Charleswood--St. James,98,Winnipeg,0,2,19,98,71,0,1,191,314
Charleswood--St. James/Charleswood--St. James,99,Winnipeg,0,1,18,94,129,3,1,246,390
Charleswood--St. James/Charleswood--St. James,100,Winnipeg,0,5,18,97,80,1,2,203,353
Charleswood--St. James/Charleswood--St. James,101,Winnipeg,0,5,34,83,92,1,0,215,381
Charleswood--St. James/Charleswood--St. James,102,Winnipeg,0,0,20,122,127,0,0,269,422
Charleswood--St. James/Charleswood--St. James,103,Winnipeg,0,4,14,64,63,1,0,146,229
Charleswood--St. James/Charleswood--St. James,104,Winnipeg,1,10,43,157,99,2,0,312,527
Charleswood--St. James/Charleswood--St. James,105,Winnipeg,0,6,33,80,73,0,0,192,378
Charleswood--St. James/Charleswood--St. James,106,Winnipeg,0,1,18,100,119,3,1,242,332
Charleswood--St. James/Charleswood--St. James,107,Winnipeg,0,4,18,82,158,1,1,264,391
Charleswood--St. James/Charleswood--St. James,108,Winnipeg,0,15,23,97,129,1,1,266,409
Charleswood--St. James/Charleswood--St. James,109,Winnipeg,0,5,14,126,140,2,1,288,404
Charleswood--St. James/Charleswood--St. James,110,Winnipeg,1,6,21,121,101,1,0,251,372
Charleswood--St. James/Charleswood--St. James,111,Winnipeg,1,1,21,115,89,3,0,230,339
Charleswood--St. James/Charleswood--St. James,112,Winnipeg,0,2,18,114,86,1,1,222,373
Charleswood--St. James/Charleswood--St. James,113,Winnipeg,1,2,19,125,109,2,1,259,385
Charleswood--St. James/Charleswood--St. James,114,Winnipeg,0,2,22,102,116,3,2,247,412
Charleswood--St. James/Charleswood--St. James,115,Winnipeg,0,3,22,117,114,1,0,257,363
Charleswood--St. James/Charleswood--St. James,116,Winnipeg,0,2,22,112,125,2,0,263,382
Charleswood--St. James/Charleswood--St. James,117,Winnipeg,0,7,5,110,107,2,1,232,354
Charleswood--St. James/Charleswood--St. James,118,Winnipeg,0,2,6,114,112,1,0,235,375
Charleswood--St. James/Charleswood--St. James,119,Winnipeg,0,2,15,141,159,4,1,322,448
Charleswood--St. James/Charleswood--St. James,120,Winnipeg,1,0,12,174,150,2,0,339,463
Charleswood--St. James/Charleswood--St. James,121,Winnipeg,0,10,23,80,96,0,0,209,375
Charleswood--St. James/Charleswood--St. James,122,Winnipeg,0,5,32,65,85,4,0,191,327
Charleswood--St. James/Charleswood--St. James,123,Winnipeg,0,0,28,52,94,2,0,176,281
Charleswood--St. James/Charleswood--St. James,124,Winnipeg,0,4,38,81,74,3,0,200,401
Charleswood--St. James/Charleswood--St. James,125,Winnipeg,0,10,29,64,64,1,0,168,310
Charleswood--St. James/Charleswood--St. James,126,Winnipeg,0,9,33,72,76,2,1,193,381
Charleswood--St. James/Charleswood--St. James,127,Winnipeg,0,6,40,65,55,3,2,171,342
Charleswood--St. James/Charleswood--St. James,128,Winnipeg,0,7,37,74,51,3,0,172,401
Charleswood--St. James/Charleswood--St. James,129,Winnipeg,0,4,25,58,78,0,0,165,290
Charleswood--St. James/Charleswood--St. James,130,Winnipeg,1,6,32,72,95,1,0,207,313
Charleswood--St. James/Charleswood--St. James,131,Winnipeg,0,10,41,79,120,1,2,253,431
Charleswood--St. James/Charleswood--St. James,132,Winnipeg,0,7,32,64,87,2,2,194,394
Charleswood--St. James/Charleswood--St. James,133,Winnipeg,1,7,25,44,79,2,0,158,244
Charleswood--St. James/Charleswood--St. James,134,Winnipeg,0,1,14,99,95,0,0,209,323
Charleswood--St. James/Charleswood--St. James,135,Winnipeg,1,5,27,90,104,2,1,230,508
Charleswood--St. James/Charleswood--St. James,136,Winnipeg,0,7,12,134,117,2,0,272,403
Charleswood--St. James/Charleswood--St. James,137,Winnipeg,Merged with No. 136,,,,,,,,2
Charleswood--St. James/Charleswood--St. James,138,Winnipeg,0,4,15,118,116,0,1,254,366
Charleswood--St. James/Charleswood--St. James,139,Winnipeg,0,5,26,85,103,1,1,221,419
Charleswood--St. James/Charleswood--St. James,140,Winnipeg,0,12,17,106,134,3,0,272,439
Charleswood--St. James/Charleswood--St. James,141,Winnipeg,0,3,19,107,78,5,0,212,405
Charleswood--St. James/Charleswood--St. James,142,Winnipeg,1,5,37,159,150,1,3,356,614
Charleswood--St. James/Charleswood--St. James,143,Winnipeg,2,6,14,98,99,3,0,222,358
Charleswood--St. James/Charleswood--St. James,144,Winnipeg,Void,,,,,,,,
Charleswood--St. James/Charleswood--St. James,145,Winnipeg,0,3,21,111,118,2,0,255,401
Charleswood--St. James/Charleswood--St. James,146,Winnipeg,0,1,6,87,92,3,0,189,290
Charleswood--St. James/Charleswood--St. James,147,Winnipeg,0,8,22,146,114,3,2,295,467
Charleswood--St. James/Charleswood--St. James,148,Winnipeg,0,10,20,129,151,2,0,312,480
Charleswood--St. James/Charleswood--St. James,149,Winnipeg,0,6,16,114,152,2,0,290,490
Charleswood--St. James/Charleswood--St. James,150,Winnipeg,0,7,11,110,161,0,4,293,509
Charleswood--St. James/Charleswood--St. James,151,Winnipeg,1,8,20,141,157,3,0,330,446
Charleswood--St. James/Charleswood--St. James,152,Winnipeg,0,8,9,145,154,0,0,316,461
Charleswood--St. James/Charleswood--St. James,153,Winnipeg,0,7,19,100,123,8,6,263,374
Charleswood--St. James/Charleswood--St. James,154,Winnipeg,0,9,24,184,174,3,0,394,547
Charleswood--St. James/Charleswood--St. James,155,Winnipeg,0,10,22,136,124,1,1,294,433
Charleswood--St. James/Charleswood--St. James,156,Winnipeg,0,5,10,107,123,1,0,246,369
Charleswood--St. James/Charleswood--St. James,157,Winnipeg,0,8,23,134,146,5,1,317,449
Charleswood--St. James/Charleswood--St. James,158,Winnipeg,0,5,32,137,139,3,0,316,461
Charleswood--St. James/Charleswood--St. James,159,Winnipeg,3,9,28,155,133,0,0,328,516
Charleswood--St. James/Charleswood--St. James,160,Winnipeg,1,8,36,136,116,2,0,299,460
Charleswood--St. James/Charleswood--St. James,161,Winnipeg,0,11,19,89,105,2,0,226,379
Charleswood--St. James/Charleswood--St. James,162,Winnipeg,0,4,10,120,85,2,0,221,356
Charleswood--St. James/Charleswood--St. James,400,Winnipeg,1,2,39,111,103,1,1,258,370
Charleswood--St. James/Charleswood--St. James,401,Winnipeg,Void,,,,,,,,
Charleswood--St. James/Charleswood--St. James,402,Winnipeg,1,6,23,110,122,1,1,264,386
Charleswood--St. James/Charleswood--St. James,403,Winnipeg,0,0,17,50,53,1,2,123,198
Charleswood--St. James/Charleswood--St. James,404,Winnipeg,1,5,41,106,95,1,1,250,361
Charleswood--St. James/Charleswood--St. James,405,Winnipeg,0,1,24,30,50,0,4,109,370
Charleswood--St. James/Charleswood--St. James,406,Winnipeg,Void,,,,,,,,
Charleswood--St. James/Charleswood--St. James,500,Mobile poll/Bureau itinérant,1,1,15,37,41,2,1,98,213
Charleswood--St. James/Charleswood--St. James,600,Winnipeg,0,5,39,212,125,1,0,382,
Charleswood--St. James/Charleswood--St. James,601,Winnipeg,0,10,17,307,175,6,2,517,
Charleswood--St. James/Charleswood--St. James,602,Winnipeg,0,5,32,233,169,1,2,442,
Charleswood--St. James/Charleswood--St. James,603,Winnipeg,0,7,52,297,170,2,1,529,
Charleswood--St. James/Charleswood--St. James,604,Winnipeg,1,11,32,365,262,3,1,675,
Charleswood--St. James/Charleswood--St. James,605,Winnipeg,0,11,41,116,107,1,1,277,
Charleswood--St. James/Charleswood--St. James,606,Winnipeg,1,11,33,398,277,1,1,722,
Charleswood--St. James/Charleswood--St. James,,Group 1/Groupe 1,0,5,15,94,71,7,1,193,517
Charleswood--St. James/Charleswood--St. James,,Group 2/Groupe 2,0,18,43,268,229,4,16,578,
