District,Poll Number,Poll Name,Rick Dalton,R. John Efford,Don C. Ferguson,Michael Kehoe,Rejected Ballots,Total Vote,Electors
Avalon/Avalon,61,Salmon Cove--Perry's Cove,35,123,4,20,0,182,359
Avalon/Avalon,62,Victoria,15,99,1,8,3,126,282
Avalon/Avalon,63A,Victoria,22,77,2,6,1,108,206
Avalon/Avalon,63B,Mobile poll/Bureau itinérant,Merged with No. 501,,,,,,20
Avalon/Avalon,64,Victoria,37,134,4,23,2,200,388
Avalon/Avalon,65,Carbonear,15,73,5,20,3,116,191
Avalon/Avalon,66A,Victoria,17,78,0,6,2,103,241
Avalon/Avalon,66B,Victoria,31,76,1,6,0,114,265
Avalon/Avalon,67,Carbonear,43,101,7,18,4,173,385
Avalon/Avalon,68,Carbonear,28,90,4,10,1,133,307
Avalon/Avalon,69,Carbonear,34,103,3,17,1,158,371
Avalon/Avalon,70,Carbonear,28,123,1,25,1,178,402
Avalon/Avalon,71,Carbonear,26,116,4,17,0,163,354
Avalon/Avalon,72,Carbonear,30,68,4,23,2,127,289
Avalon/Avalon,73A,Carbonear,20,90,1,9,0,120,248
Avalon/Avalon,73B,Carbonear,34,67,0,14,3,118,255
Avalon/Avalon,74A,Carbonear,32,91,1,11,3,138,286
Avalon/Avalon,74B,Carbonear,14,55,3,17,0,89,255
Avalon/Avalon,75,Carbonear,30,77,1,16,2,126,303
Avalon/Avalon,76,Carbonear,21,109,0,15,6,151,356
Avalon/Avalon,77,Harbour Grace,36,89,1,17,1,144,375
Avalon/Avalon,78,Harbour Grace,18,44,0,4,2,68,205
Avalon/Avalon,79,Harbour Grace--Bristol's Hope,65,107,5,27,2,206,413
Avalon/Avalon,80,Harbour Grace,12,45,0,4,1,62,188
Avalon/Avalon,81,Harbour Grace,24,77,0,8,1,110,261
Avalon/Avalon,82,Harbour Grace,21,69,3,4,1,98,241
Avalon/Avalon,83A,Harbour Grace,18,33,1,8,0,60,194
Avalon/Avalon,83B,Harbour Grace,13,58,1,7,0,79,246
Avalon/Avalon,84,Harbour Grace South,12,78,1,17,1,109,221
Avalon/Avalon,85,Bryant's Cove,13,105,3,14,0,135,294
Avalon/Avalon,86,Riverhead--Harbour Grace,39,47,3,11,1,101,241
Avalon/Avalon,87,Riverhead--Harbour Grace,30,64,0,17,3,114,258
Avalon/Avalon,88,Tilton,39,114,0,7,1,161,355
Avalon/Avalon,89,Spaniard's Bay,37,70,1,12,0,120,268
Avalon/Avalon,90,Spaniard's Bay,41,72,1,7,0,121,245
Avalon/Avalon,91,Spaniard's Bay,38,72,1,10,0,121,282
Avalon/Avalon,92A,Spaniard's Bay,26,72,1,10,0,109,339
Avalon/Avalon,92B,Spaniard's Bay,24,90,1,21,3,139,380
Avalon/Avalon,93,Spaniard's Bay,33,76,0,6,0,115,211
Avalon/Avalon,94A,Upper Island Cove,18,82,3,13,1,117,309
Avalon/Avalon,94B,Upper Island Cove,22,109,0,15,0,146,314
Avalon/Avalon,95,Bishop's Cove,28,61,2,2,2,95,179
Avalon/Avalon,96,Upper Island Cove,24,80,1,6,3,114,284
Avalon/Avalon,97,Upper Island Cove,3,16,0,2,0,21,65
Avalon/Avalon,98,Upper Island Cove,15,58,0,4,2,79,167
Avalon/Avalon,99,Upper Island Cove,20,90,3,8,4,125,271
Avalon/Avalon,100,Bay Roberts,30,86,1,4,1,122,283
Avalon/Avalon,101,Blow Me Down--Port de Grave,30,142,1,6,1,180,355
Avalon/Avalon,102,Port de Grave,13,52,1,4,0,70,118
Avalon/Avalon,103,Cupids,28,71,0,10,1,110,204
Avalon/Avalon,104,Brigus,40,120,1,15,0,176,368
Avalon/Avalon,105,Bay Roberts,24,107,3,12,2,148,279
Avalon/Avalon,106,Bay Roberts,27,80,0,10,1,118,235
Avalon/Avalon,107A,Bay Roberts,28,90,3,24,1,146,323
Avalon/Avalon,107B,Bay Roberts,45,75,1,8,0,129,310
Avalon/Avalon,108,Bay Roberts,28,145,5,12,1,191,349
Avalon/Avalon,109,Bay Roberts,30,98,2,10,0,140,249
Avalon/Avalon,110,Bay Roberts,14,134,1,5,2,156,271
Avalon/Avalon,111A,Bay Roberts,33,125,6,12,1,177,358
Avalon/Avalon,111B,Mobile poll/Bureau itinérant,Merged with No. 502,,,,,,19
Avalon/Avalon,112,Bay Roberts,47,133,6,23,2,211,355
Avalon/Avalon,113,Bay Roberts,29,83,0,9,3,124,252
Avalon/Avalon,114,Bay Roberts,19,37,0,11,1,68,142
Avalon/Avalon,115,Bareneed--The Dock--Black Duck,36,133,1,9,1,180,317
Avalon/Avalon,116A,South River,34,71,1,13,3,122,267
Avalon/Avalon,116B,South River,30,73,1,17,0,121,276
Avalon/Avalon,117,Cupids,37,110,0,15,4,166,300
Avalon/Avalon,118,Georgetown,47,79,3,9,0,138,354
Avalon/Avalon,119A,Brigus,13,46,1,2,0,62,121
Avalon/Avalon,119B,Mobile poll/Bureau itinérant,Merged with No. 503,,,,,,7
Avalon/Avalon,120A,Butlerville,4,74,0,2,2,82,205
Avalon/Avalon,120B,Butlerville,7,56,0,2,2,67,195
Avalon/Avalon,120C,Butlerville,20,103,1,4,0,128,291
Avalon/Avalon,121,Butlerville,23,83,1,10,1,118,220
Avalon/Avalon,122,North River--Otterbury--Birch Hill,40,76,1,16,2,135,261
Avalon/Avalon,123A,Clarke's Beach,40,55,2,17,0,114,287
Avalon/Avalon,123B,Clarke's Beach,45,115,1,16,0,177,357
Avalon/Avalon,123C,Mobile poll/Bureau itinérant,47,30,0,1,1,79,67
Avalon/Avalon,124,Clarke's Beach,63,113,1,20,2,199,453
Avalon/Avalon,125,Mackinsons,32,104,0,23,2,161,459
Avalon/Avalon,126,Marysvale,24,19,0,9,1,53,135
Avalon/Avalon,127,Colliers,89,61,4,10,1,165,328
Avalon/Avalon,128A,Marysvale,50,61,2,4,1,118,231
Avalon/Avalon,128B,Marysvale,58,92,2,19,3,174,327
Avalon/Avalon,129,Colliers,106,89,1,10,0,206,400
Avalon/Avalon,130A,Conception Harbour,64,46,5,16,0,131,250
Avalon/Avalon,130B,Conception Harbour,67,55,5,20,0,147,307
Avalon/Avalon,131A,Avondale,73,37,1,6,5,122,247
Avalon/Avalon,131B,Avondale,50,44,3,24,1,122,257
Avalon/Avalon,132,Harbour Main--Chapels Cove--Lakeview,156,33,1,8,0,198,326
Avalon/Avalon,133,Harbour Main--Chapels Cove--Lakeview,25,13,0,5,1,44,81
Avalon/Avalon,134A,Harbour Main--Chapels Cove--Lakeview,103,39,1,15,4,162,280
Avalon/Avalon,134B,Harbour Main--Chapels Cove--Lakeview,76,25,0,14,3,118,206
Avalon/Avalon,135A,Holyrood,56,25,4,9,1,95,222
Avalon/Avalon,135B,Holyrood,79,51,3,11,3,147,240
Avalon/Avalon,135C,Mobile poll/Bureau itinérant,Merged with No. 137B,,,,,,14
Avalon/Avalon,136A,Holyrood,70,40,0,21,3,134,231
Avalon/Avalon,136B,Holyrood,74,57,2,26,1,160,286
Avalon/Avalon,136C,Mobile poll/Bureau itinérant,Merged with No. 123C,,,,,,33
Avalon/Avalon,136D,Mobile poll/Bureau itinérant,Merged with No. 137B,,,,,,14
Avalon/Avalon,137A,Holyrood,80,44,3,18,4,149,346
Avalon/Avalon,137B,Mobile poll/Bureau itinérant,22,19,0,3,5,49,24
Avalon/Avalon,138A,Holyrood,57,43,2,19,0,121,232
Avalon/Avalon,138B,Mobile poll/Bureau itinérant,Merged with No. 137B,,,,,,19
Avalon/Avalon,139A,Conception Bay South,31,48,2,21,0,102,235
Avalon/Avalon,139B,Conception Bay South,46,38,1,17,0,102,219
Avalon/Avalon,140A,Conception Bay South,64,70,4,30,0,168,337
Avalon/Avalon,140B,Mobile poll/Bureau itinérant,Merged with No. 123C,,,,,,16
Avalon/Avalon,141A,Conception Bay South,25,38,2,19,0,84,257
Avalon/Avalon,141B,Conception Bay South,50,29,1,15,2,97,267
Avalon/Avalon,142,Conception Bay South,8,12,0,7,0,27,87
Avalon/Avalon,143,Conception Bay South,24,60,0,19,0,103,291
Avalon/Avalon,144,Conception Bay South,38,75,1,19,0,133,392
Avalon/Avalon,145,Conception Bay South,37,54,4,27,0,122,311
Avalon/Avalon,146,Conception Bay South,31,61,2,36,0,130,399
Avalon/Avalon,147A,Conception Bay South,65,27,0,18,0,110,301
Avalon/Avalon,147B,Conception Bay South,54,41,2,31,1,129,292
Avalon/Avalon,147C,Conception Bay South,23,18,3,11,0,55,277
Avalon/Avalon,147D,Mobile poll/Bureau itinérant,Merged with No. 123C,,,,,,6
Avalon/Avalon,148,Conception Bay South,28,39,1,10,1,79,215
Avalon/Avalon,149,Conception Bay South,51,59,1,24,0,135,326
Avalon/Avalon,150A,Conception Bay South,52,64,0,27,1,144,345
Avalon/Avalon,150B,Conception Bay South,38,49,0,22,2,111,335
Avalon/Avalon,151A,Conception Bay South,25,44,0,22,1,92,257
Avalon/Avalon,151B,Conception Bay South,44,55,1,20,0,120,234
Avalon/Avalon,151C,Mobile poll/Bureau itinérant,Merged with No. 123C,,,,,,10
Avalon/Avalon,152A,Conception Bay South,38,37,3,22,3,103,306
Avalon/Avalon,152B,Conception Bay South,38,38,2,22,2,102,299
Avalon/Avalon,152C,Mobile poll/Bureau itinérant,Merged with No. 123C,,,,,,19
Avalon/Avalon,153,Conception Bay South,40,64,2,14,1,121,329
Avalon/Avalon,154A,Conception Bay South,38,43,1,18,0,100,261
Avalon/Avalon,154B,Conception Bay South,26,37,2,20,1,86,256
Avalon/Avalon,155A,Conception Bay South,30,57,1,24,3,115,237
Avalon/Avalon,155B,Conception Bay South,29,47,2,16,1,95,239
Avalon/Avalon,156,Conception Bay South,61,53,1,23,0,138,374
Avalon/Avalon,157,Conception Bay South,57,53,2,19,1,132,351
Avalon/Avalon,158,Conception Bay South,36,40,2,22,0,100,355
Avalon/Avalon,159A,Witless Bay,41,35,3,17,0,96,192
Avalon/Avalon,159B,Mobile poll/Bureau itinérant,23,19,1,2,2,47,28
Avalon/Avalon,160A,Bay Bulls,41,38,2,17,1,99,256
Avalon/Avalon,160B,Bay Bulls,62,59,0,18,2,141,273
Avalon/Avalon,160C,Mobile poll/Bureau itinérant,Merged with No. 178C,,,,,,2
Avalon/Avalon,161A,Bay Bulls,66,80,4,48,2,200,357
Avalon/Avalon,161B,Mobile poll/Bureau itinérant,Merged with No. 159B,,,,,,4
Avalon/Avalon,162,Witless Bay,95,99,5,30,1,230,430
Avalon/Avalon,163,Witless Bay,51,36,2,6,0,95,192
Avalon/Avalon,164,Mobile,31,28,4,29,2,94,148
Avalon/Avalon,165,Tors Cove,76,79,1,27,1,184,279
Avalon/Avalon,166,Bauline East,63,67,3,9,0,142,267
Avalon/Avalon,167,Ship Harbour,9,42,0,7,1,59,124
Avalon/Avalon,168A,Dunville,8,67,1,6,0,82,161
Avalon/Avalon,168B,Mobile poll/Bureau itinérant,Merged with No. 178C,,,,,,15
Avalon/Avalon,169,Fox Harbour,30,87,3,13,4,137,264
Avalon/Avalon,170,Dunville,30,113,2,6,0,151,272
Avalon/Avalon,171,Freshwater,56,119,2,22,1,200,425
Avalon/Avalon,172,Freshwater,26,60,3,14,6,109,200
Avalon/Avalon,173,Jerseyside,22,49,0,8,1,80,155
Avalon/Avalon,174,Jerseyside,26,103,4,7,0,140,284
Avalon/Avalon,175,Dunville,16,64,0,8,2,90,174
Avalon/Avalon,176A,Dunville,22,70,2,23,0,117,240
Avalon/Avalon,176B,Dunville,26,72,1,13,3,115,250
Avalon/Avalon,177,Point Verde,30,51,1,13,1,96,161
Avalon/Avalon,178A,Placentia,15,49,0,7,0,71,267
Avalon/Avalon,178B,Placentia,28,55,0,6,1,90,195
Avalon/Avalon,178C,Mobile poll/Bureau itinérant,7,49,1,4,2,63,69
Avalon/Avalon,179,Placentia,31,79,1,12,2,125,218
Avalon/Avalon,180,Placentia,39,46,4,14,0,103,191
Avalon/Avalon,181,Southeast Placentia,62,118,1,26,0,207,370
Avalon/Avalon,182,Colinet,45,37,1,12,0,95,192
Avalon/Avalon,183,Brigus Junction,10,37,0,17,0,64,96
Avalon/Avalon,184,St. Catherine's,21,24,0,6,1,52,138
Avalon/Avalon,185,Riverhead,28,102,1,9,0,140,306
Avalon/Avalon,186A,Mount Carmel,84,83,3,22,0,192,376
Avalon/Avalon,186B,Mobile poll/Bureau itinérant,Merged with No. 191B,,,,,,10
Avalon/Avalon,187,St. Joseph's,60,63,1,8,5,137,278
Avalon/Avalon,188,North Harbour,16,31,0,0,0,47,93
Avalon/Avalon,189,Admirals Beach,34,45,0,4,0,83,142
Avalon/Avalon,190,Gaskiers,66,60,3,2,2,133,213
Avalon/Avalon,191A,St. Mary's,89,108,3,15,2,217,359
Avalon/Avalon,191B,Mobile poll/Bureau itinérant,10,18,0,0,1,29,19
Avalon/Avalon,192,Cape Broyle,70,133,1,30,3,237,443
Avalon/Avalon,193,Cape Broyle,31,43,1,16,1,92,201
Avalon/Avalon,194,Calvert,57,60,4,42,2,165,271
Avalon/Avalon,195,Ferryland,61,78,0,15,4,158,365
Avalon/Avalon,196,Ferryland,25,50,1,7,0,83,116
Avalon/Avalon,197,Aquaforte,10,27,0,8,0,45,88
Avalon/Avalon,198A,Fermeuse--Port Kirwan,36,103,2,13,1,155,358
Avalon/Avalon,198B,Mobile poll/Bureau itinérant,Merged with No. 159B,,,,,,23
Avalon/Avalon,199,Renews,42,87,2,16,2,149,235
Avalon/Avalon,200,Cappahayden,11,14,0,5,0,30,66
Avalon/Avalon,201,Patrick's Cove,19,27,0,7,1,54,110
Avalon/Avalon,202,Branch,53,63,0,18,0,134,271
Avalon/Avalon,203,Cape St. Mary's,54,118,1,8,4,185,387
Avalon/Avalon,204,Point Lance,14,51,1,5,0,71,90
Avalon/Avalon,205,St. Vincent's-St. Stephen's-Peter's River,53,87,0,9,5,154,343
Avalon/Avalon,206,St. Shotts,21,45,1,2,0,69,112
Avalon/Avalon,207A,Trepassey,36,50,2,8,0,96,185
Avalon/Avalon,207B,Mobile poll/Bureau itinérant,Merged with No. 191B,,,,,,5
Avalon/Avalon,208,Trepassey,17,43,1,10,0,71,148
Avalon/Avalon,209,Trepassey,35,85,1,13,0,134,381
Avalon/Avalon,210,Portugal Cove South,28,63,3,9,3,106,188
Avalon/Avalon,500,Mobile poll/Bureau itinérant,4,28,2,5,9,48,84
Avalon/Avalon,501,Mobile poll/Bureau itinérant,14,61,2,10,0,87,152
Avalon/Avalon,502,Mobile poll/Bureau itinérant,2,29,1,0,0,32,16
Avalon/Avalon,503,Mobile poll/Bureau itinérant,13,80,2,1,3,99,112
Avalon/Avalon,600,Bay de Verde,7,36,0,5,0,48,
Avalon/Avalon,601,Norman's Cove,8,36,0,3,0,47,
Avalon/Avalon,602,Whitbourne,26,32,2,10,0,70,
Avalon/Avalon,603,Carbonear,65,95,3,23,2,188,
Avalon/Avalon,604,Harbour Grace,51,68,3,16,0,138,
Avalon/Avalon,605,Spaniard's Bay,21,61,1,3,2,88,
Avalon/Avalon,606,Bay Roberts,62,165,4,20,2,253,
Avalon/Avalon,607,Conception Harbour,112,39,0,18,0,169,
Avalon/Avalon,608,Conception Bay South,92,101,5,44,1,243,
Avalon/Avalon,609,Witless Bay,10,7,2,8,0,27,
Avalon/Avalon,610,Placentia,41,83,4,9,0,137,
Avalon/Avalon,611,Colinet,13,9,0,4,0,26,
Avalon/Avalon,612,Ferryland,16,20,0,7,1,44,
Avalon/Avalon,613,Point Lance,6,14,1,2,0,23,
Avalon/Avalon,614,Trepassey,19,25,0,6,2,52,
Avalon/Avalon,,Group 1/Groupe 1,77,84,1,7,0,169,545
Avalon/Avalon,,Group 2/Groupe 2,91,245,5,22,19,382,
