District,Poll Number,Poll Name,Russ Aegard,Ken Boshcoff,David Leskowski,John Rafferty,Johannes Scheibler,Doug Thompson,Rejected Ballots,Total Vote,Electors
Thunder Bay--Rainy River/Thunder Bay--Rainy River,35,Fort Frances,8,89,57,78,1,1,0,234,445
Thunder Bay--Rainy River/Thunder Bay--Rainy River,36,Fort Frances,4,41,45,95,2,6,0,193,369
Thunder Bay--Rainy River/Thunder Bay--Rainy River,37,Fort Frances,4,50,35,66,1,3,0,159,398
Thunder Bay--Rainy River/Thunder Bay--Rainy River,38,Fort Frances,3,39,48,83,2,1,1,177,384
Thunder Bay--Rainy River/Thunder Bay--Rainy River,39,Fort Frances,2,28,24,47,1,2,1,105,273
Thunder Bay--Rainy River/Thunder Bay--Rainy River,40,Fort Frances,2,48,28,47,0,3,0,128,266
Thunder Bay--Rainy River/Thunder Bay--Rainy River,41,Fort Frances,3,108,73,88,4,3,0,279,454
Thunder Bay--Rainy River/Thunder Bay--Rainy River,42,Fort Frances,6,65,49,73,4,0,0,197,392
Thunder Bay--Rainy River/Thunder Bay--Rainy River,43,Fort Frances,0,20,31,70,3,0,0,124,311
Thunder Bay--Rainy River/Thunder Bay--Rainy River,44,Fort Frances,1,33,37,52,1,1,0,125,305
Thunder Bay--Rainy River/Thunder Bay--Rainy River,45,Atikokan,2,53,26,85,0,2,0,168,354
Thunder Bay--Rainy River/Thunder Bay--Rainy River,46,Atikokan,5,37,25,59,0,3,0,129,285
Thunder Bay--Rainy River/Thunder Bay--Rainy River,47,Atikokan,9,35,18,83,0,4,0,149,351
Thunder Bay--Rainy River/Thunder Bay--Rainy River,48,Atikokan,1,32,23,70,1,6,0,133,304
Thunder Bay--Rainy River/Thunder Bay--Rainy River,49,Atikokan,6,37,26,61,3,2,0,135,282
Thunder Bay--Rainy River/Thunder Bay--Rainy River,50,Atikokan,2,30,26,83,2,8,0,151,336
Thunder Bay--Rainy River/Thunder Bay--Rainy River,51,Atikokan,1,63,43,62,0,1,1,171,360
Thunder Bay--Rainy River/Thunder Bay--Rainy River,52,Atikokan,5,31,31,60,1,6,1,135,313
Thunder Bay--Rainy River/Thunder Bay--Rainy River,53,Sapawe,1,48,35,42,0,1,0,127,222
Thunder Bay--Rainy River/Thunder Bay--Rainy River,54,Upsala,3,21,52,20,1,3,4,104,216
Thunder Bay--Rainy River/Thunder Bay--Rainy River,55,Shebandowan,3,39,42,19,0,2,1,106,151
Thunder Bay--Rainy River/Thunder Bay--Rainy River,56A,Raith,5,47,26,59,2,3,1,143,364
Thunder Bay--Rainy River/Thunder Bay--Rainy River,56B,Raith,0,9,2,1,0,0,0,12,35
Thunder Bay--Rainy River/Thunder Bay--Rainy River,57,Mokomon,6,66,80,60,1,2,2,217,474
Thunder Bay--Rainy River/Thunder Bay--Rainy River,58,Millar,8,87,116,69,3,2,0,285,498
Thunder Bay--Rainy River/Thunder Bay--Rainy River,59A,Oliver,5,63,72,44,2,0,0,186,353
Thunder Bay--Rainy River/Thunder Bay--Rainy River,59B,Oliver,8,78,77,46,0,1,0,210,394
Thunder Bay--Rainy River/Thunder Bay--Rainy River,60,O'Connor,3,33,52,45,0,4,1,138,280
Thunder Bay--Rainy River/Thunder Bay--Rainy River,61,O'Connor,2,50,63,40,1,3,1,160,285
Thunder Bay--Rainy River/Thunder Bay--Rainy River,62,Paipoonge,3,95,92,60,1,3,0,254,425
Thunder Bay--Rainy River/Thunder Bay--Rainy River,63,Kakabeka Falls,2,44,67,35,2,1,1,152,258
Thunder Bay--Rainy River/Thunder Bay--Rainy River,64,Murillo,3,36,63,41,0,1,0,144,291
Thunder Bay--Rainy River/Thunder Bay--Rainy River,65,Raith,Void,,,,,,,,
Thunder Bay--Rainy River/Thunder Bay--Rainy River,66,Paipoonge,4,81,107,52,1,3,0,248,430
Thunder Bay--Rainy River/Thunder Bay--Rainy River,67,Paipoonge,5,85,96,45,1,3,1,236,382
Thunder Bay--Rainy River/Thunder Bay--Rainy River,68,Paipoonge,3,61,114,37,7,2,1,225,377
Thunder Bay--Rainy River/Thunder Bay--Rainy River,69,Paipoonge,4,55,90,45,1,0,0,195,290
Thunder Bay--Rainy River/Thunder Bay--Rainy River,70,Paipoonge,2,62,67,35,0,1,0,167,274
Thunder Bay--Rainy River/Thunder Bay--Rainy River,71,Nolalu,13,73,92,91,4,25,3,301,585
Thunder Bay--Rainy River/Thunder Bay--Rainy River,72,Hymers,5,21,35,47,0,2,1,111,167
Thunder Bay--Rainy River/Thunder Bay--Rainy River,73,South Gillies,10,32,51,43,1,4,2,143,215
Thunder Bay--Rainy River/Thunder Bay--Rainy River,74,Scoble West,8,59,67,64,3,2,3,206,386
Thunder Bay--Rainy River/Thunder Bay--Rainy River,75,Pardee,2,22,43,32,1,3,0,103,227
Thunder Bay--Rainy River/Thunder Bay--Rainy River,76,Crooks,5,31,45,19,0,6,0,106,167
Thunder Bay--Rainy River/Thunder Bay--Rainy River,77,Moose Hill,9,102,118,45,1,2,1,278,478
Thunder Bay--Rainy River/Thunder Bay--Rainy River,78,Thunder Bay,0,121,61,34,1,1,0,218,389
Thunder Bay--Rainy River/Thunder Bay--Rainy River,79,Thunder Bay,4,92,68,31,0,2,0,197,351
Thunder Bay--Rainy River/Thunder Bay--Rainy River,80,Thunder Bay,8,114,70,61,3,2,2,260,423
Thunder Bay--Rainy River/Thunder Bay--Rainy River,81,Thunder Bay,4,62,39,32,0,3,0,140,300
Thunder Bay--Rainy River/Thunder Bay--Rainy River,82,Thunder Bay,4,86,38,26,0,1,0,155,289
Thunder Bay--Rainy River/Thunder Bay--Rainy River,83,Thunder Bay,4,49,14,51,0,3,2,123,402
Thunder Bay--Rainy River/Thunder Bay--Rainy River,84,Thunder Bay,1,91,21,51,1,4,0,169,310
Thunder Bay--Rainy River/Thunder Bay--Rainy River,85,Thunder Bay,2,76,48,78,1,4,2,211,388
Thunder Bay--Rainy River/Thunder Bay--Rainy River,86,Thunder Bay,4,103,50,72,0,2,1,232,419
Thunder Bay--Rainy River/Thunder Bay--Rainy River,87,Thunder Bay,1,59,25,53,1,3,1,143,281
Thunder Bay--Rainy River/Thunder Bay--Rainy River,88,Thunder Bay,2,61,29,66,0,4,0,162,399
Thunder Bay--Rainy River/Thunder Bay--Rainy River,89,Thunder Bay,5,166,84,59,0,4,2,320,571
Thunder Bay--Rainy River/Thunder Bay--Rainy River,90,Thunder Bay,8,132,74,66,1,2,0,283,477
Thunder Bay--Rainy River/Thunder Bay--Rainy River,91,Thunder Bay,3,76,47,73,0,1,0,200,405
Thunder Bay--Rainy River/Thunder Bay--Rainy River,92,Thunder Bay,6,103,85,43,2,0,0,239,432
Thunder Bay--Rainy River/Thunder Bay--Rainy River,93,Thunder Bay,4,90,55,44,0,1,0,194,342
Thunder Bay--Rainy River/Thunder Bay--Rainy River,94,Thunder Bay,16,99,51,62,0,2,1,231,398
Thunder Bay--Rainy River/Thunder Bay--Rainy River,95,Thunder Bay,1,41,25,56,0,2,2,127,275
Thunder Bay--Rainy River/Thunder Bay--Rainy River,96,Thunder Bay,4,109,76,53,2,7,2,253,468
Thunder Bay--Rainy River/Thunder Bay--Rainy River,97,Thunder Bay,4,121,67,81,1,3,0,277,591
Thunder Bay--Rainy River/Thunder Bay--Rainy River,98,Thunder Bay,6,138,87,29,1,0,1,262,448
Thunder Bay--Rainy River/Thunder Bay--Rainy River,99,Thunder Bay,6,100,63,25,3,0,1,198,326
Thunder Bay--Rainy River/Thunder Bay--Rainy River,100,Thunder Bay,2,117,78,32,0,3,0,232,429
Thunder Bay--Rainy River/Thunder Bay--Rainy River,101,Thunder Bay,11,98,58,65,0,0,1,233,409
Thunder Bay--Rainy River/Thunder Bay--Rainy River,102,Thunder Bay,1,41,16,32,0,2,1,93,272
Thunder Bay--Rainy River/Thunder Bay--Rainy River,103,Thunder Bay,5,72,39,53,0,3,3,175,341
Thunder Bay--Rainy River/Thunder Bay--Rainy River,104,Thunder Bay,4,75,37,52,1,1,1,171,298
Thunder Bay--Rainy River/Thunder Bay--Rainy River,105,Thunder Bay,7,120,52,41,2,4,0,226,381
Thunder Bay--Rainy River/Thunder Bay--Rainy River,106,Thunder Bay,3,100,50,51,1,0,0,205,380
Thunder Bay--Rainy River/Thunder Bay--Rainy River,107,Thunder Bay,3,101,44,70,0,3,0,221,425
Thunder Bay--Rainy River/Thunder Bay--Rainy River,108,Thunder Bay,2,99,49,60,1,2,1,214,379
Thunder Bay--Rainy River/Thunder Bay--Rainy River,109,Thunder Bay,5,101,34,57,0,0,0,197,334
Thunder Bay--Rainy River/Thunder Bay--Rainy River,110,Thunder Bay,5,90,46,32,0,2,0,175,341
Thunder Bay--Rainy River/Thunder Bay--Rainy River,111,Thunder Bay,2,77,38,22,2,0,0,141,276
Thunder Bay--Rainy River/Thunder Bay--Rainy River,112,Thunder Bay,3,96,38,28,0,2,0,167,273
Thunder Bay--Rainy River/Thunder Bay--Rainy River,113,Thunder Bay,0,86,63,37,0,1,1,188,299
Thunder Bay--Rainy River/Thunder Bay--Rainy River,114,Thunder Bay,2,80,37,47,0,3,0,169,309
Thunder Bay--Rainy River/Thunder Bay--Rainy River,115,Thunder Bay,5,135,32,47,1,0,0,220,377
Thunder Bay--Rainy River/Thunder Bay--Rainy River,116,Thunder Bay,2,65,45,51,2,3,0,168,388
Thunder Bay--Rainy River/Thunder Bay--Rainy River,117,Thunder Bay,3,113,74,49,1,2,0,242,409
Thunder Bay--Rainy River/Thunder Bay--Rainy River,118,Thunder Bay,8,150,64,56,1,1,1,281,503
Thunder Bay--Rainy River/Thunder Bay--Rainy River,119,Thunder Bay,14,128,64,59,0,1,0,266,495
Thunder Bay--Rainy River/Thunder Bay--Rainy River,120,Thunder Bay,5,147,53,69,0,5,2,281,502
Thunder Bay--Rainy River/Thunder Bay--Rainy River,121,Thunder Bay,2,71,26,41,1,1,0,142,300
Thunder Bay--Rainy River/Thunder Bay--Rainy River,122,Thunder Bay,2,99,44,44,3,2,1,195,374
Thunder Bay--Rainy River/Thunder Bay--Rainy River,123,Thunder Bay,2,85,33,30,0,1,0,151,343
Thunder Bay--Rainy River/Thunder Bay--Rainy River,124,Thunder Bay,1,79,41,51,0,2,0,174,371
Thunder Bay--Rainy River/Thunder Bay--Rainy River,125,Thunder Bay,3,108,46,49,1,3,0,210,371
Thunder Bay--Rainy River/Thunder Bay--Rainy River,126,Thunder Bay,6,143,91,43,0,4,1,288,519
Thunder Bay--Rainy River/Thunder Bay--Rainy River,127,Thunder Bay,5,89,33,34,0,0,0,161,279
Thunder Bay--Rainy River/Thunder Bay--Rainy River,128A,Thunder Bay,5,109,56,60,0,2,1,233,544
Thunder Bay--Rainy River/Thunder Bay--Rainy River,128B,Mobile poll/Bureau itinérant,0,61,12,14,1,3,0,91,95
Thunder Bay--Rainy River/Thunder Bay--Rainy River,129,Thunder Bay,5,71,42,29,0,2,1,150,287
Thunder Bay--Rainy River/Thunder Bay--Rainy River,130,Thunder Bay,3,79,42,30,3,1,0,158,285
Thunder Bay--Rainy River/Thunder Bay--Rainy River,131,Thunder Bay,6,68,31,74,1,0,3,183,377
Thunder Bay--Rainy River/Thunder Bay--Rainy River,132,Thunder Bay,4,49,26,54,2,1,0,136,309
Thunder Bay--Rainy River/Thunder Bay--Rainy River,133,Thunder Bay,3,53,15,25,0,6,5,107,299
Thunder Bay--Rainy River/Thunder Bay--Rainy River,134,Thunder Bay,1,74,22,62,2,2,1,164,388
Thunder Bay--Rainy River/Thunder Bay--Rainy River,135,Thunder Bay,4,46,23,48,1,3,0,125,308
Thunder Bay--Rainy River/Thunder Bay--Rainy River,136,Thunder Bay,5,58,24,47,0,4,1,139,342
Thunder Bay--Rainy River/Thunder Bay--Rainy River,137,Thunder Bay,6,49,29,37,0,0,0,121,299
Thunder Bay--Rainy River/Thunder Bay--Rainy River,138,Thunder Bay,4,49,33,45,3,4,1,139,355
Thunder Bay--Rainy River/Thunder Bay--Rainy River,139,Thunder Bay,2,42,10,60,1,1,1,117,320
Thunder Bay--Rainy River/Thunder Bay--Rainy River,140,Thunder Bay,3,40,13,26,0,3,0,85,235
Thunder Bay--Rainy River/Thunder Bay--Rainy River,141,Thunder Bay,4,82,12,53,1,7,0,159,352
Thunder Bay--Rainy River/Thunder Bay--Rainy River,142,Thunder Bay,7,40,20,49,3,7,2,128,320
Thunder Bay--Rainy River/Thunder Bay--Rainy River,143,Thunder Bay,6,46,20,58,2,0,0,132,342
Thunder Bay--Rainy River/Thunder Bay--Rainy River,144,Thunder Bay,4,52,26,52,0,1,0,135,330
Thunder Bay--Rainy River/Thunder Bay--Rainy River,145,Thunder Bay,3,73,27,59,3,7,1,173,409
Thunder Bay--Rainy River/Thunder Bay--Rainy River,146,Thunder Bay,6,95,32,56,3,2,0,194,382
Thunder Bay--Rainy River/Thunder Bay--Rainy River,147,Thunder Bay,6,53,22,36,0,0,4,121,312
Thunder Bay--Rainy River/Thunder Bay--Rainy River,148,Thunder Bay,4,47,27,34,1,6,2,121,413
Thunder Bay--Rainy River/Thunder Bay--Rainy River,149,Thunder Bay,5,30,10,43,0,3,0,91,217
Thunder Bay--Rainy River/Thunder Bay--Rainy River,150,Thunder Bay,8,88,36,59,0,2,0,193,385
Thunder Bay--Rainy River/Thunder Bay--Rainy River,151,Thunder Bay,1,89,25,62,0,3,1,181,365
Thunder Bay--Rainy River/Thunder Bay--Rainy River,152,Thunder Bay,7,54,21,34,2,3,0,121,343
Thunder Bay--Rainy River/Thunder Bay--Rainy River,153,Thunder Bay,3,88,29,46,0,6,1,173,362
Thunder Bay--Rainy River/Thunder Bay--Rainy River,154,Thunder Bay,5,103,40,57,0,2,2,209,401
Thunder Bay--Rainy River/Thunder Bay--Rainy River,155,Thunder Bay,5,49,23,47,1,3,4,132,393
Thunder Bay--Rainy River/Thunder Bay--Rainy River,156,Thunder Bay,5,77,39,60,0,1,0,182,419
Thunder Bay--Rainy River/Thunder Bay--Rainy River,157,Thunder Bay,9,125,54,51,0,2,0,241,368
Thunder Bay--Rainy River/Thunder Bay--Rainy River,158,Thunder Bay,14,131,50,44,0,4,2,245,430
Thunder Bay--Rainy River/Thunder Bay--Rainy River,159,Thunder Bay,10,100,41,68,0,5,0,224,402
Thunder Bay--Rainy River/Thunder Bay--Rainy River,160,Thunder Bay,4,50,27,28,0,3,1,113,255
Thunder Bay--Rainy River/Thunder Bay--Rainy River,161,Thunder Bay,8,85,34,61,2,5,2,197,354
Thunder Bay--Rainy River/Thunder Bay--Rainy River,162,Thunder Bay,2,98,38,81,1,7,1,228,408
Thunder Bay--Rainy River/Thunder Bay--Rainy River,163,Thunder Bay,2,65,25,47,2,4,1,146,298
Thunder Bay--Rainy River/Thunder Bay--Rainy River,164,Thunder Bay,2,71,25,82,0,3,1,184,374
Thunder Bay--Rainy River/Thunder Bay--Rainy River,165,Thunder Bay,6,50,23,47,1,2,0,129,270
Thunder Bay--Rainy River/Thunder Bay--Rainy River,166,Thunder Bay,2,69,30,57,0,4,0,162,327
Thunder Bay--Rainy River/Thunder Bay--Rainy River,167,Thunder Bay,4,70,25,73,0,3,1,176,403
Thunder Bay--Rainy River/Thunder Bay--Rainy River,168,Thunder Bay,9,50,46,45,0,3,1,154,366
Thunder Bay--Rainy River/Thunder Bay--Rainy River,169A,Thunder Bay,11,88,49,45,3,3,0,199,424
Thunder Bay--Rainy River/Thunder Bay--Rainy River,169B,Mobile poll/Bureau itinérant,Merged with No. 128B,,,,,,,,36
Thunder Bay--Rainy River/Thunder Bay--Rainy River,170,Thunder Bay,2,92,52,43,0,1,2,192,363
Thunder Bay--Rainy River/Thunder Bay--Rainy River,171,Thunder Bay,3,82,26,41,0,3,2,157,344
Thunder Bay--Rainy River/Thunder Bay--Rainy River,172,Thunder Bay,6,62,31,46,0,1,0,146,331
Thunder Bay--Rainy River/Thunder Bay--Rainy River,173,Thunder Bay,4,103,30,60,0,3,3,203,323
Thunder Bay--Rainy River/Thunder Bay--Rainy River,174,Thunder Bay,3,86,37,54,0,1,0,181,355
Thunder Bay--Rainy River/Thunder Bay--Rainy River,175,Thunder Bay,4,75,50,55,0,1,2,187,345
Thunder Bay--Rainy River/Thunder Bay--Rainy River,176,Thunder Bay,7,124,59,57,0,1,0,248,467
Thunder Bay--Rainy River/Thunder Bay--Rainy River,177,Thunder Bay,1,92,33,56,2,2,2,188,380
Thunder Bay--Rainy River/Thunder Bay--Rainy River,178,Thunder Bay,3,82,39,69,1,3,1,198,469
Thunder Bay--Rainy River/Thunder Bay--Rainy River,179,Thunder Bay,1,50,28,56,0,2,0,137,354
Thunder Bay--Rainy River/Thunder Bay--Rainy River,180,Thunder Bay,1,66,35,71,1,1,1,176,387
Thunder Bay--Rainy River/Thunder Bay--Rainy River,181,Thunder Bay,4,51,24,50,2,3,1,135,301
Thunder Bay--Rainy River/Thunder Bay--Rainy River,182,Thunder Bay,8,67,36,67,1,1,2,182,297
Thunder Bay--Rainy River/Thunder Bay--Rainy River,183,Thunder Bay,5,74,47,72,1,5,2,206,436
Thunder Bay--Rainy River/Thunder Bay--Rainy River,184,Thunder Bay,2,50,36,58,1,1,0,148,388
Thunder Bay--Rainy River/Thunder Bay--Rainy River,185,Fort William 52,3,133,12,37,0,1,1,187,520
Thunder Bay--Rainy River/Thunder Bay--Rainy River,600,Lake of the Woods,2,27,46,59,0,0,0,134,
Thunder Bay--Rainy River/Thunder Bay--Rainy River,601,Rainy River,2,46,74,67,3,4,0,196,
Thunder Bay--Rainy River/Thunder Bay--Rainy River,602,Fort Frances,2,124,110,174,3,5,0,418,
Thunder Bay--Rainy River/Thunder Bay--Rainy River,603,Atikokan,7,102,75,192,1,4,2,383,
Thunder Bay--Rainy River/Thunder Bay--Rainy River,604,Kakabeka,12,73,109,70,6,1,2,273,
Thunder Bay--Rainy River/Thunder Bay--Rainy River,605,Thunder Bay,8,122,102,87,0,0,2,321,
Thunder Bay--Rainy River/Thunder Bay--Rainy River,606,Thunder Bay,11,282,139,120,4,2,1,559,
Thunder Bay--Rainy River/Thunder Bay--Rainy River,607,Thunder Bay,14,218,160,96,1,2,3,494,
Thunder Bay--Rainy River/Thunder Bay--Rainy River,608,Thunder Bay,11,101,50,59,0,4,3,228,
Thunder Bay--Rainy River/Thunder Bay--Rainy River,609,Thunder Bay,14,140,80,77,2,1,1,315,
Thunder Bay--Rainy River/Thunder Bay--Rainy River,610,Thunder Bay,14,247,125,124,2,4,1,517,
Thunder Bay--Rainy River/Thunder Bay--Rainy River,,Group 1/Groupe 1,4,25,40,12,1,11,6,99,201
Thunder Bay--Rainy River/Thunder Bay--Rainy River,,Group 2/Groupe 2,21,262,204,173,6,10,7,683,
