District,Poll Number,Poll Name,John Cowling,Irma Nicolette Devries,Brian Innes,Robert Roth,Gary Ralph Schellenberger,Rejected Ballots,Total Vote,Electors
Perth--Wellington/Perth--Wellington,124,Stratford,17,1,130,28,83,0,259,417
Perth--Wellington/Perth--Wellington,125,Stratford,11,1,120,50,82,0,264,402
Perth--Wellington/Perth--Wellington,126,Stratford,19,0,125,25,85,2,256,388
Perth--Wellington/Perth--Wellington,127,Stratford,16,0,93,42,44,1,196,306
Perth--Wellington/Perth--Wellington,128,Stratford,20,6,115,54,49,0,244,395
Perth--Wellington/Perth--Wellington,129,Stratford,24,2,105,49,44,2,226,369
Perth--Wellington/Perth--Wellington,130,Stratford,26,3,111,40,42,3,225,346
Perth--Wellington/Perth--Wellington,131,Stratford,20,2,83,42,76,0,223,346
Perth--Wellington/Perth--Wellington,132,Stratford,18,1,122,30,88,1,260,445
Perth--Wellington/Perth--Wellington,133,Stratford,11,7,78,37,48,0,181,365
Perth--Wellington/Perth--Wellington,134,Stratford,14,3,68,40,60,0,185,433
Perth--Wellington/Perth--Wellington,135,Stratford,17,5,75,47,54,0,198,376
Perth--Wellington/Perth--Wellington,136,Stratford,16,4,79,42,38,0,179,313
Perth--Wellington/Perth--Wellington,137,Stratford,24,0,96,43,36,2,201,313
Perth--Wellington/Perth--Wellington,138,Stratford,9,1,65,53,61,0,189,433
Perth--Wellington/Perth--Wellington,139,Stratford,9,4,40,57,48,2,160,392
Perth--Wellington/Perth--Wellington,140,Stratford,13,3,48,51,36,1,152,348
Perth--Wellington/Perth--Wellington,141,Stratford,20,3,54,56,52,3,188,390
Perth--Wellington/Perth--Wellington,142,Stratford,33,7,91,62,54,4,251,457
Perth--Wellington/Perth--Wellington,143,Stratford,28,7,70,53,48,1,207,341
Perth--Wellington/Perth--Wellington,144,Stratford,27,2,81,60,42,1,213,398
Perth--Wellington/Perth--Wellington,145,Stratford,14,2,53,55,55,1,180,388
Perth--Wellington/Perth--Wellington,146,Stratford,15,5,59,62,54,0,195,373
Perth--Wellington/Perth--Wellington,147,Stratford,10,5,71,68,58,1,213,418
Perth--Wellington/Perth--Wellington,148,Stratford,5,2,59,26,43,1,136,302
Perth--Wellington/Perth--Wellington,149,Stratford,11,9,85,61,67,3,236,403
Perth--Wellington/Perth--Wellington,150,Stratford,31,5,44,51,37,0,168,352
Perth--Wellington/Perth--Wellington,151,Stratford,15,2,51,50,64,0,182,351
Perth--Wellington/Perth--Wellington,152,Stratford,11,5,64,42,68,0,190,330
Perth--Wellington/Perth--Wellington,153,Stratford,16,5,61,47,68,0,197,356
Perth--Wellington/Perth--Wellington,154,Stratford,6,3,64,31,63,0,167,310
Perth--Wellington/Perth--Wellington,155,Stratford,21,2,73,53,52,2,203,405
Perth--Wellington/Perth--Wellington,156,Stratford,13,5,115,56,112,1,302,594
Perth--Wellington/Perth--Wellington,157,Stratford,18,1,64,77,79,1,240,532
Perth--Wellington/Perth--Wellington,158,Stratford,13,7,56,39,76,1,192,313
Perth--Wellington/Perth--Wellington,159,Stratford,15,3,141,55,101,3,318,491
Perth--Wellington/Perth--Wellington,160,Stratford,23,0,159,48,117,1,348,537
Perth--Wellington/Perth--Wellington,161,Stratford,13,5,74,41,52,1,186,399
Perth--Wellington/Perth--Wellington,162,Stratford,12,7,97,44,65,0,225,436
Perth--Wellington/Perth--Wellington,163,Stratford,12,6,76,56,57,1,208,376
Perth--Wellington/Perth--Wellington,164,Stratford,23,3,110,45,47,0,228,382
Perth--Wellington/Perth--Wellington,165,Stratford,27,3,93,43,41,1,208,321
Perth--Wellington/Perth--Wellington,166,Stratford,35,2,106,45,35,2,225,337
Perth--Wellington/Perth--Wellington,167,Stratford,16,3,63,40,42,0,164,281
Perth--Wellington/Perth--Wellington,168,Stratford,14,3,65,48,82,2,214,348
Perth--Wellington/Perth--Wellington,169,Stratford,10,9,162,33,121,4,339,538
Perth--Wellington/Perth--Wellington,170,Stratford,17,2,94,33,65,0,211,410
Perth--Wellington/Perth--Wellington,171,Stratford,5,4,71,19,54,0,153,260
Perth--Wellington/Perth--Wellington,172,Stratford,11,9,98,52,83,2,255,382
Perth--Wellington/Perth--Wellington,173,Stratford,10,5,64,60,62,0,201,378
Perth--Wellington/Perth--Wellington,174,Stratford,9,1,102,40,76,2,230,376
Perth--Wellington/Perth--Wellington,175,Sebringville,31,9,101,59,210,4,414,637
Perth--Wellington/Perth--Wellington,176,Avonton,7,5,37,11,65,0,125,209
Perth--Wellington/Perth--Wellington,177,St. Pauls Station,4,2,85,16,66,0,173,231
Perth--Wellington/Perth--Wellington,178,Downie,12,3,51,12,40,0,118,178
Perth--Wellington/Perth--Wellington,179,Downie,8,6,64,24,65,0,167,314
Perth--Wellington/Perth--Wellington,180,Downie,9,2,37,20,70,1,139,219
Perth--Wellington/Perth--Wellington,181,Blanshard,18,1,37,28,91,0,175,276
Perth--Wellington/Perth--Wellington,182,Blanshard,24,2,38,15,87,1,167,249
Perth--Wellington/Perth--Wellington,183,Blanshard,8,4,61,23,108,0,204,280
Perth--Wellington/Perth--Wellington,184,Blanshard,6,5,58,23,116,0,208,369
Perth--Wellington/Perth--Wellington,185,St. Marys,25,5,98,46,155,0,329,525
Perth--Wellington/Perth--Wellington,186,St. Marys,25,3,77,50,100,1,256,380
Perth--Wellington/Perth--Wellington,187,St. Marys,30,4,112,48,149,1,344,628
Perth--Wellington/Perth--Wellington,188,St. Marys,30,3,59,53,84,1,230,351
Perth--Wellington/Perth--Wellington,189,St. Marys,16,2,39,24,102,0,183,328
Perth--Wellington/Perth--Wellington,190,St. Marys,15,0,38,22,102,2,179,294
Perth--Wellington/Perth--Wellington,191,St. Marys,30,1,76,34,186,0,327,502
Perth--Wellington/Perth--Wellington,192,St. Marys,24,1,43,50,75,0,193,342
Perth--Wellington/Perth--Wellington,193,St. Marys,21,3,63,25,118,0,230,381
Perth--Wellington/Perth--Wellington,194,St. Marys,14,0,33,29,68,0,144,237
Perth--Wellington/Perth--Wellington,195,St. Marys,21,4,37,30,102,2,196,339
Perth--Wellington/Perth--Wellington,196,St. Marys,23,7,84,51,160,1,326,602
Perth--Wellington/Perth--Wellington,500,Mobile poll/Bureau itinérant,3,11,53,8,52,3,130,261
Perth--Wellington/Perth--Wellington,501,Mobile poll/Bureau itinérant,4,0,28,9,34,2,77,156
Perth--Wellington/Perth--Wellington,600,Minto,22,23,145,60,265,1,516,
Perth--Wellington/Perth--Wellington,601,Minto--Wellington North,9,7,71,17,130,0,234,
Perth--Wellington/Perth--Wellington,602,Mapleton,17,5,95,35,200,2,354,
Perth--Wellington/Perth--Wellington,603,North Perth,18,13,150,51,290,0,522,
Perth--Wellington/Perth--Wellington,604,West Perth,14,11,115,44,242,0,426,
Perth--Wellington/Perth--Wellington,605,East Perth,14,4,81,28,136,3,266,
Perth--Wellington/Perth--Wellington,606,Stratford,35,7,292,82,269,0,685,
Perth--Wellington/Perth--Wellington,607,Stratford,22,4,115,80,103,0,324,
Perth--Wellington/Perth--Wellington,608,Stratford,26,6,231,95,206,0,564,
Perth--Wellington/Perth--Wellington,609,South Perth,7,3,42,23,92,0,167,
Perth--Wellington/Perth--Wellington,610,St. Marys,22,3,74,40,171,4,314,
Perth--Wellington/Perth--Wellington,,Group 1/Groupe 1,4,3,22,10,37,1,77,148
Perth--Wellington/Perth--Wellington,,Group 2/Groupe 2,17,4,132,62,200,2,417,
