District,Poll Number,Poll Name,Mark Holland,Karen MacDonald,Kevin Modeste,René Soetens,Rejected Ballots,Total Vote,Electors
Ajax--Pickering/Ajax--Pickering,86,Ajax,132,3,15,100,0,250,480
Ajax--Pickering/Ajax--Pickering,87,Ajax,119,11,36,79,1,246,413
Ajax--Pickering/Ajax--Pickering,88,Ajax,75,13,23,71,0,182,361
Ajax--Pickering/Ajax--Pickering,89,Ajax,118,5,36,87,0,246,479
Ajax--Pickering/Ajax--Pickering,90,Ajax,105,17,18,87,1,228,452
Ajax--Pickering/Ajax--Pickering,91,Ajax,103,15,27,47,1,193,350
Ajax--Pickering/Ajax--Pickering,92,Ajax,119,5,36,73,0,233,420
Ajax--Pickering/Ajax--Pickering,93,Ajax,98,11,34,93,1,237,429
Ajax--Pickering/Ajax--Pickering,94,Ajax,124,8,21,85,3,241,446
Ajax--Pickering/Ajax--Pickering,95,Ajax,123,17,35,73,2,250,503
Ajax--Pickering/Ajax--Pickering,96,Ajax,93,12,22,65,0,192,407
Ajax--Pickering/Ajax--Pickering,97,Ajax,76,5,37,50,3,171,345
Ajax--Pickering/Ajax--Pickering,98,Ajax,101,15,25,79,1,221,404
Ajax--Pickering/Ajax--Pickering,99,Ajax,92,5,14,63,0,174,315
Ajax--Pickering/Ajax--Pickering,100,Ajax,111,14,24,81,3,233,490
Ajax--Pickering/Ajax--Pickering,101,Ajax,103,16,39,66,0,224,445
Ajax--Pickering/Ajax--Pickering,102,Ajax,91,20,56,88,1,256,482
Ajax--Pickering/Ajax--Pickering,103,Ajax,59,12,48,76,0,195,391
Ajax--Pickering/Ajax--Pickering,104,Ajax,53,14,40,89,0,196,374
Ajax--Pickering/Ajax--Pickering,105,Ajax,122,7,42,91,3,265,533
Ajax--Pickering/Ajax--Pickering,106,Ajax,124,7,46,78,4,259,509
Ajax--Pickering/Ajax--Pickering,107,Ajax,111,19,36,80,1,247,438
Ajax--Pickering/Ajax--Pickering,108,Ajax,133,19,38,86,2,278,492
Ajax--Pickering/Ajax--Pickering,109,Ajax,137,8,31,95,2,273,484
Ajax--Pickering/Ajax--Pickering,110,Ajax,114,14,43,86,1,258,512
Ajax--Pickering/Ajax--Pickering,111,Ajax,84,9,34,97,2,226,380
Ajax--Pickering/Ajax--Pickering,112,Ajax,91,9,17,67,0,184,331
Ajax--Pickering/Ajax--Pickering,113,Ajax,121,11,30,87,3,252,423
Ajax--Pickering/Ajax--Pickering,114,Ajax,86,15,24,54,1,180,377
Ajax--Pickering/Ajax--Pickering,115,Ajax,109,12,25,75,1,222,408
Ajax--Pickering/Ajax--Pickering,116A,Ajax,57,11,20,50,1,139,281
Ajax--Pickering/Ajax--Pickering,116B,Mobile poll/Bureau itinérant,39,5,15,37,4,100,151
Ajax--Pickering/Ajax--Pickering,117,Ajax,33,11,30,41,1,116,266
Ajax--Pickering/Ajax--Pickering,118,Ajax,Void,,,,,,
Ajax--Pickering/Ajax--Pickering,119,Ajax,101,10,47,83,5,246,182
Ajax--Pickering/Ajax--Pickering,120A,Ajax,82,21,43,80,2,228,404
Ajax--Pickering/Ajax--Pickering,120B,Ajax,Merged with No. 119,,,,,,292
Ajax--Pickering/Ajax--Pickering,121,Ajax,96,18,50,107,1,272,472
Ajax--Pickering/Ajax--Pickering,122,Ajax,93,20,49,90,3,255,402
Ajax--Pickering/Ajax--Pickering,123A,Ajax,98,8,19,56,0,181,375
Ajax--Pickering/Ajax--Pickering,123B,Ajax,94,7,20,53,0,174,358
Ajax--Pickering/Ajax--Pickering,124A,Ajax,161,9,25,80,0,275,436
Ajax--Pickering/Ajax--Pickering,124B,Ajax,140,11,19,87,0,257,410
Ajax--Pickering/Ajax--Pickering,125A,Ajax,92,5,8,52,1,158,287
Ajax--Pickering/Ajax--Pickering,125B,Ajax,100,5,17,62,1,185,305
Ajax--Pickering/Ajax--Pickering,126,Ajax,167,9,23,128,2,329,532
Ajax--Pickering/Ajax--Pickering,127,Ajax,135,20,32,106,0,293,507
Ajax--Pickering/Ajax--Pickering,128,Ajax,133,19,25,86,0,263,515
Ajax--Pickering/Ajax--Pickering,129,Ajax,107,15,36,57,0,215,384
Ajax--Pickering/Ajax--Pickering,130,Ajax,137,10,24,69,0,240,484
Ajax--Pickering/Ajax--Pickering,131,Ajax,82,14,32,91,2,221,367
Ajax--Pickering/Ajax--Pickering,132,Ajax,92,9,30,84,0,215,357
Ajax--Pickering/Ajax--Pickering,133,Ajax,85,12,42,76,1,216,406
Ajax--Pickering/Ajax--Pickering,134,Ajax,137,14,37,90,0,278,551
Ajax--Pickering/Ajax--Pickering,135,Ajax,72,12,28,72,0,184,424
Ajax--Pickering/Ajax--Pickering,136,Ajax,50,11,26,75,0,162,372
Ajax--Pickering/Ajax--Pickering,137,Ajax,112,8,31,82,0,233,318
Ajax--Pickering/Ajax--Pickering,138,Ajax,59,4,32,28,0,123,329
Ajax--Pickering/Ajax--Pickering,139,Ajax,104,16,26,66,1,213,293
Ajax--Pickering/Ajax--Pickering,140,Ajax,68,7,25,51,1,152,278
Ajax--Pickering/Ajax--Pickering,141,Ajax,59,5,16,33,1,114,315
Ajax--Pickering/Ajax--Pickering,142,Ajax,76,8,42,66,0,192,449
Ajax--Pickering/Ajax--Pickering,143,Ajax,84,9,36,63,1,193,384
Ajax--Pickering/Ajax--Pickering,144,Ajax,118,14,28,108,0,268,458
Ajax--Pickering/Ajax--Pickering,145,Ajax,97,12,52,110,0,271,434
Ajax--Pickering/Ajax--Pickering,146,Ajax,78,7,28,87,2,202,324
Ajax--Pickering/Ajax--Pickering,147,Ajax,114,8,15,77,0,214,368
Ajax--Pickering/Ajax--Pickering,148,Ajax,108,5,19,70,2,204,355
Ajax--Pickering/Ajax--Pickering,149,Ajax,111,16,53,109,1,290,462
Ajax--Pickering/Ajax--Pickering,150,Ajax,78,11,44,61,0,194,385
Ajax--Pickering/Ajax--Pickering,151,Ajax,105,10,29,81,1,226,386
Ajax--Pickering/Ajax--Pickering,152,Ajax,132,13,29,104,0,278,405
Ajax--Pickering/Ajax--Pickering,153,Ajax,126,14,33,92,0,265,442
Ajax--Pickering/Ajax--Pickering,154,Ajax,97,4,27,56,0,184,306
Ajax--Pickering/Ajax--Pickering,155,Ajax,149,12,34,111,1,307,474
Ajax--Pickering/Ajax--Pickering,156,Ajax,115,13,52,158,5,343,498
Ajax--Pickering/Ajax--Pickering,157,Ajax,91,30,38,85,0,244,433
Ajax--Pickering/Ajax--Pickering,158,Ajax,90,14,24,59,0,187,386
Ajax--Pickering/Ajax--Pickering,159,Ajax,135,13,28,98,1,275,446
Ajax--Pickering/Ajax--Pickering,160,Ajax,132,13,33,118,0,296,452
Ajax--Pickering/Ajax--Pickering,161,Ajax,134,13,15,119,1,282,410
Ajax--Pickering/Ajax--Pickering,162,Ajax,159,25,29,109,3,325,496
Ajax--Pickering/Ajax--Pickering,163,Ajax,137,10,31,112,2,292,457
Ajax--Pickering/Ajax--Pickering,164A,Ajax,80,7,23,47,0,157,112
Ajax--Pickering/Ajax--Pickering,164B,Ajax,104,14,21,75,1,215,272
Ajax--Pickering/Ajax--Pickering,164C,Ajax,Merged with No. 164A,,,,,,134
Ajax--Pickering/Ajax--Pickering,400,Mobile poll/Bureau itinérant,Merged with No. 116B,,,,,,85
Ajax--Pickering/Ajax--Pickering,401,Ajax,Merged with No. 164B,,,,,,97
Ajax--Pickering/Ajax--Pickering,500,Mobile poll/Bureau itinérant,100,9,39,69,3,220,307
Ajax--Pickering/Ajax--Pickering,600,Pickering,261,20,23,216,0,520,
Ajax--Pickering/Ajax--Pickering,601,Ajax,269,18,59,272,1,619,
Ajax--Pickering/Ajax--Pickering,602,Ajax,568,42,122,508,2,1242,
Ajax--Pickering/Ajax--Pickering,603,Ajax,263,27,71,266,1,628,
Ajax--Pickering/Ajax--Pickering,604,Ajax,263,28,57,217,2,567,
Ajax--Pickering/Ajax--Pickering,605,Pickering,137,7,21,82,1,248,
Ajax--Pickering/Ajax--Pickering,,Group 1/Groupe 1,26,3,11,18,1,59,95
Ajax--Pickering/Ajax--Pickering,,Group 2/Groupe 2,195,23,40,169,3,430,
