District,Poll Number,Poll Name,Sébastien Beaudet,Irwin Cotler,Matthew Fireman,Vincent Gagnon,Adam Greenblatt,Diane Johnston,Adam Sommerfeld,Rejected Ballots,Total Vote,Electors
Mount Royal/Mont-Royal,41,Montréal,10,125,2,6,3,1,3,4,154,349
Mount Royal/Mont-Royal,42,Montréal,21,188,12,15,2,0,3,3,244,501
Mount Royal/Mont-Royal,43,Montréal,16,200,21,19,2,0,3,3,264,491
Mount Royal/Mont-Royal,44A,Montréal,12,107,17,10,0,0,7,0,153,309
Mount Royal/Mont-Royal,44B,Montréal,5,145,10,5,1,3,2,2,173,318
Mount Royal/Mont-Royal,45,Montréal,10,188,10,8,2,3,0,0,221,475
Mount Royal/Mont-Royal,46A,Montréal,5,140,12,2,0,2,0,0,161,333
Mount Royal/Mont-Royal,46B,Montréal,7,111,9,4,3,1,1,0,136,296
Mount Royal/Mont-Royal,47,Montréal,11,234,14,6,1,4,3,6,279,548
Mount Royal/Mont-Royal,48A,Montréal,6,93,8,5,0,1,3,2,118,336
Mount Royal/Mont-Royal,48B,Montréal,6,85,7,7,2,1,0,0,108,304
Mount Royal/Mont-Royal,49A,Montréal,3,87,5,5,0,1,3,1,105,285
Mount Royal/Mont-Royal,49B,Montréal,5,98,11,7,3,1,2,0,127,301
Mount Royal/Mont-Royal,50,Montréal,5,130,15,16,4,1,14,0,185,345
Mount Royal/Mont-Royal,51,Montréal,19,148,10,22,1,0,7,4,211,488
Mount Royal/Mont-Royal,52A,Montréal,10,84,7,20,2,1,1,2,127,390
Mount Royal/Mont-Royal,52B,Montréal,2,114,10,7,4,1,3,2,143,390
Mount Royal/Mont-Royal,53,Montréal,21,177,3,32,3,0,0,6,242,418
Mount Royal/Mont-Royal,54,Montréal,17,159,19,28,4,1,6,4,238,537
Mount Royal/Mont-Royal,55,Montréal,20,94,10,28,0,0,4,0,156,355
Mount Royal/Mont-Royal,56A,Montréal,8,65,2,22,0,0,2,3,102,277
Mount Royal/Mont-Royal,56B,Montréal,9,77,7,31,1,0,2,0,127,315
Mount Royal/Mont-Royal,57,Montréal,24,118,10,43,1,0,4,2,202,468
Mount Royal/Mont-Royal,58,Montréal,10,204,17,5,2,0,6,5,249,521
Mount Royal/Mont-Royal,59,Montréal,12,173,9,10,1,0,4,3,212,530
Mount Royal/Mont-Royal,60,Montréal,12,183,17,17,2,0,5,3,239,511
Mount Royal/Mont-Royal,61,Montréal,7,102,17,4,0,0,2,2,134,319
Mount Royal/Mont-Royal,62,Montréal,9,138,12,5,3,2,3,5,177,452
Mount Royal/Mont-Royal,63,Montréal,12,115,25,7,2,1,2,1,165,527
Mount Royal/Mont-Royal,64,Montréal,1,95,9,2,2,1,0,1,111,349
Mount Royal/Mont-Royal,65,Montréal,3,132,15,6,0,0,4,1,161,435
Mount Royal/Mont-Royal,66,Montréal,9,151,22,7,0,0,5,1,195,470
Mount Royal/Mont-Royal,67,Montréal,16,135,10,26,4,1,2,3,197,220
Mount Royal/Mont-Royal,68,Montréal,8,171,12,4,1,2,3,2,203,429
Mount Royal/Mont-Royal,69,Montréal,9,173,24,7,2,0,0,4,219,480
Mount Royal/Mont-Royal,70,Montréal,8,135,19,7,0,0,7,3,179,418
Mount Royal/Mont-Royal,71,Montréal,8,133,13,4,1,0,2,0,161,372
Mount Royal/Mont-Royal,72,Montréal,6,300,20,1,3,1,4,2,337,318
Mount Royal/Mont-Royal,73,Montréal,12,143,17,10,1,1,6,7,197,508
Mount Royal/Mont-Royal,74,Montréal,13,134,17,23,0,3,15,1,206,487
Mount Royal/Mont-Royal,75,Montréal,11,107,11,28,0,0,9,2,168,377
Mount Royal/Mont-Royal,76,Montréal,15,125,11,34,1,1,13,3,203,417
Mount Royal/Mont-Royal,77,Montréal,19,111,12,26,2,2,13,3,188,393
Mount Royal/Mont-Royal,78,Montréal,37,122,17,34,2,0,12,5,229,500
Mount Royal/Mont-Royal,79,Montréal,13,72,1,25,2,1,5,0,119,402
Mount Royal/Mont-Royal,80,Montréal,17,133,22,31,2,3,14,0,222,531
Mount Royal/Mont-Royal,81,Montréal,Merged with No. 67,,,,,,,,,287
Mount Royal/Mont-Royal,82,Montréal,8,94,8,7,1,1,3,0,122,383
Mount Royal/Mont-Royal,83,Montréal,7,55,5,6,0,0,1,2,76,323
Mount Royal/Mont-Royal,84,Montréal,6,124,15,5,2,0,5,6,163,461
Mount Royal/Mont-Royal,85,Montréal,14,123,18,22,4,0,8,2,191,501
Mount Royal/Mont-Royal,86,Montréal,16,153,19,21,6,2,12,0,229,550
Mount Royal/Mont-Royal,87,Montréal,21,95,14,23,4,2,12,1,172,441
Mount Royal/Mont-Royal,88,Montréal,20,66,9,30,4,0,7,4,140,305
Mount Royal/Mont-Royal,89,Montréal,18,67,8,36,1,0,3,1,134,302
Mount Royal/Mont-Royal,90,Montréal,11,75,7,9,1,0,5,2,110,300
Mount Royal/Mont-Royal,91,Montréal,13,103,17,16,0,0,13,0,162,393
Mount Royal/Mont-Royal,92,Montréal,12,90,7,24,2,0,5,1,141,427
Mount Royal/Mont-Royal,93,Montréal,11,119,16,8,3,1,6,1,165,490
Mount Royal/Mont-Royal,94A,Côte-Saint-Luc,4,92,20,2,1,1,1,0,121,278
Mount Royal/Mont-Royal,94B,Côte-Saint-Luc,1,122,19,1,2,3,3,0,151,310
Mount Royal/Mont-Royal,95,Hampstead,8,122,29,4,3,0,4,0,170,366
Mount Royal/Mont-Royal,96,Hampstead,9,198,11,4,1,0,13,7,243,525
Mount Royal/Mont-Royal,97,Côte-Saint-Luc,15,208,17,6,1,0,6,2,255,276
Mount Royal/Mont-Royal,98,Côte-Saint-Luc,4,178,18,16,2,0,10,0,228,560
Mount Royal/Mont-Royal,99,Hampstead,18,134,18,14,1,0,10,1,196,428
Mount Royal/Mont-Royal,100,Hampstead,5,124,11,7,1,0,10,1,159,355
Mount Royal/Mont-Royal,101,Hampstead,17,179,18,8,5,0,11,0,238,451
Mount Royal/Mont-Royal,102,Hampstead,4,200,20,8,3,1,6,0,242,435
Mount Royal/Mont-Royal,103,Hampstead,0,145,21,0,2,1,0,0,169,337
Mount Royal/Mont-Royal,104,Hampstead,3,120,10,0,1,0,2,1,137,270
Mount Royal/Mont-Royal,105,Hampstead,1,198,16,1,2,0,5,0,223,483
Mount Royal/Mont-Royal,106,Hampstead,1,134,12,0,5,0,0,0,152,341
Mount Royal/Mont-Royal,107,Hampstead,5,160,11,4,3,0,4,1,188,362
Mount Royal/Mont-Royal,108,Hampstead,6,172,15,1,3,0,2,1,200,425
Mount Royal/Mont-Royal,109,Hampstead,2,117,17,0,1,0,2,0,139,291
Mount Royal/Mont-Royal,110,Hampstead,0,148,11,1,3,0,0,0,163,365
Mount Royal/Mont-Royal,111,Côte-Saint-Luc,2,195,27,0,0,0,3,3,230,480
Mount Royal/Mont-Royal,112,Côte-Saint-Luc,0,198,9,1,1,0,2,2,213,394
Mount Royal/Mont-Royal,113A,Côte-Saint-Luc,1,111,15,0,2,0,0,1,130,335
Mount Royal/Mont-Royal,113B,Côte-Saint-Luc,1,116,25,1,0,0,1,0,144,333
Mount Royal/Mont-Royal,114,Côte-Saint-Luc,7,189,24,0,1,0,0,0,221,429
Mount Royal/Mont-Royal,115,Côte-Saint-Luc,5,185,16,3,0,0,4,1,214,227
Mount Royal/Mont-Royal,116,Côte-Saint-Luc,1,189,17,0,1,0,2,0,210,418
Mount Royal/Mont-Royal,117,Côte-Saint-Luc,6,147,19,1,0,0,7,2,182,426
Mount Royal/Mont-Royal,118,Côte-Saint-Luc,2,220,10,0,1,0,8,4,245,462
Mount Royal/Mont-Royal,119,Côte-Saint-Luc,1,213,18,4,0,0,1,2,239,440
Mount Royal/Mont-Royal,120,Côte-Saint-Luc,3,144,21,7,1,2,2,0,180,381
Mount Royal/Mont-Royal,121,Côte-Saint-Luc,10,164,17,8,1,0,3,3,206,317
Mount Royal/Mont-Royal,122,Côte-Saint-Luc,Merged with No. 115,,,,,,,,,213
Mount Royal/Mont-Royal,123,Côte-Saint-Luc,Merged with No. 121,,,,,,,,,120
Mount Royal/Mont-Royal,124A,Côte-Saint-Luc,5,141,11,0,0,1,1,1,160,305
Mount Royal/Mont-Royal,124B,Côte-Saint-Luc,4,134,11,1,0,0,4,0,154,303
Mount Royal/Mont-Royal,125,Côte-Saint-Luc,7,188,13,1,0,0,9,1,219,368
Mount Royal/Mont-Royal,126,Côte-Saint-Luc,9,159,13,0,1,0,2,2,186,406
Mount Royal/Mont-Royal,127,Côte-Saint-Luc,5,187,22,1,1,0,6,0,222,424
Mount Royal/Mont-Royal,128,Côte-Saint-Luc,2,142,19,0,1,0,3,0,167,371
Mount Royal/Mont-Royal,129,Côte-Saint-Luc,9,122,23,9,4,1,1,1,170,323
Mount Royal/Mont-Royal,130,Côte-Saint-Luc,4,130,15,2,1,0,0,1,153,358
Mount Royal/Mont-Royal,131,Côte-Saint-Luc,15,159,23,4,4,2,7,0,214,459
Mount Royal/Mont-Royal,132,Côte-Saint-Luc,12,148,18,3,1,1,6,0,189,418
Mount Royal/Mont-Royal,133,Côte-Saint-Luc,5,156,24,3,1,0,2,2,193,384
Mount Royal/Mont-Royal,134,Côte-Saint-Luc,5,133,31,2,0,0,1,0,172,359
Mount Royal/Mont-Royal,135,Côte-Saint-Luc,10,159,32,3,6,2,12,0,224,397
Mount Royal/Mont-Royal,136,Côte-Saint-Luc,5,165,21,1,1,0,3,5,201,458
Mount Royal/Mont-Royal,137,Côte-Saint-Luc,6,151,15,0,2,0,1,1,176,379
Mount Royal/Mont-Royal,138,Côte-Saint-Luc,6,143,10,1,1,2,0,0,163,355
Mount Royal/Mont-Royal,139,Côte-Saint-Luc,1,177,15,0,3,0,4,1,201,379
Mount Royal/Mont-Royal,140,Côte-Saint-Luc,0,187,22,0,0,0,5,0,214,416
Mount Royal/Mont-Royal,141,Côte-Saint-Luc,1,195,16,0,3,0,0,0,215,434
Mount Royal/Mont-Royal,142,Côte-Saint-Luc,4,170,31,0,3,0,7,0,215,460
Mount Royal/Mont-Royal,143,Côte-Saint-Luc,2,154,22,3,3,0,1,1,186,366
Mount Royal/Mont-Royal,144,Côte-Saint-Luc,5,111,7,0,0,1,2,0,126,218
Mount Royal/Mont-Royal,145,Côte-Saint-Luc,1,165,20,1,3,1,3,1,195,373
Mount Royal/Mont-Royal,146,Côte-Saint-Luc,2,160,19,0,2,0,8,0,191,391
Mount Royal/Mont-Royal,147,Côte-Saint-Luc,1,164,17,0,4,0,3,1,190,361
Mount Royal/Mont-Royal,148,Côte-Saint-Luc,3,160,19,2,0,0,0,0,184,393
Mount Royal/Mont-Royal,149,Côte-Saint-Luc,2,166,22,2,1,0,3,3,199,379
Mount Royal/Mont-Royal,150,Côte-Saint-Luc,0,115,14,1,2,1,1,0,134,321
Mount Royal/Mont-Royal,151,Côte-Saint-Luc,8,179,24,3,1,1,4,1,221,442
Mount Royal/Mont-Royal,152,Côte-Saint-Luc,4,130,8,1,1,0,5,1,150,342
Mount Royal/Mont-Royal,153,Côte-Saint-Luc,10,149,13,5,3,0,5,1,186,376
Mount Royal/Mont-Royal,154A,Côte-Saint-Luc,7,107,15,1,2,0,7,0,139,304
Mount Royal/Mont-Royal,154B,Côte-Saint-Luc,10,94,12,1,1,0,3,0,121,278
Mount Royal/Mont-Royal,155A,Côte-Saint-Luc,9,95,6,1,2,0,2,0,115,222
Mount Royal/Mont-Royal,155B,Côte-Saint-Luc,9,118,13,1,2,0,2,0,145,246
Mount Royal/Mont-Royal,156,Côte-Saint-Luc,8,135,26,4,3,1,4,3,184,491
Mount Royal/Mont-Royal,157,Côte-Saint-Luc,13,163,13,2,3,3,7,1,205,294
Mount Royal/Mont-Royal,158,Côte-Saint-Luc,5,144,9,3,5,1,4,3,174,333
Mount Royal/Mont-Royal,159A,Côte-Saint-Luc,6,77,7,1,1,0,4,2,98,304
Mount Royal/Mont-Royal,159B,Côte-Saint-Luc,11,90,15,1,0,0,2,1,120,306
Mount Royal/Mont-Royal,160,Côte-Saint-Luc,10,232,19,2,1,1,7,2,274,484
Mount Royal/Mont-Royal,161,Côte-Saint-Luc,11,152,12,11,5,1,5,1,198,518
Mount Royal/Mont-Royal,400,Montréal,Merged with No. 72,,,,,,,,,198
Mount Royal/Mont-Royal,401,Hampstead,2,116,16,1,0,0,2,4,141,339
Mount Royal/Mont-Royal,402,Côte-Saint-Luc,Merged with No. 97,,,,,,,,,259
Mount Royal/Mont-Royal,403,Côte-Saint-Luc,6,125,15,0,1,0,2,0,149,247
Mount Royal/Mont-Royal,404,Côte-Saint-Luc,3,76,4,0,0,0,2,1,86,236
Mount Royal/Mont-Royal,405,Côte-Saint-Luc,1,149,9,2,1,0,1,0,163,263
Mount Royal/Mont-Royal,406,Côte-Saint-Luc,Merged with No. 405,,,,,,,,,268
Mount Royal/Mont-Royal,407,Côte-Saint-Luc,9,183,16,2,0,0,4,1,215,291
Mount Royal/Mont-Royal,408,Côte-Saint-Luc,0,101,2,1,1,0,0,3,108,378
Mount Royal/Mont-Royal,409,Côte-Saint-Luc,3,132,7,0,1,0,1,1,145,366
Mount Royal/Mont-Royal,410,Côte-Saint-Luc,Merged with No. 157,,,,,,,,,250
Mount Royal/Mont-Royal,500,Mobile poll/Bureau itinérant,1,50,1,0,1,0,0,0,53,210
Mount Royal/Mont-Royal,600,Montréal,38,370,75,103,2,1,24,2,615,
Mount Royal/Mont-Royal,601,Montréal,35,411,84,71,2,1,13,8,625,
Mount Royal/Mont-Royal,602,Montréal,27,182,22,17,1,2,8,2,261,
Mount Royal/Mont-Royal,603,Montréal,18,207,22,23,2,1,5,4,282,
Mount Royal/Mont-Royal,604,Montréal,22,161,16,47,0,0,12,5,263,
Mount Royal/Mont-Royal,605,Montréal,24,237,49,29,0,0,12,4,355,
Mount Royal/Mont-Royal,606,Montréal,9,405,47,5,3,0,13,0,482,
Mount Royal/Mont-Royal,607,Montréal,9,487,62,1,1,0,2,1,563,
Mount Royal/Mont-Royal,608,Montréal,14,247,26,1,1,0,3,1,293,
Mount Royal/Mont-Royal,609,Montréal,6,430,47,0,0,0,7,2,492,
Mount Royal/Mont-Royal,610,Montréal,8,334,40,5,1,0,8,3,399,
Mount Royal/Mont-Royal,,Group 1/Groupe 1,7,46,6,6,1,0,7,4,77,126
Mount Royal/Mont-Royal,,Group 2/Groupe 2,24,278,33,26,2,2,14,10,389,
