District,Poll Number,Poll Name,Rod Hetherington,Kathleen Kevany,Margaret Mondaca,Jerry Pickard,Dave Van Kesteren,Rejected Ballots,Total Vote,Electors
Chatham-Kent--Essex/Chatham-Kent--Essex,190,Erieau,29,29,0,102,82,3,245,394
Chatham-Kent--Essex/Chatham-Kent--Essex,191,Morpeth,10,31,0,86,132,0,259,412
Chatham-Kent--Essex/Chatham-Kent--Essex,192,Kent Bridge,5,14,0,92,104,3,218,335
Chatham-Kent--Essex/Chatham-Kent--Essex,193,Kent Bridge,13,32,0,91,77,3,216,349
Chatham-Kent--Essex/Chatham-Kent--Essex,194,Ridgetown,13,35,0,62,69,0,179,279
Chatham-Kent--Essex/Chatham-Kent--Essex,195,Ridgetown,5,40,0,67,46,2,160,313
Chatham-Kent--Essex/Chatham-Kent--Essex,196,Ridgetown,13,33,0,67,93,0,206,366
Chatham-Kent--Essex/Chatham-Kent--Essex,197,Ridgetown,4,38,0,57,53,1,153,302
Chatham-Kent--Essex/Chatham-Kent--Essex,198,Ridgetown,17,28,0,86,66,1,198,378
Chatham-Kent--Essex/Chatham-Kent--Essex,199,Ridgetown,4,28,0,86,87,3,208,374
Chatham-Kent--Essex/Chatham-Kent--Essex,200,Ridgetown,10,34,0,78,62,3,187,309
Chatham-Kent--Essex/Chatham-Kent--Essex,201,Ridgetown,10,20,1,101,66,0,198,321
Chatham-Kent--Essex/Chatham-Kent--Essex,202,Morpeth,6,21,0,98,101,1,227,358
Chatham-Kent--Essex/Chatham-Kent--Essex,203,Morpeth,7,41,0,45,56,1,150,276
Chatham-Kent--Essex/Chatham-Kent--Essex,204,Moraviantown,5,39,1,26,5,0,76,134
Chatham-Kent--Essex/Chatham-Kent--Essex,205,Highgate,11,30,1,90,74,2,208,335
Chatham-Kent--Essex/Chatham-Kent--Essex,206,Highgate,8,42,0,55,70,1,176,275
Chatham-Kent--Essex/Chatham-Kent--Essex,207,Highgate,12,17,0,59,59,1,148,230
Chatham-Kent--Essex/Chatham-Kent--Essex,208,Highgate,17,28,0,79,70,1,195,313
Chatham-Kent--Essex/Chatham-Kent--Essex,400,Chatham,6,11,2,76,33,1,129,199
Chatham-Kent--Essex/Chatham-Kent--Essex,401,Chatham,6,4,1,34,12,3,60,216
Chatham-Kent--Essex/Chatham-Kent--Essex,500,Mobile poll/Bureau itinérant,3,8,0,54,33,5,103,291
Chatham-Kent--Essex/Chatham-Kent--Essex,501,Mobile poll/Bureau itinérant,2,4,2,37,12,1,58,237
Chatham-Kent--Essex/Chatham-Kent--Essex,502,Mobile poll/Bureau itinérant,1,11,2,60,26,1,101,201
Chatham-Kent--Essex/Chatham-Kent--Essex,503,Mobile poll/Bureau itinérant,4,6,6,23,14,2,55,150
Chatham-Kent--Essex/Chatham-Kent--Essex,504,Mobile poll/Bureau itinérant,2,9,1,38,12,6,68,167
Chatham-Kent--Essex/Chatham-Kent--Essex,505,Mobile poll/Bureau itinérant,2,4,4,37,21,3,71,158
Chatham-Kent--Essex/Chatham-Kent--Essex,506,Mobile poll/Bureau itinérant,4,8,3,86,35,3,139,301
Chatham-Kent--Essex/Chatham-Kent--Essex,600,Leamington,9,43,0,133,186,0,371,
Chatham-Kent--Essex/Chatham-Kent--Essex,601,Leamington,18,60,4,240,242,0,564,
Chatham-Kent--Essex/Chatham-Kent--Essex,602,Wheatley,17,67,2,170,266,1,523,
Chatham-Kent--Essex/Chatham-Kent--Essex,603,Tilbury,7,45,0,135,106,0,293,
Chatham-Kent--Essex/Chatham-Kent--Essex,604,Chatham North West,8,74,0,223,225,5,535,
Chatham-Kent--Essex/Chatham-Kent--Essex,605,Chatham North East,9,55,2,177,135,2,380,
Chatham-Kent--Essex/Chatham-Kent--Essex,606,Chatham South West,6,26,0,48,60,2,142,
Chatham-Kent--Essex/Chatham-Kent--Essex,607,Mersea,11,62,2,168,146,1,390,
Chatham-Kent--Essex/Chatham-Kent--Essex,608,Harwich--Blenheim,28,94,3,270,245,4,644,
Chatham-Kent--Essex/Chatham-Kent--Essex,609,Howard--Ridgetown,7,42,2,98,150,1,300,
Chatham-Kent--Essex/Chatham-Kent--Essex,,Group 1/Groupe 1,4,12,0,21,34,2,73,162
Chatham-Kent--Essex/Chatham-Kent--Essex,,Group 2/Groupe 2,21,56,0,175,182,6,440,
