District,Poll Number,Poll Name,Joe Fontana,Tim Gatten,Gustavo Granados-Ocon,Bronagh Joyce Morgan,Rod Morley,Joe Swan,Rejected Ballots,Total Vote,Electors
London North Centre/London-Centre-Nord,100B,London,73,47,0,4,0,42,1,167,321
London North Centre/London-Centre-Nord,101,London,80,74,0,16,2,33,3,208,397
London North Centre/London-Centre-Nord,102,London,111,83,0,5,1,58,1,259,399
London North Centre/London-Centre-Nord,103,London,77,76,1,7,0,49,0,210,342
London North Centre/London-Centre-Nord,104,London,86,68,1,7,1,58,2,223,442
London North Centre/London-Centre-Nord,105,London,64,66,0,9,0,60,3,202,376
London North Centre/London-Centre-Nord,106,London,25,22,0,14,3,39,0,103,307
London North Centre/London-Centre-Nord,107,London,45,32,0,1,0,45,1,124,312
London North Centre/London-Centre-Nord,108,London,88,70,0,7,1,68,2,236,465
London North Centre/London-Centre-Nord,109,London,117,63,0,5,0,57,0,242,449
London North Centre/London-Centre-Nord,110,London,73,40,1,11,0,71,2,198,347
London North Centre/London-Centre-Nord,111,London,83,22,2,12,2,68,5,194,508
London North Centre/London-Centre-Nord,112A,London,41,26,1,6,0,40,1,115,290
London North Centre/London-Centre-Nord,112B,London,58,20,2,6,1,50,0,137,340
London North Centre/London-Centre-Nord,113,London,Merged with No. 112B,,,,,,,,3
London North Centre/London-Centre-Nord,114,London,39,30,1,7,3,48,1,129,341
London North Centre/London-Centre-Nord,115,London,109,63,0,12,3,103,0,290,496
London North Centre/London-Centre-Nord,116,London,40,22,1,7,0,58,2,130,328
London North Centre/London-Centre-Nord,117,London,53,45,0,5,1,56,1,161,279
London North Centre/London-Centre-Nord,118,London,39,10,0,7,2,52,0,110,330
London North Centre/London-Centre-Nord,119,London,80,45,0,9,4,83,4,225,533
London North Centre/London-Centre-Nord,120,London,35,9,0,5,3,26,1,79,252
London North Centre/London-Centre-Nord,121,London,37,33,1,10,0,69,1,151,448
London North Centre/London-Centre-Nord,122,London,97,48,0,7,1,58,1,212,379
London North Centre/London-Centre-Nord,123,London,51,42,0,5,1,38,1,138,270
London North Centre/London-Centre-Nord,124,London,66,62,0,12,1,98,2,241,467
London North Centre/London-Centre-Nord,125,London,59,41,0,11,0,53,0,164,339
London North Centre/London-Centre-Nord,126,London,87,60,0,7,2,75,3,234,360
London North Centre/London-Centre-Nord,127,London,107,63,0,8,1,74,1,254,379
London North Centre/London-Centre-Nord,128,London,80,36,0,8,1,39,0,164,333
London North Centre/London-Centre-Nord,129,London,80,44,1,6,1,47,0,179,320
London North Centre/London-Centre-Nord,130,London,115,66,0,15,1,60,0,257,390
London North Centre/London-Centre-Nord,131,London,121,38,1,9,0,69,5,243,368
London North Centre/London-Centre-Nord,132,London,94,46,0,19,0,49,0,208,303
London North Centre/London-Centre-Nord,133,London,111,53,0,17,0,54,1,236,368
London North Centre/London-Centre-Nord,134A,London,69,38,0,18,2,54,1,182,360
London North Centre/London-Centre-Nord,134B,London,81,33,1,6,0,24,3,148,288
London North Centre/London-Centre-Nord,135,London,92,69,0,11,1,22,0,195,325
London North Centre/London-Centre-Nord,136,London,112,50,0,15,0,75,1,253,403
London North Centre/London-Centre-Nord,137,London,93,38,0,15,0,45,2,193,305
