District,Poll Number,Poll Name,Ardavan Behrouzi,Yvonne Bobb,Jovan Boseovski,Bernadette Michael,Jim Peterson,Sharolyn Vettese,Rejected Ballots,Total Vote,Electors
Willowdale/Willowdale,57,North York,3,25,48,2,105,5,0,188,413
Willowdale/Willowdale,58,North York,4,3,35,0,128,2,0,172,344
Willowdale/Willowdale,59A,North York,3,11,50,0,156,1,0,221,380
Willowdale/Willowdale,59B,North York,3,14,32,0,77,7,0,133,214
Willowdale/Willowdale,60,North York,3,17,56,0,159,4,0,239,431
Willowdale/Willowdale,61,North York,3,18,21,2,108,4,0,156,272
Willowdale/Willowdale,62,North York,1,30,38,2,133,9,3,216,437
Willowdale/Willowdale,63,North York,5,7,41,1,129,5,1,189,331
Willowdale/Willowdale,64,North York,7,26,41,3,106,3,0,186,344
Willowdale/Willowdale,65,North York,4,45,33,2,170,11,0,265,551
Willowdale/Willowdale,66,North York,2,33,51,1,129,5,0,221,459
Willowdale/Willowdale,67,North York,6,18,15,10,154,3,0,206,348
Willowdale/Willowdale,68,North York,2,34,20,3,154,8,1,222,465
Willowdale/Willowdale,69,North York,4,19,48,0,160,5,2,238,380
Willowdale/Willowdale,70,North York,2,14,69,3,178,11,0,277,463
Willowdale/Willowdale,71,North York,6,20,91,0,147,9,0,273,460
Willowdale/Willowdale,72,North York,5,20,69,1,153,15,0,263,408
Willowdale/Willowdale,73,North York,1,14,58,1,150,13,2,239,369
Willowdale/Willowdale,74,North York,2,5,72,0,160,8,0,247,447
Willowdale/Willowdale,75,North York,2,15,76,0,160,10,0,263,442
Willowdale/Willowdale,76,North York,3,19,68,2,159,7,1,259,447
Willowdale/Willowdale,77,North York,3,23,35,1,143,6,2,213,412
Willowdale/Willowdale,78,North York,2,23,11,2,94,5,1,138,348
Willowdale/Willowdale,79A,North York,1,13,32,0,94,2,0,142,437
Willowdale/Willowdale,79B,North York,2,16,46,3,113,5,0,185,581
Willowdale/Willowdale,80,North York,2,28,42,0,151,13,1,237,473
Willowdale/Willowdale,81,North York,1,24,36,2,91,9,3,166,352
Willowdale/Willowdale,82,North York,1,19,45,0,96,6,0,167,300
Willowdale/Willowdale,83,North York,5,4,45,0,103,8,2,167,387
Willowdale/Willowdale,84,North York,8,16,75,0,185,10,1,295,598
Willowdale/Willowdale,85,North York,3,21,40,0,140,6,1,211,474
Willowdale/Willowdale,86A,North York,6,23,72,0,226,14,1,342,586
Willowdale/Willowdale,86B,North York,15,41,55,5,137,11,1,265,565
Willowdale/Willowdale,87A,North York,4,31,61,2,143,3,3,247,585
Willowdale/Willowdale,87B,North York,5,27,46,0,166,6,2,252,606
Willowdale/Willowdale,88,North York,5,41,57,0,183,16,0,302,556
Willowdale/Willowdale,89,North York,1,30,23,1,91,5,0,151,416
Willowdale/Willowdale,90,North York,1,16,43,0,109,11,2,182,358
Willowdale/Willowdale,91,North York,5,8,47,0,111,4,0,175,295
Willowdale/Willowdale,92,North York,7,18,56,2,99,7,0,189,374
Willowdale/Willowdale,93,North York,14,41,68,0,200,8,1,332,716
Willowdale/Willowdale,94A,North York,3,18,11,1,50,1,0,84,234
Willowdale/Willowdale,94B,North York,4,15,38,0,100,8,0,165,362
Willowdale/Willowdale,95,North York,3,17,26,0,115,9,1,171,328
Willowdale/Willowdale,96,North York,5,11,49,1,169,18,0,253,500
Willowdale/Willowdale,97,North York,7,16,46,0,125,9,2,205,379
Willowdale/Willowdale,98,North York,5,15,81,1,185,7,2,296,550
Willowdale/Willowdale,99,North York,3,20,29,6,121,6,3,188,426
Willowdale/Willowdale,100,North York,2,36,49,2,133,15,0,237,404
Willowdale/Willowdale,101,North York,2,29,59,0,148,4,2,244,446
Willowdale/Willowdale,102,North York,3,25,55,1,177,11,1,273,549
Willowdale/Willowdale,103,North York,2,8,13,1,53,1,1,79,179
Willowdale/Willowdale,104,North York,2,20,36,0,145,13,1,217,408
Willowdale/Willowdale,105,North York,7,35,49,3,136,14,1,245,409
Willowdale/Willowdale,106,North York,2,28,45,0,118,14,1,208,357
Willowdale/Willowdale,107,North York,2,13,29,2,101,4,0,151,234
Willowdale/Willowdale,108,North York,8,30,52,5,135,6,0,236,397
Willowdale/Willowdale,109,North York,6,20,63,1,121,5,1,217,379
Willowdale/Willowdale,110,North York,0,33,57,2,163,10,0,265,482
Willowdale/Willowdale,111,North York,3,12,29,0,70,6,1,121,214
Willowdale/Willowdale,112,North York,4,9,56,1,179,4,0,253,403
Willowdale/Willowdale,113A,North York,8,18,31,0,104,3,0,164,360
Willowdale/Willowdale,113B,North York,16,20,48,3,116,2,0,205,313
Willowdale/Willowdale,114,North York,1,9,29,0,73,4,0,116,259
Willowdale/Willowdale,115A,North York,3,44,59,1,149,10,0,266,455
Willowdale/Willowdale,115B,North York,3,9,13,0,56,6,1,88,143
Willowdale/Willowdale,116,North York,4,25,91,0,194,17,1,332,521
Willowdale/Willowdale,117,North York,1,27,35,1,159,7,0,230,362
Willowdale/Willowdale,118,North York,2,24,60,0,163,19,1,269,420
Willowdale/Willowdale,119,North York,2,32,48,1,142,18,0,243,410
Willowdale/Willowdale,120,North York,6,20,45,1,153,16,1,242,367
Willowdale/Willowdale,121,North York,2,26,67,0,118,14,1,228,388
Willowdale/Willowdale,122,North York,1,7,21,0,79,6,0,114,170
Willowdale/Willowdale,123A,North York,4,30,62,0,157,8,0,261,418
Willowdale/Willowdale,123B,North York,2,14,15,2,38,1,0,72,97
Willowdale/Willowdale,124,North York,3,23,29,0,102,9,1,167,280
Willowdale/Willowdale,125,North York,2,14,30,1,66,8,0,121,164
Willowdale/Willowdale,126A,North York,5,14,54,0,116,5,2,196,328
Willowdale/Willowdale,126B,North York,7,40,60,1,160,14,1,283,431
Willowdale/Willowdale,126C,North York,4,15,29,5,105,2,3,163,265
Willowdale/Willowdale,127,North York,8,26,59,0,150,15,1,259,512
Willowdale/Willowdale,128,North York,3,14,58,1,166,3,0,245,440
Willowdale/Willowdale,129,North York,2,22,36,0,125,17,1,203,480
Willowdale/Willowdale,130,North York,4,53,59,2,122,10,1,251,468
Willowdale/Willowdale,131,North York,Merged with No. 59A,,,,,,,,53
Willowdale/Willowdale,132,North York,4,33,55,1,110,14,1,218,401
Willowdale/Willowdale,133,North York,1,34,55,5,96,13,1,205,462
Willowdale/Willowdale,134,North York,Void,,,,,,,,
Willowdale/Willowdale,135,North York,3,28,93,0,182,20,0,326,487
Willowdale/Willowdale,136,North York,3,16,60,1,183,10,0,273,459
Willowdale/Willowdale,137,North York,4,18,57,1,156,18,0,254,367
Willowdale/Willowdale,138,North York,1,26,70,0,142,15,1,255,454
Willowdale/Willowdale,139,North York,6,31,82,2,135,18,1,275,444
Willowdale/Willowdale,140,North York,3,46,50,0,157,11,0,267,447
Willowdale/Willowdale,141A,North York,3,31,47,2,202,19,0,304,544
Willowdale/Willowdale,141B,North York,8,32,64,1,156,11,0,272,526
Willowdale/Willowdale,142,North York,1,7,21,2,60,2,0,93,166
Willowdale/Willowdale,143,North York,2,50,40,2,105,15,1,215,382
Willowdale/Willowdale,144A,North York,2,6,24,0,78,4,0,114,337
Willowdale/Willowdale,144B,North York,3,8,33,0,136,5,2,187,530
Willowdale/Willowdale,145,North York,5,21,51,0,159,6,0,242,551
Willowdale/Willowdale,146,North York,0,11,20,5,59,7,0,102,196
Willowdale/Willowdale,147A,North York,5,17,59,1,107,14,1,204,362
Willowdale/Willowdale,147B,North York,11,18,65,3,183,8,0,288,555
Willowdale/Willowdale,148,North York,4,18,69,0,172,8,3,274,554
Willowdale/Willowdale,149,North York,3,20,52,0,181,13,4,273,472
Willowdale/Willowdale,150,North York,6,34,69,0,192,5,1,307,573
Willowdale/Willowdale,151,North York,3,15,52,3,157,8,0,238,411
Willowdale/Willowdale,152,North York,Void,,,,,,,,
Willowdale/Willowdale,153,North York,3,26,56,0,102,15,1,203,455
Willowdale/Willowdale,154,North York,8,24,66,0,163,6,0,267,526
Willowdale/Willowdale,155,North York,11,9,69,2,159,10,0,260,505
Willowdale/Willowdale,156,North York,4,32,50,1,169,15,3,274,506
Willowdale/Willowdale,157,North York,3,21,46,2,135,9,1,217,443
Willowdale/Willowdale,158,North York,6,16,59,1,126,2,2,212,385
Willowdale/Willowdale,159A,North York,2,5,11,1,73,1,1,94,187
Willowdale/Willowdale,159B,North York,9,29,28,2,123,6,1,198,340
Willowdale/Willowdale,160,North York,5,32,54,3,95,8,0,197,393
Willowdale/Willowdale,161,North York,5,19,76,2,122,5,1,230,350
Willowdale/Willowdale,162,North York,8,18,46,0,95,5,2,174,331
Willowdale/Willowdale,163,North York,1,39,56,2,167,14,0,279,520
Willowdale/Willowdale,164,North York,5,9,32,1,94,5,0,146,267
Willowdale/Willowdale,165,North York,1,15,67,2,147,5,0,237,436
Willowdale/Willowdale,166,North York,1,15,30,0,85,7,0,138,310
Willowdale/Willowdale,400,North York,5,27,27,5,197,3,4,268,413
Willowdale/Willowdale,401,North York,6,13,52,3,178,4,2,258,352
Willowdale/Willowdale,402,North York,5,10,39,4,104,6,0,168,235
Willowdale/Willowdale,403,North York,4,8,36,1,140,3,0,192,324
Willowdale/Willowdale,404,North York,4,4,44,0,182,0,1,235,317
Willowdale/Willowdale,405,North York,12,11,97,1,278,1,0,400,634
Willowdale/Willowdale,406,North York,4,15,155,1,202,5,3,385,416
Willowdale/Willowdale,407,North York,0,2,1,3,59,4,1,70,86
Willowdale/Willowdale,408,North York,1,6,9,2,32,1,1,52,222
Willowdale/Willowdale,409,North York,7,38,36,1,105,7,3,197,339
Willowdale/Willowdale,410,North York,4,16,30,2,100,7,5,164,285
Willowdale/Willowdale,411,North York,3,6,7,0,34,2,2,54,252
Willowdale/Willowdale,412,North York,3,24,35,2,140,9,0,213,440
Willowdale/Willowdale,413,North York,2,17,34,0,73,6,0,132,230
Willowdale/Willowdale,414,North York,6,29,18,0,51,3,0,107,198
Willowdale/Willowdale,415,North York,5,34,49,0,126,3,2,219,420
Willowdale/Willowdale,416,North York,1,5,17,0,32,4,1,60,131
Willowdale/Willowdale,417,North York,Void,,,,,,,,
Willowdale/Willowdale,418,North York,2,10,17,0,75,0,0,104,208
Willowdale/Willowdale,419,North York,6,27,50,0,107,8,4,202,364
Willowdale/Willowdale,420,North York,0,26,25,2,104,7,0,164,272
Willowdale/Willowdale,421,North York,0,11,12,0,72,4,0,99,156
Willowdale/Willowdale,422,North York,2,3,15,0,33,0,0,53,93
Willowdale/Willowdale,423,North York,4,12,31,1,75,5,1,129,251
Willowdale/Willowdale,424,North York,5,11,39,1,90,1,0,147,273
Willowdale/Willowdale,425,North York,8,22,42,1,125,8,1,207,367
Willowdale/Willowdale,426,North York,3,20,28,1,99,4,1,156,306
Willowdale/Willowdale,427,North York,10,31,46,1,145,16,0,249,373
Willowdale/Willowdale,428,North York,3,12,13,0,53,2,1,84,163
Willowdale/Willowdale,429,North York,9,15,45,1,90,4,1,165,359
Willowdale/Willowdale,430,North York,2,18,47,0,144,6,0,217,377
Willowdale/Willowdale,431,North York,Void,,,,,,,,
Willowdale/Willowdale,432,North York,7,14,45,0,150,7,0,223,331
Willowdale/Willowdale,433,North York,2,19,19,0,72,7,0,119,362
Willowdale/Willowdale,434,North York,5,28,42,1,111,16,1,204,479
Willowdale/Willowdale,435,North York,4,21,40,1,115,12,2,195,292
Willowdale/Willowdale,436,North York,2,18,24,1,78,14,2,139,214
Willowdale/Willowdale,437,North York,5,21,34,1,69,4,1,135,245
Willowdale/Willowdale,600,Toronto,3,50,160,0,300,30,1,544,
Willowdale/Willowdale,601,Toronto,5,21,94,4,249,5,1,379,
Willowdale/Willowdale,602,Toronto,11,47,141,0,349,15,2,565,
Willowdale/Willowdale,603,Toronto,7,48,205,5,386,11,3,665,
Willowdale/Willowdale,604,Toronto,11,67,181,1,441,20,2,723,
Willowdale/Willowdale,605,Toronto,9,61,196,1,434,41,2,744,
Willowdale/Willowdale,606,Toronto,12,59,189,5,422,28,1,716,
Willowdale/Willowdale,607,Toronto,16,62,218,1,435,23,0,755,
Willowdale/Willowdale,,Group 1/Groupe 1,0,9,28,0,46,2,1,86,142
Willowdale/Willowdale,,Group 2/Groupe 2,5,51,140,1,280,24,6,507,
