District,Poll Number,Poll Name,David Emerson,Jesse Johl,Jeannie Kwan,Jason Mann,Tracey  Jastinder Mann,Donna Petersen,Jacob Rempel,Ian Waddell,Rejected Ballots,Total Vote,Electors
Vancouver Kingsway/Vancouver Kingsway,52A,Vancouver,48,27,1,0,4,0,0,19,0,99,216
Vancouver Kingsway/Vancouver Kingsway,52B,Vancouver,78,43,2,1,7,0,0,18,0,149,291
Vancouver Kingsway/Vancouver Kingsway,53,Vancouver,116,41,1,0,7,0,1,82,1,249,411
Vancouver Kingsway/Vancouver Kingsway,54,Vancouver,67,31,7,0,10,2,6,136,3,262,450
Vancouver Kingsway/Vancouver Kingsway,55,Vancouver,110,49,2,1,11,1,2,118,4,298,510
Vancouver Kingsway/Vancouver Kingsway,56,Vancouver,95,40,7,1,6,0,0,120,0,269,447
Vancouver Kingsway/Vancouver Kingsway,57,Vancouver,98,53,2,2,7,1,0,88,2,253,408
Vancouver Kingsway/Vancouver Kingsway,58,Vancouver,103,56,2,0,7,0,1,99,1,269,490
Vancouver Kingsway/Vancouver Kingsway,59,Vancouver,86,36,6,3,15,1,4,117,2,270,488
Vancouver Kingsway/Vancouver Kingsway,60,Vancouver,85,48,1,0,12,0,0,120,0,266,488
Vancouver Kingsway/Vancouver Kingsway,61,Vancouver,87,29,1,0,12,0,3,92,2,226,409
Vancouver Kingsway/Vancouver Kingsway,62A,Vancouver,69,20,2,2,4,0,1,56,1,155,281
Vancouver Kingsway/Vancouver Kingsway,62B,Vancouver,54,27,1,2,3,0,3,44,1,135,262
Vancouver Kingsway/Vancouver Kingsway,63,Vancouver,100,30,2,0,16,1,1,97,3,250,420
Vancouver Kingsway/Vancouver Kingsway,64,Vancouver,73,33,0,1,7,1,0,142,2,259,497
Vancouver Kingsway/Vancouver Kingsway,65A,Vancouver,47,21,0,0,9,0,0,53,6,136,266
Vancouver Kingsway/Vancouver Kingsway,65B,Vancouver,46,27,1,0,8,0,0,49,2,133,245
Vancouver Kingsway/Vancouver Kingsway,66,Vancouver,94,43,5,1,8,1,0,113,0,265,458
Vancouver Kingsway/Vancouver Kingsway,67,Vancouver,132,46,5,2,6,0,0,88,0,279,523
Vancouver Kingsway/Vancouver Kingsway,68,Vancouver,86,44,2,1,10,0,2,104,6,255,469
Vancouver Kingsway/Vancouver Kingsway,69,Vancouver,112,40,5,1,10,0,0,85,6,259,454
Vancouver Kingsway/Vancouver Kingsway,70,Vancouver,77,46,2,1,10,2,1,149,3,291,504
Vancouver Kingsway/Vancouver Kingsway,71,Vancouver,100,30,7,1,13,0,1,100,4,256,468
Vancouver Kingsway/Vancouver Kingsway,72,Vancouver,121,39,4,1,7,2,0,88,3,265,484
Vancouver Kingsway/Vancouver Kingsway,73,Vancouver,140,51,2,1,8,3,2,79,2,288,529
Vancouver Kingsway/Vancouver Kingsway,74A,Vancouver,74,10,2,1,5,1,0,39,2,134,274
Vancouver Kingsway/Vancouver Kingsway,74B,Vancouver,41,21,2,0,1,0,0,51,0,116,262
Vancouver Kingsway/Vancouver Kingsway,75,Vancouver,109,36,1,0,15,1,2,94,1,259,491
Vancouver Kingsway/Vancouver Kingsway,76,Vancouver,89,43,1,6,0,1,0,48,4,192,359
Vancouver Kingsway/Vancouver Kingsway,77,Vancouver,103,25,3,1,8,1,1,54,0,196,391
Vancouver Kingsway/Vancouver Kingsway,78,Vancouver,109,31,1,2,5,0,0,72,0,220,460
Vancouver Kingsway/Vancouver Kingsway,79,Vancouver,65,24,2,1,1,0,1,69,0,163,323
Vancouver Kingsway/Vancouver Kingsway,80,Vancouver,82,42,6,3,4,0,0,68,1,206,393
Vancouver Kingsway/Vancouver Kingsway,81,Vancouver,109,37,3,0,4,0,0,65,3,221,401
Vancouver Kingsway/Vancouver Kingsway,82,Vancouver,129,44,9,2,3,0,2,63,1,253,502
Vancouver Kingsway/Vancouver Kingsway,83,Vancouver,77,37,1,2,0,1,0,42,1,161,326
Vancouver Kingsway/Vancouver Kingsway,84,Vancouver,107,20,1,2,4,0,0,32,0,166,294
Vancouver Kingsway/Vancouver Kingsway,85A,Vancouver,62,26,1,0,1,1,0,39,2,132,254
Vancouver Kingsway/Vancouver Kingsway,85B,Vancouver,87,21,2,0,4,0,1,37,0,152,313
Vancouver Kingsway/Vancouver Kingsway,86,Vancouver,77,36,2,0,4,0,0,151,2,272,522
Vancouver Kingsway/Vancouver Kingsway,87,Vancouver,91,30,4,0,9,0,2,92,7,235,479
Vancouver Kingsway/Vancouver Kingsway,88A,Vancouver,46,22,3,0,7,0,1,121,0,200,343
Vancouver Kingsway/Vancouver Kingsway,88B,Vancouver,48,8,1,2,7,2,1,85,1,155,282
Vancouver Kingsway/Vancouver Kingsway,89,Vancouver,54,29,3,1,15,0,2,107,0,211,369
Vancouver Kingsway/Vancouver Kingsway,90,Vancouver,84,36,2,2,8,0,1,90,2,225,443
Vancouver Kingsway/Vancouver Kingsway,91,Vancouver,57,25,2,1,12,0,0,120,1,218,457
Vancouver Kingsway/Vancouver Kingsway,92A,Vancouver,52,13,2,0,1,0,1,54,1,124,239
Vancouver Kingsway/Vancouver Kingsway,92B,Vancouver,58,16,2,0,1,0,1,37,1,116,283
Vancouver Kingsway/Vancouver Kingsway,93,Vancouver,72,27,3,1,6,0,0,91,1,201,390
Vancouver Kingsway/Vancouver Kingsway,94,Vancouver,92,21,3,1,13,1,0,119,2,252,506
Vancouver Kingsway/Vancouver Kingsway,95,Vancouver,84,11,3,0,6,0,0,99,4,207,426
Vancouver Kingsway/Vancouver Kingsway,96,Vancouver,101,40,0,0,5,0,1,88,1,236,456
Vancouver Kingsway/Vancouver Kingsway,97,Vancouver,67,20,4,0,2,1,0,68,0,162,307
Vancouver Kingsway/Vancouver Kingsway,98,Vancouver,58,10,2,0,4,0,1,75,2,152,322
Vancouver Kingsway/Vancouver Kingsway,99,Vancouver,112,39,6,1,5,2,0,97,3,265,497
Vancouver Kingsway/Vancouver Kingsway,100,Vancouver,94,46,7,2,11,1,2,76,1,240,469
Vancouver Kingsway/Vancouver Kingsway,101A,Vancouver,79,23,10,2,2,3,0,53,3,175,361
Vancouver Kingsway/Vancouver Kingsway,101B,Vancouver,46,33,2,0,6,1,0,42,2,132,316
Vancouver Kingsway/Vancouver Kingsway,102,Vancouver,108,31,3,0,11,2,0,82,6,243,473
Vancouver Kingsway/Vancouver Kingsway,103,Vancouver,110,38,3,0,3,1,1,47,4,207,424
Vancouver Kingsway/Vancouver Kingsway,104,Vancouver,73,26,4,0,6,0,0,86,3,198,354
Vancouver Kingsway/Vancouver Kingsway,105,Vancouver,46,40,3,2,11,0,2,136,5,245,470
Vancouver Kingsway/Vancouver Kingsway,106,Vancouver,90,29,8,1,3,1,1,44,2,179,333
Vancouver Kingsway/Vancouver Kingsway,107,Vancouver,127,44,7,0,6,1,0,82,1,268,459
Vancouver Kingsway/Vancouver Kingsway,108,Vancouver,91,30,7,2,5,0,1,76,2,214,483
Vancouver Kingsway/Vancouver Kingsway,109,Vancouver,100,31,5,1,9,0,1,62,1,210,400
Vancouver Kingsway/Vancouver Kingsway,110,Vancouver,94,48,3,1,6,0,1,88,2,243,445
Vancouver Kingsway/Vancouver Kingsway,111,Vancouver,104,42,4,0,5,0,0,73,0,228,459
Vancouver Kingsway/Vancouver Kingsway,112,Vancouver,81,36,5,1,9,1,0,93,3,229,400
Vancouver Kingsway/Vancouver Kingsway,113,Vancouver,89,33,4,2,9,1,0,89,1,228,415
Vancouver Kingsway/Vancouver Kingsway,114,Vancouver,64,44,2,0,9,0,0,99,2,220,454
Vancouver Kingsway/Vancouver Kingsway,115,Vancouver,95,39,0,0,7,0,0,57,0,198,354
Vancouver Kingsway/Vancouver Kingsway,116A,Vancouver,93,37,1,0,4,1,1,43,1,181,311
Vancouver Kingsway/Vancouver Kingsway,116B,Vancouver,48,27,1,0,2,0,0,43,2,123,230
Vancouver Kingsway/Vancouver Kingsway,117,Vancouver,118,37,3,0,3,0,0,71,2,234,448
Vancouver Kingsway/Vancouver Kingsway,118,Vancouver,82,51,0,0,7,0,3,80,4,227,417
Vancouver Kingsway/Vancouver Kingsway,119,Vancouver,109,38,2,1,7,0,0,91,0,248,451
Vancouver Kingsway/Vancouver Kingsway,120,Vancouver,50,18,3,1,5,0,0,52,1,130,295
Vancouver Kingsway/Vancouver Kingsway,121,Vancouver,97,25,3,5,2,0,1,73,4,210,409
Vancouver Kingsway/Vancouver Kingsway,122,Vancouver,78,39,3,0,9,1,1,80,2,213,427
Vancouver Kingsway/Vancouver Kingsway,123,Vancouver,91,30,2,0,6,0,0,72,3,204,439
Vancouver Kingsway/Vancouver Kingsway,124,Vancouver,89,28,3,0,6,1,2,105,3,237,458
Vancouver Kingsway/Vancouver Kingsway,125A,Vancouver,67,26,5,1,4,0,0,47,1,151,315
Vancouver Kingsway/Vancouver Kingsway,125B,Vancouver,48,12,0,0,2,1,0,36,3,102,223
Vancouver Kingsway/Vancouver Kingsway,126A,Vancouver,63,39,3,0,3,0,1,46,0,155,316
Vancouver Kingsway/Vancouver Kingsway,126B,Vancouver,67,27,2,2,5,0,2,28,0,133,245
Vancouver Kingsway/Vancouver Kingsway,127,Vancouver,111,37,1,1,7,0,1,60,1,219,429
Vancouver Kingsway/Vancouver Kingsway,128,Vancouver,73,32,0,0,5,0,0,57,1,168,329
Vancouver Kingsway/Vancouver Kingsway,129,Vancouver,102,44,8,0,17,0,1,87,0,259,476
Vancouver Kingsway/Vancouver Kingsway,130,Vancouver,91,40,5,2,2,2,2,101,3,248,409
Vancouver Kingsway/Vancouver Kingsway,131,Vancouver,99,27,1,0,6,0,2,67,1,203,430
Vancouver Kingsway/Vancouver Kingsway,132,Vancouver,89,33,1,0,6,1,2,71,1,204,391
Vancouver Kingsway/Vancouver Kingsway,133A,Vancouver,61,35,1,1,2,1,1,42,0,144,313
Vancouver Kingsway/Vancouver Kingsway,133B,Vancouver,58,16,2,0,1,1,0,37,1,116,264
Vancouver Kingsway/Vancouver Kingsway,134A,Vancouver,75,21,6,2,4,0,1,39,1,149,300
Vancouver Kingsway/Vancouver Kingsway,134B,Vancouver,66,27,0,0,3,0,0,36,2,134,244
Vancouver Kingsway/Vancouver Kingsway,135,Vancouver,120,55,8,0,10,1,1,94,0,289,491
Vancouver Kingsway/Vancouver Kingsway,136,Vancouver,97,36,0,2,5,0,0,120,3,263,515
Vancouver Kingsway/Vancouver Kingsway,137,Vancouver,80,46,2,0,14,0,0,60,0,202,453
Vancouver Kingsway/Vancouver Kingsway,138A,Vancouver,65,41,1,2,3,0,0,37,2,151,288
Vancouver Kingsway/Vancouver Kingsway,138B,Vancouver,56,11,2,0,1,0,0,36,2,108,253
Vancouver Kingsway/Vancouver Kingsway,139A,Vancouver,72,17,2,0,5,0,1,44,3,144,336
Vancouver Kingsway/Vancouver Kingsway,139B,Vancouver,64,20,2,1,1,0,0,37,2,127,251
Vancouver Kingsway/Vancouver Kingsway,140,Vancouver,134,40,6,0,4,0,1,73,3,261,488
Vancouver Kingsway/Vancouver Kingsway,141,Vancouver,133,46,5,1,3,0,0,57,0,245,461
Vancouver Kingsway/Vancouver Kingsway,142,Vancouver,107,35,1,1,5,1,1,78,6,235,417
Vancouver Kingsway/Vancouver Kingsway,143A,Vancouver,37,34,2,3,2,1,0,62,2,143,296
Vancouver Kingsway/Vancouver Kingsway,143B,Vancouver,28,25,2,0,1,1,0,55,1,113,239
Vancouver Kingsway/Vancouver Kingsway,144,Vancouver,71,33,2,2,9,2,2,102,1,224,488
Vancouver Kingsway/Vancouver Kingsway,145,Vancouver,96,50,11,2,4,1,0,72,0,236,431
Vancouver Kingsway/Vancouver Kingsway,146,Vancouver,72,35,2,1,8,0,0,120,2,240,427
Vancouver Kingsway/Vancouver Kingsway,147,Vancouver,49,31,0,0,3,0,0,98,3,184,448
Vancouver Kingsway/Vancouver Kingsway,148,Vancouver,99,46,5,1,2,0,0,62,1,216,491
Vancouver Kingsway/Vancouver Kingsway,149,Vancouver,67,30,1,2,4,0,0,103,3,210,383
Vancouver Kingsway/Vancouver Kingsway,150A,Vancouver,32,22,0,0,5,0,0,53,3,115,311
Vancouver Kingsway/Vancouver Kingsway,150B,Vancouver,31,33,6,2,3,0,0,75,5,155,351
Vancouver Kingsway/Vancouver Kingsway,151,Vancouver,71,37,9,3,5,2,1,74,0,202,419
Vancouver Kingsway/Vancouver Kingsway,152,Vancouver,63,23,1,0,1,0,0,36,0,124,327
Vancouver Kingsway/Vancouver Kingsway,153,Vancouver,43,31,2,0,2,1,0,44,1,124,266
Vancouver Kingsway/Vancouver Kingsway,154,Vancouver,86,32,3,2,4,1,0,100,7,235,460
Vancouver Kingsway/Vancouver Kingsway,155A,Vancouver,44,31,7,2,3,0,0,56,1,144,242
Vancouver Kingsway/Vancouver Kingsway,155B,Vancouver,59,15,2,1,0,0,0,59,0,136,286
Vancouver Kingsway/Vancouver Kingsway,156A,Vancouver,51,40,3,0,3,0,0,60,0,157,335
Vancouver Kingsway/Vancouver Kingsway,156B,Vancouver,45,22,4,0,7,0,0,60,0,138,283
Vancouver Kingsway/Vancouver Kingsway,157,Vancouver,68,45,2,1,5,2,0,96,6,225,448
Vancouver Kingsway/Vancouver Kingsway,158,Vancouver,62,27,2,5,1,1,0,62,0,160,394
Vancouver Kingsway/Vancouver Kingsway,159A,Vancouver,76,32,4,0,5,0,2,65,0,184,338
Vancouver Kingsway/Vancouver Kingsway,159B,Vancouver,52,25,2,1,3,0,0,53,4,140,280
Vancouver Kingsway/Vancouver Kingsway,160,Vancouver,68,36,2,0,4,0,0,48,0,158,393
Vancouver Kingsway/Vancouver Kingsway,161,Vancouver,76,33,2,0,2,1,0,65,1,180,431
Vancouver Kingsway/Vancouver Kingsway,162,Vancouver,64,33,2,3,4,0,2,99,2,209,454
Vancouver Kingsway/Vancouver Kingsway,163,Vancouver,36,5,1,1,2,0,0,25,0,70,176
Vancouver Kingsway/Vancouver Kingsway,164,Vancouver,78,36,3,11,0,0,0,103,1,232,401
Vancouver Kingsway/Vancouver Kingsway,165,Vancouver,111,52,4,1,3,0,1,91,4,267,503
Vancouver Kingsway/Vancouver Kingsway,166A,Vancouver,79,22,1,0,1,0,1,47,1,152,265
Vancouver Kingsway/Vancouver Kingsway,166B,Vancouver,93,32,5,0,3,0,0,37,0,170,309
Vancouver Kingsway/Vancouver Kingsway,167,Vancouver,98,51,2,0,6,0,0,79,7,243,455
Vancouver Kingsway/Vancouver Kingsway,168,Vancouver,65,40,0,1,4,0,0,130,2,242,383
Vancouver Kingsway/Vancouver Kingsway,400,Vancouver,50,18,0,0,2,0,1,24,6,101,205
Vancouver Kingsway/Vancouver Kingsway,401,Vancouver,22,5,2,0,2,1,0,13,1,46,90
Vancouver Kingsway/Vancouver Kingsway,500,Mobile poll/Bureau itinérant,17,19,1,0,5,1,1,29,10,83,123
Vancouver Kingsway/Vancouver Kingsway,501,Mobile poll/Bureau itinérant,29,22,2,1,3,1,1,32,4,95,130
Vancouver Kingsway/Vancouver Kingsway,502,Mobile poll/Bureau itinérant,17,10,1,3,0,3,0,12,1,47,76
Vancouver Kingsway/Vancouver Kingsway,600,Vancouver,142,99,0,1,18,0,2,92,4,358,
Vancouver Kingsway/Vancouver Kingsway,601,Vancouver,167,92,8,0,34,2,0,170,4,477,
Vancouver Kingsway/Vancouver Kingsway,602,Vancouver,178,129,3,0,26,0,4,167,4,511,
Vancouver Kingsway/Vancouver Kingsway,603,Vancouver,132,70,2,0,11,0,0,106,3,324,
Vancouver Kingsway/Vancouver Kingsway,604,Vancouver,81,41,5,1,10,2,0,114,1,255,
Vancouver Kingsway/Vancouver Kingsway,605,Vancouver,199,113,8,2,15,1,2,159,6,505,
Vancouver Kingsway/Vancouver Kingsway,606,Vancouver,252,164,9,2,15,2,5,250,7,706,
Vancouver Kingsway/Vancouver Kingsway,,Group 1/Groupe 1,21,17,1,0,4,0,1,20,4,68,115
Vancouver Kingsway/Vancouver Kingsway,,Group 2/Groupe 2,147,69,2,3,25,2,1,185,11,445,
