District,Poll Number,Poll Name,Arnold Baker,Adam Campbell,Max Leonard Cornelssen,Ellen Parker,Kevin Sorenson,Rejected Ballots,Total Vote,Electors
Crowfoot/Crowfoot,82,Consort Rural,0,1,0,2,151,0,154,232
Crowfoot/Crowfoot,83,Consort,2,7,0,3,109,0,121,184
Crowfoot/Crowfoot,84,Consort,5,6,4,8,149,0,172,341
Crowfoot/Crowfoot,85,Monitor,2,5,0,0,119,0,126,213
Crowfoot/Crowfoot,86,Altario,1,9,1,6,99,1,117,211
Crowfoot/Crowfoot,87,Wimborne,9,15,0,15,182,0,221,267
Crowfoot/Crowfoot,88,Huxley,7,9,4,12,177,1,210,347
Crowfoot/Crowfoot,89,Torrington,3,17,1,11,167,0,199,334
Crowfoot/Crowfoot,90,Trochu,11,11,5,18,212,1,258,351
Crowfoot/Crowfoot,91,Trochu,6,10,5,13,141,0,175,245
Crowfoot/Crowfoot,92,Trochu Rural,11,16,2,6,203,0,238,403
Crowfoot/Crowfoot,93,Linden--Sunnyslope,4,10,2,1,138,0,155,313
Crowfoot/Crowfoot,94,Three Hills,1,3,1,0,89,0,94,154
Crowfoot/Crowfoot,95A,Three Hills,0,1,1,3,175,0,180,304
Crowfoot/Crowfoot,95B,Three Hills,2,2,0,3,150,0,157,316
Crowfoot/Crowfoot,96,Three Hills,2,3,0,6,207,0,218,292
Crowfoot/Crowfoot,97,Three Hills,10,11,3,6,244,0,274,396
Crowfoot/Crowfoot,98,Three Hills,5,7,5,1,244,2,264,455
Crowfoot/Crowfoot,99A,Three Hills--Ghost Pine Creek,8,9,1,0,188,0,206,350
Crowfoot/Crowfoot,99B,Three Hills--Ghost Pine Creek,3,13,1,8,165,0,190,341
Crowfoot/Crowfoot,100,Neapolis,Merged with No. 101,,,,,,,58
Crowfoot/Crowfoot,101,Linden Rural,7,10,1,7,145,0,170,314
Crowfoot/Crowfoot,102A,Linden,6,8,1,6,153,1,175,351
Crowfoot/Crowfoot,102B,Linden,5,6,4,4,133,1,153,320
Crowfoot/Crowfoot,103,Wessex,Merged with No. 105,,,,,,,20
Crowfoot/Crowfoot,104A,Acme,7,8,0,4,148,0,167,280
Crowfoot/Crowfoot,104B,Acme,7,6,5,12,133,0,163,293
Crowfoot/Crowfoot,105,Acme,4,3,5,3,116,0,131,194
Crowfoot/Crowfoot,106,Carbon--Swalwell,3,8,2,4,157,0,174,347
Crowfoot/Crowfoot,107,Carbon,17,13,5,12,231,1,279,439
Crowfoot/Crowfoot,108,Carbon Rural,8,4,0,1,149,0,162,223
Crowfoot/Crowfoot,109,Rumsey,3,13,2,6,195,0,219,331
Crowfoot/Crowfoot,110,Delia,8,15,3,15,208,0,249,397
Crowfoot/Crowfoot,111,Morrin,4,12,3,25,176,0,220,323
Crowfoot/Crowfoot,112,Munson,5,10,4,12,168,0,199,294
Crowfoot/Crowfoot,113,Drumheller--Nacmine,11,23,1,16,184,0,235,395
Crowfoot/Crowfoot,114,Rosedale,16,26,6,20,201,0,269,499
Crowfoot/Crowfoot,115,Drumheller Rural,18,17,5,18,156,1,215,394
Crowfoot/Crowfoot,116,Craigmyle,8,17,4,10,167,0,206,351
Crowfoot/Crowfoot,117,Drumheller,17,21,3,20,216,0,277,471
Crowfoot/Crowfoot,118,Drumheller,17,15,5,12,135,0,184,370
Crowfoot/Crowfoot,119,Drumheller,6,14,3,19,179,0,221,471
Crowfoot/Crowfoot,120,Drumheller,10,28,4,21,138,0,201,433
Crowfoot/Crowfoot,121,Drumheller,12,14,8,20,151,0,205,461
Crowfoot/Crowfoot,122A,Drumheller,4,8,0,12,65,0,89,241
Crowfoot/Crowfoot,122B,Drumheller,9,14,2,9,76,1,111,302
Crowfoot/Crowfoot,123,Drumheller,5,12,0,8,109,0,134,296
Crowfoot/Crowfoot,124,Drumheller,12,16,1,12,136,0,177,355
Crowfoot/Crowfoot,125,Drumheller,11,26,1,19,138,0,195,312
Crowfoot/Crowfoot,126,Drumheller,7,19,3,19,151,0,199,403
Crowfoot/Crowfoot,127,Drumheller,16,21,4,21,155,0,217,482
Crowfoot/Crowfoot,128,Hanna Rural,11,16,6,8,235,0,276,408
Crowfoot/Crowfoot,129,Hanna,12,15,5,11,164,0,207,346
Crowfoot/Crowfoot,130A,Hanna,8,5,8,10,161,0,192,396
Crowfoot/Crowfoot,130B,Hanna,9,13,5,6,118,0,151,391
Crowfoot/Crowfoot,131,Hanna,7,4,6,9,147,0,173,275
Crowfoot/Crowfoot,132,Hanna,7,16,3,11,145,0,182,291
Crowfoot/Crowfoot,133,Hanna,4,13,3,10,126,0,156,263
Crowfoot/Crowfoot,134,Hanna,7,8,2,9,76,0,102,182
Crowfoot/Crowfoot,135,Spondin,6,4,1,3,92,0,106,160
Crowfoot/Crowfoot,136,Scotfield,Merged with No. 193,,,,,,,75
Crowfoot/Crowfoot,137,Beiseker Rural,3,2,0,5,123,0,133,232
Crowfoot/Crowfoot,138A,Beiseker,9,26,3,21,143,0,202,359
Crowfoot/Crowfoot,138B,Beiseker,11,16,4,9,144,0,184,309
Crowfoot/Crowfoot,139,Irricana,20,18,3,23,206,0,270,557
Crowfoot/Crowfoot,140,Irricana,10,7,3,16,119,2,157,276
Crowfoot/Crowfoot,141,Irricana Rural,5,6,0,6,144,0,161,269
Crowfoot/Crowfoot,142,Keoma,18,15,2,17,188,1,241,377
Crowfoot/Crowfoot,143,Conrich,15,28,2,9,176,0,230,399
Crowfoot/Crowfoot,144,Dalroy,3,12,0,7,155,0,177,222
Crowfoot/Crowfoot,145A,Chestermere Lake,15,29,2,20,247,0,313,577
Crowfoot/Crowfoot,145B,Chestermere Lake,15,38,3,15,251,1,323,553
Crowfoot/Crowfoot,145C,Chestermere Lake,9,28,4,14,252,1,308,526
Crowfoot/Crowfoot,146A,Chestermere Lake,8,17,2,8,153,0,188,377
Crowfoot/Crowfoot,146B,Chestermere Lake,5,18,4,11,143,1,182,376
Crowfoot/Crowfoot,147,Chestermere Lake,9,38,1,11,241,0,300,547
Crowfoot/Crowfoot,148,Chestermere Lake,12,30,1,23,237,0,303,569
Crowfoot/Crowfoot,149A,Chestermere Lake,6,16,2,6,114,0,144,301
Crowfoot/Crowfoot,149B,Chestermere Lake,4,17,1,2,104,0,128,277
Crowfoot/Crowfoot,150,Chestermere Lake,1,21,2,4,137,0,165,310
Crowfoot/Crowfoot,151,Chestermere Lake,7,26,0,9,196,0,238,432
Crowfoot/Crowfoot,152A,Chestermere Rural,10,16,2,17,152,0,197,358
Crowfoot/Crowfoot,152B,Chestermere Rural,12,17,2,12,180,0,223,355
Crowfoot/Crowfoot,153,Chestermere Rural,6,9,3,10,82,0,110,119
Crowfoot/Crowfoot,154,Indus Rural,9,23,3,14,245,0,294,520
Crowfoot/Crowfoot,155,Langdon,15,32,1,26,231,1,306,482
Crowfoot/Crowfoot,156A,Langdon,4,15,1,19,207,0,246,432
Crowfoot/Crowfoot,156B,Langdon,16,23,6,19,230,0,294,471
Crowfoot/Crowfoot,156C,Langdon,10,13,2,17,163,1,206,330
Crowfoot/Crowfoot,157,Indus Rural,6,10,2,4,85,0,107,153
Crowfoot/Crowfoot,158,Indus,18,18,1,2,220,0,259,372
Crowfoot/Crowfoot,159,Rockyford Rural,1,5,1,4,63,0,74,184
Crowfoot/Crowfoot,160,Rockyford,6,19,4,23,211,0,263,460
Crowfoot/Crowfoot,161A,Strathmore Rural,6,7,2,10,141,0,166,305
Crowfoot/Crowfoot,161B,Strathmore Rural,3,6,2,2,114,0,127,280
Crowfoot/Crowfoot,162,Strathmore Rural,9,13,1,14,256,0,293,475
Crowfoot/Crowfoot,163A,Strathmore,3,16,2,3,110,0,134,291
Crowfoot/Crowfoot,163B,Strathmore,4,18,0,19,109,1,151,325
Crowfoot/Crowfoot,164,Strathmore,14,23,7,16,163,0,223,410
Crowfoot/Crowfoot,165,Strathmore,7,27,2,18,200,2,256,502
Crowfoot/Crowfoot,166,Strathmore,7,14,1,16,163,0,201,414
Crowfoot/Crowfoot,167A,Strathmore,6,16,2,11,135,0,170,322
Crowfoot/Crowfoot,167B,Strathmore,7,12,1,16,98,0,134,268
Crowfoot/Crowfoot,168,Strathmore,6,22,1,18,147,0,194,392
Crowfoot/Crowfoot,169,Strathmore,4,18,3,17,154,0,196,347
Crowfoot/Crowfoot,170,Strathmore,11,18,2,24,228,1,284,495
Crowfoot/Crowfoot,171,Strathmore,11,17,2,14,173,0,217,430
Crowfoot/Crowfoot,172,Strathmore,9,19,3,19,169,0,219,416
Crowfoot/Crowfoot,173,Strathmore,10,25,2,17,145,0,199,437
Crowfoot/Crowfoot,174,Strathmore,8,21,6,20,174,1,230,403
Crowfoot/Crowfoot,175,Strathmore,12,18,7,6,99,0,142,342
Crowfoot/Crowfoot,176,Strathmore,5,23,0,15,162,2,207,365
Crowfoot/Crowfoot,177,Strathmore Rural,20,18,0,11,265,0,314,506
Crowfoot/Crowfoot,178,Standard Rural,11,15,10,23,246,0,305,465
Crowfoot/Crowfoot,179,Langdon,1,3,2,5,70,0,81,117
Crowfoot/Crowfoot,180,Namaka,13,15,3,18,224,0,273,385
Crowfoot/Crowfoot,181,Carseland,2,1,0,1,55,0,59,94
Crowfoot/Crowfoot,182A,Carseland,10,10,5,9,114,0,148,294
Crowfoot/Crowfoot,182B,Carseland,4,19,6,15,140,0,184,340
Crowfoot/Crowfoot,183,Gleichen,15,38,6,25,179,0,263,480
Crowfoot/Crowfoot,184,Dalum,7,8,1,6,105,0,127,106
Crowfoot/Crowfoot,185,Dalum,Merged with No. 184,,,,,,,79
Crowfoot/Crowfoot,186,Chancellor,1,7,0,0,59,2,69,85
Crowfoot/Crowfoot,187,Hussar,1,8,3,7,250,0,269,364
Crowfoot/Crowfoot,188,Hussar,Merged with No. 189,,,,,,,8
Crowfoot/Crowfoot,189,Gleichen Rural,3,5,2,5,95,0,110,388
Crowfoot/Crowfoot,190,Makepeace,Merged with No. 189,,,,,,,33
Crowfoot/Crowfoot,191,Sunnynook,6,7,2,0,88,0,103,159
Crowfoot/Crowfoot,192,Patricia,3,12,3,2,92,1,113,258
Crowfoot/Crowfoot,193,Youngstown,9,16,8,7,223,3,266,323
Crowfoot/Crowfoot,194,New Brigden,2,7,1,12,144,1,167,246
Crowfoot/Crowfoot,195,Cereal,3,4,2,9,139,0,157,259
Crowfoot/Crowfoot,196,Oyen,3,23,6,13,196,0,241,482
Crowfoot/Crowfoot,197,Oyen,2,14,3,7,172,0,198,297
Crowfoot/Crowfoot,198,Oyen Rural,3,11,3,4,103,1,125,242
Crowfoot/Crowfoot,199,Cappon,0,1,1,3,62,0,67,103
Crowfoot/Crowfoot,200,Acadia,0,9,1,6,169,0,185,286
Crowfoot/Crowfoot,500,Mobile poll/Bureau itinérant,3,6,3,3,6,8,29,59
Crowfoot/Crowfoot,501,Mobile poll/Bureau itinérant,0,14,1,10,96,0,121,152
Crowfoot/Crowfoot,502,Mobile poll/Bureau itinérant,4,14,2,7,87,2,116,150
Crowfoot/Crowfoot,503,Mobile poll/Bureau itinérant,1,4,1,2,31,0,39,47
Crowfoot/Crowfoot,504,Mobile poll/Bureau itinérant,3,5,2,4,55,0,69,82
Crowfoot/Crowfoot,505,Mobile poll/Bureau itinérant,1,12,1,6,67,0,87,94
Crowfoot/Crowfoot,506,Mobile poll/Bureau itinérant,1,8,1,1,48,0,59,62
Crowfoot/Crowfoot,507,Mobile poll/Bureau itinérant,5,17,2,8,95,0,127,171
Crowfoot/Crowfoot,508,Mobile poll/Bureau itinérant,3,7,0,2,63,0,75,89
Crowfoot/Crowfoot,509,Mobile poll/Bureau itinérant,1,4,2,1,38,1,47,99
Crowfoot/Crowfoot,510,Mobile poll/Bureau itinérant,2,8,1,3,57,5,76,149
Crowfoot/Crowfoot,511,Mobile poll/Bureau itinérant,2,7,3,4,55,0,71,105
Crowfoot/Crowfoot,600,Camrose County No. 22,19,18,2,25,211,1,276,
Crowfoot/Crowfoot,601,Camrose,15,34,1,21,200,0,271,
Crowfoot/Crowfoot,602,Camrose,7,27,3,46,239,0,322,
Crowfoot/Crowfoot,603,Settler County No. 6,11,37,4,21,387,1,461,
Crowfoot/Crowfoot,604,Paintearth County No. 18,7,6,3,3,82,0,101,
Crowfoot/Crowfoot,605,Consort--Veteran,0,4,0,0,26,0,30,
Crowfoot/Crowfoot,606,Kneehill County,12,14,1,5,398,0,430,
Crowfoot/Crowfoot,607,Drumheller--Starland County,5,2,1,5,120,0,133,
Crowfoot/Crowfoot,608,Drumheller,9,27,4,27,250,2,319,
Crowfoot/Crowfoot,609,Hanna,12,6,1,6,173,0,198,
Crowfoot/Crowfoot,610,Rocky View No. 44,12,42,2,16,414,2,488,
Crowfoot/Crowfoot,611,Starthmore--Wheatland County,13,37,6,28,453,2,539,
Crowfoot/Crowfoot,612,Hussar--Wheatland County,1,2,0,0,17,0,20,
Crowfoot/Crowfoot,613,Special Area No. 2,No poll held,,,,,,,
Crowfoot/Crowfoot,614,MD of Acadia--Oyen,1,2,2,3,126,0,134,
Crowfoot/Crowfoot,,Group 1/Groupe 1,2,13,6,7,29,3,60,113
Crowfoot/Crowfoot,,Group 2/Groupe 2,16,43,4,41,359,5,468,
