District,Poll Number,Poll Name,Charles Boylan,Ujjal Dosanjh,Joe Sixpack Horrocks,Bev Meslo,Doug Perry,H. Sandhu,Victor Soo Chan,Stephen Von Sychowski,Frank Wagner,Rejected Ballots,Total Vote,Electors
Vancouver South/Vancouver-Sud,35,Vancouver,0,61,2,69,5,0,46,0,0,2,185,339
Vancouver South/Vancouver-Sud,36,Vancouver,0,85,0,83,23,0,63,1,3,1,259,438
Vancouver South/Vancouver-Sud,37,Vancouver,0,49,0,27,7,1,23,0,1,0,108,202
Vancouver South/Vancouver-Sud,38,Vancouver,1,55,0,53,12,0,39,1,1,1,163,342
Vancouver South/Vancouver-Sud,39,Vancouver,1,40,1,49,11,0,40,1,7,0,150,325
Vancouver South/Vancouver-Sud,40,Vancouver,1,133,1,33,7,0,80,0,4,4,263,538
Vancouver South/Vancouver-Sud,41,Vancouver,1,139,0,26,14,1,64,0,0,1,246,443
Vancouver South/Vancouver-Sud,42,Vancouver,0,134,2,63,16,1,67,1,2,5,291,470
Vancouver South/Vancouver-Sud,43,Vancouver,2,108,0,55,9,0,45,2,1,2,224,447
Vancouver South/Vancouver-Sud,44,Vancouver,0,120,0,34,9,1,62,3,2,0,231,525
Vancouver South/Vancouver-Sud,45,Vancouver,0,97,2,31,15,0,54,0,2,0,201,354
Vancouver South/Vancouver-Sud,46,Vancouver,1,124,0,70,10,1,54,0,1,0,261,496
Vancouver South/Vancouver-Sud,47,Vancouver,2,113,0,112,19,0,62,1,2,4,315,603
Vancouver South/Vancouver-Sud,48,Vancouver,0,92,0,83,18,0,38,0,3,1,235,394
Vancouver South/Vancouver-Sud,49,Vancouver,0,67,1,69,5,2,50,0,4,2,200,305
Vancouver South/Vancouver-Sud,50,Vancouver,0,96,1,86,11,0,55,0,1,0,250,474
Vancouver South/Vancouver-Sud,51,Vancouver,1,93,1,52,14,0,49,0,1,3,214,360
Vancouver South/Vancouver-Sud,52,Vancouver,0,109,4,85,11,0,46,1,3,1,260,469
Vancouver South/Vancouver-Sud,53,Vancouver,0,123,1,107,4,0,53,1,1,1,291,568
Vancouver South/Vancouver-Sud,54,Vancouver,1,123,0,88,5,0,45,0,3,1,266,495
Vancouver South/Vancouver-Sud,55,Vancouver,0,129,1,88,8,1,50,0,3,3,283,525
Vancouver South/Vancouver-Sud,56,Vancouver,1,102,0,41,6,0,60,0,4,2,216,402
Vancouver South/Vancouver-Sud,57,Vancouver,1,125,0,38,5,0,45,0,0,2,216,494
Vancouver South/Vancouver-Sud,58,Vancouver,1,120,0,73,5,1,45,3,4,0,252,506
Vancouver South/Vancouver-Sud,59,Vancouver,1,144,1,66,13,0,59,0,0,6,290,582
Vancouver South/Vancouver-Sud,60,Vancouver,0,169,1,53,16,0,89,2,2,3,335,633
Vancouver South/Vancouver-Sud,61,Vancouver,0,113,0,36,11,0,71,0,0,1,232,393
Vancouver South/Vancouver-Sud,62,Vancouver,1,73,0,45,8,0,56,0,0,1,184,387
Vancouver South/Vancouver-Sud,63,Vancouver,2,119,1,59,11,1,64,0,5,2,264,539
Vancouver South/Vancouver-Sud,64,Vancouver,0,89,0,65,18,2,74,0,2,3,253,442
Vancouver South/Vancouver-Sud,65,Vancouver,0,90,0,39,8,0,32,2,0,1,172,449
Vancouver South/Vancouver-Sud,66,Vancouver,2,108,0,34,8,2,88,0,0,2,244,454
Vancouver South/Vancouver-Sud,67,Vancouver,0,129,2,38,8,0,49,2,4,0,232,440
Vancouver South/Vancouver-Sud,68,Vancouver,0,119,0,108,7,2,58,1,3,0,298,568
Vancouver South/Vancouver-Sud,69,Vancouver,0,129,3,77,12,0,36,1,2,0,260,585
Vancouver South/Vancouver-Sud,70,Vancouver,3,132,0,50,6,0,67,0,5,4,267,501
Vancouver South/Vancouver-Sud,71,Vancouver,2,109,1,106,9,0,45,0,0,4,276,512
Vancouver South/Vancouver-Sud,72,Vancouver,1,105,0,101,6,0,62,0,2,2,279,485
Vancouver South/Vancouver-Sud,73,Vancouver,3,123,0,95,0,1,20,0,0,6,248,508
Vancouver South/Vancouver-Sud,74,Vancouver,0,105,0,87,3,2,40,0,9,2,248,468
Vancouver South/Vancouver-Sud,75,Vancouver,2,138,0,91,8,0,40,1,0,2,282,530
Vancouver South/Vancouver-Sud,76,Vancouver,0,104,0,80,4,1,39,1,0,5,234,465
Vancouver South/Vancouver-Sud,77,Vancouver,0,120,2,90,5,5,51,1,1,2,277,537
Vancouver South/Vancouver-Sud,78,Vancouver,0,107,0,112,4,5,28,2,1,1,260,480
Vancouver South/Vancouver-Sud,79,Vancouver,2,137,1,120,4,1,40,1,1,1,308,552
Vancouver South/Vancouver-Sud,80,Vancouver,1,136,0,79,5,2,59,0,0,3,285,542
Vancouver South/Vancouver-Sud,81,Vancouver,0,139,0,117,4,2,47,1,1,2,313,552
Vancouver South/Vancouver-Sud,82,Vancouver,1,96,0,125,4,2,34,2,0,2,266,555
Vancouver South/Vancouver-Sud,83,Vancouver,0,125,0,108,5,0,41,2,0,1,282,583
Vancouver South/Vancouver-Sud,84,Vancouver,0,135,1,42,6,0,70,2,1,0,257,519
Vancouver South/Vancouver-Sud,85,Vancouver,3,96,2,49,6,0,52,3,0,2,213,400
Vancouver South/Vancouver-Sud,86,Vancouver,1,136,2,59,7,2,63,3,4,0,277,524
Vancouver South/Vancouver-Sud,87,Vancouver,0,71,0,27,7,0,39,0,2,0,146,513
Vancouver South/Vancouver-Sud,88,Vancouver,2,69,0,42,6,0,53,1,2,4,179,438
Vancouver South/Vancouver-Sud,89,Vancouver,0,114,0,45,3,1,60,0,5,2,230,502
Vancouver South/Vancouver-Sud,90,Vancouver,3,150,1,65,8,0,75,1,1,1,305,667
Vancouver South/Vancouver-Sud,91,Vancouver,2,155,0,81,7,1,111,2,5,4,368,508
Vancouver South/Vancouver-Sud,92,Vancouver,0,105,0,44,5,0,70,0,1,0,225,449
Vancouver South/Vancouver-Sud,93,Vancouver,0,84,2,57,7,0,63,0,4,2,219,411
Vancouver South/Vancouver-Sud,94,Vancouver,0,122,0,54,3,2,54,1,2,2,240,475
Vancouver South/Vancouver-Sud,95,Vancouver,0,77,0,50,5,1,21,1,2,0,157,308
Vancouver South/Vancouver-Sud,96,Vancouver,1,148,1,71,6,0,50,1,3,1,282,510
Vancouver South/Vancouver-Sud,97,Vancouver,2,156,1,57,8,1,118,0,0,7,350,614
Vancouver South/Vancouver-Sud,98,Vancouver,0,173,1,46,10,0,70,0,1,1,302,595
Vancouver South/Vancouver-Sud,99,Vancouver,0,95,1,69,10,1,48,0,2,0,226,460
Vancouver South/Vancouver-Sud,100,Vancouver,0,64,1,41,6,1,41,0,1,0,155,264
Vancouver South/Vancouver-Sud,101,Vancouver,2,74,1,64,10,0,65,2,3,1,222,425
Vancouver South/Vancouver-Sud,102,Vancouver,0,87,1,93,2,1,34,0,0,4,222,460
Vancouver South/Vancouver-Sud,103,Vancouver,4,109,1,57,5,1,34,0,1,1,213,455
Vancouver South/Vancouver-Sud,104,Vancouver,0,89,1,64,6,0,42,0,2,1,205,431
Vancouver South/Vancouver-Sud,105,Vancouver,2,85,0,63,5,2,69,1,0,1,228,425
Vancouver South/Vancouver-Sud,106,Vancouver,0,145,2,51,5,1,56,0,1,3,264,452
Vancouver South/Vancouver-Sud,107,Vancouver,1,126,2,45,6,0,39,0,6,5,230,504
Vancouver South/Vancouver-Sud,108,Vancouver,1,42,0,30,2,0,27,0,1,0,103,252
Vancouver South/Vancouver-Sud,109,Vancouver,0,130,0,55,6,1,56,0,1,2,251,493
Vancouver South/Vancouver-Sud,110,Vancouver,0,66,1,38,9,1,45,2,0,2,164,343
Vancouver South/Vancouver-Sud,111,Vancouver,0,34,0,12,3,1,24,1,2,0,77,139
Vancouver South/Vancouver-Sud,112,Vancouver,1,142,1,67,5,0,70,1,2,1,290,503
Vancouver South/Vancouver-Sud,113,Vancouver,1,128,0,96,8,1,84,0,0,3,321,583
Vancouver South/Vancouver-Sud,114,Vancouver,0,107,0,45,3,1,73,0,0,0,229,446
Vancouver South/Vancouver-Sud,115,Vancouver,0,56,1,40,2,0,37,0,0,1,137,300
Vancouver South/Vancouver-Sud,116,Vancouver,1,55,0,21,0,1,19,0,0,1,98,211
Vancouver South/Vancouver-Sud,117,Vancouver,3,26,0,74,1,2,14,3,1,1,125,269
Vancouver South/Vancouver-Sud,118,Vancouver,1,126,0,56,8,0,60,1,3,3,258,556
Vancouver South/Vancouver-Sud,119,Vancouver,3,119,0,69,4,0,57,0,2,2,256,464
Vancouver South/Vancouver-Sud,120,Vancouver,1,69,2,62,6,3,55,0,1,2,201,427
Vancouver South/Vancouver-Sud,121,Vancouver,1,77,1,34,10,0,50,1,1,1,176,356
Vancouver South/Vancouver-Sud,122,Vancouver,2,150,1,43,10,1,49,2,2,2,262,483
Vancouver South/Vancouver-Sud,123,Vancouver,2,118,1,61,8,2,86,2,9,2,291,561
Vancouver South/Vancouver-Sud,124,Vancouver,1,86,2,59,11,2,46,1,9,1,218,431
Vancouver South/Vancouver-Sud,125,Vancouver,0,97,1,51,13,1,82,0,5,1,251,420
Vancouver South/Vancouver-Sud,126,Vancouver,1,96,2,44,6,1,54,2,3,1,210,421
Vancouver South/Vancouver-Sud,127,Vancouver,1,117,0,58,6,0,80,2,3,0,267,553
Vancouver South/Vancouver-Sud,128,Vancouver,1,96,0,50,7,0,78,0,2,1,235,418
Vancouver South/Vancouver-Sud,129,Vancouver,0,117,0,47,11,2,55,0,4,0,236,431
Vancouver South/Vancouver-Sud,130,Vancouver,2,120,0,50,6,0,69,1,0,0,248,509
Vancouver South/Vancouver-Sud,131,Vancouver,0,156,0,61,4,4,101,0,2,2,330,579
Vancouver South/Vancouver-Sud,132,Vancouver,0,163,0,54,9,0,92,0,4,1,323,575
Vancouver South/Vancouver-Sud,133,Vancouver,0,121,0,40,6,1,109,0,2,0,279,473
Vancouver South/Vancouver-Sud,134,Vancouver,0,134,1,38,2,1,71,1,2,3,253,482
Vancouver South/Vancouver-Sud,135,Vancouver,0,100,0,77,20,0,65,0,1,1,264,496
Vancouver South/Vancouver-Sud,136,Vancouver,2,71,0,50,3,0,50,0,2,0,178,361
Vancouver South/Vancouver-Sud,137,Vancouver,0,106,0,70,11,0,72,0,0,0,259,501
Vancouver South/Vancouver-Sud,138,Vancouver,0,44,0,38,3,0,19,0,0,0,104,221
Vancouver South/Vancouver-Sud,139,Vancouver,0,144,1,101,27,0,79,0,2,1,355,743
Vancouver South/Vancouver-Sud,140,Vancouver,2,101,0,46,6,0,45,0,5,0,205,421
Vancouver South/Vancouver-Sud,141,Vancouver,0,90,0,44,8,0,53,0,1,0,196,355
Vancouver South/Vancouver-Sud,142,Vancouver,1,105,2,45,10,1,67,0,1,4,236,416
Vancouver South/Vancouver-Sud,143,Vancouver,0,71,1,91,13,1,61,1,4,0,243,465
Vancouver South/Vancouver-Sud,144,Vancouver,0,110,0,53,6,2,64,0,4,3,242,446
Vancouver South/Vancouver-Sud,145,Vancouver,0,121,1,52,6,0,58,0,1,0,239,481
Vancouver South/Vancouver-Sud,146,Vancouver,0,106,1,52,1,0,105,0,1,1,267,466
Vancouver South/Vancouver-Sud,147,Vancouver,2,80,1,96,5,0,46,0,3,3,236,399
Vancouver South/Vancouver-Sud,148,Vancouver,1,139,1,61,12,0,86,0,1,2,303,463
Vancouver South/Vancouver-Sud,149,Vancouver,0,30,0,95,6,0,36,0,5,1,173,269
Vancouver South/Vancouver-Sud,150,Vancouver,0,101,1,94,6,0,57,0,2,2,263,445
Vancouver South/Vancouver-Sud,151,Vancouver,0,76,0,49,7,0,67,0,0,2,201,351
Vancouver South/Vancouver-Sud,152,Vancouver,2,137,0,43,4,0,125,1,1,2,315,576
Vancouver South/Vancouver-Sud,153,Vancouver,0,112,1,85,11,0,79,0,3,2,293,439
Vancouver South/Vancouver-Sud,154,Vancouver,1,117,0,104,12,0,90,1,3,2,330,528
Vancouver South/Vancouver-Sud,155,Vancouver,0,85,0,105,4,0,65,1,1,0,261,439
Vancouver South/Vancouver-Sud,156,Vancouver,0,63,1,103,16,0,45,1,2,1,232,395
Vancouver South/Vancouver-Sud,157,Vancouver,0,97,0,147,18,0,60,1,1,1,325,490
Vancouver South/Vancouver-Sud,158,Vancouver,1,77,1,89,11,0,50,0,2,2,233,430
Vancouver South/Vancouver-Sud,159,Vancouver,0,80,0,40,7,0,57,0,1,0,185,334
Vancouver South/Vancouver-Sud,160,Vancouver,0,91,0,111,14,0,58,3,1,2,280,469
Vancouver South/Vancouver-Sud,500,Mobile poll/Bureau itinérant,0,13,1,6,3,0,25,1,1,1,51,87
Vancouver South/Vancouver-Sud,501,Mobile poll/Bureau itinérant,1,46,3,38,4,0,26,1,3,0,122,218
Vancouver South/Vancouver-Sud,502,Mobile poll/Bureau itinérant,2,26,0,18,4,0,13,0,3,0,66,120
Vancouver South/Vancouver-Sud,503,Mobile poll/Bureau itinérant,0,26,0,24,5,0,19,0,3,2,79,171
Vancouver South/Vancouver-Sud,504,Mobile poll/Bureau itinérant,0,30,4,29,4,4,20,3,1,0,95,103
Vancouver South/Vancouver-Sud,505,Mobile poll/Bureau itinérant,6,58,0,43,5,1,64,1,3,0,181,210
Vancouver South/Vancouver-Sud,600,Vancouver,1,88,0,17,6,0,77,0,1,0,190,
Vancouver South/Vancouver-Sud,601,Vancouver,0,69,0,44,6,0,49,0,1,2,171,
Vancouver South/Vancouver-Sud,602,Vancouver,0,246,0,114,13,1,126,0,4,1,505,
Vancouver South/Vancouver-Sud,603,Vancouver,0,104,0,63,12,0,59,0,1,1,240,
Vancouver South/Vancouver-Sud,604,Vancouver,0,56,0,29,4,2,48,0,0,0,139,
Vancouver South/Vancouver-Sud,605,Vancouver,0,68,0,37,1,2,50,0,1,0,159,
Vancouver South/Vancouver-Sud,606,Vancouver,1,83,0,35,9,0,79,0,1,1,209,
Vancouver South/Vancouver-Sud,607,Vancouver,1,98,0,61,7,0,121,3,4,3,298,
Vancouver South/Vancouver-Sud,,Group 1/Groupe 1,0,29,0,14,5,0,21,0,0,0,69,105
Vancouver South/Vancouver-Sud,,Group 2/Groupe 2,0,243,0,169,22,0,170,0,6,9,619,
