District,Poll Number,Poll Name,Stockwell Day,Lelannd Haver,Harry Naegel,Jack William Peach,Joyce Procure,Vanessa Sutton,Rejected Ballots,Total Vote,Electors
Okanagan--Coquihalla/Okanagan--Coquihalla,89,Summerland,166,1,15,3,28,60,1,274,428
Okanagan--Coquihalla/Okanagan--Coquihalla,90,Summerland,135,0,17,1,42,85,1,281,447
Okanagan--Coquihalla/Okanagan--Coquihalla,91,Summerland,120,1,18,3,53,61,1,257,412
Okanagan--Coquihalla/Okanagan--Coquihalla,92,Summerland,69,1,12,0,47,30,1,160,254
Okanagan--Coquihalla/Okanagan--Coquihalla,93,Summerland,105,1,16,5,69,43,0,239,399
Okanagan--Coquihalla/Okanagan--Coquihalla,94,Summerland,131,2,34,4,77,63,0,311,510
Okanagan--Coquihalla/Okanagan--Coquihalla,95,Summerland,94,1,12,2,50,60,0,219,357
Okanagan--Coquihalla/Okanagan--Coquihalla,96,Summerland,79,0,19,4,76,23,0,201,338
Okanagan--Coquihalla/Okanagan--Coquihalla,97,Summerland,108,4,9,2,47,45,1,216,361
Okanagan--Coquihalla/Okanagan--Coquihalla,98,Summerland,187,3,15,3,66,72,1,347,563
Okanagan--Coquihalla/Okanagan--Coquihalla,99,Summerland,133,1,16,0,60,68,0,278,418
Okanagan--Coquihalla/Okanagan--Coquihalla,100,Summerland,79,0,11,1,32,30,0,153,270
Okanagan--Coquihalla/Okanagan--Coquihalla,101,Summerland,177,1,27,5,73,87,0,370,561
Okanagan--Coquihalla/Okanagan--Coquihalla,102,Summerland,86,2,7,2,40,22,0,159,269
Okanagan--Coquihalla/Okanagan--Coquihalla,103,Summerland,91,3,12,3,74,31,0,214,355
Okanagan--Coquihalla/Okanagan--Coquihalla,104A,Summerland,100,0,15,2,56,37,0,210,377
Okanagan--Coquihalla/Okanagan--Coquihalla,104B,Summerland,111,0,15,2,60,44,0,232,381
Okanagan--Coquihalla/Okanagan--Coquihalla,105,Summerland,179,1,15,4,71,64,3,337,550
Okanagan--Coquihalla/Okanagan--Coquihalla,106,Summerland,145,0,32,2,61,72,1,313,474
Okanagan--Coquihalla/Okanagan--Coquihalla,107,Naramata,64,0,21,0,39,28,0,152,226
Okanagan--Coquihalla/Okanagan--Coquihalla,108,Penticton 1,Void,,,,,,,,
Okanagan--Coquihalla/Okanagan--Coquihalla,109A,Penticton 1,119,4,18,3,41,59,1,245,382
Okanagan--Coquihalla/Okanagan--Coquihalla,109B,Penticton 1,110,1,16,5,36,41,0,209,333
Okanagan--Coquihalla/Okanagan--Coquihalla,110,Penticton 1,70,0,13,1,33,41,1,159,306
Okanagan--Coquihalla/Okanagan--Coquihalla,111,Penticton 1,74,2,18,2,20,28,1,145,256
Okanagan--Coquihalla/Okanagan--Coquihalla,112,Penticton 1,207,2,4,0,23,95,0,331,560
Okanagan--Coquihalla/Okanagan--Coquihalla,113,Penticton 1,Void,,,,,,,,
Okanagan--Coquihalla/Okanagan--Coquihalla,114,Penticton,101,0,26,0,43,72,1,243,399
Okanagan--Coquihalla/Okanagan--Coquihalla,115,Naramata,104,0,14,2,47,44,3,214,290
Okanagan--Coquihalla/Okanagan--Coquihalla,116,Naramata,131,1,43,5,80,76,1,337,540
Okanagan--Coquihalla/Okanagan--Coquihalla,117,Penticton,105,0,35,2,59,83,1,285,526
Okanagan--Coquihalla/Okanagan--Coquihalla,118,Penticton,147,1,15,1,47,92,2,305,547
Okanagan--Coquihalla/Okanagan--Coquihalla,119,Penticton,85,0,16,1,42,36,0,180,339
Okanagan--Coquihalla/Okanagan--Coquihalla,120,Penticton,75,0,12,1,48,43,0,179,358
Okanagan--Coquihalla/Okanagan--Coquihalla,121,Penticton,46,2,8,3,23,21,1,104,214
Okanagan--Coquihalla/Okanagan--Coquihalla,122,Penticton,77,1,23,0,42,43,0,186,392
Okanagan--Coquihalla/Okanagan--Coquihalla,123,Penticton,98,0,17,2,37,47,1,202,362
Okanagan--Coquihalla/Okanagan--Coquihalla,124,Penticton,128,1,23,0,48,73,0,273,512
Okanagan--Coquihalla/Okanagan--Coquihalla,125,Penticton,73,0,21,0,39,50,8,191,324
Okanagan--Coquihalla/Okanagan--Coquihalla,126,Penticton,58,1,21,4,40,32,3,159,412
Okanagan--Coquihalla/Okanagan--Coquihalla,127,Penticton,144,1,16,2,62,52,2,279,514
Okanagan--Coquihalla/Okanagan--Coquihalla,128,Penticton,53,1,26,8,62,39,1,190,379
Okanagan--Coquihalla/Okanagan--Coquihalla,129,Penticton,86,2,8,4,47,35,1,183,368
Okanagan--Coquihalla/Okanagan--Coquihalla,130,Penticton,61,2,10,3,56,40,1,173,359
Okanagan--Coquihalla/Okanagan--Coquihalla,131,Penticton,80,1,5,0,51,34,0,171,319
Okanagan--Coquihalla/Okanagan--Coquihalla,132,Penticton,92,2,24,7,61,64,0,250,561
Okanagan--Coquihalla/Okanagan--Coquihalla,133,Penticton,69,2,16,4,41,36,0,168,382
Okanagan--Coquihalla/Okanagan--Coquihalla,134,Penticton,89,4,32,7,61,45,0,238,464
Okanagan--Coquihalla/Okanagan--Coquihalla,135,Penticton,85,1,14,5,36,40,1,182,400
Okanagan--Coquihalla/Okanagan--Coquihalla,136,Penticton,89,1,20,6,53,40,1,210,362
Okanagan--Coquihalla/Okanagan--Coquihalla,137,Penticton,53,0,8,2,18,26,1,108,234
Okanagan--Coquihalla/Okanagan--Coquihalla,138,Penticton,81,3,23,3,53,27,3,193,412
Okanagan--Coquihalla/Okanagan--Coquihalla,139,Penticton,42,1,9,1,30,26,0,109,293
Okanagan--Coquihalla/Okanagan--Coquihalla,140,Penticton,117,0,12,4,47,35,1,216,406
Okanagan--Coquihalla/Okanagan--Coquihalla,141,Penticton,91,2,15,2,39,39,1,189,330
Okanagan--Coquihalla/Okanagan--Coquihalla,142,Penticton,71,1,7,4,50,31,0,164,350
Okanagan--Coquihalla/Okanagan--Coquihalla,143,Penticton,69,0,18,5,58,34,2,186,395
Okanagan--Coquihalla/Okanagan--Coquihalla,144,Penticton,73,3,17,2,35,30,0,160,341
Okanagan--Coquihalla/Okanagan--Coquihalla,145,Penticton,78,0,21,2,48,56,0,205,402
Okanagan--Coquihalla/Okanagan--Coquihalla,146,Penticton,75,2,26,1,51,30,1,186,329
Okanagan--Coquihalla/Okanagan--Coquihalla,147,Penticton,100,2,14,6,57,43,1,223,460
Okanagan--Coquihalla/Okanagan--Coquihalla,148,Penticton,117,1,13,0,45,78,1,255,429
Okanagan--Coquihalla/Okanagan--Coquihalla,149,Penticton,99,0,17,1,41,51,0,209,352
Okanagan--Coquihalla/Okanagan--Coquihalla,150,Penticton,115,1,29,8,64,61,2,280,523
Okanagan--Coquihalla/Okanagan--Coquihalla,151,Penticton,91,0,5,2,37,21,0,156,316
Okanagan--Coquihalla/Okanagan--Coquihalla,152,Penticton,109,0,21,1,54,53,0,238,458
Okanagan--Coquihalla/Okanagan--Coquihalla,153,Penticton,86,2,8,2,29,28,0,155,279
Okanagan--Coquihalla/Okanagan--Coquihalla,154,Penticton,100,0,14,2,40,61,0,217,429
Okanagan--Coquihalla/Okanagan--Coquihalla,155A,Penticton,98,0,1,2,30,60,1,192,334
Okanagan--Coquihalla/Okanagan--Coquihalla,155B,Penticton,73,0,11,1,26,32,0,143,279
Okanagan--Coquihalla/Okanagan--Coquihalla,155C,Mobile poll/Bureau itinérant,Merged with No. 504,,,,,,,,83
Okanagan--Coquihalla/Okanagan--Coquihalla,156,Penticton,154,1,16,5,59,72,2,309,538
Okanagan--Coquihalla/Okanagan--Coquihalla,157,Penticton,121,1,12,4,49,48,1,236,412
Okanagan--Coquihalla/Okanagan--Coquihalla,158,Penticton,66,0,4,0,36,40,0,146,300
Okanagan--Coquihalla/Okanagan--Coquihalla,159,Penticton,166,1,19,3,47,128,0,364,574
Okanagan--Coquihalla/Okanagan--Coquihalla,160,Penticton,150,0,17,0,46,116,0,329,548
Okanagan--Coquihalla/Okanagan--Coquihalla,161,Penticton,133,0,23,1,59,75,2,293,474
Okanagan--Coquihalla/Okanagan--Coquihalla,162,Penticton,95,0,9,0,32,31,0,167,271
Okanagan--Coquihalla/Okanagan--Coquihalla,163,Penticton,104,1,8,1,49,43,0,206,353
Okanagan--Coquihalla/Okanagan--Coquihalla,164,Penticton,119,4,3,0,48,50,1,225,354
Okanagan--Coquihalla/Okanagan--Coquihalla,165,Penticton,80,0,11,1,40,24,2,158,312
Okanagan--Coquihalla/Okanagan--Coquihalla,166,Penticton,105,1,12,4,54,71,3,250,479
Okanagan--Coquihalla/Okanagan--Coquihalla,167,Penticton,156,0,13,1,35,82,0,287,440
Okanagan--Coquihalla/Okanagan--Coquihalla,168,Penticton,145,1,18,0,63,66,0,293,503
Okanagan--Coquihalla/Okanagan--Coquihalla,169,Penticton,90,0,12,0,51,70,0,223,391
Okanagan--Coquihalla/Okanagan--Coquihalla,170,Penticton,83,0,9,5,30,32,0,159,384
Okanagan--Coquihalla/Okanagan--Coquihalla,171,Penticton,131,1,8,1,48,72,0,261,429
Okanagan--Coquihalla/Okanagan--Coquihalla,172,Penticton,129,2,10,3,68,61,1,274,541
Okanagan--Coquihalla/Okanagan--Coquihalla,173,Penticton,108,1,8,4,35,32,0,188,327
Okanagan--Coquihalla/Okanagan--Coquihalla,174,Penticton,129,0,11,3,45,58,0,246,452
Okanagan--Coquihalla/Okanagan--Coquihalla,175A,Kaleden,131,4,27,1,69,63,1,296,463
Okanagan--Coquihalla/Okanagan--Coquihalla,175B,Kaleden,155,0,26,1,57,56,0,295,454
Okanagan--Coquihalla/Okanagan--Coquihalla,175C,Kaleden,Merged with No. 177,,,,,,,,244
Okanagan--Coquihalla/Okanagan--Coquihalla,176,Kaleden,Void,,,,,,,,
Okanagan--Coquihalla/Okanagan--Coquihalla,177,Kaleden,149,0,21,3,78,66,4,321,215
Okanagan--Coquihalla/Okanagan--Coquihalla,178A,Okanagan Falls,143,0,11,0,26,60,1,241,351
Okanagan--Coquihalla/Okanagan--Coquihalla,178B,Okanagan Falls,88,0,20,0,29,49,0,186,287
Okanagan--Coquihalla/Okanagan--Coquihalla,179A,Okanagan Falls,105,0,15,1,42,43,4,210,340
Okanagan--Coquihalla/Okanagan--Coquihalla,179B,Okanagan Falls,107,1,8,1,31,31,0,179,309
Okanagan--Coquihalla/Okanagan--Coquihalla,180,Okanagan Falls,155,2,18,9,77,54,0,315,536
Okanagan--Coquihalla/Okanagan--Coquihalla,181,Okanagan Falls,72,0,7,0,43,23,0,145,282
Okanagan--Coquihalla/Okanagan--Coquihalla,182,Okanagan Falls,204,4,20,3,67,70,2,370,577
Okanagan--Coquihalla/Okanagan--Coquihalla,500,Mobile poll/Bureau itinérant,39,0,1,0,21,22,5,88,125
Okanagan--Coquihalla/Okanagan--Coquihalla,501,Mobile poll/Bureau itinérant,20,1,0,1,13,12,1,48,149
Okanagan--Coquihalla/Okanagan--Coquihalla,502,Mobile poll/Bureau itinérant,11,0,2,1,7,7,1,29,85
Okanagan--Coquihalla/Okanagan--Coquihalla,503,Mobile poll/Bureau itinérant,60,1,5,1,23,25,4,119,215
Okanagan--Coquihalla/Okanagan--Coquihalla,504,Mobile poll/Bureau itinérant,54,2,1,4,22,35,6,124,105
Okanagan--Coquihalla/Okanagan--Coquihalla,600,Merritt,256,5,18,9,105,90,1,484,
Okanagan--Coquihalla/Okanagan--Coquihalla,601,West Kelowna--Lakeview,385,2,39,4,100,136,3,669,
Okanagan--Coquihalla/Okanagan--Coquihalla,602,Westbank--Shannon Lake,519,7,25,5,90,194,3,843,
Okanagan--Coquihalla/Okanagan--Coquihalla,603,Glenrosa--Peachland,273,0,32,3,59,66,1,434,
Okanagan--Coquihalla/Okanagan--Coquihalla,604,Summerland,357,3,37,2,115,154,0,668,
Okanagan--Coquihalla/Okanagan--Coquihalla,605,Penticton--Naramata,167,1,19,3,36,77,0,303,
Okanagan--Coquihalla/Okanagan--Coquihalla,606,Penticton,176,1,20,2,83,83,1,366,
Okanagan--Coquihalla/Okanagan--Coquihalla,607,Penticton,226,2,21,5,89,105,2,450,
Okanagan--Coquihalla/Okanagan--Coquihalla,608,Penticton,66,0,9,0,32,23,4,134,
Okanagan--Coquihalla/Okanagan--Coquihalla,609,Okanagan Falls,144,0,8,1,39,28,0,220,
Okanagan--Coquihalla/Okanagan--Coquihalla,,Group 1/Groupe 1,48,0,6,4,23,19,1,101,185
Okanagan--Coquihalla/Okanagan--Coquihalla,,Group 2/Groupe 2,1101,10,77,7,297,393,41,1926,
