District,Poll Number,Poll Name,André Clermont,Paul Crête,Marc-André Drolet,Frédérick Garon,Isabelle Mignault,Rejected Ballots,Total Vote,Electors
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,51,Rivière-du-Loup,1,118,12,2,60,3,196,368
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,52A,Saint-Patrice-de-la-Rivière-du-Loup,2,143,8,4,38,5,200,348
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,52B,Saint-Patrice-de-la-Rivière-du-Loup,3,127,18,3,33,4,188,319
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,52C,Saint-Patrice-de-la-Rivière-du-Loup,3,91,10,10,49,2,165,303
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,53,Saint-Patrice-de-la-Rivière-du-Loup,5,169,17,3,71,4,269,580
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,54,Rivière-du-Loup,1,110,11,4,72,1,199,369
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,55,Saint-Patrice-de-la-Rivière-du-Loup,1,52,5,2,29,3,92,167
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,56,Saint-Antonin,5,178,16,3,43,5,250,478
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,57,Saint-Antonin,3,165,16,8,55,5,252,484
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,58A,Saint-Antonin,6,186,19,4,26,1,242,444
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,58B,Saint-Antonin,9,151,12,4,39,2,217,369
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,58C,Saint-Antonin,1,125,14,9,37,2,188,312
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,59,Saint-Antonin,1,28,6,0,1,1,37,84
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,60A,Notre-Dame-du-Portage,5,126,13,5,69,5,223,347
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,60B,Notre-Dame-du-Portage,5,160,13,7,72,4,261,409
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,61,Notre-Dame-du-Portage,6,101,5,4,30,3,149,238
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,62,Saint-Antonin,1,112,8,0,26,1,148,244
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,63,Saint-Antonin,3,135,17,4,37,4,200,336
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,64,Saint-Alexandre-de-Kamouraska,3,140,11,2,52,4,212,362
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,65,Saint-Alexandre-de-Kamouraska,2,96,14,5,67,1,185,365
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,66,Saint-Alexandre-de-Kamouraska,Void,,,,,,,
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,67,Saint-Alexandre-de-Kamouraska,4,104,8,3,50,3,172,344
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,68,Saint-Alexandre-de-Kamouraska,2,121,11,3,65,4,206,378
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,69,Saint-André,4,114,6,7,61,0,192,291
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,70,Saint-André,0,74,9,3,51,1,138,204
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,71,Saint-Joseph-de-Kamouraska,7,87,4,2,58,4,162,320
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,72,Saint-Germain,8,95,4,5,37,3,152,234
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,73,Sainte-Hélène,2,134,11,5,78,1,231,396
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,74,Sainte-Hélène,3,105,12,3,51,3,177,324
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,75,Kamouraska,6,117,7,3,38,4,175,327
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,76,Kamouraska,1,66,6,1,36,1,111,232
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,77,Saint-Pascal,3,120,9,5,49,5,191,366
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,78,Saint-Pascal,3,100,1,1,39,1,145,270
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,79,Saint-Pascal,3,107,2,2,85,4,203,355
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,80,Saint-Pascal,2,128,9,1,77,5,222,410
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,81,Saint-Pascal,0,91,9,1,59,5,165,284
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,82,Saint-Pascal,1,105,12,2,65,0,185,337
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,83,Saint-Pascal,0,107,6,1,54,1,169,345
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,84,Saint-Pascal,1,116,7,2,77,2,205,321
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,85,Saint-Pascal,3,89,3,5,50,0,150,239
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,86,Saint-Bruno-de-Kamouraska,3,131,12,2,47,2,197,424
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,87,Saint-Athanase,Void,,,,,,,
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,88,Saint-Denis,4,154,16,3,55,3,235,385
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,89,Saint-Philippe-de-Néri,1,136,18,2,38,5,200,437
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,90,Saint-Philippe-de-Néri,0,129,11,5,31,5,181,328
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,91,Mont-Carmel,2,107,13,2,31,4,159,286
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,92,Mont-Carmel,2,72,7,3,18,1,103,214
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,93,Mont-Carmel,3,167,19,3,57,0,249,477
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,94A,Rivière-Ouelle,2,64,5,1,20,2,94,145
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,94B,Mobile poll/Bureau itinérant,Merged with No. 503,,,,,,,32
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,95,Rivière-Ouelle,2,114,3,2,51,4,176,361
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,96,Rivière-Ouelle,1,109,8,3,50,2,173,313
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,97,Saint-Pacôme,1,145,15,4,52,4,221,395
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,98,Saint-Pacôme,1,119,4,2,16,4,146,231
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,99,Saint-Gabriel-Lalemant,2,111,6,1,17,4,141,279
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,100,Saint-Gabriel-Lalemant,3,142,14,1,45,1,206,403
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,101,Saint-Pacôme,6,154,7,5,46,5,223,399
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,102,Saint-Pacôme,5,123,6,1,27,1,163,314
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,103A,La Pocatière,4,112,11,3,48,3,181,299
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,103B,La Pocatière,5,95,11,4,43,2,160,309
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,104,Sainte-Anne-de-la-Pocatière,1,120,13,5,57,1,197,364
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,105,Sainte-Anne-de-la-Pocatière,3,129,14,4,27,5,182,322
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,106,Saint-Onésime-d'Ixworth,1,48,8,0,6,0,63,175
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,107A,La Pocatière,2,87,7,4,42,5,147,407
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,107B,Mobile poll/Bureau itinérant,0,8,1,0,20,0,29,30
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,108,La Pocatière,3,103,19,8,88,8,229,420
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,109,La Pocatière,1,129,10,6,46,2,194,376
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,110,La Pocatière,3,149,12,10,63,1,238,510
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,111,La Pocatière,4,110,5,5,58,2,184,355
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,112,La Pocatière,0,127,7,2,61,1,198,321
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,113,La Pocatière,1,182,14,6,61,2,266,449
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,114,La Pocatière,3,148,10,4,72,2,239,414
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,115,Sainte-Anne-de-la-Pocatière,4,107,21,6,26,0,164,309
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,116,Sainte-Anne-de-la-Pocatière,2,49,10,3,33,1,98,198
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,117,Saint-Onésime-d'Ixworth,2,75,10,0,27,5,119,292
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,118,Sainte-Louise,11,191,37,10,67,2,318,553
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,119,Saint-Roch-des-Aulnaies,1,76,12,1,31,2,123,224
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,120,Sainte-Louise,6,176,20,9,54,3,268,546
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,121,Sainte-Louise,3,16,2,3,5,1,30,86
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,122,Saint-Damase,0,56,18,5,35,2,116,243
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,123,Saint-Damase,2,58,15,1,45,3,124,265
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,124,Saint-Jean-Port-Joli,4,78,18,4,71,1,176,346
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,125,Saint-Jean-Port-Joli,2,96,8,3,35,5,149,293
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,126,Saint-Jean-Port-Joli,7,91,23,6,38,2,167,294
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,127,Saint-Aubert,7,49,35,5,57,5,158,332
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,128,Saint-Jean-Port-Joli,8,123,20,5,45,2,203,394
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,129,Saint-Jean-Port-Joli,2,93,19,3,35,3,155,323
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,130,Saint-Jean-Port-Joli,6,113,18,5,53,3,198,370
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,131,Saint-Jean-Port-Joli,1,110,19,10,34,2,176,311
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,132,Saint-Jean-Port-Joli,8,90,20,3,59,2,182,368
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,133A,Saint-Aubert,7,88,20,6,68,1,190,424
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,133B,Saint-Aubert,5,61,16,4,60,4,150,319
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,134,Saint-Aubert,0,7,0,0,11,0,18,33
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,135,Tourville,2,73,11,2,36,3,127,262
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,136,Tourville,2,61,17,2,67,3,152,321
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,137,Sainte-Perpétue,4,43,10,2,36,3,98,244
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,138,Sainte-Perpétue,5,80,26,5,45,5,166,452
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,139,Saint-Omer,2,101,3,2,49,0,157,268
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,140,Sainte-Perpétue,4,91,15,0,27,4,141,315
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,141,Sainte-Perpétue,3,89,13,3,42,5,155,325
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,142,Sainte-Perpétue,1,46,12,1,16,0,76,165
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,143,Sainte-Félicité,1,94,8,3,49,1,156,336
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,144,Saint-Pamphile,6,140,38,3,63,3,253,470
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,145,Saint-Pamphile,0,26,8,1,21,1,57,103
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,146,Saint-Pamphile,3,84,17,0,58,2,164,336
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,147,Saint-Pamphile,0,81,22,4,41,1,149,316
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,148,Saint-Pamphile,2,94,44,3,66,5,214,442
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,149A,Saint-Pamphile,4,75,13,1,71,4,168,319
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,149B,Mobile poll/Bureau itinérant,Merged with No. 107B,,,,,,,16
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,150,Saint-Pamphile,2,50,4,1,30,2,89,228
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,151,Saint-Adalbert,5,79,20,0,41,3,148,280
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,152,Saint-Marcel,9,75,41,7,87,11,230,380
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,153,Saint-Adalbert,4,75,15,0,27,1,122,226
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,154,L'Islet,8,135,29,4,82,4,262,417
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,155,L'Islet,1,72,35,3,55,2,168,299
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,156,L'Islet,8,82,12,5,49,3,159,314
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,157,L'Islet,2,60,17,1,65,0,145,301
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,158,L'Islet,9,115,16,4,76,9,229,424
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,159,L'Islet,7,61,27,3,50,3,151,327
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,160,L'Islet,7,75,18,3,71,8,182,382
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,161,L'Islet,6,94,20,4,49,4,177,337
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,162,Saint-Cyrille-de-Lessard,6,42,11,2,35,0,96,155
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,163,L'Islet,8,59,18,3,31,8,127,250
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,164,Saint-Cyrille-de-Lessard,7,107,42,3,91,4,254,482
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,165,Cap-Saint-Ignace,12,68,28,5,74,7,194,378
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,166,Cap-Saint-Ignace,12,109,31,3,61,6,222,402
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,167,Cap-Saint-Ignace,6,108,29,4,86,11,244,413
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,168,Cap-Saint-Ignace,2,70,22,3,51,7,155,304
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,169,Cap-Saint-Ignace,6,62,35,2,54,4,163,336
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,170,Cap-Saint-Ignace,4,49,26,0,40,0,119,209
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,171,Cap-Saint-Ignace,10,91,39,7,69,8,224,442
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,172,L'Isle-aux-Grues,3,38,19,0,24,1,85,135
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,173,Montmagny,13,116,27,3,103,10,272,472
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,174,Montmagny,9,102,33,4,78,5,231,418
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,175,Montmagny,2,116,45,6,120,10,299,513
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,176,Montmagny,4,86,30,3,73,2,198,298
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,177,Montmagny,6,77,14,6,70,5,178,345
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,178,Montmagny,9,104,43,4,54,4,218,388
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,179,Montmagny,7,117,22,5,100,4,255,427
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,180,Montmagny,5,77,15,2,78,6,183,317
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,181,Montmagny,3,98,20,4,122,5,252,405
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,182,Montmagny,7,55,20,0,44,3,129,256
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,183,Montmagny,5,65,23,2,65,3,163,361
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,184,Montmagny,4,69,32,0,64,7,176,349
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,185,Montmagny,5,86,25,2,86,3,207,388
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,186,Montmagny,3,139,29,4,95,9,279,471
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,187,Montmagny,8,42,17,3,47,5,122,239
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,188,Montmagny,1,51,13,1,51,5,122,232
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,189,Montmagny,5,82,13,3,44,6,153,327
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,190,Montmagny,7,66,27,1,59,5,165,378
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,191,Montmagny,15,111,43,5,140,7,321,501
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,192,Montmagny,6,95,18,4,57,4,184,342
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,193,Montmagny,3,84,17,2,86,8,200,379
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,194,Montmagny,3,76,19,4,80,1,183,319
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,195,Montmagny,10,95,27,10,76,4,222,389
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,196,Montmagny,4,92,30,2,83,8,219,414
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,197,Montmagny,2,62,9,0,22,6,101,424
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,198,Berthier-sur-Mer,8,87,24,4,72,2,197,316
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,199,Berthier-sur-Mer,5,125,34,4,81,7,256,414
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,200,Berthier-sur-Mer,6,118,24,7,55,5,215,372
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,201,Saint-François-de-la-Rivière-du-Sud,5,79,27,2,55,0,168,300
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,202,Saint-François-de-la-Rivière-du-Sud,8,118,31,3,84,8,252,431
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,203,Saint-François-de-la-Rivière-du-Sud,1,80,31,2,65,1,180,281
