District,Poll Number,Poll Name,Chris Axworthy,David Greenfield,Priscilla Settee,Maurice Vellacott,Rejected Ballots,Total Vote,Electors
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,18C,Langham,42,10,36,114,1,203,308
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,19,MacDowell,30,8,40,127,0,205,303
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,20,Carlton,29,4,10,49,1,93,160
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,21,Beardy 97 and Okemasis 96,139,1,42,11,0,193,506
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,22,Duck Lake,59,5,23,28,0,115,196
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,23,Duck Lake,74,2,35,40,0,151,398
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,24,Laird,34,7,38,142,0,221,379
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,25,Waldheim,14,3,13,113,0,143,189
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,26,Waldheim,21,1,10,94,0,126,216
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,27,Waldheim,27,11,18,230,0,286,479
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,28,Rosthern,65,7,33,135,0,240,294
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,29A,Rosthern,Merged with No. 28,,,,,,176
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,29B,Rosthern,74,4,26,78,0,182,358
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,30,Rosthern,64,3,40,119,0,226,360
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,31,Rosthern,34,6,31,55,1,127,220
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,32,Hepburn,21,1,10,92,0,124,216
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,33,Hepburn,26,6,24,198,1,255,377
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,34,Hague,28,9,7,198,0,242,284
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,35A,Hague,Merged with No. 34,,,,,,182
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,35B,Hague,29,8,12,191,0,240,452
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,36,Dalmeny,6,3,4,72,1,86,174
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,37,Osler,14,4,8,157,0,183,315
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,38A,Dalmeny,57,5,22,182,2,268,434
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,38B,Dalmeny,29,4,8,81,1,123,180
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,39A,Dalmeny,35,6,23,122,0,186,255
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,39B,Dalmeny,56,3,43,146,0,248,459
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,40,Dalmeny,58,7,17,123,0,205,384
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,41,Osler,31,2,16,204,0,253,448
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,42A,Osler,Merged with No. 42-1,,,,,,89
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,42B,Osler,26,5,20,242,0,293,387
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,42-1,Osler,37,8,20,133,0,198,201
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,43A,Warman,47,2,23,150,0,222,347
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,43B,Warman,49,4,16,132,0,201,376
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,44,Warman,176,2,16,66,0,260,438
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,45,Warman,36,9,34,163,2,244,448
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,46,Warman,29,0,28,117,0,174,398
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,47,Warman,45,4,27,153,0,229,452
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,48,Martensville,58,5,35,169,0,267,499
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,49,Martensville,20,17,20,93,0,150,386
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,50A,Martensville,43,7,38,117,1,206,415
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,50B,Martensville,43,4,38,89,0,174,383
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,51,Martensville,54,14,56,148,0,272,534
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,52,Martensville,70,8,41,96,0,215,398
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,53,Martensville,96,10,52,123,4,285,525
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,54,Martensville,76,12,47,128,0,263,484
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,55,Warman,41,3,10,115,0,169,304
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,56,Saskatoon North,46,13,41,117,0,217,326
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,57,Saskatoon,64,2,11,96,0,173,358
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,58,Saskatoon,90,4,20,94,1,209,388
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,59,Saskatoon,108,4,14,90,1,217,330
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,60,Saskatoon,106,6,31,103,0,246,486
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,61,Saskatoon,63,4,16,73,0,156,352
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,62,Saskatoon,69,4,12,89,0,174,362
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,63,Saskatoon,70,9,26,73,1,179,331
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,64,Saskatoon,112,11,36,76,0,235,434
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,65,Saskatoon,90,11,27,70,0,198,376
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,66,Saskatoon,107,5,47,124,0,283,569
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,67,Saskatoon,106,9,37,126,0,278,506
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,68,Saskatoon,103,7,26,114,1,251,499
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,69,Saskatoon,22,2,15,35,0,74,204
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,70,Saskatoon,20,6,20,51,0,97,259
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,71,Saskatoon,92,5,41,85,1,224,414
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,72,Saskatoon,83,5,36,98,0,222,457
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,73,Saskatoon,49,6,35,100,0,190,348
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,74,Saskatoon,101,17,47,84,0,249,461
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,75,Saskatoon,122,7,30,110,1,270,525
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,76,Saskatoon,59,1,25,69,1,155,266
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,77,Saskatoon,85,5,15,81,0,186,345
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,78,Saskatoon,102,10,63,125,0,300,580
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,79,Saskatoon,95,2,43,93,0,233,440
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,80,Saskatoon,93,5,85,90,0,273,593
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,81A,Saskatoon,43,4,40,49,1,137,334
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,81B,Saskatoon,49,2,25,44,2,122,335
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,82,Saskatoon,39,2,41,32,1,115,242
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,83,Saskatoon,76,5,54,66,0,201,481
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,84,Saskatoon,46,4,37,51,1,139,392
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,85,Saskatoon,43,2,38,72,0,155,351
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,86,Saskatoon,75,4,44,60,0,183,356
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,87,Saskatoon,93,8,53,85,1,240,516
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,88,Saskatoon,69,6,66,67,1,209,413
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,89,Saskatoon,52,3,37,75,2,169,318
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,90,Saskatoon,55,8,54,66,0,183,363
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,91,Saskatoon,52,5,64,58,0,179,402
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,92,Saskatoon,23,3,23,27,0,76,266
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,93,Saskatoon,26,2,31,42,0,101,327
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,94,Saskatoon,29,2,48,24,0,103,314
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,95,Saskatoon,113,5,44,100,1,263,487
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,96,Saskatoon,45,3,21,57,0,126,236
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,97,Saskatoon,81,6,28,127,0,242,444
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,98,Saskatoon,100,2,27,98,1,228,423
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,99,Saskatoon,125,10,28,102,0,265,471
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,100,Saskatoon,22,3,24,34,0,83,355
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,101,Saskatoon,55,8,43,46,1,153,440
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,102,Saskatoon,38,1,25,51,1,116,264
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,103,Saskatoon,103,11,30,88,0,232,397
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,104,Saskatoon,130,7,37,117,0,291,501
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,105,Saskatoon,55,5,25,71,0,156,364
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,106,Saskatoon,44,3,15,65,0,127,239
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,107,Saskatoon,95,0,39,87,0,221,379
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,108,Saskatoon,46,6,42,79,0,173,371
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,109,Saskatoon,81,7,39,72,1,200,398
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,110,Saskatoon,100,8,35,76,1,220,364
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,111,Saskatoon,151,8,43,78,3,283,479
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,112,Saskatoon,136,10,42,102,0,290,514
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,113,Saskatoon,71,5,17,55,0,148,303
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,114,Saskatoon,82,7,50,88,0,227,410
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,115,Saskatoon,91,5,26,38,0,160,301
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,116,Saskatoon,56,2,25,65,0,148,285
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,117,Saskatoon,69,7,44,83,1,204,361
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,118,Saskatoon,83,7,42,83,0,215,336
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,119,Saskatoon,81,6,52,70,1,210,425
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,120,Saskatoon,24,8,36,40,0,108,283
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,121,Saskatoon,57,12,78,64,2,213,404
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,122,Saskatoon,28,5,49,17,0,99,382
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,123,Saskatoon,51,7,61,38,0,157,304
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,124,Saskatoon,94,12,84,52,0,242,440
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,125,Saskatoon,61,10,77,44,0,192,409
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,126,Saskatoon,64,4,63,28,1,160,354
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,127,Saskatoon,65,7,76,52,0,200,377
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,128,Saskatoon,63,6,43,43,0,155,358
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,129,Saskatoon,35,4,50,27,0,116,239
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,130,Saskatoon,65,8,67,36,0,176,381
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,131,Saskatoon,76,7,54,39,0,176,341
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,132,Saskatoon,48,3,49,28,0,128,230
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,133A,Saskatoon,115,4,39,90,0,248,395
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,133B,Mobile poll/Bureau itinérant,Merged with No. 503,,,,,,66
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,134,Saskatoon,111,4,58,65,0,238,439
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,135,Saskatoon,77,6,44,38,3,168,303
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,136,Saskatoon,91,4,40,45,1,181,327
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,137,Saskatoon,82,7,35,57,4,185,400
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,400,Saskatoon,64,2,12,90,2,170,182
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,401,Saskatoon,34,4,4,64,0,106,120
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,500,Mobile poll/Bureau itinérant,16,2,5,36,2,61,133
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,501,Mobile poll/Bureau itinérant,33,1,12,47,0,93,162
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,502,Mobile poll/Bureau itinérant,78,2,38,37,1,156,167
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,503,Mobile poll/Bureau itinérant,84,3,48,51,0,186,162
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,504,Mobile poll/Bureau itinérant,59,2,49,37,2,149,192
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,505,Mobile poll/Bureau itinérant,80,3,50,46,1,180,261
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,506,Mobile poll/Bureau itinérant,77,7,49,41,1,175,235
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,600,Blaine Lake,37,2,22,73,1,135,
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,601,Hafford,13,1,6,40,0,60,
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,602,Martensville,81,9,56,281,1,428,
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,603,Rosthern,48,4,24,77,1,154,
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,604,Saskatoon,241,7,78,317,0,643,
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,605,Saskatoon,82,10,59,112,1,264,
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,606,Saskatoon,192,28,171,193,0,584,
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,607,Saskatoon,256,21,102,353,0,732,
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,,Group 1/Groupe 1,17,4,7,27,2,57,106
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,,Group 2/Groupe 2,177,19,102,262,3,563,
