District,Poll Number,Poll Name,Dan Douglas,Bruce Knutson,Daryl Kramp,Tom Lawson,Joseph Sahadat,Rejected Ballots,Total Vote,Electors
Prince Edward--Hastings/Prince Edward--Hastings,146,Belleville,30,98,57,9,0,1,195,437
Prince Edward--Hastings/Prince Edward--Hastings,147,Belleville,36,129,59,5,1,1,231,444
Prince Edward--Hastings/Prince Edward--Hastings,148,Belleville,36,103,48,8,0,1,196,380
Prince Edward--Hastings/Prince Edward--Hastings,149,Belleville,8,54,43,6,0,0,111,339
Prince Edward--Hastings/Prince Edward--Hastings,150,Belleville,41,96,53,7,1,1,199,392
Prince Edward--Hastings/Prince Edward--Hastings,151,Belleville,9,116,66,6,2,2,201,459
Prince Edward--Hastings/Prince Edward--Hastings,152A,Belleville,21,50,37,2,1,1,112,305
Prince Edward--Hastings/Prince Edward--Hastings,152B,Belleville,21,47,36,5,0,1,110,333
Prince Edward--Hastings/Prince Edward--Hastings,153,Belleville,24,56,44,9,0,0,133,371
Prince Edward--Hastings/Prince Edward--Hastings,154,Belleville,38,87,68,4,0,0,197,508
Prince Edward--Hastings/Prince Edward--Hastings,155,Belleville,52,73,71,8,1,0,205,502
Prince Edward--Hastings/Prince Edward--Hastings,156,Belleville,45,68,79,8,0,0,200,418
Prince Edward--Hastings/Prince Edward--Hastings,157,Belleville,36,64,52,4,0,0,156,321
Prince Edward--Hastings/Prince Edward--Hastings,158,Belleville,45,83,88,16,1,0,233,481
Prince Edward--Hastings/Prince Edward--Hastings,159,Belleville,27,87,38,10,0,0,162,333
Prince Edward--Hastings/Prince Edward--Hastings,160,Belleville,24,95,61,12,2,0,194,437
Prince Edward--Hastings/Prince Edward--Hastings,161,Belleville,21,87,68,7,0,0,183,378
Prince Edward--Hastings/Prince Edward--Hastings,162,Belleville,41,122,82,5,1,0,251,366
Prince Edward--Hastings/Prince Edward--Hastings,163,Belleville,25,75,39,3,0,0,142,410
Prince Edward--Hastings/Prince Edward--Hastings,164,Belleville,59,140,89,11,1,1,301,579
Prince Edward--Hastings/Prince Edward--Hastings,165,Belleville,19,136,73,5,1,0,234,380
Prince Edward--Hastings/Prince Edward--Hastings,166,Belleville,25,71,35,2,0,3,136,225
Prince Edward--Hastings/Prince Edward--Hastings,167,Belleville,29,52,42,3,0,0,126,348
Prince Edward--Hastings/Prince Edward--Hastings,168,Belleville,25,125,56,8,0,3,217,322
Prince Edward--Hastings/Prince Edward--Hastings,169,Belleville,32,88,57,6,4,0,187,379
Prince Edward--Hastings/Prince Edward--Hastings,170,Belleville,42,165,157,12,1,0,377,648
Prince Edward--Hastings/Prince Edward--Hastings,171,Belleville,30,103,75,11,0,1,220,406
Prince Edward--Hastings/Prince Edward--Hastings,172,Prince Edward,50,108,134,21,2,0,315,619
Prince Edward--Hastings/Prince Edward--Hastings,173,Prince Edward,56,224,201,16,1,1,499,727
Prince Edward--Hastings/Prince Edward--Hastings,174,Prince Edward,21,137,112,22,3,0,295,537
Prince Edward--Hastings/Prince Edward--Hastings,175A,Prince Edward,43,140,140,6,2,0,331,531
Prince Edward--Hastings/Prince Edward--Hastings,175B,Prince Edward,29,126,104,3,1,0,263,463
Prince Edward--Hastings/Prince Edward--Hastings,176,Prince Edward,29,181,137,27,1,0,375,635
Prince Edward--Hastings/Prince Edward--Hastings,177,Prince Edward,81,188,192,13,5,1,480,706
Prince Edward--Hastings/Prince Edward--Hastings,178,Prince Edward,29,103,103,16,4,2,257,387
Prince Edward--Hastings/Prince Edward--Hastings,179,Prince Edward,56,71,139,25,5,1,297,538
Prince Edward--Hastings/Prince Edward--Hastings,180,Prince Edward,58,135,133,16,2,4,348,575
Prince Edward--Hastings/Prince Edward--Hastings,181,Prince Edward,39,80,145,19,3,0,286,506
Prince Edward--Hastings/Prince Edward--Hastings,182,Prince Edward,56,135,110,13,2,0,316,583
Prince Edward--Hastings/Prince Edward--Hastings,183,Prince Edward,51,85,108,12,3,0,259,435
Prince Edward--Hastings/Prince Edward--Hastings,184,Prince Edward,16,55,55,6,1,0,133,239
Prince Edward--Hastings/Prince Edward--Hastings,185,Prince Edward,40,126,109,8,9,6,298,450
Prince Edward--Hastings/Prince Edward--Hastings,186,Prince Edward,19,148,105,1,2,0,275,357
Prince Edward--Hastings/Prince Edward--Hastings,187,Prince Edward,43,124,129,16,6,1,319,438
Prince Edward--Hastings/Prince Edward--Hastings,188,Prince Edward,35,70,61,5,1,0,172,251
Prince Edward--Hastings/Prince Edward--Hastings,189A,Prince Edward,31,107,120,16,4,0,278,461
Prince Edward--Hastings/Prince Edward--Hastings,189B,Prince Edward,32,74,117,14,0,0,237,366
Prince Edward--Hastings/Prince Edward--Hastings,190,Prince Edward,37,79,119,12,13,0,260,536
Prince Edward--Hastings/Prince Edward--Hastings,191,Prince Edward,28,58,65,10,13,1,175,333
Prince Edward--Hastings/Prince Edward--Hastings,192,Prince Edward,58,113,122,6,10,1,310,581
Prince Edward--Hastings/Prince Edward--Hastings,193,Prince Edward,20,95,83,8,17,1,224,508
Prince Edward--Hastings/Prince Edward--Hastings,194,Prince Edward,35,82,44,14,10,0,185,391
Prince Edward--Hastings/Prince Edward--Hastings,195,Prince Edward,44,74,75,7,13,1,214,507
Prince Edward--Hastings/Prince Edward--Hastings,196,Prince Edward,29,63,65,9,9,1,176,395
Prince Edward--Hastings/Prince Edward--Hastings,197,Prince Edward,26,79,60,10,7,0,182,331
Prince Edward--Hastings/Prince Edward--Hastings,198,Prince Edward,39,63,51,9,5,0,167,336
Prince Edward--Hastings/Prince Edward--Hastings,199,Prince Edward,38,47,42,7,3,0,137,322
Prince Edward--Hastings/Prince Edward--Hastings,200,Prince Edward,52,60,47,11,3,0,173,467
Prince Edward--Hastings/Prince Edward--Hastings,201,Prince Edward,51,126,126,17,7,1,328,667
Prince Edward--Hastings/Prince Edward--Hastings,202,Prince Edward,46,83,88,17,5,0,239,598
Prince Edward--Hastings/Prince Edward--Hastings,203,Prince Edward,47,103,68,8,3,2,231,379
Prince Edward--Hastings/Prince Edward--Hastings,204,Prince Edward,15,79,66,7,6,1,174,334
Prince Edward--Hastings/Prince Edward--Hastings,205,Prince Edward,36,56,67,9,2,0,170,325
Prince Edward--Hastings/Prince Edward--Hastings,206,Prince Edward,55,74,92,16,7,2,246,517
Prince Edward--Hastings/Prince Edward--Hastings,207,Prince Edward,36,74,95,22,4,0,231,348
Prince Edward--Hastings/Prince Edward--Hastings,208,Prince Edward,60,92,82,7,4,0,245,429
Prince Edward--Hastings/Prince Edward--Hastings,209,Prince Edward,62,74,93,18,3,1,251,378
Prince Edward--Hastings/Prince Edward--Hastings,210,Prince Edward,62,110,101,15,6,0,294,597
Prince Edward--Hastings/Prince Edward--Hastings,400,Belleville,9,33,40,1,0,2,85,153
Prince Edward--Hastings/Prince Edward--Hastings,500,Mobile poll/Bureau itinérant,2,11,23,2,0,1,39,94
Prince Edward--Hastings/Prince Edward--Hastings,501,Mobile poll/Bureau itinérant,10,62,36,4,1,3,116,183
Prince Edward--Hastings/Prince Edward--Hastings,502,Mobile poll/Bureau itinérant,8,9,29,3,0,1,50,117
Prince Edward--Hastings/Prince Edward--Hastings,503,Mobile poll/Bureau itinérant,10,57,25,2,0,4,98,230
Prince Edward--Hastings/Prince Edward--Hastings,504,Mobile poll/Bureau itinérant,10,34,37,1,6,0,88,154
Prince Edward--Hastings/Prince Edward--Hastings,505,Mobile poll/Bureau itinérant,14,32,46,3,6,1,102,175
Prince Edward--Hastings/Prince Edward--Hastings,600,Bancroft,123,199,590,27,4,4,947,
Prince Edward--Hastings/Prince Edward--Hastings,601,Madoc,61,139,570,18,2,2,792,
Prince Edward--Hastings/Prince Edward--Hastings,602,Huntingdon--Tweed,48,119,250,15,4,6,442,
Prince Edward--Hastings/Prince Edward--Hastings,603,Belleville,54,167,306,13,2,2,544,
Prince Edward--Hastings/Prince Edward--Hastings,604,Tyendiga,43,71,105,12,1,1,233,
Prince Edward--Hastings/Prince Edward--Hastings,605,Belleville,65,223,254,10,1,1,554,
Prince Edward--Hastings/Prince Edward--Hastings,606,Belleville,92,279,192,27,3,2,595,
Prince Edward--Hastings/Prince Edward--Hastings,607,Belleville,91,582,470,19,1,3,1166,
Prince Edward--Hastings/Prince Edward--Hastings,608,Belleville,50,206,189,5,2,2,454,
Prince Edward--Hastings/Prince Edward--Hastings,609,Prince Edward County,50,205,281,19,3,1,559,
Prince Edward--Hastings/Prince Edward--Hastings,610,Prince Edward County,115,466,487,45,52,0,1165,
Prince Edward--Hastings/Prince Edward--Hastings,,Group 1/Groupe 1,13,47,63,8,4,4,139,386
Prince Edward--Hastings/Prince Edward--Hastings,,Group 2/Groupe 2,95,320,333,29,1,3,781,
