District,Poll Number,Poll Name,Steve Armstrong,Chris Bradshaw,Gord Brown,Joe Jordan,Rejected Ballots,Total Vote,Electors
Leeds--Grenville/Leeds--Grenville,165,North Grenville,9,20,63,48,1,141,236
Leeds--Grenville/Leeds--Grenville,166,North Grenville,18,19,141,84,1,263,396
Leeds--Grenville/Leeds--Grenville,167,North Grenville,10,7,84,38,1,140,266
Leeds--Grenville/Leeds--Grenville,168,North Grenville,27,13,103,53,3,199,366
Leeds--Grenville/Leeds--Grenville,169,North Grenville,30,22,126,66,1,245,417
Leeds--Grenville/Leeds--Grenville,170,North Grenville,13,9,83,44,2,151,243
Leeds--Grenville/Leeds--Grenville,171,North Grenville,32,19,69,50,1,171,305
Leeds--Grenville/Leeds--Grenville,172,North Grenville,17,9,108,51,1,186,297
Leeds--Grenville/Leeds--Grenville,173,North Grenville,9,6,107,41,0,163,267
Leeds--Grenville/Leeds--Grenville,174,North Grenville,27,11,132,74,0,244,372
Leeds--Grenville/Leeds--Grenville,175,North Grenville,18,22,120,53,0,213,363
Leeds--Grenville/Leeds--Grenville,176,North Grenville,23,17,151,78,2,271,431
Leeds--Grenville/Leeds--Grenville,177,North Grenville,23,17,180,66,0,286,435
Leeds--Grenville/Leeds--Grenville,178,North Grenville,37,24,185,83,0,329,490
Leeds--Grenville/Leeds--Grenville,179,North Grenville,25,16,145,53,0,239,341
Leeds--Grenville/Leeds--Grenville,180,North Grenville,32,31,156,89,0,308,413
Leeds--Grenville/Leeds--Grenville,181,North Grenville,24,13,179,62,1,279,430
Leeds--Grenville/Leeds--Grenville,182,North Grenville,35,18,169,62,4,288,487
Leeds--Grenville/Leeds--Grenville,183,Edwardsburgh/Cardinal,21,9,157,74,0,261,407
Leeds--Grenville/Leeds--Grenville,184,Edwardsburgh/Cardinal,39,12,141,75,1,268,439
Leeds--Grenville/Leeds--Grenville,185,Edwardsburgh/Cardinal,9,4,51,27,0,91,159
Leeds--Grenville/Leeds--Grenville,186,Edwardsburgh/Cardinal,16,7,53,38,0,114,236
