District,Poll Number,Poll Name,Edmund Arthur Bull,Jon Charles Carey,Matthew Granger,Robert Thibault,Rejected Ballots,Total Vote,Electors
West Nova/Nova-Ouest,45,Wilmot,30,78,3,82,1,194,366
West Nova/Nova-Ouest,46,Wilmot,26,37,0,52,1,116,262
West Nova/Nova-Ouest,47,Wilmot,43,66,7,81,4,201,442
West Nova/Nova-Ouest,48,Lawrencetown,47,61,11,79,1,199,416
West Nova/Nova-Ouest,49,Nictaux West,42,54,8,78,0,182,292
West Nova/Nova-Ouest,50,Nictaux,30,48,3,39,1,121,232
West Nova/Nova-Ouest,51A,Nictaux Falls,47,58,12,72,0,189,324
West Nova/Nova-Ouest,51B,Nictaux Falls,39,83,6,85,1,214,362
West Nova/Nova-Ouest,52,Middleton,67,65,12,80,0,224,404
West Nova/Nova-Ouest,53,Middleton,44,83,4,139,1,271,414
West Nova/Nova-Ouest,54,Middleton,25,46,7,87,2,167,282
West Nova/Nova-Ouest,55,Middleton,34,61,3,79,0,177,323
West Nova/Nova-Ouest,56,Port Lorne,44,36,5,47,0,132,207
West Nova/Nova-Ouest,57,Clarence East,45,61,6,109,0,221,348
West Nova/Nova-Ouest,58,Lawrencetown,34,88,5,84,0,211,363
West Nova/Nova-Ouest,59,South Williamston,37,57,3,84,0,181,291
West Nova/Nova-Ouest,60,West Lawrencetown,22,52,9,64,0,147,221
West Nova/Nova-Ouest,61,Meadowvale,23,76,5,76,0,180,279
West Nova/Nova-Ouest,62,Meadowvale,25,37,2,59,1,124,267
West Nova/Nova-Ouest,63,Torbrook,40,81,6,60,2,189,307
West Nova/Nova-Ouest,64,Albany,24,36,9,40,0,109,191
West Nova/Nova-Ouest,65,Springfield,46,67,5,61,2,181,342
West Nova/Nova-Ouest,66,Hampton,57,29,3,57,0,146,248
West Nova/Nova-Ouest,67,Clarence West,33,51,5,90,1,180,336
West Nova/Nova-Ouest,68,Upper Granville,33,58,7,81,0,179,288
West Nova/Nova-Ouest,69,Carleton Corner,36,56,8,66,2,168,292
West Nova/Nova-Ouest,70,Carleton Corner,34,53,3,71,5,166,282
West Nova/Nova-Ouest,71,Bridgetown,49,69,9,164,2,293,512
West Nova/Nova-Ouest,72,Bridgetown,26,45,4,87,1,163,244
West Nova/Nova-Ouest,73,Round Hill,43,65,9,80,0,197,302
West Nova/Nova-Ouest,74,Dalhousie,2,34,4,30,0,70,125
West Nova/Nova-Ouest,75,Belleisle,38,80,10,101,1,230,335
West Nova/Nova-Ouest,76,Young Cove,34,27,3,82,0,146,255
West Nova/Nova-Ouest,77,Hillsburn,57,66,7,105,0,235,368
West Nova/Nova-Ouest,78,Granville Ferry,75,91,13,125,0,304,549
West Nova/Nova-Ouest,79,Port Wade,75,57,7,95,1,235,361
West Nova/Nova-Ouest,80,Deep Brook,64,62,3,106,2,237,387
West Nova/Nova-Ouest,81,Clementsport,94,101,2,120,0,317,567
West Nova/Nova-Ouest,82,Upper Clements,73,84,5,113,2,277,540
West Nova/Nova-Ouest,83,Mochelle,49,66,3,111,1,230,379
West Nova/Nova-Ouest,84,Lequille,34,13,2,17,0,66,164
West Nova/Nova-Ouest,85,Clementsvale,35,89,6,77,0,207,381
West Nova/Nova-Ouest,86,Bear River East,32,49,1,34,0,116,194
West Nova/Nova-Ouest,87,Bear River East,47,83,10,55,0,195,355
West Nova/Nova-Ouest,88,South Milford,18,22,1,21,1,63,115
West Nova/Nova-Ouest,89,Maitland Bridge,21,18,2,23,0,64,86
West Nova/Nova-Ouest,90,Annapolis Royal,40,39,5,65,0,149,248
West Nova/Nova-Ouest,91,Annapolis Royal,20,34,1,42,0,97,157
West Nova/Nova-Ouest,92,Westport,70,25,13,46,4,158,243
West Nova/Nova-Ouest,93,Freeport,76,39,2,33,1,151,275
West Nova/Nova-Ouest,94,Tiverton,42,33,3,67,1,146,221
West Nova/Nova-Ouest,95,East Ferry,59,34,2,65,0,160,227
West Nova/Nova-Ouest,96,Sandy Cove,54,29,5,52,0,140,275
West Nova/Nova-Ouest,97,Rossway,75,32,5,46,3,161,265
West Nova/Nova-Ouest,98,Culloden,51,29,4,65,1,150,272
West Nova/Nova-Ouest,99,Mount Pleasant,67,37,5,91,1,201,344
West Nova/Nova-Ouest,100,Smiths Cove,53,61,4,93,2,213,370
West Nova/Nova-Ouest,101,Bear River,71,60,11,74,1,217,406
West Nova/Nova-Ouest,102,Smiths Cove,36,30,2,41,1,110,207
West Nova/Nova-Ouest,103,Conway,58,40,2,52,1,153,293
West Nova/Nova-Ouest,104,Marshalltown,35,32,2,35,1,105,217
West Nova/Nova-Ouest,105,Brighton,57,48,2,71,0,178,292
West Nova/Nova-Ouest,106,Plympton,105,68,4,90,2,269,447
West Nova/Nova-Ouest,107,North Range,60,110,4,63,4,241,446
West Nova/Nova-Ouest,108,Morganville,44,30,7,41,1,123,216
West Nova/Nova-Ouest,109,Digby,47,42,4,87,4,184,300
West Nova/Nova-Ouest,110,Digby,35,32,7,56,0,130,249
West Nova/Nova-Ouest,111,Digby,66,30,3,79,0,178,272
West Nova/Nova-Ouest,112,Digby,42,19,1,60,1,123,205
West Nova/Nova-Ouest,113,Digby,20,29,1,37,3,90,256
West Nova/Nova-Ouest,114,Digby,49,24,2,59,0,134,247
West Nova/Nova-Ouest,115,Danvers,12,87,0,48,0,147,253
West Nova/Nova-Ouest,116,Weymouth,34,73,8,83,0,198,316
West Nova/Nova-Ouest,117,Weymouth,61,91,11,94,1,258,380
West Nova/Nova-Ouest,118,Ashmore,43,51,7,53,0,154,301
West Nova/Nova-Ouest,119,Weymouth,24,39,3,27,0,93,173
West Nova/Nova-Ouest,120,New Edinburgh,60,57,5,167,9,298,530
West Nova/Nova-Ouest,121,Belliveau Cove,31,35,4,135,5,210,311
West Nova/Nova-Ouest,122,Grosses Coques,24,35,1,134,0,194,276
West Nova/Nova-Ouest,123,Church Point,23,15,1,115,1,155,204
West Nova/Nova-Ouest,124,Little Brook,36,40,4,146,2,228,299
West Nova/Nova-Ouest,125,Havelock,19,93,3,52,0,167,275
West Nova/Nova-Ouest,126,Corberrie,22,82,3,42,4,153,216
West Nova/Nova-Ouest,127,Concession,60,39,13,206,9,327,479
West Nova/Nova-Ouest,128,Comeauville,44,47,6,202,1,300,395
West Nova/Nova-Ouest,129,Saulnierville,68,54,11,165,8,306,383
West Nova/Nova-Ouest,130,Saulnierville,28,36,6,73,5,148,231
West Nova/Nova-Ouest,131,Saulnierville Station,86,60,12,158,7,323,428
West Nova/Nova-Ouest,132,Lower Saulnierville,62,78,6,183,12,341,473
West Nova/Nova-Ouest,133,Meteghan River,31,28,3,120,5,187,240
West Nova/Nova-Ouest,134,Meteghan Centre,34,30,3,122,4,193,280
West Nova/Nova-Ouest,135,Meteghan,49,42,8,156,1,256,353
West Nova/Nova-Ouest,136,Meteghan,80,51,11,191,12,345,438
West Nova/Nova-Ouest,137,St. Martin,55,52,10,105,5,227,302
West Nova/Nova-Ouest,138,St. Alphonse,36,55,10,110,7,218,280
West Nova/Nova-Ouest,139,Cape St. Marys,64,31,9,81,1,186,259
West Nova/Nova-Ouest,140,Salmon River,48,57,6,138,9,258,383
West Nova/Nova-Ouest,141,Hectanooga,39,71,10,111,1,232,323
West Nova/Nova-Ouest,142,Pleasant Valley,26,77,7,32,1,143,206
West Nova/Nova-Ouest,143,Brazil Lake,35,121,7,67,1,231,358
West Nova/Nova-Ouest,144,Brenton,54,110,16,92,1,273,413
West Nova/Nova-Ouest,145,Port Maitland,53,89,15,78,0,235,332
West Nova/Nova-Ouest,146,Sandford,43,76,6,64,0,189,285
West Nova/Nova-Ouest,147,Pembroke,30,59,10,47,1,147,261
West Nova/Nova-Ouest,148,Wellington,44,80,4,75,0,203,317
West Nova/Nova-Ouest,149,South Ohio,64,141,20,75,0,300,517
West Nova/Nova-Ouest,150,Greenville,49,53,11,55,0,168,310
West Nova/Nova-Ouest,151,Brooklyn,32,45,3,52,0,132,319
West Nova/Nova-Ouest,152,Dayton,25,70,7,132,2,236,406
West Nova/Nova-Ouest,153,Hebron,44,90,9,87,2,232,380
West Nova/Nova-Ouest,154,Chegoggin,90,112,10,118,1,331,533
West Nova/Nova-Ouest,155,South Chegoggin,25,42,0,23,2,92,164
West Nova/Nova-Ouest,156,Overton,19,88,10,74,1,192,285
West Nova/Nova-Ouest,157,Sand Beach,49,93,7,88,0,237,421
West Nova/Nova-Ouest,158,Kelleys Cove,39,78,7,73,4,201,346
West Nova/Nova-Ouest,159,Pinkneys Point,68,105,12,91,2,278,477
West Nova/Nova-Ouest,160,Sand Beach,32,61,7,84,2,186,264
West Nova/Nova-Ouest,161,Arcadia,27,71,6,59,0,163,235
West Nova/Nova-Ouest,162A,Yarmouth,28,104,11,109,1,253,463
West Nova/Nova-Ouest,162B,Mobile poll/Bureau itinérant,0,21,3,40,2,66,132
West Nova/Nova-Ouest,163,Yarmouth,33,105,6,174,1,319,510
West Nova/Nova-Ouest,164,Yarmouth,42,98,10,93,1,244,424
West Nova/Nova-Ouest,165,Yarmouth,36,50,3,79,0,168,288
West Nova/Nova-Ouest,166,Yarmouth,31,66,9,83,1,190,354
West Nova/Nova-Ouest,167,Yarmouth,46,79,12,122,0,259,439
West Nova/Nova-Ouest,168,Yarmouth,37,44,5,54,0,140,272
West Nova/Nova-Ouest,169,Yarmouth,41,54,7,74,2,178,394
West Nova/Nova-Ouest,170,Yarmouth,24,47,5,57,0,133,308
West Nova/Nova-Ouest,171,Yarmouth,36,28,9,53,1,127,317
West Nova/Nova-Ouest,172,Yarmouth,40,39,1,93,1,174,310
West Nova/Nova-Ouest,173,Yarmouth,38,37,5,47,0,127,315
West Nova/Nova-Ouest,174,Yarmouth,52,69,5,60,1,187,368
West Nova/Nova-Ouest,175,Yarmouth,58,46,6,59,2,171,352
West Nova/Nova-Ouest,176,Yarmouth,58,48,3,49,0,158,389
West Nova/Nova-Ouest,177,South Ohio,27,82,9,63,0,181,286
West Nova/Nova-Ouest,178,Carleton,48,126,13,54,2,243,354
West Nova/Nova-Ouest,179,Kemptville,21,82,3,68,1,175,247
West Nova/Nova-Ouest,180,Quinan,59,54,12,76,1,202,365
West Nova/Nova-Ouest,181,Belleville,36,112,8,74,3,233,335
West Nova/Nova-Ouest,182,Ste. Anne du Ruisseau,36,82,6,78,3,205,305
West Nova/Nova-Ouest,183,Tusket,59,91,17,101,0,268,468
West Nova/Nova-Ouest,184,Amiraults Hill,32,82,5,98,2,219,340
West Nova/Nova-Ouest,185,Sluice Point,26,49,12,70,0,157,211
West Nova/Nova-Ouest,186,Upper Wedgeport,26,53,1,82,0,162,237
West Nova/Nova-Ouest,187,Upper Wedgeport,47,65,6,113,1,232,323
West Nova/Nova-Ouest,188,Comeaus Hill,28,48,12,62,0,150,217
West Nova/Nova-Ouest,189,Wedgeport,28,59,6,72,1,166,227
West Nova/Nova-Ouest,190,Wedgeport,42,71,6,120,7,246,368
West Nova/Nova-Ouest,191,Lower Wedgeport,59,83,9,227,7,385,532
West Nova/Nova-Ouest,192,Surettes Island,32,44,6,60,4,146,179
West Nova/Nova-Ouest,193A,Central Argyle,37,113,5,36,1,192,283
West Nova/Nova-Ouest,193B,Mobile poll/Bureau itinérant,Merged with No. 162B,,,,,,35
West Nova/Nova-Ouest,194,Pubnico,28,94,1,54,3,180,277
West Nova/Nova-Ouest,195,Upper West Pubnico,15,62,8,146,2,233,332
West Nova/Nova-Ouest,196,Middle West Pubnico,26,62,6,212,1,307,417
West Nova/Nova-Ouest,197,Middle West Pubnico,15,77,6,176,6,280,379
West Nova/Nova-Ouest,198,Lower West Pubnico,25,68,6,161,3,263,385
West Nova/Nova-Ouest,199,East Pubnico,27,96,5,111,2,241,392
West Nova/Nova-Ouest,400,Waterville,10,18,2,16,3,49,177
West Nova/Nova-Ouest,500,Mobile poll/Bureau itinérant,14,37,3,56,1,111,212
West Nova/Nova-Ouest,600,Berwick,77,134,12,101,0,324,
West Nova/Nova-Ouest,601,Kingston,73,191,8,156,2,430,
West Nova/Nova-Ouest,602,Middleton,63,147,14,155,0,379,
West Nova/Nova-Ouest,603,Bridgetown,19,72,4,67,0,162,
West Nova/Nova-Ouest,604,Annapolis Royal,74,72,10,107,0,263,
West Nova/Nova-Ouest,605,Digby,79,88,9,119,0,295,
West Nova/Nova-Ouest,606,Weymouth,30,53,2,69,0,154,
West Nova/Nova-Ouest,607,Meteghan,51,62,6,197,8,324,
West Nova/Nova-Ouest,608,Arcadia,45,127,8,113,1,294,
West Nova/Nova-Ouest,609,Yarmouth,33,85,3,128,1,250,
West Nova/Nova-Ouest,610,Amiraults Hill,12,49,0,59,0,120,
West Nova/Nova-Ouest,611,Middle West Pubnico,6,22,3,71,3,105,
West Nova/Nova-Ouest,,Group 1/Groupe 1,21,171,12,91,3,298,978
West Nova/Nova-Ouest,,Group 2/Groupe 2,89,159,10,247,2,507,
