District,Poll Number,Poll Name,Mark de Pelham,Daria Fox,Stephen J. Harper,Larry R. Heather,Darcy Kraus,Avalon Roberts,Rejected Ballots,Total Vote,Electors
Calgary Southwest/Calgary-Sud-Ouest,89,Calgary,1,7,132,0,10,42,0,192,333
Calgary Southwest/Calgary-Sud-Ouest,90,Calgary,3,8,142,1,13,35,0,202,341
Calgary Southwest/Calgary-Sud-Ouest,91,Calgary,0,20,187,0,14,47,0,268,415
Calgary Southwest/Calgary-Sud-Ouest,92,Calgary,3,11,163,0,13,52,0,242,366
Calgary Southwest/Calgary-Sud-Ouest,93,Calgary,4,14,152,1,7,50,1,229,361
Calgary Southwest/Calgary-Sud-Ouest,94,Calgary,1,10,158,0,10,35,1,215,357
Calgary Southwest/Calgary-Sud-Ouest,95,Calgary,1,13,132,0,19,58,1,224,392
Calgary Southwest/Calgary-Sud-Ouest,96,Calgary,3,18,134,1,20,45,0,221,397
Calgary Southwest/Calgary-Sud-Ouest,97,Calgary,2,9,119,0,20,41,1,192,401
Calgary Southwest/Calgary-Sud-Ouest,98,Calgary,0,6,170,3,14,50,1,244,401
Calgary Southwest/Calgary-Sud-Ouest,99,Calgary,2,13,148,0,16,46,1,226,430
Calgary Southwest/Calgary-Sud-Ouest,100,Calgary,1,13,134,1,11,32,0,192,334
Calgary Southwest/Calgary-Sud-Ouest,101,Calgary,2,11,144,2,8,45,0,212,337
Calgary Southwest/Calgary-Sud-Ouest,102,Calgary,1,10,179,0,18,67,0,275,445
Calgary Southwest/Calgary-Sud-Ouest,103,Calgary,3,20,203,0,10,47,1,284,476
Calgary Southwest/Calgary-Sud-Ouest,104,Calgary,1,8,126,0,11,33,1,180,332
Calgary Southwest/Calgary-Sud-Ouest,105,Calgary,0,14,142,0,10,38,0,204,355
Calgary Southwest/Calgary-Sud-Ouest,106,Calgary,1,10,223,1,25,35,0,295,464
Calgary Southwest/Calgary-Sud-Ouest,107,Calgary,6,6,152,0,14,51,0,229,358
Calgary Southwest/Calgary-Sud-Ouest,108,Calgary,3,7,165,0,16,65,0,256,442
Calgary Southwest/Calgary-Sud-Ouest,109,Calgary,3,4,173,0,14,48,0,242,382
Calgary Southwest/Calgary-Sud-Ouest,110,Calgary,4,3,190,1,14,51,0,263,433
Calgary Southwest/Calgary-Sud-Ouest,111,Calgary,4,6,191,0,15,59,1,276,438
Calgary Southwest/Calgary-Sud-Ouest,112,Calgary,2,14,77,0,8,26,0,127,324
Calgary Southwest/Calgary-Sud-Ouest,113,Calgary,2,11,155,1,6,51,0,226,364
Calgary Southwest/Calgary-Sud-Ouest,114,Calgary,2,8,165,0,19,48,0,242,405
Calgary Southwest/Calgary-Sud-Ouest,115,Calgary,1,9,168,0,16,57,0,251,397
Calgary Southwest/Calgary-Sud-Ouest,116,Calgary,Void,,,,,,,,
Calgary Southwest/Calgary-Sud-Ouest,117,Calgary,2,8,137,0,16,31,1,195,346
Calgary Southwest/Calgary-Sud-Ouest,118,Calgary,2,12,89,0,18,37,0,158,335
Calgary Southwest/Calgary-Sud-Ouest,119,Calgary,4,17,142,1,11,37,1,213,344
Calgary Southwest/Calgary-Sud-Ouest,120,Calgary,5,14,147,1,12,62,3,244,400
Calgary Southwest/Calgary-Sud-Ouest,121,Calgary,6,24,202,0,13,45,1,291,445
Calgary Southwest/Calgary-Sud-Ouest,122,Calgary,3,8,183,0,19,52,2,267,386
Calgary Southwest/Calgary-Sud-Ouest,123,Calgary,3,7,140,1,10,28,0,189,339
Calgary Southwest/Calgary-Sud-Ouest,124,Calgary,3,11,169,1,22,25,0,231,357
Calgary Southwest/Calgary-Sud-Ouest,125,Calgary,3,9,141,0,11,27,2,193,324
Calgary Southwest/Calgary-Sud-Ouest,126,Calgary,2,23,162,2,18,53,0,260,441
Calgary Southwest/Calgary-Sud-Ouest,127,Calgary,4,8,156,1,11,47,0,227,391
