District,Poll Number,Poll Name,Bob Callow,Jim Conrad,Pamela Courtot,Bernadette Manning,Lui Temelkovski,Maurice G Whittle,Rejected Ballots,Total Vote,Electors
Oak Ridges--Markham/Oak Ridges--Markham,40B,Richmond Hill,59,0,19,10,87,0,1,176,360
Oak Ridges--Markham/Oak Ridges--Markham,41,Richmond Hill,66,8,26,17,138,0,1,256,506
Oak Ridges--Markham/Oak Ridges--Markham,42,Richmond Hill,44,2,16,11,44,0,1,118,230
Oak Ridges--Markham/Oak Ridges--Markham,42-1,Richmond Hill,73,0,30,6,110,4,5,228,466
Oak Ridges--Markham/Oak Ridges--Markham,42-2,Richmond Hill,81,3,28,5,77,2,1,197,396
Oak Ridges--Markham/Oak Ridges--Markham,43,Richmond Hill,78,4,17,26,83,2,2,212,378
Oak Ridges--Markham/Oak Ridges--Markham,44A,Richmond Hill,66,3,35,12,92,1,1,210,357
Oak Ridges--Markham/Oak Ridges--Markham,44B,Richmond Hill,75,2,30,15,88,0,0,210,346
Oak Ridges--Markham/Oak Ridges--Markham,45A,Richmond Hill,83,3,33,10,99,3,1,232,506
Oak Ridges--Markham/Oak Ridges--Markham,45B,Richmond Hill,64,3,14,22,137,1,3,244,477
Oak Ridges--Markham/Oak Ridges--Markham,46A,Richmond Hill,57,1,31,17,72,0,2,180,414
Oak Ridges--Markham/Oak Ridges--Markham,46B,Richmond Hill,72,3,23,13,78,0,1,190,401
Oak Ridges--Markham/Oak Ridges--Markham,47,Richmond Hill,53,4,25,4,58,2,1,147,312
Oak Ridges--Markham/Oak Ridges--Markham,48,Richmond Hill,80,7,8,14,147,1,0,257,512
Oak Ridges--Markham/Oak Ridges--Markham,49A,Richmond Hill,77,2,19,14,161,0,2,275,520
Oak Ridges--Markham/Oak Ridges--Markham,49B,Richmond Hill,74,2,20,8,186,1,1,292,549
Oak Ridges--Markham/Oak Ridges--Markham,50A,Richmond Hill,67,0,14,4,125,0,0,210,431
Oak Ridges--Markham/Oak Ridges--Markham,50B,Richmond Hill,70,4,8,13,140,0,1,236,428
Oak Ridges--Markham/Oak Ridges--Markham,50C,Richmond Hill,48,4,18,8,125,0,3,206,417
Oak Ridges--Markham/Oak Ridges--Markham,51,Richmond Hill,113,9,10,15,163,3,2,315,547
Oak Ridges--Markham/Oak Ridges--Markham,52A,Richmond Hill,75,4,29,4,152,0,3,267,517
Oak Ridges--Markham/Oak Ridges--Markham,52B,Richmond Hill,59,2,15,3,150,0,0,229,428
Oak Ridges--Markham/Oak Ridges--Markham,53A,Richmond Hill,39,1,11,6,98,0,0,155,317
Oak Ridges--Markham/Oak Ridges--Markham,53B,Richmond Hill,35,1,7,3,80,0,0,126,257
Oak Ridges--Markham/Oak Ridges--Markham,54A,Richmond Hill,39,1,27,7,112,0,0,186,398
Oak Ridges--Markham/Oak Ridges--Markham,54B,Richmond Hill,47,1,19,6,85,3,2,163,269
Oak Ridges--Markham/Oak Ridges--Markham,54C,Mobile poll/Bureau itinérant,13,3,12,1,69,2,9,109,214
Oak Ridges--Markham/Oak Ridges--Markham,55,Richmond Hill,58,2,17,10,146,4,1,238,499
Oak Ridges--Markham/Oak Ridges--Markham,56,Richmond Hill,42,2,12,15,116,1,2,190,384
Oak Ridges--Markham/Oak Ridges--Markham,57,Richmond Hill,53,1,20,5,126,1,4,210,445
Oak Ridges--Markham/Oak Ridges--Markham,58A,Richmond Hill,21,4,12,5,59,1,1,103,231
Oak Ridges--Markham/Oak Ridges--Markham,58B,Richmond Hill,34,0,10,2,64,0,0,110,264
Oak Ridges--Markham/Oak Ridges--Markham,59,Richmond Hill,54,2,31,11,93,1,1,193,439
Oak Ridges--Markham/Oak Ridges--Markham,60,Richmond Hill,38,6,20,11,132,2,1,210,440
Oak Ridges--Markham/Oak Ridges--Markham,61,Richmond Hill,54,4,20,7,109,1,3,198,428
Oak Ridges--Markham/Oak Ridges--Markham,62,Richmond Hill,45,2,18,10,141,0,2,218,451
Oak Ridges--Markham/Oak Ridges--Markham,63,Richmond Hill,58,4,24,10,128,5,1,230,467
Oak Ridges--Markham/Oak Ridges--Markham,64,Whitchurch-Stouffville,88,1,14,16,95,3,1,218,343
Oak Ridges--Markham/Oak Ridges--Markham,65,Whitchurch-Stouffville,93,3,17,15,79,7,0,214,373
Oak Ridges--Markham/Oak Ridges--Markham,66,Whitchurch-Stouffville,131,0,36,23,135,2,2,329,564
Oak Ridges--Markham/Oak Ridges--Markham,67,Whitchurch-Stouffville,89,3,32,16,72,1,3,216,438
Oak Ridges--Markham/Oak Ridges--Markham,68,Whitchurch-Stouffville,120,2,36,12,79,1,0,250,475
Oak Ridges--Markham/Oak Ridges--Markham,69A,Whitchurch-Stouffville,140,6,13,7,228,0,1,395,580
Oak Ridges--Markham/Oak Ridges--Markham,69B,Whitchurch-Stouffville,138,2,13,13,212,2,1,381,588
Oak Ridges--Markham/Oak Ridges--Markham,70,Whitchurch-Stouffville,123,6,33,18,87,0,0,267,472
Oak Ridges--Markham/Oak Ridges--Markham,71A,Whitchurch-Stouffville,87,2,16,4,69,2,3,183,328
Oak Ridges--Markham/Oak Ridges--Markham,71B,Whitchurch-Stouffville,77,2,14,7,76,2,1,179,314
Oak Ridges--Markham/Oak Ridges--Markham,72,Whitchurch-Stouffville,132,5,8,12,80,0,0,237,407
Oak Ridges--Markham/Oak Ridges--Markham,73,Whitchurch-Stouffville,120,5,19,2,102,0,1,249,387
Oak Ridges--Markham/Oak Ridges--Markham,74,Whitchurch-Stouffville,104,4,27,10,113,5,1,264,517
Oak Ridges--Markham/Oak Ridges--Markham,75,Whitchurch-Stouffville,115,7,11,9,99,1,2,244,447
Oak Ridges--Markham/Oak Ridges--Markham,76,Whitchurch-Stouffville,91,6,57,21,108,2,0,285,537
Oak Ridges--Markham/Oak Ridges--Markham,77,Whitchurch-Stouffville,121,1,16,14,73,0,1,226,408
Oak Ridges--Markham/Oak Ridges--Markham,78,Whitchurch-Stouffville,53,1,6,10,47,1,0,118,235
Oak Ridges--Markham/Oak Ridges--Markham,79,Whitchurch-Stouffville,129,1,26,17,81,3,2,259,423
Oak Ridges--Markham/Oak Ridges--Markham,80,Whitchurch-Stouffville,130,5,19,9,133,4,2,302,545
Oak Ridges--Markham/Oak Ridges--Markham,81,Whitchurch-Stouffville,117,3,25,8,111,5,0,269,462
Oak Ridges--Markham/Oak Ridges--Markham,82,Whitchurch-Stouffville,72,4,15,7,72,2,4,176,341
Oak Ridges--Markham/Oak Ridges--Markham,83,Whitchurch-Stouffville,93,2,22,7,121,6,1,252,442
Oak Ridges--Markham/Oak Ridges--Markham,84,Whitchurch-Stouffville,106,1,19,3,84,6,1,220,353
Oak Ridges--Markham/Oak Ridges--Markham,85,Whitchurch-Stouffville,129,4,23,10,107,1,5,279,454
Oak Ridges--Markham/Oak Ridges--Markham,86,Whitchurch-Stouffville,53,0,11,11,52,4,0,131,214
Oak Ridges--Markham/Oak Ridges--Markham,87,Whitchurch-Stouffville,127,2,22,7,97,4,2,261,428
Oak Ridges--Markham/Oak Ridges--Markham,88,Whitchurch-Stouffville,86,2,23,12,50,1,1,175,308
Oak Ridges--Markham/Oak Ridges--Markham,89,Whitchurch-Stouffville,78,4,30,11,102,3,3,231,387
Oak Ridges--Markham/Oak Ridges--Markham,90,Whitchurch-Stouffville,142,4,32,10,117,0,5,310,493
Oak Ridges--Markham/Oak Ridges--Markham,91,Whitchurch-Stouffville,90,4,23,15,89,5,2,228,387
Oak Ridges--Markham/Oak Ridges--Markham,92,Whitchurch-Stouffville,62,1,21,6,74,2,0,166,270
Oak Ridges--Markham/Oak Ridges--Markham,93,Whitchurch-Stouffville,44,1,16,7,47,0,0,115,204
Oak Ridges--Markham/Oak Ridges--Markham,94,Whitchurch-Stouffville,106,1,27,1,93,2,1,231,440
Oak Ridges--Markham/Oak Ridges--Markham,95,Whitchurch-Stouffville,72,3,28,12,109,3,0,227,394
Oak Ridges--Markham/Oak Ridges--Markham,96A,Whitchurch-Stouffville,101,4,42,17,95,2,1,262,421
Oak Ridges--Markham/Oak Ridges--Markham,96B,Mobile poll/Bureau itinérant,Merged with No. 177B,,,,,,,,47
Oak Ridges--Markham/Oak Ridges--Markham,97,Whitchurch-Stouffville,137,8,29,11,116,4,3,308,463
Oak Ridges--Markham/Oak Ridges--Markham,98,Whitchurch-Stouffville,149,5,27,22,139,4,1,347,563
Oak Ridges--Markham/Oak Ridges--Markham,99,Whitchurch-Stouffville,134,4,37,11,126,2,4,318,497
Oak Ridges--Markham/Oak Ridges--Markham,100,Whitchurch-Stouffville,152,3,23,13,125,2,0,318,510
Oak Ridges--Markham/Oak Ridges--Markham,101,Markham,101,9,30,16,171,1,3,331,531
Oak Ridges--Markham/Oak Ridges--Markham,102,Markham,64,3,20,4,142,1,4,238,446
Oak Ridges--Markham/Oak Ridges--Markham,102-1,Markham,29,2,5,3,106,1,1,147,298
Oak Ridges--Markham/Oak Ridges--Markham,102-2A,Markham,45,2,15,5,107,4,0,178,355
Oak Ridges--Markham/Oak Ridges--Markham,102-2B,Markham,43,3,26,6,148,2,0,228,427
Oak Ridges--Markham/Oak Ridges--Markham,103,Markham,46,4,17,6,120,0,2,195,358
Oak Ridges--Markham/Oak Ridges--Markham,104,Markham,62,2,6,8,91,0,0,169,315
Oak Ridges--Markham/Oak Ridges--Markham,105,Markham,44,3,18,0,135,4,1,205,451
Oak Ridges--Markham/Oak Ridges--Markham,106,Markham,58,10,11,5,181,1,0,266,507
Oak Ridges--Markham/Oak Ridges--Markham,107,Markham,42,3,7,3,134,2,1,192,344
Oak Ridges--Markham/Oak Ridges--Markham,108,Markham,54,5,43,17,115,0,3,237,516
Oak Ridges--Markham/Oak Ridges--Markham,109A,Markham,62,5,22,4,154,1,3,251,533
Oak Ridges--Markham/Oak Ridges--Markham,109B,Markham,76,4,12,4,132,0,0,228,443
Oak Ridges--Markham/Oak Ridges--Markham,110,Markham,45,2,15,3,191,2,0,258,465
Oak Ridges--Markham/Oak Ridges--Markham,111,Markham,39,2,13,2,157,0,0,213,382
Oak Ridges--Markham/Oak Ridges--Markham,112,Markham,53,4,9,1,105,1,0,173,411
Oak Ridges--Markham/Oak Ridges--Markham,113A,Markham,55,2,13,2,111,0,2,185,370
Oak Ridges--Markham/Oak Ridges--Markham,113B,Markham,37,3,9,0,104,0,0,153,290
Oak Ridges--Markham/Oak Ridges--Markham,114,Markham,60,2,9,2,133,1,4,211,414
Oak Ridges--Markham/Oak Ridges--Markham,115,Markham,77,3,14,2,181,3,1,281,564
Oak Ridges--Markham/Oak Ridges--Markham,116,Markham,42,8,6,2,130,1,0,189,369
Oak Ridges--Markham/Oak Ridges--Markham,117,Markham,118,2,4,5,131,0,0,260,468
Oak Ridges--Markham/Oak Ridges--Markham,118,Markham,78,0,15,5,100,5,2,205,381
Oak Ridges--Markham/Oak Ridges--Markham,119A,Markham,56,2,9,6,99,0,0,172,292
Oak Ridges--Markham/Oak Ridges--Markham,119B,Markham,74,1,4,3,119,0,1,202,327
Oak Ridges--Markham/Oak Ridges--Markham,119-1A,Markham,56,1,11,3,104,1,1,177,315
Oak Ridges--Markham/Oak Ridges--Markham,119-1B,Markham,55,1,14,5,90,3,0,168,286
Oak Ridges--Markham/Oak Ridges--Markham,120A,Markham,36,2,14,4,126,1,1,184,371
Oak Ridges--Markham/Oak Ridges--Markham,120B,Markham,42,1,10,2,89,0,1,145,271
Oak Ridges--Markham/Oak Ridges--Markham,120-1A,Markham,59,1,13,5,122,3,0,203,391
Oak Ridges--Markham/Oak Ridges--Markham,120-1B,Markham,42,4,13,4,95,3,0,161,314
Oak Ridges--Markham/Oak Ridges--Markham,120-2,Markham,19,3,17,1,100,1,0,141,300
Oak Ridges--Markham/Oak Ridges--Markham,120-3,Markham,49,7,28,2,133,3,1,223,432
Oak Ridges--Markham/Oak Ridges--Markham,121,Markham,54,3,17,2,160,0,1,237,461
Oak Ridges--Markham/Oak Ridges--Markham,121-1,Markham,75,9,37,5,180,2,6,314,568
Oak Ridges--Markham/Oak Ridges--Markham,121-2,Markham,43,2,15,2,150,1,0,213,403
Oak Ridges--Markham/Oak Ridges--Markham,121-3,Markham,71,4,26,5,154,0,0,260,521
Oak Ridges--Markham/Oak Ridges--Markham,122A,Markham,69,2,38,4,179,5,1,298,589
Oak Ridges--Markham/Oak Ridges--Markham,122B,Markham,61,1,21,1,144,3,1,232,455
Oak Ridges--Markham/Oak Ridges--Markham,122-1,Markham,68,4,27,9,90,0,0,198,446
Oak Ridges--Markham/Oak Ridges--Markham,122-2,Markham,36,4,21,0,73,1,0,135,315
Oak Ridges--Markham/Oak Ridges--Markham,123A,Markham,40,3,17,3,134,1,0,198,345
Oak Ridges--Markham/Oak Ridges--Markham,123B,Markham,48,6,32,4,178,2,1,271,462
Oak Ridges--Markham/Oak Ridges--Markham,123-1A,Markham,54,0,15,3,87,2,0,161,289
Oak Ridges--Markham/Oak Ridges--Markham,123-1B,Markham,46,5,21,6,103,2,1,184,370
Oak Ridges--Markham/Oak Ridges--Markham,123-2,Markham,74,2,18,4,140,4,2,244,462
Oak Ridges--Markham/Oak Ridges--Markham,123-3,Markham,46,3,5,6,105,0,3,168,341
Oak Ridges--Markham/Oak Ridges--Markham,124,Markham,47,0,8,8,58,1,1,123,251
Oak Ridges--Markham/Oak Ridges--Markham,124-1A,Markham,50,5,22,5,187,0,1,270,480
Oak Ridges--Markham/Oak Ridges--Markham,124-1B,Markham,64,0,40,6,205,1,3,319,463
Oak Ridges--Markham/Oak Ridges--Markham,124-1C,Markham,54,1,28,4,195,2,6,290,499
Oak Ridges--Markham/Oak Ridges--Markham,124-2A,Markham,69,1,32,8,183,4,1,298,570
Oak Ridges--Markham/Oak Ridges--Markham,124-2B,Markham,63,5,35,4,215,3,0,325,583
Oak Ridges--Markham/Oak Ridges--Markham,124-2C,Markham,60,6,24,1,195,2,0,288,543
Oak Ridges--Markham/Oak Ridges--Markham,125A,Markham,86,3,29,15,214,2,4,353,605
Oak Ridges--Markham/Oak Ridges--Markham,125B,Markham,86,8,41,11,245,7,1,399,629
Oak Ridges--Markham/Oak Ridges--Markham,125C,Markham,64,2,29,5,171,2,1,274,482
Oak Ridges--Markham/Oak Ridges--Markham,125D,Markham,69,2,36,12,146,2,3,270,468
Oak Ridges--Markham/Oak Ridges--Markham,126A,Markham,98,0,5,1,126,0,1,231,329
Oak Ridges--Markham/Oak Ridges--Markham,126B,Markham,111,1,9,4,130,4,2,261,386
Oak Ridges--Markham/Oak Ridges--Markham,127,Markham,74,1,25,33,67,0,2,202,359
Oak Ridges--Markham/Oak Ridges--Markham,128A,Markham,38,5,13,1,91,1,0,149,254
Oak Ridges--Markham/Oak Ridges--Markham,128B,Markham,31,1,7,1,129,1,2,172,319
Oak Ridges--Markham/Oak Ridges--Markham,129,Markham,74,6,23,8,142,2,3,258,449
Oak Ridges--Markham/Oak Ridges--Markham,130,Markham,81,7,36,6,172,3,1,306,540
Oak Ridges--Markham/Oak Ridges--Markham,131A,Markham,32,0,8,5,116,3,1,165,278
Oak Ridges--Markham/Oak Ridges--Markham,131B,Markham,37,1,12,8,109,0,4,171,325
Oak Ridges--Markham/Oak Ridges--Markham,132,Markham,67,2,13,4,179,3,2,270,471
Oak Ridges--Markham/Oak Ridges--Markham,133,Markham,79,4,30,9,124,0,1,247,491
Oak Ridges--Markham/Oak Ridges--Markham,134A,Markham,37,3,9,3,92,0,1,145,282
Oak Ridges--Markham/Oak Ridges--Markham,134B,Markham,34,1,13,2,123,0,1,174,313
Oak Ridges--Markham/Oak Ridges--Markham,135,Markham,71,5,20,8,181,4,0,289,486
Oak Ridges--Markham/Oak Ridges--Markham,136,Markham,79,4,31,6,194,0,2,316,547
Oak Ridges--Markham/Oak Ridges--Markham,137,Markham,60,2,32,10,127,2,2,235,429
Oak Ridges--Markham/Oak Ridges--Markham,138,Markham,33,0,5,1,59,1,2,101,191
Oak Ridges--Markham/Oak Ridges--Markham,139A,Markham,52,4,9,3,72,1,2,143,313
Oak Ridges--Markham/Oak Ridges--Markham,139B,Markham,29,5,15,2,68,3,2,124,283
Oak Ridges--Markham/Oak Ridges--Markham,140,Markham,84,6,42,13,198,3,2,348,566
Oak Ridges--Markham/Oak Ridges--Markham,141,Markham,71,4,22,5,161,0,0,263,455
Oak Ridges--Markham/Oak Ridges--Markham,142,Markham,47,3,11,5,125,1,2,194,366
Oak Ridges--Markham/Oak Ridges--Markham,143,Markham,49,3,11,5,130,0,1,199,371
Oak Ridges--Markham/Oak Ridges--Markham,144,Markham,16,0,8,1,37,2,1,65,288
Oak Ridges--Markham/Oak Ridges--Markham,145,Markham,42,1,19,6,74,1,0,143,315
Oak Ridges--Markham/Oak Ridges--Markham,146,Markham,93,5,44,14,114,1,2,273,421
Oak Ridges--Markham/Oak Ridges--Markham,147,Markham,87,2,21,8,112,4,4,238,383
Oak Ridges--Markham/Oak Ridges--Markham,148,Markham,79,0,20,9,120,1,1,230,329
Oak Ridges--Markham/Oak Ridges--Markham,149,Markham,61,1,21,13,97,7,1,201,305
Oak Ridges--Markham/Oak Ridges--Markham,150,Markham,73,1,17,8,77,4,1,181,327
Oak Ridges--Markham/Oak Ridges--Markham,151,Markham,63,5,13,9,139,0,1,230,410
Oak Ridges--Markham/Oak Ridges--Markham,152,Markham,105,1,24,16,190,1,2,339,521
Oak Ridges--Markham/Oak Ridges--Markham,153,Markham,77,3,27,7,158,3,1,276,457
Oak Ridges--Markham/Oak Ridges--Markham,154A,Markham,51,0,13,5,110,1,0,180,277
Oak Ridges--Markham/Oak Ridges--Markham,154B,Markham,55,0,17,10,93,1,4,180,292
Oak Ridges--Markham/Oak Ridges--Markham,155,Markham,65,2,26,6,149,1,0,249,417
Oak Ridges--Markham/Oak Ridges--Markham,156,Markham,110,1,36,6,180,2,0,335,533
Oak Ridges--Markham/Oak Ridges--Markham,157,Markham,76,0,19,9,191,0,2,297,463
Oak Ridges--Markham/Oak Ridges--Markham,158,Markham,90,2,22,18,193,1,2,328,515
Oak Ridges--Markham/Oak Ridges--Markham,159,Markham,117,3,32,7,159,2,4,324,492
Oak Ridges--Markham/Oak Ridges--Markham,160,Markham,73,0,14,14,83,0,0,184,265
Oak Ridges--Markham/Oak Ridges--Markham,161,Markham,59,0,27,15,112,1,2,216,351
Oak Ridges--Markham/Oak Ridges--Markham,162,Markham,80,2,25,9,125,0,1,242,355
Oak Ridges--Markham/Oak Ridges--Markham,163,Markham,113,2,26,13,150,1,1,306,485
Oak Ridges--Markham/Oak Ridges--Markham,164,Markham,89,1,24,15,153,0,1,283,462
Oak Ridges--Markham/Oak Ridges--Markham,165A,Markham,54,2,23,13,109,6,1,208,313
Oak Ridges--Markham/Oak Ridges--Markham,165B,Markham,88,2,22,7,92,3,4,218,348
Oak Ridges--Markham/Oak Ridges--Markham,166,Markham,77,2,14,11,164,2,0,270,399
Oak Ridges--Markham/Oak Ridges--Markham,167,Markham,43,1,13,7,82,0,1,147,225
Oak Ridges--Markham/Oak Ridges--Markham,168,Markham,85,4,23,8,148,2,2,272,413
Oak Ridges--Markham/Oak Ridges--Markham,169,Markham,98,1,16,10,153,1,1,280,411
Oak Ridges--Markham/Oak Ridges--Markham,170,Markham,94,3,29,20,103,5,0,254,389
Oak Ridges--Markham/Oak Ridges--Markham,171,Markham,88,2,23,10,123,0,0,246,422
Oak Ridges--Markham/Oak Ridges--Markham,172,Markham,84,2,18,5,140,0,0,249,410
Oak Ridges--Markham/Oak Ridges--Markham,173,Markham,53,4,27,22,100,1,1,208,375
Oak Ridges--Markham/Oak Ridges--Markham,174,Markham,97,1,20,13,136,0,0,267,381
Oak Ridges--Markham/Oak Ridges--Markham,175,Markham,70,1,32,6,97,1,2,209,319
Oak Ridges--Markham/Oak Ridges--Markham,176A,Markham,62,4,17,7,107,1,1,199,338
Oak Ridges--Markham/Oak Ridges--Markham,176B,Mobile poll/Bureau itinérant,Merged with No. 500B,,,,,,,,38
Oak Ridges--Markham/Oak Ridges--Markham,177A,Markham,99,1,44,8,198,5,2,357,571
Oak Ridges--Markham/Oak Ridges--Markham,177B,Mobile poll/Bureau itinérant,30,9,15,6,34,1,0,95,163
Oak Ridges--Markham/Oak Ridges--Markham,400,Richmond Hill,4,0,17,1,90,0,0,112,227
Oak Ridges--Markham/Oak Ridges--Markham,401,Richmond Hill,12,0,27,4,157,0,0,200,340
Oak Ridges--Markham/Oak Ridges--Markham,500A,Mobile poll/Bureau itinérant,29,2,6,0,20,3,1,61,109
Oak Ridges--Markham/Oak Ridges--Markham,500B,Mobile poll/Bureau itinérant,54,3,17,2,160,0,1,237,214
Oak Ridges--Markham/Oak Ridges--Markham,501,Mobile poll/Bureau itinérant,25,6,10,0,21,2,2,66,155
Oak Ridges--Markham/Oak Ridges--Markham,502,Mobile poll/Bureau itinérant,36,3,13,0,48,1,3,104,164
Oak Ridges--Markham/Oak Ridges--Markham,600,King,216,6,50,26,175,5,2,480,
Oak Ridges--Markham/Oak Ridges--Markham,601,King,285,4,32,28,241,2,7,599,
Oak Ridges--Markham/Oak Ridges--Markham,602,Richmond Hill,225,16,51,32,206,2,0,532,
Oak Ridges--Markham/Oak Ridges--Markham,603,Richmond Hill,204,6,58,18,321,1,2,610,
Oak Ridges--Markham/Oak Ridges--Markham,604,Whitchurch-Stouffville,375,10,38,27,187,4,1,642,
Oak Ridges--Markham/Oak Ridges--Markham,605,Whitchurch-Stouffville,349,8,52,19,191,4,0,623,
Oak Ridges--Markham/Oak Ridges--Markham,606,Markham,574,30,122,39,820,14,7,1606,
Oak Ridges--Markham/Oak Ridges--Markham,607,Markham,300,7,64,19,349,7,2,748,
Oak Ridges--Markham/Oak Ridges--Markham,608,Markham,361,7,70,22,401,3,1,865,
Oak Ridges--Markham/Oak Ridges--Markham,,Group 1/Groupe 1,16,4,5,1,24,0,1,51,109
Oak Ridges--Markham/Oak Ridges--Markham,,Group 2/Groupe 2,203,3,32,21,146,4,0,409,
