District,Poll Number,Poll Name,Jason Kenney,Brian Pincott,George Read,Jim Tanner,Rejected Ballots,Total Vote,Electors
Calgary Southeast/Calgary-Sud-Est,183,Calgary,198,10,6,47,0,261,404
Calgary Southeast/Calgary-Sud-Est,184,Calgary,145,8,11,40,0,204,333
Calgary Southeast/Calgary-Sud-Est,185,Calgary,194,9,15,64,0,282,525
Calgary Southeast/Calgary-Sud-Est,186,Calgary,102,14,9,17,0,142,272
Calgary Southeast/Calgary-Sud-Est,187,Calgary,120,14,11,16,0,161,299
Calgary Southeast/Calgary-Sud-Est,188,Calgary,134,11,9,20,0,174,318
Calgary Southeast/Calgary-Sud-Est,189,Calgary,173,12,8,53,1,247,417
Calgary Southeast/Calgary-Sud-Est,190,Calgary,150,14,4,49,0,217,364
Calgary Southeast/Calgary-Sud-Est,191,Calgary,156,19,7,30,0,212,453
Calgary Southeast/Calgary-Sud-Est,192,Calgary,177,23,16,29,0,245,422
Calgary Southeast/Calgary-Sud-Est,193,Calgary,151,10,15,40,0,216,373
Calgary Southeast/Calgary-Sud-Est,193-1,Calgary,243,17,21,45,1,327,605
Calgary Southeast/Calgary-Sud-Est,193-2A,Calgary,164,8,12,35,0,219,408
Calgary Southeast/Calgary-Sud-Est,193-2B,Calgary,172,8,15,31,1,227,408
Calgary Southeast/Calgary-Sud-Est,194,Calgary,Merged with No. 195,,,,,,2
Calgary Southeast/Calgary-Sud-Est,194-1,Calgary,170,9,10,45,0,234,405
Calgary Southeast/Calgary-Sud-Est,194-2,Calgary,280,36,31,63,0,410,603
Calgary Southeast/Calgary-Sud-Est,195,Calgary,87,13,5,23,0,128,184
Calgary Southeast/Calgary-Sud-Est,195-1A,Calgary,131,24,17,33,1,206,386
Calgary Southeast/Calgary-Sud-Est,195-1B,Calgary,132,21,19,33,1,206,374
Calgary Southeast/Calgary-Sud-Est,195-2,Calgary,132,19,16,24,0,191,335
Calgary Southeast/Calgary-Sud-Est,196,Calgary,206,17,15,51,1,290,488
Calgary Southeast/Calgary-Sud-Est,197A,Calgary,151,24,19,47,1,242,409
Calgary Southeast/Calgary-Sud-Est,197B,Calgary,167,23,15,49,0,254,450
Calgary Southeast/Calgary-Sud-Est,198A,Calgary,182,10,15,34,2,243,389
Calgary Southeast/Calgary-Sud-Est,198B,Calgary,153,18,18,37,1,227,386
Calgary Southeast/Calgary-Sud-Est,199,Calgary,232,20,17,61,2,332,461
Calgary Southeast/Calgary-Sud-Est,200A,Calgary,166,23,13,44,2,248,438
