District,Poll Number,Poll Name,John Carty,Kent Fox,Daron Letts,Andy Scott,Rejected Ballots,Total Vote,Electors
Fredericton/Fredericton,51B,Fredericton,20,44,4,79,1,148,276
Fredericton/Fredericton,52A,Fredericton,28,45,2,87,2,164,271
Fredericton/Fredericton,52B,Fredericton,20,58,2,87,0,167,284
Fredericton/Fredericton,53A,Fredericton,21,25,6,91,1,144,256
Fredericton/Fredericton,53B,Fredericton,19,33,2,70,0,124,249
Fredericton/Fredericton,54A,Fredericton,41,62,3,49,0,155,305
Fredericton/Fredericton,54B,Fredericton,32,56,4,42,1,135,290
Fredericton/Fredericton,55,Fredericton,39,47,5,131,0,222,363
Fredericton/Fredericton,56A,Fredericton,17,39,4,104,0,164,275
Fredericton/Fredericton,56B,Fredericton,28,35,6,93,0,162,270
Fredericton/Fredericton,57A,Fredericton,49,23,7,55,0,134,255
Fredericton/Fredericton,57B,Fredericton,33,28,5,47,1,114,250
Fredericton/Fredericton,58A,Fredericton,54,29,11,80,0,174,365
Fredericton/Fredericton,58B,Fredericton,51,33,4,82,0,170,354
Fredericton/Fredericton,59,Fredericton,66,17,13,85,1,182,407
Fredericton/Fredericton,60,Fredericton,72,33,9,104,0,218,451
Fredericton/Fredericton,61A,Fredericton,92,40,7,133,0,272,563
Fredericton/Fredericton,61B,Mobile poll/Bureau itinérant,Merged with No. 501,,,,,,6
Fredericton/Fredericton,62,Fredericton,41,43,6,148,0,238,397
Fredericton/Fredericton,63,Fredericton,53,26,8,74,0,161,378
Fredericton/Fredericton,64A,Fredericton,21,28,4,103,0,156,282
Fredericton/Fredericton,64B,Fredericton,34,17,2,104,1,158,289
Fredericton/Fredericton,65A,Fredericton,49,29,9,57,0,144,285
Fredericton/Fredericton,65B,Fredericton,32,26,10,52,1,121,273
Fredericton/Fredericton,66A,Fredericton,45,13,6,63,0,127,262
Fredericton/Fredericton,66B,Fredericton,26,23,4,75,1,129,251
Fredericton/Fredericton,67,Fredericton,50,40,2,99,0,191,327
Fredericton/Fredericton,68,Fredericton,59,46,7,88,3,203,411
Fredericton/Fredericton,69,Fredericton,34,71,6,94,2,207,356
Fredericton/Fredericton,70,Fredericton,31,30,5,101,2,169,314
Fredericton/Fredericton,71A,Fredericton,31,31,10,78,0,150,324
Fredericton/Fredericton,71B,Fredericton,38,24,4,92,0,158,340
Fredericton/Fredericton,72,Fredericton,34,21,8,85,0,148,378
Fredericton/Fredericton,73,Fredericton,35,19,6,54,1,115,352
Fredericton/Fredericton,74,Fredericton,46,55,3,99,2,205,460
Fredericton/Fredericton,75,Fredericton,20,35,7,76,0,138,258
Fredericton/Fredericton,76,Fredericton,22,41,3,99,0,165,293
Fredericton/Fredericton,77,Fredericton,49,70,3,142,3,267,436
Fredericton/Fredericton,78,Fredericton,50,81,3,90,5,229,348
Fredericton/Fredericton,79,Fredericton,43,38,4,74,0,159,407
Fredericton/Fredericton,80,Fredericton,37,32,7,48,1,125,331
Fredericton/Fredericton,81,Fredericton,29,45,5,56,0,135,306
Fredericton/Fredericton,82A,Fredericton,50,51,0,109,1,211,454
Fredericton/Fredericton,82B,Mobile poll/Bureau itinérant,Merged with No. 501,,,,,,32
Fredericton/Fredericton,83,Fredericton,32,61,4,183,0,280,439
Fredericton/Fredericton,84,Fredericton,41,60,9,109,1,220,356
Fredericton/Fredericton,85,Fredericton,26,43,3,96,0,168,282
Fredericton/Fredericton,86,Fredericton,29,56,6,120,1,212,364
Fredericton/Fredericton,87,Fredericton,44,42,7,101,0,194,421
Fredericton/Fredericton,88,Fredericton,39,26,3,57,1,126,376
Fredericton/Fredericton,89,Fredericton,42,29,9,76,2,158,383
Fredericton/Fredericton,90,Fredericton,27,72,2,164,1,266,431
Fredericton/Fredericton,91,Fredericton,49,73,7,154,0,283,460
Fredericton/Fredericton,92,Fredericton,50,58,11,137,2,258,455
Fredericton/Fredericton,93,Fredericton,18,41,14,91,1,165,288
Fredericton/Fredericton,94,Fredericton,43,45,6,108,3,205,383
Fredericton/Fredericton,95A,Fredericton,26,43,5,91,0,165,257
Fredericton/Fredericton,95B,Fredericton,33,29,4,86,0,152,246
Fredericton/Fredericton,96A,Fredericton,19,50,6,86,2,163,283
Fredericton/Fredericton,96B,Fredericton,31,48,9,117,2,207,305
Fredericton/Fredericton,97A,Fredericton,26,50,4,83,1,164,256
Fredericton/Fredericton,97B,Fredericton,20,53,2,66,1,142,250
Fredericton/Fredericton,98,Fredericton,43,46,5,65,0,159,368
Fredericton/Fredericton,99,Fredericton,41,29,3,61,0,134,336
Fredericton/Fredericton,100,Fredericton,80,97,3,121,0,301,507
Fredericton/Fredericton,101A,New Maryland,26,42,1,114,0,183,282
Fredericton/Fredericton,101B,New Maryland,18,77,1,106,1,203,313
Fredericton/Fredericton,102,New Maryland,36,77,7,177,3,300,441
Fredericton/Fredericton,103A,New Maryland,19,54,4,84,0,161,249
Fredericton/Fredericton,103B,New Maryland,15,49,1,89,0,154,237
Fredericton/Fredericton,104,New Maryland,31,85,3,96,1,216,340
Fredericton/Fredericton,105A,New Maryland,24,54,5,115,1,199,288
Fredericton/Fredericton,105B,New Maryland,31,55,6,97,0,189,271
Fredericton/Fredericton,106,New Maryland,33,76,4,111,2,226,336
Fredericton/Fredericton,107,New Maryland,57,86,6,123,2,274,446
Fredericton/Fredericton,108A,Rear Maugerville,22,82,5,83,0,192,338
Fredericton/Fredericton,108B,Rear Maugerville,47,78,5,60,2,192,341
Fredericton/Fredericton,108-1A,St. Mary's,42,109,9,112,0,272,485
Fredericton/Fredericton,108-1B,St. Mary's,38,78,5,133,2,256,466
Fredericton/Fredericton,109,Northfield,28,67,3,80,2,180,337
Fredericton/Fredericton,110,Chipman,28,74,1,63,6,172,300
Fredericton/Fredericton,111,Chipman,26,48,2,67,1,144,265
Fredericton/Fredericton,112,Chipman,39,73,6,77,3,198,424
Fredericton/Fredericton,113,Chipman,35,64,2,52,6,159,340
Fredericton/Fredericton,114,Chipman,20,33,4,43,0,100,253
Fredericton/Fredericton,115,Chipman,23,55,6,30,3,117,252
Fredericton/Fredericton,116,Chipman,21,29,2,39,2,93,205
Fredericton/Fredericton,117A,Minto,26,47,3,60,0,136,281
Fredericton/Fredericton,117B,Mobile poll/Bureau itinérant,Merged with No. 500,,,,,,12
Fredericton/Fredericton,118,Minto,24,101,1,68,3,197,340
Fredericton/Fredericton,119,Minto,22,34,4,65,1,126,273
Fredericton/Fredericton,120,Minto,46,60,5,116,2,229,402
Fredericton/Fredericton,121,Minto,33,60,6,76,3,178,315
Fredericton/Fredericton,122,Minto,21,39,4,54,2,120,274
Fredericton/Fredericton,123A,Minto,53,52,4,87,0,196,395
Fredericton/Fredericton,123B,Mobile poll/Bureau itinérant,Merged with No. 500,,,,,,9
Fredericton/Fredericton,124,Northfield,22,77,4,86,1,190,307
Fredericton/Fredericton,125,Newcastle Creek,28,92,1,63,3,187,458
Fredericton/Fredericton,126,Douglas Harbour,27,143,6,93,0,269,396
Fredericton/Fredericton,127,Sheffield,51,137,4,106,2,300,325
Fredericton/Fredericton,128,Sheffield,16,48,1,62,1,128,337
Fredericton/Fredericton,129A,Maugerville,36,73,1,68,2,180,321
Fredericton/Fredericton,129B,Maugerville,31,107,5,54,2,199,321
Fredericton/Fredericton,130A,Lincoln,26,63,7,74,2,172,297
Fredericton/Fredericton,130B,Lincoln,32,65,6,68,0,171,288
Fredericton/Fredericton,131,Lincoln,48,78,1,67,0,194,389
Fredericton/Fredericton,132,Lincoln,44,60,6,50,1,161,322
Fredericton/Fredericton,133,Lincoln,44,121,5,66,0,236,372
Fredericton/Fredericton,134A,Lower Lincoln,25,64,2,70,1,162,324
Fredericton/Fredericton,134B,Lower Lincoln,38,68,6,57,1,170,319
Fredericton/Fredericton,135A,Waasis,33,70,3,60,1,167,322
Fredericton/Fredericton,135B,Waasis,35,58,6,61,0,160,332
Fredericton/Fredericton,136,Lincoln,34,33,5,54,0,126,319
Fredericton/Fredericton,137,Rusagonis,19,39,2,47,1,108,174
Fredericton/Fredericton,138,Rusagonis,42,106,4,79,1,232,371
Fredericton/Fredericton,139A,Rusagonis,13,43,0,40,1,97,183
Fredericton/Fredericton,139B,Rusagonis,20,43,3,38,0,104,184
Fredericton/Fredericton,140,Waterville,40,118,7,106,2,273,508
Fredericton/Fredericton,141,French Lake,28,111,4,88,1,232,397
Fredericton/Fredericton,142,Geary,26,101,5,98,2,232,398
Fredericton/Fredericton,143,Geary,25,71,4,88,2,190,351
Fredericton/Fredericton,144,Geary,65,150,11,89,3,318,536
Fredericton/Fredericton,145A,Burton,14,42,5,27,1,89,171
Fredericton/Fredericton,145B,Burton,9,24,0,45,2,80,145
Fredericton/Fredericton,146,Burton,19,53,5,79,0,156,325
Fredericton/Fredericton,146-1A,Burton,33,66,2,52,1,154,293
Fredericton/Fredericton,146-1B,Mobile poll/Bureau itinérant,Merged with No. 501,,,,,,19
Fredericton/Fredericton,147A,Burpees Corner,40,84,1,79,2,206,343
Fredericton/Fredericton,147B,Burpees Corner,37,87,6,76,2,208,349
Fredericton/Fredericton,148,Oromocto,30,68,2,105,0,205,417
Fredericton/Fredericton,149,Oromocto,32,92,0,90,0,214,368
Fredericton/Fredericton,150,Oromocto,30,71,3,84,1,189,398
Fredericton/Fredericton,151A,Oromocto,24,49,5,59,4,141,273
Fredericton/Fredericton,151B,Oromocto,16,52,4,61,0,133,271
Fredericton/Fredericton,152,Oromocto,29,103,2,115,0,249,451
Fredericton/Fredericton,153,Oromocto,24,72,0,87,0,183,384
Fredericton/Fredericton,154A,Oromocto,11,24,1,30,0,66,246
Fredericton/Fredericton,154B,Oromocto,8,32,2,26,1,69,241
Fredericton/Fredericton,155,Oromocto,15,38,1,34,1,89,338
Fredericton/Fredericton,156,Oromocto,29,61,3,78,0,171,434
Fredericton/Fredericton,157,Oromocto,21,53,8,106,3,191,414
Fredericton/Fredericton,158,Oromocto,15,42,7,48,0,112,312
Fredericton/Fredericton,159,Oromocto,15,30,3,26,0,74,270
Fredericton/Fredericton,160,Oromocto,19,31,5,24,2,81,353
Fredericton/Fredericton,161A,Oromocto,13,36,2,35,0,86,313
Fredericton/Fredericton,161B,Oromocto,20,36,2,52,1,111,361
Fredericton/Fredericton,400,Fredericton,1,2,0,4,0,7,139
Fredericton/Fredericton,500,Mobile poll/Bureau itinérant,5,8,2,14,0,29,25
Fredericton/Fredericton,501,Mobile poll/Bureau itinérant,11,64,4,96,5,180,65
Fredericton/Fredericton,600,Fredericton,137,537,23,623,3,1323,
Fredericton/Fredericton,601,Fredericton,35,104,7,145,2,293,
Fredericton/Fredericton,602,Fredericton,135,303,29,531,5,1003,
Fredericton/Fredericton,603,Fredericton,81,252,5,353,0,691,
Fredericton/Fredericton,604,Fredericton,33,127,5,101,3,269,
Fredericton/Fredericton,605,Fredericton,30,124,0,131,0,285,
Fredericton/Fredericton,606,Oromocto,41,266,7,251,2,567,
Fredericton/Fredericton,607,Chipman,35,187,8,213,5,448,
Fredericton/Fredericton,608,Minto,98,202,15,255,9,579,
Fredericton/Fredericton,,Group 1/Groupe 1,26,178,20,100,4,328,1194
Fredericton/Fredericton,,Group 2/Groupe 2,119,333,8,433,16,909,
