District,Poll Number,Poll Name,Jim Pankiw,Ron Schriml,Bradley R. Trost,Nettie Wiebe,Patrick Wolfe,Larry Zarysky,Rejected Ballots,Total Vote,Electors
Saskatoon--Humboldt/Saskatoon--Humboldt,35,Meacham,26,3,28,17,29,1,2,106,178
Saskatoon--Humboldt/Saskatoon--Humboldt,36,St. Benedict,53,2,47,21,17,0,0,140,217
Saskatoon--Humboldt/Saskatoon--Humboldt,37,Middle Lake,75,1,31,32,24,0,0,163,263
Saskatoon--Humboldt/Saskatoon--Humboldt,38,Middle Lake,66,4,30,15,20,0,1,136,253
Saskatoon--Humboldt/Saskatoon--Humboldt,39,Fulda,47,4,36,12,17,0,0,116,159
Saskatoon--Humboldt/Saskatoon--Humboldt,40,Lake Lenore,99,1,73,30,33,0,0,236,337
Saskatoon--Humboldt/Saskatoon--Humboldt,41,Bruno,31,5,29,5,32,0,0,102,147
Saskatoon--Humboldt/Saskatoon--Humboldt,42,Bruno,48,2,41,31,68,1,1,192,345
Saskatoon--Humboldt/Saskatoon--Humboldt,43,Bruno,27,0,22,36,35,1,1,122,179
Saskatoon--Humboldt/Saskatoon--Humboldt,44,Dixon,95,3,56,25,44,2,1,226,308
Saskatoon--Humboldt/Saskatoon--Humboldt,45,Humboldt,51,1,43,34,58,0,0,187,266
Saskatoon--Humboldt/Saskatoon--Humboldt,46,Humboldt,78,0,74,41,71,0,0,264,416
Saskatoon--Humboldt/Saskatoon--Humboldt,47,Humboldt,79,5,75,56,77,2,3,297,451
Saskatoon--Humboldt/Saskatoon--Humboldt,48,Humboldt,68,2,36,36,60,0,1,203,326
Saskatoon--Humboldt/Saskatoon--Humboldt,49,Humboldt,52,2,52,53,101,1,0,261,461
Saskatoon--Humboldt/Saskatoon--Humboldt,50A,Humboldt,19,1,29,21,31,0,1,102,294
Saskatoon--Humboldt/Saskatoon--Humboldt,50B,Humboldt,36,2,21,23,12,1,0,95,317
Saskatoon--Humboldt/Saskatoon--Humboldt,50C,Humboldt,65,3,54,42,52,0,0,216,420
Saskatoon--Humboldt/Saskatoon--Humboldt,51,Humboldt,53,3,34,34,32,0,1,157,265
Saskatoon--Humboldt/Saskatoon--Humboldt,52,Humboldt,49,2,34,39,33,0,1,158,280
Saskatoon--Humboldt/Saskatoon--Humboldt,53,Humboldt,56,5,52,46,49,1,0,209,375
Saskatoon--Humboldt/Saskatoon--Humboldt,54,Humboldt,48,3,37,33,29,0,0,150,297
Saskatoon--Humboldt/Saskatoon--Humboldt,55,Annaheim,95,3,68,42,57,2,0,267,358
Saskatoon--Humboldt/Saskatoon--Humboldt,56,Muenster,37,3,14,21,31,1,0,107,142
Saskatoon--Humboldt/Saskatoon--Humboldt,57,St. Gregor,58,2,34,23,31,0,0,148,224
Saskatoon--Humboldt/Saskatoon--Humboldt,58,Englefeld,66,5,61,27,35,0,0,194,297
Saskatoon--Humboldt/Saskatoon--Humboldt,59,Muenster,71,4,29,56,58,1,0,219,304
Saskatoon--Humboldt/Saskatoon--Humboldt,60,Leroy,45,0,39,49,33,0,0,166,256
Saskatoon--Humboldt/Saskatoon--Humboldt,61,Sinnett,26,1,28,10,5,0,0,70,98
Saskatoon--Humboldt/Saskatoon--Humboldt,62,Leroy,50,2,31,47,47,0,0,177,333
Saskatoon--Humboldt/Saskatoon--Humboldt,63,Watson,61,1,37,28,16,0,0,143,207
Saskatoon--Humboldt/Saskatoon--Humboldt,64,Watson,64,2,76,44,45,0,1,232,470
Saskatoon--Humboldt/Saskatoon--Humboldt,65,Watson,32,2,25,31,20,1,0,111,187
Saskatoon--Humboldt/Saskatoon--Humboldt,66,Quill Lake,67,4,45,29,9,0,0,154,234
Saskatoon--Humboldt/Saskatoon--Humboldt,67,Quill Lake,102,2,87,29,37,2,1,260,443
Saskatoon--Humboldt/Saskatoon--Humboldt,68,Saskatoon,7,4,19,28,25,0,0,83,298
Saskatoon--Humboldt/Saskatoon--Humboldt,69,Saskatoon,14,7,44,90,51,0,0,206,354
Saskatoon--Humboldt/Saskatoon--Humboldt,70,Saskatoon,19,7,36,115,59,1,1,238,473
Saskatoon--Humboldt/Saskatoon--Humboldt,71,Saskatoon,8,1,41,91,59,0,0,200,358
Saskatoon--Humboldt/Saskatoon--Humboldt,72,Saskatoon,15,5,17,65,36,1,0,139,292
Saskatoon--Humboldt/Saskatoon--Humboldt,73,Saskatoon,8,3,28,86,57,0,0,182,376
Saskatoon--Humboldt/Saskatoon--Humboldt,74,Saskatoon,13,3,29,70,42,1,0,158,289
Saskatoon--Humboldt/Saskatoon--Humboldt,75,Saskatoon,8,5,20,71,38,0,0,142,265
Saskatoon--Humboldt/Saskatoon--Humboldt,76,Saskatoon,4,5,23,59,33,0,0,124,286
Saskatoon--Humboldt/Saskatoon--Humboldt,77,Saskatoon,11,7,42,94,54,0,0,208,409
Saskatoon--Humboldt/Saskatoon--Humboldt,78,Saskatoon,16,7,30,67,48,0,1,169,301
Saskatoon--Humboldt/Saskatoon--Humboldt,79,Saskatoon,11,10,58,76,80,0,1,236,387
Saskatoon--Humboldt/Saskatoon--Humboldt,80,Saskatoon,11,11,35,89,51,0,1,198,405
Saskatoon--Humboldt/Saskatoon--Humboldt,81,Saskatoon,12,6,35,76,61,1,1,192,390
Saskatoon--Humboldt/Saskatoon--Humboldt,82,Saskatoon,10,9,37,145,36,1,1,239,422
Saskatoon--Humboldt/Saskatoon--Humboldt,83,Saskatoon,22,5,40,101,72,0,3,243,451
Saskatoon--Humboldt/Saskatoon--Humboldt,84,Saskatoon,16,10,42,76,65,1,0,210,350
Saskatoon--Humboldt/Saskatoon--Humboldt,85,Saskatoon,16,10,28,96,43,0,0,193,330
Saskatoon--Humboldt/Saskatoon--Humboldt,86,Saskatoon,12,11,26,121,42,0,1,213,402
Saskatoon--Humboldt/Saskatoon--Humboldt,87,Saskatoon,7,12,44,95,64,1,0,223,414
Saskatoon--Humboldt/Saskatoon--Humboldt,88A,Saskatoon,13,5,18,77,39,1,0,153,302
Saskatoon--Humboldt/Saskatoon--Humboldt,88B,Saskatoon,5,8,22,69,46,0,2,152,332
Saskatoon--Humboldt/Saskatoon--Humboldt,89,Saskatoon,19,9,30,112,59,0,1,230,449
Saskatoon--Humboldt/Saskatoon--Humboldt,90,Saskatoon,21,2,58,104,61,1,0,247,476
Saskatoon--Humboldt/Saskatoon--Humboldt,91,Saskatoon,15,1,42,35,40,0,0,133,284
Saskatoon--Humboldt/Saskatoon--Humboldt,92A,Saskatoon,40,2,46,38,49,1,0,176,315
Saskatoon--Humboldt/Saskatoon--Humboldt,92B,Saskatoon,30,3,55,37,44,0,0,169,303
Saskatoon--Humboldt/Saskatoon--Humboldt,93,Saskatoon,65,6,59,70,41,0,0,241,450
Saskatoon--Humboldt/Saskatoon--Humboldt,94,Saskatoon,20,6,58,41,34,0,0,159,377
Saskatoon--Humboldt/Saskatoon--Humboldt,95,Saskatoon,48,7,72,42,60,0,1,230,433
Saskatoon--Humboldt/Saskatoon--Humboldt,96,Saskatoon,23,5,21,39,27,0,0,115,349
Saskatoon--Humboldt/Saskatoon--Humboldt,97,Saskatoon,49,4,82,45,66,1,0,247,477
Saskatoon--Humboldt/Saskatoon--Humboldt,98A,Saskatoon,52,4,110,50,86,0,1,303,588
Saskatoon--Humboldt/Saskatoon--Humboldt,98B,Saskatoon,51,9,106,37,85,0,0,288,528
Saskatoon--Humboldt/Saskatoon--Humboldt,99A,Saskatoon,14,5,30,36,22,0,0,107,285
Saskatoon--Humboldt/Saskatoon--Humboldt,99B,Saskatoon,22,3,46,40,35,0,1,147,321
Saskatoon--Humboldt/Saskatoon--Humboldt,100,Saskatoon,53,5,64,87,58,0,0,267,511
Saskatoon--Humboldt/Saskatoon--Humboldt,101,Saskatoon,39,4,59,52,35,0,0,189,424
Saskatoon--Humboldt/Saskatoon--Humboldt,102,Saskatoon,52,2,71,52,51,1,1,230,533
Saskatoon--Humboldt/Saskatoon--Humboldt,103,Saskatoon,46,9,56,60,39,0,0,210,379
Saskatoon--Humboldt/Saskatoon--Humboldt,104,Saskatoon,44,4,52,55,45,0,0,200,445
Saskatoon--Humboldt/Saskatoon--Humboldt,105,Saskatoon,45,4,49,66,57,2,0,223,482
Saskatoon--Humboldt/Saskatoon--Humboldt,106,Saskatoon,36,8,51,60,61,0,0,216,454
Saskatoon--Humboldt/Saskatoon--Humboldt,107,Saskatoon,27,5,34,65,25,1,0,157,385
Saskatoon--Humboldt/Saskatoon--Humboldt,108,Saskatoon,16,4,31,28,28,0,0,107,237
Saskatoon--Humboldt/Saskatoon--Humboldt,109,Saskatoon,42,7,49,87,56,0,0,241,563
Saskatoon--Humboldt/Saskatoon--Humboldt,110A,Saskatoon,38,1,98,41,58,0,0,236,418
Saskatoon--Humboldt/Saskatoon--Humboldt,110B,Saskatoon,25,2,86,50,72,0,1,236,407
Saskatoon--Humboldt/Saskatoon--Humboldt,111,Saskatoon,38,0,71,30,56,0,1,196,373
Saskatoon--Humboldt/Saskatoon--Humboldt,112A,Saskatoon,32,2,83,43,61,0,0,221,404
Saskatoon--Humboldt/Saskatoon--Humboldt,112B,Saskatoon,24,2,82,29,57,0,0,194,373
Saskatoon--Humboldt/Saskatoon--Humboldt,113,Saskatoon,39,3,121,62,91,0,0,316,553
Saskatoon--Humboldt/Saskatoon--Humboldt,114,Saskatoon,29,1,70,28,48,0,0,176,315
Saskatoon--Humboldt/Saskatoon--Humboldt,115,Saskatoon,56,1,102,52,86,1,0,298,486
Saskatoon--Humboldt/Saskatoon--Humboldt,116A,Saskatoon,29,0,48,43,48,0,0,168,312
Saskatoon--Humboldt/Saskatoon--Humboldt,116B,Saskatoon,23,1,59,38,38,0,0,159,312
Saskatoon--Humboldt/Saskatoon--Humboldt,117A,Saskatoon,29,1,66,43,60,0,0,199,318
Saskatoon--Humboldt/Saskatoon--Humboldt,117B,Saskatoon,28,1,65,38,62,0,0,194,308
Saskatoon--Humboldt/Saskatoon--Humboldt,118,Saskatoon,51,4,82,60,79,1,0,277,506
Saskatoon--Humboldt/Saskatoon--Humboldt,119A,Saskatoon,34,4,62,26,50,0,0,176,292
Saskatoon--Humboldt/Saskatoon--Humboldt,119B,Saskatoon,34,6,46,30,50,0,1,167,315
Saskatoon--Humboldt/Saskatoon--Humboldt,120,Saskatoon,22,1,76,38,68,0,0,205,362
Saskatoon--Humboldt/Saskatoon--Humboldt,121,Saskatoon,45,4,117,48,111,1,0,326,532
Saskatoon--Humboldt/Saskatoon--Humboldt,122A,Saskatoon,53,5,127,38,92,1,0,316,564
Saskatoon--Humboldt/Saskatoon--Humboldt,122B,Saskatoon,53,5,126,40,82,0,0,306,568
Saskatoon--Humboldt/Saskatoon--Humboldt,123,Saskatoon,37,4,92,47,103,0,0,283,475
Saskatoon--Humboldt/Saskatoon--Humboldt,124,Saskatoon,29,2,53,18,57,1,1,161,270
Saskatoon--Humboldt/Saskatoon--Humboldt,125,Saskatoon,9,0,40,9,36,0,0,94,176
Saskatoon--Humboldt/Saskatoon--Humboldt,126,Saskatoon,23,2,69,13,44,0,0,151,298
Saskatoon--Humboldt/Saskatoon--Humboldt,127,Saskatoon,26,3,51,73,65,0,0,218,447
Saskatoon--Humboldt/Saskatoon--Humboldt,128,Saskatoon,40,1,50,59,68,0,0,218,412
Saskatoon--Humboldt/Saskatoon--Humboldt,129,Saskatoon,17,4,37,65,61,1,0,185,351
Saskatoon--Humboldt/Saskatoon--Humboldt,130,Saskatoon,44,5,65,53,54,0,0,221,400
Saskatoon--Humboldt/Saskatoon--Humboldt,131,Saskatoon,23,6,48,59,44,1,2,183,395
Saskatoon--Humboldt/Saskatoon--Humboldt,132,Saskatoon,33,6,42,45,54,0,0,180,457
Saskatoon--Humboldt/Saskatoon--Humboldt,133,Saskatoon,33,5,67,76,70,0,1,252,438
Saskatoon--Humboldt/Saskatoon--Humboldt,134,Saskatoon,28,2,47,37,61,0,0,175,311
Saskatoon--Humboldt/Saskatoon--Humboldt,135,Saskatoon,46,2,70,65,76,1,1,261,481
Saskatoon--Humboldt/Saskatoon--Humboldt,136,Saskatoon,18,3,76,93,102,0,0,292,474
Saskatoon--Humboldt/Saskatoon--Humboldt,137,Saskatoon,25,4,46,83,96,0,1,255,420
Saskatoon--Humboldt/Saskatoon--Humboldt,138,Saskatoon,10,5,61,85,116,0,2,279,445
Saskatoon--Humboldt/Saskatoon--Humboldt,139,Saskatoon,36,3,59,77,80,0,1,256,422
Saskatoon--Humboldt/Saskatoon--Humboldt,140,Saskatoon,15,6,36,67,42,0,0,166,384
Saskatoon--Humboldt/Saskatoon--Humboldt,141,Saskatoon,31,3,35,60,58,1,1,189,374
Saskatoon--Humboldt/Saskatoon--Humboldt,142,Saskatoon,40,1,39,83,67,0,0,230,422
Saskatoon--Humboldt/Saskatoon--Humboldt,143,Saskatoon,40,6,39,79,79,0,2,245,424
Saskatoon--Humboldt/Saskatoon--Humboldt,144,Saskatoon,17,5,33,50,51,0,2,158,327
Saskatoon--Humboldt/Saskatoon--Humboldt,145,Saskatoon,30,6,60,71,81,0,0,248,437
Saskatoon--Humboldt/Saskatoon--Humboldt,146,Saskatoon,20,10,46,58,58,0,0,192,362
Saskatoon--Humboldt/Saskatoon--Humboldt,147,Saskatoon,12,3,26,44,19,1,0,105,298
Saskatoon--Humboldt/Saskatoon--Humboldt,148,Saskatoon,24,7,60,54,56,0,0,201,417
Saskatoon--Humboldt/Saskatoon--Humboldt,149,Saskatoon,28,3,68,51,62,0,0,212,471
Saskatoon--Humboldt/Saskatoon--Humboldt,150,Saskatoon,20,2,39,39,68,0,0,168,307
Saskatoon--Humboldt/Saskatoon--Humboldt,151,Saskatoon,42,4,64,43,30,0,2,185,388
Saskatoon--Humboldt/Saskatoon--Humboldt,152,Saskatoon,41,4,52,49,52,0,0,198,376
Saskatoon--Humboldt/Saskatoon--Humboldt,400,Saskatoon,9,6,13,38,27,2,2,97,164
Saskatoon--Humboldt/Saskatoon--Humboldt,500,Mobile poll/Bureau itinérant,18,1,8,13,23,0,0,63,80
Saskatoon--Humboldt/Saskatoon--Humboldt,501,Mobile poll/Bureau itinérant,16,5,6,19,12,2,2,62,94
Saskatoon--Humboldt/Saskatoon--Humboldt,600,Wakaw,45,1,34,25,17,0,0,122,
Saskatoon--Humboldt/Saskatoon--Humboldt,601,St. Brieux,14,0,13,6,4,1,0,38,
Saskatoon--Humboldt/Saskatoon--Humboldt,602,Naicam,38,3,38,11,8,0,0,98,
Saskatoon--Humboldt/Saskatoon--Humboldt,603,Aberdeen,27,1,38,20,22,0,1,109,
Saskatoon--Humboldt/Saskatoon--Humboldt,604,Middle Lake,53,4,29,27,15,1,0,129,
Saskatoon--Humboldt/Saskatoon--Humboldt,605,Humboldt,103,4,87,58,72,1,0,325,
Saskatoon--Humboldt/Saskatoon--Humboldt,606,Watson,42,3,31,16,19,0,0,111,
Saskatoon--Humboldt/Saskatoon--Humboldt,607,Quill Lake,11,0,8,2,2,0,0,23,
Saskatoon--Humboldt/Saskatoon--Humboldt,608,Saskatoon,36,22,142,324,178,0,0,702,
Saskatoon--Humboldt/Saskatoon--Humboldt,609,Saskatoon,128,13,198,174,119,1,1,634,
Saskatoon--Humboldt/Saskatoon--Humboldt,610,Saskatoon,137,7,352,114,236,1,0,847,
Saskatoon--Humboldt/Saskatoon--Humboldt,611,Saskatoon,119,12,249,224,232,2,1,839,
Saskatoon--Humboldt/Saskatoon--Humboldt,,Group 1/Groupe 1,6,2,25,22,23,0,0,78,154
Saskatoon--Humboldt/Saskatoon--Humboldt,,Group 2/Groupe 2,67,17,142,168,130,0,3,527,
