District,Poll Number,Poll Name,Jean Bédard,Jean-Philippe Côté,Jean-Marie Fiset,Christiane Gagnon,Pierre Gaudreault,Pierre-Etienne Paradis,Antonine Yaccarini,Rejected Ballots,Total Vote,Electors
Québec/Québec,132,Québec,0,57,20,135,12,3,15,4,246,453
Québec/Québec,133,Québec,1,60,7,69,8,1,4,1,151,309
Québec/Québec,134,Québec,0,55,16,126,12,3,10,6,228,399
Québec/Québec,135,Québec,0,39,11,119,18,3,19,3,212,394
Québec/Québec,136,Québec,0,52,13,169,21,1,12,1,269,411
Québec/Québec,137,Québec,0,132,37,186,27,1,17,4,404,533
Québec/Québec,138,Québec,14,200,6,86,24,4,6,4,344,433
Québec/Québec,139,Québec,2,65,5,86,14,2,3,2,179,262
Québec/Québec,140,Québec,1,48,16,175,9,0,26,0,275,439
Québec/Québec,141,Québec,0,66,13,91,15,1,8,5,199,407
Québec/Québec,142,Québec,3,152,7,51,21,2,2,4,242,370
Québec/Québec,143,Québec,1,78,19,144,13,1,12,2,270,476
Québec/Québec,144,Québec,1,38,17,168,20,1,11,1,257,414
Québec/Québec,145,Québec,3,144,15,131,33,0,13,2,341,589
Québec/Québec,146,Québec,0,43,15,151,14,0,14,0,237,402
Québec/Québec,147,Québec,0,34,20,144,17,2,13,2,232,366
Québec/Québec,148,Québec,0,76,14,120,14,0,8,1,233,381
Québec/Québec,149,Québec,0,41,13,147,21,1,7,0,230,417
Québec/Québec,150,Québec,0,39,21,143,23,1,11,0,238,354
Québec/Québec,151,Québec,0,77,24,150,13,1,18,0,283,404
Québec/Québec,152,Québec,1,87,12,57,15,3,5,5,185,287
Québec/Québec,153,Québec,0,18,10,97,19,0,10,2,156,284
Québec/Québec,154,Québec,1,43,17,122,17,3,7,10,220,367
Québec/Québec,155,Québec,1,48,9,104,13,2,13,4,194,311
Québec/Québec,156,Québec,0,50,6,80,1,0,11,3,151,247
Québec/Québec,157,Québec,0,43,13,136,13,1,1,1,208,397
Québec/Québec,158,Québec,Void,,,,,,,,,
Québec/Québec,159A,Québec,0,129,11,123,27,3,10,6,309,571
Québec/Québec,159B,Québec,0,123,5,75,26,2,7,5,243,405
Québec/Québec,159C,Québec,0,135,6,131,18,0,8,4,302,524
Québec/Québec,160,Québec,Void,,,,,,,,,
Québec/Québec,161,Québec,1,27,31,151,14,4,16,0,244,413
Québec/Québec,162,Québec,0,10,26,171,6,5,27,4,249,412
Québec/Québec,163,Québec,2,33,26,128,17,5,21,3,235,408
Québec/Québec,164A,Québec,1,55,7,121,10,2,10,5,211,352
Québec/Québec,164B,Mobile poll/Bureau itinérant,Merged with No. 501,,,,,,,,,76
Québec/Québec,165,Québec,0,57,17,113,12,0,12,4,215,392
Québec/Québec,166,Québec,1,33,5,61,14,3,5,1,123,252
Québec/Québec,167,Québec,1,89,2,70,18,0,3,1,184,431
Québec/Québec,168,Québec,1,38,26,163,12,1,14,3,258,462
Québec/Québec,169,Québec,3,47,18,127,10,3,16,1,225,538
Québec/Québec,170,Québec,0,21,26,169,7,0,25,4,252,454
Québec/Québec,171,Québec,0,36,26,150,11,6,29,2,260,434
Québec/Québec,172,Québec,2,55,21,121,12,2,17,3,233,391
Québec/Québec,173,Québec,1,54,17,132,17,7,16,4,248,481
Québec/Québec,174,Québec,0,31,15,135,11,3,7,2,204,386
Québec/Québec,175,Québec,1,214,8,105,25,0,4,7,364,498
Québec/Québec,176,Québec,0,37,13,63,15,1,5,1,135,238
Québec/Québec,177,Québec,0,99,9,75,19,1,7,2,212,371
Québec/Québec,178,Québec,0,60,10,54,10,0,3,3,140,242
Québec/Québec,179,Québec,0,66,4,58,8,1,6,0,143,219
Québec/Québec,180,Québec,0,53,23,137,9,1,8,0,231,365
Québec/Québec,181,Québec,0,37,23,129,13,3,16,3,224,414
Québec/Québec,182,Québec,0,52,22,148,11,3,13,3,252,446
Québec/Québec,183,Québec,0,72,10,73,14,2,5,2,178,327
Québec/Québec,184,Québec,0,83,13,105,20,1,7,1,230,396
Québec/Québec,185,Québec,0,57,19,123,10,3,14,4,230,347
Québec/Québec,186,Québec,0,81,27,187,33,1,22,6,357,615
Québec/Québec,187,Québec,0,42,24,154,25,2,17,4,268,507
Québec/Québec,188,Québec,0,40,8,70,13,1,15,6,153,408
Québec/Québec,189,Québec,0,29,14,112,8,1,11,2,177,399
Québec/Québec,190,Québec,0,66,19,124,17,1,11,7,245,400
Québec/Québec,191,Québec,0,51,19,93,5,2,20,1,191,328
Québec/Québec,192,Québec,3,20,10,93,6,2,20,1,155,383
Québec/Québec,193,Québec,1,85,7,61,7,0,9,3,173,360
Québec/Québec,194,Québec,1,20,28,134,12,2,18,1,216,412
Québec/Québec,195,Québec,0,26,14,143,13,4,26,7,233,424
Québec/Québec,196,Québec,2,22,28,175,13,8,15,5,268,433
Québec/Québec,197,Québec,2,11,26,157,4,1,22,2,225,399
Québec/Québec,198,Québec,1,30,29,162,10,5,23,2,262,527
Québec/Québec,199,Québec,0,17,23,129,5,4,16,3,197,402
Québec/Québec,200,Québec,0,18,24,144,5,2,25,0,218,433
Québec/Québec,201,Québec,0,37,14,75,13,2,16,2,159,468
Québec/Québec,202,Québec,0,58,16,80,13,3,14,5,189,472
Québec/Québec,203,Québec,0,47,11,83,18,2,5,3,169,327
Québec/Québec,204,Québec,0,87,9,105,20,3,9,6,239,397
Québec/Québec,400,Québec,2,78,0,17,12,0,0,1,110,197
Québec/Québec,500,Mobile poll/Bureau itinérant,2,20,1,8,10,0,0,1,42,52
Québec/Québec,501,Mobile poll/Bureau itinérant,2,53,6,28,8,0,1,2,100,124
Québec/Québec,502,Mobile poll/Bureau itinérant,1,43,3,12,3,1,3,4,70,98
Québec/Québec,503,Mobile poll/Bureau itinérant,5,33,5,29,5,2,0,6,85,115
Québec/Québec,504,Mobile poll/Bureau itinérant,2,133,5,30,7,0,0,3,180,231
Québec/Québec,600,Québec,0,110,13,211,73,5,7,10,429,
Québec/Québec,601,Québec,1,170,18,286,117,5,14,9,620,
Québec/Québec,602,Québec,4,220,21,255,125,4,11,17,657,
Québec/Québec,603,Notre-Dame-des-Anges,2,93,21,287,37,6,12,6,464,
Québec/Québec,604,Québec,0,120,30,189,37,2,20,14,412,
Québec/Québec,605,Québec,4,110,12,202,33,3,9,9,382,
Québec/Québec,606,Québec,4,320,37,363,57,2,10,8,801,
Québec/Québec,607,Québec,2,375,60,409,71,2,21,1,941,
Québec/Québec,608,Québec,4,231,30,415,64,4,41,29,818,
Québec/Québec,609,Québec,2,148,39,379,48,6,29,6,657,
Québec/Québec,,Group 1/Groupe 1,3,83,12,118,77,7,5,10,315,529
Québec/Québec,,Group 2/Groupe 2,3,272,40,502,96,9,37,12,971,
