District,Poll Number,Poll Name,Robert Gervais,Serge Lachapelle,Louis La Rochelle,David John Proctor,Lucienne Robillard,Brian Sarwer-Foner,Eric Wilson Steedman,Rejected Ballots,Total Vote,Electors
Westmount--Ville-Marie/Westmount--Ville-Marie,41,Montréal,11,1,18,3,89,7,23,0,152,531
Westmount--Ville-Marie/Westmount--Ville-Marie,42,Montréal,14,0,10,1,86,3,13,0,127,379
Westmount--Ville-Marie/Westmount--Ville-Marie,43,Montréal,16,0,14,3,93,12,23,0,161,681
Westmount--Ville-Marie/Westmount--Ville-Marie,44,Montréal,3,0,10,0,40,7,22,0,82,251
Westmount--Ville-Marie/Westmount--Ville-Marie,45,Montréal,9,0,13,2,70,9,5,0,108,279
Westmount--Ville-Marie/Westmount--Ville-Marie,46,Montréal,19,2,23,1,115,7,23,0,190,663
Westmount--Ville-Marie/Westmount--Ville-Marie,47,Montréal,8,0,15,2,84,3,22,0,134,476
Westmount--Ville-Marie/Westmount--Ville-Marie,48,Montréal,15,1,15,0,71,0,11,0,113,551
Westmount--Ville-Marie/Westmount--Ville-Marie,49,Montréal,4,0,9,1,58,5,10,0,87,403
Westmount--Ville-Marie/Westmount--Ville-Marie,50,Montréal,7,0,25,0,68,8,27,2,137,398
Westmount--Ville-Marie/Westmount--Ville-Marie,51,Montréal,11,1,19,1,64,9,23,0,128,305
Westmount--Ville-Marie/Westmount--Ville-Marie,52,Montréal,10,0,24,3,97,9,33,2,178,553
Westmount--Ville-Marie/Westmount--Ville-Marie,53,Montréal,7,0,18,1,79,3,22,1,131,563
Westmount--Ville-Marie/Westmount--Ville-Marie,54,Montréal,7,0,14,1,81,2,18,1,124,326
Westmount--Ville-Marie/Westmount--Ville-Marie,55,Montréal,13,1,24,3,116,10,21,2,190,710
Westmount--Ville-Marie/Westmount--Ville-Marie,56,Montréal,13,0,27,2,137,9,25,0,213,558
Westmount--Ville-Marie/Westmount--Ville-Marie,57,Montréal,9,0,30,3,77,6,12,0,137,327
Westmount--Ville-Marie/Westmount--Ville-Marie,58,Montréal,13,1,26,1,107,10,25,1,184,433
Westmount--Ville-Marie/Westmount--Ville-Marie,59,Montréal,24,3,35,4,144,10,19,7,246,605
Westmount--Ville-Marie/Westmount--Ville-Marie,60,Montréal,9,0,19,1,88,17,31,2,167,543
Westmount--Ville-Marie/Westmount--Ville-Marie,61,Montréal,15,0,12,3,66,9,37,0,142,407
Westmount--Ville-Marie/Westmount--Ville-Marie,62,Montréal,21,0,19,1,130,16,26,1,214,509
Westmount--Ville-Marie/Westmount--Ville-Marie,63,Montréal,44,0,5,0,98,3,1,3,154,306
Westmount--Ville-Marie/Westmount--Ville-Marie,64,Montréal,9,0,2,0,73,3,14,0,101,168
Westmount--Ville-Marie/Westmount--Ville-Marie,65,Montréal,35,0,11,0,167,9,14,2,238,495
Westmount--Ville-Marie/Westmount--Ville-Marie,66,Montréal,11,0,7,1,50,3,3,0,75,143
Westmount--Ville-Marie/Westmount--Ville-Marie,67A,Montréal,9,0,11,2,78,6,8,2,116,420
Westmount--Ville-Marie/Westmount--Ville-Marie,67B,Montréal,14,1,15,0,113,5,10,2,160,558
Westmount--Ville-Marie/Westmount--Ville-Marie,68,Montréal,20,0,44,3,133,13,29,1,243,864
Westmount--Ville-Marie/Westmount--Ville-Marie,69,Westmount,33,0,14,1,193,18,15,3,277,620
Westmount--Ville-Marie/Westmount--Ville-Marie,70,Westmount,11,0,2,0,90,0,1,0,104,223
Westmount--Ville-Marie/Westmount--Ville-Marie,71,Westmount,23,0,23,4,100,22,31,1,204,452
Westmount--Ville-Marie/Westmount--Ville-Marie,72,Westmount,23,1,12,2,115,15,23,3,194,399
Westmount--Ville-Marie/Westmount--Ville-Marie,73,Westmount,45,0,7,3,158,5,9,1,228,543
Westmount--Ville-Marie/Westmount--Ville-Marie,74,Westmount,23,0,6,1,132,13,14,3,192,427
Westmount--Ville-Marie/Westmount--Ville-Marie,75,Westmount,29,0,7,1,122,7,12,1,179,355
Westmount--Ville-Marie/Westmount--Ville-Marie,76,Westmount,34,0,11,2,113,10,14,0,184,424
Westmount--Ville-Marie/Westmount--Ville-Marie,77,Westmount,11,0,14,3,126,9,18,1,182,380
Westmount--Ville-Marie/Westmount--Ville-Marie,78,Westmount,30,0,3,0,148,8,13,1,203,399
Westmount--Ville-Marie/Westmount--Ville-Marie,79,Westmount,25,1,12,1,148,7,14,1,209,458
Westmount--Ville-Marie/Westmount--Ville-Marie,80,Westmount,22,1,16,0,156,15,25,0,235,513
Westmount--Ville-Marie/Westmount--Ville-Marie,81,Westmount,15,1,8,0,77,1,15,0,117,241
Westmount--Ville-Marie/Westmount--Ville-Marie,82,Westmount,38,0,3,1,93,9,7,0,151,313
Westmount--Ville-Marie/Westmount--Ville-Marie,83,Westmount,18,0,7,1,102,14,21,4,167,371
Westmount--Ville-Marie/Westmount--Ville-Marie,84,Westmount,32,0,16,1,115,29,19,1,213,419
Westmount--Ville-Marie/Westmount--Ville-Marie,85,Westmount,4,0,0,2,42,4,3,0,55,96
Westmount--Ville-Marie/Westmount--Ville-Marie,86,Westmount,21,1,6,1,141,10,9,0,189,419
Westmount--Ville-Marie/Westmount--Ville-Marie,87,Westmount,31,0,8,1,150,14,25,0,229,377
Westmount--Ville-Marie/Westmount--Ville-Marie,88,Westmount,25,0,9,2,74,14,24,1,149,313
Westmount--Ville-Marie/Westmount--Ville-Marie,89,Westmount,11,0,7,2,102,13,34,0,169,401
Westmount--Ville-Marie/Westmount--Ville-Marie,90,Westmount,22,0,12,1,140,18,27,0,220,487
Westmount--Ville-Marie/Westmount--Ville-Marie,91,Westmount,28,0,7,1,164,15,27,1,243,470
Westmount--Ville-Marie/Westmount--Ville-Marie,92,Westmount,49,0,16,1,204,5,2,0,277,562
Westmount--Ville-Marie/Westmount--Ville-Marie,93,Westmount,33,0,4,1,118,11,10,1,178,305
Westmount--Ville-Marie/Westmount--Ville-Marie,94,Westmount,36,1,10,2,129,20,27,0,225,402
Westmount--Ville-Marie/Westmount--Ville-Marie,95,Westmount,29,1,5,2,109,14,11,0,171,365
Westmount--Ville-Marie/Westmount--Ville-Marie,96,Westmount,28,0,8,5,134,23,24,0,222,392
Westmount--Ville-Marie/Westmount--Ville-Marie,97,Westmount,27,0,9,1,171,11,7,1,227,433
Westmount--Ville-Marie/Westmount--Ville-Marie,98,Westmount,54,1,7,1,180,8,11,1,263,443
Westmount--Ville-Marie/Westmount--Ville-Marie,99,Westmount,61,1,6,0,192,4,3,1,268,548
Westmount--Ville-Marie/Westmount--Ville-Marie,100,Westmount,53,0,8,0,170,21,14,0,266,493
Westmount--Ville-Marie/Westmount--Ville-Marie,101,Montréal,14,1,36,3,132,10,22,2,220,535
Westmount--Ville-Marie/Westmount--Ville-Marie,102,Montréal,25,2,39,0,129,15,27,2,239,490
Westmount--Ville-Marie/Westmount--Ville-Marie,103,Montréal,20,0,69,4,133,13,31,1,271,530
Westmount--Ville-Marie/Westmount--Ville-Marie,104,Montréal,9,0,21,2,65,11,18,1,127,402
Westmount--Ville-Marie/Westmount--Ville-Marie,105,Montréal,16,0,25,2,140,12,13,0,208,369
Westmount--Ville-Marie/Westmount--Ville-Marie,106,Montréal,20,0,24,1,148,13,25,0,231,441
Westmount--Ville-Marie/Westmount--Ville-Marie,107,Montréal,15,0,3,0,109,3,1,1,132,302
Westmount--Ville-Marie/Westmount--Ville-Marie,108,Westmount,28,0,8,2,152,13,15,1,219,374
Westmount--Ville-Marie/Westmount--Ville-Marie,109,Westmount,25,0,1,3,126,10,11,1,177,287
Westmount--Ville-Marie/Westmount--Ville-Marie,110,Westmount,35,0,9,4,138,25,28,1,240,426
Westmount--Ville-Marie/Westmount--Ville-Marie,111,Westmount,35,1,8,3,164,15,17,0,243,490
Westmount--Ville-Marie/Westmount--Ville-Marie,112,Westmount,17,1,9,2,136,8,12,0,185,321
Westmount--Ville-Marie/Westmount--Ville-Marie,113,Westmount,29,0,9,1,118,26,13,0,196,311
Westmount--Ville-Marie/Westmount--Ville-Marie,114,Westmount,32,2,12,7,150,23,40,1,267,519
Westmount--Ville-Marie/Westmount--Ville-Marie,115,Montréal,13,0,35,3,68,12,20,3,154,368
Westmount--Ville-Marie/Westmount--Ville-Marie,116,Montréal,20,1,48,3,107,13,22,1,215,417
Westmount--Ville-Marie/Westmount--Ville-Marie,117,Montréal,9,2,21,0,123,8,25,0,188,403
Westmount--Ville-Marie/Westmount--Ville-Marie,118,Montréal,23,2,30,7,126,12,29,2,231,512
Westmount--Ville-Marie/Westmount--Ville-Marie,119,Montréal,30,1,39,0,108,18,25,1,222,442
Westmount--Ville-Marie/Westmount--Ville-Marie,120,Montréal,16,0,28,3,88,9,22,1,167,373
Westmount--Ville-Marie/Westmount--Ville-Marie,121,Montréal,22,1,14,2,93,14,20,2,168,396
Westmount--Ville-Marie/Westmount--Ville-Marie,122,Montréal,25,1,30,1,104,24,34,3,222,468
Westmount--Ville-Marie/Westmount--Ville-Marie,123,Montréal,7,0,73,3,92,23,52,1,251,483
Westmount--Ville-Marie/Westmount--Ville-Marie,124,Montréal,16,0,54,1,109,16,30,1,227,503
Westmount--Ville-Marie/Westmount--Ville-Marie,125,Montréal,17,1,10,2,173,5,8,1,217,468
Westmount--Ville-Marie/Westmount--Ville-Marie,126,Montréal,22,0,7,3,109,11,13,0,165,384
Westmount--Ville-Marie/Westmount--Ville-Marie,127,Montréal,22,0,37,2,87,6,15,3,172,416
Westmount--Ville-Marie/Westmount--Ville-Marie,128,Montréal,15,2,54,3,115,20,30,10,249,444
Westmount--Ville-Marie/Westmount--Ville-Marie,129,Montréal,15,3,44,3,111,19,28,2,225,463
Westmount--Ville-Marie/Westmount--Ville-Marie,130,Montréal,21,0,47,3,98,23,43,0,235,447
Westmount--Ville-Marie/Westmount--Ville-Marie,131,Montréal,16,2,17,5,120,36,55,0,251,558
Westmount--Ville-Marie/Westmount--Ville-Marie,132,Montréal,19,0,32,4,102,16,27,2,202,387
Westmount--Ville-Marie/Westmount--Ville-Marie,133,Montréal,4,1,33,1,86,15,27,0,167,334
Westmount--Ville-Marie/Westmount--Ville-Marie,134A,Montréal,14,0,27,5,75,24,28,0,173,379
Westmount--Ville-Marie/Westmount--Ville-Marie,134B,Mobile poll/Bureau itinérant,Merged with No. 501,,,,,,,,,100
Westmount--Ville-Marie/Westmount--Ville-Marie,135,Montréal,16,0,15,2,64,10,34,2,143,343
Westmount--Ville-Marie/Westmount--Ville-Marie,136,Montréal,5,0,47,0,91,17,28,1,189,397
Westmount--Ville-Marie/Westmount--Ville-Marie,137,Montréal,3,1,27,4,85,14,38,0,172,428
Westmount--Ville-Marie/Westmount--Ville-Marie,138,Montréal,13,0,62,1,75,9,22,0,182,333
Westmount--Ville-Marie/Westmount--Ville-Marie,139,Montréal,6,0,71,3,73,9,34,0,196,365
Westmount--Ville-Marie/Westmount--Ville-Marie,140,Montréal,13,2,41,5,135,10,28,3,237,438
Westmount--Ville-Marie/Westmount--Ville-Marie,141,Montréal,9,0,40,0,60,11,16,1,137,246
Westmount--Ville-Marie/Westmount--Ville-Marie,142,Montréal,8,0,29,0,70,10,31,0,148,366
Westmount--Ville-Marie/Westmount--Ville-Marie,143,Montréal,16,1,58,1,104,14,33,1,228,421
Westmount--Ville-Marie/Westmount--Ville-Marie,144,Montréal,6,0,54,2,89,14,22,0,187,328
Westmount--Ville-Marie/Westmount--Ville-Marie,145,Montréal,8,1,42,1,72,13,34,1,172,316
Westmount--Ville-Marie/Westmount--Ville-Marie,146,Montréal,11,0,44,2,96,13,25,0,191,317
Westmount--Ville-Marie/Westmount--Ville-Marie,147,Montréal,17,0,54,3,113,19,51,1,258,462
Westmount--Ville-Marie/Westmount--Ville-Marie,148,Montréal,12,0,43,1,88,16,18,0,178,315
Westmount--Ville-Marie/Westmount--Ville-Marie,149,Montréal,11,1,47,2,66,11,35,1,174,326
Westmount--Ville-Marie/Westmount--Ville-Marie,150,Montréal,18,0,51,2,99,12,31,0,213,404
Westmount--Ville-Marie/Westmount--Ville-Marie,151,Montréal,11,1,47,5,114,11,28,1,218,403
Westmount--Ville-Marie/Westmount--Ville-Marie,152,Montréal,21,2,21,0,123,18,28,0,213,402
Westmount--Ville-Marie/Westmount--Ville-Marie,153,Montréal,13,1,17,2,58,8,9,1,109,191
Westmount--Ville-Marie/Westmount--Ville-Marie,154,Montréal,16,1,32,3,104,14,22,2,194,348
Westmount--Ville-Marie/Westmount--Ville-Marie,155,Montréal,24,0,49,1,98,24,33,4,233,351
Westmount--Ville-Marie/Westmount--Ville-Marie,156,Montréal,5,0,59,3,76,16,48,0,207,348
Westmount--Ville-Marie/Westmount--Ville-Marie,157,Montréal,8,0,21,2,99,6,21,0,157,351
Westmount--Ville-Marie/Westmount--Ville-Marie,158,Montréal,24,0,82,7,152,33,75,2,375,619
Westmount--Ville-Marie/Westmount--Ville-Marie,159,Montréal,14,0,42,5,105,15,32,0,213,495
Westmount--Ville-Marie/Westmount--Ville-Marie,160,Montréal,15,0,38,2,111,15,32,3,216,486
Westmount--Ville-Marie/Westmount--Ville-Marie,161,Montréal,5,3,41,2,55,15,51,2,174,381
Westmount--Ville-Marie/Westmount--Ville-Marie,162,Montréal,10,1,45,1,89,23,79,1,249,491
Westmount--Ville-Marie/Westmount--Ville-Marie,163,Montréal,9,0,79,0,96,19,30,2,235,385
Westmount--Ville-Marie/Westmount--Ville-Marie,164,Montréal,16,0,50,2,105,15,33,1,222,392
Westmount--Ville-Marie/Westmount--Ville-Marie,165,Montréal,9,1,26,4,74,25,44,5,188,430
Westmount--Ville-Marie/Westmount--Ville-Marie,166,Montréal,11,0,23,3,98,1,19,5,160,283
Westmount--Ville-Marie/Westmount--Ville-Marie,167,Montréal,14,3,25,3,132,20,22,3,222,428
Westmount--Ville-Marie/Westmount--Ville-Marie,168,Montréal,13,2,11,3,149,6,15,2,201,386
Westmount--Ville-Marie/Westmount--Ville-Marie,169,Montréal,13,3,16,2,128,8,15,3,188,400
Westmount--Ville-Marie/Westmount--Ville-Marie,170,Montréal,17,0,37,5,85,10,50,0,204,382
Westmount--Ville-Marie/Westmount--Ville-Marie,171,Montréal,8,2,20,6,73,6,43,0,158,258
Westmount--Ville-Marie/Westmount--Ville-Marie,172,Montréal,21,1,62,5,130,29,50,1,299,537
Westmount--Ville-Marie/Westmount--Ville-Marie,173,Montréal,23,1,45,1,107,33,41,1,252,502
Westmount--Ville-Marie/Westmount--Ville-Marie,174,Montréal,19,2,16,7,175,6,18,2,245,536
Westmount--Ville-Marie/Westmount--Ville-Marie,175,Montréal,9,0,33,4,106,12,10,4,178,408
Westmount--Ville-Marie/Westmount--Ville-Marie,400,Montréal,6,0,12,1,42,1,2,0,64,291
Westmount--Ville-Marie/Westmount--Ville-Marie,500,Mobile poll/Bureau itinérant,7,3,11,1,51,1,2,0,76,177
Westmount--Ville-Marie/Westmount--Ville-Marie,501,Mobile poll/Bureau itinérant,20,0,1,1,95,2,5,0,124,260
Westmount--Ville-Marie/Westmount--Ville-Marie,502,Mobile poll/Bureau itinérant,21,0,4,3,78,0,7,1,114,203
Westmount--Ville-Marie/Westmount--Ville-Marie,600,Montréal,30,0,155,4,229,30,59,6,513,
Westmount--Ville-Marie/Westmount--Ville-Marie,601,Montréal,35,1,55,1,140,19,42,2,295,
Westmount--Ville-Marie/Westmount--Ville-Marie,602,Montréal,76,1,30,2,405,25,33,3,575,
Westmount--Ville-Marie/Westmount--Ville-Marie,603,Montréal,67,0,70,3,420,24,53,3,640,
Westmount--Ville-Marie/Westmount--Ville-Marie,604,Montréal,201,0,20,6,662,55,59,7,1010,
Westmount--Ville-Marie/Westmount--Ville-Marie,605,Montréal,140,0,52,0,385,29,56,0,662,
Westmount--Ville-Marie/Westmount--Ville-Marie,606,Montréal,38,1,91,8,263,27,67,2,497,
Westmount--Ville-Marie/Westmount--Ville-Marie,607,Montréal,44,1,145,4,220,29,89,2,534,
Westmount--Ville-Marie/Westmount--Ville-Marie,608,Montréal,24,0,64,5,119,25,37,0,274,
Westmount--Ville-Marie/Westmount--Ville-Marie,,Group 1/Groupe 1,35,0,28,5,121,11,28,5,233,324
Westmount--Ville-Marie/Westmount--Ville-Marie,,Group 2/Groupe 2,125,8,120,1,438,49,135,27,903,
