District,Poll Number,Poll Name,Ken Epp,Chris Harwood,Margaret Marean,Maureen Towns,Rejected Ballots,Total Vote,Electors
Edmonton--Sherwood Park/Edmonton--Sherwood Park,116,Sherwood Park,129,26,20,53,0,228,377
Edmonton--Sherwood Park/Edmonton--Sherwood Park,117,Sherwood Park,165,30,18,78,0,291,538
Edmonton--Sherwood Park/Edmonton--Sherwood Park,118,Sherwood Park,93,21,14,36,0,164,254
Edmonton--Sherwood Park/Edmonton--Sherwood Park,119,Sherwood Park,119,20,27,79,0,245,402
Edmonton--Sherwood Park/Edmonton--Sherwood Park,120,Sherwood Park,131,24,14,46,0,215,314
Edmonton--Sherwood Park/Edmonton--Sherwood Park,121,Sherwood Park,108,13,21,20,2,164,339
Edmonton--Sherwood Park/Edmonton--Sherwood Park,122,Sherwood Park,114,17,25,31,1,188,273
Edmonton--Sherwood Park/Edmonton--Sherwood Park,123,Sherwood Park,135,31,21,113,1,301,455
Edmonton--Sherwood Park/Edmonton--Sherwood Park,124,Sherwood Park,119,13,17,74,0,223,409
Edmonton--Sherwood Park/Edmonton--Sherwood Park,125,Sherwood Park,127,28,8,46,0,209,345
Edmonton--Sherwood Park/Edmonton--Sherwood Park,126,Sherwood Park,163,21,19,66,0,269,399
Edmonton--Sherwood Park/Edmonton--Sherwood Park,127,Sherwood Park,109,25,13,44,0,191,322
Edmonton--Sherwood Park/Edmonton--Sherwood Park,128,Sherwood Park,194,29,19,57,0,299,471
Edmonton--Sherwood Park/Edmonton--Sherwood Park,129,Sherwood Park,128,29,25,45,0,227,403
Edmonton--Sherwood Park/Edmonton--Sherwood Park,130,Sherwood Park,133,32,24,62,1,252,383
Edmonton--Sherwood Park/Edmonton--Sherwood Park,131,Sherwood Park,146,23,16,83,0,268,408
Edmonton--Sherwood Park/Edmonton--Sherwood Park,132,Sherwood Park,113,10,11,41,0,175,309
Edmonton--Sherwood Park/Edmonton--Sherwood Park,133,Sherwood Park,119,17,18,57,1,212,359
Edmonton--Sherwood Park/Edmonton--Sherwood Park,134,Sherwood Park,137,33,23,49,0,242,411
Edmonton--Sherwood Park/Edmonton--Sherwood Park,135,Sherwood Park,138,27,16,76,0,257,431
Edmonton--Sherwood Park/Edmonton--Sherwood Park,136,Sherwood Park,146,28,15,62,1,252,432
Edmonton--Sherwood Park/Edmonton--Sherwood Park,137,Sherwood Park,138,17,15,51,0,221,399
Edmonton--Sherwood Park/Edmonton--Sherwood Park,138,Sherwood Park,165,43,37,87,0,332,538
Edmonton--Sherwood Park/Edmonton--Sherwood Park,139,Sherwood Park,133,16,19,49,0,217,339
Edmonton--Sherwood Park/Edmonton--Sherwood Park,140,Sherwood Park,98,27,14,43,0,182,321
Edmonton--Sherwood Park/Edmonton--Sherwood Park,141,Sherwood Park,147,26,23,73,1,270,460
Edmonton--Sherwood Park/Edmonton--Sherwood Park,142,Sherwood Park,157,30,11,44,0,242,431
Edmonton--Sherwood Park/Edmonton--Sherwood Park,143A,Sherwood Park,147,20,13,52,0,232,390
Edmonton--Sherwood Park/Edmonton--Sherwood Park,143B,Sherwood Park,152,17,13,53,0,235,403
Edmonton--Sherwood Park/Edmonton--Sherwood Park,144,Sherwood Park,149,25,13,71,0,258,393
Edmonton--Sherwood Park/Edmonton--Sherwood Park,145,Sherwood Park,135,23,9,69,0,236,407
Edmonton--Sherwood Park/Edmonton--Sherwood Park,146,Sherwood Park,143,24,31,79,1,278,428
Edmonton--Sherwood Park/Edmonton--Sherwood Park,147,Sherwood Park,190,27,17,79,0,313,477
Edmonton--Sherwood Park/Edmonton--Sherwood Park,148,Sherwood Park,200,26,16,91,0,333,530
Edmonton--Sherwood Park/Edmonton--Sherwood Park,149,Sherwood Park,206,20,26,89,0,341,540
Edmonton--Sherwood Park/Edmonton--Sherwood Park,150,Sherwood Park,181,14,23,83,0,301,495
Edmonton--Sherwood Park/Edmonton--Sherwood Park,151,Sherwood Park,128,19,15,116,0,278,395
Edmonton--Sherwood Park/Edmonton--Sherwood Park,152,Sherwood Park,156,17,22,52,1,248,412
Edmonton--Sherwood Park/Edmonton--Sherwood Park,153A,Sherwood Park,143,13,11,57,0,224,363
Edmonton--Sherwood Park/Edmonton--Sherwood Park,153B,Sherwood Park,136,9,15,64,1,225,393
Edmonton--Sherwood Park/Edmonton--Sherwood Park,154A,Sherwood Park,164,14,6,58,0,242,402
Edmonton--Sherwood Park/Edmonton--Sherwood Park,154B,Sherwood Park,133,16,12,57,0,218,389
Edmonton--Sherwood Park/Edmonton--Sherwood Park,155,Sherwood Park,104,11,14,67,0,196,307
Edmonton--Sherwood Park/Edmonton--Sherwood Park,156,Sherwood Park,97,30,11,37,0,175,293
Edmonton--Sherwood Park/Edmonton--Sherwood Park,157,Sherwood Park,92,19,13,65,0,189,376
Edmonton--Sherwood Park/Edmonton--Sherwood Park,158,Sherwood Park,103,22,26,35,1,187,336
Edmonton--Sherwood Park/Edmonton--Sherwood Park,159,Sherwood Park,85,38,12,48,1,184,295
Edmonton--Sherwood Park/Edmonton--Sherwood Park,160,Sherwood Park,139,30,23,37,1,230,364
Edmonton--Sherwood Park/Edmonton--Sherwood Park,161,Sherwood Park,74,9,12,23,1,119,256
Edmonton--Sherwood Park/Edmonton--Sherwood Park,162,Sherwood Park,101,22,15,47,0,185,325
Edmonton--Sherwood Park/Edmonton--Sherwood Park,163,Sherwood Park,97,23,13,38,0,171,299
Edmonton--Sherwood Park/Edmonton--Sherwood Park,164,Sherwood Park,129,13,13,46,0,201,315
Edmonton--Sherwood Park/Edmonton--Sherwood Park,165,Sherwood Park,116,27,18,43,1,205,324
Edmonton--Sherwood Park/Edmonton--Sherwood Park,166,Sherwood Park,120,30,25,57,0,232,395
Edmonton--Sherwood Park/Edmonton--Sherwood Park,167,Sherwood Park,122,29,18,35,1,205,325
Edmonton--Sherwood Park/Edmonton--Sherwood Park,168,Sherwood Park,95,13,10,28,1,147,241
Edmonton--Sherwood Park/Edmonton--Sherwood Park,169,Sherwood Park,177,17,23,78,1,296,443
Edmonton--Sherwood Park/Edmonton--Sherwood Park,170,Sherwood Park,108,21,8,35,3,175,292
Edmonton--Sherwood Park/Edmonton--Sherwood Park,171,Sherwood Park,101,30,21,40,1,193,319
Edmonton--Sherwood Park/Edmonton--Sherwood Park,172,Sherwood Park,74,18,14,32,0,138,249
Edmonton--Sherwood Park/Edmonton--Sherwood Park,173,Sherwood Park,121,4,13,62,0,200,338
Edmonton--Sherwood Park/Edmonton--Sherwood Park,174,Sherwood Park,137,15,12,59,0,223,373
Edmonton--Sherwood Park/Edmonton--Sherwood Park,175,Sherwood Park,125,26,7,51,1,210,336
Edmonton--Sherwood Park/Edmonton--Sherwood Park,176,Sherwood Park,105,21,16,39,0,181,291
Edmonton--Sherwood Park/Edmonton--Sherwood Park,177,Sherwood Park,116,32,13,29,0,190,333
Edmonton--Sherwood Park/Edmonton--Sherwood Park,178,Sherwood Park,75,32,7,42,1,157,298
Edmonton--Sherwood Park/Edmonton--Sherwood Park,179,Sherwood Park,163,19,11,60,0,253,411
Edmonton--Sherwood Park/Edmonton--Sherwood Park,180,Sherwood Park,121,17,6,53,0,197,374
Edmonton--Sherwood Park/Edmonton--Sherwood Park,181,Sherwood Park,210,22,11,69,2,314,479
Edmonton--Sherwood Park/Edmonton--Sherwood Park,182,Sherwood Park,241,36,26,77,1,381,610
Edmonton--Sherwood Park/Edmonton--Sherwood Park,183,Sherwood Park,236,38,15,71,0,360,640
Edmonton--Sherwood Park/Edmonton--Sherwood Park,184,Sherwood Park,120,14,19,45,2,200,331
Edmonton--Sherwood Park/Edmonton--Sherwood Park,185,Sherwood Park,140,11,11,47,1,210,358
Edmonton--Sherwood Park/Edmonton--Sherwood Park,186,Sherwood Park,145,27,19,53,0,244,406
Edmonton--Sherwood Park/Edmonton--Sherwood Park,187,Sherwood Park,124,14,7,62,0,207,318
Edmonton--Sherwood Park/Edmonton--Sherwood Park,188,Sherwood Park,166,16,9,57,0,248,412
Edmonton--Sherwood Park/Edmonton--Sherwood Park,189A,Campbelltown (Sherwood Park),112,11,14,42,0,179,317
Edmonton--Sherwood Park/Edmonton--Sherwood Park,189B,Campbelltown (Sherwood Park),107,6,5,47,0,165,302
Edmonton--Sherwood Park/Edmonton--Sherwood Park,190A,Whitecroft,112,5,9,40,0,166,296
Edmonton--Sherwood Park/Edmonton--Sherwood Park,190B,Whitecroft,129,9,9,51,0,198,304
Edmonton--Sherwood Park/Edmonton--Sherwood Park,191,Whitecroft,149,6,20,51,3,229,410
Edmonton--Sherwood Park/Edmonton--Sherwood Park,192,Whitecroft,185,22,17,43,1,268,407
Edmonton--Sherwood Park/Edmonton--Sherwood Park,193,Whitecroft,162,10,15,38,0,225,359
Edmonton--Sherwood Park/Edmonton--Sherwood Park,500,Mobile poll/Bureau itinérant,57,12,6,17,1,93,173
Edmonton--Sherwood Park/Edmonton--Sherwood Park,501,Mobile poll/Bureau itinérant,74,16,5,33,2,130,199
Edmonton--Sherwood Park/Edmonton--Sherwood Park,502,Mobile poll/Bureau itinérant,57,16,8,29,0,110,173
Edmonton--Sherwood Park/Edmonton--Sherwood Park,503,Mobile poll/Bureau itinérant,39,20,6,48,0,113,246
Edmonton--Sherwood Park/Edmonton--Sherwood Park,600,Fort Saskatchewan--Strathcona County,168,28,18,48,0,262,
Edmonton--Sherwood Park/Edmonton--Sherwood Park,601,Fort Saskatchewan,179,14,9,40,0,242,
Edmonton--Sherwood Park/Edmonton--Sherwood Park,602,Edmonton,131,26,8,63,1,229,
Edmonton--Sherwood Park/Edmonton--Sherwood Park,603,Edmonton,67,10,7,10,0,94,
Edmonton--Sherwood Park/Edmonton--Sherwood Park,604,Edmonton,184,38,14,78,0,314,
Edmonton--Sherwood Park/Edmonton--Sherwood Park,605,Edmonton,167,44,20,97,1,329,
Edmonton--Sherwood Park/Edmonton--Sherwood Park,606,Edmonton--Strathcona County,61,10,8,13,1,93,
Edmonton--Sherwood Park/Edmonton--Sherwood Park,607,Strathcona County,304,23,13,88,0,428,
Edmonton--Sherwood Park/Edmonton--Sherwood Park,608,Strathcona County,148,23,7,59,0,237,
Edmonton--Sherwood Park/Edmonton--Sherwood Park,609,Strathcona County,247,36,34,83,1,401,
Edmonton--Sherwood Park/Edmonton--Sherwood Park,610,Strathcona County,256,20,27,98,0,401,
Edmonton--Sherwood Park/Edmonton--Sherwood Park,611,Strathcona County,124,11,10,35,1,181,
Edmonton--Sherwood Park/Edmonton--Sherwood Park,612,Strathcona County,298,39,18,97,0,452,
Edmonton--Sherwood Park/Edmonton--Sherwood Park,613,Strathcona County,104,2,3,34,0,143,
Edmonton--Sherwood Park/Edmonton--Sherwood Park,,Group 1/Groupe 1,95,12,7,33,3,150,397
Edmonton--Sherwood Park/Edmonton--Sherwood Park,,Group 2/Groupe 2,415,63,24,144,11,657,
