District,Poll Number,Poll Name,Christopher Black,David Johnson,Ryan Kidd,Dan King,Valerie Mah,Yasmin Ratansi,Rejected Ballots,Total Vote,Electors
Don Valley East/Don Valley-Est,64,North York,0,58,0,11,18,155,1,243,408
Don Valley East/Don Valley-Est,65,North York,1,53,0,10,25,126,3,218,381
Don Valley East/Don Valley-Est,66,North York,4,47,2,7,12,120,2,194,328
Don Valley East/Don Valley-Est,67,North York,2,67,4,0,32,139,3,247,410
Don Valley East/Don Valley-Est,68,North York,1,42,0,3,25,136,2,209,357
Don Valley East/Don Valley-Est,69,North York,4,65,1,13,19,151,1,254,438
Don Valley East/Don Valley-Est,70,North York,0,75,1,9,25,154,1,265,449
Don Valley East/Don Valley-Est,71,North York,0,73,2,11,35,169,0,290,512
Don Valley East/Don Valley-Est,72,North York,0,52,1,5,18,102,0,178,313
Don Valley East/Don Valley-Est,73,North York,2,82,1,8,36,129,0,258,464
Don Valley East/Don Valley-Est,74,North York,0,21,2,4,74,114,2,217,329
Don Valley East/Don Valley-Est,75,North York,2,35,2,3,40,112,0,194,363
Don Valley East/Don Valley-Est,76,North York,Void,,,,,,,,
Don Valley East/Don Valley-Est,77,North York,Void,,,,,,,,
Don Valley East/Don Valley-Est,78,North York,Void,,,,,,,,
Don Valley East/Don Valley-Est,79,North York,0,58,1,5,16,102,3,185,362
Don Valley East/Don Valley-Est,80,North York,0,85,1,8,28,117,0,239,432
Don Valley East/Don Valley-Est,81,North York,0,75,3,5,28,124,1,236,379
Don Valley East/Don Valley-Est,82,North York,0,109,0,10,14,108,1,242,397
Don Valley East/Don Valley-Est,83,North York,1,110,1,14,21,122,2,271,389
Don Valley East/Don Valley-Est,84,North York,0,110,0,15,19,136,2,282,389
Don Valley East/Don Valley-Est,85,North York,0,87,0,14,17,127,0,245,383
Don Valley East/Don Valley-Est,86,North York,1,74,2,14,26,180,1,298,490
Don Valley East/Don Valley-Est,87,North York,0,65,1,11,24,118,2,221,362
Don Valley East/Don Valley-Est,88,North York,0,60,3,9,25,78,3,178,377
Don Valley East/Don Valley-Est,89,North York,0,37,0,0,29,69,2,137,298
Don Valley East/Don Valley-Est,90,North York,0,41,3,9,37,98,2,190,401
Don Valley East/Don Valley-Est,91,North York,0,76,2,13,20,141,2,254,352
Don Valley East/Don Valley-Est,92,North York,1,79,2,17,30,99,3,231,411
Don Valley East/Don Valley-Est,93A,North York,1,30,1,6,26,74,0,138,269
Don Valley East/Don Valley-Est,93B,North York,0,59,0,4,30,83,0,176,316
Don Valley East/Don Valley-Est,94,North York,0,41,0,7,35,93,1,177,345
Don Valley East/Don Valley-Est,95,North York,1,60,0,7,29,143,0,240,389
Don Valley East/Don Valley-Est,96,North York,0,71,0,6,22,116,2,217,370
Don Valley East/Don Valley-Est,97,North York,0,46,4,5,35,78,3,171,313
Don Valley East/Don Valley-Est,98,North York,0,42,2,2,20,101,4,171,308
Don Valley East/Don Valley-Est,99,North York,0,43,1,4,36,109,0,193,335
Don Valley East/Don Valley-Est,100,North York,2,91,1,10,41,154,0,299,522
Don Valley East/Don Valley-Est,101,North York,2,45,2,5,31,85,1,171,354
Don Valley East/Don Valley-Est,102,North York,0,68,1,10,26,152,2,259,382
Don Valley East/Don Valley-Est,103,North York,0,73,1,8,35,151,1,269,434
Don Valley East/Don Valley-Est,104,North York,1,50,4,3,24,130,1,213,353
Don Valley East/Don Valley-Est,105,North York,1,29,2,3,15,75,0,125,274
Don Valley East/Don Valley-Est,106,North York,0,37,1,8,30,77,0,153,440
Don Valley East/Don Valley-Est,107,North York,0,36,4,6,23,74,0,143,384
Don Valley East/Don Valley-Est,108,North York,2,38,1,13,33,62,1,150,365
Don Valley East/Don Valley-Est,109,North York,0,81,1,9,10,124,0,225,359
Don Valley East/Don Valley-Est,110A,North York,2,19,3,6,31,59,2,122,278
Don Valley East/Don Valley-Est,110B,North York,1,47,2,6,20,70,0,146,316
Don Valley East/Don Valley-Est,111,North York,0,72,2,2,19,95,0,190,358
Don Valley East/Don Valley-Est,112,North York,1,27,1,4,53,103,2,191,467
Don Valley East/Don Valley-Est,113,North York,1,53,0,7,22,105,2,190,342
Don Valley East/Don Valley-Est,114,North York,1,41,1,7,30,91,1,172,362
Don Valley East/Don Valley-Est,115,North York,1,50,0,5,43,126,2,227,388
Don Valley East/Don Valley-Est,116,North York,1,43,0,5,27,55,0,131,317
Don Valley East/Don Valley-Est,117,North York,0,57,1,6,21,98,0,183,406
Don Valley East/Don Valley-Est,118,North York,0,36,1,4,21,62,1,125,311
Don Valley East/Don Valley-Est,119,North York,0,65,1,14,14,147,1,242,402
Don Valley East/Don Valley-Est,120,North York,0,86,3,12,14,119,1,235,368
Don Valley East/Don Valley-Est,121,North York,0,91,0,2,14,123,0,230,341
Don Valley East/Don Valley-Est,122,North York,2,59,2,14,42,110,0,229,458
Don Valley East/Don Valley-Est,123,North York,0,44,3,9,36,85,1,178,306
Don Valley East/Don Valley-Est,124,North York,1,64,3,3,28,110,0,209,420
Don Valley East/Don Valley-Est,125,North York,2,55,8,10,32,110,0,217,495
Don Valley East/Don Valley-Est,126,North York,1,55,5,5,29,73,3,171,410
Don Valley East/Don Valley-Est,127,North York,2,84,1,11,23,137,1,259,402
Don Valley East/Don Valley-Est,128,North York,1,95,1,4,6,117,0,224,355
Don Valley East/Don Valley-Est,129,North York,3,75,4,13,20,97,1,213,393
Don Valley East/Don Valley-Est,130,North York,1,63,1,3,28,133,0,229,370
Don Valley East/Don Valley-Est,131,North York,0,17,0,2,15,45,0,79,149
Don Valley East/Don Valley-Est,132,North York,1,59,4,14,36,121,2,237,477
Don Valley East/Don Valley-Est,133,North York,0,52,1,6,30,92,2,183,404
Don Valley East/Don Valley-Est,134,North York,0,95,2,6,26,141,3,273,443
Don Valley East/Don Valley-Est,135,North York,0,96,3,3,29,155,0,286,438
Don Valley East/Don Valley-Est,136,North York,1,38,1,7,24,107,0,178,407
Don Valley East/Don Valley-Est,137,North York,0,70,1,5,19,148,1,244,385
Don Valley East/Don Valley-Est,138,North York,3,80,1,10,36,114,1,245,358
Don Valley East/Don Valley-Est,139,North York,0,62,1,6,22,99,0,190,341
Don Valley East/Don Valley-Est,140,North York,1,31,0,1,20,49,0,102,210
Don Valley East/Don Valley-Est,141,North York,0,25,1,0,28,65,1,120,325
Don Valley East/Don Valley-Est,142,North York,0,92,2,9,31,128,1,263,419
Don Valley East/Don Valley-Est,143,North York,1,79,1,9,63,114,0,267,477
Don Valley East/Don Valley-Est,144,North York,0,72,1,4,15,121,1,214,352
Don Valley East/Don Valley-Est,145,North York,0,78,2,6,12,93,5,196,310
Don Valley East/Don Valley-Est,146,North York,2,96,2,7,16,122,0,245,394
Don Valley East/Don Valley-Est,147,North York,1,69,0,6,20,135,1,232,374
Don Valley East/Don Valley-Est,148,North York,0,40,5,5,38,98,0,186,419
Don Valley East/Don Valley-Est,149,North York,0,78,6,7,57,158,3,309,536
Don Valley East/Don Valley-Est,150,North York,2,78,0,6,16,110,2,214,302
Don Valley East/Don Valley-Est,151,North York,0,46,1,7,29,68,0,151,304
Don Valley East/Don Valley-Est,152,North York,0,51,3,10,37,75,1,177,409
Don Valley East/Don Valley-Est,153A,North York,0,33,0,4,27,97,1,162,307
Don Valley East/Don Valley-Est,153B,North York,0,48,2,3,33,142,3,231,348
Don Valley East/Don Valley-Est,154,North York,1,38,3,6,34,104,0,186,465
Don Valley East/Don Valley-Est,155,North York,0,23,1,2,9,59,1,95,159
Don Valley East/Don Valley-Est,156,North York,0,29,2,7,20,129,0,187,367
Don Valley East/Don Valley-Est,157,North York,1,75,3,4,40,151,0,274,520
Don Valley East/Don Valley-Est,400,North York,0,76,1,3,27,179,0,286,437
Don Valley East/Don Valley-Est,401,North York,2,64,3,4,33,130,0,236,394
Don Valley East/Don Valley-Est,402,North York,0,46,5,6,27,106,0,190,337
Don Valley East/Don Valley-Est,403,North York,2,36,2,2,28,99,0,169,340
Don Valley East/Don Valley-Est,404,North York,0,17,1,4,17,57,0,96,267
Don Valley East/Don Valley-Est,405,North York,0,24,3,5,21,61,0,114,298
Don Valley East/Don Valley-Est,406,North York,0,33,1,3,22,98,0,157,299
Don Valley East/Don Valley-Est,407,North York,4,37,2,5,28,114,1,191,293
Don Valley East/Don Valley-Est,408,North York,1,40,3,8,33,162,0,247,503
Don Valley East/Don Valley-Est,409,North York,0,20,0,1,17,68,0,106,226
Don Valley East/Don Valley-Est,410,North York,0,25,0,4,26,108,3,166,292
Don Valley East/Don Valley-Est,411,North York,0,27,1,3,45,95,3,174,396
Don Valley East/Don Valley-Est,412,North York,1,17,3,1,13,89,1,125,336
Don Valley East/Don Valley-Est,413,North York,1,98,4,1,14,123,2,243,364
Don Valley East/Don Valley-Est,414,North York,0,46,3,2,14,192,3,260,321
Don Valley East/Don Valley-Est,415,North York,0,11,0,0,5,21,0,37,160
Don Valley East/Don Valley-Est,416,North York,0,9,0,0,12,20,3,44,178
Don Valley East/Don Valley-Est,417,North York,1,48,2,9,28,88,0,176,348
Don Valley East/Don Valley-Est,418,North York,0,16,1,4,13,35,0,69,260
Don Valley East/Don Valley-Est,419,North York,0,17,1,4,19,54,0,95,269
Don Valley East/Don Valley-Est,420,North York,1,82,3,4,23,154,1,268,392
Don Valley East/Don Valley-Est,421,North York,1,20,1,1,10,40,0,73,223
Don Valley East/Don Valley-Est,422,North York,0,27,0,3,26,60,1,117,270
Don Valley East/Don Valley-Est,423,North York,2,39,1,5,22,101,0,170,301
Don Valley East/Don Valley-Est,500,Mobile poll/Bureau itinérant,1,27,2,2,10,64,2,108,230
Don Valley East/Don Valley-Est,600,North York,1,108,2,4,28,173,1,317,
Don Valley East/Don Valley-Est,601,North York,4,191,4,10,89,292,3,593,
Don Valley East/Don Valley-Est,602,North York,3,156,1,9,40,244,2,455,
Don Valley East/Don Valley-Est,603,North York,2,51,1,1,28,111,0,194,
Don Valley East/Don Valley-Est,604,North York,0,151,3,19,48,265,1,487,
Don Valley East/Don Valley-Est,605,North York,0,107,3,13,44,159,2,328,
Don Valley East/Don Valley-Est,606,North York,0,275,3,25,59,294,1,657,
Don Valley East/Don Valley-Est,607,North York,0,121,0,5,32,166,1,325,
Don Valley East/Don Valley-Est,,Group 1/Groupe 1,0,16,0,4,7,27,3,57,106
Don Valley East/Don Valley-Est,,Group 2/Groupe 2,1,215,5,15,48,209,4,497,
