District,Poll Number,Poll Name,Frank Cerminara,Bill Cunningham,Adam Desaulniers,George Drazenovic,Hanne Gidora,Shawn Hunsdale,Bill Siksay,Rejected Ballots,Total Vote,Electors
Burnaby--Douglas/Burnaby--Douglas,25,Burnaby,1,65,1,38,0,7,109,1,222,383
Burnaby--Douglas/Burnaby--Douglas,26,Burnaby,4,98,1,43,3,7,89,0,245,415
Burnaby--Douglas/Burnaby--Douglas,27,Burnaby,5,96,7,57,2,6,83,2,258,459
Burnaby--Douglas/Burnaby--Douglas,28,Burnaby,0,39,1,51,1,6,65,1,164,279
Burnaby--Douglas/Burnaby--Douglas,29,Burnaby,1,51,3,36,0,9,55,2,157,280
Burnaby--Douglas/Burnaby--Douglas,30,Burnaby,0,83,3,56,0,9,73,0,224,439
Burnaby--Douglas/Burnaby--Douglas,31,Burnaby,0,89,0,61,1,7,118,3,279,448
Burnaby--Douglas/Burnaby--Douglas,32,Burnaby,0,60,2,55,0,11,97,3,228,408
Burnaby--Douglas/Burnaby--Douglas,33,Burnaby,1,58,0,44,1,3,74,0,181,297
Burnaby--Douglas/Burnaby--Douglas,34,Burnaby,5,67,2,51,1,8,80,4,218,367
Burnaby--Douglas/Burnaby--Douglas,35,Burnaby,2,55,2,41,1,8,110,0,219,411
Burnaby--Douglas/Burnaby--Douglas,36,Burnaby,3,96,1,66,0,14,96,1,277,509
Burnaby--Douglas/Burnaby--Douglas,37,Burnaby,1,50,0,43,0,4,53,0,151,234
Burnaby--Douglas/Burnaby--Douglas,38,Burnaby,0,58,0,52,0,10,81,0,201,370
Burnaby--Douglas/Burnaby--Douglas,39,Burnaby,0,49,0,41,0,7,56,0,153,254
Burnaby--Douglas/Burnaby--Douglas,40,Burnaby,0,83,3,69,1,5,62,1,224,437
Burnaby--Douglas/Burnaby--Douglas,41,Burnaby,1,83,0,66,0,17,88,0,255,420
Burnaby--Douglas/Burnaby--Douglas,42,Burnaby,3,91,2,62,3,8,97,5,271,427
Burnaby--Douglas/Burnaby--Douglas,43,Burnaby,3,71,2,81,1,15,101,5,279,472
Burnaby--Douglas/Burnaby--Douglas,44,Burnaby,0,68,2,51,1,9,49,1,181,305
Burnaby--Douglas/Burnaby--Douglas,45,Burnaby,2,99,2,87,0,3,78,2,273,452
Burnaby--Douglas/Burnaby--Douglas,46,Burnaby,0,103,0,63,4,5,96,2,273,481
Burnaby--Douglas/Burnaby--Douglas,47,Burnaby,3,61,1,41,0,3,52,0,161,317
Burnaby--Douglas/Burnaby--Douglas,48,Burnaby,0,70,1,73,0,13,84,1,242,358
Burnaby--Douglas/Burnaby--Douglas,49,Burnaby,3,48,2,35,0,7,50,5,150,253
Burnaby--Douglas/Burnaby--Douglas,50,Burnaby,3,71,3,45,1,6,67,3,199,427
Burnaby--Douglas/Burnaby--Douglas,51,Burnaby,0,65,0,57,1,20,98,3,244,458
Burnaby--Douglas/Burnaby--Douglas,51-1,Burnaby,2,107,2,78,1,5,58,1,254,377
Burnaby--Douglas/Burnaby--Douglas,51-2,Burnaby,1,59,0,46,0,7,47,1,161,216
Burnaby--Douglas/Burnaby--Douglas,52,Burnaby,2,75,1,68,1,9,75,0,231,391
Burnaby--Douglas/Burnaby--Douglas,53,Burnaby,1,77,0,99,1,3,50,4,235,360
Burnaby--Douglas/Burnaby--Douglas,54,Burnaby,4,78,2,83,0,9,58,2,236,401
Burnaby--Douglas/Burnaby--Douglas,55,Burnaby,1,72,1,55,1,9,81,0,220,392
Burnaby--Douglas/Burnaby--Douglas,56,Burnaby,3,53,1,41,1,11,56,0,166,339
Burnaby--Douglas/Burnaby--Douglas,57,Burnaby,2,34,0,32,1,11,37,1,118,285
Burnaby--Douglas/Burnaby--Douglas,58,Burnaby,8,70,2,59,1,12,64,1,217,388
Burnaby--Douglas/Burnaby--Douglas,59,Burnaby,4,53,2,43,0,6,41,1,150,279
Burnaby--Douglas/Burnaby--Douglas,60,Burnaby,3,83,1,54,1,3,83,3,231,408
Burnaby--Douglas/Burnaby--Douglas,61,Burnaby,0,71,2,62,1,9,82,0,227,455
Burnaby--Douglas/Burnaby--Douglas,62,Burnaby,0,80,1,83,0,16,91,0,271,511
Burnaby--Douglas/Burnaby--Douglas,63,Burnaby,1,28,0,33,0,5,59,2,128,251
Burnaby--Douglas/Burnaby--Douglas,64,Burnaby,1,62,0,43,0,7,57,1,171,291
Burnaby--Douglas/Burnaby--Douglas,65,Burnaby,3,98,2,93,0,9,58,1,264,427
Burnaby--Douglas/Burnaby--Douglas,66,Burnaby,1,86,0,65,2,5,67,1,227,426
Burnaby--Douglas/Burnaby--Douglas,67,Burnaby,0,74,0,78,0,1,58,4,215,367
Burnaby--Douglas/Burnaby--Douglas,68,Burnaby,1,49,0,78,0,2,59,0,189,348
Burnaby--Douglas/Burnaby--Douglas,69,Burnaby,0,62,1,53,0,6,70,3,195,356
Burnaby--Douglas/Burnaby--Douglas,70,Burnaby,1,75,1,52,0,10,73,1,213,367
Burnaby--Douglas/Burnaby--Douglas,71,Burnaby,4,88,6,76,2,7,71,2,256,443
Burnaby--Douglas/Burnaby--Douglas,72,Burnaby,1,67,2,78,0,8,65,0,221,358
Burnaby--Douglas/Burnaby--Douglas,73,Burnaby,0,81,0,52,2,8,106,1,250,430
Burnaby--Douglas/Burnaby--Douglas,74,Burnaby,2,93,1,97,0,12,96,2,303,531
Burnaby--Douglas/Burnaby--Douglas,75,Burnaby,2,61,3,80,0,5,85,2,238,464
Burnaby--Douglas/Burnaby--Douglas,76,Burnaby,0,110,2,78,1,5,85,0,281,475
Burnaby--Douglas/Burnaby--Douglas,77,Burnaby,1,86,1,83,1,7,95,4,278,489
Burnaby--Douglas/Burnaby--Douglas,78,Burnaby,1,62,1,89,1,2,66,2,224,366
Burnaby--Douglas/Burnaby--Douglas,79,Burnaby,1,70,0,65,0,6,78,1,221,359
Burnaby--Douglas/Burnaby--Douglas,80A,Burnaby,1,52,1,50,0,5,31,0,140,299
Burnaby--Douglas/Burnaby--Douglas,80B,Burnaby,2,70,1,54,3,10,77,2,219,426
Burnaby--Douglas/Burnaby--Douglas,81,Burnaby,2,90,2,92,0,6,63,3,258,456
Burnaby--Douglas/Burnaby--Douglas,82,Burnaby,1,31,0,38,0,6,48,3,127,218
Burnaby--Douglas/Burnaby--Douglas,83,Burnaby,2,55,0,67,0,15,56,2,197,309
Burnaby--Douglas/Burnaby--Douglas,84,Burnaby,4,95,2,71,0,6,61,3,242,447
Burnaby--Douglas/Burnaby--Douglas,85,Burnaby,0,58,0,34,0,5,35,0,132,310
Burnaby--Douglas/Burnaby--Douglas,86,Burnaby,2,85,5,88,1,19,118,1,319,499
Burnaby--Douglas/Burnaby--Douglas,87,Burnaby,0,143,4,84,0,5,43,2,281,515
Burnaby--Douglas/Burnaby--Douglas,88,Burnaby,4,84,2,61,0,11,85,1,248,426
Burnaby--Douglas/Burnaby--Douglas,89,Burnaby,0,66,0,45,0,5,81,0,197,316
Burnaby--Douglas/Burnaby--Douglas,90,Burnaby,2,84,2,56,0,9,83,0,236,386
Burnaby--Douglas/Burnaby--Douglas,91,Burnaby,1,69,1,85,1,10,93,0,260,433
Burnaby--Douglas/Burnaby--Douglas,92,Burnaby,0,86,3,89,1,13,73,6,271,475
Burnaby--Douglas/Burnaby--Douglas,93,Burnaby,0,52,1,51,0,6,50,3,163,314
Burnaby--Douglas/Burnaby--Douglas,94,Burnaby,3,108,1,78,0,5,47,1,243,455
Burnaby--Douglas/Burnaby--Douglas,95,Burnaby,1,143,2,87,1,7,53,0,294,533
Burnaby--Douglas/Burnaby--Douglas,96,Burnaby,1,122,0,98,1,8,49,2,281,463
Burnaby--Douglas/Burnaby--Douglas,97,Burnaby,0,54,0,57,1,13,124,0,249,360
Burnaby--Douglas/Burnaby--Douglas,98,Burnaby,2,37,0,41,0,8,67,2,157,231
Burnaby--Douglas/Burnaby--Douglas,99,Burnaby,0,44,1,40,0,6,60,3,154,252
Burnaby--Douglas/Burnaby--Douglas,100,Burnaby,2,49,0,38,0,8,145,0,242,355
Burnaby--Douglas/Burnaby--Douglas,101,Burnaby,0,42,0,41,2,11,107,2,205,365
Burnaby--Douglas/Burnaby--Douglas,102,Burnaby,0,44,2,50,0,8,75,2,181,325
Burnaby--Douglas/Burnaby--Douglas,103,Burnaby,0,69,0,69,0,12,79,1,230,362
Burnaby--Douglas/Burnaby--Douglas,104,Burnaby,2,85,2,57,0,14,93,1,254,413
Burnaby--Douglas/Burnaby--Douglas,105,Burnaby,0,57,1,60,2,18,103,3,244,440
Burnaby--Douglas/Burnaby--Douglas,106,Burnaby,3,107,3,86,0,7,77,1,284,429
Burnaby--Douglas/Burnaby--Douglas,107,Burnaby,1,55,2,55,1,7,119,2,242,388
Burnaby--Douglas/Burnaby--Douglas,108,Burnaby,1,71,2,46,0,9,94,1,224,370
Burnaby--Douglas/Burnaby--Douglas,109,Burnaby,2,83,0,53,0,9,88,4,239,372
Burnaby--Douglas/Burnaby--Douglas,110,Burnaby,3,63,1,70,0,6,112,1,256,436
Burnaby--Douglas/Burnaby--Douglas,111,Burnaby,0,42,1,44,0,4,54,0,145,382
Burnaby--Douglas/Burnaby--Douglas,112,Burnaby,0,31,0,25,0,6,37,0,99,118
Burnaby--Douglas/Burnaby--Douglas,113,Burnaby,Merged with No. 112,,,,,,,,,149
Burnaby--Douglas/Burnaby--Douglas,114,Burnaby,1,65,1,55,0,7,77,0,206,441
Burnaby--Douglas/Burnaby--Douglas,115,Burnaby,0,56,1,59,1,14,74,2,207,447
Burnaby--Douglas/Burnaby--Douglas,116,Burnaby,1,20,0,30,0,5,43,1,100,295
Burnaby--Douglas/Burnaby--Douglas,117,Burnaby,1,72,1,49,1,10,84,1,219,447
Burnaby--Douglas/Burnaby--Douglas,118,Burnaby,0,126,4,75,0,9,77,2,293,467
Burnaby--Douglas/Burnaby--Douglas,119,Burnaby,2,75,1,79,0,10,68,2,237,398
Burnaby--Douglas/Burnaby--Douglas,120,Burnaby,4,118,1,99,0,3,70,1,296,486
Burnaby--Douglas/Burnaby--Douglas,121,Burnaby,2,103,0,65,0,5,48,2,225,389
Burnaby--Douglas/Burnaby--Douglas,122,Burnaby,0,101,2,76,0,10,66,2,257,415
Burnaby--Douglas/Burnaby--Douglas,123,Burnaby,3,109,1,88,1,13,65,2,282,480
Burnaby--Douglas/Burnaby--Douglas,124,Burnaby,0,52,0,35,0,8,62,1,158,282
Burnaby--Douglas/Burnaby--Douglas,125,Burnaby,1,61,2,71,1,14,113,1,264,419
Burnaby--Douglas/Burnaby--Douglas,126,Burnaby,2,31,1,52,2,5,65,0,158,247
Burnaby--Douglas/Burnaby--Douglas,127,Burnaby,1,50,0,39,0,14,87,0,191,487
Burnaby--Douglas/Burnaby--Douglas,128,Burnaby,3,37,0,35,0,7,51,0,133,237
Burnaby--Douglas/Burnaby--Douglas,129,Burnaby,0,66,1,42,0,7,42,0,158,348
Burnaby--Douglas/Burnaby--Douglas,130,Burnaby,1,38,4,45,0,7,64,2,161,332
Burnaby--Douglas/Burnaby--Douglas,131,Burnaby,3,58,3,62,2,15,128,1,272,401
Burnaby--Douglas/Burnaby--Douglas,132A,Burnaby,0,60,2,42,0,2,41,2,149,400
Burnaby--Douglas/Burnaby--Douglas,132B,Burnaby,2,45,0,29,0,13,77,1,167,326
Burnaby--Douglas/Burnaby--Douglas,133,Burnaby,1,73,0,52,2,13,93,0,234,436
Burnaby--Douglas/Burnaby--Douglas,134,Burnaby,0,113,2,54,1,5,80,2,257,462
Burnaby--Douglas/Burnaby--Douglas,135,Burnaby,3,107,0,70,0,5,76,5,266,488
Burnaby--Douglas/Burnaby--Douglas,136,Burnaby,0,77,2,46,1,6,54,3,189,384
Burnaby--Douglas/Burnaby--Douglas,137,Burnaby,3,116,2,41,1,9,69,2,243,456
Burnaby--Douglas/Burnaby--Douglas,138,Burnaby,0,94,0,73,2,14,58,1,242,394
Burnaby--Douglas/Burnaby--Douglas,139,Burnaby,1,46,4,47,3,6,106,2,215,523
Burnaby--Douglas/Burnaby--Douglas,140,Burnaby,1,61,3,75,0,4,49,2,195,353
Burnaby--Douglas/Burnaby--Douglas,141,Burnaby,0,92,0,123,0,4,88,0,307,447
Burnaby--Douglas/Burnaby--Douglas,142,Burnaby,1,127,1,90,2,8,96,1,326,531
Burnaby--Douglas/Burnaby--Douglas,143,Burnaby,Void,,,,,,,,,
Burnaby--Douglas/Burnaby--Douglas,144,Burnaby,2,82,2,52,0,11,93,1,243,458
Burnaby--Douglas/Burnaby--Douglas,145,Burnaby,1,70,1,66,0,7,67,2,214,474
Burnaby--Douglas/Burnaby--Douglas,146,Burnaby,1,94,1,34,1,7,85,0,223,361
Burnaby--Douglas/Burnaby--Douglas,147A,Burnaby,0,59,3,30,0,4,67,1,164,295
Burnaby--Douglas/Burnaby--Douglas,147B,Mobile poll/Bureau itinérant,Merged with No. 3B,,,,,,,,,78
Burnaby--Douglas/Burnaby--Douglas,148,Burnaby,0,132,3,54,0,7,47,1,244,375
Burnaby--Douglas/Burnaby--Douglas,149A,Burnaby,1,41,1,20,0,3,31,2,99,191
Burnaby--Douglas/Burnaby--Douglas,149B,Burnaby,0,2,0,5,0,0,2,0,9,56
Burnaby--Douglas/Burnaby--Douglas,150,Burnaby,1,46,2,54,0,9,76,2,190,388
Burnaby--Douglas/Burnaby--Douglas,151,Burnaby,1,85,0,63,1,9,97,0,256,393
Burnaby--Douglas/Burnaby--Douglas,152,Burnaby,0,78,1,65,0,14,135,1,294,448
Burnaby--Douglas/Burnaby--Douglas,153,Burnaby,1,81,0,49,0,8,90,2,231,414
Burnaby--Douglas/Burnaby--Douglas,154,Burnaby,0,59,2,41,0,3,73,2,180,262
Burnaby--Douglas/Burnaby--Douglas,155,Burnaby,1,81,3,52,0,7,126,3,273,473
Burnaby--Douglas/Burnaby--Douglas,156,Burnaby,1,105,1,74,0,7,81,3,272,450
Burnaby--Douglas/Burnaby--Douglas,157,Burnaby,2,75,6,72,0,8,88,0,251,424
Burnaby--Douglas/Burnaby--Douglas,158,Burnaby,2,91,0,64,0,7,83,0,247,477
Burnaby--Douglas/Burnaby--Douglas,159,Burnaby,1,82,2,59,1,4,103,1,253,474
Burnaby--Douglas/Burnaby--Douglas,160,Burnaby,3,92,2,75,2,9,98,0,281,445
Burnaby--Douglas/Burnaby--Douglas,161,Burnaby,2,93,3,68,1,14,68,1,250,436
Burnaby--Douglas/Burnaby--Douglas,162,Burnaby,0,89,4,73,0,6,77,1,250,510
Burnaby--Douglas/Burnaby--Douglas,163,Burnaby,3,74,2,54,0,10,99,3,245,469
Burnaby--Douglas/Burnaby--Douglas,164,Burnaby,0,69,1,64,2,10,60,0,206,378
Burnaby--Douglas/Burnaby--Douglas,165,Burnaby,0,64,3,50,0,6,55,0,178,295
Burnaby--Douglas/Burnaby--Douglas,166,Burnaby,1,85,1,92,0,11,83,0,273,471
Burnaby--Douglas/Burnaby--Douglas,167,Burnaby,0,84,1,63,0,18,96,0,262,422
Burnaby--Douglas/Burnaby--Douglas,168,Burnaby,2,90,3,67,3,13,110,1,289,521
Burnaby--Douglas/Burnaby--Douglas,169,Burnaby,1,40,3,54,1,5,57,2,163,338
Burnaby--Douglas/Burnaby--Douglas,170,Burnaby,2,85,2,81,2,12,64,1,249,429
Burnaby--Douglas/Burnaby--Douglas,171,Burnaby,3,71,0,82,0,14,87,0,257,420
Burnaby--Douglas/Burnaby--Douglas,172,Burnaby,1,41,1,59,0,6,76,0,184,348
Burnaby--Douglas/Burnaby--Douglas,173,Burnaby,0,23,0,17,1,5,22,0,68,206
Burnaby--Douglas/Burnaby--Douglas,174,Burnaby,0,20,0,23,0,4,28,0,75,211
Burnaby--Douglas/Burnaby--Douglas,175,Burnaby,1,53,1,54,0,8,90,2,209,465
Burnaby--Douglas/Burnaby--Douglas,176,Burnaby,0,64,4,42,0,1,26,5,142,365
Burnaby--Douglas/Burnaby--Douglas,177,Burnaby,0,79,4,62,0,12,87,4,248,483
Burnaby--Douglas/Burnaby--Douglas,178,Burnaby,3,43,1,36,1,5,25,0,114,222
Burnaby--Douglas/Burnaby--Douglas,179,Burnaby,0,56,1,51,1,5,45,2,161,493
Burnaby--Douglas/Burnaby--Douglas,180,Burnaby,2,59,1,54,0,6,77,0,199,404
Burnaby--Douglas/Burnaby--Douglas,181,Burnaby,0,65,2,78,0,11,87,2,245,447
Burnaby--Douglas/Burnaby--Douglas,182,Burnaby,0,58,1,49,0,4,21,0,133,223
Burnaby--Douglas/Burnaby--Douglas,183,Burnaby,1,76,0,62,0,5,34,3,181,368
Burnaby--Douglas/Burnaby--Douglas,184,Burnaby,1,77,4,74,1,8,69,1,235,396
Burnaby--Douglas/Burnaby--Douglas,185,Burnaby,0,36,0,46,0,1,28,0,111,176
Burnaby--Douglas/Burnaby--Douglas,500,Mobile poll/Bureau itinérant,1,41,2,38,0,2,42,3,129,222
Burnaby--Douglas/Burnaby--Douglas,501,Mobile poll/Bureau itinérant,1,11,0,17,0,0,37,0,66,136
Burnaby--Douglas/Burnaby--Douglas,502,Mobile poll/Bureau itinérant,2,27,4,19,0,1,21,5,79,93
Burnaby--Douglas/Burnaby--Douglas,600,Burnaby,0,45,1,92,0,6,86,1,231,
Burnaby--Douglas/Burnaby--Douglas,601,Burnaby,0,62,0,122,0,10,103,0,297,
Burnaby--Douglas/Burnaby--Douglas,602,Burnaby,3,68,0,119,1,13,86,1,291,
Burnaby--Douglas/Burnaby--Douglas,603,Burnaby,1,98,0,124,1,9,132,0,365,
Burnaby--Douglas/Burnaby--Douglas,604,Burnaby,0,73,0,97,3,6,63,0,242,
Burnaby--Douglas/Burnaby--Douglas,605,Burnaby,4,149,4,175,2,22,171,2,529,
Burnaby--Douglas/Burnaby--Douglas,606,Burnaby,3,128,1,132,2,10,102,3,381,
Burnaby--Douglas/Burnaby--Douglas,607,Burnaby,1,134,6,165,2,18,179,0,505,
Burnaby--Douglas/Burnaby--Douglas,608,Burnaby,4,109,3,141,1,12,68,0,338,
Burnaby--Douglas/Burnaby--Douglas,,Group 1/Groupe 1,2,28,0,30,1,7,30,1,99,141
Burnaby--Douglas/Burnaby--Douglas,,Group 2/Groupe 2,1,127,2,158,0,16,182,6,492,
