District,Poll Number,Poll Name,Martine Carrière,Christelle Dusablon-Pelletier,André Frappier,Jimmy Garoufalis,Adam Jastrzebski,Peter Macrisopoulos,André Parizeau,Pierre Pettigrew,Mustaque Sarker,Rejected Ballots,Total Vote,Electors
Papineau/Papineau,31,Montréal,93,2,14,0,3,1,0,71,10,3,197,438
Papineau/Papineau,32,Montréal,87,1,17,0,3,0,0,97,4,2,211,388
Papineau/Papineau,33,Montréal,96,2,24,0,4,0,1,116,10,5,258,392
Papineau/Papineau,34,Montréal,75,0,12,0,6,0,1,127,4,2,227,387
Papineau/Papineau,35,Montréal,101,3,18,1,5,0,2,107,4,5,246,480
Papineau/Papineau,36,Montréal,83,1,19,1,4,1,3,72,8,3,195,398
Papineau/Papineau,37,Montréal,133,2,16,0,4,0,2,63,4,2,226,367
Papineau/Papineau,38,Montréal,149,0,31,0,12,0,1,59,6,3,261,413
Papineau/Papineau,39,Montréal,138,5,25,0,6,1,3,99,2,2,281,485
Papineau/Papineau,40,Montréal,113,4,16,1,6,1,1,58,10,2,212,338
Papineau/Papineau,41,Montréal,127,5,17,2,8,1,1,94,7,9,271,460
Papineau/Papineau,42,Montréal,79,4,11,1,3,1,1,121,6,7,234,456
Papineau/Papineau,43,Montréal,62,3,13,3,2,0,3,98,11,7,202,418
Papineau/Papineau,44,Montréal,89,4,13,1,4,1,0,148,17,2,279,454
Papineau/Papineau,45,Montréal,81,3,21,1,7,0,1,86,6,3,209,390
Papineau/Papineau,46,Montréal,80,3,12,1,5,0,1,100,8,5,215,432
Papineau/Papineau,47,Montréal,63,3,18,2,6,1,3,115,9,2,222,445
Papineau/Papineau,48,Montréal,59,3,10,3,5,0,1,124,14,4,223,480
Papineau/Papineau,49,Montréal,46,3,17,1,4,0,0,94,7,5,177,365
Papineau/Papineau,50,Montréal,52,2,9,1,2,1,1,131,8,7,214,444
Papineau/Papineau,51,Montréal,62,3,21,0,1,0,3,125,8,2,225,481
Papineau/Papineau,52,Montréal,105,6,17,0,5,0,0,101,6,2,242,453
Papineau/Papineau,53,Montréal,105,1,17,0,5,1,0,69,1,1,200,326
Papineau/Papineau,54,Montréal,68,1,13,0,7,0,0,71,0,2,162,327
Papineau/Papineau,55,Montréal,75,4,19,1,3,1,1,98,4,2,208,445
Papineau/Papineau,56,Montréal,78,1,15,0,4,0,0,82,8,5,193,402
Papineau/Papineau,57,Montréal,52,1,17,2,3,1,2,110,10,6,204,426
Papineau/Papineau,58,Montréal,119,1,11,1,8,0,0,90,5,5,240,512
Papineau/Papineau,59,Montréal,119,2,19,0,9,0,2,84,5,5,245,493
Papineau/Papineau,60,Montréal,56,3,21,1,4,0,2,129,12,2,230,399
Papineau/Papineau,61,Montréal,64,2,35,1,4,0,1,105,2,5,219,437
Papineau/Papineau,62,Montréal,112,6,17,1,7,0,2,74,4,4,227,403
Papineau/Papineau,63,Montréal,61,3,15,0,5,0,2,124,13,5,228,463
Papineau/Papineau,64,Montréal,98,4,18,0,5,0,3,89,4,8,229,436
Papineau/Papineau,65,Montréal,150,2,23,0,12,0,0,71,2,1,261,455
Papineau/Papineau,66,Montréal,107,3,10,0,4,1,1,70,11,6,213,390
Papineau/Papineau,67,Montréal,99,1,24,0,10,0,1,67,5,2,209,408
Papineau/Papineau,68,Montréal,91,3,12,0,3,0,0,126,10,4,249,397
Papineau/Papineau,69,Montréal,47,1,4,0,0,0,3,59,4,3,121,271
Papineau/Papineau,70,Montréal,49,0,8,0,1,0,1,46,1,2,108,272
Papineau/Papineau,71,Montréal,68,3,14,1,3,0,0,46,8,4,147,290
Papineau/Papineau,72,Montréal,141,1,15,0,5,0,1,53,5,4,225,369
Papineau/Papineau,73,Montréal,135,3,20,1,3,2,1,123,14,5,307,645
Papineau/Papineau,74,Montréal,164,4,21,2,9,0,1,48,0,4,253,500
Papineau/Papineau,75,Montréal,153,1,27,0,5,0,1,34,4,0,225,346
Papineau/Papineau,76,Montréal,121,3,23,0,9,3,2,52,6,2,221,475
Papineau/Papineau,77,Montréal,79,1,12,0,5,1,1,76,2,4,181,394
Papineau/Papineau,78,Montréal,172,0,27,0,4,0,2,61,8,4,278,503
Papineau/Papineau,79,Montréal,140,1,21,0,3,0,0,38,7,1,211,381
Papineau/Papineau,80,Montréal,118,2,33,0,11,0,0,48,5,1,218,394
Papineau/Papineau,81,Montréal,116,1,9,0,4,1,0,26,4,2,163,360
Papineau/Papineau,82,Montréal,175,4,27,0,7,0,2,51,12,4,282,559
Papineau/Papineau,83,Montréal,95,2,27,0,5,1,2,48,8,5,193,428
Papineau/Papineau,84,Montréal,178,1,30,1,8,0,2,56,5,4,285,468
Papineau/Papineau,85,Montréal,153,3,31,0,5,0,1,51,3,6,253,441
Papineau/Papineau,86,Montréal,139,1,23,1,5,0,2,38,4,4,217,420
Papineau/Papineau,87,Montréal,109,0,20,0,4,0,0,70,5,7,215,328
Papineau/Papineau,88,Montréal,91,0,16,0,9,0,0,71,4,2,193,385
Papineau/Papineau,89,Montréal,67,2,17,0,7,2,0,124,10,2,231,382
Papineau/Papineau,90,Montréal,123,3,31,3,10,0,2,99,12,2,285,512
Papineau/Papineau,91,Montréal,136,3,36,0,6,0,0,42,10,2,235,370
Papineau/Papineau,92,Montréal,158,1,28,0,14,1,1,59,4,4,270,426
Papineau/Papineau,93,Montréal,137,0,21,0,4,1,2,44,4,4,217,333
Papineau/Papineau,94,Montréal,148,5,19,0,5,2,1,47,10,1,238,395
Papineau/Papineau,95,Montréal,132,0,15,1,8,2,0,36,2,1,197,314
Papineau/Papineau,96,Montréal,125,1,25,0,2,0,1,34,2,4,194,319
Papineau/Papineau,97,Montréal,112,0,28,1,11,1,0,42,2,1,198,341
Papineau/Papineau,98,Montréal,162,2,24,0,7,0,0,47,2,2,246,402
Papineau/Papineau,99,Montréal,114,3,23,0,13,0,1,42,2,5,203,292
Papineau/Papineau,100,Montréal,128,2,23,1,6,0,2,45,0,1,208,365
Papineau/Papineau,101,Montréal,102,5,18,0,4,0,0,39,1,5,174,401
Papineau/Papineau,102,Montréal,131,4,22,0,7,0,0,35,5,2,206,376
Papineau/Papineau,103,Montréal,143,4,23,0,5,1,1,57,11,5,250,412
Papineau/Papineau,104,Montréal,129,1,15,0,6,0,0,30,3,3,187,281
Papineau/Papineau,105,Montréal,125,7,19,1,6,0,0,31,3,6,198,314
Papineau/Papineau,106,Montréal,144,2,44,0,12,0,1,32,2,1,238,418
Papineau/Papineau,107,Montréal,118,3,23,0,11,0,2,33,3,0,193,392
Papineau/Papineau,108,Montréal,100,2,23,6,33,1,0,0,0,3,168,303
Papineau/Papineau,109,Montréal,122,1,25,0,5,0,1,22,3,2,181,350
Papineau/Papineau,110,Montréal,117,2,41,0,13,0,5,62,4,1,245,423
Papineau/Papineau,111,Montréal,128,1,28,0,10,0,0,17,6,1,191,296
Papineau/Papineau,112,Montréal,174,1,29,0,3,0,0,68,2,1,278,448
Papineau/Papineau,113,Montréal,138,2,38,1,11,2,0,107,11,4,314,567
Papineau/Papineau,114,Montréal,109,0,15,1,6,0,1,59,1,5,197,323
Papineau/Papineau,115,Montréal,102,2,24,1,4,0,3,38,10,2,186,323
Papineau/Papineau,116,Montréal,106,1,23,0,6,0,0,27,1,1,165,357
Papineau/Papineau,117,Montréal,152,1,38,1,10,0,1,44,6,4,257,406
Papineau/Papineau,118,Montréal,121,0,31,0,8,0,0,75,4,1,240,417
Papineau/Papineau,119,Montréal,116,0,20,1,8,1,2,42,5,3,198,346
Papineau/Papineau,120,Montréal,109,2,28,0,12,0,1,53,3,1,209,304
Papineau/Papineau,121,Montréal,108,5,29,0,11,1,0,62,4,6,226,366
Papineau/Papineau,122,Montréal,140,3,32,1,7,0,1,87,6,8,285,503
Papineau/Papineau,123,Montréal,141,2,33,1,6,0,0,40,5,2,230,414
Papineau/Papineau,124,Montréal,105,2,36,1,12,0,2,44,3,2,207,334
Papineau/Papineau,125,Montréal,127,0,20,2,10,0,0,61,6,1,227,367
Papineau/Papineau,126,Montréal,131,3,28,0,15,0,0,66,8,2,253,371
Papineau/Papineau,127,Montréal,116,1,40,0,8,0,2,44,5,1,217,403
Papineau/Papineau,128,Montréal,129,1,26,0,11,0,0,38,1,2,208,314
Papineau/Papineau,129,Montréal,146,3,24,0,6,0,2,52,0,3,236,357
Papineau/Papineau,130,Montréal,94,3,17,3,11,0,3,78,5,1,215,388
Papineau/Papineau,131,Montréal,125,1,28,1,10,0,1,75,5,3,249,494
Papineau/Papineau,132,Montréal,131,5,16,0,10,1,0,69,2,3,237,392
Papineau/Papineau,133,Montréal,94,3,26,0,8,1,0,79,1,4,216,374
Papineau/Papineau,134,Montréal,129,4,22,0,12,0,1,63,8,6,245,465
Papineau/Papineau,135,Montréal,80,2,18,1,1,0,0,102,10,2,216,360
Papineau/Papineau,136,Montréal,55,2,25,1,6,0,0,104,17,0,210,339
Papineau/Papineau,137,Montréal,74,2,21,1,6,0,2,113,13,3,235,381
Papineau/Papineau,138,Montréal,82,2,5,0,7,0,0,62,4,4,166,363
Papineau/Papineau,139,Montréal,135,1,43,0,13,1,2,128,18,7,348,624
Papineau/Papineau,140,Montréal,12,1,11,9,2,3,6,125,30,6,205,464
Papineau/Papineau,141,Montréal,10,1,11,5,4,1,2,165,30,6,235,563
Papineau/Papineau,142,Montréal,11,1,13,4,2,0,1,125,21,1,179,457
Papineau/Papineau,143,Montréal,12,4,13,11,5,4,2,177,18,2,248,515
Papineau/Papineau,144,Montréal,14,2,9,2,5,5,0,127,10,8,182,433
Papineau/Papineau,145,Montréal,12,1,19,2,3,3,2,148,6,1,197,456
Papineau/Papineau,146,Montréal,19,1,19,12,6,2,3,165,25,1,253,479
Papineau/Papineau,147,Montréal,16,6,15,9,1,5,4,142,17,3,218,440
Papineau/Papineau,148,Montréal,7,0,9,4,1,5,1,193,23,4,247,620
Papineau/Papineau,149,Montréal,14,3,11,5,4,2,0,163,26,4,232,575
Papineau/Papineau,150,Montréal,12,3,15,3,3,5,2,182,26,8,259,537
Papineau/Papineau,151,Montréal,11,1,13,5,0,5,5,155,29,4,228,508
Papineau/Papineau,152,Montréal,14,4,16,2,3,3,4,176,31,2,255,607
Papineau/Papineau,153,Montréal,5,1,6,2,3,3,2,114,20,2,158,408
Papineau/Papineau,153-1,Montréal,11,1,13,5,0,5,5,155,29,4,228,594
Papineau/Papineau,153-2,Montréal,12,6,18,3,0,3,1,154,23,4,224,551
Papineau/Papineau,154,Montréal,8,3,18,5,2,2,3,134,29,5,209,471
Papineau/Papineau,155,Montréal,14,7,22,3,4,3,3,129,38,4,227,494
Papineau/Papineau,156,Montréal,3,1,11,6,3,0,2,93,26,2,147,330
Papineau/Papineau,157,Montréal,20,1,10,2,5,3,2,146,34,1,224,604
Papineau/Papineau,158,Montréal,17,1,5,4,2,1,1,73,28,3,135,373
Papineau/Papineau,159,Montréal,19,2,17,3,8,3,1,124,43,3,223,554
Papineau/Papineau,160,Montréal,18,3,21,3,5,1,2,126,20,1,200,481
Papineau/Papineau,161,Montréal,7,0,13,2,0,3,0,99,30,2,156,415
Papineau/Papineau,162,Montréal,19,2,23,0,0,0,3,116,16,2,181,426
Papineau/Papineau,163,Montréal,20,3,13,3,9,2,4,116,25,2,197,516
Papineau/Papineau,164,Montréal,23,2,20,2,3,9,3,162,20,5,249,465
Papineau/Papineau,165,Montréal,10,2,18,1,4,4,2,119,27,2,189,425
Papineau/Papineau,166,Montréal,9,10,19,7,4,2,4,154,28,3,240,474
Papineau/Papineau,167,Montréal,12,1,17,8,7,2,1,123,23,3,197,462
Papineau/Papineau,167-1,Montréal,14,0,11,2,3,3,1,120,35,2,191,500
Papineau/Papineau,168,Montréal,20,2,20,10,6,9,7,210,32,6,322,799
Papineau/Papineau,500,Mobile poll/Bureau itinérant,21,2,4,0,2,0,2,40,4,4,79,131
Papineau/Papineau,501,Mobile poll/Bureau itinérant,9,0,3,2,0,0,2,30,2,12,60,97
Papineau/Papineau,600,Montréal,218,8,25,0,6,0,0,266,15,12,550,
Papineau/Papineau,601,Montréal,172,3,39,1,8,0,1,152,16,8,400,
Papineau/Papineau,602,Montréal,280,9,67,1,26,3,4,232,23,12,657,
Papineau/Papineau,603,Montréal,376,5,69,2,16,0,2,161,29,7,667,
Papineau/Papineau,604,Montréal,322,3,79,1,19,3,4,137,27,9,604,
Papineau/Papineau,605,Montréal,27,2,9,2,2,0,3,221,29,15,310,
Papineau/Papineau,606,Montréal,21,3,23,5,8,5,4,164,26,6,265,
Papineau/Papineau,,Group 1/Groupe 1,31,1,7,2,1,0,0,31,5,2,80,135
Papineau/Papineau,,Group 2/Groupe 2,277,1,63,0,16,1,1,152,30,21,562,
