District,Poll Number,Poll Name,Leon E. Benoit,James Kenney,Len Legault,Duff Stewart,Rejected Ballots,Total Vote,Electors
Vegreville--Wainwright/Vegreville--Wainwright,93,Vegreville,174,18,30,41,0,263,473
Vegreville--Wainwright/Vegreville--Wainwright,94,Vegreville,212,17,41,55,0,325,566
Vegreville--Wainwright/Vegreville--Wainwright,95,Vegreville,97,14,34,32,0,177,353
Vegreville--Wainwright/Vegreville--Wainwright,96,Vegreville,101,14,22,23,0,160,349
Vegreville--Wainwright/Vegreville--Wainwright,97,Vegreville,160,20,27,38,1,246,503
Vegreville--Wainwright/Vegreville--Wainwright,98,Vegreville,66,8,27,31,2,134,299
Vegreville--Wainwright/Vegreville--Wainwright,99,Vegreville,113,22,33,36,1,205,393
Vegreville--Wainwright/Vegreville--Wainwright,100,Vegreville,103,17,23,36,0,179,336
Vegreville--Wainwright/Vegreville--Wainwright,101,Vegreville,164,14,41,33,1,253,402
Vegreville--Wainwright/Vegreville--Wainwright,102,Lavoy,142,10,23,21,1,197,356
Vegreville--Wainwright/Vegreville--Wainwright,103,Ranfurly,100,8,11,15,0,134,210
Vegreville--Wainwright/Vegreville--Wainwright,104,Innisfree,Merged with No. 105,,,,,,182
Vegreville--Wainwright/Vegreville--Wainwright,105,Innisfree,215,24,35,34,2,310,306
Vegreville--Wainwright/Vegreville--Wainwright,106,Minburn,130,3,5,8,0,146,259
Vegreville--Wainwright/Vegreville--Wainwright,107,Mannville,173,6,11,14,1,205,330
Vegreville--Wainwright/Vegreville--Wainwright,108,Mannville,189,8,15,15,0,227,450
Vegreville--Wainwright/Vegreville--Wainwright,109,Mannville,89,3,4,5,0,101,148
Vegreville--Wainwright/Vegreville--Wainwright,110,Elk Point,35,2,3,4,0,44,103
Vegreville--Wainwright/Vegreville--Wainwright,111,Dewberry,77,1,4,8,0,90,192
Vegreville--Wainwright/Vegreville--Wainwright,112,Clandonald,126,11,1,13,0,151,224
Vegreville--Wainwright/Vegreville--Wainwright,113,Mannville,136,7,6,14,0,163,220
Vegreville--Wainwright/Vegreville--Wainwright,114,Borradaile,150,8,8,10,0,176,259
Vegreville--Wainwright/Vegreville--Wainwright,115,Vermilion,220,18,26,21,2,287,477
Vegreville--Wainwright/Vegreville--Wainwright,116,Vermilion,39,8,7,8,0,62,110
Vegreville--Wainwright/Vegreville--Wainwright,117,Vermilion,202,22,24,29,1,278,541
Vegreville--Wainwright/Vegreville--Wainwright,118,Vermilion,196,21,21,26,1,265,469
Vegreville--Wainwright/Vegreville--Wainwright,119,Vermilion,154,14,10,21,1,200,344
Vegreville--Wainwright/Vegreville--Wainwright,120,Vermilion,146,22,11,25,0,204,392
Vegreville--Wainwright/Vegreville--Wainwright,121,Vermilion,31,7,8,5,0,51,135
Vegreville--Wainwright/Vegreville--Wainwright,122,Vermilion,164,12,15,25,0,216,445
Vegreville--Wainwright/Vegreville--Wainwright,123,Claysmore,147,15,11,10,0,183,288
Vegreville--Wainwright/Vegreville--Wainwright,124,Vermilion,124,5,2,19,0,150,274
Vegreville--Wainwright/Vegreville--Wainwright,125,Dewberry,115,8,8,22,0,153,343
Vegreville--Wainwright/Vegreville--Wainwright,126,Marwayne,68,1,3,2,1,75,188
Vegreville--Wainwright/Vegreville--Wainwright,127,Streamstown,177,9,6,8,0,200,314
Vegreville--Wainwright/Vegreville--Wainwright,128,Marwayne,127,5,6,15,0,153,220
Vegreville--Wainwright/Vegreville--Wainwright,129,Marwayne,223,9,6,9,0,247,506
Vegreville--Wainwright/Vegreville--Wainwright,130,Islay,126,6,11,18,0,161,301
Vegreville--Wainwright/Vegreville--Wainwright,131,Kitscoty,156,9,4,7,2,178,236
Vegreville--Wainwright/Vegreville--Wainwright,132,Kitscoty,212,17,16,20,0,265,619
Vegreville--Wainwright/Vegreville--Wainwright,133,Kitscoty,Void,,,,,,
Vegreville--Wainwright/Vegreville--Wainwright,134,Kitscoty,118,7,4,18,0,147,244
Vegreville--Wainwright/Vegreville--Wainwright,135,Blackfoot,173,4,11,12,0,200,324
Vegreville--Wainwright/Vegreville--Wainwright,136,Paradise Valley,190,9,3,12,0,214,387
Vegreville--Wainwright/Vegreville--Wainwright,137,McLaughlin,125,4,7,16,1,153,214
Vegreville--Wainwright/Vegreville--Wainwright,138,Blackfoot,128,6,8,9,0,151,318
Vegreville--Wainwright/Vegreville--Wainwright,139,Lloydminster,118,3,7,17,0,145,334
Vegreville--Wainwright/Vegreville--Wainwright,140,Lloydminster ,93,7,20,20,0,140,543
Vegreville--Wainwright/Vegreville--Wainwright,141,Lloydminster ,58,9,6,6,1,80,202
Vegreville--Wainwright/Vegreville--Wainwright,142,Lloydminster ,116,12,27,33,0,188,409
Vegreville--Wainwright/Vegreville--Wainwright,143,Lloydminster ,126,11,7,22,0,166,417
Vegreville--Wainwright/Vegreville--Wainwright,144,Lloydminster ,110,3,12,21,1,147,364
Vegreville--Wainwright/Vegreville--Wainwright,145,Lloydminster ,135,10,14,25,1,185,441
Vegreville--Wainwright/Vegreville--Wainwright,146,Lloydminster ,245,12,20,36,0,313,631
Vegreville--Wainwright/Vegreville--Wainwright,147,Lloydminster ,133,8,7,21,0,169,465
Vegreville--Wainwright/Vegreville--Wainwright,148A,Lloydminster ,75,0,7,30,0,112,168
Vegreville--Wainwright/Vegreville--Wainwright,148B,Mobile poll/Bureau itinérant,Merged with No. 502,,,,,,75
Vegreville--Wainwright/Vegreville--Wainwright,149,Lloydminster ,175,8,20,33,1,237,491
Vegreville--Wainwright/Vegreville--Wainwright,150,Lloydminster ,179,15,8,18,0,220,398
Vegreville--Wainwright/Vegreville--Wainwright,151,Lloydminster ,140,9,16,42,0,207,455
Vegreville--Wainwright/Vegreville--Wainwright,152,Lloydminster ,54,6,14,16,0,90,358
Vegreville--Wainwright/Vegreville--Wainwright,153,Lloydminster ,71,10,19,20,0,120,329
Vegreville--Wainwright/Vegreville--Wainwright,154,Lloydminster ,162,8,11,17,0,198,356
Vegreville--Wainwright/Vegreville--Wainwright,155,Lloydminster ,134,16,14,39,0,203,457
Vegreville--Wainwright/Vegreville--Wainwright,156,Lloydminster ,76,9,18,15,0,118,268
Vegreville--Wainwright/Vegreville--Wainwright,157,Lloydminster ,126,8,13,21,0,168,366
Vegreville--Wainwright/Vegreville--Wainwright,158,Lloydminster ,130,5,9,27,0,171,303
Vegreville--Wainwright/Vegreville--Wainwright,159,Lloydminster ,198,18,13,43,0,272,512
Vegreville--Wainwright/Vegreville--Wainwright,160,Lloydminster ,188,4,8,29,0,229,486
Vegreville--Wainwright/Vegreville--Wainwright,160-1,Lloydminster,137,5,8,18,1,169,458
Vegreville--Wainwright/Vegreville--Wainwright,161,Lloydminster,218,9,12,44,0,283,538
Vegreville--Wainwright/Vegreville--Wainwright,162,Daysland,127,11,17,20,1,176,287
Vegreville--Wainwright/Vegreville--Wainwright,163,Daysland,227,17,31,27,0,302,555
Vegreville--Wainwright/Vegreville--Wainwright,164,Heisler,159,6,10,20,0,195,320
Vegreville--Wainwright/Vegreville--Wainwright,165,Strome,139,2,6,7,0,154,251
Vegreville--Wainwright/Vegreville--Wainwright,166,Strome,138,6,5,3,0,152,215
Vegreville--Wainwright/Vegreville--Wainwright,167,Forestburg Rural,107,8,12,12,0,139,217
Vegreville--Wainwright/Vegreville--Wainwright,168,Forestburg,135,5,16,21,0,177,273
Vegreville--Wainwright/Vegreville--Wainwright,169,Forestburg,165,9,21,21,2,218,431
Vegreville--Wainwright/Vegreville--Wainwright,170,Killam,215,19,8,16,0,258,434
Vegreville--Wainwright/Vegreville--Wainwright,171,Killam,169,11,10,22,0,212,303
Vegreville--Wainwright/Vegreville--Wainwright,172,Killam,163,9,7,12,3,194,337
Vegreville--Wainwright/Vegreville--Wainwright,173,Sedgewick,166,15,17,13,1,212,360
Vegreville--Wainwright/Vegreville--Wainwright,174,Sedgewick,226,9,12,25,0,272,512
Vegreville--Wainwright/Vegreville--Wainwright,175,Lougheed,201,11,12,21,0,245,404
Vegreville--Wainwright/Vegreville--Wainwright,176,Hardisty Rural,175,7,14,16,0,212,365
Vegreville--Wainwright/Vegreville--Wainwright,177,Hardisty,186,16,21,20,0,243,473
Vegreville--Wainwright/Vegreville--Wainwright,178,Bellshill,120,6,3,7,0,136,204
Vegreville--Wainwright/Vegreville--Wainwright,179,Galahad,133,12,8,14,1,168,261
Vegreville--Wainwright/Vegreville--Wainwright,180,Alliance,156,14,11,9,2,192,325
Vegreville--Wainwright/Vegreville--Wainwright,181,Jarrow,192,6,5,5,0,208,348
Vegreville--Wainwright/Vegreville--Wainwright,182,Irma,256,16,20,21,0,313,517
Vegreville--Wainwright/Vegreville--Wainwright,183,Wainwright No. 61,122,9,2,7,0,140,266
Vegreville--Wainwright/Vegreville--Wainwright,184,Fabyan,177,8,18,24,0,227,480
Vegreville--Wainwright/Vegreville--Wainwright,185,Greenshields,201,13,8,18,0,240,359
Vegreville--Wainwright/Vegreville--Wainwright,186,Edgerton,228,19,19,23,0,289,497
Vegreville--Wainwright/Vegreville--Wainwright,187,Dunn,88,5,4,8,1,106,150
Vegreville--Wainwright/Vegreville--Wainwright,188,Chauvin,110,1,9,10,0,130,247
Vegreville--Wainwright/Vegreville--Wainwright,189,Chauvin,124,3,15,8,0,150,287
Vegreville--Wainwright/Vegreville--Wainwright,190,Wainwright,119,10,10,20,0,159,372
Vegreville--Wainwright/Vegreville--Wainwright,191,Wainwright,110,8,11,9,0,138,274
Vegreville--Wainwright/Vegreville--Wainwright,192,Wainwright,138,19,17,18,0,192,380
Vegreville--Wainwright/Vegreville--Wainwright,193,Wainwright,196,16,10,40,0,262,474
Vegreville--Wainwright/Vegreville--Wainwright,194,Wainwright,108,5,13,21,0,147,309
Vegreville--Wainwright/Vegreville--Wainwright,195,Wainwright,133,8,18,19,0,178,385
Vegreville--Wainwright/Vegreville--Wainwright,196,Wainwright,122,11,14,10,0,157,354
Vegreville--Wainwright/Vegreville--Wainwright,197,Wainwright,131,16,12,22,0,181,403
Vegreville--Wainwright/Vegreville--Wainwright,198,Wainwright,126,11,9,29,0,175,327
Vegreville--Wainwright/Vegreville--Wainwright,199,Wainwright,122,16,22,23,0,183,388
Vegreville--Wainwright/Vegreville--Wainwright,200,Amisk,160,5,8,2,0,175,297
Vegreville--Wainwright/Vegreville--Wainwright,201,Hughenden,189,15,9,18,2,233,405
Vegreville--Wainwright/Vegreville--Wainwright,202,Metiskow,79,3,1,4,0,87,137
Vegreville--Wainwright/Vegreville--Wainwright,203,Czar,211,9,12,12,0,244,329
Vegreville--Wainwright/Vegreville--Wainwright,204,Cadogan,114,3,3,4,0,124,210
Vegreville--Wainwright/Vegreville--Wainwright,205,Green Glade,148,3,0,4,2,157,252
Vegreville--Wainwright/Vegreville--Wainwright,206,Provost,169,14,9,18,0,210,188
Vegreville--Wainwright/Vegreville--Wainwright,207A,Provost,Merged with No. 206,,,,,,317
Vegreville--Wainwright/Vegreville--Wainwright,207B,Provost,164,7,17,19,0,207,492
Vegreville--Wainwright/Vegreville--Wainwright,208,Provost,162,16,3,23,1,205,236
Vegreville--Wainwright/Vegreville--Wainwright,209,Provost,Merged with No. 208,,,,,,207
Vegreville--Wainwright/Vegreville--Wainwright,210,Hayter,201,8,8,4,1,222,433
Vegreville--Wainwright/Vegreville--Wainwright,500,Mobile poll/Bureau itinérant,51,8,13,17,0,89,155
Vegreville--Wainwright/Vegreville--Wainwright,501,Mobile poll/Bureau itinérant,83,6,3,17,3,112,172
Vegreville--Wainwright/Vegreville--Wainwright,502,Mobile poll/Bureau itinérant,55,3,10,18,0,86,109
Vegreville--Wainwright/Vegreville--Wainwright,503,Mobile poll/Bureau itinérant,66,2,7,19,2,96,186
Vegreville--Wainwright/Vegreville--Wainwright,504,Mobile poll/Bureau itinérant,40,4,9,6,1,60,94
Vegreville--Wainwright/Vegreville--Wainwright,505,Mobile poll/Bureau itinérant,33,3,8,13,0,57,111
Vegreville--Wainwright/Vegreville--Wainwright,506,Mobile poll/Bureau itinérant,96,3,15,17,0,131,216
Vegreville--Wainwright/Vegreville--Wainwright,507A,Mobile poll/Bureau itinérant,41,0,4,8,0,53,115
Vegreville--Wainwright/Vegreville--Wainwright,507B,Mobile poll/Bureau itinérant,69,3,10,23,1,106,113
Vegreville--Wainwright/Vegreville--Wainwright,508,Mobile poll/Bureau itinérant,62,8,6,14,1,91,131
Vegreville--Wainwright/Vegreville--Wainwright,509,Mobile poll/Bureau itinérant,49,5,5,10,0,69,85
Vegreville--Wainwright/Vegreville--Wainwright,510,Mobile poll/Bureau itinérant,37,2,10,9,1,59,46
Vegreville--Wainwright/Vegreville--Wainwright,511,Mobile poll/Bureau itinérant,Merged with No. 510,,,,,,40
Vegreville--Wainwright/Vegreville--Wainwright,600,Strathcona County,267,30,33,53,1,384,
Vegreville--Wainwright/Vegreville--Wainwright,601,Strathcona County,224,18,30,33,0,305,
Vegreville--Wainwright/Vegreville--Wainwright,602,Lamont County,130,22,26,32,0,210,
Vegreville--Wainwright/Vegreville--Wainwright,603,Two Hills County No. 21,78,4,17,10,0,109,
Vegreville--Wainwright/Vegreville--Wainwright,604,New Sarepta,81,8,9,11,0,109,
Vegreville--Wainwright/Vegreville--Wainwright,605,Beaver County,97,8,15,11,0,131,
Vegreville--Wainwright/Vegreville--Wainwright,606,Beaver County,92,3,12,9,0,116,
Vegreville--Wainwright/Vegreville--Wainwright,607,Minburn County No. 27,147,8,31,27,1,214,
Vegreville--Wainwright/Vegreville--Wainwright,608,Vermilion,195,12,15,32,0,254,
Vegreville--Wainwright/Vegreville--Wainwright,609,Vermilion County No. 24,160,7,7,14,0,188,
Vegreville--Wainwright/Vegreville--Wainwright,610,Lloydminster,452,26,30,78,1,587,
Vegreville--Wainwright/Vegreville--Wainwright,611,Flagstaff County,74,4,2,7,0,87,
Vegreville--Wainwright/Vegreville--Wainwright,612,Wainwright No. 61,101,6,2,4,0,113,
Vegreville--Wainwright/Vegreville--Wainwright,613,Wainwright,142,12,12,39,0,205,
Vegreville--Wainwright/Vegreville--Wainwright,614,Provost No. 52,152,16,5,12,2,187,
Vegreville--Wainwright/Vegreville--Wainwright,,Group 1/Groupe 1,62,6,4,12,1,85,212
Vegreville--Wainwright/Vegreville--Wainwright,,Group 2/Groupe 2,327,29,35,45,21,457,
