District,Poll Number,Poll Name,Benoît Beauchamp,Bernard Bigras,Christian Bolduc,François Chevalier,Kenneth Higham,Michel Sauvé,Rejected Ballots,Total Vote,Electors
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,30,Montréal,11,147,48,10,1,7,6,230,380
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,31,Montréal,22,148,58,7,0,11,6,252,503
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,32,Montréal,15,114,48,12,0,1,6,196,356
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,33,Montréal,20,117,59,10,1,9,1,217,404
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,34,Montréal,21,177,43,9,0,0,6,256,477
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,35,Montréal,20,170,37,16,0,4,0,247,431
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,36,Montréal,20,151,28,10,0,2,5,216,423
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,37,Montréal,16,168,41,13,0,4,6,248,437
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,38,Montréal,18,172,40,8,1,3,6,248,418
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,39,Montréal,15,142,27,4,2,6,2,198,314
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,40,Montréal,10,95,44,11,1,0,7,168,376
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,41,Montréal,6,95,30,5,3,5,2,146,309
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,42,Montréal,20,125,48,8,0,6,1,208,394
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,43,Montréal,8,110,37,3,0,4,2,164,288
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,44,Montréal,16,108,63,7,0,5,2,201,326
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,45,Montréal,22,110,25,2,1,3,0,163,264
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,46,Montréal,18,137,42,9,1,9,1,217,381
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,47,Montréal,7,128,21,14,0,8,4,182,328
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,48,Montréal,15,110,11,9,0,2,5,152,290
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,49,Montréal,8,103,18,5,1,0,3,138,321
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,50,Montréal,7,109,26,6,0,2,8,158,345
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,51,Montréal,11,96,38,10,0,4,2,161,294
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,52,Montréal,12,146,17,8,1,1,1,186,382
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,53,Montréal,18,151,31,12,3,6,3,224,437
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,54,Montréal,Merged with No. 55,,,,,,,,109
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,55,Montréal,5,100,48,11,2,6,2,174,223
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,56,Montréal,13,145,34,6,0,6,0,204,364
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,57,Montréal,17,125,51,13,0,5,5,216,420
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,58,Montréal,14,144,53,11,0,4,3,229,428
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,59,Montréal,11,102,33,7,0,8,3,164,350
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,60,Montréal,10,96,42,8,1,5,2,164,321
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,61,Montréal,6,106,63,3,0,8,6,192,384
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,62,Montréal,12,104,56,1,0,2,5,180,370
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,63,Montréal,17,106,93,7,0,8,6,237,404
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,64,Montréal,19,192,54,12,2,8,0,287,488
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,65A,Montréal,9,85,49,4,1,9,1,158,286
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,65B,Montréal,18,87,50,3,1,7,4,170,284
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,66,Montréal,14,92,50,6,0,10,1,173,322
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,67,Montréal,8,97,21,8,0,8,0,142,342
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,68,Montréal,10,140,50,14,3,4,3,224,423
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,69,Montréal,8,130,50,14,1,5,3,211,367
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,70,Montréal,16,140,31,7,0,6,2,202,334
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,71,Montréal,19,198,40,16,0,2,4,279,469
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,72,Montréal,9,134,36,3,1,7,3,193,360
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,73A,Montréal,35,133,34,3,3,10,1,219,390
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,73B,Montréal,18,113,48,5,1,10,3,198,381
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,74,Montréal,12,122,32,8,0,5,5,184,346
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,75,Montréal,14,134,28,6,0,7,3,192,340
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,76,Montréal,13,169,36,7,1,6,6,238,457
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,77,Montréal,9,142,24,11,0,4,5,195,351
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,78,Montréal,9,106,37,3,1,5,5,166,488
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,79,Montréal,21,188,60,14,1,13,0,297,452
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,80,Montréal,16,117,34,7,0,6,0,180,381
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,81,Montréal,8,151,59,7,0,6,2,233,418
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,82,Montréal,11,162,46,13,1,7,4,244,463
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,83,Montréal,12,149,63,6,0,11,8,249,437
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,84,Montréal,12,119,37,2,1,1,3,175,377
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,85,Montréal,13,177,45,4,0,4,4,247,466
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,86,Montréal,13,116,57,4,0,11,3,204,408
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,87,Montréal,15,134,60,8,0,11,5,233,402
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,88,Montréal,28,159,65,10,0,9,8,279,476
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,89,Montréal,20,83,52,4,1,7,2,169,340
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,90,Montréal,14,131,62,6,1,4,5,223,394
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,91,Montréal,15,138,31,4,0,13,2,203,362
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,92,Montréal,16,123,63,7,0,1,4,214,416
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,93,Montréal,12,115,44,8,1,3,0,183,401
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,94,Montréal,17,142,59,9,1,8,2,238,413
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,95,Montréal,17,143,46,16,0,7,0,229,473
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,96,Montréal,13,132,39,8,0,4,3,199,372
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,97,Montréal,18,156,72,7,0,4,1,258,469
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,98,Montréal,16,165,42,7,0,8,3,241,456
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,99,Montréal,13,193,81,14,0,16,6,323,540
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,100,Montréal,20,163,42,6,0,3,2,236,429
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,101,Montréal,15,124,26,11,0,4,5,185,342
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,102A,Montréal,9,74,25,6,0,2,4,120,292
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,102B,Montréal,10,59,40,6,0,10,4,129,284
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,103A,Montréal,7,115,28,6,1,2,4,163,317
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,103B,Montréal,15,117,31,4,0,2,4,173,343
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,104,Montréal,23,108,53,5,0,1,2,192,350
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,105,Montréal,10,154,39,10,1,12,8,234,439
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,106,Montréal,19,180,50,10,0,8,7,274,468
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,107,Montréal,11,135,45,7,0,5,5,208,372
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,108,Montréal,18,131,28,10,0,4,1,192,313
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,109,Montréal,12,156,42,8,0,4,3,225,449
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,110,Montréal,18,152,46,2,0,11,2,231,470
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,111,Montréal,19,131,35,8,0,10,4,207,406
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,112,Montréal,25,136,35,8,2,0,3,209,366
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,113,Montréal,19,178,40,21,0,7,1,266,511
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,114,Montréal,21,168,34,20,0,5,4,252,457
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,115,Montréal,37,198,37,10,0,7,3,292,541
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,116,Montréal,12,158,24,13,0,6,5,218,423
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,117,Montréal,14,131,41,8,1,11,3,209,381
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,118,Montréal,12,98,38,8,0,5,5,166,338
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,119,Montréal,11,133,36,12,1,10,4,207,393
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,120,Montréal,21,146,32,12,0,4,2,217,381
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,121,Montréal,14,145,38,7,0,8,6,218,345
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,122,Montréal,25,202,31,16,0,2,1,277,446
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,123,Montréal,11,140,28,4,0,10,4,197,377
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,124,Montréal,14,110,30,2,0,1,4,161,298
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,125,Montréal,10,101,37,6,0,4,5,163,288
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,126,Montréal,17,195,32,16,0,2,1,263,425
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,127,Montréal,19,173,39,14,0,2,1,248,380
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,128,Montréal,15,126,27,8,0,6,6,188,297
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,129,Montréal,12,189,43,10,1,3,7,265,400
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,130,Montréal,15,127,47,8,0,2,2,201,313
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,131,Montréal,17,144,48,8,0,8,5,230,366
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,132,Montréal,21,155,54,14,0,11,4,259,430
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,133,Montréal,30,164,31,11,1,4,6,247,411
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,134,Montréal,14,162,41,7,0,10,3,237,429
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,135,Montréal,18,167,58,9,1,3,4,260,445
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,136,Montréal,12,143,62,11,0,5,0,233,432
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,137,Montréal,11,97,66,13,1,3,4,195,333
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,138,Montréal,6,106,67,6,1,1,3,190,319
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,139,Montréal,14,157,61,13,0,9,4,258,441
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,140,Montréal,11,55,38,4,2,3,3,116,264
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,141,Montréal,8,74,55,6,0,11,4,158,399
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,142,Montréal,18,161,79,4,1,10,5,278,433
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,143,Montréal,12,101,96,11,1,7,3,231,366
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,144,Montréal,16,110,45,5,0,3,8,187,335
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,145,Montréal,11,99,34,9,0,6,2,161,317
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,146,Montréal,19,173,35,5,1,5,3,241,383
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,147,Montréal,15,88,40,7,0,3,2,155,258
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,148,Montréal,16,137,42,13,0,7,1,216,398
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,149,Montréal,13,135,31,12,0,7,8,206,351
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,150,Montréal,18,144,38,11,0,10,0,221,411
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,151,Montréal,26,168,45,9,0,11,3,262,458
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,152,Montréal,34,131,29,9,1,5,3,212,401
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,153,Montréal,23,139,38,12,1,2,3,218,392
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,154,Montréal,20,141,45,9,0,2,5,222,384
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,155,Montréal,28,136,55,12,0,5,0,236,435
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,156,Montréal,14,143,62,15,0,7,6,247,471
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,157,Montréal,11,123,98,4,0,12,3,251,477
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,158,Montréal,17,128,82,12,0,8,5,252,474
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,159,Montréal,12,151,66,8,1,8,3,249,473
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,160,Montréal,12,110,45,7,0,5,2,181,403
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,161,Montréal,5,120,46,9,0,7,1,188,350
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,162,Montréal,22,116,60,13,1,5,1,218,424
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,163,Montréal,15,121,36,7,0,4,3,186,358
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,164,Montréal,13,100,26,7,1,8,1,156,308
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,165,Montréal,13,107,31,4,0,5,1,161,290
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,166,Montréal,21,134,36,21,0,9,3,224,443
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,167,Montréal,18,131,43,7,1,2,1,203,385
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,168,Montréal,15,106,37,8,0,3,1,170,339
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,169,Montréal,16,172,24,11,3,5,6,237,400
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,170,Montréal,18,111,28,8,0,7,5,177,313
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,171,Montréal,20,143,20,8,0,6,2,199,389
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,172,Montréal,38,151,36,11,0,10,2,248,472
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,173,Montréal,20,183,29,19,0,9,5,265,463
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,174,Montréal,9,117,49,6,0,7,4,192,465
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,175,Montréal,8,131,32,5,1,9,9,195,349
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,176,Montréal,24,176,40,9,1,5,5,260,555
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,177,Montréal,18,148,22,15,4,5,2,214,409
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,178,Montréal,23,140,39,10,1,3,2,218,433
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,179,Montréal,27,128,40,18,0,7,6,226,447
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,180A,Montréal,15,93,33,8,1,3,0,153,266
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,180B,Montréal,15,66,40,8,0,5,2,136,317
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,181,Montréal,23,134,53,14,0,7,5,236,421
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,182,Montréal,9,94,34,14,1,9,5,166,384
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,183,Montréal,18,153,45,15,1,8,3,243,491
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,184,Montréal,12,100,69,7,2,8,5,203,326
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,185,Montréal,15,91,35,8,0,5,7,161,297
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,186,Montréal,17,101,37,9,1,5,7,177,321
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,187,Montréal,16,124,27,8,1,9,5,190,328
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,188,Montréal,32,132,16,12,1,1,5,199,372
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,189,Montréal,33,126,30,14,1,2,4,210,352
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,190,Montréal,25,118,66,8,1,4,4,226,411
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,191,Montréal,15,152,75,14,0,8,4,268,456
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,192,Montréal,21,139,48,11,1,10,3,233,422
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,193,Montréal,29,173,46,13,1,6,5,273,517
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,194,Montréal,33,169,79,11,2,4,6,304,494
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,195,Montréal,37,136,95,12,4,10,1,295,524
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,196,Montréal,34,93,62,19,1,9,2,220,464
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,197,Montréal,27,68,93,6,0,18,0,212,454
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,198,Montréal,21,76,87,17,1,7,6,215,408
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,199,Montréal,28,123,95,17,5,16,4,288,501
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,200,Montréal,39,152,65,21,1,11,4,293,501
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,201,Montréal,48,143,43,13,1,8,1,257,502
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,202,Montréal,40,159,42,11,2,3,1,258,525
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,203,Montréal,30,131,17,45,3,3,1,230,419
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,204A,Montréal,19,48,53,6,1,9,2,138,299
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,204B,Montréal,13,56,72,8,2,6,0,157,342
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,205,Montréal,18,115,36,8,0,5,2,184,388
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,500,Mobile poll/Bureau itinérant,3,12,47,1,1,4,9,77,124
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,501,Mobile poll/Bureau itinérant,4,35,50,5,1,11,5,111,201
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,502,Mobile poll/Bureau itinérant,4,20,61,0,0,8,1,94,153
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,503,Mobile poll/Bureau itinérant,5,24,31,3,0,3,2,68,114
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,504,Mobile poll/Bureau itinérant,5,30,25,2,1,6,2,71,155
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,600,Montréal,15,252,175,13,1,22,15,493,
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,601,Montréal,22,296,89,15,1,17,9,449,
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,602,Montréal,16,192,79,10,2,9,8,316,
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,603,Montréal,42,368,155,19,4,33,7,628,
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,604,Montréal,33,394,170,13,2,29,15,656,
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,605,Montréal,19,243,66,8,1,7,3,347,
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,606,Montréal,31,389,118,20,1,20,2,581,
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,607,Montréal,35,217,86,17,3,10,3,371,
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,608,Montréal,47,366,117,19,3,21,9,582,
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,609,Montréal,54,311,163,24,3,16,22,593,
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,,Group 1/Groupe 1,8,61,24,4,0,14,8,119,186
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,,Group 2/Groupe 2,84,617,195,44,1,25,6,972,
