District,Poll Number,Poll Name,André Bellavance,Lucie LaForest,Jason S. Noble,Pierre Poissant,Christine St-Pierre,Rejected Ballots,Total Vote,Electors
Richmond--Arthabaska/Richmond--Arthabaska,39,Victoriaville,74,2,3,28,62,3,172,299
Richmond--Arthabaska/Richmond--Arthabaska,40,Victoriaville,146,3,3,13,60,6,231,364
Richmond--Arthabaska/Richmond--Arthabaska,41,Victoriaville,205,8,7,35,82,3,340,542
Richmond--Arthabaska/Richmond--Arthabaska,42,Victoriaville,138,8,6,19,84,4,259,406
Richmond--Arthabaska/Richmond--Arthabaska,43,Victoriaville,171,5,3,20,73,5,277,420
Richmond--Arthabaska/Richmond--Arthabaska,44,Victoriaville,129,3,7,32,73,4,248,385
Richmond--Arthabaska/Richmond--Arthabaska,45,Victoriaville,193,9,16,31,82,6,337,512
Richmond--Arthabaska/Richmond--Arthabaska,46,Victoriaville,138,6,1,31,37,7,220,399
Richmond--Arthabaska/Richmond--Arthabaska,47,Victoriaville,142,7,8,26,44,0,227,424
Richmond--Arthabaska/Richmond--Arthabaska,48,Victoriaville,143,6,9,31,47,10,246,467
Richmond--Arthabaska/Richmond--Arthabaska,49,Victoriaville,209,17,3,24,65,9,327,584
Richmond--Arthabaska/Richmond--Arthabaska,50,Victoriaville,125,12,3,26,37,3,206,360
Richmond--Arthabaska/Richmond--Arthabaska,51,Victoriaville,172,20,4,42,72,4,314,592
Richmond--Arthabaska/Richmond--Arthabaska,52,Victoriaville,109,5,1,14,44,3,176,308
Richmond--Arthabaska/Richmond--Arthabaska,53,Victoriaville,128,12,10,26,61,5,242,325
Richmond--Arthabaska/Richmond--Arthabaska,54,Victoriaville,73,4,4,10,31,3,125,333
Richmond--Arthabaska/Richmond--Arthabaska,55,Victoriaville,197,11,9,38,85,8,348,646
Richmond--Arthabaska/Richmond--Arthabaska,56,Victoriaville,89,5,5,20,50,5,174,302
Richmond--Arthabaska/Richmond--Arthabaska,57,Victoriaville,102,5,4,18,64,5,198,446
Richmond--Arthabaska/Richmond--Arthabaska,58,Victoriaville,77,2,1,24,62,6,172,313
Richmond--Arthabaska/Richmond--Arthabaska,59,Victoriaville,80,4,2,29,118,7,240,463
Richmond--Arthabaska/Richmond--Arthabaska,60,Victoriaville,79,2,5,22,90,4,202,427
Richmond--Arthabaska/Richmond--Arthabaska,61,Victoriaville,57,6,6,11,55,4,139,286
Richmond--Arthabaska/Richmond--Arthabaska,62,Victoriaville,117,9,10,25,75,2,238,423
Richmond--Arthabaska/Richmond--Arthabaska,63,Victoriaville,61,3,3,13,22,2,104,171
Richmond--Arthabaska/Richmond--Arthabaska,64,Victoriaville,149,5,6,21,62,10,253,459
Richmond--Arthabaska/Richmond--Arthabaska,65,Victoriaville,109,8,2,15,38,6,178,437
Richmond--Arthabaska/Richmond--Arthabaska,66,Victoriaville,92,4,1,17,28,6,148,283
Richmond--Arthabaska/Richmond--Arthabaska,67,Victoriaville,74,3,4,14,37,3,135,218
Richmond--Arthabaska/Richmond--Arthabaska,68,Victoriaville,74,4,4,10,18,2,112,210
Richmond--Arthabaska/Richmond--Arthabaska,69,Victoriaville,63,1,2,4,33,5,108,301
Richmond--Arthabaska/Richmond--Arthabaska,70,Victoriaville,88,7,7,21,44,6,173,401
Richmond--Arthabaska/Richmond--Arthabaska,71,Victoriaville,74,4,7,17,71,0,173,334
Richmond--Arthabaska/Richmond--Arthabaska,72,Victoriaville,78,5,5,17,44,4,153,266
Richmond--Arthabaska/Richmond--Arthabaska,73,Victoriaville,105,6,3,28,59,0,201,344
Richmond--Arthabaska/Richmond--Arthabaska,74,Victoriaville,127,5,2,14,86,2,236,423
Richmond--Arthabaska/Richmond--Arthabaska,75,Victoriaville,89,4,9,13,65,3,183,374
Richmond--Arthabaska/Richmond--Arthabaska,76,Victoriaville,105,5,9,31,59,4,213,337
Richmond--Arthabaska/Richmond--Arthabaska,77,Victoriaville,99,6,4,11,64,7,191,366
Richmond--Arthabaska/Richmond--Arthabaska,78,Victoriaville,107,9,3,19,27,3,168,304
Richmond--Arthabaska/Richmond--Arthabaska,79,Victoriaville,210,10,7,43,83,9,362,654
Richmond--Arthabaska/Richmond--Arthabaska,80,Victoriaville,168,13,6,46,48,7,288,509
Richmond--Arthabaska/Richmond--Arthabaska,81,Victoriaville,170,9,4,37,62,6,288,647
Richmond--Arthabaska/Richmond--Arthabaska,82,Victoriaville,75,0,1,15,54,3,148,271
Richmond--Arthabaska/Richmond--Arthabaska,83,Victoriaville,147,7,2,22,92,10,280,391
Richmond--Arthabaska/Richmond--Arthabaska,84,Victoriaville,139,4,9,27,77,3,259,372
Richmond--Arthabaska/Richmond--Arthabaska,85,Victoriaville,121,2,5,28,38,5,199,333
Richmond--Arthabaska/Richmond--Arthabaska,86,Victoriaville,118,8,4,23,46,10,209,392
Richmond--Arthabaska/Richmond--Arthabaska,87,Victoriaville,176,12,4,43,55,3,293,534
Richmond--Arthabaska/Richmond--Arthabaska,88,Victoriaville,136,9,4,24,50,3,226,341
Richmond--Arthabaska/Richmond--Arthabaska,89,Victoriaville,98,4,4,20,68,2,196,303
Richmond--Arthabaska/Richmond--Arthabaska,90,Victoriaville,153,6,3,10,78,3,253,375
Richmond--Arthabaska/Richmond--Arthabaska,91,Victoriaville,104,9,4,27,72,7,223,357
Richmond--Arthabaska/Richmond--Arthabaska,92,Victoriaville,79,8,6,24,90,4,211,341
Richmond--Arthabaska/Richmond--Arthabaska,93,Victoriaville,131,6,4,24,131,4,300,479
Richmond--Arthabaska/Richmond--Arthabaska,94,Victoriaville,176,9,1,31,68,2,287,444
Richmond--Arthabaska/Richmond--Arthabaska,95,Victoriaville,173,6,6,24,78,7,294,466
Richmond--Arthabaska/Richmond--Arthabaska,96,Victoriaville,146,12,4,24,70,9,265,391
Richmond--Arthabaska/Richmond--Arthabaska,97,Victoriaville,182,7,5,24,80,5,303,547
Richmond--Arthabaska/Richmond--Arthabaska,98,Victoriaville,168,7,8,28,74,5,290,450
Richmond--Arthabaska/Richmond--Arthabaska,99,Victoriaville,185,12,4,36,72,7,316,512
Richmond--Arthabaska/Richmond--Arthabaska,100,Victoriaville,102,5,3,15,24,5,154,311
Richmond--Arthabaska/Richmond--Arthabaska,101,Victoriaville,148,5,4,27,38,8,230,367
Richmond--Arthabaska/Richmond--Arthabaska,102,Victoriaville,91,7,3,19,59,10,189,355
Richmond--Arthabaska/Richmond--Arthabaska,103,Victoriaville,117,4,5,21,53,1,201,355
Richmond--Arthabaska/Richmond--Arthabaska,104,Victoriaville,140,8,5,15,90,4,262,451
Richmond--Arthabaska/Richmond--Arthabaska,105,Victoriaville,117,8,1,10,32,4,172,365
Richmond--Arthabaska/Richmond--Arthabaska,106,Saint-Norbert-d'Arthabaska,127,11,7,29,40,4,218,372
Richmond--Arthabaska/Richmond--Arthabaska,107,Norbertville,90,4,3,14,28,5,144,223
Richmond--Arthabaska/Richmond--Arthabaska,108,Chester-Nord,124,7,3,20,20,6,180,272
Richmond--Arthabaska/Richmond--Arthabaska,109,Chester-Est,91,5,5,27,38,4,170,258
Richmond--Arthabaska/Richmond--Arthabaska,110,Chesterville,122,12,6,15,20,2,177,250
Richmond--Arthabaska/Richmond--Arthabaska,111,Chesterville,113,14,5,14,54,0,200,344
Richmond--Arthabaska/Richmond--Arthabaska,112,Saint-Christophe-d'Arthabaska,171,13,7,35,51,5,282,573
Richmond--Arthabaska/Richmond--Arthabaska,113,Saint-Christophe-d'Arthabaska,219,7,4,44,77,14,365,611
Richmond--Arthabaska/Richmond--Arthabaska,114,Saint-Christophe-d'Arthabaska,241,15,5,54,85,12,412,690
Richmond--Arthabaska/Richmond--Arthabaska,115,Warwick,86,7,5,21,27,3,149,308
Richmond--Arthabaska/Richmond--Arthabaska,116,Warwick,175,27,4,28,81,17,332,575
Richmond--Arthabaska/Richmond--Arthabaska,117,Warwick,106,11,5,33,82,4,241,398
Richmond--Arthabaska/Richmond--Arthabaska,118,Warwick,135,14,4,24,67,8,252,425
Richmond--Arthabaska/Richmond--Arthabaska,119,Warwick,131,10,2,24,55,3,225,307
Richmond--Arthabaska/Richmond--Arthabaska,120,Warwick,102,2,5,20,36,5,170,302
Richmond--Arthabaska/Richmond--Arthabaska,121,Warwick,113,13,3,18,77,2,226,445
Richmond--Arthabaska/Richmond--Arthabaska,122,Warwick,138,8,9,23,58,4,240,391
Richmond--Arthabaska/Richmond--Arthabaska,123,Warwick,183,18,7,39,87,7,341,584
Richmond--Arthabaska/Richmond--Arthabaska,124,Tingwick,97,11,6,22,42,1,179,304
Richmond--Arthabaska/Richmond--Arthabaska,125,Tingwick,119,8,1,25,70,4,227,380
Richmond--Arthabaska/Richmond--Arthabaska,126,Tingwick,108,9,7,15,53,4,196,346
Richmond--Arthabaska/Richmond--Arthabaska,127,Saint-Rémi-de-Tingwick,110,29,1,20,58,5,223,366
Richmond--Arthabaska/Richmond--Arthabaska,128,Notre-Dame-de-Ham,120,14,4,22,33,5,198,315
Richmond--Arthabaska/Richmond--Arthabaska,129,Ham-Nord,99,9,7,21,59,6,201,322
Richmond--Arthabaska/Richmond--Arthabaska,130,Ham-Nord,133,15,6,16,52,3,225,406
Richmond--Arthabaska/Richmond--Arthabaska,131,Saints-Martyrs-Canadiens,53,6,6,12,32,3,112,185
Richmond--Arthabaska/Richmond--Arthabaska,132,Ham-Sud,39,9,8,11,14,0,81,146
Richmond--Arthabaska/Richmond--Arthabaska,133,Saint-Adrien,157,10,14,27,61,5,274,421
Richmond--Arthabaska/Richmond--Arthabaska,134,Wotton,92,7,7,21,51,2,180,295
Richmond--Arthabaska/Richmond--Arthabaska,135,Wottonville,108,12,16,35,79,6,256,416
Richmond--Arthabaska/Richmond--Arthabaska,136,Wotton,126,13,9,21,45,1,215,414
Richmond--Arthabaska/Richmond--Arthabaska,137,Saint-Camille,104,13,13,26,47,6,209,309
Richmond--Arthabaska/Richmond--Arthabaska,138,Saint-Georges-de-Windsor,75,7,6,13,28,1,130,240
Richmond--Arthabaska/Richmond--Arthabaska,139,Saint-Georges-de-Windsor,148,16,13,28,73,4,282,475
Richmond--Arthabaska/Richmond--Arthabaska,140,Saint-Claude,83,7,7,5,33,3,138,276
Richmond--Arthabaska/Richmond--Arthabaska,141,Saint-Claude,185,9,19,40,58,7,318,542
Richmond--Arthabaska/Richmond--Arthabaska,142,Shipton,87,3,9,18,48,4,169,325
Richmond--Arthabaska/Richmond--Arthabaska,143,Shipton,87,7,10,33,69,2,208,231
Richmond--Arthabaska/Richmond--Arthabaska,144,Danville,68,5,5,44,73,2,197,354
Richmond--Arthabaska/Richmond--Arthabaska,145,Danville,111,8,3,42,79,8,251,365
Richmond--Arthabaska/Richmond--Arthabaska,146,Danville,83,8,10,38,55,6,200,401
Richmond--Arthabaska/Richmond--Arthabaska,147,Danville,67,2,3,34,50,6,162,278
Richmond--Arthabaska/Richmond--Arthabaska,148,Shipton,113,10,11,33,76,6,249,407
Richmond--Arthabaska/Richmond--Arthabaska,149,Trois-Lacs,185,12,14,32,83,6,332,598
Richmond--Arthabaska/Richmond--Arthabaska,150,Shipton,122,6,3,13,41,5,190,325
Richmond--Arthabaska/Richmond--Arthabaska,151,Asbestos,143,4,7,14,48,7,223,403
Richmond--Arthabaska/Richmond--Arthabaska,152,Asbestos,115,5,4,31,78,2,235,458
Richmond--Arthabaska/Richmond--Arthabaska,153,Asbestos,119,4,5,7,77,7,219,440
Richmond--Arthabaska/Richmond--Arthabaska,154,Asbestos,77,4,7,10,61,2,161,309
Richmond--Arthabaska/Richmond--Arthabaska,155,Asbestos,95,5,4,18,56,2,180,399
Richmond--Arthabaska/Richmond--Arthabaska,156,Asbestos,81,5,10,11,74,6,187,325
Richmond--Arthabaska/Richmond--Arthabaska,157,Asbestos,89,3,1,12,70,2,177,457
Richmond--Arthabaska/Richmond--Arthabaska,158,Asbestos,118,6,3,18,39,3,187,348
Richmond--Arthabaska/Richmond--Arthabaska,159,Asbestos,114,3,3,13,78,3,214,399
Richmond--Arthabaska/Richmond--Arthabaska,160,Asbestos,96,8,6,17,61,5,193,381
Richmond--Arthabaska/Richmond--Arthabaska,161,Asbestos,91,1,6,4,48,6,156,384
Richmond--Arthabaska/Richmond--Arthabaska,162,Asbestos,91,6,4,12,27,1,141,310
Richmond--Arthabaska/Richmond--Arthabaska,163,Asbestos,57,11,3,11,35,7,124,224
Richmond--Arthabaska/Richmond--Arthabaska,164,Asbestos,46,12,2,12,34,3,109,189
Richmond--Arthabaska/Richmond--Arthabaska,165,Shipton,68,5,5,18,45,4,145,270
Richmond--Arthabaska/Richmond--Arthabaska,166,Shipton,118,6,4,15,44,0,187,358
Richmond--Arthabaska/Richmond--Arthabaska,167,Ulverton,88,11,17,9,39,4,168,263
Richmond--Arthabaska/Richmond--Arthabaska,168,Cleveland,18,0,7,28,110,3,166,280
Richmond--Arthabaska/Richmond--Arthabaska,169,Cleveland,100,8,15,36,113,7,279,499
Richmond--Arthabaska/Richmond--Arthabaska,170,Cleveland,125,12,11,26,94,5,273,457
Richmond--Arthabaska/Richmond--Arthabaska,171,Richmond,79,7,7,19,62,2,176,340
Richmond--Arthabaska/Richmond--Arthabaska,172,Richmond,93,4,10,13,64,7,191,382
Richmond--Arthabaska/Richmond--Arthabaska,173,Richmond,113,9,10,15,78,5,230,443
Richmond--Arthabaska/Richmond--Arthabaska,174,Richmond,62,15,9,15,99,3,203,378
Richmond--Arthabaska/Richmond--Arthabaska,175,Richmond,70,3,11,16,91,4,195,400
Richmond--Arthabaska/Richmond--Arthabaska,176,Richmond,86,7,5,12,103,4,217,439
Richmond--Arthabaska/Richmond--Arthabaska,177,Melbourne,66,6,14,11,73,0,170,299
Richmond--Arthabaska/Richmond--Arthabaska,178,Melbourne,102,20,15,21,100,4,262,457
Richmond--Arthabaska/Richmond--Arthabaska,179,Melbourne,65,6,17,23,55,5,171,309
Richmond--Arthabaska/Richmond--Arthabaska,180,Kingsbury,40,9,5,9,19,4,86,128
Richmond--Arthabaska/Richmond--Arthabaska,181,Windsor,79,5,20,11,31,1,147,257
Richmond--Arthabaska/Richmond--Arthabaska,182,Windsor,113,5,14,19,34,3,188,343
Richmond--Arthabaska/Richmond--Arthabaska,183,Windsor,141,5,18,11,28,5,208,365
Richmond--Arthabaska/Richmond--Arthabaska,184,Windsor,93,7,16,8,57,6,187,358
Richmond--Arthabaska/Richmond--Arthabaska,185,Windsor,131,5,9,5,40,6,196,307
Richmond--Arthabaska/Richmond--Arthabaska,186,Windsor,121,4,8,3,31,4,171,299
Richmond--Arthabaska/Richmond--Arthabaska,187,Windsor,142,6,30,7,54,11,250,405
Richmond--Arthabaska/Richmond--Arthabaska,188,Windsor,160,2,18,15,39,12,246,438
Richmond--Arthabaska/Richmond--Arthabaska,189,Windsor,136,14,17,15,44,6,232,377
Richmond--Arthabaska/Richmond--Arthabaska,190,Windsor,35,1,10,4,9,2,61,130
Richmond--Arthabaska/Richmond--Arthabaska,191,Windsor,95,4,22,15,44,8,188,406
Richmond--Arthabaska/Richmond--Arthabaska,192,Windsor,154,6,25,12,55,11,263,579
Richmond--Arthabaska/Richmond--Arthabaska,193,Windsor,93,2,16,10,30,3,154,303
Richmond--Arthabaska/Richmond--Arthabaska,194,Windsor,87,2,13,8,32,1,143,219
Richmond--Arthabaska/Richmond--Arthabaska,195,Saint-Grégoire-de-Greenlay,145,8,16,13,57,4,243,467
Richmond--Arthabaska/Richmond--Arthabaska,196,Saint-François-Xavier-de-Brompton,82,0,6,6,35,6,135,243
Richmond--Arthabaska/Richmond--Arthabaska,197,Saint-François-Xavier-de-Brompton,176,12,22,14,46,8,278,442
Richmond--Arthabaska/Richmond--Arthabaska,198,Saint-François-Xavier-de-Brompton,232,5,14,22,51,7,331,562
Richmond--Arthabaska/Richmond--Arthabaska,199,Saint-François-Xavier-de-Brompton,77,8,16,8,23,4,136,239
Richmond--Arthabaska/Richmond--Arthabaska,200,Saint-Denis-de-Brompton,150,13,5,17,47,4,236,435
Richmond--Arthabaska/Richmond--Arthabaska,201,Saint-Denis-de-Brompton,203,13,12,18,78,6,330,580
Richmond--Arthabaska/Richmond--Arthabaska,202,Saint-Denis-de-Brompton,235,15,4,22,88,5,369,595
Richmond--Arthabaska/Richmond--Arthabaska,203,Saint-Denis-de-Brompton,207,23,7,19,55,13,324,560
Richmond--Arthabaska/Richmond--Arthabaska,500,Mobile poll/Bureau itinérant,5,2,1,2,9,0,19,21
Richmond--Arthabaska/Richmond--Arthabaska,501,Mobile poll/Bureau itinérant,8,2,5,3,11,0,29,86
Richmond--Arthabaska/Richmond--Arthabaska,502,Mobile poll/Bureau itinérant,40,1,2,8,81,6,138,208
Richmond--Arthabaska/Richmond--Arthabaska,600,Daveluyville,61,2,2,9,20,0,94,
Richmond--Arthabaska/Richmond--Arthabaska,601,St. Albert,62,6,0,20,28,3,119,
Richmond--Arthabaska/Richmond--Arthabaska,602,Victoriaville,255,8,5,71,117,11,467,
Richmond--Arthabaska/Richmond--Arthabaska,603,Victoriaville,264,10,15,58,217,5,569,
Richmond--Arthabaska/Richmond--Arthabaska,604,Arthabaska,250,13,3,57,144,4,471,
Richmond--Arthabaska/Richmond--Arthabaska,605,Warwick--Kingsey,127,9,5,27,80,6,254,
Richmond--Arthabaska/Richmond--Arthabaska,606,Ham-Nord,50,0,0,13,14,3,80,
Richmond--Arthabaska/Richmond--Arthabaska,607,Wotton,48,3,3,5,13,2,74,
Richmond--Arthabaska/Richmond--Arthabaska,608,Asbestos,350,7,13,74,256,12,712,
Richmond--Arthabaska/Richmond--Arthabaska,609,Richmond,98,17,13,55,149,6,338,
Richmond--Arthabaska/Richmond--Arthabaska,610,Windsor,189,9,33,26,109,5,371,
Richmond--Arthabaska/Richmond--Arthabaska,611,Saint-François-Xavier,106,5,11,7,23,2,154,
Richmond--Arthabaska/Richmond--Arthabaska,,Group 1/Groupe 1,28,3,6,18,24,7,86,244
Richmond--Arthabaska/Richmond--Arthabaska,,Group 2/Groupe 2,293,10,19,34,94,12,462,
